L	rómv. taltekn fyri 50
land3	(handv.)fjølel.tíl.til at stýra við tá ið sagaðel.skorið verður,landið kann vera ein fjøl, sum tú spennir upp á plátuna, sum sagast skal;sagin kann hava eitt viðfest land
landa	fáa veidda fiskin úr skipinum upp á land,landa (fiskin);trolararnir eru komnir inn at landa
landafrøði	frøðigrein um viðurskifti og fyribrigdi í heiminum(t.d.um lond, stødd teirra og hvar tey eru, veðurlag, framleiðslu, fólkatal, lívshátt o.s.fr.),landalæra(geographia)
landafrøðiligur	viðv. landafrøði
landafrøðingur	ein ið er lærdur í landafrøði
landafundur	(sj.)tað at nýggj lond verða funnin, uppdaging av nýggjum londum
landaklovi	(Vág.)munni á firðiel.sundi,bátur hevur ikki verið uttan landaklovan í langa tíð;ikki er farandi út um landaklovan
landakyrra	(Vestm.)landkyrra,sagt verður landakyrra, tá ið serliga kyrt er við landið
landaljóst	so ljóst at land sæst úr oyggj í oyggj(fyri myrkurel.mjørka)
landalæra	(skúl.)1landafrøði sum lærugrein2lærubók í landafrøði
landamark	mark 2(2) ímillum lond
landaplága	1plágael.mein(til ampa fyri nógv fólk)2vælkendur sangurel.lag ið ofta er at hoyra
landari	(á fiskavirki)maður ið landarel.fæst við landingararbeiði
landaskil	h3eí osb. sumhalda lóg og landaskilhalda lógina,fútin skal ansa eftir, at fólk heldur lóg og landaskil(at alt fer regluliga fram)
landaskomm	skomm fyri alt landið
landastrok	(niðr.)ein ið strýkur um landið(hevur ongan fastan bústað),rekavætti
landasvik	landssvik
landasvíkjari	landssvíkjari
landavegur	landsvegur
landaverja	ein ið verjir landið (oynna) fyri ránsmonnum,Jansaguttarnir og Hargarbrøðurnir vóru landaverjur fyri Suðuroy
landband	(Nóls.)skutfesta
landbjørn	(dj.)brún bjørn, skógarbjørn
landbløðra	(lívfr.)bløðra har ið landið 2 verður savnað(áðrenn tað fer út gjøgnum vatnræsið)
landbolli	(gl.)bolli nýttur til náttpott
landbrim	brim inni við land(men slætt útiá)
landbrot	landhøgg,teir rógva av øllum alvi út um innastu landbrot
landbróðir	(kvæð.)landsbróðir,landbróðir mín
landbrunnur	brunnur at goyma land 2 í(til taðingar)
landbukka	kerald (3), náttpottur, bukka 1(1),fara sum landbukka millum sengurrekast um
landbukkudukka	(niðr.,sj.)súrsokkur
landbukkugyrði	(stb.)(um kerald)tað at hava tríggjar gjarðir(eins og landbukka),tá ið kerald hevur tríggjar gjarðir, hevur tað landbukkugyrði
landbukkuteigur	(stb.)ryggteigur
landbúnaðar-	sms. t.d.-frøði,-frøðingur,-lóg,-maður,-maskina,-ráðgevi,-skúli
landbúnaðarháskúli	háskúli (1) ið gevur frálæru í landbúnaðarfrøði
landbúnaðarmál	(stjm.)málel.viðurskifti viðv. landbúnaði
landbúnaðarmálaráð	(stjm.)stjórnardeild ið hevur landbúnaðarmál um hendur
landbúnaðarráðharri	(stjm.)ráðharri ið situr fyri landbúnaðarmálum
landbúnaðarstevna	búnaðarstevna
landbúnaður	(bún.)tað at dyrka jørðina og hava kríatúr sum vinnuveg
landdýr	(dj.)dýr ið livir á landi
landfarsjúka	(lækn.)landfarsótt
landfarsótt	(lækn.)1farsótt ið breiðir seg skjótt og smittar nógv fólk, umfarssjúka2týfus
landfastur	fastur í landel.at landi,binda (hval) landfastan;rógva landfastrógva framí (t.e.rógva bátin fastan í sandin);draga, taka bátin landfastan;har er landfast(um hólm, sker o.tíl.)áfastur við meginlandið,hólmurin er landfastur við einum eiði;Grønland, Ísland og Føroyar hava eina ferð í tíðini verið landføst
landfiskur	rakfiskur (toskur) ið kemur inn undir land um summarið og várið, slakur stórur toskur, slánur (1),hann er sum ein turkaður landfiskur(ógvuliga rak)
landfiti	fiti av landdýrum,móts.sjófiti
landfløska	(lækn.)áfløt fløska til at kasta sær av vatninum í(hjá seingjarliggjandi fólki)
landformaður	(sjóm.)formaður fyri egningini á landi(knýttur at útróðrarbáti)
landfólk	1(sj.)arbeiðsfólk á landi,móts.sjófólk2búnaðarmaður, bóndi
landfúti	politimeistarin í Føroyum, fúti (1),Føroya landfúti
landgjálvur	(stb.)landhøgg
landgonga	1tað at fara í land av skipi(ið liggur við bryggju)2landgongd (2),gera landgongu
landgongd	1(serst. um grind)renna seg upp á land,grindin gjørdi landgongd2tað at sjórænarar, herfólko.tíl.fara á land, landgonga (2)(hjá fígginda),fransar gjørdu landgongd í Havn og rændu og brendu;týskarar ætlaðu at gera landgongd í Onglandi
landgongubrúgv	(skip.)skrá brúgv at fara í land (og um borð) eftir
landgonguherur	(herm.)herur ið ger landgongu (2)
landgrunnur	(jarðfr.)grunni havbotnurin kring eitt land(út á landgrunshellingina)
landgrunshelling	(jarðfr.)helling niður av landgrunninum
landgøgn	(lívfr.)gøgn ið úrskilja land 2 og sum tað verður veitt burtur ígjøgnum
landherur	(herm.)herur ið stríðist á landi
landhosur	tvaghosur,landhosurnar, tað er tað, tú skal fáa
landhús	(stb.)hús har ið menn kunnu kasta sær av vatninum, pisshús
landhøgg	krøpp alda út frá landi(tá ið brim er),baksláttur av brimi við land, bakbrot (1), landskjøldur
landi	landsmaður (2)
landing	tað at landa (fisk)
landingarbann	bann fyri at landa fisk(t.d. í ávísum havnum),íslendingar settu landingarbann fyri íslendsk fiskifør í Føroyum
landingarmiðstøð	stað har ið fiskur verður landaður
landísur	(jarðfr.)ísur ið er vorðin til uppi á landi(meginlandsísur, hálendisísur og skriðjøklar)
landjagg	jagg (1) inni við land
landjørð	kv3eí osb. sumá landjørðiniá landi,móts.á sjónum,vit rýmdu á sjógvin, men har er lítið mætari enn á landjørðini
landkar	landstampur
landkenning	tað at síggja land fyrstu ferð av havi eftir sjóferð(og vita hvar ein er staddur),hava, fáa landkenning
landketa	(sjóm.)keta niðri á botni við teymum til at binda skip og bátar við(føst á landi);sbr.botnketa,sjóketa
landkoma	tað at nógvur fuglur er í berginum,góð landkoma var(av lunda);landkoma var fyrsta morgun, so nógv varð fleygað;landkoma er, so fuglaskarin, ið flýgur í luftini, er so tættur, at tað skuggar fyri sól
landkomudagur	dagur tá ið landkoma er,hugtakandi er at sita úti á eggini ein góðan landkomudag
landkomukvøld	kvøld landkomudagin
landkort	kort (3) av landiel.londum
landkostir	(kvæð.)tað ið jørðin kann geva av sær, møguleikar fyri grøðio.tíl.
landkovi	(sj.)har ið landtunnan stóð(í skotinum øðrumegin við útdyrnar)
landkrabbi	1(dj.)suðurlendskir krabbar (av ymsum sløgum) ið mest liva á landi2(skemt.)maður ið arbeiðir á landi og veit lítið um sjólívið,tú ert ein landkrabbi, men tú venist skjótt við sjógvin
landkráka	maður við ongum hugi til sjógvin, landkrabbi (2)
landkrókur	pláss har ið menn kunnu kasta sær av vatninum, landhús, pisshús
landkyrra	kyrra 1 inni við land(so farandi er upp á land),enn var landkyrra, og teir róðu so nær, at teir bert høvdu árarúm
landleggur	(lækn.)langt klænt glasrør til at tøma landbløðruna við[da.kateter]
landleið	kv2e:(innara) landleiðinsjógvurin innan fyri 12 fjórðingar við Føroyar;uttara landleiðinsjógvurin innan fyri 200 fjórðinga fiskimarkið
landleypur	tættleypur at bera land 2 í(t.d. út á bøin)
landlinja	telefonlinja eftir landi,móts.sjókaðal
landlína	(stb.)tog til draga nót á land við
landloyvi	loyvi hjá sjófólki at fara í land(at stuttleika sær)
landmaður	k41(stb.)landmennmenn ið eruel.fara til landst.e.sum rógva út í Íslandi
landmálari	landmátari
landmátari	yrkislært fólk ið arbeiðir við at máta vídd á lendi(t.d.til kortgerðar, útstykkingar, ognartøkuo.tíl.)
landnám	(søg.)1tað at taka og byggja óbygt land2landøki ið ein hevur lagt inn undir seg,landið har á leið, lá í landnámi hjá høvdinga
landnámsbygd	(søg.)bygd ið landnámsmenn bygdu;sbr.niðursetubygd
landnámsmaður	(søg.)maður í fyrsta ættarliði av fólki sum setur seg niður í óbygdum landi
landnámstíð	(søg.)tað tíðarbil tá ið landnámsmenn seta seg niður í óbygdum landi
landnorður	(gl.)økiel.ætt millum norðan og eystan, landnyrðingur (1)
landnyrðingsódn	ódn av landnyrðingi
landnyrðingspíningur	kaldur og turrur vindur av landnyrðingi um várið
landnyrðingur	1leiðin í ein landnyrðing (2),í ein landnyrðing úr Føroyum2ættin millum norðan og eystan, landnorður,hann er landnyrðingur (í ættini)3vindur av landnyrðingi (1),landnyrðingur norðan(mitt ímillum landnyrðing og norðan);landnyrðingur eystan(mitt ímillum landnyrðing og eystan);beinur landnyrðingur;hann stóð á landnyrðingihann var landnyrðingur;(stb.)lágur landnyrðingureysturhallur landnyrðingur
landoddi	ytsta nesel.ytsti tangi,tá ið tú ert komin út um landoddarnar, ert tú á opnum havi;uttan fyri landoddarnar(flutt m.)í útlondum
landparta	leggja landpart av,fyrst varð tíggjundað (t.e.10. hvørt egg tikið frá til sígingarmenninar), og so varð landpartað
landpartur	(gl.)partur av veiðu ið latast skuldi teimum ið jørðina (5) áttu,leggja landpart av:tá ið fleygamenn ikki fingu tretivu lundar, løgdu teir ongan landpart av;fyrst skuldi tíggjundast av fonginum og landpartur latast til bóndans, sum fjøruna átti;landið (t.e.jørðin) tók helvtina av øllum bjargafugli í landpart
landrák	tað at rákið liggur at landi, innrák,tað var landrák
landrenning	(stb.)tað at nógvur fiskur (serst.seiður) kemur inn undir land
landroykur	roykur av landi 2
landræsi	(lívfr.)ræsi sum landið 2 fer ígjøgnum úr nýrunum í landbløðruna,landræsið veitir landið oman í landbløðruna(HDJ Læknab.48);sbr.vatnræsi
landsapotekari	landsapotekarinhægsti myndugleiki fyri apoteksverkið,landsapotekarin skal góðkenna avgreiðslutíðir og vaktarskipan
landsbanki	Landsbanki Føroya(búsk.)fíggjarumsiting fyri landskassan við tí endamáli at tryggja gjaldsførleika landskassans bráðfeingis og í longdini
landsbók	(søg.)løgbók landsins(Seyðabr.45)
landsbókasavn	høvuðsbókasavn landsins,Føroya Landsbókasavn
landsbókavørður	yvirbókavørður á landsbókasavni
landsbróðir	(sj.)landsmaður, landi
landsbygd	(lítil) bygd(burtur frá býum),úti á landsbygd
landsdjóralækni	hægsti embætislækni fyri djóralæknar
landsdystur	(ítr.)dystur millum (tvey) lond,landsdystur í fótbólti, flogbólti, hondbóltio.tíl.
landsendi	(sj.)1ytsti endi á landinum, landoddi,teir komu inn um nesið, ið er ytsti landsendin norðan fyri bygdina2landspartur, øki,úr ymsum landsendum
landsetumaður	(søg.)leigulendingur
landsfelag	1meginfelag(hjá feløgum við sama endamáli),landsfelag pensjónistanna2felag ið fevnir um alt landið, felag við limum úr øllum landinum
landsfelagsskapur	meginfelag hjá fakfelagsrørsluni,landsfelagsskapur verkamanna
landsfornfrøðingur	hægsti leiðari á fornminnissavni(hjá tí almenna)
landsfólk	íbúgvar, fólk í einum landi,samskifti embætismanna við landsfólkið er smáligt
landsfólkayvirlit	almennur stovnur (3) ið hevur yvirlit yvir allar íbúgvar landsins
landsfundur	fundur við luttakarum úr øllum landinum,landsfundur Javnaðarfloksins
landsfyrisiting	hægsta fyrisiting ið fevnir um alt landið(t.d. stjórnin, stjórnardeildir)
landsfyritøka	uppgáva hjá landinumel.hinum almenna,at gera vegir millum bygdir er landsfyritøka
landsgagn	e-t ið er til gagns fyri alt landið
landsgagnligur	ið gagnar øllum landinum
landsgrannskoðan	(búsk.)almennur stovnur ið grannskoðar roknskapir hjá tí almenna
landsgrannskoðari	(búsk.)stjóri fyri landsgrannskoðanini
landshandil	(søg.)almenn handilsfyritøka ið stóð fyri vøruinnflutningi(í seinna heimsstríði)
landshúsarhald	(búsk.)landsbúskapur,yvirskot í almenna landshúsarhaldinum
landshúshald	búskapur (1)(hjá einum landi),fiskiskapurin hevur avgerandi týdning fyri hitt føroyska landshúshaldið
landshøvdingi	(søg.)hægsti umboðsmaður hjá yvirvaldiel.ríkisstjórn í landslutiel.landi
landsjørð	kongsjørð,Føroyar hava frá gamlari tíð havt óðalsjørð og landsjørð, tað sum fyrr varð nevnt kongsjørð
landskapping	(ítr.)skipað kapping (í eini ítróttagrein) innanlands,Fótbóltssamband Føroya skipar fyri landskappingini í fótbólti;landskappingin í flogbólti, hondbólti o.tíl.;sbr.steypakapping
landskappingardystur	(ítr.)dystur í føroysku landskappingini;sbr.steypadystur
landskassi	tøkur reiðupeningur hjá einum landi,útreiðslur ið tyngja landskassan;landskassin rindar útreiðslurnar(hitt almenna)
landskjálvti	(sj.)jarðskjálvti
landskjøldur	landhøgg, baksláttur (1), bakbrot (1),tað var at við landið, og landskjøldurin kom út frá aftur og hirdi seg undir bátin
landskránur	skránur
landskuld	(søg.)árligt avgjald ið leigulendingar skuldu gjalda til kongs fyri jørðina, jarðarleiga
landskyld	(søg.)landskuld
landslag	avmarkað økiel.lendi sum viðv. náttúru, plantulívio.tíl.myndar eina heild,vakurt landslag
landslagsmynd	mynd, málningur av landslag
landsláttur	landhøgg
landslega	1stór lega (3) við luttakarum úr (heimafeløgum í) øllum landinum,landslegan hjá skótunum2lega (3)t.e.stað har ið (eitt ávíst) land er
landsleið	1strond, land 1(2),teir hóma landsleið suðureftir;toka var, so ikki sást landsleið;roysningurin heldur seg helst um landsleið2landslutur, øki,á hesari landsleiðini er ein frálík javnvigan millum bý og náttúru(um hesar leiðir)
landslið	(ítr.)lið 4(2) av landsins bestu leikarum í ávísari ítróttagrein(ið umboðar land sítt í landsdysti)
landslóg	(søg.)lóg galdandi í einum landiel.landsluti,landslógin fyri Gulating
landslunnindi(r)	lunnindi hjá einum landi
landslutur	lutur, partur av einum landi, landspartur
landslækni	(lækn.)hægsti embætislækni í Føroyum
landsmaður	1maður úr ávísum landi,hvat (fyri) landsmaður er hann?2maður úr sama landi sum ein annarel.ein sjálvur, landi,vit eru landsmenn;teir eru landsmenn
landsmál	1tungumál í einum landiel.landsluti2norskt málsnið stovnað á bygdamál(seinni nýnorskt)
landsnavn	navn á landi
landsnevnd	kv2(søg.)landsnevndinfimmmannanevnd vald av Løgtinginum, fyrisitingarligur stovnur (3) undan heimastýrislógini (1948)
landsogn	almenn ogn, ogn hjá hinum almenna
landspartur	landslutur
landspolitikkur	(stjm.)politikkur ið tingið ásetur(viðv. øllum landinum),móts.kommunupolitikkur
landsprongdur	bløðrusprongdur
landsráð	ráðgevandi ting í Grønlandi(til Landstingið kom í staðin í 1979)
landsroknskapur	(búsk.)roknskapur hjá tí almenna
landsrættarsakførari	(gl.,løgfr.)sakførari við rættindum til at flyta mál fyri landsrætti
landsrættur	(løgfr.)dómstólur í Danmørk sum m.a. dómur feldur í Føroya rætti kann verða skotin inn fyri,málið varð skotið inn fyri landsrættin
landssjúkrahús	stórt vælútbygt meginsjúkrahús fyri alt landið
landsskaðiligur	sum fremur landssvik(ið kann verða landsins trygd og fullveldi at meini),landsskaðiligt virki
landsskattur	skattur (1) til landið 1(5)
landsskjalasavn	skjalasavn fyri alt landið(við almennum og privatum savnindum)
landsskjalavørður	yvirskjalavørður á landsskjalasavni
landsskrivstova	kv1e:landsskrivstovanskrivstovan hjá Føroya landsstýri
landsskúlafyrisiting	fyrisiting(undir hinum almenna)ið situr fyri skúlaskapinum í Føroyum(formliga avtikin í 1996)
landsskúlaráð	ráð (2) við myndugleika í skúlamálum(avtikið í 1996)
landsskúlastjóri	stjóri fyri landsskúlafyrisitingini
landsstjóri	landshøvdingi,Gabel var landsstjóri í Føroyum
landsstjórn	stjórn í einum landi
landsstovnur	stovnur ið tað almenna eigur og rekur,longu nú byrja landsstovnarnir at senda sínar fíggjarmetingar fyri komandi ár til landsstýrið
landsstrok	landastrok
landsstýri	(stjm.)1stýri ið løgtingið velur at stjórna Føroyum, at fremja løgtingslógir í verki og at hava fyrisitingina um hendur(sbrt. heimastýrislógini frá 1948),Føroya landsstýri2stýri ið grønlendska landstingið velur at stjórna Grønlandi(sbrt. lóg frá 1979)
landsstýrisfundur	fundur í landsstýrinum
landsstýriskvinna	kvinna ið situr í landsstýrinum,landsstýriskvinna í mentamálum
landsstýrismaður	ein ið situr í landsstýrinum,landsstýrismaður í vinnumálum
landsstýrismálanevnd	landsstýrismálanevndinløgtingsnevnd ið hevur eftirlit við arbeiðinum sum landsstýrisfólkini gera,landsstýrismálanevndin kannaði, um landsstýrismaðurin gav løgtinginum skeivar upplýsingar
landsstýrissamgonga	samgonga (4) av politiskum flokkum ið mynda landsstýri
landsstýrissessur	(stjm.)sessur (4) í landsstýri,Fólkaflokkurin skal útvega landsstýrissess til Suðuroynna
landssvik	svik framt ímóti trygdini og fullveldinum hjá einum landi
landssvíkjari	fólk ið fremur landssvik
landssøga	søgan (2) hjá einum landi
landstampur	stampur (t.e.lágt stavílat) til at savna land 2 í
landsting	1(søg.)onnur tingdeildin í danska tinginum(1849-1953)2(stjm.)lóggávutingið í Grønlandi(stovnað í 1979)
landstingsmaður	1(søg.)tingmaður í danska landstinginum2tingmaður í grønlendska landstinginum
landstrát	(Suð.)mið inni við land
landstreymur	(stb.)afturundirgerð
landsuður	1økiel.ætt millum sunnan og eystan, landsynningur,frískur vindur av landsuðri;ríki hansara røkk frá Miðalhavinum í útnorðri til Reyðahavið í landsuðri2landsuðurstíð,tað er landsuðurklokkan er níggju (um morgunin);hálvga landsuðurklokkan hálvgum átta (um morgunin)
landsuðurslega	(sj.)(um neyt)tað at neytini enn liggja um landsuðurstíð(og ikki hava reist seg av náttarleguni),um summarið lógu neytini ofta um hesa tíðina (kl. 9 fyrrapart), og tá plagdu tey gomlu at taka til, at tey vóru ikki uppreist av landsuðursleguni;sbr.eysturlega,vesturlega,middagslega
landsuðurstíð	klokkan níggju um morgunin,(bíbl.)um landsuðurstíð
landsúrur	(evnafr.)við landsýru
landsvegur	vegur sum landið (5) ger og heldur
landsverkfrøðingur	1hægsti verkfrøðingur hjá landsfyrisitingini2landsverkfrøðingurinvanl. heiti á landsverkfrøðingsstovninum
