H	rómv. taltekn fyri 200
halda	1hava (fast) tak á, ikki sleppa,halda fast í e-t/e-n;hon heldur hurðini2lýða, virða, ikki bróta,halda eið;halda lóg (og landaskil);(tilt.)at lova er eitt, at halda er annað;(tilt.)mangur lovar í neyð, hann heldur ikki til sín deyð3halda heilagan, hátíðarhalda,halda brúdleyp;halda jól;halda føðingardag;halda páskir;halda skýming4hava fyri, skipa fyri, vera uppi í,halda bardaga;halda fund5vera tættur, ikki leka,halda fjøðurvera fjøðurtættur;halda vatnivera vatntættur6(sj.,kvæð.)tola,veðrið kunnu fuglar ei halda7vera haldari (2) av (e-m), standa fyri, keypa fast,halda blað, tíðarrit8hugsa, ætla, meta, meina,halda væl til standa;halda ein vera ov góðan so at fara;hann var hildin at vera sterkur í gandi;heldur seg vera!ger seg upp, heldur nógv um seg sjálvan9(á báti, skipi)stevna ávísa leið;halda í ein norðan;halda beina kós10(um fólk)fara (í skundi), leypa avstað;fyri dag helt hann aftur í hagan;hann helt til fjals;halda til beinsfara rennandi11forða, møta (3)(serst. fyri seyði o.ø. kríatúrum, so at ikki nýtist at stika el. gera garð),kletturinel.rókin heldur;her heldur í flestum støðum, so tað verður einki at stika(t.d. millum hagar),einki heldur fyri tær;rættargarðurin heldur fyri seyði12uppihalda, hava ábyrgd av,hann var ikki maður at halda húsið;hann helt tey bæði við døgurðamati;landið helt bjargalínurnar;halda tarvinhava tarvin inni(fyri bygdarmenninar)13røkja, fara um,hon heldur urtagarðin væl;húsini eru væl hildin14vera haldgóður, ikki brotna, slitnao.s.fr.,lesningsbandið helt, og hann kom heilur niður;Ólavi helt eingin ár(eingin var nóg sterk)15miða, medda, sikta,halda ov høgt (ov lágt)í osb.halda bardaga (við e-n)berjast;(gl.)halda bátreka útróðrarbát;halda bønbiðja (til Gud);hann helt ferðinael.ferðini (suðureftiro.tíl.)hann setti kós, stevndi;halda fragd (at e-m),sífragd;halda frið;halda fund;halda gák, hol, munn, kipp, kjaft, tátt, turran (kjaft)tiga;halda gaman (at e-m)hava (e-n) fyri gjøldur;halda ganggera óljóð, larma;halda gleimstuttleika sær;halda grið,sígriður;halda heilagt,síheilagur;halda hússtanda fyri húshaldi;halda kósstevna;kunna halda kykthava nóg mikið at brenna;halda leiðinahalda ferðina, stevna;halda orðgera tað ein hevur lovað;halda pottinfáa nóg mikið (av fiski) til døgurðamat;halda spott at e-mhalda e-n fyri spott;halda snøriroyna við snøri;halda sorg (eftir e-n)syrgja (e-n);halda (gott) tal av (e-m)tala rósandi um (e-n);halda ting,síting;ikki fáa hildið vatninummígael.pissa ósjálvráttviðfs/hjhalda aftur1tarna, forða, mæla frá, arbeiða ímóti,halda e-m aftur;tað var mamman, sum helt aftur(mælti soninum frá at fara til skips)2ikki vilja av við skarnið, byrgja seg;halda at:halda at e-m1leypael.leggja á e-n,brimilin helt at manninum við gapandi kjafti2(sj.)hava at e-m, harta e-n;halda av1geva upp, sleppa(t.d. lyfti, ferð),hann tjúknaði so í erva, at teir hildu av at fara á fjall;hava tit hildið av at fara til útróðrar?2(serst. um skip)skifta kós, víkja;hitt skipið átti at halda av fyri okkum3(sj.)lata vera við, halda uppat, gevast;(kvæð.)nú er best at halda av og ikki longur at ríma;halda avstaðfara avstað (skundisliga);halda á1hava (e-t) í hondini,halda á e-m;halda á (barni)(um gummu)bera barn til dópin;hann heldur á brýndum knívi;hatta er einki at halda á(varðveita, goyma);halda á nálseyma;halda á stokkumbinda2herja á, fara til álops á,tarvurin helt á garðin(royndi at sleppa útum);halda á løkir og áir(royna at sleppa tvørturum);seyðurin heldur á(trokar á fyri at sleppa)3halda fram, standa stinnur,hann heldur á at eta (meylao.s.fr.);hann heldur væl á(er treystur);fekk prestur mottukjøt, áðrenn hann fór upp á stólin, helt hann betur á;halda áframhalda á, halda fram;halda eftir1(gl.)(á báti)skjóta á, stýra í(so at ferðin fer av bátinum)2darva, tálma,ullin á kópi er stutt og mjúk, so at hon heldur ikki eftir, tá ið hann svimur3sita undir(bjargalínu sum maður er í),ein bant seg í, hinir hildu eftir4elta, fara aftan á,halda eftir e-m;í stundini helt hann eftir teimum5(um løn o.tíl.)ikki gjalda út,arbeiðsgevari heldur eftir part av lønini til at gjalda skattin;halda fram1halda á, halda áfram, ikki gevast,halda leiðinael.vegin fram;(kvæð.)halda fram sína ferð;halda søkel.máli fram(føra fram til endan)2vilja vera við, halda upp á, standa fast upp á,hann helt fram, at hann hevði vunnið;halda frá:tað var stríð og strev at halda hungurin frá durunum;halda frá særikki vera atkomuligur fyri ókyrru,Sandoyggin kann halda frá sær ógvuliga leingi;halda fyri1siga, mæla, hava á munni,hon helt fyri, at veðrið var ringt2møta, fjala við hondiniel.øðrum fyri opio.tíl.3(bát.)halda hamara 1(2) fyri seymhøvd meðan bátasmiður klinkar4halda e-n fyri e-thalda vera,tarvurin varð hildin fyri ikki at vera reiðiliga blíður5halda e-n fyri háð (spott, gjøldur)háða e-n (spotta, gera gjøldur burtur úr e-m);halda í1halda í e-nel.e-thava (fast) tak í e-m;halda í árarnarrógva spakuliga, damla, andøva;halda í (róðrið)stýra2gevast, slíta í(um regn, illveður o.a.),tað hevði regnað alla náttina, men í lýsingini helt í;regnið heldur ikki í aftur;halda (í)móti1gera mótstøðu,teir mannaðu seg at halda ímóti2mæla ímóti, mæla frá,eg skal ikki halda ímóti, at best var, um føroyska málið kundi ljóðað í kirkjuni;halda saman1hava saman(í flokki),halda seyðinum samanhava seyðin savnaðan(í rakstri);halda saman hendurhava hendurnar saman(t.d. í bøn)2fylgjast, vera saman, hava felagsskap3(um tvey)vera drongur og genta;halda saman við einumvera drongurel.genta e-s;halda til1hava tilhald, vera, gista(á fremmandum stað),halda til hjá e-m2(í grindarakstri)reka grind upp á land(inni á vík el. vág og drepa hana),nú halda vit til3halda e-m tileggjael.stuðla e-m til,koyrilin hevði hann góðan yvir sær, tí Sunniva dugdi at halda honum til(til arbeiðið)4halda (e-t) saman,halt gákin (munnin, kjaftin) til á tær!el.halt til!tig við tær!;halda til virði,sívirði;halda til góða(r),sígóður;halda tvørtur umtaka við ørmunum um(serst. um miðjuna á fólki),ein sat og helt tvørtur um tvær gamlar gentur;halda um1hava tak um(við hondunum),hava gott um at haldavera væl fyri, hava góðar vánir;vit hava einki at halda um, tí vit hava einki skrivligt(einki prógv)2hugsa um, meina um,halda nógv um e-nhava stóra virðing fyri e-m;halda lítið/einki um e-nhava lítla/onga virðing fyri e-m;halda nógv/lítið um seg sjálvanvera erpin/lítillátin;halda (nógv) um seg standahalda seg vera, vera errin;halda undan1(á báti el. skipi)halda til viks frá vindinum;fjørðurin var ikki tespiligur, tá ið teir hildu undan2snúgva, víkja, rýma, flýggja,tað var lítið mansligt at halda undan;halda undan brekkufara oman brekku;halda undirhava snøri við botn meðan hinir dragael.eru á borði(fyri ikki at missa kennið),sita niðri,halda undir vatnihalda dult;halda undir skírn,sískírn;halda uppfáa seyð at liggja ovarlaga (á fjøllunum);halda uppat:halda uppat (við e-m)gevast (við e-m),tá helt plágan uppat;hon helt uppat at hugsa um tað, ið hent var;halda upp ástanda fast upp á, leggja dent á,hann helt upp á sítt;halda uppi1halda flótandi (í vatni),halda e-m uppi2kunna bera (tyngdina á fólki),kavin heldur ikki uppi3(um kúgv)ikki vilja selja niður, ikki vilja verða mjólkað(av ávísum fólki),kúgvin heldur uppi4uppihalda, hava ábyrgd av, umsita,halda húsinum uppi(síhalda12)5halda í hevd, varðveita(t.d. lóg, gamlan sið),teir, ið longst høvdu hildið sjósálmunum uppi, vóru burturdeyðir6(um brattan haga)ikki missa seyð av omandøtti,móts.kasta av sær,vestanfyri heldur hon(t.e. oyggin Koltur)ringast uppi;halda uppístýra bát upp móti vindinum, hava uppí,ikki var hugsandi at halda bátinum uppí;halda út1halda (ongulin) útkasta(snøri);halda (stong) útfleyga,nú verður ikki hildið út nakrantíð;halda út á stokkinhalda snøri á stokkinum,tá varð ikki fílað, men altíð hildið út á stokkin2(tlm.)orka, tola,eg haldi hann ikki út;halda útáhalda snøri á stokkinum;halda við1halda á, halda fram, standa við,hann helt við at bøna hann;illveðrið helt við;hann helt (fast) við sítt(helt fast um sína hugsan, gavst ikki)2hava fast tak á,halda hvølunum við, meðan teir verða skornir á háls3vera samdur við (e-n), samtykkja,halda við e-m;tað haldi eg við;tað skal eg halda við!tað var ikki eiti á! hygga síggj!4(um klæði)halda væl við skarni(sæst ikki so væl á)5halda báti viðhalda báti frá landit.d.við ár,báturin mátti haldast við á báðum skutum og langsíðan liggja at landi(tá ið teir skóru tang)halda segvera (á ávísum stað),døglingur heldur seg mest úti á opnum havi;hann helt seg eitt hálvt fótafet aftan fyri megviðfs/hjhalda seg (aftur) at e-mhalda seg til e-n, (javnan) vera saman við e-m;halda seg burturfrá;halda seg saman:fílarnir halda seg saman í flokkum;halda seg til (e-t)1bjóða seg fram (til e-t),hann helt seg til2(bíbl.)hava samlív við, kenna (1);Ádam helt seg til konu sína;halda seg viðhalda fast við, støðast við(handverk sítt o.tíl.)halda sær1hava fast tak í,hann helt sær við báðum hondum2ikki broytast, ikki skifta,teir væntaðu, at dagurin ikki fór at halda sær(at góða veðrið fór ikki at standa við fyri dagin),hann man fara at halda sær, til eystfallið gongur í ættina(ikki fara at regna);ræðslan fyri fremmandum hevur hildið sær langt upp í okkara dagar3vera, halda seg,teir síggja, at ein bátur heldur sær um miðaleiðina4hava tamarhald á sær, bara sær,hon fekk ikki hildið sær, men brast út úr at flennaviðfs/hjhalda sær at/á gamanel.gamni (gleimi, teiti)stuttleika sær, skemta sær;halda sær e-t tilkanna sær e-t;halda sær uppiduga so frægt at svimja at ein ikki fer undir,hann dugir so dánt at halda sær uppi;haldasthava tak hvør í annan,hildust tey um hendur;tað verði og haldist!(til áherðingar)gævi satt, tað er vist og satt!;hildin:væl/illa hildinvæl/illa føddur, væl/illa viðfarin(til mat o.a.),eg haldi hana vera ringast hildna(til arv);sms. t.d.gøll-,hátíðar-,inni-,neyð-,tví-,undir-,uppi-,veð-
haldaker	ker við haldi, haldakoppur
haldakerald	kerald við haldi, haldakoppur
haldakoppur	koppur(úr træ)við haldi
haldakrukka	krukka við haldi
haldaleysur	við ongum haldi,haldaleys kanna
haldapottur	kastirolla
haldaragjald	gjald fyri blaðhald
haldaraløn	kv2(skemt.)fáa haldaralønfáa onga løn(hann, ið var biðin at halda fyri hjá bátasmiði, meðan hann klinkaði, fekk einki fyri tað)
haldaratal	tal á haldarum
haldari	1tólo.tíl.ið heldur e-m2ein ið heldurt.d.blað, tíðarrit;sms. t.d.blað-,bók-,brósta-,uppi-
Haldarsvík	síHaldórsvík
haldbotnur	k6e:góður/ringur haldbotnurgóður/ringur akkersbotnur
haldbóndafólk	bóndahjún sum sita við haldi (5)
haldbóndakona	kona bónda sum situr við haldi (5)
haldbóndi	bóndi sum situr við haldi (5)
haldbúgva	verja fyri rotiel.fúning, viðgera við haldevni(t.d. mat, savngrip)[da.konservere]
haldbúgving	tað at haldbúgva
haldevni	evni ið verjir fyri roti og fúning(t.d. mat)
haldfelag	(løgfr.)(vinnu)felag ið einki virkar sjálvt men hevur til endamáls at eiga partabrøv í øðrum felag (feløgum) og soleiðis stýra tí (teimum)[da.holdingselskab]
haldfólk	haldbóndafólk
haldføri	haldgóðska(t.d. hjá feskum fiski)
haldgat	(sj.)honk skorin í spik at halda í meðan skorið verður upp
haldgóðska	tað at vera haldgóður (1)
haldgóður	1sum heldur væl,haldgóð klæði;haldgott torv,móts.brotilt torv2sum varir, er tryggur,støðan er ikki haldgóð
haldin	sms. t.d.aftur-
haldipikk	(spæl)slag av pikki(hann sum pikkaður er, skal halda við aðrari hond um staðið, har hann er pikkaður)
-haldni	síaftur-,á-
Haldórsvík	(stn.)bygd í Norðstreymoy, Haldarsvíkel.Vík,í/úr Haldórsvík;til Haldórsvíkar
haldseyður	seyður sum haldbóndafólk eiga
-haldsi	síá-
haldsin	l26:haldsin avforðaður, tarnaður av(Sv);honum var haldsið á(áhaldsin)
halga	(tlm.)dekan fari, halga signilsi,halga tú dugir væl at syngja
halga1	1høgtíð, fleiri samfeldir halgidagar,um halguna;sbr.halgir2sabbatur, hvíludagur
halga2	1halda heilagan,minst til hvíludagin, at tú halgar hann2gera heilagan,hann vælsignaði hin sjeynda dagin og halgaði hann3kanna 3(2), ætla,tað er halgað henniel.honum4(um seyð)halga tilvenja at savnast á einum stað(við t.d. at kleppa hann);halga upp á/í segdraga til sín, ala upp í seg,hann gongur og halgar villdunnurnar upp á seg;halga fisk upp undir borð;hann halgar ungdómin upp á seg og lærir hann at drekka;sms. t.d.frið-,van-
halgabók	kv12e:HalgabókBíblian
halgadoyð	(eið.)gudsdoyð,tað vóru einar halgadoyðs sildir og feitar(ógvuliga feitar)
halgafamidan	(illb.)halgafaminda
halgafaminda	(illb.)halgadoyð! dekan fari!
halgan	tað at halga 2(2), heilaggering
halgasjey	gudsdoyð!, píkasjey!, dekan fari!
halgatrý	gudsdoyð!, píkasjey!, dekan fari!
halgi	1heilagleiki, heilagskapur2halga 1;síhalgir;sms. t.d.stjørn-
halgibogi	ljómi, glæma, ljómaringur(um høvur á heilagum monnum, einglum o.tíl.)
halgibrot	tað at brótael.spilla tað ið heilagt er, vanhalgan,tað er halgibrot at velta sunnudagar
halgidagur	sunnudagur og annar dagur til almenna gudsdýrkan(tá ið gerandisarbeiðið hvílir)
halgidómur	Guds hús, kirkja, tempul
halgigerð	(kirkj.)heilag gerð,dópurin er ein halgigerð
halgigonga	kirkjulig skrúðgonga,halgigonga við krossum um akrar og bø
halgigripur	heilagur gripur[da.relikvie]
halgihald	1tað at halda heilagt2bønarhald
halgikvøld	halgidags kvøld
halgiliga	við heilagum lag
halgilutur	halgigripur
halgimenni	heilagmenni, dýrlingur
halgimynd	heilug mynd, mynd av halgimenni(ikon)
halgir	samfelt rað av halgidøgum,halgir og hátíðir (el.høg-)
halgisiður	(kirkj.)siður í smb. við gudstænastu og trúarlív
halgiskrín	(kirkj.)skrín við beinum av halgimenni
halgisøga	(uppbyggilig) frásøgn um lívssøgu hjá heilagmenni[da.legende]
halgur	heilagur
halhvítur	halahvítur
hali	1langur og mjáur likamslutur aftan á summum djórum(t.d.seyði, neyti, rossi,eis.skøtu),láta við halanum;(flutt m.)hvør hevur traðkað á halan á tær?(gjørt teg firtnan, gjørt at tú ert í ringum skørum);hvørki vita til høvur ei halavera ráðaleysur;eldur er í halanum(um e-n sum ikki kann sita stillur);við halanum millum beininismoykin, lotur;hava torvmold undir halanum(um fólk í ringum skørum);brenna halangera e-t sum ikki sømir seg(t.d. vera har ein er óboðin),nú hava tit verið og brent halan;(tilt.)hann gongur næstur halanum, ið kúnna eigurel.hann, ið kúnna eigur, gongur halanum næsturein ansar best sínum;glíða aftur á hala (í flokki)dragna afturúr;(stb.)tríva aftur um halantaka síðsta skurð (jólaseyð);oman kemur grýla frá gørðum við fjøruti hølum(í skjaldri)2rótartrevsa,føroysku røturnar høvdu langar halar3endi á orvi4(skemt.)brúðarfylgi,har var eingin hali5riðil,hava langan hala(um hjún ið eiga nógv børn el. um gásapar við nógvum ungum);fylgja við sum hali aftaná(um børn ið elta)6bíðirað, mannhali,langir halar stóðu uttan fyri húsini7aftari endi á seyðagonguel.grind (í rakstri),móts.oddi,vera á halanum;(flutt m.)tey aftastu í raðnum;tey múgvandi á odda, vesalavættini á halanum8spískur endi (ójavni) á loga (á lampu)9(barn.)kynslimur á dreingi;sms. t.d.hesta-,hunda-,kettu-,neyta-,rottu-,trøll-,tuss-
hall1	1tað at halla, halli, skrái,oyggin hevði eitt javnt hall oman norðureftir;ísurin ók ymsar vegir, eftir sum hallið vísti;standa á hallihallael.vera um at detta;borið varð oman beint á hall(undan brekku);renna móti hallinum(móti brekkuni);hann er skjótur á hallirennur skjótt undan brekku;(flutt m.)veturin var brátt á halli(leið móti endanum);har var ikki hall á einum mannihvør var raskari enn annar2slagsíða,skipið er komið inn við halli3vána kor, neyðarstandur,líða hungur og hall4(búsk.)tað at útreiðslur eru meiri enn inntøkur, tap (2), undirskot,tryggingartakarar svara lutfalsliga fyri halli felagsins;sms. t.d.til-
hall2	(kvæð.)høll 1(2)
halla	1standa á halli(í størri el. minni mun),vera hallur, hella 2, skráa 2, lúta 1,halla nógv/lítið;so smátt og smátt fer at halla undan aftur(fer at ganga undan brekka);hallandisum hellirel.hallar, við hallur2líða (móti endanum),dagur tók at halla;summarið er farið at halla;tað var liðið so langt út, at útróðurin fór at halla3hava slagsíðu,fer bátur at halla, fer hundur altíð á halla borð4halla tilhava lyndi til, vera hallur til,sbr.tilhall
hallaborð	síhallur
hallamáting	tað at máta hall á e-m lendi(við at hæddin á fleiri deplum á einum øki verður sammett el. sett í mun til e-t)[da.nivellering]
hallarbekkur	(kvæð.)hallarbonkur
hallarbonkur	(kvæð.)bonkur í høll 1
hallarborg	(kvæð.)stór prýðilig borg,hallarborgin skalv
hallardyr	(kvæð.)dyr á høll 2
hallargátt	(kvæð.)hallardyrel.gátt í hallardurum
hallargólv	(kvæð.)gólv í høll 1
hallarstjóri	(bíbl.)fyristøðumaður í høll 2
hallarveggur	(kvæð.)(út)veggur á høll 2,út var leiddur gangarin undir hallarvegg
hallarvørður	ein ið hevur umsjón við (ítrótta)høll
hallaspølir	spølir (3) í húgvu-el.skjúrtavaðmali(har annarhvør spølur er smalur og annarhvør breiður);sbr.einstøðingur
hallár	(bíbl.)ár 2 við hungri, hungursneyð,hallár var í landinum
halleluja	(bíbl.)lovaður veri Gud(fagnaðarróp);hann man ikki altíð fara at syngja halleluja(ikki altíð at vera so kátur sum nú)
hallelúja	halleluja
halli	1hall 1(1), skrái, brekka,fjallasíðan er ein javnur halli2undirskot, hall 1(4),roknskapur fútans kom í stóran halla
halling	skrái, brekka, hall 1(1), halli (1),hallingin upp frá dalinum er víða hvar lyngvaksin
hallir	síhøll
hallmátari	tól ið mátar hvussu nógv e-t (t.d.skip) hellir
hallnál	(alisfr.)magnetnál hangandi á vatnrøttum ási ígjøgnum tyngdardepilin á nálini
halló	(til heilsan, eis. í telefon)"halló!", heilsaðust vit
halltal	(støddfr.)tal ið sigur frá hallit.d.á beinari linju
hallur	1sum víkur frá loddrættariel.vatnrættari støðu, sum hellirel.hallar, hallandi, skráur,veggurin stendur hallur;tað er eitt sindur halt niðan móti vegnum;eg havi telgt mær burtur undan tuflunum, tær vóru so hallar;vera hallur til (e-t)hava lyndi til (e-t);eingin fer hallur av honumhann talar ikki ilt um nakran(Sv);(tilt.)hundur fer áel.í halla borð(um ein ið ger móti ætlan og skili);(sjónavn)(hin) halliskrápur2drukkin, fullur(Sv);sms. t.d.aksla-,eystur-,høvur-,lagg-,lav-,løgg-,norður-,part-,raðhalt,rá-,suður-,til-,vanga-,vestur-,vinstra-,yvir-
halsi	(stb.)helsi (1)(á tjóðri)
halta	hava ringt gongulag(av tí at annað beinið er styttri el. veikari enn hitt),hilka, hinka, stika á
haltin	(stb.)haltur
haltur	sum haltar,(orðt.)hann er ikki so haltur, sum hann hinkar(er ikki so ússaligurel.eiðasørur sum hann letst);(tilt.)ikki gera haltari hønu mein,síhøna
halvarðsøka	15. mai(til minnis um norska halgimennið Hallvarð)(Varð. 2056);ternan kemur á halvarðsøku
halvarðsøkusnertur	ternusnertur
hama	mana fram(eitt nú ham, spøkilsi o.tíl. til at elta e-n),hama sovorðið slag upp á ein,sbr.hamast
-hamaður	síav-,tví-
hamar	1klettaveggur(ið stendur framúr í t.d. fjallalíð),hamari 1(1),uppi á hamri;undir homrum;brýrnar hingu sum hamrar niðuryvir(um brúnasíðan, grískan mann)2amboð at sláa(negla, smíða, hamra)við, hamari (2),(flutt m.)vera millum tveggja hamrahava tveir ringar kostir í at velja, vera sum lús millum tvær negl;fara undir hamarinverða seldur á tvingsilsuppboði3hamarinbindingarmynstur(HMD Bindm.49);sms. t.d.klink-,kluft-,skúv-,tórs-,øksar-
hamari1	1(hvmfeis.hamrioghomrum)hamar (1)(klettaveggur)2amboð at smíða við, hamar (2)3tann parturin av atløgubryggju sum er oman fyri sjógvin4hani(á byrsu)5(lívfr.)(á fólki)bein (1) í miðoyranum
hamari2	(fisk.,Suð.)hemari,nú skuldi alt tíggjundast: skøtur og fløtur, háar og hamrar
hamarsendi	endi á hamri (1)
hamarsfótur	fótur (5) á hamri (1)
hamarshøvd	høvd á hamri (2)
hamarsklettur	brattur, snipsur klettur(serst. niðri við sjógv),sjóvarklettur
hamarsmerki	(seyðamark)stývt og skorið burturúr aftan og framman
hamarspallur	pallur (2) í hamri (1)
hamarsskaft	skaft á hamri (2)
hamarsskapilsi	lítil hamar (1),eitt hamarsskapilsi
hamarsskel	skelel.skón ið fellur av jarni í smíðing
hamarsskúvur	skúvur (3) á hamri (2),hann læt hamarsskúvin smella niður á eitt skeivt seymhøvd
hamarsslag	1slag við hamri (2),hamarssløg glymja uttan úr túni2(sum mát)rúm at sláa við hamri (negla);mangastaðni var ikki meir enn hamarsslag ímillum húsini
hamarsspjalli	lítil hamar (1),gøtan skákar sær inn millum hamarsspjallar, ið standa út úr eyrinum
hamarstjalartvøst	tvøst av hamarstjøli
hamarstjølur	aftari partur á hvali(úr goti í sveiv)
hamarstrom	trom á hamri (1)
hamartungur	(kvæð.)(um øks)tungur sum hamar (2),tú skalt Tormanni bitra øksi smíða, tjúkka og so hamartunga, munnan ikki víðan
hamast	1halda seg (aftur at), nálgast uppi á, flykkjast (um),leingi gekk hann og hamaðist uttan um húsini;flugan hamast upp á ljósið;stórhvalir hamaðust upp á bátin2(um fólk)hamast burturfara aftur, svinna3(um treystan mat),renna upp aftur, leypa aftur á,maturin hamast afturá (aftur);sker eitt sindur av hvølju upp í hvønn spikbitan, so skuldi spikið ikki hamast aftur á teg4(sj.)ganga aftur, spøkja,hann hamaðist aftur á hann;var danskatíðin av, so hamaðist minnið enn sum áður
hamborgaralin	(søg.)føroysk alin(57,3 cmel.22,5 tummar),stikka 1(1)
hamborgargarn	hamborgartógv
hamborgari	búffsneið í klovnum hveitibolla(vanl. við salati o.ø.)
hamborgarryggur	(lætt)royktur svínsryggur
hamborgartógv	ávíst útlendskt ullgarn
hamfarin	eldhugaður, ovurhugaður,ein hamfarin kensla av lívsins dýrd
hamferð	kv2e:síggja (e-n) í hamferðsíggja fyri sær livandi fólk sum ikki er hjástatt(verður hildið at boða frá illum),hann ið sæddur varð í hamferð, skuldi ikki ganga av árinum, men livdi hann árið út, skuldi hann verða gamal maður;hon hevði sæð teir burturgingnu í hamferð, so teir vóru ivaleyst deyðir;tøgn skuldi vera til árið var farið um at síggja mann í hamferð, annars kom tað yvir ein sjálvan;hann vitjar aftur í hamferð(sum ein hamur, afturgonga);síggja seg sjálvan í hamferðsíggja hamin av sær sjálvum
hamfríður	fríður í útsjónd, vakur, snøggur,ein hamfríður maður;sum tað var hamfrítt, alt hann smíðaði;sbr.handfríður
hamgongusøga	søga um hamar og afturgongur
hamkendur	óveruligur, óunniligur,prestsins hamkenda rødd
hamla	(við árum)skjóta á, stýra í, kyrra á
hamma	trábiðja, bidda, júka,sita og hamma;gakk ikki altíð og hamma;(um mat)hammast aftur á (e-n)hamast aftur á (e-n);(stb.)hammast eftir (e-m)vera óður eftir, brellast eftir
hammikil	1mikil í hami, rúgvumikil, stórur,aldan gongur hammikil og herðabreið2(um fólk)upptúsnaður, feitur, plúsin(í andliti),hatta var eitt hammikið fólk;konan stendur svinn og hammikil á gáttini3(um treystan mat)sum hamast aftur á, rennur upp aftur;nú varð hetta mær ov hammikið(segði ein ið ikki orkaði at eta meir av einum veðrahøvdi)
hammund	sbr.hámund
hampa1	gera hampiligari, snøgga til, nosla,hann hampaði inni í húsinum;hon hampar sær hárið;áðrenn kúgvin fór út, varð hon hampað, bustað og greidd;svanirnir høvdu vaskað sær og sótu nú og hampaðu seg afturum(snákaðu sær);hampa um e-t;hampa uttan um húsini;hampa segel.hampa seg ílata seg í betri klæði, snolla seg
hampa2	hampiligur, røkin, fittligur,eitt hampa fólk;við einum hampa guli høgt;sms. t.d.-drongur,-genta,-kona
hampafólk	hampiligt og røkið fólk, skilafólk, dugnafólk
hampaklæði(r)	góð klæðir,móts.vásaklæði(r)
hampaligur	(sj.)hampiligur
hampamaður	hampiligur og siðiligur maður
hampaorð	hampiligt, sámiligt orð
hampareip	reip úr hampi
hampaskil	gott skil, rættlag, hampilsi,fáa hampaskil á e-t
hampasnælda	snælda at spinna reip, snørio.a.á(úr hampi)
hampasnøri	snøri úr hampi
hampastrýggjur	smáavlop av hampi,úr hampastrýggjum flættaði hann eitt rættiliga gott reip;sbr.strýggj,strýggja
hampatrýni	grummur og ilsligur skortur(Sv)
hampaveður	hampiligt veður, líkinda veður
hampiligur	1skikkiligur, skilagóður,ver hampiligur!(sagt við óskikkiligt barn)2sámiligur, rímiligur, hóskandi,í hampiligari tíð;hampiligur prísur;hj-ligasámiliga, toluliga, rættiliga,ein hampiliga nýggjur og góður bátur;vera hampiliga ílatin(nossliga);eta hampiligaduga borðsið
hampilsi	skil, rættlag,hann fór undir at vaska upp og niður og fáa eitt sindur av hampilsi innanhýsis;einki hampilsi er á henni(t.d. ófantaliga ílatin)
hampingarklæði(r)	betri klæði(sum skift verður í úr arbeiðsklæðum),ganga í hampingarklæðum
hampur	1útl. alivøkstur við trevjamiklum leggi(Cannabis)2trevja úr hampaleggjum(nýtt at virka reip, snøri o.tíl. úr),hampurin varð hongdur upp undir bitan, og so varð spunnið úr honum, men fyrst varð hann greiddur við tókambi
hamra	sláa, berja, buka,tú skuldi verið hamraður;sms. t.d.greyt-
hamragrýn	(stb.)havragrýn
hamramikil	(um lendi)við nógvum homrum,landið er hamramikið og bratt fyri eystan
hamrasíður	(sj.)brúnasíður
hams	(sj.)dumba, rusk í korni;sbr.hamsi
hamsa	1hava á hondum, handfara, handla (1),hann sat og hamsaði ullarlagdirnar;hamsa seyð;tungur at hamsa(um sjúkan mann)tungur at venda, lyfta o.s.fr.2taka harðliga í, taka á hondum, handbera,trøllini fara at hamsa og royta teg;hann átti at verið hamsaður3hamsa fjøður avroyta í smáum, royta varisliga(t.d. tá ið fuglur skrædnar í royting)4taka burtur hamsa(við hondunum),hamsa korn;tá ið dumban er foykt og lættikornið er tínt, verður farið at hamsa strá, aksaknokkar og hamar(tóm byggkorn)burtur úr trognum
