S	rómv. taltekn fyri 70
samfelagsfrøði	frøðigrein ið granskar samfelagið úr ymsum sjónarhornum(fevnir um hagfrøði, stjórnmálafrøði, búskaparfrøði o.s.fr.),sosiologi
samfelagsfrøðingur	ein ið er lærdur í samfelagsfrøði
samfelagsfundur	(átr.)ársfundurel.felagsfundur hjá trúarsamfelag
samfelagsgagnligur	gagnligur fyri samfelagið sum heild, ið fólk flest fáa gagn av,samfelagsgagnligar íløgur
samfelagshjól	samfelagshjólinisamfelagsbúskapurin(sæddur sum ein maskina við nógvum tannhjólum),hann ivast ikki í, at tað fer at eydnast at fáa gongd á aftur samfelagshjólini í Føroyum
samfelagsligur	viðv. samfelagnum;hj-liga
samfelagslív	lívið sum tað verður livað í samfelagnum
samfelagslæra	læran um samfelagið, samfelagsfrøði
samfelagsmál	mál 1(7) viðv. samfelagnum (sum heild)
samfelagsmøti	(átr.)samfelagsfundur
samfelagsskipan	løgfest skipan í samfelag (1)
samfelagsskúta	samfelagsskútansamfelagið sætt sum ein skúta(sum politikarar skulu stýra),upp gjøgnum nítiárini fingust vit við at stýra tí føroysku samfelagsskútuni millum boðar og sker
samfelagsstætt	bólkur av fólki við líkum samfelagsligum umstøðum og korum(viðv. lívshátti, yrki, fíggjarviðurskiftum o.tíl.),stætt (2)
samfeldi	tað at vera samfeldur
samfeldur	1ið ikki slitnar sundur, heilur (1), samanhangandi, samfastur, framhaldandi,samfeldar lindir;í tvey samfeld ár(samfull);í samfeldar tríggjar dagar;hjsamfelt,í níggju nætur róðu vit nú samfelt út á havið2samljómandi, í samljóði,samfelt ljóð
samferðarmaður	maður ið ein ferðast saman við
samferðsla	ferðasamband millum fleiri støð
samferðsluvegur	vegur til samferðslu
samfesti	tað at vera samfastur, samanhang
samfingin	1(um ull)ónappað(av rót (5) og broddi),samfingið tógvspunnið við broddinum;samfingin ull;(flutt m.)tað er samfingið(bæði ringt og gott)2(um mjøl)sum bert tað grovasta er sáldað frá(Sv)
samfullur	samfeldur (1), í heild,í samfull fimm ár
samfundur	tað at finna saman aftur, afturhitting,tað er samfundur aftan á skilnaðin her
samfylgi	heild av samhoyrandi eindum, kervi (2),eitt samfylgi av gjáum
samføra	(búsk.)bera saman(kassapening við roknskap)
samgermanskur	felags fyri germonsk mál og germanskar tjóðir,samgermanskur yrkingarháttur
samgildur	við sama gildi (2) sum,samgild telda[da.analog];sbr.talgildur
samgleðast	gleðast saman við (øðrum),samgleðast (við) e-m
samgonga	1tað at menn úr grannahøgum eru við á fjalli(at skilja sundur og ansa eftir at rætt verður atborið)2serst.fltsamband, samskifti,samgongurnar millum Føroya og Noregs3samskipan, felagsskapur4(stjm.)stjórnarflokkar, landsstýrisflokkar,móts.andstøða 1,samgongan atkvøddi fyri uppskotinum, men andstøðan greiddi ikki atkvøðu;sms. t.d.atlants-,hernaðar-,landsstýris-,stjórnar-,toll-,verju-
samgongublað	(stjm.)blað hjá samgongu (4)
samgonguboð	boð til menn í grannahøgum um samgongu (1)
samgongufelagi	ein sum er í somu (politisku) samgongu sum ein annar,vit/teir eru samgongufelagar
samgonguflokkur	(stjm.)flokkur (1) sum er í samgongu (4)
samgongufundur	(stjm.)fundur millum flokkar í samgongu (4)
samgongulamb	1lamb sum samgongumaður (1) fær2lamb sum verður beint úr grannahaga(RJ Ymist107)
samgongulimur	(stjm.)tinglimur ið er í samgongu (4),allir samgongulimirnir atkvøddu fyri uppskotinum
samgongumaður	1maður sum er við í samgongu (1)(í grannahaga),nú vóru samgongumenninir ansnari um, at grannaseyður ikki skuldi koma fyri2(stjm.)tingmaður í samgongu (4)
samgongumál	(stjm.)politiskt mál 1(7) sum samgonguflokkar taka avgerð um,tað var alneyðugt at taka andstøðuna við og ikki bert gera alt til samgongumál
samgonguskjal	(stjm.)samstarvsskjal undirskrivað av flokkum sum fara í samgongu (4)
samgonguslit	(stjm.)tað at samgonga (4) slitnar
samgongustjórn	(stjm.)stjórn av fleiri flokkum
samgráur	gráur allur sum hann er
samgrógvin	samanvaksin, (tætt) samanbundin
samhald	samanhald, felagsskapur
samhaldsfastur	sum hevur samábyrgd og samstøðu við onnur(serst. í trongum tíðum),samhaldsfasti arbeiðsmarknaðareftirlønargrunnurin[da.solidarisk]
samhaldsfesti	kensla av samanhaldi og samábyrgd(at hjálpa og stuðla øðrum),Føroyar skulu vísa altjóða samhaldsfesti og taka virknan lut í at tálma útlátinum av veðurlagsgassum, sum hótta okkara tilverugrundarlag[da.solidaritet]
samhandil	handilssamband(t.d. millum lond)
samhang	(sj.)samanhang, samheingi
samheild	lutir ið hoyra saman, samanhangandi heild(t.d. eini talvfólk el. eini spælikort)[da.sæt]
samheilur	samanhangandi, óslitin,samheil tilburðagongd
samheingi	samanhang
samheitabók	(málfr.)orðabók við samheitum
samheiti	(málfr.)orð við somuel.næstan somu merking sum annað orð, samnevni (2)(synonymum),móts.andheiti,"fagur" og "vakur" eru samheiti
samhoyrandi	sum hoyra saman
samhoyring	tað at hoyra saman
samhóska	hóska saman
samhugaður	samlyndur, samsintur
samhugaleysur	ið ikki sýnir samhug, við ongum samhugi
samhugalýsing	lýsing (2) ið váttar samhuga
samhugaverkfall	verkfall at sýna samhug við onnur í verkfalli,fara í samhugaverkfall
samhugi	samhugur
samhugur	1samkensla,hava samhug við e-m;vísa samhug við teimum, ið eftir sita við sorgini2góðsemi, sátt, samljóð (2), samlag, samlyndi
samhøvi	samanhang, samband,henda máliska verður nýtt í ymiskum samhøvi
sami1	semi
sami2	sísamur
samjavnaður	(málfr.)tað att.d.orð broytist av ávirkan frá øðrum orði sum er tí líkt(analogia)
samkavi	(Suð.)tað at tað kavar uttan íhald;sbr.samregn
samkennandi	sum hevur samkenslu
samkensla	kensla fyri líðingel.sorg hjá øðrum, samhugur,hava samkenslu við e-m
samkoma	1tað at koma samanel.hittast, fólk ið er samankomið, fundur2trúarsamfelag, savnaður3(veðurfr.)brúgvalag ið kemur av at hitabrúgv og kuldabrúgv koma saman
samkoming	1samankoming (1),samkomingin millum land og hav2tað at koma samant.d.til brúdleyp, gifting, samankoming (3)
samkomufólk	fólk ið ein kemur saman við
samkomuhús	1hús til at hava samkomu (1) í2(bíbl.)sýnagoga
samkomulag	tað at hittast samant.d.til veitsluhald
samkrýndur	l7(plfr.)samkrýnd blóma(heilkrýnd)
samkyn	(málfr.)málfrøðiligt kyn íkomið við samruna millum kallkyn og kvennkyn(t.d. í donskum og svenskum ríkismáli),felagskyn(genus commune)
samkynd	kynsligur hugur á fólki av sama kyni[da.homoseksualitet]
samkyndur	sum hevur kynsligan hug á fólki av sama kyni[da.homoseksuel]
samkynjaður	(plfr.)av sama slag, einvorðin(t.d. um aks samansett av øksum)
samla	savna
samlag	1tað at vera saman við, samband, samvera, felagsskapur,hon misti alt samband og samlag við bygdina;hann vildi koma í persónligt samlag við háskúlalívið2samljóð,fuglarnir syngja í samlag;hann kendi seg í samlag við lívið3(jarðfr.)steinsløg sum í treytaðari røð koma fyri á sama stað
samlagdur	l8(jarðfr.)samlagdar fláirjavnfjarar fláir í sama fláabólki
samlagna	sama lagna hjá fleiri, felags lagna
samlagstrygging	(trygg.)felags trygging(t.d. fyri ein yrkisbólk)
samlandi	landi, landsmaður (2),samlandi mín
samlega	(lívfr.)(um fólk)tað at liggja saman kynsliga, kynslig samvera
samleið	tað at fylgjast (somu leið), fylgi, fylgd,hvør, við Gudi samleið fer
samleikakort	kort ið prógvar samleika e-s
samleikakreppa	tað at vera í ivael.óvissu um samleika sín
samleikaprógv	prógv (við mynd, føðingardegi, føðingarári og persónstali) ið sýnir samleikan hjá e-m;sbr.navnaprógv
samleiki	øll tey viðurskifti ið geva menniskjael.samfelag einstaklingseyðkenni[da.identitet]
samleikur	(serst.ítr.)(gott) samstarv millum fleiri, samanspæl, samspæl,ikki var so lættligur samleikur, sum vera skuldi millum limirnar
samlestur	(skúl.)tað at fólk í ymsum flokkumel.útbúgvingum lesa ávísa(r) lærugrein(ir) saman
samlimur	1(bíbl.)limur (1) í sama likami (t.e.Krists),heidningarnir eru samarvingar og samlimir í fyrijáttanini í Kristi Jesusi2limur (5) í sama felag(sskapi)o.tíl.sum ein sjálvur,samlimir mínir í nevndini
samling	tilvitska, vit, skynsemi,hann er so gamal, at samlingin er farin
samlittur	við sama liti(sum e-t annað),haran er samlitt við lendið
samlíkjast	(gl.)koma á samt, semjast
samlíkur	av sama slag, líkur (øðrum), samvorðin,av samlíkum slag;hjsamlíkt,tað gekk samlíkt(við sama lagel.á sama hátt)
samlív	tað at tveyel.fleiri liva saman,samlív millum hjún
samljóð	1(tónl.)ljómur (av minst trimum) tónum ið ljóða væl saman2e-t ið hóskar saman, samlag, sambæri(millum tveir partar),í samljóði við tíðarandan;í samljóði við náttúruna;í samljóði við føroyskar málreglur3friðsemi,vit tráa eftir friði, t.e. hjartafriði, samljóði í huga og sál[da.harmoni]
samljóða	1(tónl.)vera í samljóði, ljóða (væl) saman;(flutt m.)hóska (væl) saman, semjast2(tónl.)skipa (tónalag) til ljóðføriel.raddir,Bergreen hevur samljóðað Óluvukvæði[da.harmonisere]
samljómur	1(tónl.)samljóð (1),samljómur av tónum2samljóð (2),samljómur millum evni og vilja
samluttikin	(bíbl.)sum hevur lut í e-m saman við øðrum
samlyndi	samhugur (2), góðsemja, góðsemi, sátt, samlag
samlyndur	samlyntur
samlyntur	ið semst væl við onnur
samløga	1tað at leggja saman, samanlegging,samløga av gørðum2(gl.)tað at vera saman um útróður(t.d. býta veiðina javnt o.tíl.),fyrr var samløga í útróðri3(støddfr.)tað at leggja tøl saman[da.addition]
samløgufelag	(búsk.)felag har ið summir limir ábyrgjast við innskoti sínum, aðrir við allari ogn síni[da.kommanditselskab]
sammarknaður	felagsmarknaður
sammál	felags áhugamál
sammenniskja	medmenniskja
sammenniskjansligur	viðv. viðurskiftunum við onnur menniskju
sammentan	felagsmentan
sammerktur	(málfr.)við somu merking,móts.andmerktur,sammerktur við (e-t)
sammeta	meta saman við, bera saman,sammeta e-t við e-t annað
sammeting	tað at sammeta (e-t við e-t annað), samanburður
sammetingareykasetningur	(málfr.)slag av eykasetningi(við sambindingarorði ið lýsir sammeting)
sammiðjaður	l6(støddfr.)sammiðjaðir kringar(við sama miðdepli)[da.koncentrisk]
sammongd	(støddfr.)mongd av lutum sum eru í minst einari av mongdunum A og B
sammund	(gl.)samdøgur,aftur í sammundiðtil somu tíð dagin eftir;tað helt á at kava aftur í sammundið
sammæltur	einmæltur
samnavn	(málfr.)felagsnavn,"hestur", "bók", "træ" eru samnøvn
samnevnari	(støddfr.)størri tal sum allir nevnarar í broti (7) ganga upp í, felagsnevnari
samnevndur	við sama navni (sum annar),samnevndur við (e-n);teir eru samnevndir(eru navnar)
samnevni	1felags nevniel.heiti ið sipar til lutirel.fyribrigdi við samlíkum eyðkennumel.sum eru partar av størri heild,øll hesi evni nevna vit við samnevninum: sulfonamid2(málfr.)samheiti
samnorðurlendskur	felags fyri alt norðurlendskt
samogn	tað at fleiri eiga e-t saman, felags ogn
samognari	ein sum eigur e-t saman við øðrum, medeigari
sampakka	hóskael.høva saman, samtykkja,tey sampakka ikki;eg sampakki ikki við, at ...(eri ikki samdur)
samprent	(prent.)tað at myndabøkur verða prentaðar á ymiskum málum samstundis(at gera tær bíligari)
samprenta	(prent.)prenta í samprenti
samráddur	sum ein er vorðin samdur um, sum avgerð er tikin um;samráddirsamdir,teir vóru samráddir um at gera tað;samráddir dagar(við at kalla sama veðri)
samráð	tað at leita ráð við e-nel.hjá e-m, felags ráðagerðel.avgerð,leggja samráð saman
samráðast	tingast (um e-t mál),samráðast um e-t
samráðing	tað at samráðast, tinging,eftir drúgvar samráðingar
samráðingar-	sms. t.d.-fundur,-maður,-rættur,-skrá
samregn	tað at tað regnar uttan íhald, samfastel.áhaldandi regn
samrigni	samregn(Sv)
samríki	(stjm.)sambandsríki(samansett av fleiri smærri ríkjum)
samríma	vera sambæriligur (við e-t),samríma við (e-t);hetta samrímar ikki við skriftina
samrok	samanhangandi, áhaldandi kavarok(ikki kavaælingur),hann sló í samrok
samróður	1(gott) áralag, semja2(stb.)tað at mennt.d.úr tveimum bygdum rógva út við sama báti,tá helt samróðurin við nesmenn uppat
samruni	tað at fleiri partar, evnio.tíl.renna saman í eitt, sambinding (2)
samrunnin	vaksin saman (við),hann er samrunnin við klettin, hann stendur á
samrúmsmenn	(bát.)menn í sama rúmi (3) á báti
samræði	sátt, semja
samrøða1	tað at tosa saman, samtala, viðtal (1)
samrøða2	tala saman
samrøðuevni	evni ið samrøtt verður um
sams	sísamur
samsekur	sekur við øðrum, sum eigur lut saman við øðrum (í brotsverki)
samsending	1útvarps-el.sjónvarpssending send samstundis av tveimumel.fleiri sendistøðum2sending send í útvarpi og sjónvarpi samstundis
samseting	samanseting
samsigling	tað at sigla saman(t.d.um tvær ferjur)
samsinnast	koma ásamt, semjast,samsinnast við (e-n)
samsintur	á einum máli, samdur,tað vóru tey samsint um
samsipan	líkskapur,samsipan í yvirbregði og andlitsdrøgum
samsjón	(lívfr.)tað at sjónin í báðum eygum er samskipað(so at úr verður ein heildarmynd í tilvitinum)
samskapningur	medmenniskja,allir okkara samskapningar
samskatta	skatta 1(1) hjúnafelagar samanel.undir einum,móts.serskatta,hjún verða samskattað
samskatting	(búsk.)tað at hjún verða skattað saman
samskifta	hava samskifti (2),samskifta við e-n
samskifti	1tað at vera saman um e-t, samband,hava samskifti við e-n;samskifti embætismanna við fólkið er smáligt2sínámillum samband um sjónarmið, boðskapo.tíl.,hava samskifti við e-n[da.kommunikation]
samskiftismiðil	tólel.amboð ið tænir samskifti millum manna(t.d.mál, telefon, útvarp, flutningstól)
samskilningur	tað at hvør skilur annan væl, samlyndi
samskipa	skipa saman, fáa til at virka saman,samskipa tiltøkini
samskipan	1(sam)skipað viðurskifti,her er samskipan og ætlan2samskipaður felagsskapur av einstaklingumel.feløgum við samael.líkum endamáli, samtak,samskipan av ungmannafeløgum;samskipan millum fiskimenn og skiparar
samskipari	ein ið samskipar (e-t)
samskot	samanskot
samskúli	(skúl.)sami skúli fyri øll børn í skúlaaldri
samsnjógvað	avkavað,nú er samsnjógvað
samsongur	(tónl.)tað at syngja saman, felagssongur
samspæl	samanspæl
samstaddur	(plfr.)við fleiri enn einum blaði í somu hædd;sbr.andstaddur,kringstaddur
samstarv	tað at samstarva(st), samarbeiði, samvinna
samstarva	samarbeiða
samstarvsfólk	fólk ið ein samstarvar við
samstarvsmaður	maður ið ein samstarvast við
samstarvsnevnd	nevnd ætlað til at røkja samstarv
samstjórn	(stjm.)felags stjórn (fyri fleiri sameind ríki),í Bretlandi eru trý sameind lond, Ongland, Skotland og Wales, við eini samstjórn
samstundar	(sj.)samstundis
samstundis	í somu stund, um somu tíð, samtíðis,samstundis sum;samstundis við (e-n/e-t)
samstøða	1tað at standa saman2(ným.)samanhald, samhaldsfesti,sýna samstøðu[da.solidaritet]
samstøðupartur	parturel.lutur (av heild),tað dettur sundur í sínar samstøðupartar
samsvar	tað at samsvara, sambæri,í samsvar(i) við
samsvara	vera sambæriligurel.javngildur við, svara til, høva saman við,samsvara við e-t;hitt sanna orðið, ið samsvarar við læruna
samsvarandi	í samsvari við, sambæriligur (1),samsvarandi e-m;samsvarandi vanligum reglum
samsvarsbending	(málfr.)tað at bendingarsnið í einum orði hevur við sær samsvarandi bendingarsnið í øðrum orði(t.d.sama kyn, fall og tal)[da.kongruens]
samsyrgja	hava samkenslu(við e-m ið mist hevur)
samsystir	systir ið hevur bæði foreldur saman við hinum systkjum sínum,samsystir mín;sbr.hálvsystir
samsystkin	systkin við somu foreldrum;sbr.hálvsystkin
samsýna	veita samsýningel.viðurlag, løna aftur,samsýna e-m e-t;dreingirnir hjálptu honum, og hann samsýnti teimum væl fyri tað
samsýning	tað at samsýna, viðurlag, løn,samsýning fyri arbeiði
samsæti	veitsla, veitslulag
samsøga	søga (2) ið tveir (el.fleiri) partar hava í felag,samsøga Føroya og Danmarkar
samt	sísamur
samtak	samskipan(av fleiri smærri felagsskapum),handilslig samtøk;samtak av handilsbýum;sbr.samtøka
samtal	1samtala 1(1), samrøða2(støddfr.)samløga (3)
samtala1	1tað at tala saman, samrøða(t.d. í telefon)2(stb.,sj.)grannastevna3avtala, semja, sáttmáli
samtala2	tala saman
samtalsbók	lítil tvímálslig orðabók(við serligum denti á vanligum orðum og máliskum)[da.parlør]
samtekstur	tekstligt samanhang, málslig heild sum orðel.máliska er partur í[da.kontekst]
samtilvera	tað at liva saman (í sátt og semju)
samtittul	(bókm.)felags tittul fyri bóka-el.greinarøðo.tíl.
samtíð	tíðarskeið ið er samtíðis sum lívstíð hjá e-mel.ávísur tilburður fer framo.tíl.,samtíð okkara;samtíðarheimildir
samtíða	(sj.)samtíðis
samtíðar	(sj.)samstundis
samtíðarfólk	fólk ið livir (el.hevur livað) um somu tíð
samtíðarkunning	(skúl.)kunning um viðurskifti í samtíð næminganna
samtíðarmaður	maður ið livir (el.hevur livað) um somu tíð sum onnur fólk,samtíðarmaður hansara
samtíðarskattur	(búsk.)skattur (1) tikin av løn áðrenn hon verður útgoldin, kelduskattur
samtíðarsøga	søga ið viðger samtíð høvundsins
samtíðis	samstundis,samtíðis við (e-n/e-t)
samtrol	(sjóm.)partrol
samtrola	(sjóm.)partrola
samtrolari	(skip.)partrolari
samtrygging	(trygg.)tað at vera samtryggjaður
samtryggjaður	(trygg.)(um tveyel.fleiri)tryggjað við felags trygging(útgoldin øðrum partinum um hin doyr)
samtykki	loyvi, viðhald, góðkenning,hann gav samtykki til giftuna
