M	rómv. taltekn fyri 1000
mannatal	liður í ættartali, stig í skyldskapi,teir eru skyldir, men eg minnist ikki mannatalið
mannatala	fólkatos,slík spillandi mannatala
mannatilfeingi	tey fólk sum eru tøk til at gera e-t (ávíst) arbeiði,Føroyar hava altíð nýtt minni fíggjartilfeingi og mannatilfeingi til gransking og menning enn aðrar tjóðir, sum vit samanbera okkum við
mannatokki	(bíbl.)(manna)kærleiki, góðvild, yndi (1), tokki,mannatokki er betri enn silvur og gull
mannatol	tolsemi[da.tolerance]
mannatos	(sj.)fólkatos
mannatrekkur	skarn undan fólki, fólkaskittur, fólkalortur, kukkur
mannatrongd	trunkan av fólki,(kvæð.)mikil var mannatrongd;hann stóð í mannatrongd
mannatunga	tunga á fólki, fólkatunga, manstunga,á mannatunguí talu millum manna, á mannamunni;(fólktr.)steinur brestur fyri mannatungu(um spírstungu);koma undir mannatunguverða fyri mannarópum
mannavegur	mannagøta
mannaverk	verk gjørt av menniskjum
mannavinur	ein sum ósjálvsøkin roynir at bøta um kor manna, vælgerðarmaður, mannvinur[da.filantrop, altruist]
mannavit	menniskjaligt vit, fólkavit, mansvit
mannavísi	(bíbl.)í osb.á mannavísieins og menniskja, á menniskjaligan hátt,eg tali á mannavísi
mannaætt	øll menniskju, menniskjan, mannaheimur (2)
mannberandi	l óbí osb. sumikki mannberandiikki mannbærur
mannbit	mannabit (2),eg visti tað altíð, at fólk fór at koma, tað kom sovorðið mannbit á meg
mannbít	(sj.)mannbítur
mannbítur	1hundur ið bítur, bithundur, bitvargur (1),tíkin var vorðin ein sovorðin mannbítur2eingin mannbíturfriðarfólk
mannblíður	manngóður, menniskjansligur,kátur og mannblíður
mannbyrði	tað at bera fólk,mannbyrðin er tung
mannbærur	sum maður er mentur at bera, mannførur (2),sekkurin er mannbærur;hetta er ikki mannbært(ov tungt hjá einum manni at bera, ikki mannberandi, ikki beringarført)
manndómsár	ár 2 um miðjan aldur hjá manni
manndómsbragd	avreksverk, roysni, (kall)mansbragd, mannroynd,gera manndómsbragd
manndómsmaður	megnarmaður, avreksmaður, roysnismaður
manndómsroysni	manndómsbragd
manndómur	1tíðin tá ið ein er vaksin maður, manndómsár2mót, dirvi, áræði, manslæti,tað skuldi manndómur til at taka slíkan hornaseyð á brattlendi, tá ið hann leyp á við ferð3førleiki hjá manni at fáa børn,eg skuldi taka manndómin av honum(gelda)4(kvæð.)æra, heiður,ger tað fyri manndómur tín
manndráp	tað at drepa fólk, mansmorð
manndrápari	ein ið drepur fólk, drápsmaður, morðmenni, blóðmaður
mannfall	1tað at menn falla í bardaga, mannsláttur, mannspell,har var stórt mannfall2(ítr.)tað at lið hevur mist fólk(avt.d.sjúku, skaða)
mannfelag	samfelag (1),føroyska mannfelagið
mannfelagsligur	samfelagsligur
mannfelli	tað at nógv fólk doyr,mannfellið er stórt
mannfíggindaligur	mannvándur
mannfíggindi	ein ið hatarel.vanvirðir onnur
mannfjøld	fjøld av fólki, mannamúgva, mannaskari, mansfjøld,í mannfjøldmeðan nógv lýða á
mannfólk	1fólk av kallkyni, maður, kallur,eitt prúdligt mannfólk2(samt.)menn, kallmenn,renna eftir mannfólki;ganga við mannfólki
mannfólka-	sms. t.d.-andlit,-arbeiði,-búni,-flenna,-fleyggja,-kamar,-klæði,-navn,-rødd,-skógvur,-veitsla
mannfólkaeydna	tað at vera væl dámd av mannfólki, tað at hava yndi hjá mannfólki,hon hevur góða/ringa mannfólkaeydnu
mannfólkahond	1hond á mannfólki2í osb.væl/illa mannaður upp á mannfólkahondinanógv/lítið fólk til mannfólkaarbeiði
mannfólkahugur	(girndar)hugur (hjá konufólki) á mannfólki
mannfólkamegin	(kirkj.,gl.)tímegin ið mannfólkið sat(høgrumegin sæð fram í kór),móts.konufólkamegin
mannfólkarimpa	(niðr.)mannfólkarippa
mannfólkarippa	genta ið er óð eftir mannfólki, (manna)rippa
mannfrøði	frøðigrein um menning menniskjans og ættarbond tess við aðrar skapningar[da.antropologi]
mannfrøðingur	ein ið er lærdur í mannfrøði
mannfyltur	fullur av fólki,í hesum mannfylta rúminum
mannføri	(Suð.)tað sum maður er førur fyri at bera, mansbyrði,eitt mannføri
mannførur	1mansligur, menskur2sum ein maður er førur fyri at gera, mansførur,steinurin er ikki mannførur(ikki mannbærur, ikki beringarførur)3sum ikki er farandi (um) hjá fólki,áin var ikki mannfør
manngalin	óð eftir mannfólki, mannkær,hatta konufólkið gongur spinnandi manngalið
manngarður	1flokkur av fólki, mannamúgva, fólkamongd, mannringur,menn eru trunkaðir í manngarð uttan um sýslumannin2ringur av fólki,gera manngarð um e-tmanna e-t3(ítr.)leikarar ið standa lið um lið millum bóltin og málið tá ið fríspark er(til at forða fyri skoti)
manngingin	(skaldsk.)gingin av fólki,manngingin gøta
manngjøld	(søg.)bót fyri at hava dripið mann(goldin ætt hins dripna),mansbót,hann hevur goldið tvinni manngjøld
manngjørdur	gjørdur av mannahond, kunsturligur (1), kunstigur,manngjørd amboð
manngonga	gonga av fólki,manngongan kom so rúgvumikil inn í krambúðina
manngóðska	mannakærleiki
manngóður	sum er góður við fólk, menniskjansligur,tann gamli, manngóði lærarin
manngøta	(Sa.)mannagøta,manngøtan millum Sands og Húsavíkar
mannhali	hali (6) av fólki, bíðirað, dregil (4),geva seg upp í ein mannhala framman fyri seðlalúkuna í einum leikhúsi
mannhjálp	menniskjanslig hjálp, neyðhjálp
mannhol	(sjóm.)trongt holel.op(t.d.í dekki, guvuketli, olju-el.vatntanga)sum maður fær kropið ígjøgnum
manniliga	mansliga, djarvliga, reystliga,(kvæð.)standið nú so manniliga
manning	bólkur av fólki savnaður at gera ávíst arbeiði saman(t.d.um borð á skipi, báti, flogfari),mannskap(ur), mannaskipan,øll manningin varð bjargað;(orðt.)maturin erel.liggur undir manninginitað veldst um innløgumenninar hvussu matvánirnar eru;sms. t.d.báts-,skips-
manningarfelag	fakfelag fyri sjófólk,manningarfeløgini: Føroya Skipara- og Navigatørfelag, Maskinmeistarafelagið og Føroya Fiskimannafelag hava gjørt nýggjan sáttmála
manningarlisti	(sjóm.)listi yvir mynstraða manning á skipi
manningarrúm	(skip.)rúm til manningina, fólkarúm,manningarrúmini eru øll har afturi
manningarskjal	(sjóm.)skjal ið tilskilar ávís viðurskifti fyri manning umborð á skipi,tann 22. oktober fingu vit nýtt manningarskjal fyri sama skip, har manningartalið er lækkað úr 7 niður í 5 persónar
mannkomin	(um ungmenni)komin til mans, mannvaksin, fullvaksin,hann var mannkomin, tá ið hann var fermdur
mannkykt	livandi menniskja, manskykt, mannkyn,hvørt mannkyktalt livandi;ikki eitt mannkykteinki livandi, eingin ein
mannkyn	1mannkyniðmannaættin, menniskjan2menniskja, fólk, persónur, manskyn,ikki eitt mannkyneingin, ikki eitt mannkykt;hvørt mannkyn3kallkyn (1), mannfólk,hon firnast mannkynið
mannkær	óð eftir mannfólki, manngalin,mannkær genta
mannleysur	1(um skip)við ongari manning, við ongum á vakt,hann hevði lagt skipið mannleyst2einsamallur, við ongum fylgisneyta,Símun fór í trý ár ikki mannleysur úr bygdini;mær dámar ikki at liggja mannleysur(einsamallur í húsi)3fólkaoyðin, fólkatómur, mannoyðin,tað hevur verið mannleyst í Dímun(eingin bóndi);grindin kundi ikki liggja mannleys(við ongum vaktarmonnum);har er ongantíð mannleyst(altíð fólk)4mannleyssum hevur mist mann sín,sbr.konuleysur
mannligur	1viðv. monnum, (kall)mansligur, mannfólkaligur,mannlig hjálp2menniskjaligur,mannligt hjarta
mannlíkur	líkur menniskja,mannlíkur skapningur;mannlík apa
mannloysi	ov lítið (arbeiðs)fólk, fólkaloysi,brúkið er fyri órøkt av mannloysi
mannlyndi	fólkalyndi, persónmenska, persónleiki
mannlýsing	1lýsing av persóni í máliel.mynd2(bókm.)lýsing av lívi og lyndiseyðkenni hjá søgupersóni, persónlýsing,mannlýsingin er einføld og fáskift;mannlýsingar hansara tykjast sannar og sterkar
mannmildi	umhyggin atferðel.hugburður, mannakærleiki,sýna mannmildi[da.humanitet]
mannminkan	tað at ein er lítið í metum, tað at verða fyri misboði, minkan (2), vanæra, vansømd, vanvirðing,tað verður ikki roknað honum til mannminkan
mannminkandi	sum veldur (e-m) mannminkan, vanærandi, vanæruligur,mannminkandi gerð
mannmynd	1(bókm.)persónur í (skald)søgu,mannmyndirnar í skaldsøguni eru allar teknaðar eftir livandi fyrimyndum2mynd ið fólk ger sær av manni, ímynd,mannaættini dámar væl at vísa á mannmyndir og fyridømi, sum tey kalla hetjur[da.image]
mannoffur	(átr.)tað at ofra fólk(til guddóm),krevja mannoffur
mannoyddur	(bíbl.)oyddur við fólk, óbygdur, fólkaoyðin, manntómur,mannoytt land;mannoyddar borgir
mannoyði	(bíbl.)staður oyðin við fólk, mannoyðin staður,eg hugdi meg um, men sí, har var mannoyði
mannoyðin	oyðin við fólk, fólkaoyðin, fólkatómur, mannleysur (3)
mannpartur	(stb.)manspartur,helvtin av súluni er mannpartur
mannreitingur	(stb.)ein sum er herviligur at arga, ertari, argapisa (1)
mannringur	mannamúgva, mannaskari, manngarður (1),ein mannringur lýddi á hann
mannroynd	manndómsbragd, roysni, avreksverk,tað var mannroynd at seta mastrina upp á áttamannafari, tá ið báturin varð rógvin
mannræddur	sum firnastel.ræðist fólk, fólkaræddur, fólkastyggur,hann er støkkin og mannræddur
mannræðsla	tað at vera mannræddur
mannskaði	1skaði sum fólk fær2mist mannalív, mannfall, mannsláttur (1), fólkaskaði,eingin mannskaði var;(tilt.)alt bøtist aftur uttan mannskaði
mannskap	(sjóm.)manning, mannaskipan
mannskapur	1manning,(orðt.)matur(in) erel.liggur undir mannskapinum,símanning2máttur, megi, orka,gera e-t við mannskapi(við hørðum (tøkum));tað skal mannskapur tiltað skal leggjast øll orka í
mannsláttur	1manndráp, dráp,morð og mannsláttur2bardagi, stríð, handbrá
mannspell	fólkaskaði, mannskaði (1), mannfall, mannsláttur (1),(kvæð.)mannspell var at meini
mannsterkur	fjølmentur, væl mannaður,mannsterkir og albrynjaðir
mannstórur	sum maður so stórur
mannstyggur	sum ræðist fólk, fólkastyggur,fyrr í tíðini var starin mannstyggari
mannsømandi	sum sømir monnum, mannvirðiligur, mannverdur,mannsømandi kor
mannsømd	menniskjalig virðing, mannvirði
mannsømiligur	mannsømandi, mannvirðiligur, mannverdur,mannsømilig kor
manntal	1tað at telja íbúgvar (t.d.í landiel.á avmarkaðum øki), fólkateljing,skriva í manntal;fyrsta manntalið í Føroyum var í 17692(gl.)ikki manntaleinki menniskja, ikki eitt mannkykt
manntalslisti	fólkayvirlit
manntokki	fólkaeydna
manntómur	oyddur við fólk, mannoyðin, fólkatómur,í Kolsvík er aftur vorðið so manntómt;manntóm tún
manntýggi	ódugnakroppur, ónytta, úrdrag (2), manseiti,hatta er tað manntýggið, ið er;óreint í manntýggini
mannúlvur	tarvur sum gongur eftir fólki, illur tarvur;(flutt m.)hann var eingin mannúlvur(friðarfólk)
mannvaksin	(um ungmenni)vaksin til mans, mannkomin, fullvaksin,hann var nú so mannvaksin, at hann gjørdi húskallaarbeiði
mannvargur	1ráur og harðrendur persónur, illmenni2(um hund)bitvargur, mannbítur, bithundur,hatta er mannvargur;(um barn)bítur sum ein mannvargur
mannvándur	sum vanvirðirel.hatar onnur, mannfíggindaligur,hon var ikki so áleypandi og mannvánd longur;bóndin er mannvándur, býður tænastufólkinum ovsleip
mannvera	menniskjalig vera, menniskjaligur skapningur, menniskja
mannveran	mannlyndi, medferð, lyndi, verulag,mannveran hans hevur djúpar røtur í siðmenningini
mannverdur	mannsømandi, mannvirðiligur,tann einasti mannverdi útvegur úr øllum trongstøðum
mannvinur	mannavinur
mannvirði	menniskjaligt virði, mannsømd
mannvirðiligur	viðv. mannvirði, mannsømandi
mansaldur	1miðallívstíð hjá einum menniskja(o.u. 70 ár),mansævi,í ein heilan mansaldur;vera komin á mansaldur2tíðin millum tvey ættarlið(vanl. triðingsøld)
mansandlit	andlit (á fólki), ásjón (1)
mansarbeiði	arbeiði ið mannfólkvanl.plagar at gera, mannfólkaarbeiði,hann var ikki førur fyri at gera mansarbeiði
mansarmur	armur á manni,sum mansarmur(til tjúktarel.longdar)
mansbarn	1barn (1) (hjá fólki)2menniskja, maður (3), fólk,hvørt mansbarnøll;hann hevur ongantíð tosað við nakað mansbarn, ið er sum hon
mansbót	(søg.)bót fyri at hava dripið mann, manngjøld
mansbragd	manndómsbragd, roysni, avreksverk,hann ger sítt mansbragd, áðrenn hann er hálvhjaraður
mansbróðir	(gl.)bróðir at manni (2), svágur (konu),mansbróðir hennara
mansbyrði	(stb.)tað sum maður er førur fyri at bera, mannføri,ein mansbyrði er sekstan súlur;trý bundi eru ein mansbyrði
mansdirvi	dirvi (hjá fólki), reystleiki, áræði,vísa mansdirvi
manseiti	kventlutur maður, ómenni, ónytta, manntýggi,hann er ikki maður, men manseiti
mansevni	1(serst. um unglinga)tilfar til rættan mann, unglingi ið gevur góðar vónir,tað er mansevni í honum;leingi stendur mansevni(num) til bata2evnaligur maður,einki mansevni var3stirðil,enn er mansevni í fólki okkara
mansfjøld	mannfjøld,hann fæst við at vera í mansfjøldhann verður taldur millum menn(Sv)
mansfótur	fótur á fólki, mannafótur,síðan tá hevur ikki mansfótur verið á rókini
mansføri	(Suð.)mannføri,hetta er eitt mansføri, hetta mást tú bera
mansførur	mannførur (2),henda byrðin er ikki mansfør(ikki mannbær)
mansgerð	mansbragd, roysni,gera mansgerð
manshjarta	mansmót
manshond	hond á fólki, mannahond,gjørt av manshond;(tilt.)alt kemur aftur, sum ikki manshond hevur verið áel.sum ikki er komið í manshond(sum ikki er stolið);sbr.mannahond,tjóvshond
manshædd	hæddin á tilkomnum manni,steinurin var góða manshædd høgur
manshøgur	høgur sum ein tilkomin maður,manshøgur garður
manshøvd	høvd á manniel.fólki
manshøvur	manshøvd
mansjønskur	(stb.)malsjønskur
manskett	(breið) líning niðast á ermi(t.d. á skjúrtu)
manskór	(tónl.)songkór av mannfólki
manskreftir	mansmegi,hon hevði manskreftir
manskur	íel.úr Mon,mansktgæliskt mál í Mon
manskykt	mannkykt,ikki eitt manskykteingin ein
manskyn	mannkyn (2),ikki eitt manskyn eftireingin eftir
mansleypur	(stb.)(heldur) stórur leypur,til sorneldin fór ein mansleypur av torvi
manslið	(ítr.)ítróttalið av mannfólki
mansligur	1menniligur, kallmansligur, prúður,ein breiðvaksin, manslig genta2sum sømir manni, mannsømiligur,mansligur atburður;hj-liga;sms. t.d.eins-,kall-,ó-,stór-
manslíki	h25í osb.í manslíkisum menniskjael.maður
manslít	kv2eí osb.gera manslítgera mansverk, gera somu nyttu sum vaksið fólk
manslyndi	mansligt lyndi, lyndi í manni,tað er ikki manslyndi í honum
manslæti	mansligur atburður, manndómur (2), manslyndi,altíð til reiðar at pota manslæti inn í hann
mansmaki	mans maki,símaki 1(1)
mansmegi	megiel.evni hjá manni, manskreftir, arbeiðsmegi (1),rista alt av sær við sínari mansmegi
mansmerki	farvegur eftir menniskjumel.mannabústaði,har sæst mansmerki eftir;øll rekatrø, sum ikki mansmerki sást á, vórðu býtt til jørðina;sbr.bóndatræ,ognartræ;skeggið er mansmerki(tekin um manndóm)
mansmetta	nóg mikið av mati til at metta eitt menniskja, mansverður,ein mansmetta er í hesum
mansmorð	dráp, morð, manndráp,dylja e-t sum mansmorðhalda e-t fullkomiliga dult
mansmót	dirvi, áræði,sýna mansmót og manshjarta
mansmynd	mynd av manniel.fólki
mansnavn	(málfr.)mannfólkanavn
manspartur	partur (av veiðu) sum lutast hvørjum veiðimanni, mannpartur
mansroynd	mannroynd
mansrødd	rødd á manni,ein reyst mansrødd
mansskurður	tað sum maður sker av torvi um dagin, o.u. ein bátur (3),tríggir mansskurðir vóru ársbrenni
manssonur	(bíbl.)menniskjusonur
manssystir	systir at manni (2);sbr.konusystir
manstandur	neyðarsligt mannfólk, merlingur
manstunga	tunga á manniel.fólki, fólkatunga;(fólktr.)manstunga kann spreingja steinsteinur brestur fyri mannatungu,sbr.mannatunga
manstur	(bát.,stb.)mastur
mansverður	verður 1 ætlaður einum manni,ein stórfuglur var mansverðurin, ein álka konufólkaverðurin;hundur skal hava ein mansverð, eina mettu, um dagin
mansverja1	(ítr.)tað at mansverja 2
mansverja2	(ítr.)royna at forða fyri at ávísur leikariel.ávísir leikarar á mótstøðuliðnum fáa bóltin(serst.í hondbólti),Kyndil byrjaði við at mansverja toppskjúttan
mansverk	h3í osb.gera mansverkgera somu nyttu sum vaksið fólk, gera manslít
mansvirði	virði sum menniskja,kenni meg ikki hava sama mansvirði og áður
mansvit	menniskjaligt vitel.skynsemi, fólkavit, mannavit
mansævi	mansaldur (1), mannaminni
maoisma	(stjm.)kommunistisk stevna(eftir kinverjanum Mao Tse-tung (Mao Zedong))
maoistiskur	(stjm.)viðv. maoismu
maoistur	(stjm.)ein ið tekur undir við maoismuni
mappa	1stívt umslag(til t.d. skjøl, tekningar)2tunn fløt (leður)taska,skjalamappa3stórur flatur pungur,seðlamappa
mararmýggja	sbr.marramýggj
mararvøttur	(stb.)njarðarvøttur
maratonrennari	(ítr.)ein ið rennur maratonrenning
maratonrenning	(ítr.)renning á 42,195 km longum teini eftir vegi(oftastbyrjað og endað á sama stað)
marbakki	brattur bakki í botninum(í sjónum tætt inni við land),grunnbakki
marbendil	1(fólktr.)marmennil,sum ein marbendil so klænur(um klantrasligt fólk)2(plfr.)pína 1(2)
mardi	símerja
marfluga	(dj.)slag av smáum krabbadýri ið livir í sjónum nær landi, bogga, sjótrøll (2)(Gammarus)
marga	breddi á blaðsíðu
margarin	føðievni úr ymsum fitievnum elt saman til deiggj líkt smøri, smørlíki
margarina	(gl.)margarin
margatal	h5í osb.í margatalií stórum tali, í hópatali, í rúgvutali,rottur í margatali
margblømdur	(plfr.)við mongum blómum,klasin er margblømdur;margblømt ryski
margbroyttur	ógvuliga ymisligur, fjølbroyttur, skiftandi,margbroytt lív
margbýli	fjølbygdur staður,móts.einbýli
margbýlingur	fjølbygdur býlingur,móts.einbýlingur
margbýlisplanta	(plfr.)planta ið ber bæði ein- og tvíkynjaðar blómur á ymiskum einstaklingum;sbr.einbýlisplanta,tvíbýlisplanta
margbøðil	herviligt bølmenni (1), harðstjóri(Sv)
margfald	(støddfr.)úrslit av falding 2,skaðabótin varð ásett til tilskilað margfald av árslønini[da.multiplum]
margfalda	gera fleiri ferðir meiri, fleirio.s.fr., endurgeva í fleiri eintøkum
