n	(málfr.)hjáljóðsstavur (nevndur[ɛn:])
ná2	(gl.,stb.)nei
náa	1koma fram til, fáa takel.fatur á, røkka,náa e-m;eg náddi honum ikki;náa at e-m;náa á e-t;teir náddu ikki á lendingina;so fimur var hann, at eingin náddi fram at honum;hevði eg nátt honum!(so skuldi hann fingið av at vita)2fáa loyviel.høvi til, sleppa 2(2),um hann møtti teimum og náddi at drepa teir;hann náddi at dyrgja;tú skalt náa við(sleppa við);eingin nær at síggja Guds ríki, uttan hann føðist av nýggjum3hava tíð til, hava stundir,eg nái ikki at koma;eg nái ikki at standa her;hvørki teirra náddi út
nábalsklógv	ein ið er sera pírin, kargt fólk, kargakoka
nábalskrókur	k6í osb. sumhatta er farið í nábalskrók(horvið og finst ikki aftur)
nábleikur	líkbleikur
nábúgvi	granni
nábúi	nábúgvi(Sv)
nábúlag	(stb.)grannalag,í nábúlagnum
náð	1friður, ró 1, hvíld,í náðumí friði;sita í frið og náðum;lítið er gott við frið og náðumlítið er gott tá ið tað verður notið í frið;geva sær góðar náðirgeva sær góða tíð;eg fái ikki náðir fyri henni, sum hon plágar meg;ikki hava náðir (til e-t)ikki hava tíð (til e-t);(orðt.)góðar eru fátækrael.fátækar náðirbetri er at liva í friði enn at vera ríkur;tá ið tað býtta lagið kom á hann, gjørdi hann ikki Gudi náð(gav hann ongum frið)2hjálp,eg eri ov gamal at liva av náðum longur(olmussu);snávaði ein har, so vóru ongar náðir(eingin vón um bjarging, eingin bøn)3(átr.)náði (1),Guds náð;at biðja til Gud um náð;ikki Guds náðikki tað minsta vet;tað kemur ikki Guds náð uppaftur(einkit.d.av eplum);sms. t.d.guds-,húsnáðir,matnáðir,ó-
náða	1vísa (e-m) náði, geva náði, vísa samkenslu, miskunna, várkunna,Gud náði teg!;Gud náði meg syndara;Jesus náði (tú) meg!;Gud náði tann, ið ongan góðan eigur;hann náði okkum fyri sangi(um sera vánaligan sang)2linkael.lata revsing falla burtur, broyta deyðadóm til mildari dóm, lata deyðadømdan liva,fangarnir vórðu náðaðir
náðar-	sms. t.d.-andi,-gáva,-gerð,-leysur,-ljós,sínáði-
náðarvald	h3/5í osb. sumslíkt hevur ikki verið í mínum náðarvaldi(ikki í veranum);eg eigi tað ikki í mínum náðarvaldi
náði-	sms. t.d.-andi,-gerð,-kraft,-ljós,-lyfti,-orð,-stund,-verk
náði	1(átr.)Guds fyrigeving, kærleiki og miskunn, miskunnsemi, samkensla, várkunn, náð (3),einans maður fann náði hjá Gudi;hann fær ikki náði, uttan at hann letur burtur av festinum(prestur kom at bírætta hann)2hjálp(veitt av góðum hjarta),teir kunnu ikki ana uttan annans náði3(við el. um tignarfólk),tygara náðitygara hátign
náðiár	(bíbl.)árel.tíðarskeið tá ið náði Guds er menniskjum í boði,kunngera eitt Harrans náðiár
náðibreyð	uppihald (1) veitt av miskunn
náðifullur	(átr.)náðiríkur
náðigáva	(átr.)serstøk evni ið heilagur andi gevur summum menniskjum
náðigur	(átr.)ið sýnir náði, miskunnsamur, várkunnsamur,Harrin veri tær náðigur;Harrin er mildur og náðigur
náðileysur	miskunnarleysur, eirindaleysur
náðiligur	1ið sýnir náði2ið tekur smáliga til sín, smákrevjin, kravlítil, eyðmjúkur,tú ert so náðiligur(etur lítið)3ið tekur lítið til tá ið latastel.matgerast skal4vánaligur, slættligur (2),tað er so náðiligt(nátturðaborðið);hj-liga
náðing	tað at náða (2)el.verða náðaður,dømd fólk, sum bíða eftir náðing
náðinsgarður	garður (5) lagdur aftur at prestagarði til prestaeinkju,í 1632 vórðu náðinsgarðar lagdir aftur at øllum prestagørðum í Føroyum
náðir	sínáð
náðiríkur	(átr.)ríkur við náði, náðifullur, miskunnsamur
náðistólur	(bíbl.)lokið á sáttmálaørkini, náðarstólur(2. Mós.25.17;3. Mós.16.2)
náðugur	(gl.)náðigur,náðugi harri
nágranni	næsti granni
nágreina	greina gjølla
nágreiniligur	ið fer út í æsir, sum roynir at fáa alt við, neyvur, gjølligur, djúptøkin, djúpgongdur, greiniligur,ein nágreinilig frágreiðing, kanningo.tíl.;hj-liga
nágreining	1tað at nágreina2tað at lýsa staklutir(t.d. á húsatekning)
náhond	(dj.)slag av koralli(Alcyonium digitatum),niður á 70-80 metrar eru hópar av gulligum og ljósareyðum korálslagi, vit nevna náhond
náhvalur	(dj.)slag av hvali(ljósur við tøttum dimmum blettum)við 2-3 metra langari tonn fram úr yvirkjaftinum(við foyrum vundnum í snúður fram eftir henni)(Monodon monoceros)
náhvítur	hvítur sum lík, líkbleikur,náhvítur í andliti
náhøvur	(dj.)firvaldaslag av sveimaraætt(Acherontia atropos)
nákvæmi	nærkvæmi
nákvæmur	nærkvæmur (1)
nál	1spískt klænt amboð til at seyma, hekklael.festa e-t við(ofta við eyga (4) á endanum),leita sum eftir nálleita væl eftir e-m;hatta er sum at leita eftir nál(ringt at finna);ikki duga at halda á nálikki duga at seymao.tíl.;so fátækur sum nál uttan tráðel.sum nálin, ið ongan hevur tráðin(blóðfátækur);so skal hon vera so nakin sum nálin, ið ongan hevur tráðin(um dóttur ið giftist móti vilja faðirs síns);sita sum á nálumvera ótolin(t.d. eftir at sleppa avstað)2kumpasnál,(kvæð.)nálin vísti teim leið;kumpasin er kvik á nálini(viðbrekin, viðkvæmel.kløkk);(flutt m.)kvikur á náliniillsintur, snarsintur, knappsintur;hon er so leys á nálini(flogsut);fara av nálinigerast í ørviti;hann drakk seg út av nálini(oyðilegði seg av drykkjuskapi)3(plfr.)tað fyrsta ið kemur upp av plantuel.urt (um várið), gróðrarnál, gróðurnál, spíra 1,tá ið lambið er 14 dagar gamalt, fer tað at taka nál(tá er tað grasbitið)4spíra 1 á epli(serst. á setepli),eplanál,taka nálirnar av eplunum5(plfr.)nálarskapað blað á nálatræ, barr 26(lækn.)holnál;sms. t.d.fína-,knappa-,lás-,riv-,seymi-,silvur-,sjó-,slips-,stakka-,svaðháls-
nálabræv	samanlagt lítið pappstykki við seyminálum
nálakoddi	nálapúta
nálaprentari	(teld.)prentari (2) sum prentar stavir og myndir við nálum og litbandi[en.matrix printer];sbr.geislaprentari
nálapúta	lítil koddi til at seta seyminálir og knappanálir í(til at goyma tær),nálakoddi
nálareyga	eyga (4) í ovara enda á nál til at draga tráðin ígjøgnum
nálarhúgvusoppur	(plfr.)slag av húgvusoppi(Mycena capillaripes)
nálarhús	lítið ílat til at goyma nálir í, nálarhúsi
nálarhúsi	nálarhús
nálarhøvd	høvd 2(4) á nál
nálaroddur	oddur 1 á nál,hon stóð sum á nálaroddum(sum á nálum)
nálaskógur	skógur við nálatrøum
nálatorva	kv1í osb. sumfara (liggja, leypa) í nálatorvu(um epli)næla so nógv at nálirnar fløkjast saman
nálatræ	(plfr.)træ ið ber nálir (og ikki leyv), barrtræ
nálavers	(fólktr.)vers at siga tá ið ein hevur mist nál burtur(til at finna hana aftur)
nálaviðgerð	(lækn.)tað at viðgera sjúku við at stinga nálir inn í kroppin[da.akupunktur]
náleyga	nálareyga(Sv)
nálg	1eittserst.barn ið nálgastel.fjeppast uppi í e-m,tú ert eitt nálg2í osb.hava (fáa) nálg atel.á e-mhavael.fáa sterkan kynsligan hug á e-m
nálga	1nálga segel.nálgast (uppi íel.uppi á e-m)1fjeppast (uppi í e-m), amast (1),tað eru ikki øll, ið hava títt hegni til at nálga seg upp at prestum og tílíkum fólki;hann nálgast altíð uppi í honum(heldur seg altíð í nánd av honum);grind, ið liggur og nálgast at einum marbakka2plágael.júka upp í saman(eftir e-m sum ein vil hava);gakk ikki og nálgast(sagt við barn sum t.d. ikki vil sleppa mammuni)3hava girndarhug, vera óður eftir e-m,hon nálgast uppi á honum2(sj.)fáa ein at fjeppast uppi í sær,konufólkið hevði nálgað bróður upp í seg
-nálga	síkorka-
-nálgur	síkonufólka-
nálgutur	ið hevur hug at nálgast
nálstunga	(stb.)tráður at draga út í nál,lat meg fáa eina nálstungu frá tær
náltráður	passaliga langur seymitráður, tráður við ávísari longd at seyma við(við nál),lat meg fáa sum ein náltráð til longdar;eg havi ikki so frægt sum til ein náltráð
nálvaksin	l26(plfr.)nálvaksið blaðmjátt, strent, runtel.flatt stívt blað
nám	1øki við holu og gong(um) undir jørð har iðt.d.málmur verður vunnin,kolanám;opið námnám høgt inn í yvirflatan á jørðini2tað at nema sær kunnleika, útbúgving, lærdómur, skúlagongd,námið endar við próvtøku3mark,brekkunám;kavanám4varhugi, ánilsi (1),hava sovorðið nám av e-m;tey eldru fólkini hava eitt nám um tað5ivasamt tekin um at kúgv er til tarvs,eg helt eitt nám vera á kúnni6(stb.)ampi,eg havi sovorðið nám av tí7(stb.)lítil ójavni(t.d.í einum kletti), ánæmi (2),har var eitt nám, sum eg fekk sett fótin á;sms. t.d.an-,brúgvar-,frost-,gjar-,gras-,hug-,land-,próv-,skriðu-,æl-
náma1	nám (1)
náma2	taka, stjala,náma e-t frá e-m;hann námaði gentuna frá honum
námd	nánd,í námd(ini);her í námd
námi	náminda 2,hvørki nær ella námi;eingin kundi koma honum nær ella námi
námind	náminda 1,har var eingin í námind;friður verður ikki í námindum
náminda1	nærleiki, nánd,í náminduel.í námindumtætt við, í nánd;her í námindu;hann tordi ikki at koma sær í námindu
náminda2	námindis,ikki kom hann nær ella náminda øðrum
námindi	námindis
námindis	nær við, tætt við, tætt hjá, í nánd, nærindis, náminda 2,ikki nær námindis;eg kom honum ikki nær námindis1(ikki í nánd við)2(var nógv lakarit.d.í kapping),ikki nær ella námindis;hann er ikki nær námindis so sterkur sum eg
náming	(stb.)mark millum harðan og bleytan botn,nú koma vit um námingina
námleiki	tað at vera námur
námmið	mið 1(1) ið er lítið til ummáls(og tí ringt at leggja),námt mið
námmiðað	(um mið)so lítið at tað má leggjast ógvuliga nett,miðið er so námmiðað
námsarbeiðsmaður	maður sum arbeiðir í námi (1)
námsár	(skúl.)lestrartíð, lestrarár
námsevni	(skúl.)tilfar ið lærast skal
námsferð	ferð gjørd til at kanna ávíst evni,næmingarnir fóru námsferð til Róm
námsfrøði	(skúl.)lærael.frøðigrein um uppaling og undirvísing[da.pædagogik]
námsfrøðiligur	(skúl.)viðv. námsfrøði[da.pædagogisk]
námsfrøðingur	ein ið er lærdur í námsfrøði, pedagogur
námsgongd	gong (2) í námi (1)
námsgrein	ávíst evni (3) sum lært verður í skúla, lærugrein
námskeið	skeið 2(4),lærarar eru á námskeiði
námskort	(fróðsk.)samleikaprógv ið vísir at eigarin er innskrivaður til lestur við lærdan háskúla
námslán	lestrarlán
námsráðgevi	(skúl.)ráðgevi í námsfrøðiligum starvi,námsráðgevi í byrjanarundirvísing
námsstyrkur	lestrarstyrkur
námsvinna	vinna 1 í sambandi við nám (1)
námsætlan	(fróðsk.)lestrarætlan
námunda	náminda
námundi	námindis
námundis	námindis
námur	1torførur at raka (á)(av lítilleika),ið krevur neyvleika at raka á, nettur (3),teir tveittu bumbur tó uttan at raka, men vóru tó so námir, at skipið fekk skaða;tað er so námt at seta á Boðan(skjótt at fara skeivurel.ringt at seta kós av tí at økið er so lítið at stýra ímóti);fuglurin má fáa skotið í hálsin, og hálsurin er námur at seta á(ringur at raka);námt miðlítið mið(og tí ringt at leggja),námmið;hatta er ov námthatta er ov tepurt(um e-t seymað ið er ov uttarlaga ítikið)2viðkvæmur, neyvur, gløggur, kløkkur 2(3),hatta er nógv námari(um tól at stilla sjónvarp við)
nánd	kví osb. sumí nándel.í nándinitætt við, tætt hjá, har um vegir, námindis, nærindis;har í nánd;í nánd av (e-m);í nánd við (e-t);allastaðni í nánd við borgina(nær borgini)
nápa	taka(tað ið annar eigur),smástjala, naspa, píska 1(4),eg nápaði blýantin hjá honum;likkan nápaði sær ein høsnarunga;teir vóru grammir at nápa sær turran seið;nápa sær ein bita
nápari	(skemt.)tjóvur
náptak	ólógliga tikið avrit(av e-m sum annar eigur rættindini til)[en.pirate copy]
nápur	k6(fugl.)náparætt av smáfuglum ið taka skordýr á flogi(Muscicapidae),flekkunápur;gránápur
náta	(Nóls.)náti, havhestur
nátablomstur	(plfr.,Suð.)smæra
nátabøkkur	(Suð.)pláss har ið náti situr
nátadagur	(Suð.)dagur við góðum líkindum til at fara eftir nátum,ein frálíkur nátadagur
nátaegg	egg hjá náta, havhestaegg
nátalíkindi(r)	líkindi til at fáa náta,góð nátalíkindi(r)
nátapláss	(Nóls.)sessur til at fleyga náta í,gott nátapláss
nátaregg	(sj.)nátaegg
nátasjúka	(Suð.)havhestasjúka
nátatíð	(Suð.)havhestatíð
nátatog	(Suð.)tog til lesning tá ið teir fleyga náta
nátaungi	havhestaungi, náti (2),fara eftir nátaungum
náti	(fugl.)1(stb.)havhestur,fleyga náta2(stb.)ungi hjá havhesti, nátungi,seint í august er havhestaungin ella nátin búgvin;nátarnir verða ikki tiknir, fyrr enn teir koma á sjógvin;sms. t.d.fleyga-,vetrar-
nátt	dimmasta tíðin á samdøgrinum, tíðin millum sólsetur og sólarris,móts.dagur,tá ið leið út á náttina;lítið var liðið á nátt;nátt kom á;(tilt.)náttin er hvørs mans óvinur;(kvæð.)sigldi nátt sum ljósan dag;á nátt,móts.á degi;eg blundaði ikki á náttini(alla nátt);á miðjari nátt;nú var farið at myrkja av nátt;náttin kom á;hann fór so smátt at dimma móti nátt;hann væntaði ikki at liva náttina av;liggja (sj.gista) náttgista eina nátt;í nátt1síðstu nátt2næstu nátt;sita uppi til langt út á náttina;inn í náttina;um nætur;tey eru (so ólík) sum dagur og nátt(um tey ið eru sera ólík el. ymisk);góða nátt(heilsan tá ið ein fer avstað um kvøldið);leggja nátt á segdrála ov leingi (við at gera seg lidnan) so at ein ikki kemur heim aftur meðan dagur er;koma undir náttnáa ikki at koma vegin fram í ljósum(helst til gongu),ikki fáa dagræði;um vit ikki kvika okkum, koma vit undir nátt;nú datt ein nátt yvir meg(vildi sovna sum eg sat);hann man hava nætur á baki(man vera nakað gamal);sms. t.d.brúdleyps-,bøla-,dansi-,gjára-,jóla-,kava-,mid-,mið-,ódnar-,óveðurs-,skaða-,vetur-,vøku-
nátta	(gl.)1gera nátturða,nú er náttað, gerið so væl og fáið tykkum;hon hevði náttað2eta nátturða,nú er náttað(nátturðin etin)3(gera til at) fara í song(t.d. lata hurðar og vindeygu aftur),nú er tíð at nátta(t.d. sagt við børn)
-náttaður	sítrí-
náttarblindur	(lækn.)ið sær órættvorðið illa í myrkri
náttarbrandur	náttbrandur
náttardimmi	dimmi um náttina, dimmi av nátt,náttardimmið undan ólavsøku er ikki langt
náttardøgg	døgg løgst um náttina
náttarði	(Suð.)nátturði
náttarfiskur	(stb.)fiskur fingin á útróðri um náttina,náttarfiskur var ikki tíggjundaður
náttarfriður	1friður um náttina, náttartøgn, næturfriður,náttarfriður fall yvir bygdina2svøvnfriður
náttarfrost	frost um náttina,hann legst við náttarfrosti
náttarfuglur	fuglur ið mest flýgur um náttina, náttfuglur
náttargali	(fugl.)1lítil útl. skógarfuglur(letur vakurt og harðmælt)(Luscinia luscinia)2(skemt.)hani
náttargalur	(sj.)náttargali
náttargamal	l33(sj.)í osb. sumhar verður tú ikki náttargamalhar fert tú ikki at støðast (leingi), har verður tú ikki gamal
náttargestur	gestur ið liggur nátt,hon tordi ongantíð at vera náttargestur aftur á Lað;her verði eg ikki náttargesturel.náttargesturin(náttargamal)
náttargrátur	(barna)grátur um náttina
náttargríma	(stb.)1náttmyrkur,vit fara aftur at landi, náttargríma er komin(skýmt)2náttarlega (3),vaska náttargrímuna av sær
náttarhimin	náttarhimmal
náttarhimmal	himmalin soleiðis sum hann sæst um náttina, náttarhimin
náttarhvíld	hvíld um náttina, náttarsvøvnur
náttarkuldi	kuldi um náttina
náttarkvirra	kvirra á nátt
náttarlega	1innivist fyri náttina,har á garðinum fingu teir náttarlegu2(um dýr)tað at liggja á bóli um náttina,onga náttarlegu hava neytini fingið, sum regnið hevur fossað niður(náttarhvíld)3svøvnur (3)(í eygunum),náttarleiga, náttarlega, náttleiga,turka (strúka) náttarleguna av særturka svøvnin úr eygunum
náttarleiga	(stb.)náttarlega (3)
náttarleiv	(stb.)náttarlega (3),vaska náttarleivina úr andlitinum
náttarlevnað	levnaðel.ólevnað um náttina,hann hevði gingið fullur og havt náttarlevnað fyri
náttarlíri	líri tikin um náttina;sbr.dimmilíri(Sv Indb.65)
náttarlív	tað at skemta sær úti í býnum um náttina,náttarlívið í Keypmannahavn
náttarlot	lot um náttina
náttarlógv	(stb.)náttarlega (3),vaska náttarlógvið av sær
náttarluft	køld luft um náttina,eg tori ikki at lata teg fara út í náttarluftina(við barn við krími)
náttarlundi	(stb.)lundi tikin um náttina,náttarlundi tikin millum summarmála og krossmessu;krókur varð nýttur, tá ið menn tóku náttarlunda;sbr.dimmilundi
náttarmaður	náttargestur,hann hevði ikki verið náttarmaður í húsunum, eftir at hann var uppsagdur
náttarmyrkur	myrkur 1 úti um náttina, náttmyrkur,náttarmyrkur kom á teir
náttarravnur	ein ið fer seint í song, fólk ið dámar væl at sita uppi út á náttina
náttarrógv	náttarfriður
náttarrómi	náttrómi,hann fór so grunt við árini, sum tú tekur náttarróma av stampi
náttarseta	tað at lína 1(1) stendur um náttina,seta eina náttarsetu;sbr.seta 2
náttarsetur	náttsetur,náttarsetur taka fuglarnir í bjørgum, loftum og urðum
náttarskarvur	k8/6í osb.taka náttarskarvútispæl(fleiri sita og blunda og ein skal fanga)
náttarskjól	(skaldsk.)vernd fyri náttarkulda
náttarskrápur	(sj.)náttarravnur
náttarskýli	skýli (1) fyri náttina, stað at vera inni í um náttina,tað einasta náttarskýli, teir fingu, var hoyløðan
náttarsvøvnur	svøvnur (1) um náttina,fáa góðan náttarsvøvn
náttartíð	tíð um náttina,á náttartíðum náttina, á nátt
náttartími	náttartíð,teir myrku náttartímar
náttartøgn	tøgn á nátt, náttarfriður (1)
náttarvakt	1vakt (2) um náttina,hava náttarvakt;vera á náttarvakt2tíðin tá ið ein er á vakt um náttina,náttarvaktin byrjar á midnátt3(arbeiðs)fólk sum er á vakt (2) um náttina,náttarvaktin kemur til arbeiðis á midnátt4náttarvørður
