R	rómv. taltekn fyri 80
rangvindur	(stb.,Nóls.)vindur úr aðrari ætt(enn henni ið liggur),rættiliga nógvur rangvindur
rangvørgur	1við ranguni út og rættuni inn,í rangvørgari troyggju2øvigur, øvutur, tvørvendur, skeivur, galin (2),rok og fok og rangvørgt sjógvað(tvørsjógvað);hetta skjalið gevur eina rangvørga mynd av viðurskiftunum3(um fólk)tvørur, serur, ólagaligur
rani	1mjá leingja 1, ál (1), oddur 1, broddur (1)(serst.)sera smalur teigurel.smalt jarðarstykki,báðir partar áttu ranan millum stykkini, men hvørgin skuldi velta hann2sevil, trantur,fílurin lyftir hana við rananum;flugurnar súgva í seg við rananum
ranka1	fara (ofta) úr einum stað í annan, ferðast víða, fjakka, flakka, reika 1,ranka landið runt;vit lógu og rankaðu inni í gjáum í bestu fiskilíkindum(slankaðu);ganga og ranka og slankareika um;rankastganga og mala allastaðni, ongantíð vera heima;hvar gongur tú og rankast?;gongur altíð og rankast úti
ranka2	stápla,ranka viðin upp
rankapikk	(stb.)barnaspæl(tveir partar, annar krógvar seg og hin leitar)
rankari	ein ið rankar, flakkari, landastrok,fylgisneyti hjá útlendskum rankarum
ranki	(handv.)stápil,ranki av viði;sbr.viðarranki
rankur	1(um bát)ið lættliga legst á liðina, leikin (1), leysur á kjølinumel.botninum, hveppin (2),móts.tryggur (2),báturin er rankur undir seglinum2rættur 3(1), fattur, andbráður (1),hann reisist úr sæti og trínur rankur og ferðugur fram á gólv;hús í nýmótans sniði, ronk og háreist
rann1	1(kvæð.)bústaður, hús,í risans ranni2smábørn ið halda gang,skamm fái rannið3vánafólk, pakk, sáð 2(4),tað er eitt rann, ið har býr
rann2	(jarðfr.)heiti á fløguleiri í kolanámi í Suðuroy
rann3	sírenna 2
rannsaka	kanna (gjølla), leita eftir, hyggja eftir (e-m),sýslumaðurin bað teir rannsaka húsið;hann fór til læknan at verða rannsakaður;teir rannsakaðu dagliga skriftirnar(lósu nágreiniliga);hann fer undir at rannsaka føroyskt(granska)
rannsakan	kanning, kannan, leitan,rannsakan fór fram í húsinum;eftir langa rannsakan gjørdist læknin vissur um sjúkuna;sms. t.d.sjálv-
rannsókn	tað at rannsaka, kanning, gransking,søguligar rannsóknir;náttúrufrøðiligar rannsóknir;rannsóknir av norrøna málinum;tá ið teir høvdu havt rannsókn um meg, vildu teir sleppa mær leysum
rannsóknar-	sms. t.d.-dómari,-evni,-ferð,-løgregla,-maður,-nevnd,-starv,-stova,-úrslit
rannsóknari	ein ið rannsakar, rannsóknarmaður, granskari
rannvála	(stb.)rannvæla
rannvæla	venda upp og niður, róta, grópa, hurla til,hønurnar høvdu so rannvælað alt til;ganga og rannvæla í haganum
ransón	(sjóm.)avmáldur partur, skamtur,ransónin hjá hvørjum manni varð minkað í hálvt pund um dagin;eftir ransónini vóru trý pund ov nógv
rap	(stb.)tað at rapa,nú kom rap í(tap í kortum)
rapa	1fallael.detta (oman), rapla,standa at rapavera um at detta, standa á lopi;har er ikki lukkuligt at lata børn spæla, tí garðurin stendur at rapa;nú tekur eggin at rapa oman í stórum;ein rapaður torvlutur;niðurrapaður garður;"ert tú steinóður, maður?" rapar tað fram úr honum(dettur);tað rapar eftir urpt,síurpt2fáa á rull, bólta (1), stikla 1(1),rapa grót;rapa grót oman á teir3ryðja (5),eggin rapar(t.d.á knívi)
rapl	tað ið raplað er, omanlop,hvør kundi so gruna, at hann lá undir raplinum?
rapla	fara um koll, falla, detta, rapa,garðurin raplaði;múrurin raplaði niður;raplaðar toftir;(kvæð.)fyrr skal rapla kongsins slott;lata raplatosa nógv, brúka seg,lat bara rapla, hin gamla, tú hevur ikki sagt meira enn so í kvøld;tað kundi hann rapla út, áðrenn hann dró andan aðru ferð(fekk hann sagt);rapla urpt,síurpt
rapp	(tónl.)tað at rappa
rappa	(tónl.)talael.rópa tekst í staðin fyri at syngja(útl. sangháttur)
rappír	(gl.)lítil stavur (1), puttur
rapul	(gl.)dundrandi fall, smellur, brestur (1), klams,undir raplinumomanlopinum
rasa1	vera óður, leika í, leika óður(serst. um vind, óveður),tað rasar og vasar um eygur og nasar, tað kylir á kinn;rasandivið nógvari ferð;rasandi rennur hann runt í klingur
rasa2	detta (1), snáva (á),kúgvin rasaði
-rasin	síal-,ov-
rasisma	fremmandahatur(mótvegis fólki av fremmandum uppruna, við øðrum húðarliti, aðrari mentano.s.fr.)
rasistiskur	sum er jaliga sinnaður mótvegis rasismu, ið tekur undir við rasismu,rasistiskar brotsgerðir móti jødunum
rasistur	ein ið tekur undir við rasismu
raskleiki	tað at vera raskur, reystleiki,tiltikin fyri raskleika
raskur	1ið dugir og orkar væl, reystur, menskur, knáur,hann hevði ein avbæra raskan húskall;(kvæð.)hann kom niður á ríka land, hann flutti raskar dreingir;raskur sjómaður;hon er røsk til arbeiðis2dugandi, dúgligur, evnaligur, íðin,raskur maður at fiska;raskur at kvøða;raskur at svimja;raskur er hann at leita eftir reka;(tilt.)ikki doyggja fyri raskar hendur,síhond3ringur 2(5), herviligur, forargiligur, argur (1) (at gera e-t),raskur at deilast;raskur at finnast at;sms. t.d.munn-,ovur-
Rasmus	sern(skemt.)í osb. sumflytael.seta Rasmus um fjørðin, rógva við Rasmusi, hittael.kasta Rasmushjálpa sær sjálvum, fáa av sær, loysa sær buksurnar;flongdi Rasmus(um e-n ið er flongdur)
rasp1	grovfíl
rasp2	morl(av breyðio.tíl.),breyðmolar
raspa	ríva, svarva(við rasp 1)
rass	tað at rassast,hann helt seg hoyra rass í seingini
rassa	1loypa ólagel.óstand í e-t við at veltast íel.á tíel.við at sita óstillur,rassa seingina niðurórudda songel.seingjarklæði;rassa niður(legsa),tær høvdu rassað akurin niður;vit máttu ikki rassa hoyggið ov mikið saman;rossið hevði rassað við gumpinum ymsar vegir2rassastel.rassa segel.særsitael.liggja óróligur, (gera seg til at) fara á føtur, lætta sær á,hann rassaði seg upp og legði hondina út á stokkin(ernaðist, raknaði við);hann royndi at rassa sær á, men tað bar ikki til, hann fekk so ræðuliga ilt(røra seg, førka seg);keypstaðurin var rassaður úr svøvni(vaknaður);(orðt.)tað grør ikki undir tí steini, sum altíð verður rassaður;tveir ganga, tveir venda sær, tveir rassast og tveir sita(á áttamannafari);(flutt m.)postbáturin rassaðist bygd av bygd(rankaðist)
rasshaft	1í osb. sumærin er komin upp í rasshaftlosnandi ull er dreivað um afturføturnar á ærini(so at hon illa fær gingið)2(flutt m.)hann er komin (upp) í rasshaft (av e-m)(hevur rent seg fastan, er komin í kløtur)
rasshol	arshol
rassull	(á seyði)ull á rassinum
rassur	1afturpartur, dintil (2), gumpur, reyv (1),(kvæð.)eftir liggja handskar mínir undir Brúsa rassi;(gáta)reytt leikar undir rassinum svarta(eldur undir potti)2stubbi (1), endi, petti(av krógvel.sátu),lítil krógv,kráirnar, tómar og raplaðar, ein rassur eftir av summum;tá ið ikki alt gekk í krónna, varð bara laðað upp í rass aftur at krónni3(stn.)e-t ið stendur framúr(t.d.í bergi),flái (2),rassurin á Mýlingi;Staksrassurin4(sj.)(á krovi)hárógva (1), drunnur (2);sms. t.d.egg-,karka-,konu-,tálgar-,træls-
ratt	(sjóm.)stýri (2), róður 2
rav	gulel.morgul hálvglær steinrenning av fornum harpeisi ið rekur upp á strendur(nýtt m.a. til prýðislutir)
rava	(sj.)ravi;sms.bak-,rygg-
ravarakstur	k28/23í osb.leggja ein ravarakstur1royna eftir kalva2(flutt m.)fara at vitja hjá blíðum fólki
ravasneis	sneis við kalvarava(at seta í eimin til steikingar)
ravasteik	stoktur kalvaravi,nú sita tit sum ravasteik rundan um eldin(tætt saman);teir sigla sum á ravasteikjum(um skjótgongdan bát)
ravgulur	gulur sum rav
ravhúsi	(alisfr.)akkumulatorur
ravi	1(av kalva)ál (1)el.leingja 1 av tí ytsta og feitasta næst fjaðrunum, kalvaravi2(á skøtu)onnur helvtin upp at rygginum, stykki øðrumegin ryggin, skøturavi,hon kókaði ravan av skøtuni;sms. t.d.bak-,búk-,fyri-,heysa-,hveitu-,høvuð-,jóla-,rygg-
ravindaligur	(alisfr.)viðv. ravindum, elektroniskur
ravindi	(alisfr.)elektronikkur
ravkleiv	(alisfr.)elektroda
ravlað	(alisfr.)battarí
ravmagn	(alisfr.)orka ið gerst við flutningi av elektronum,ravmagn at hita við;bilur rikin við ravmagni(electricitas);sms. t.d.støðu-
ravmagna	(alisfr.)leiða ravmagn í (e-t), løða við ravmagni
ravmagnaður	(alisfr.)løddur við ravmagni, elektriskur
ravmagnan	tað at ravmagna
ravmagnsbrigda	(ravm.)tól ið ger streym[da.elektrisermaskine]
ravmagnsgeri	(alisfr.)tólel.maskina ið ger tølska orku um til ravmagn[da.elektrisk generator]
ravmagnsljós	ljós av ravmagni
ravmagnsmaður	elektrikari
ravmagnspera	ljóspera til ravmagn
ravmagnsskøta	(fisk.)skøta ið kann geva ravmagnsstoyt(livir í suðurhøvum)(Torpedo)
ravmagnsspenningur	(ravm.)støðuorka fyri hvørja løðingareind(máld í voltum),spenningur (3)
ravmagnsstik	stik við ravmagnsstreymi
ravmagnsstoytur	stoytur (6) av ravmagni
ravmagnsstreymur	(ravm.)flutningur av ravmagnsløðing(máldur í amperum),streymur (4)
ravmagnsstøð	ravmagnsverk
ravmagnstól	(ravm.)1tól ið ger ravmagn2tól rikið við ravmagni, ravmagnað tól
ravmagnsveiting	(ravm.)veiting av ravmagni
ravmagnsverk	verk ið framleiðir ravmagnsstreym
ravmagnsverkfrøðingur	verkfrøðingur serkønur í ravmagnsfrøði
ravnabøli	1bøli (1) hjá ravni, ravnsreiður2(flutt m.)ófantaligt og óunniligt hússetur,tú hevur gjørt okkara heim til eitt ravnabøli
ravnagorr	gorr hjá ravni, krunk
ravnagøtubrá	(plfr.)slag av gøtubrá(Plantago coronopus)
ravnakavi	kavi um ta tíðina tá ið ravnur reiðrast(í marsmánaði),hetta er ravnakavi
ravnaleika	(plfr.)børkubóndi
ravnaleikur	(spæl)ávísur barnaleikur(ein er ravnur ið skal taka lamb (el.unga) ið ærin (el.bøgan) roynir at verja)(MJ Barnaspøl70);at spæla ravnaleik;(tilt.)hetta er verri enn ravnaleikur(um e-t ið fer harðliga fram)
ravnalína	(stb.)lína at síga eftir ravni við, ravnslína
ravnalæti	(sj.)ravnagorr
ravnamatur	1matur hjá ravni2gálgamatur(Sv)
ravnaminni	gott minni,hon hevur ravnaminni(minnist væl)
ravnariv	tað at ravnur rívur og skræðir (deyðseyða),skilið er ringt bæði av ravnarivi, vatnsjúku og øðrum vanda
ravnastør	(plfr.)slag av stør(Carex saxatilis)
ravnatollur	(gl.)nevtollur(LD Fær. Beskr.125)
ravnatugga	deyðseyði nærum uppetin av ravni
ravnsegg	egg undan ravni,(orðt.)sjáldan kemur dúvuungi úr ravnseggisjáldan bregður ein burtur úr ætt
ravnsfótur	1fótur á ravni,ravnsfótur líkist nógv smáfuglafóti2(spæl)tráður vundin um fingrarnar so at hann líkist ravnsfóti,gera ravnsfót(MJ Barnaspøl127)
ravnslína	(stb.)ravnalína
ravnsmóðir	kv29í osb.draga til sín sum ravnsmóðirduga at draga inn undir seg
ravnsnev	nev áel.av ravni
ravnsreiður	1reiður hjá ravni,mangt kann vera at finna í ravnsreiðri2(flutt m.)e-t óruddiligtel.ónossligt, ravnabøli (2),tað er sum eitt ravnsreiður
ravnsungi	ungi hjá ravni
ravnsvartur	kolsvartur, krunkasvartur, biksvartur
ravnur	1(fugl.)stórur svartur fuglur av krákufuglaætt, gorpur (1)(Corvus corax),ravnurin troðar í torra, verpur í gø, klekir í einmána2(í ymsum orðasambondum og tiltøkum)svartur sum ravnurel.ravnurin;stjala sum ravnur;hann sær sum ravnurinel.eyguni eru sum í ravni(hevur góð eygu);hann átti ov lítið at liva av, svøltaði sum ein ravnur;sum ravnar áel.um deyðseyða(um fólk ið grammliga skræða til sín av e-m);har vóru ravnar um soðið(nógvir um boðið);fara fyri ravnar og ránsmennfara til spillis;fara fyri hund og ravnfara til spillis, fara fyri skeytið;(orðt.)tá ið ravnurin legst í fjøruna, veit hann sær lítið(t.d. um e-n ið fer at gera e-t hann ikki er vanur við);(orðt.)ravnur drepur ikki, har hann byggirel.eigur;(orðt.)ravnur er feitastur fellisárel.rakár;(orðt.)gamal ravnur er ikki góður (illur) at narra3(skemt.)gomul húgva, húgvuravnur;sms. t.d.bú-,hvít-,kjøt-,morgun-,náttar-
ravperla	perla av ravi
ravsigul	(alisfr.)sigul gjørdur virkin við ravmagni[da.elektromagnet]
ravsigulmagn	(alisfr.)sigulmagn elvt av ravmagni[da.elektromagnetisme]
ravsigulmagnaður	(alisfr.)við ravsigulmagni
rá1	rádjór,(kvæð.)so var hann á foldini lættur sum fuglur og villini rá
rá2	(skip.)1tvørstong á mastur ið (rá)segl er fest undir, ró 2,teir vundu segl í rá;leggjael.gera á ránnafesta dragið2mjáur viðarbulur, (rundur) stavur, gassi, keppur 2;sbr.kópará
rá3	fínir jarnspønir fyri (ov nógv) brýndari egg 1(1)(bítur ikki fyrr enn ráin er strokin burtur við brýni),rá fyri knívi;hann brýnir rá frá líggjanum
ráarknútur	(bát.)knútur sum dragið verður gjørt á ránna við
ráarnokki	(skip.)endi (1) á rá 2(1)
rábakaður	1(um bakstur)bakaður uttan og ráur innan, ikki gjøgnumbakaður,rábakaður drýlur;kakan er rábakað2(niðr.)(um fólk)hálvlærdur
rábandskoyril	koyril at fleingja við,fáa rábandskoyril um lendarnar;hetta er sum rábandskoyril(skógvur skorin ov smalur)
rábeittur	(um eggjarn)við rá 3,rábeittur knívur
rábítur	ein ið er grammur eftir ráum (mati)(serst. um hund)
rábleytur	bleytur av vætu(t.d. um skinn),rábleyt roðklæði;rábleytir rotuskógvar
ráborð	óhølvað borð (4)
rábukkur	(dj.)rádjór av kallkyni, ráhjørtur
ráddur	l18í osb.við ráddum hugavitandi og við vilja
rádjór	(dj.)djór av hjartarætt(Capreolus capreolus)
rádni	síráðin
ráds	síráð (1)
rádýr	(dj.)rádjór
ráð	1leiðbeining um besta framferðarhátt (í e-m), tilráðing, ráðlegging,leggja e-m ráðmæla e-m til e-t;spyrja til ráðsel.(sj.)ráds;vera góður í ráðum;(tilt.)góður er gamal í ráðiel.ráðum;hetta helt kongurin vera eitt gott ráð;teir høvdu tikið eftir ráðum hansara;leita ráð við e-nel.e-m;leita sær ráð hjá e-m;ganga saman í ráðtaka til umhugsanar2savningel.ting ið situr fyri e-m, stýri (3),umsjónarráð;Norðurlandaráðið3avgerð, samtykt, viðtøka,taka ráð:teir høvdu tikið tað ráð at fara heim í fyrsta handilsfari(ta avgerð);taka til ráða:hvat hevur hann til ráða tikið?;hvat er nú til ráða at taka?;hvat ráð eru nú at fáa?;eftir egnum ráði(sjálvstøðugt, sjálvbjargið);leggja upp ráðgera av4ætlan, ráðagerð,hvat tey skuldu til ráða fá;hon var í ráðum vond;hann hevði longu í ráðum at keypa nýtt skip(í kvittanum);hava í ráðiumhugsa, hugsa um,teir illgerðir hava í ráði;tað var í ráði, at hann skuldi fara;leggja ráð samanel.saman ráð;tey hava lagt ráð samantikið seg saman um (at gera e-t);væl er til ráða fingiðætlanin er góð;leggja ráð upp ímóti e-m5miðal, hyggjuráð, útvegur, loysn,so vita tygum kanska ráð móti beinsári;læknin visti eingi ráð fyri sjúkuni;tað eru ráð fyri tí(vegir);hvat er so til ráðs at taka?;nú eru góð ráð dýr;einastu ráðinieinasta ið er at gera;hann tók sær taðel.tey ráð, at...(útveg);hann veit sær eingi ráðhann er ráðaleysur;finna upp á ráð(eina loysn);nú gitti eg ráðini(fann eg eina loysn);ráð eru fyri hond;finna upp á ráð6høvi, føri, líkindi,um tað verður ráð;(kvæð.)seint manst tú, Hjørdis, fáa til tey ráð(vera før fyri);tað vóru næstan ikki ráð at komast ígjøgnum skógin7líkindi, kor, atstøður, útkoma(serst. fíggjarliga),ráðini vóru so ring;meira rummiskur við peningi enn ráðini ætlast at vera8vald, ræði,hava ráð áráða yvir;hava ráð á øllum inntøkum ríkisins;(kvæð.)síðan hevði Sjúrður ungi fyri Hólmgørðum ráðsíðan ráddi Sjúrður ungi yvir Hólmgørðum;(kvæð.)á Torkili havi eg einki ráð;hava ráð áhava myndugleika yvir e-mel.til e-t;hann, ið tekur sær ráðið, hann skal eisini taka ábyrgdina av, hvussu stýrt verður;taka e-n av ráði(valdið frá e-m);taka ráðið av teimum, ið áður hava rátt9(kvæð.)(tilboð um) hjúnalag,mangt man mín sæla dóttir slíkt hava ráð10í osb. sumtað vóru onnur ráðinitað var annað málel.onnur søk;sms. t.d.brúks-,búskapar-,bygdar-,bý-,góða-,heilsu-,ilsku-,kirkju-,konu-,líkningar-,loyni-,lækna-,læru-,móður-,ó-,prís-,skips-,stjórnar-,trygdar-,umsjónar-
ráða	1leggjael.veita (e-m) ráð,ráða e-m e-t;ráða e-m til e-t2gera av, fastseta, áseta,ráða (e-t) avtaka avgerð (um e-t);ráða e-mgera av e-t,eg ráði tí, nær vit fara3útvega, fáa í lag,ráða e-m bóthjálpael.bjarga e-m;er tað krabbamein, so er tað eingin, ið kann ráða honum bót4elva, valda 2(1),tú skalt hans deyða ráða(valda honum deyða)5týða,ráða dreym;við hørpuljóði eg mína gátu ráði(giti)6sita við ræði, hava ræði (á), hava vald (á), stýra,ráða fyri borgum;(kvæð.)kongur ræður fyri Miklagarði;(bíbl.)hann livir og ræður um allar ævir;Gabel ráddi í Føroyum;eg veit ikki, hvussu hon skal ráða sær í lívinum(standa seg, klára seg);(tilt.)veður (og vindur) má sær ráðaein má laga seg eftir veðrinum;tú ræður tærtú gert sum tú vilt;ráða yvir (e-m);hann ráddi yvir øllum húsinum;teir ráðandi í Bretlandi;ráða særhava tamarhald á sær, sissa seg, halda sær;hon fekk ikki rátt sær fyri pínu;tær kunnu ikki ráða sær, klæða seg í skart og skreyt7(kvæð.)(ofta navnháttarumskriving viðel.uttan "at")tá hann ræð teir at kennatá ið hann kendi teir;Einar ræður at svara;skeggið ræð at prýða meg(klæddi mær)8Gud ráði, um...(viti);Gud ráði, um hann ikki hevði...(man hann ikki...)viðfs/hjráða á:ráða á (e-n)leypa á, leggja á, herja á, ráðast á;ráða avgera av,av avráddum hugaav fyrisettum ráði, við vilja;ráða frámæla frá;ráða fyrihava ræði á,(kvæð.)Ólavur kongur fyri Noregi ræður;tí ræður tú fyritað mást tú um;ráða til:ráða til (e-t)royna (e-t), fara í holt við (e-t);nú vil eg ráða til uppgongu á drekan(royna at sleppa um borð á);hann ráddi til, at hann straks skuldi fara(mælti til);ráða umhava týdning, vera týdningarmikil, vera umráðandi,tað ráddi um at skapa føroyskar bókmentir(galt);tá ið um rádditá ið galt;tá ræður um at rógva;hvussu hon henda vegin var komin, veit eg ikki, og ræður tað minni um(hevur minni at týða)ráðast:ráðast á (e-n)leggjael.herja á;ráðast á hendur (el.hondum)el.ráðast hondum (saman)fara saman at berjast;ei skal fíggindin ráðast á hann;ráðast samanrúka saman at berjast;ráðast um e-tleggja ráð um e-t, ráðleggja e-t;teir ráðast nú um, hvat er at gera;sms. t.d.av-,um-
