P	rómv. taltekn fyri 400
pusalaknektur	(fisk.)multa
puslispæl	putlispæl
puss1	1lag av kálki, sementblandingo.tíl.t.d.uttan á múri2fín klæði, stás,vera í pussinumvera stásklæddur;lata seg í pussið
puss2	1brek, meiðsl,(kvæð.)fáa puss í eygað2spælael.gera e-m eitt pussvinna e-m neisir, gera skálkabragd;sms. t.d.brennivíns-,skálka-
pussa	1busta, gníggja, blanka, skyggja (2)(at reinsa el. slætta e-t),pussa silvur;pussa gløs;pussa eina fjøl(við sandpappíri)2leggja puss 1(1) á múr,pussaðir útveggir
pussfiskur	ein ið ger skálkabrøgd, skemtari, íspegil
pussikrem	krem at pussat.d.silvur við
pussur	(stb.,sj.)kynslimur á hesti, tarviel.veðri, sina 1(3)
puthonk	lykkja seymað í plagg(til at heingja tað upp á klædnakrók el. í staðin fyri knapphol t.d. í líning);puthonk í vøtti(so at vøttirnir kunnu festast saman)
putl	1tað at putlast (við e-t lítið),putl og fjas2drúgført og putlut arbeiði;sms. t.d.heima-,hjá-,smá-
putla1	1ein ið er seinførur(Sv)2ein ið smástjelur(Sv)
putla2	1fjasastel.fáast (leysliga) við e-t smáarbeiði, arbeiða spakuliga, smáputla,putlast við e-t;putlastputla sær, pjaka sær2smástjala, píska 1(4),eg havi einki putlað frá tær
putlarbeiði	putlut arbeiði
putlisamur	(stb.)putlutur,vindeyga er so putlisamt at mála
putlispæl	leika við nógvum smáum brotum at seta saman til eina mynd[da.puslespil]
putlutur	1pjakutur, seinførur(í arbeiði)2drúgvur at fáast við, pilkutur,hatta er so putlut at fáast við
putra1	bera putur á,putra seg
putra2	putla 2(1),tað var ein ræðuliga long tíð, at hann putraðist við at gera leypin aftur
puts	mðlv(at vísa e-t ið kemur óvart á),puts hey! har datt hann
putt	puttur
puttur	lítil stavur (1), prukka
putur	(angandi) pulvur at bera á húðina(fyrr eisini í hárið),mølv;sms. t.d.andlits-,barna-
-putur	síhjá-
puturhakk	(stb.)livurkurr
putursukur	brúnt sukur(t.d. sum viðskeri upp á breyð),brúnsukur
puutur	1ið puar illa2við pui á klæðunum
púff	mðlv(sagt tá ið e-t stinkar illa),púff, sum hetta lukar illa
púki	djevul,púkinhin versti, illimaður
púl	(gl.)knoss, baks, stríð
púla	(gl.)geva (e-m) stríð, gera (e-m) ónáðir, vera (e-m) til tarn, ómaka (e-n),eg vil fegin hava tykkum at rógva meg um fjørðin, tó at mær tykir nógv fyri at púla fólk
púlsamur	(sj.)sum veldur ómakel.tarn
púra	heilt, fullkomiliga, aldeilis,púra beintheilt rætt;púra einkials einki;púra stillur;púra einsamallur
púrasta	púra, heilt og aldeilis
púrga	gera (e-n) søran, taka alt frá, aloyða, púrgera,trolararnir púrgaðu grunnin fyri fisk;nú púrgaði tú meg heiltnú siti eg eftir á berum
púrgera	1púrga,hann púrgjørdi meg fyri tubbak(tók alt);nú teir hava púrgjørt allan tann góða bøin(bygt á hann)2púrgera særeta (drekka) so nógv at ein fær ilt av tí,tú púrgert tær, sum tú etur;etur tú spikið (av døglingi), verður tú púrgjørdur3berja av, knúska,hann varð púrgjørdur;eg skal so púrgera teg til
púrgerð	lívsýki,tú fært púrgerð av hasum, sum tú etur(av spiltum mati el. ováti)
púrgjørdur	ringur at hava við at gera, ógvuliga ólagaligur, bannsettur,hann er púrgjørdur, tað flættast ikki við hann
púrsørur	(sj.)púra sørur, eiðasørur,eg eri púrsørur í at tosa
púrt	púra,púrt einki
púrur	1reinur,sum tað púrasta gull;gera púrtpúrgera (1),nú gjørdi tú púrt2sum einki veit, starvur (1),tú ert púrur(t.d.lærari við næming)
púsin	múlatrútin, illbrýntur,ólukksáligt sum tú sært púsin út í morgun
pústr	pístr
pústra	1pístra (1),pústra í eldin;pústra upp undir eldblása til at fáa eld at kykna2(stb.)hvíla(frá arbeiði),nú fara vit at pústra eina stund
pústran	pístran,gjóstur og pústran struku inn í hjallin
pústrari	pístrari
pústur	(stb.)slag undir vangan,hatta skuldi fingið ein púst
pústurgráur	(seyðal.,stb.)gráur undir øsinum
pústurhvítur	(seyðal.,stb.)hvítur undir øsinum
pústursvartur	(seyðal.,stb.)svartur undir øsinum
púta1	skøkja, hora
púta2	ver við dúniel.øðrum mjúkum evni í(at hava undir høvdinum),koddi, høgindi
pútudevil	maður ið hevur inntøku av at útvega monnum skøkjur
pútuhús	tilhald hjá skøkjum
pútusonur	(kvæð.)sonur pútu 1
pútusveinur	(kvæð.)pútusonur
pyks	pinkalítið sár, lítið prus, skursl (1),eg havi fingið eitt pyks á fingurin;hann fekk ikki eitt pyks(óskalaður)
pyksi	pyks
pylsa	1malið kjøt við kryddio.ø.latið upp í tarm (el.eftirgerð av tarmi)2(stb.)blóðpylsa, blóðmørur,fáa sín part av pylsunifáa tað ið ein hevur rætt til3(sj.)pelsi;sms. t.d.eistna-,kjøt-,livrar-,neyta-,royk-,rullu-,súlu-,vilja-
pylsubræur	(stb.)fløt oman á rullupylsusoð;sbr.brá 3
pylsueitran	(lækn.)eitran av at eta spiltar pylsuro.tíl.(botulismus)
pylsufarg	rullupylsupressa
pylsufløt	(stb.)pylsubræur
pylsugerð	tað at gera (blóð)pylsu, (rullu)pylsuo.tíl.
pylsuindur	blóðmørsindur
pylsupinnur	blóðmørspinnur,hann dugir ikki so frægt sum at telgja pylsupinn(um ein óhegnigan)
pylsupressa	rullupylsupressa, pylsufarg
pylsuvognur	vognur har ið pylsur og annar lógvamatur fæst til keyps
pynt	e-t ið nýtt verður at pynta við, skart, skreyt, prýði;sms. t.d.jóla-
pynta	prýða, fríðka, skrýða,pynta seglata seg í fín klæði;(sjóm.)nú pyntar hann seg(ger sær fiskireiðskapin til);pynta til jólaprýða við jólapynti
pyntidukka	(niðr.)konufólk ið dámar væl at pynta seg,hann skal hava eina bóndakonu, ikki eina pyntidukku sum teg
pyntireyv	(niðr.)pyntidukka
pyntutur	ið dámar væl at pynta seg
pýggi	pýggj,eitt so ússaligt og findarleyst pýggi
pýggj	1lítið barn2lítið neyðarsligt fólk3(barn.)pa
pýggjaligur	1skitin2ljótur, ófólkaligur
pýggjapá	(barn.)pa
pýramida	1(egyptiskt) gravhús av gróti við ferhyrntari grund og tríhyrntum síðum sum ganga upp í topp2(støddfr.)luturel.mynd sum pýramida (1) í skapi, kirvi
pýramidustubbi	(støddfr.)pýramida (2) avskorin í erva, stývd pýramida
Pætur	1mansnavn,(tilt.)hetta er matur fyri Pætur,símatur2(stb.)landsynningur3myntur 1(Sv)
pætursmessa	22. februar, pætursstólur
pætursskuggi	k1(tilt.)vera sum pætursskuggi(um fólk sum hevði tað við sær at hjávera tess linnaði sjúku o.tíl.),hann var sum pætursskuggi(so skjótt ein bar eyga við hann linnaði sjúkan)(sbr.Áps.5,15)
pætursstólur	1pætursmessa,veturin sleit seg fram móti pætursstóli2(stjfr.,stb.)ávíst stjørnumerki
pætursøka	29. juni
pøða	(stb.)1vánalig vát torva 1,legg nakrar pøður afturat2óvandalig ljót húgva
pøðutur	(gl.,stb.)vátur, ígjøgnum
pør	sípar
-pørutur	sítjóvs-
pøs	(sjóm.)spann(t.d. at draga sjógv við);sms. t.d.slag-,sterta-
pøsa	gera pøstan, møða fullkomiliga, lúgva 3,ein góður gongumaður skuldi kunna pøsa ein lambseyð;var tað sum onkuntíð, hevði hetta brekkuskapilsið ikki pøst teg út
pøsing	(stb.)tað at verða pøstur,vit fingu eina sovorðna pøsing(spreingisgongu)
pøstur	fullkomiliga avmaktaður, útlúgvaður, útmøddur;sms. t.d.deyða-,út-
