T	rómv. taltekn fyri 160
treyst	1(sj.)styrki, seiggi, treysti,teir gomlu mundu duga at leggja kraft og treyst í stevið2einel.e-t álítandi,tað er gott treyst í honum3mót 1, álit 1(1),hava gott treystikki falla í fátt,gakk tú fram við góðum treyst;havið gott treyst!4(dj.)lokavøddi á skeldýrum;sbr.stapi (5);sms. t.d.mis-,sjálv-
treysta	gera treystanel.treystari, styrkja,treysta e-t(t.d.eina stoyping)
treystgóður	við gott treyst
treysti	treyst
treystleiki	tað at vera treystur, áhaldni, seiggi, stinnleiki, fastleiki, úthaldni,hann var tiltikin fyri treystleika
treystligur	rættiliga sterkur, áhaldandi, seiguro.s.fr., ramligur,við treystligari rødd;hj-ligavið styrki, ramliga, dyggiliga,taka treystliga til orðanna
treystmæltur	ramligur á málinum, reystmæltur, harðmæltur,hann var so treystmæltur maður til
treystna	gerast treysturel.treystari, styrkna,seyðurin er nógv treystnaður í seinastuni
treystur	1ið roynist drúgvur og munadyggur, áhaldin, knáur, seigur, stinnur (3), dyggur (2),lombini vóru smá og ærnar ikki so treystar at renna;nú var seyðurin treystari at renna enn um várið2(serst.um mat)tættur og fastur, ringur at melta, sterkur (3),treyst súpan;knettini eru treyst(seig);pussið er so treyst(heldur turt);sms. t.d.flog-,ó-,vár-
treyt	1torfør roynd, ring uppgáva,vinnael.lúka treytloysa (setta) uppgávu2krav, skylda, kostur (1), kor (2),leggja e-m treytir áel.leggja treytir á e-nseta e-m krøv;leggja eina treyt við e-m;tað, ið fram skuldi verða lagt á fundinum, hevði hann treyt at kunngera limunum tríggjar dagar frammanundan;(kvæð.)ber nú upp ta fyrstu treyt3fyritreyt, fortreyt4neyð, vandi 1, trupulleiki,hann tóktist vera í treyt;góður í treytumtrúgvur í neyðstøðu;(orðt.)sjáldan er trællur í treytum góður,sítreytagóður;sms. t.d.gjalds-,lívs-
treyta	leggja treyt við, krevja
treytabundin	bundin við treytum
treytaður	við treytum, bundin,móts.ótreytaður,vera treytaður av e-mhava sum treyt;(løgfr.)treytað fongsulsrevsing;treytaður dómur
treytagóður	trúgvur í neyðstøðu,(orðt.)sjáldan er trællur treytagóðursjáldan roynist skálkurin hollur tá ið á stendur
treytaleysur	við ongum treytum, ótreytaður, endaligur (3),biðja um treytaleysa umbering;treytaleys yvirgeving;treytaleys fongsulsrevsing;lívið skal vera treytaleyst, annars nokti eg at liva tað
treytareykasetningur	(málfr.)sambindingareykasetningur ið lýsir treyt í mun til tað ið sagt er í yvirsetningi(byrjar við sambindingarorðum sumt.d."um", "uttan"o.tíl.el.við øvutum orðarað),"um hann ikki fær frí" er treytareykasetningur í setningsheildini "hann fær ikki komið, um hann ikki fær frí";í setninginum "eg fari, kemur tú við" er "kemur tú við" treytareykasetningur
treytiligur	(sj.)trupul, tvørligur;hj-liga,tað gekk so treytiliga at fáa bitan niður(trekliga, seigliga)
triði	raðtal av tríggir, nummar trý,tey eru triði og annar(skyld í annað og triðja lið)
triði-	triði í eini røð(í mun til seinna orðlið),sms. t.d.-elstur,-fremstur,-niðastur,-ovastur,-størstur
triðidagur	(gl.,stb.)týsdagur
triðielstur	triði í aldri
triðingsbýti	tað at býta í triðingar
triðingsgerð	(gl.)tað at gera fyri triðing (2),tey bóðu um ull til triðingsgerð
triðingsglas	(gl.)skeinkiglas ið tók triðing av pegli
triðingsreising	(húsasm.)vanl. reising (1) á gl. føroyskum húsum(longdin á sperrunum 2/3 av breiddini á húsinum (el.longdini á tvørsyllini))
triðingsreyst	við triðingsreising
triðingstroyggja	troyggja bundin sum triðingsgerð,vit bundu triðingstroyggjur(áttu eina av trimum bundnum)
triðingsvinur	falskur vinur, óvinur at kalla,unnast mær ein hundsaldur, og triðingsvinir ei svíkja(Fuglakv.44)
triðingur	1hvør av trimum eins stórum pørtum ið e-t er sundurbýtt í2í osb.gera fyri triðingvirka (t.d.binda troyggjur) úr (bóndans) ull aftur fyri triðing í løn,fátækt fólk gjørdi fyrr fyri triðing;hann hoyggjar fyri triðing hjá presti(av 9 sátum fær hann 3);sms. t.d.felags-
triðjaland	(búsk.)land uttan fyri viðskifti millum tvey lond
triðjalandsfiskur	(búsk.)fiskur úr triðjalandi
triðjarót	(støddfr.)rúmrót
triður	nummar trý, triði,triður frá vinstru
trilka	1(um vind)vaksa í styrki, fríska,hann fór at trilka gulið(vaks vindin)2vaksa, mennast,vit høvdu eitt kenn, og tað trilkaðist;soðið gjørdist tynri og tynri, so hvørt børnini trilkaðust(fjølgaðust)3trilkastdraga á holdini, fara fram, gerast prúðari, fitna;(um barnakonu)hon trilkast skjótt(tjúknar)
trilla1	lítil rulla 1(1) til tráð;sms. t.d.tráð-
trilla2	1seta á rull, rulla 2(1), bólta (1), stikla 1(1), koyra (5),trilla barnavogn2fara rullandi,bólturin fer trillandi eftir vegnum
trillibøra	hjólbøra
trillrundur	heilt rundur, knattrundur, kúlurundur;gerast trillrundur(í ørviti);(skemt.)vera trillrundurvera fullur
trillutráður	seymitráður á trillu, líntráður (2)
trilva	taka leitandi eftir (e-m), káva (1), fjatla 2(2),trilva eftir e-m;húgvuni trilvaði eg leingi eftir, áðrenn eg fann hana aftur;blundandi trilvaði eg meg uttar at hurðini;trilva seyð, lomb(handfara, handla);eg trilvi meg oman gjøgnum bratta bøin(gangi varisliga)
trilvan	tað at trilva, kávan, káv
trimpil	(húsasm.)(á húsi)hækkaður loftsveggur(so at eingin væðing verður),húsini hava trimpil og kvist
trimum	sítríggir
trindil	(sj.)ristari 2
trinitatis	(kirkj.)fyrsti sunnudagur eftir hvítusunnu,tólvta sunnudag eftir trinitatis
trinna	gera tógv trítráðað
trinnanda	av trimum sløgum
trinnandi	trinnanda
trinnur1	trífaldur, trý pør, trý sløg, trý,eiga trint av klæðum;nú er bæði tvint og trint(nógv til av øllum);trinnir, trinnar, trinnitrý pør,trinnir sokkar;trinnar hosur;trinni klæði(r);trinni stórthundrað(3 ferðir 120);trinni hús(sethús)
trinnur2	(speis.)ágrýtin,hann fór so trinnur at gera tað;her situr hann so trinnur(ofta, íðuliga)
trioda	(alisfr.)serstøk farkleiv, tríkleiv
triski	(stb.,sj.)eitt ótrivaliga klætt, ótriski
tristur1	1(kortsp.)tríu(r)(t.d.í stýrivolti)2(bát.)árabátur 18 føtur langur við trimumel.fýra bekkjum(størri enn tríbekkur)
tristur2	(tlm.)illa hýrdur, dapur, óglaður
tritl	tað at tritla, kviklig rørsla,tá ið Mikkjal kvað, kom altíð tritl í dansin;onkuntíð ger hesturin eitt lítið tritl
tritla	1stíga títt og stutt, tøtla, tita,altíð tritlaðu og smárunnu teir;tá ið hestur smárennur, verður sagt, at hann tritlar2(ítr.)jogga
tritlan	tað at tritla
tritlari	(á áarmylnu)stritlari, ristari 2
triv	1trivni, trivnaður,lívið alt í hesum heita dali er triv og drekkan í gløðandi sól2tað at triva, ábót (1)
-triv	síinn-,í-
triva	hjálpa upp á, bøta, hampa,triva (um) e-t;triva (um) klæði;triva um skeggið
trivaligur	1vandaligur, nærlagdur, røkjutur,vælgjørdur og trivaligur maður2dyggur, hollur (2), nágreiniligur3góður, stórur, tjúkkur,sker kjøtið í heldur trivaligar bitar;krovið hevur ein trivaligan svíra;ikki fyrr enn skeinkjarin hevði skonkt nakrar trivaligar snapsar, kom prátið í gongd4væl í holdum, prúður,hann hevur altíð verið so trivaligur;brúðurin sat har so køggut og trivalig;hj-liga1harðliga, fast(liga),tá ið teir fóru, tók hann trivaliga í hondina á honum;hann setti glasið trivaliga aftur á borðið;hann heldur trivaliga um glasið2væl og virðiliga, vandaliga,arbeiðið er gjørt trivaliga og við góðum skili;sms. t.d.ó-
trivamaður	røkjutur maður
trivaskapur	tað at vera trivaligur (1), røkjuskapur
trivin	sbr.tyrvismakkur
trivla	(sj.)trilva
trivnaður1	trivni (1),trivnaðurin er farin úr lambinum
trivnaður2	í góðum holdum, fitnaður(Sv)
trivnaligur	(um seyð)sum trívst væl, væl í holdum, hyldligur
trivnast	vaksa og mennast, trívast væl,neytini trivnaðust;sms. t.d.av-,mis-,van-
trivni	1tað at trívast, vøkstur, menning (1),til lívsins uppihald og trivna;lítil og eingin trivni fekst í2stórt ídni, røkjuskapur,(tilt.)nú er trivni komin á Torkils døtur(um e-n ið brádliga er sjáldsama íðinel.húsligur)(FA45);sms. t.d.av-,mis-,ó-,van-
trivningsbiti	(stb.)styrkibiti (1), vakstrarbiti,et nú upp, góði, hetta verður trivningsbitin
-trivningur	símis-
trivsa	ótrivaligt konufólk, óhirja, ótrivavætti, fesja 1
trivski	(upprfr.)->triski
trivsutur	ótrivaligur, fesjutur (1), funsutur
trivtól	tól til at taka um e-t við[da.gribeinstrument]
tríalingur	maður tríggjar alin høgur
tríari	e-t sum hevur nummar 3t.d.bussur,fara við tríaranum
tríati	talið 30, í rómv. tølum XXXel.xxx, tretivu
tríatiundi	raðtal av tríati, tretivti, nummar tríati
tríbein	krakkur (1) við trimum beinum
tríbeintur	við trimum beinum,tríbeintur stólur
tríbekkur	(bát.)árabátur við trimum bekkjum(minni enn tristur)
tríbólkur	(tónl.)1tónaverk fyri trý ljóðføri2bólkur við trimum tónleikarum[da.trio]
tríburi	eitt av trimum systkjum føddum í senn
tríbýti	býti í trý
tríbýttur	býttur í trý,í hesum tríbýtta kirkjurúmi
trídeildur	(plfr.)trífingrutur
trídupultur	tríggjar ferðir størri, trífaldur
tríeind	(átr.)kristin hugmynd um Gud sum skapandi almátt ið opinberar seg í trimum: faðir, syni og heilagum anda
tríeini	sítríggireinir
tríeinur	(átr.)sum er ein og tríggir í senn,tríeinur Gud
trífalda	faldael.økja tríggjar ferðir,fólkatalið er trífaldað
trífaldur	1tríggjar ferðir fleiriel.størri(enn e-t ávíst)2í trimum løgumel.pørtum
trífingrutur	l5(plfr.)trífingrut blaðhandæðrað blað deilt í tríggjar næstan javnstórar lutir
trífinnutur	l5(plfr.)trífinnut blaðblað tríggjar ferðir innskorið
trífitjaður	(fugl.)við trimum fitjum,summir fitjufuglar eru trífitjaðir
tríflættaður	(um kvæði)við niðurlagi í trimum(kvødnum millum ørindisreglurnar og eftir),tríflættað ørindi
trífótur	lyftingaramboð við trimum stólpum ið koma saman í erva
tríggi	1tjúkt træ,tað er eitt ræðuligt tríggi, tú kemur við2beist, bartrog3flt(Suð.)trø
tríggir	talið 3, í rómv. tølum IIIel.iii
tríggireinir	tríggir einsamallir, bara tríggir,teir vóru tríggireinir
tríggjametrakast	(ítr.)(í hondbólti)fríkast frá tríggjametralinjuni
tríggjametralinja	(ítr.)(í hondbólti)bogað brotastrika tríggjar metrar uttan fyri málteigin
trígjørðutur	(seyðal.)við trimum rondumel.rípum niður eftir síðunum
trígreindur	við trimum greinumel.angum
trígyrdur	(um stavaílat)við trimum gjørðum
tríhjólaður	við trimum hjólum,tríhjólað súkkla
tríhjólingur	súkkla við trimum hjólum
tríhyrningur	1tríhyrntur luturel.flati2(støddfr.)flati við trimum hornum, tríkantur
tríhyrntur	við trimum hornum, tríkantaður,tríhyrntur hattur
tríkantaður	við trimum kantum, tríhyrntur
tríkantur	tríhyrningur
tríkirnaður	(bún.)við smáum aksaknokkum,akurin stendur tríkirnaður;øksini eru tríkirnað(sera smá)
tríkirnast	s74í osb.akurin tríkirnast(ber misvaksin øksel.aksaknokkar)
tríkirni	1misvaksin øks,akurin fekk ikki nóg mikla tøðu, og kornið varð aksaknokkur og tríkirni2akur við tríkirni (1)
tríkleiv	(alisfr.)trioda
tríknúgvaður	(bún.)tríkirnaður
tríkrókutur	1(um fólk)ógvuliga bogin2illa við, lotur (1), hámur,hann fór so tríkrókutur avstað aftur við ongum
trílba	(Suð.)ær við trimum lombum, trílemba
trílbulamb	(Suð.)lamb hja trílbu
tríleikur	(bókm.)bókaverkel.tónaverk í trimum sjálvstøðugum pørtum ið til samans mynda eina heild(trilogia)
trílemba	ær við trimum lombum;sbr.einlemba,tvílemba
trílembulamb	eitt av trimum lombum(hjá somu ær),lamb undan trílembu;sbr.einlembulamb,tvílembulamb
tríliðaður	við trimum liðum 1
tríliður	(bókm.)ørindisfótur við einum herðingarsterkum stavilsi og tveimum herðingarveikum(daktylos),øvutur tríliður(tvey herðingarveik stavilsi og eitt herðingarsterkt(anapaistos))
trílittur	við trimum litum,(tilt.)sum ein trílittur frensur(um ein ið ikki dugir at klæða seg, sum gongur ófantaliga ílatin)
trímannaveldi	(søg.)stjórn við trimum monnum(triumvirat)
trímanssjavsur	(kortsp.)sjavsur spældur av trimum
trímarkatroyggja	troyggja ið vigar tríggjar merkur
trímarksmaður	(gl.)maður dømdur at bøta tríggjar markar(mannminkandi)
trímarkur	(gl.)myntur verdur tríggjar markar (1)
trímastraður	(skip.)við trimum mastrum,trímastrað skonnart
trímenningur	ein ið er skyldur við e-n í triðja lið,tey eru trímenningar;hann er trímenningur hennara
trímerkishøsnagras	(plfr.)slag av høsnagrasi(Cerastium cerastoides)
trína	stíga, ganga,blaðstjórin trein við miklum kurteisi upp á røðarasteinin;trína dansdansa,(kvæð.)eingin trínur dansin undir moldum
trínáttaður	(um kálv)tríggjar nætur gamal
tríningar	tríggir partar ið e-t erel.verður býtt sundur í,fara í tríningarbrotnael.fara sundur í tríggjar partar;vera (liggjael.tíl.) í tríningumvera tríbýttur;nú ert tú í tríningum(sagt við ferðalærara við trimum bygdum at halda skúla í);sbr.tvíningar
trípeglafløska	fløska ið tekur tríggjar peglar
tríraddaður	(tónl.)(um song)sungin av fleiri samstundis í trimum tónahæddum,tríraddaður songur
tríraðaður	við trimum røðum,tríraðað bygg
tríraðutur	trírøðutur
trírøða	(stb.)trístrent nál
trírøðutur	trístrendur,trírøðut nál
trískeftaður	(um vevnað)sum er vovin við trimum skøftum,trískeftað vaðmal
trískera	sbr.tvískera
trískeytað	l kv6(bát.)trískeytað ártiltaksár við trimum skeytum;hann hevði altíð trískeytaða ár liggjandi í bátinum, tá ið hann fór á flot
trískiftisvakt	tað at arbeiðsfólk át.d.fiskavirki skiftast um at arbeiða í trimum vaktum(ymsar tíðir á samdøgrinum)døgndrift skal ganga í skiftum, og øll ídnaðarvirki, ið vanliga kunnu hava trískiftisvakt, koma undir heitið døgndrift
trískiftivakt	vakt (2) ið skiftir tríggjar ferðir um samdøgrið
trískjaki	skjaki (3) av trimum gørnum
trísligin	í trimum táttum,trísligið reip
trístrenda	(stb.)trístrend nál
trístrendur	(um nál, plantulegg o.tíl.)við trimum kantum, tríhyrntur, tríkantaður,trístrend nál;fruktin er trístrend ella áfløt nøt
trístrentur	trístrendur
trístykkishúgva	(gl.)húgva seymað av trimum stykkjum
trístykkiskýsi	(gl.)slag av kýsa seymaður av trimum stykkjum, geirakýsi
trístøkk	(ítr.)slag av longdarlopi(fyrst eitt lakk, síðan eitt lop og at enda eitt langt lop haðan ein kemur niðurat við beinunum saman)[da.trespring]
trítal	talið 3
trítalsbýti	tríbýti,trítalsbýti er gott, helvtarbýti betri(RJ Ymist209)
trítáttaður	(um tog, band, tógvo.tíl.)við trimum táttum,til yvirtroyggjur og annað, sum stóð fyri sliti, brúktu tey trítáttað;sbr.eintáttaður,tvítáttaður
trítindaður	við trimum tindum,trítindað kvísl
trítornaður	merktur við mynd av trimum tornum,trítornað silvur
trítoymi	trý ross saman fyri vogni
trítráðað	(tógv) við trimum tráðum,tá ið saman varð vundið trítráðað
trítrátt	(um garn)við trimum træðrum,smábørnini plagdu at halda á snældunum og so vinda tær upp annaðhvørt tvítrátt ella trítrátt
trítríggjaður	(skip.)við trimum mastrum,trítríggjað skonnart
trítrola	(sjóm.)samtrola tríggir trolarar til skiftis(tveir í senn)
trítroling	(sjóm.)samtroling hjá trimum trolarum(tveimum í senn)
trítræari	(skip.)skip við trimum mastrum, trímastrað skip
tríu(r)	(kortsp.)kortablað við talinum trý,eini tríu(r);tríuni
tríva	taka knappliga (í), grípa, rykkja (1), skrykkja (1), kippa 2(2),tríva e-nel.e-t;hann treiv rifluna;tríva eftir (e-m);hon trívur eftir krússinum;tríva í (e-n)1taka í, grípa,hann treiv í bringuna á honum;hann treiv aðra hondina í fótabugin á geldseyðinum2taka til (orða), gera (ljóð), fara í holt við (at sigael.gera e-t),hundurin treiv í eitt goyggj;maðurin treiv í ein eið;hann var í góðum lag og treiv í eitt kvæði;mangan treiv hon í kvæðaørindi og sálmaørindi;ofta varð trivið í at syngja;hann trívur í at læa;hann treiv so íhann kom við eini viðmerking tann vegin3fara í holt við, fáa frá hondini, gera,tað var ikki smávegis, hann fekk at tríva í;her er ov mikið at tríva í;tríva umtaka um (við hondunum),hann treiv um halafaksið á hestinum;kópurin leyp á hann og skuldi tríva um barkan á honum(við tonnunum)
trívast	hava tað gott, liva væl, finna trivnað, trivnast, vaksa, blóma,trívast væl/illa;hon trívst væl í nýggja arbeiðinum;hann trívst illa uttanlands;blómurnar trívast;væl var her lítið útsýni, men her var so fjálgt, at her kundu bæði menniskju og grøði trívast;(orðt.)tolin trívst,sítolin;(tilt.)bitatrøllið trívst best,síbitatrøll;sms. t.d.ill-,mis-,van-
trívibiti	(sj.,stb.)trivningsbiti
trívingarbiti	(stb.)trivningsbiti
troða1	stíga, traðka, treða,troða dans;dansurin varð troddur við lív og sál;troðið nú lættliga dansin;troða kornbreiða um gólvið og traðka(áðrenn treskt verður);(kvæð.)troða organ el. urganspæla upp á urgu;hon sat stór og før og troddi vevin;troddar gøtur;eggið er troðið(runnið saman við sáðkyknu);sbr.troða 2(2)
