u	(málfr.)sjálvljóðsstavur (nevndur[u:])
uppsprotnaður	farin upp í seyminum (1), við uppfarnum seymi (1),kjólin er uppsprotnaður
uppspuni	e-t uppspunniðel.óveruligt, heilaspuni,ein blandingur av uppspuna og veruleika
uppspunnin	samanpentaður, bjóraður (2),síspinna upp
uppspurdur	komin fyri ein dag, frættur, fregnaður
uppspurn	uppspurningur,hon vildi hava uppspurn um, hvør ið hevði dripið hann
uppspurningur	k6í osb.fáa uppspurning um e-tfáa e-t at vita, fáa vitan um e-t, fáa e-t uppspurt
uppspurt	lh tát hí osb.fáa (e-t) uppspurtfáa vitan um, fáa uppspurn(ing) um,nú var tað uppspurt, hvaðan Eyðun var ættaður
uppspæl	(ítr.)tað at spæla bóltin fram eftir vøllinum(frá verju- ella miðvallarleikara fram til álopsleikara)og byrja álop,hann var góður í uppspælinum og tetti væl í verjuni
uppstand	(skip.)styttur við skansaklædningi og lúnning,uppstandið fór alt fyri borð, tá ið brotasjógvurin legði seg yvir skipið
uppstandandi	(skip.)uppstand,alt uppstandandi soraðist
uppstandari	endi (2) millum kík og línusteinel.-varp, uppdráttur (3)
uppstandilsi	(tlm.)ringur standur, vána skil, úrstandur,tað var eitt uppstandilsi, hin gamli var í luftini
uppstásaður	í stásklæðum, uppskrýddur, uppsnákaður
uppstig	1nógv brim,tað var eitt øgiligt uppstig2tað at vilja spýggja, klíggjan, uppstígingar,eg havi sovorðið uppstig í dagtað vil renna upp úr mær3ófriður, órógv, hurlivasi, rok,gera uppstig;tað var ofta nógv órógv og nógv uppstig í Havn, tá ið bygdarfólk komu at fáa korn
uppstiga	1(tøkni)nýggjael.nýmótansgerat.d.telduskipanir,uppstiga stýrisskipanir á teldum2flyta upp á hægri stig(t.d.útbúgving),tað hevur skund at nútímansgera og uppstiga okkara hægru lærustovnar
uppstilling	tað at stilla upp til val
uppstillingarfundur	fundur har ið uppstillað verður til (løgtings)val(vanl. tríggir í tali)
uppstígingar	uppstig (2)
uppstoyptur	stoyptur heilt upp,veggurin er uppstoyptur
uppstrekki	(støddfr.)y-virði hjá punkti í krossskipan[da.ordinat];sbr.útstrekki
uppstrika	(skúl.)(í bókstavi)strika skrivað uppeftir,móts.niðurstrika,í bókstavinum "i" er ein uppstrika og ein niðurstrika(í skrift)
uppstríddur	útlúgvaður, útteipaður, ørmaktaður, forstríddur,hann var uppstríddur
uppstrokin	pyntaður og hampiliga ílatin, nossligur, væl greidduro.tíl.,hon er altíð so uppstrokin
uppstøða	1byrjan,uppstøða og niðurløga;tað var uppstøða og niðurløga hjá pápanum: "Tú verður aldri konfirmeraður"(tað var niðurlagið hjá honum);har var mín uppstøðahar byrjaði eg2trø, stólparo.tíl.at styðjat.d.form (2)el.laða grótgarð eftir3kavi ið fýkur upp av fjøllum, upphald (1)
uppsvølpaður	ógvuliga svølputur, upptúsnaður, upphovnaður, upptrútnaður, uppblásin (1),uppsvølpaður í andliti;hendurnar á fiskagentunum eru uppsvølpaðar av salti og kulda
uppsøgn	tað at siga uppel.verða uppsagdur, tað at slíta avtalu, sáttmálao.tíl.o.tíl.,fáa uppsøgn
upptak	1tað at taka upp og rudda, tað at beina burtur og fáa til høldar aftur, rudding,tað er stórt upptak aftan á slíka veitslu;mangt upptakið hevur verið av nótarkasti2(Suð.)brim, uppgangur,sum eitt upptak, ið leggur upp á land alt hetta, sum rekst á sjónum;upptakið mikla3fatan,gløggur í upptaki og skynsemi
upptaking	tað at taka uppt.d.epli og røtur
upptakingartíð	tíð á heysti tá ið epli og røtur verða tikin upp
upptaldur	sítelja upp
upptandur	úttandur
uppteljing	tað at telja upp
upptikin	1(um grindapart)fingin til høldarel.til hús, saltaðuro.tíl.,ikki alt varð upptikið, tí lítið var fólkið2tikin uppí, tikin við,vísan er upptikin í Føroya kvæði3tikin upp á band4(um bát)tikin upp á land5(um epli, røtur)tikin upp úr jørðini,eplini eru upptikin6tikin upp úr sjónum,línan er upptikin7(um seyð)tikin í fremmandum haga,eitt hvítt veðurlamb er upptikið í Norðskála haga;sbr.taka upp
upptil	um yvirkroppin, oman belti,hann er breiður upptil
upptjúknaður	vorðin sera tjúkkur, upptúsnaður, uppsvølpaður
upptornaður	tornaður heilt, vorðin skróvturrur
upptrekkjari	propptrekkjari
upptrungin	upphovnaður, uppblástur, upptúsnaður,kúgv er upptrungin;eg eri so upptrungin av mati(havi etið ov nógv)
upptrútnaður	upphovnaður, upptúsnaður
uppturkaður	vorðin heilt turrur, við ongari vætu eftir,ein uppturkaður hylur
uppturking	tað at turka upp
uppturkingarlappi	lappi at turka upp við
upptúsnaður	svølputur, uppsvølpaður, upptjúknaður,upptúsnaður í andliti,sítúsna
upptúsning	tað at túsna upp(um t.d. neyt)
upptústur	(stb.)upptúsnaður
upptýsnaður	(sj.)upptúsnaður
upptærdur	tærdur so at lítið og einki er eftir
upptøka	1tað at taka uppt.d.næmingar í skúla, grein í blað, ljóð á band, mynd(ir) á film, lim(ir) í felago.tíl.,upptøka av næmingum2upptak (1),nøkur tespilig upptøka verður tað ikki;upptøka eftir flettingtað at fáa slaktið til høldar3tað at taka fiskireiðskap upp úr sjónum,millum setu og upptøku4tað sum er á línu (1), í garnio.tíl.,ymiskar vóru upptøkurnar;fyrsta garnið gav ellivu tunnur, annað gav fjúrtan, so hetta var ein góð upptøka5upptak (2),upptøka í brimi;sbr.taka upp
upptøkuhøli	høli til at taka upp ljóð, myndiro.tíl.
upptøkumaður	1maður ið tekur upp myndir og ljóð(t.d. fyri sjónvarp)2maður ið tekur uppt.d.kúvingalínu
upptøkunevnd	nevnd ið tekur endaliga støðu til upptøku(á stovni, skúlao.s.fr.),í sambandi við upptøku á dagstovnin verður mælt til, at ein faklig upptøkunevnd verður sett, sum tekur endaliga støðu til upptøku á dagstovninum;
upptøkuorð	(málfr.,sj.)tøkuorð
upptøkuroynd	(skúl.)roynd ið næmingur skal standa fyri at verða upptikin á skúlao.tíl.
upptøkurúm	rúm til at taka upp ljóð, myndiro.tíl.
upptøkutól	tól til upptøku (av filmi, ljóðio.tíl.)
upptøkutreyt	treyt fyri upptøku í skúla, á lærustovno.tíl.
upptøvdur	nógv tøvdur,í upptøvdum vaðvøttum
uppum	1upp um e-t,leypa uppum, har garðurin er lægstur2á hol,slítael.traðka uppum(um hosur og skógvar)slíta stórt hol á ilel.hæl;hosurnar eru uppum;skógvarnir vóru traðkaðir heilt uppum
uppumslitin	(um skógvel.hosu)slitin á hol undir iljum,í uppumslitnum skóm
uppundan	1upp úrel.undan e-m, upp og til sjóndar,eplabløðkurnar koma uppundan;standa uppundanraðat.d.upp úr sjónum;teir hægstu kneysarnir stóðu uppundan2úr vána (fíggjar)støðu,hesir pengar høvdu hjálpt teimum uppundan(úr neyðini);hann kemur ikki uppundan aftur(kemur ikki fyri seg aftur fíggjarliga)
uppundir	upp undir e-t,styðja uppundir;bera uppundir;birta uppundir;eggja uppundir;leggja uppundir;taka uppundir(sísagnorð)
uppundirlagdur	við nýggjum træ løgdum upp undir tuflur í staðin fyri tað slitna,tey høvdu uppundirlagdar tuflur
uppundirris	ókyrra ið boðar frá vindi úr øvutari ætt;sbr.rísa uppundir
uppúr	upp úr e-m, upp um e-t,hyggjael.kveita uppúrhyggja upp meðan ein arbeiðir, lesuro.tíl.;hann blaðaði sum fyri lívinum og kveitti ikki uppúr;standa uppúrraða uppundan;leggja uppúrtaka (døgurða)mat upp úr grýtuni og seta á borðið;(stb.)fara uppúrfara burtur úr spæli
uppúrlagdur	(um mat)tikin upp úr pottinum og settur á borðið,nú er uppúrlagt
uppvaknaður	vaknaður (aftur)
uppvaknan	tað at vakna upp,náttúran rembdist í uppvaknan
uppvaksin	(føddur og) komin til mans(á ávísum stað),barnvaksin,hann er uppvaksin á bygd
uppvakstrartíð	uppvøkstur (2)
uppvandur	sívenja upp
uppvarpaður	fyri varpiel.akkeri,vit lógu uppvarpaðir væl norðari og nærri landi
uppvask	1tað at vaska upp2borðbúnaður ið skal vaskast upp,uppvaskið var fingið frá hondini
uppvaskibust	bust til at vaska upp við
uppvaskievni	tváttevni til uppvask
uppvaskimaskina	maskina til at vaska upp við
uppvaskivatn	1vatn at vaska upp í2(skemt.)vánalig, vatndeyv suppa
uppvenjari	ein ið venur uppserst.børn og ung, uppalari
uppvenjing	tað at venja upp, uppaling, uppfostran (1),tit hava givið børnum tykkara eina kristiliga uppvenjing
uppvevnaður	k12(sj.)í osb.veva uppvevnaðveva úr aftur tað sum skeivt er vovið
uppvið	upp við e-m,taka seg uppvið(um barn)reisa seg upp á beinini við at halda sær í;barnið dugdi at taka seg uppvið
uppvikaður	víkutur (2),hann var nakað uppvikaður báðumegin við
uppvøkstur	1tað at vaksa upp2tíðin tá ið ein veksur upp, barna- og ungdómsár, uppvakstrartíð,hann var ógvuliga ódællur í uppvøkstrinum
uppvørpa	(tøkni)tól ið varpar tekst og myndir á glæru upp á tjald á veggi(serst. í sambandi við frálæru, fyrilestrar o.tíl.)[en.overhead projector]
uppyngdur	vorðin sum ungur aftur,hann kom aftur so uppyngdur, spelkin og mjáur
uppyvir	upp yvir eldin,heingja pottin uppyvir
uppøsari	ein ið øsir fólk upp
uppøsing	tað at øsa (onnur) upp, arging,til stóra uppøsing fyri onnur
uppøstur	1sum øði er fingin í, ógvuliga illur, argur (2),alt fólkið var uppøst2í andarisi, óróligur,uppøstur sjógvur;uppøst hav
ups	vallað hallandi lendi oman móti egg 1(2), upsa, uks,hann rann oman gjøgnum upsina;álkan eigur ytst á upsum og í rivum
upsa	(sj.)ups
upsabrestur	ódnartak sum ikki varir við(at tríva harðliga í eitt arbeiði og so gevast áðrenn liðugt er),upsatak,hann gjørdi ein upsabrest
upsadorg	dorg at veiða upsa við
-upsaður	sítvør-
upsalodd	lodd á upsadorg,upsalodd hevur hol í báðum endum
upsarlundi	lundi sum býr í ups,upsarlundi er betri at fleyga enn urðarlundi;sbr.urðarlundi
upsarmaður	(bjarg.)athyggingarmaður,eg var bangin, tá ið eg skuldi fara útav, hevði hug at fevna upsarmannin
upsarstrá	strá niðast í ups,vøtturin fanst hangandi niðri í upsastráunum
upsastovnur	stovnur (6) av upsa
upsastræti	(kvæð.,kenn.)sjógvur
upsatak	upsabrestur,hatta er bert eitt upsatak
upsatorva	torva 2(1) av upsa
upsaveiða	tað at veiða upsa, veiða av upsa
upsi	(fisk.)fullvaksin seiður(Pollachius virens)
ur	lítil klokka 1(1)(til at hava uppi á sær í reim um skøvningin el. í ketu),armbandsur;lummaur
uran	(evnafr.)tungt geislavirkið metal(serst. nýtt til kjarnorku, frumevni, teknUt.e.uranium)
Uranus	(stjfr.)sjeynda gongustjørna frá sólini
urð	rúgva av stórum gróti lopin niður úr hamriel.bergi(við gloprum ímillum),lundi heldur til í urðum,sbr.urðarlundi;sum skarvur í nýggjari urðnýfikkin, nýfjeppin;hann er sum í urðini(nógv at fáa av fiski);skiparakamarið er sum urðin(sera óruddiligt);sms. t.d.glopra-,lunda-,sjóvar-,skarva-
urða-	urðar-
urðarglopur	glopur millum urðargrót,í urðargloprum eigur fuglur
urðargrell	(sj.)(lítil) smábørn, smáknas, grell (3),urðargrell eru smábørn(smærri enn grell)
urðargrót	(stórt) grót í urð
urðarhúsagras	(plfr.)slag av húsagrasi(Poa nemoralis)
urðarkálvi	urðarkálvur
urðarkálvur	1lítil urð, urðarkumli, urðarkovi, urðarlag2útúrgerð úr størri urð
urðarketta	(bíbl.)villkøttur;sbr.roysikøttur
urðarkoma	stór nøgd(Sv)
urðarkona	(fugl.,sj.)urðnakona (1)
urðarkovi	(sj.)urðarkálvur (1),(tilt.)sum í einum urðarkovasera óruddiligt
urðarkuml	urðarkumli
urðarkumli	urðarkálvur (1),(tilt.)sum í einum urðarkumlasera óruddiligt
urðarkyrra	deyðakyrra(so at farandi er í urð við bát)
urðarlag	urðarkálvur (1)
urðarlendi	lendi við urðum
urðarlundi	lundi sum heldur til í urð,upsarlundi er betri at fleyga enn urðarlundi;sbr.upsarlundi
urðarmurtn	strandvarp av muldum tara og tangi,sum urðarmurtní stórum tali(Sv)
urðaroksi	(dj.,barn.,stb.)kongalús
urðarseiður	(kvæð.,kenn.)lindormur
urðarseyður	(dj.)seyður sum gongur (í feitilendi) í urð
urðarsmog	trongi í urð
urðarsteinur	(stórur) steinur í urð
urðarveðrur	(dj.)veðrur sum gongur (í feitilendi) í urð
urðnakona	(fugl.)1ársgamal lundi, urðarkona,(tilt.)hatta sær út sum ein urðnakona(um óskotligt konufólk)2(stb.)álkusteffa3(stb.)lomvigasteffa
urðut	(stb.)við urðum,urðut í neðra
urga	1(tónl.)ljóðføri har ið tónarnir verða gjørdir í pípum (í ymiskum støddum og skapi) við luft úr bjølgi, orgul2(slang)málgagn,urga Fólkafloksins Dagblaðið
urgan	(kvæð.)urga
urgansleikari	urguleikari
urgansleikur	urguspæl
urganspípa	(kvæð.)urgupípa
urgansspæl	urguspæl
urguleikari	ein ið spælir á urgu(t.d. í kirkju),urguspælari, urgansleikari
urguleikur	urguspæl
urguljóð	ljóð frá urgu
urgupípa	(tónl.)(long) pípa 1(1) á urgu sum fylt við luft gevur tóna, urganspípa
urguspæl	tað at spæla urgu, urguleikur, urgansleikur
urguspælari	urguleikari
urgutal	h(sj.)í osb.í urgutalií rúgvutali
urketa	keta á lummauri,úr bróstlummanum hongur urketan
urn	(sj.)lágt brummandi ljóð(t.d. frá æðum),hoyrið urnið frá æðunum
urna	1(um kettu)geva ljóð frá sær(tá ið hon er væl hýrd),kettan urnar2njóra,mamman urnar yvir barninum3urnast1(um smábarn)knarra eitt sindurel.órógvast áðrenn tað sovnar,barnið liggur og urnast2(stb.)hava nógv um at vera3(stb.)halda til, balast,hann bygdi sær hús og flutti út hagar, og har urnaðust tey
urni	(fisk.,sj.)(smá)kalvi
urnikvæði	einsljóðandi murrandi songur(tekin um at hýrurin er ringur),urnisongur,hatta lagið í morgun, urnikvæði dunar
urnisongur	urnikvæði
urpt	(fugl.)tey egg ið fuglur verpur hvørja ferð, urt 3,fyrra urpt;seinna urpt;tá var loyvt at taka fyrru urpt av eggjum;tá ið fuglur varp úti, antin hann var tamur ella villur, var eggjatalið kallað ein urpt;missa urptina(um hønu)halda uppat at verpa;tapa urpt(um t.d. gás)halda uppat at verpa(t.d. av kulda)tá ið hon hevur vorpið nøkur egg,gás tapir urpt, tá ið hon heldur uppat at verpa vegna illveður ella aðrar vánaligar umstøður og ikki vil leggjast;tað rapar eftir urptel.rapla urpt(um gás)verpa títtari(tá ið hon fer at vilja liggja);ein satansel.fanans urpt1(sagt um rúsdrekka)2(sagt um fólk ið gera skaða fyri onnur og skapa klandur)
urreim	reim (1) (av leðriel.metali) ið heldur armbandsuri um skøvningin
urs	mðlv(sagt við tarv tá ið kúgv er hjá honum),urs, urs!
ursa	1(stb.)(um tarv)springa (6),tarvurin ursaði kúnni2(stb.)sita óstillur, rassast,sit ikki og ursa(t.d.við barn ið situr óstilt í kirkjuni),ursastarbeiða ógvisliga, gera e-t ógvisligt
ursi	1gamal tarvur(Sv)2stórur, tjúkkur, óskotligur maður,gongur sum ein ursi(skitin og ófantaligur)
urskiva	skiva 1(2) á uri við tølum og pinnum á uri
ursmiður	handverkari ið gerel.umvælir ur, klokkumakari
ursur	(stb.)tarvur;sbr.ursi
urt1	(plfr.)vøksturel.planta ið ikki er trækend,grøðandi urtir;sbr.runnur,træ;sms. t.d.bótar-,dún-,eld-,grøði-,helvitis-,krydd-,leygar-,mat-,mjaðar-,svøvn-,vav-
urt2	ógeraður løgur av byggmalti;sbr.virtur
urt3	urpt
urtaføði	(sj.)grønmeti
urtagarðs-	sms. t.d.-amboð,-arbeiði,-bonkur,-grind,-hús,-røkt
urtagarðsbrúk	urtagarðsyrki
urtagarðsfelag	felag fyri urtagarðseigarar
urtagarðsfrøði	frøðigrein um urtagarðsyrki og -røkt(hortologia)
urtagarðsfrøðingur	ein ið er lærdur í urtagarðsfrøði
urtagarðsjarðber	(plfr.)jarðber í slektiniFragaria
urtagarðslæra	urtagarðsfrøði
urtagarðsmaður	maður ið hevur urtagarðsyrki sum vinnu
urtagarðsplanta	(plfr.)planta ið (bert) grør í urtagørðum
urtagarðsvinna	tað at arbeiða við urtagarðsyrki
urtagarðsyrki	arbeiði við at dyrka grønmeti, frukt, bero.tíl.í urtagarði(ætlað til sølu)
urtagarður	garður (4) við plantum, urtum og trøum, grasagarður
urtagóður	gróðrarmikil, grøðiligur,her er so urtagott(grør so væl);tann bøurin er urtabetri;sandjørðin er sera urtagóð
urtakervil	(plfr.)slekt í skjólurtarætt(Myrrhis),søtur urtakervil(M. odorata)
urtapílur	(plfr.)slag av píli (1)(Salix herbacea)
urtapottafjalari	prýðiligur (leir)pottur ið urtapottur stendur í
urtapottur	(leir)pottur við plantu(m) í(til prýðis í vindeygum o.tíl.)
urtate	te traktað av (turkaðum) urtum
USA	sambandsríki Amerika(stytting fyri United States of America)
uttan1	1við rørslu inneftir frá ytri staði, uttanífrá, uttaneftir,uttan av havi;uttan úr heimi2á ytru síðu á, uttaná,bæði uttan og innan3annað enn,hvat er uttan stórur kalvi!4(saman við fs)uttan áá útsíðu á,uttan á klæðunum;hon kastar eitt plagg uttan á seg;uttan fyri (el.gl.fyri uttan)við útsíðuna á,móts.innan fyri,uttan fyri húsini;búgva uttan fyri býin;eiga barn uttan fyri hjúnalag;vera uttan fyri ES(ikki vera limur í);uttan umkring um,krákan vappar uttan um ungarnar;teir trunkaðust uttan um hann;uttan yvir:hon tók eitt sjal uttan yvir seg(um herðarnar)fs5hinumegin, handan,uttan garðs;uttan duraúti;uttan hallarúti;(stn.)Uttan Á,móts.Heiman Á6við ongum, ikki íroknað, fríur fyri, undantikið,uttan mat og klæði;uttan ivaivaleysur;uttan vitvitleysur;eingin uttan egbert eg;eg sá ongan uttan teg(bert teg);øll vóru har uttan eg(tó ikki eg);altíð stóð hesturin á bønum uttan um veturin
uttan2	1um ikki,eg fari ikki, uttan at tú kemur við;eg fái einki gjørt, uttan (at) tú hjálpir mær;eg komi ikki, uttan so er, at ...2men,hann kom ikki higar, uttan fór beina leið heim;uttan eg sigimen so sigi eg
uttanat	uttan at hyggja í bók(um e-t ið ein hevur lært seg og kann endurgeva eftir minni ofta uttan at geva sær far um innihaldið),læra e-t uttanat;duga e-t uttanat;hann dugdi sangin uttanat;sbr.innaní
uttanatlestur	(skúl.,gl.)tað at siga fram tað ið er lært uttanat
uttanatlæra	tað at læra uttanat
uttanav	av ytru síðuni á, uttan av e-m, burturav (1),hann koyrdi pappírið uttanav
uttaná	á útsíðuniel.ytru síðu á, uttanyvir,teirra góðska var mest uttaná
uttanáskrift	tað ið skrivað er uttan á e-tt.d.brævo.tíl.
uttanbergs	(bjarg.)1í línu(har sum bergið er bratt uttan fyri røkur og torvur),uttanbergs hongur maður í línu ella bandi, innanbergs er hann inni á rók ella skorti;ganga uttanbergsganga leysurel.í floganssnari í berginum eftir knaddum har ið røkurel.torvur ganga burtur2uttan fyri bergið, uppi á sløttum,tá ið ein er komin út úr berginum, nevnist tað, at hann er uttanbergs;ravnurin gjørdi sær reiður so uttanbergs, at dreingirnir fingu avrøkt hann;taka rossel.seyð uttanbergs(í haga);sbr.innanbergs
uttanbíggjar-	úr aðrari bygd,sms. t.d.-fólk,-genta,-maður
uttanbíggjarjørð	jørð sum uttanbíggjarfólk eigur í eini bygd
uttanbjálka	uttan fyri ytsta bitan í roykstovuni,móts.innanbjálka(FFÆ11)
uttanborða	uttanborðs
uttanborðaður	uttanborðs (1)
uttanborðs	1uttan fyri skips-el.bátssíðuna, uttanborða, uttanstokka,skipsbáturin hongur uttanborðs2fyri borð, út (2),hann fór uttanborðs
uttanbygdar-	uttanbíggjar-;sms. t.d.-fólk,-maður
uttandura	út(i), uttanveggja, uttangátta(r), uttanhýsis,barnið skuldi ikki uttandura, áðrenn tað var doypt
uttanduraður	útfarin (um dyrnar),so títt og knapt útklykt var, var hann uttanduraður
uttanduraklæði(r)	útiklæði
uttaneftir	uttan úr havinum, úr útlondumo.s.fr., uttanífrá (og inneftir),tíðindi uttaneftir(uttan úr heimi)
uttanfelagsmaður	maður ið ikki er limur í felago.tíl.,blaðið kostar 4 kr. fyri limir og 6 kr. fyri uttanfelagsmenn
uttanfjarðaður	1(um láturkóp)stórur og feitur,føroyingar høvdu navnið teir uttanfjarðaðu um láturkóp;hon er sum eitt uttanfjarðað(ógvuliga feit)2(um fólk)sum ikki sleppur aftur á land,teir eru uttanfjarðaðir;sbr.innanfjarðaður
uttanflokka	(stjm.)uttan fyri politiskar flokkar,hann stillaði upp uttanflokka
uttanflokkamaður	(stjm.)politikari ið ikki er limur í flokki (1)
uttanfloks	(stjm.)uttan fyri flokkin,hvørki innan- ella uttanfloks
uttanfóta(r)	á ytra jaðara á fóti,jarkin er uttanfóta(r)
uttanfyri	uttan fyri e-t, fyri uttan,hann stóð uttanfyri og bíðaði(uttan fyri húsini)
uttangarða	uttangarðs
uttangarðaður	(stb.)uttangarða
uttangarðs	uttan fyri bøgarðarnar,tað, ið er innangarðs, kalla vit bø, tað, sum er uttangarðs, kalla vit haga
uttangarðsjørð	hagi
uttangarðsmørk	(stb.,gl.)seyðamørk
uttangátta(r)	(sj.)úti, uttandura, uttanhýsis
uttanhaga	(um seyð)skotin av haga,tað er sjáldan at síggja, at seyður fer so langt uttanhaga(skjýtst so langt av haga)
uttanhanda	l óbí osb.tað er so uttanhanda(ólagaligt, óhøgligt);tað var so uttanhanda onga mjólk at hava í húsinum;tað var so uttanhanda fyri lærararnar, at teir ongar orðabøkur høvdu at halda seg til
uttanheimur	útheimur
uttanhendis	uttan á hondini,magi og gørn hanga uttanhendis(í kryvjing)
uttanhjarta	(á maskinu)uttan fyri miðdepilin (hjartað),summi hjól høvdu ásina uttanhjarta[da.excentrisk]
uttanhjartaður	sum liggur uttan fyri miðdepilin[da.excentrisk]
uttanhýsis	uttan fyri húsið, uttandura, úti,móts.innanhýsis;óbl:uttanhýsis próvtøkapróvtøka við próvdómara uttan fyri útbúgvingarstaðið
uttanhýsisarbeiði	útiarbeiði
uttanhýsisfólk	fólk sum ikki hoyrir til húsiðel.húskið
uttanífrá	frá ytri staði(uttan fyri har ein sjálvur er),aðrastaðni frát.d.úr útlondum, uttaneftir,ein maður uttanífrá;ljóðið kom uttanífrá;vit mugu fáa hjálp uttanífrá(úr aðrari bygd, úr øðrum landio.s.fr.)
uttankirkjufólk	fólk ið ikki hoyrir til kirkjuna, fólk ið hoyrir til trúarflokk uttan fyri kirkjuna
uttanklædna	uttanklæða,nógv skuldi til bæði innan- og uttanklædna har nógv fólk var í húsi
uttanklæða	viðv. yvirklæðum, av yvirklæðum, uttanklædna,móts.innanklædna,nógv fer til hvørt plaggið bæði innan- og uttanklæða
uttanlands	uttan fyri heimlandið, í útlondum, uttanlendis,ferðast uttanlands
uttanlands-	sms. t.d.-ferð,-handil,-mál,-postur,-sigling,-tíðindi
uttanlandsnevnd	(stjm.)tingnevnd ið viðger uttanlandsmál
uttanlandsskuld	(búsk.)skuld ið land skyldar øðrum londum
uttanleggja	uttan á legginum (2),eg havi ilt í beininum uttanleggja
uttanlendis	uttanlands
uttanliða	hjí osb.tað liggur uttanliða (á kúnni)burðarliðurin liggur aftur úr kúnniel.út úr kroppinum(prolapsus vaginae)
uttanlíkindi	ytri umstøðurel.líkindi
uttanlæra	(sj.)uttanlærs
uttanlærs	uttanvert áel.uttarumegin á lærinum,móts.innanlærs
uttanmaður	1fremmandamaður, avbygdarmaður2maður uttan av fjørðinumo.tíl.3maður ið býr ytri(í oyggj, við fjørð el. sund)
uttanoyggja	1uttan fyri oyggjarnar,fórt tú ikki uttanoyggja, so varð farið gjøgnum Sundalagið2uttanlands(t.e. uttan fyri Føroyar),hann eygleiddi alt, sum fór fram uttanoyggja3sum vendir út móti havinum,hyljar uttanoyggja eru ofta so djúpir og hálir á kantinum, at hann slapp ikki upp aftur
uttanpartastøða	tað at taka støðu fyri hvørgum partinum í ósemju, tað at vera lutleysurel.uttanveltaður, lutloysi[da.neutralitet]
uttanríkis	uttan fyri ríki (1), uttanlands
uttanríkishandil	(búsk.)handil hjá einum ríki við onnur ríki
uttanríkismál	(stjm.)mál 1(7) sum viðvíkja samskifti hjá einum ríki við annað (onnur) ríki
uttanríkismálaráð	(stjm.)uttanríkisráð
uttanríkispolitikkur	(stjm.)1politikkur viðv. viðurskiftum hjá einum ríki við onnur ríki2politikkur ið verður førdur av øðrum ríkjum (og millum onnur ríki),ein nýggj støða í uttanríkispolitikkinum
uttanríkispolitiskur	(stjm.)1viðv. viðurskiftum hjá einum landi við onnur lond2viðv. politikki í øðrum londumel.millum onnur lond3ið snýr seg um uttanríkispolitikk,ein uttanríkispolitisk grein
uttanríkisráð	(stjm.)stjórnardeild ið hevur uttanríkismál um hendur, uttanríkismálaráð
uttanríkisráðharri	(stjm.)ráðharri ið situr fyri uttanríkismálum
uttanroyndarligur	viðv. uttanroyndarvísindum[da.metafysisk]
uttanroyndarvísindi	hugsanir um heimin yvirhøvur og alt sum er til(serst. uttan fyri royndarheimin)[da.metafysik]
uttanrætta	hjí osb. sumtaka seyð uttanrætta1taka seyð uttan at reka hann í rætt(við at taka hann á føti el. við hundi),veiða 2(3)2taka seyð sum ikki hevur verið í rætt í fjallgongu(við at reka hann í trongael.í rætt)
uttanstokka	(bát.)uttan fyri stokkin (stokkarnar), uttanborðs (1)
uttansyndis	uttan fyri sund og firðir, uttan fyri landoddarnar, útiá
uttantil	á ytru síðu, uttaná,uttantil á húsinum;niður frá gáttini uttantil lógu tveir trappusteinar
uttantings	(stjm.)uttan fyri (løg)tingið
uttanum	uttan um e-t, umkring, kring um, har um vegir
uttanumtos	tos ið ikki kemur spurninginum við(ið er til umrøðu),latið okkum tosa um málið, og latið alt uttanumtos liggja
uttanveggja	uttanhýsis, úti
uttanveldi	(gl.)útlendskt yvirvald,hvat fedrar okkara hava liðið undir uttanveldi
uttanvelta-	uttanveltaður,sms. t.d.-fólk,-politikkur,-støða
uttanveltaður	1sum ikki ert.d.í felagel.partur í søk, ið ikki heldur við øðrum partinum, sum ikki eigur lut í einum máli 1(6), lutleysur,Svøríki er uttanveltað land(uttan fyri hernaðarsamgongur)2(kortsp.)sum ikki er trumfur
uttanvert	(beint) uttan fyri e-t, við ytru síðu á, uttantil,teir vóru uttanvert við hann;teir halda seg uttanvert við streingin suðureftir
uttanyvir	á ytru síðu á, uttaná, uttan yvir e-m,hann hevði kot uttanyvir;ert tú í ongum uttanyvir?(ongum frakka, einklæddur)
uttar	1longri út, uttareftir(t.d. í húsi),uttar í dyr;far uttar í stovuna;deknurin fer uttar eftir gólvinum2uttarlaga, (longri) úti,uttar við dyrúti við dyrnar
uttareftir	longri út, uttar,hann hevði reist seg og fór uttareftir
uttari	1lsum er longri úti, ytri,Uttara Dalsá2hjlongri úti, ytri,uttari við dyrnar;uttari í durunum;konan stákaðist uttari í stovuni
uttarla	(gl.)uttarlaga,(kvæð.)uttarla sær sessin tók ytst við hallardyr
uttarlaga	1rættiliga langt úti,grindin lá uttarlaga á;teir vóru uttarlaga staddir(á havinum)2nær við útdyr,vælkomin til garðs, tygum sita so uttarlaga;(kvæð.)uttarlaga sessin tók
uttarumegin	á ytru síðu, uttaná
uttastur	longst úti, ytstur;hjuttast,uttast við vaks væl;øll klæðini frá uttast til innast(bæði undir- og yvirklæði)
-utur	(eftirfesti),sí t.d.át-,bekl-,berskøll-,blik-,bøll-,fesj-,flekk-,fræn-,gjørð-,gróm-,grugg-,kløtr-,krill-,lubb-,omm-,pesj-,pink-,pokn-,rond-,skrøgg-,skørð-,sokk-,túgv-,vingl-,vørm-,ørg-
