U,u1	1málljóð2bókstavur
ubøjet	(málfr.) óbendur
ubønhørlig	eirindaleysur, miskunnarleysur, harður, strangur, hjartaleysur, harðhjartaður, harðmøraður
ubåd	kavbátur
ubådsangreb	kavbátaatsókn, kavbátaálop
ubådsbunker	kavbátaskýli
ubådsjager	kavbátajagstrari
ubådskaptajn	kavbátakapteynur
ubådskobbel	kavbátariðil;en u. lå og ventede på konvojenkavbátariðil lá og bíðaði (eftir) varda skipafylginum
ubådskrig	kavbátakríggj;uindskrænket u.óavmarkað/treytaleyst kavbátakríggj
ucharmerende	ósjarmerandi
uciviliseret	1ómentaður, ósiðmentaður, ósiðaður, óskúlaður; ófantaligur, grovur;u. levemådeófantaligur liviháttur(el.lívsháttur)2frumstaddur;uciviliserede egnefrumstødd øki
ud	1út, uttar; at enda;gå u.fara út, fara frá húsum, fara av durunum, fara á dyr, fara uttar; (um ljós) slokna;se lige u.hyggja beint fram;jeg skal u. i afteneg fari út í kvøld;gå lige u.ganga beint fram;læs fra side 5 og stykket u.les(ið) frá síðu á) enda;år u. og år indár um ár, ár undan ári, árliga árs;jeg ved hverken u. eller indeg veit ikki míni livandi ráð, eg veit einki, eg veit hvørki til høvur ella hala2[ísamb. viðfs]adu. ad vejenút eftir vegnum;u. ad dørenút fyri dyr- afu. af æskenupp úr eskjuni;u. af husetút úr húsunum;90 u. af 100 forslag bliver vedtagetverða samtykt- forvognen holdt u. for gadedørenbilurin stóð (og bíðaði) í túninum(el.fyri durunum)- igå u. i køkkenetfara inn (út) í køkin- medu. med dig!far avstað við tær!, slepp tær burtur!; stikk av við tær!, skúgva teg burtur!;u. med sproget!sig tað nú!-(i)modet værelse u. (i)mod gadenverilsi, ið vendir ímóti gøtuni- overdet går u. over dig selvtú verður sjálvur við sviðan, tú fært sjálvur sviðan, tú fært tað afturlønt, tað kemur tær aftur um brekku;u. over det dagligeút um tað dagliga;hænge u. over gelænderettoyggja seg út um rimaverkið;u. over alle grænserút um alt mark- påu. på dagenfram á dagin;u. på natteninn í náttinael.út í náttina;planen går u. på dettesoleiðis(el.hetta) er ætlanin- tilu. til højre!út til høgru!,(skemt.) u. til højre med hamburtur við honum;u. til benssíben- udadút eftir, útá;døren åbner u.hurðin gongur útá, hurðin fellur úteftir;tage sokkerne på med vrangen u.lata seg í rangvørgar hosur, fara í hosurnar rangvørgar;gå udad på føddernevera útføttur(móts.innføtturel.at tvinna)
udad	uttan, uttarumegin;hvad udad tabes, skal indad vindestað, sum mist er uttan garða, skal vinnast innan garða; tað, sum mist er uttarumegin, skal vinnast innarumegin; tað, sum mist er uttan, skal vinnast innan
udadbuet	kúputur, bungutur, árundaður
udadbøjet	boygdur útá, bungutur, brettur útá;med udadbøjede knævíðkníggjaður, hjólbeintur(móts.kálvakníggjaðurel.knæbendur)
udadgående	sum gongur útáel.úteftir;u. strømútrák
udadlelig	óatfinnandi, ólastandi, sum ikki er at lasta, sum einki er at finnast at, lýtaleysur
udadreagerende	(sálfr.)udadreagerede adfærdútvirkin atferð
udadrettet	sum bendirel.vendir útáel.úteftir; (um fólk) opin og virkin, áhugaður, áhugasamur
udadtil	at síggja til, úteftir, uttaná, uttantil, í útsjónd, útvortis;familien holdt sammen u., men skændtes indbyrdesfamiljan stóð saman úteftir, men sínámillum klandraðust(el.deildust) tey
udadvendende	sum horvir út, sum snýr út, sum vendir út;et u.kulturelt arbejdementanararbeiði, ið røkkur víða(el.vítt)
udadvendt	opin, fríur, útvendur;han er en u. og aktiv personhann er opin og virkin maður;med flade udadvendte fødderslættiljaður, og sum stígur(el.traðkar) útá við fótunum
udadvoksende	sum veksur útáel.úteftir;med skævt u. horn(um veðragjóling) skeiðhyrntur(móts.nakkhyrntur)
u-dal	u-dalur
udannet	ómentaður, ófólkaligur, grovur;en fræk og u. opførselfrekur og ófólkaligur atburður
udansk	ódanskur;det ord lyder u.hatta orðið ljóðar ikki danskt
udarbejde	evna til, gera, mynda, virka, gera ætlan um, seta saman, greiða úr hondum, orða, skriva, gera;u. en plangera ætlan;u. en taleskriva røðu;u. (og fremsætte) et forslaggera (og leggja fram) uppskot
udarme	arma út;(fl.m.)bløða burtur;krigen udarmedelandetkríggið armaði landið út, landið bløddi burtur í krígnum
udarte	úrskeplast, úrskepast, spillast, skemmast, kryplast, enda í;fodboldskampen udartede til det rene slagsmålfótbóltsdysturin endaði í bardaga(el.í einum hurlivasa)
udartning	avskepling, úrskepling, úrskeping; spilla
udarving	(løgfr.) útarvingi, útervingi
udaset	fyrilagstur, útlúgvaður, útasaður, tuskaður, avtuskaður, útteipaður, lúgvaður, úttikin, útsleipaður, útmøddur, útmaktaður, pøstur, deyðgivin,(tlm.)fokkaður;træt og u.móður og troyttur, útteipaður
udateret	við ongari tíðarfesting, ikki dagfestur
udb.	(st.) udbetaling
udbanke	bankael.buka kjøt moyrt, moyrka
udbasunere	blása út, kunngera allastaðni, rópael.bera út um allar geilar, boða víða hvar
udbede	udbede sigbiðja (um);NN udbeder sig fornøjelsen af Deres nærværelse til middagtað hevði frøtt NN, um tygum høvdu kunnað komið til døgurða;svar udbedesgerið so væl at svara,(st.) s.u.;kvittering udbedesgerið so væl at geva mær kvittan
udbedre	gera aftur, væla um, bøta, bøta um, bøta aftur, triva um(t.d.klæðir), seyma, bindael.penta saman, stoppa(t.d.hosur);u. en skadevæla um skaða;vejen skal udbedresvegurin skal umvælast;udbedretafturbøttur
udbedringshavn	(sigl.) umvælingarhavn
udbene	1(um fisk) skilja2(um tjógv) leggloysa
udbetale	gjalda, rinda, gjalda út, lata (av hondini), reiða, greiða,(tlm.)betala út;at få en smule (af lønnen) udbetaltfáa eitt sindur (av lønini) út;u. én hans løngjalda einum lønina; (um lán, skuld) gjalda(el.rinda) alla skuldina
udbetaling	útgjald, gjald, gjalding, gjaldan, útgjaldan, rindan,(tlm.)útbetaling;at få en lille u.at fáa nakrar krónur út
udbetalingsbevis	(út)gjaldingarkvittan
udbetalingsdag	gjaldingardagur
udbinde	(prent.) binda út
udblik	útsýni;(fl.m.)yvirlit;u. over det danske folks historieyvirlit yvir søgu danska fólksins
udblokke	(t.d.skógv) víðka, tamba
udblomstre	blóma, blomstra
udblæse	blása út
udblæsning	1útblásing, útblástur;fri u.fríur(el.ótarnaður) útblástur2(fl.m.) spille sin rolle for fuld u.spæla leiklutin við lív og sál
udblæsningsrør	(tøkn.) útblásturrør
udblæsningsventil	(tøkn.) blásturventilur, blástursmog
udbløde	bloyta, leggja í blot, seta á blot;u. tørrede frugter i vandleggja turkaðar fruktir á(el.í) blot
udbombe	bumba í sor;de fleste af flygtningene var udbombedemeginparturin av flóttafólkunum hevði mist alt í bumbuálopum
udbore	bora innanúr, bora út, bora, víðka
udbrede	1liggja víðopin;dalen lå udbredt for vore fødderdalurin lá víðopin framman fyri(el.undir) okkum2breiða, breiða út, spjaða, spreiða, spreiða út;u. kendskab tilbera kunnleika(el.tíðindi) um eitt;skikken er meget udbredtsiðurin er algongdur3u. sig omtosa ov leingi(el.ov nógv) um okkurt,(óvand.)skræða(el.breiða) seg um, gorra um;udbredtvanligur, algongdur;udbredt hunderacevanligt hundaslag
udbredelse	útbreiðsla
udbredelsescentrum	útbreiðslumiðdepil;protestantismens u. er TysklandTýskland er útbreiðslumiðdepil protestantismunnar
udbredelsesområde	(lívfr.) vakstrarøki, gróðrarøki, útbreiðsluøki
udbredt	útbreiddur; algongdur
udbringe	1bera út;u. aviserbera bløð út2u. en skål eller et leveskála, skála fyri, drekka skál, rópa (hurrá) fyri;u. en skål for énskála fyri einum;u. et leverópa hurrá fyri
udbringning	(postm.) útburður, útbering
udbringningsgebyr	(postm.) burðargjald
udbrud	1eldgos, gos, eldrok, tað at kykna upp, tað at taka seg upp, útbrot;en vulkan i u.eldfjall, ið goysir; eldgos, eldrok;eksplosivt vulkansk u.spreingigos;ildens u.eldurin kyknaði upp;sygdommens u.sjúkan tekur seg upp2gleps, herðindi, árend, físur, sprutt(t.d.tað er ein físurel.eitt sprutt, so er hann góður aftur), vørrur(t.d.gera ein vørr), sjógvur(t.d.gera ein stóran sjógv);et u. af vredeillsinnisgleps, illsinnisherðindi, vørrur, froysan3byrjan;ved krigens u.tá ið kríggið brast á4(um sjúku) at taka seg upp;ved infektionssygdommens udbrudtá ið ígerðarsjúkan tók seg upp5(ítr.)rýming, tað at rýmael.stinga av frá hinum(t.d.í renningel.súkklukapping)
udbrudsprodukter	(jarðfr.) gostilfar
udbrudsspalte	(jarðfr.) goskluft
udbryde	1siga hvatligael.brádliga, siga fyri munni sínum, bresta út úr einum, skera í (grátel.at gráta), skera útúr (at flenna);da udbrød hantá læt í honum;`hvad?' udbrød han`hvat?' brast út úr honum;u. i tårerskera í at gráta2byrja, bresta á;krigen var udbrudt den sommerkríggið var brostið á tað summarið
udbryder	1rýmingur(t.d.úr fongsli)2(fl.m.)partasvíkur; ein, ið hevur tikið seg úr felagi(el.flokki),(tlm.)útbrótari (úr flokki)3(ítr.)rýmingur
udbrydergruppe	limir, ið eru farnirel.hava tikið seg úr felagsskapi,(niðr.)partasvíkar;(ítr.)rýmingarbólkur(t.d.í súkkling)
udbryderkonge	1(fangi sum er gitin fyri hegni at sleppa til rýmingar) rýmingarmeistari2(í sirkus) rýmingarmeistari
udbryderparti	klovningarflokkur
udbrændt	1útbrendur, útbrunnin, sloknaður, útkólnaður, útlogaður, útkaldur, uppkolaður, avkolaður, avlogaður;et udbrændt hushús, ið eru brunnin í grund; húsini eru avkolað;en udbrændt panservognuppkolaður stríðsvognur;udbrændt ildeldsløkkingur2(fl.m.) han er udbrændt som kunstnerhann er púra uppsteðgaður sum listamaður;hans energi er udbrændtorka hansara er uppi, hann orkar ikki meir
udbud	(bú.) útboð, framboð;der har været stort u. afbrugte bilerútboðið av gomlum bilum hevur verið stórt;u. og efterspørgselframboð og eftirspurningur
udbudsrunde	útbjóðingarumfar
udbudsøkonomi	(bú.) framboðsbúskapur (búskaparhugsan, sum miðar eftir at økja um eftirspurningin, so framboðið kann vaksa)
udbuet	kúputur, bungutur, útbendur, árundaður, útbogaður (á miðjuni)
udbule	bjølga(st), bólgna;krydsfineret var udbulet affugtkrossviðurin var trútnaður(el.bólgnaður) av vætu
udbyde	bjóða út, bjóða fram;u. en vare til salgbjóða vøru til sølu;u. i licitationbjóða út (fyri at fáa byggitilboð)
udbydelse	1(av vørum) útboð, framboð2(lisitatión) útbjóðing
udbygge	1byggja út úr(t.d.húsaveggi);en facade medudbyggede altanerframsíða á húsum við svalum, ið ganga(el.stinga) útúr;u. skuldre medvat (t.d.á jakka) stappa akslar við vatti(el.pútum)2byggja afturat, byggja uppí, økja umel.víðka um(t.d.kirkjugarðin), rúmka, vaksa um, bøta, væla um;gården udbyggedes med en længeein lon varð bygd aftur at garðinum
udbygning	1útundirgerð, útúrgerð;karnapper og andreudbygningerútúrgerðir(el.karnapp) og aðrar útúrbyggingar2afturatbygging, umbøting, víðkan;udbygningen af broen vil vare en månedtað fer at taka ein mánað at breiðka(el.væla um) brúnna;(fl.m.) u. af erhvervede kundskabertað at eftirútbúgva seg3úthús;gårdens udbygningerúthúsini, ið hoyra til garðin4(herm, sø)kanónvølur (kanónstøða, bygd út úr skipssíðu)
udbytning	1eyðræning, troyting2(fl.m.)eyðræning, mergsúgving, knokkroyting
udbytte1	(bú.) vinningsbýti,(eis. løgfr.) vinningur, ágóði, úrtøka, ávinningur, avlop; veiði, fongur, fáningur, lóður (av ávøkstri), tað at eitt gevur nógv av sær, tað at eitt loysir seg væl, tað at væl fæst burturúr;aktierne giver 10% i u. i årpartabrøvini geva í ár 10% í vinningsbýti;den handel gav godt u.hasin handilin loysti seg væl;eleverne må arbejde for at få u. af undervisningennæmingarnir mugu arbeiða fyri at fáa nakað burtur úr undirvísingini;(løgfr.) u. af det strafbare forholdbrotsgerðarvinningur
udbytte2	eyðræna, troyta, misnýta, ovnýta, (skerja keyporkuna) gera fátækan, eyðræna, mergsúgva
udbyttebegrænsning	(løgfr.)ábataavmarking, vinningsavmarking
udbyttedeling	(handilsm.) vinningsbýtisskifti, vinningsbýti, avlopsbýti, úrtøkubýti (tað, at avlopið verður býtt millum eigarar og verkafólkið)
udbytter	eyðrænari, eyðræningi
udbytterig	úrtøkugóður, lønandi, um nógv fæst burturúr, sum loysir seg væl, sum gevur (væl) av sær, sum kastar væl av sær, sum ber seg væl;en u. rejselærurík ferð
udbytteskat	(handilsm.) vinningsbýtisskattur, vinningsskattur
udbyttetildeling	(handilsm.) vinningsbýtistillutan
udbære	bera út(t.d.post)
udbæring	(postm.) útburður, útbering
udd.	(st.)uddannelseel.uddannet
uddanne	læra ein, kenna (einum);u. sigfáa sær mentan (lærdómel.læru), læra seg, búgva seg út;u. sigtil snedkerlæra til snikkara;uddannetlærdur, avlærdur, upplærdur;uddannet til lærer,skibsførerlæraralærdur, skiparalærdur;hun eruddannet pædagoghon er útlærdur barnagarðslærari(el.pedagogur)
uddannelse	útbúgving, læring, skúling;kvinde med høj u.lært konufólk, konufólk við høgari útbúgving;tre års u.tríára lestur(el.útbúgving)
uddannelsescenter	útbúgvingarmiðdepil
uddannelseschef	útbúgvingarstjóri
uddannelseseksplosion	ógvisligur útbúgvingarvøkstur
uddannelsesforløb	útbúgvingartíð, útbúgvingarskeið, útbúgvingarætlan;gymnasiet indgår som et led i de unges u.studentaskúlin er ein liður í útbúgvingarætlanini, sum stendur teim ungu í boði
uddannelseskløft	útbúgvingargjógv, munur á útbúgvingarstigi;uddannelseskløften mellem de uddannede og de ikke uddannedeútbúgvingargjógvin millum tey skúlaðu og tey óskúlaðu
uddannelsesløn	útbúgvingarløn
uddannelsesorlov	útbúgvingarfarloyvi
uddannelsespolitik	útbúgvingarpolitikkur, skúlapolitikkur
uddannelsessamfund	útbúgvingarsamfelag
uddannelsesstilling	útbúgvingarstarv (fáa útbúgving, meðan ein situr í starvi)
uddannelsesstøtte	lestrarstyrkur, námsstyrkur, útbúgvingarstyrkur, útbúgvingarstuðul, útbúgvingarstudningur
uddannelsessøgende	ein, ið lærirel.lesur; lesandi, lærlingur, studentur, næmingur
uddata	(teld.) útlestur, úttak
uddateret	avoldaður, ótíðarhóskandi, farin av móta
uddebattere	viðgerael.umrøða út í æsirel.til fulnar;sagen erikke uddebatteretmálið er ikki liðugt enn
uddele	býta, skifta, luta, skamta (út);u. håndtryk(í valstríði) taka í hondina á Gudi og hvørjum manni;han uddelte ordrerhann gav (fólki) boð
uddeler	keypsamtøkuleiðari
uddeling	útluting, útflýgging, handan, (av grind) skifti;u. afpræmiertað at handa heiðurstekin
uddestillere	(fl.m.) draga(t.d.høvuðsinnihald) burturúr
uddifferentiere	greina (sundur), skilja (sundur);rovdyrfamilienkan uddifferentieres i flere arterrovdýraættin verður býtt sundur í fleiri sløg
uddistancere	fara langt framum, fara undan; vera nógv betri enn
uddokke	(sigl.) sjóseta skip, ið stendur í dokk
uddokning	(sigl.) tað at koyrael.taka skip úr dokk
uddrag	úrdráttur, úrdrag, brot, klipp, kut, úrskurður, úrtak;et u. af en artikelúrdráttur úr grein;u. af kommende filmklipp úr filmum, ið fara at verða sýndir
uddrage	1fáa burturúr, draga burturúr, taka burturúr;u. en lære af nogetfáa nakað burtur úr einum;u. en slutningkoma til niðurstøðu(el.úrslit);u. moralenfáa dømivirðið burtur úr(t.d.søgu)2(stfr.)taka;u. kvadratrodentaka ferrótina
uddrive	reka út, koyra út, tveitael.blaka út;u. en ondåndreka illan anda út;(evnafr.) u. en luftart afen væskereka luftslag úr løgi
uddrivelse	burturrakstur;uddrivelsen af paradis(Ádam og Eva) koyrd(el.rikin) út úr aldingarðinum í Eden
uddrivning	tað at loysael.fáa (okkurt) úr; sí eis.uddrivelse
uddrivningskile	(tøkn.) dorur
uddunste	rúka, deyma, guva
uddunstning	ringur roykur, deymur
uddybe	1dýpa;hullet måtte uddybesholið mátti dýpast(el.verða dýpt)2(fl.m.)lýsa út í æsir, til lítarel.út í odd og egg;u. et emnelýsa evni gjøllari
uddybende	útgreinandi;en uddybende forklaringútgreinandi frágreiðing
uddybning	1dýping2(fl.m.) u. afhvat liggur/býr undir, útgreiðing. tað at viðgera (okkurt) gjølla
uddykke	(t.d.um kavbát, hval) koma undan kavi, koma upp, skjóta seg upp
uddykning	tað at koma upp
uddø	doyggja út, doyggja burtur;slægten er ved at u.ættin er um at doyggja út(el.kólna út)
uddød	1útdeyður, útkólnaður, øskukaldur; komin á gravarbakka, burturdeyður (um sið, orðo.tíl) et uddødt sprogútdeytt mál2(fl.m.)steindeyður, keðiligur, deydligur;byen er uddød om søndagensunnudag(ar) er býurin steindeyður
ude	úti, frá húsum, uttan gátta, uttar;u. af husetuttandura, uttangátta, uttanhýsis;u. af øje, u. af sindtann sum er úti stongdur, er inni gloymdur;u. i Indienburturi í India, eysturi í India;u. og hjemmeburtur(i) og heima, heima og heiman;u. på landetburtur(i) á bygd;u. ved døren, entréenuttar(el.úti) við dyr, uttar(el.út) í dyr;alt håb er u.her er eingin vón, her er einki at gera, nú er vónleyst;den slags kan ske, når uheldet er u.slíkt kann henda, tá ið illa vil til(el.veit við);det er u. med hamhann býður tí ikki bøtur;det har du selv været u. omhatta er sjálvgjørt;han var u. for det uheldhann var fyri tí óhappi;hun er u. over den første ungdomhon er farin út um fyrsta ungdómin;hvad er du u. på?hvat er tað, tú vilt?, hvat ætlar tú?;kvinder, der har arbejde u.konur, ið arbeiða úti; (í bóltleikum);længere u.uttari;nu er den historie u.nú er søgan søgd;temmelig langt u.uttarlaga,(fl.m.)lítið skil er á hasum;udefra lød sangúti(el.uttanfyri) hoyrdist songur;vort hold er u.okkara lið er á vøllinum;være u. af sig selvvera frá sær sjálvum
udearbejde	útiarbeiði, útivinna, tað at arbeiða úti
udearbejdende	sum arbeiðir úti;u. husmødrekonurel.húsmøður, ið arbeiða úti
udebane	(í bóltleikum) útivøllur;kamp på u.dystur á útivølli, útidystur
