V,v1	1málljóð2bókstavur
vandgang	1bað;efter vandgangen vil vi drikke tetá ið vit hava verið útií, fara vit at fáa okkum ein temunn(el.duss)2(fl.m.) det var en værre v. for hamhar var hann ógvuliga óheppin3(sigl.)vatngangur /vann-/, flotmáli;skuddet traflige i vandgangenskotið rakti beint í vatngangin
vandgas	vatngass
vandglas	1vatnglas /vann-/;drikke whisky af et v.drekka whisky úr vatnglasi2vatnglas (varðveitingarløgur at goymat.d.egg í)
vandgrav	(ítr.) vatngryvja, vatngrøv, grift
vandgrød	vatngreytur
vandhane	(vatn)krani;vandhane med kogende vandkókikrani;kogende vandhanekókikrani
vandhinde	vatnfarri; (á kúgv) fótabløðra
vandhjul	vatnhjól, mylnuhjól, mylnuspæl
vandholdig	vatnhavin
vandhul	hylur (við støðuvatni);et v. med mange frøerhylur við nógvum froskum
vandhund	1um ymsar veiðihundar, ið duga væl at svimja2(fl.m.) han er en v.hann er grammur svimjari, honum dámar væl at svimja
vandhøne	sívandrikse
vandhår	(plfr.)klippevandhår slýtráður(Cladophora rupestris)
vandig	(evnafr.) vatn-, vatnkendur, vatnutur;en v.opløsningvatnupploysing, vatnloysing
vanding	vatning;et kanalsystem besørger vandingen afmarkerneeitt vatningarkervi ger, at akrarnir verða vættir;v. af køerne ved dammenbrynna neytunum (í hylinum)
vandingsanlæg	vatningarbúnaður
vandingssted	brynningarstaður
vandingstrug	brynningartrog
vandkalv	1(dý.)vatnkálvur /vann-/(Dytiscidae)2(á kúgv) fótabløðra (partur av fosturhinnu hjá kúgv)
vandkalvelarve	(dý.) vatnkálvsormvera (avDytiscidae-ættini)
vandkanalsystem	vatnræsiskervi, vatnræsisskipan
vandkande	vatnkanna
vandkanon	vatnkanón
vandkant	sjóvarmáli;der lå en søstjerne i vandkantenein krossfiskur lá í sjóvarmálanum
vandkappe	(tøkn.) vatntroyggja (kassi fullur av vatni, sum tann parturin av maskinu er í, sum skal kølast)
vandkaraffel	borðfløska, vatnkaraffil
vandkikkert	seiðakikari, nótakikari, vatnkikari;havbundenafsøges ved hjælp af en v.botnurin verður kannaður við seiðakikara
vandklar	(vatn)klárur, klárur sum vatn
vandkloset	vesi, wc
vandkold	ráur, rákaldur, ráligur;en v. tågeskadda
vandkraft	vatnorka;elektricitet frembragt ved v.ravmagn vunnið(el.fingið) úr vatnorku;udnyttevandkraftengagnnýta vatnorkuna;møllen erdrevet ved v.mylnan er vatnorkurikin
vandkraftstation	vatnorkustøð
vandkraftværk	vatnverk, vatnorkuvirki
vandkredsløb	(jarðfr.) vatnringrás
vandkrukke	vatnkrukka
vandkur	vatnkurur, vatnviðgerð, tað at lekja við vatni
vandkuranstalt	vatnviðgerðarheim, heilsubótarstøð
vandkæmme	vatnkemba, vatngreiða;pigen var nyvasket ogvandkæmmetgentan var nývaskað og vatnkembd
vandkøler	vatnkølari
vandkølet	vatnkøldur;en v. motorvatnkøldur motorur
vandladning	(lækn.) vatnlát;(lækn.,um konufólk) vatna sær;hvordan går det med vandladningen?sleppur tú av við vatnið?;ufrivillig v.óviljað vatnlát
vandledning	vatnleiðing, vatnveiting;bygge v.leggja vatnleiðing;frosten har spængt en v.ein vatnleiðing er frostetin(el.frostsprongd)
vandlidende	(um jørð) vát
vandlinie	vatngangur, flotmáli;(sigl.) del af skibssiden over vandlinienfríborð
vandloppe	(dý.) krabbadýraslag(Copepoda)
vandluftpumpe	vatnluftpumpa
vandløb	løkur, ræsi, áarløkur, lítil á
vandlås	vatnlás;forsyne med v.seta vatnlás á
vandmand	(dý.) heiti fyriymshvalspýggjusløg(Schyphozoa);den røde v.levsa /lefsa/(Cyaneacapillata)
Vandmanden	(stjfr.) Vatnberin, Vatndrongurin, Vatnmansmerki (stjørnumerki)
vandmangel	vatnneyð, vatntrot
vandmasser	vatnflóð; (yrkisorð)de frie v.vatnið/sjógvurin uppi í sjónum
vandmelon	vatnmelón(Citrullus vulgaris)
vandmester	vatnmeistari;gas- og vandmestergass- og vatnmeistari
vandmolekyle	vatnmýl
vandmængde	vatnnøgd
vandmærke	1(á pappíri) vatnmerki2(sigl.)dýpdarmerki (á steyra í siglingarrennu)3(sigl.)fermingarmerki (á skipi)
vandmættet	vatngingin, vatndruknaður
vandmølle	áarmylna, mylla /-ll-/, vatnmylna
vandmåler	vatnmálari
vandnymfe	1(gudal.)áardís, vatndís2(dý.)damla (skordýr)(Zygoptera)
vandondulation	hárviðgerðel.hárlegging við vatni, vatnondulatión
vandondulere	leggja hárið við vatni, vatnondulera
vandopløselig	vatnloysiligur, sum loysist upp í vatni
vandorgel	vatnorgul, vatnurga
vandoverflade	vatnskorpa;liget kom op til overfladenlíkið flotnaði upp;søen ved vandoverfladenervasjógvur(móts.neðrasjógvur)
vandpest	vatnpest(Elodea canadensis)
vandpibe	vatn(royki)pípa
vandpistol	vatnpistól, vatnpistólur
vandplante	vatnplanta, vatnurt
vandpolo	(ítr.) vatnpolo
vandpost	pumpa (við brunn)
vandpyt	hylur
vandpøs	vatnspann,(sigl.)vatnpøs
vandre	1ganga, reika, fara, ferðast, vakka;præstenvandrede langsomt til alteretprestur(in) gekk spakuliga (fram) til altarið(el.at altarinum);jegskal ud at v. på søndageg fari út at ganga(el.spáka) sunnudagin;v. hvileløst frem og tilbagepå gulvetganga og mala upp og niður um gólvið;v. i fængselfara í fongsul;han er vandrethedenel.vandret til sine forfædrehann er sloppin, hann er farin, hann er deyður;ålenvandrerállurin ferðast;hans blik vandredespørgende frem og tilbage mellem de tokammeratereyguni á honum reikaðu spyrjandi aftur og fram millum vinmenninar báðar;han lodomgående brevet v. i papirkurvenhann tveitti beinanvegin brævið í pappírskurvina;vil du ladefadet v.?hevði tú tímað at handað mær fatið;hendes tanker vandrede tilbage tilbarndommentankar hennara leitaðu(el.ferðaðust) aftur til barnaárini;pengene vandrerud af landetpengarnir fara (út) av landinum2[lh nútsuml]en vandrende klitreikandi mølheyggjur(el.sandheyggjur);han er etvandrende konversationsleksikonhann veit alt, hasin maðurin; tað er ikki tann(el.tað) ting, hann ikki veit;(dý.) vandrende pind(skordýr) reikandi kvistur(Phasmida); (sø.) vandrende ridderfjakkandi riddari
vandrebibliotek	bókabussur, ferðabókasavn
vandreblod	ferðahugur
vandreblok	(jarðfr.) ísborið grót
vandredrossel	(dý.) stroktrøstur(Turdus migratorius)
vandrefalk	(dý.) ferðafalkur(Falco peregrinus)
vandrefugl	vallari, ferðafuglur, ferðamaður,(skemt.)krabbagogga
vandregræshoppe	(dý.) ferðaongspretta, ferðagrashoppa
vandrehal	gongusalur (í stórum húsum)
vandreherberg	vallaraheim
vandrehistorie	farsøgn
vandrehjem	vallaraheim
vandreklasse	skúlaflokkur, ið ikki hevur fasta stovu, ferðingarflokkur
vandreklit	ferðandiel.reikandi mølheyggjur
vandrelav	vallarafelag, gongufelag, ferðafuglafelag
vandrelyst	ferðahugur, vallarahugur
vandrelærer	ferðalærari
vandrenyre	leyst nýra
vandrepokal	ferðasteyp
vandrer	ferðafólk, gongufólk, flakkari, reikari, valtrari, vallari
vandrerkort	limakort í vallarafelagi
vandrerotte	(dý.) rotta(Rattus norvegicus)
vandresagn	farsøgn
vandreservoir	vatnbrunnur /vann-/, vatngoymsla, vatnbing
vandret	1vatnrættur /vann-/2[sumhj]vatnrætt /vann-/, flatvegin, flatvegis3(fl.m.) ligge v. i luftenarbeiða yvir høvur og herðar, arbeiða við sveittabrot, kýta seg; dríva á, tað ein er mentur(el.av øllum alvi); spíla seg út, standa hondum fastur
vandretur	gongutúrur
vandrig	vatnmikil, vatnríkur
vandrikse	(dý.) jarðarkona(Rallus aquaticus)
vandring	gonga, gonguferð; ferðing;ålens vandringerferðingar hjá ál(l)inum
vandringsmand	ferðamaður, gongumaður, flakkari, valtrari
vandringsstav	gongustavur
vandrisengrød	vatnrísgreytur /vann-/
vandrotte	(dý.) vatnrotta /vann-/(Arvicola terrestris)
vandrutschebane	vatnøka, vatnrussjibani, vatnskreiðibreyt
vandrør	vatnrør /vann-/;på grund af frosten spængteset v.eitt vatnrør fór í frostinum
vandsalamander	(dý.) stor v. stór vatnsalamandra(Trituruscristatus)
vandsamling	1hylur2bløðra, vatntroti
vandsanger	(dý.) brunnljómari(Acrocephalus paludicola)
vandscooter	sjóskutari, vatnskutari /vann-/, sjósleta
vandseng	vatnsong
vandskade	vatnskaði /vann-/
vandskel	(jarðfr.) vatnmark
vandski	vatnskíð;stå på v.standa á vatnskíðum /vann-/
vandskorpe	1vatnskorpa /vann-/;nogle fisk stod lige ivandskorpennakað av fiski stóð (uppi) í vatnskorpuni2(fl.m.) han ligger og lurer i vandskorpensær hann sær líkindi, so...; fyrst sum býðst; við fyrsta fløðufall;han kan lige akkurat holdehovedet over vandskorpenhann hórar enn;hænge med enden i vandskorpenvera um at fara fyri bakka/á húsagang, vera um eitt hár gjørt
vandskræk	tað at ræðast vatn;du har jo v. dreng!sig mær drongur, ræðist tú vatn!
vandskyende	vatnfirrin(t.d.vatnfirrið plástur), sum vatn ikki rínur á, vatndyggur;odderen fryser ikke i iskoldt vand. Den har en tæt, v. pels med lange dækhåroturin verður ikki kaldur í ísakøldum vatni. Hann hevur tættan, vatnfirnan feld (tætt, vatnfirrið skinn) við síðum broddhárum
vandslag	óljóð í vatnrøri /vann-/
vandslange	vatnslanga /vann-/
vandspand	vatnspann /vann-/, pøs
vandspejl	vatnskorpa, vatnstøða;befinde sig 100 m overvandspejletvera 100 m oman fyri sjóvarmálan
vandspidsmus	(dý.) vatntrantmús(Neomys fodiens)
vandspild	vatnoyðsl, vatnspill, vatnspell;undgå v.sleppa undan vatnoyðsli
vandspire	(plfr.) vatnspíri(Hippuris vulgaris)
vandspirfamilien	(plfr.) vatnspíraættin(Hippuridaceae)
vandspreder	sirmari, sirmil, vatnspreiðari, vatnsprænari
vandspyer	(gl.) vatngoysari (takrennutútur í dýralíki, sum stendur vatnrætt út úr takrennu)
vandstand	vatnstøða, vatnsmáli;der er meget lav v. i dagtað er stór fjøra, háfjøra, meginfjøra, turrfjøra;højestev.háflóð;laveste v.háfjøra;v. ved højvandeflóðarmáli
vandstandsbræt	vatnstøðubretti (stokkur niður við bryggju, sum vísir dýpið)
vandstandsglas	(tøkn.) vatnstøðuglas (at mála vatnstøðu í dampketli)
vandstandshøjde	vatnstøðuhædd
vandstandsmærke	vatnstøðumerki (tað vísir lægst loyvdu vatnstøðu,t.d.í dampketliel.í mylnuhyli)
vandstandsmåler	(tøkn.) vatnstøðuglas, hæddarglas
vandstandsmåling	vatnstøðumáling
vandstandsviser	sívandstandsmåler
vandstandsændring	vatnstøðubroyting
vandsted	mækja, vatnbøli
vandstjerne	(plfr.)vanligt spógvagras(Callitriche); smalbladet vandstjerneløkarspógvagras(Callitriche hamulata)
vandstjernefamilien	(plfr.)spógvagrasættin(Callitrichaceae)
vandstænk	vatnslettur
vandstær	(dý.) áarkallur(Cinclus cinclus)
vandstøv	vatnrok, vatnfok
vandstøvle	(sigl.) klovstivli
vandsugende	sum drekkur í seg, vatnsúgvandi, vætusúgvandi
vandsvulst	(lækn.) vatnsvullur
vandsæk	vatnkíkur
vandsøjle	(tøkn.) vatnsúla
vandsønderdeling	(tøkn.) vatnsyndring
vandt	
vandtank	vatntangi
vandtrukken	vatngingin, vatndruknaður
vandtryk	vatntrýst
vandtrædning	tað at halda sær uppi (í vatni)
vandtæt	1vatntættur, sum heldur vatni;et v. urvatntætt ur2(fl.m.) den anklagedes alibi er vist ikke v.fráveruprógvið hjá ákærda tykir(el.tykist) ikki at halda
vandtønde	(at savna regn í) vatntunna
vandtårn	vatntorn /vann-/
vandudlader	vatnúrleiðari (tól at taka vatnhyljar burtur av dampleidningum)
vandvarmer	vatnhitari;elektrisk v.dyppkókari
vandvej	siglingarleið
vandvogn	1vatnbilur /vann-/2(fl.m.) være på vandvognenvera turrlagdur, ikki drekka longur
vandværk	vatnverk /vann-/
vandåre	vatnræsi /vann-/ (vatnhavin lindel.flógv)
vane	vani, siður, venja;have den v. at spadsere en tur hver morgenhava fyri at(el.plaga at) fara út at spáka(el.fara ein túr) hvønn morgun;en indgroet v.rótfestur vani;med faste vanervanafastur, vanabundin, vanafullur;have uheldige vanerhava óvanar;vanens magt er storvani bítur best;det er svært at aflægge gamle vanerringt er barndømi at kasta, ringt er at læra gamlan hund uppi at sita;restaurationsliv er blevet ham en v.hann hevur fingið sær fyri at fara út at eta;af gammel v.av gomlum vana;have for v. at sove til middagvera vanur við at fáa sær ein døgurðablund;af ren og skær v.av berum vana;komme i v. med nogetplaga, koma í vana við eitt, vera vanur við eitt, hava fyri at gera eitt;komme ud af vane(n)fara av lagnum, missa takið(el.lagið)
vanebundet	vanabundin, vanafastur, vanafullur
vanebundethed	vanafesta
vanedannende	vanaelvandi, sum er iltel.ringt at sleppa av við, vanaskapandi;være v.vera vanaskapandi
vanedranker	drykkjumaður, alkoholikari
vaneforbryder	vanabundin brotsmaður, tilvandur brotsmaður
vanekristen	vanakristin, kristin av vana
vanekristendom	vanatrúgv, trúgv av gomlum vana
vanemenneske	vanafastel.vanabundið fólk
vanemæssig	vanabundin, av vana
vanesag	(gamal) vani;en v.av gomlum vana;præcision er blot en v.tað at vera nettur (neyvurel.stundisligur) er bara vani
vanetænkning	vanahugsan, vanabundin hugsanarháttur
vanfør	avlamin, vanførur, brekaður, heilsubrekaður;blivev. efter en færdselsulykkegerast avlamin eftir ferðsluvanlukku
vanførefond	avlamisgrunnur
vanførehjem	avlamisheim
vang	(skaldsk.) ong, bøur
vange	(á trappu, stiga) kjálki, vangi
vanheld	(gl.) óhapp, miseydna;være forfulgt af v.altíð vera óheppin
vanhellige	vanhalga, spotta, vanvirða, skemma,(bíbl.)avhalga;v. Guds navnvanhalga(el.spotta) Guds navn; tað er stór synd at nýta Guds navn sum kastibløku
vanhjemmel	(løgfr.) vanheimild (ófullfíggjaðel.ikki lógarbindandi heimild)
vanilje	vanilja (turkað frukt av vaniljublómuni,VanillaPlanifolia)
vaniljeis	vaniljuísur
vaniljekrans	vaniljukransur, vaniljuringur (smákaka)
vankant	(handv.) vankantur (á bretti)
vankantet	(handv.) við vankanti
vanke	1(skaldsk.)ganga, fara, reika (um), flakka, valtra, fjakka, vakka,(skaldsk.)valla;v. om ilandetreika um alt landið2(skemt.)vera at fáa, fáast, vera í boði;vedfesten vankede der sodavand og kagerá veitsluni fekst sodavatn og kakur(el.køkur);der vankedeikke nogethar fekst einki, har var einki at fáa;dukan tro der vanker, når du kommer hjembíða bara, tú verður so avsmurdur, tá ið tú kemur heim
vankelmod	vingl, vingul, ivi, ivalag
vankelmodig	(gl.) ivandi, vinglutur, sum melur á hælinum, sum dregur á bæði, óstøðugur, støðuveikur;v.personvingl, vingliskøltur, meldurskøltur, slóm, vingul
vankelmodighed	vera vinglandi (ivandiel.himprandi)
vankundig	(gl.) fákunnur, sum veit lítið
vankundighed	fákunna, vankunna, fávitska,(bíbl.)vankunnleiki
vanlig	vanligur; sum er einum vant;hans vanligeuforskammethedhonum vant, var hann frekur; hann var frekur, sum honum er vant;på v. visá vanligan hátt
vanry	iltel.ringt orð, tað at vera illa kendur, vanmet;bringe hjemmet i v.koma húsinum í ringt orð;hans ubetænksomhed har bragt ham i v. i sinfødebytankaloysi (ósketniel.gáloysni) hansara hevur havt við sær, at hann er illa kendur(el.dámdur) í heimbýnum
vanrøgt	órøkt, misrøkt, vanrøkt, (í verstu merking) avrøkt;dø af v.doyggja í vanrøkt, doyggja burtur í illum
vanrøgte	vanrøkja;v. et embedevanrøkja embæti;vanrøgtet(um seyð) niðurlagstur;en vanrøgtet ejendomilla hildin hús; hús, ið eru farin í órøkt
vansire	skemma, lýta(tátlýtti), spilla, avskepla, misprýða;ansigtet vansires af nogle store arandlitið er lýtt av grefligum arrum(el.errum)
vansiring	lýti, misprýði
vanskabning	vanskapningur, krypil, kryplingur,(niðr.)vanskepilsi
vanskabt	vanskapaður, vanskaptur, avskapiligur, kryplaður;en v. kalv med to hovedervanskaptur kálvur við tveimum høvdum;v. personel.tingvanskepilsi
vanskelig	torførur, trupul, tvørligur, ringur, bágin, vanførur, fløktur, stríggin, strævin, strevin, stravin, ringur at hava við at gera; tungvunnin; vandamikil, vandaførur;det er vanskeligthatta er torført (tvørligtel.trupult), tað stendur á;en v.fødselringur burður, ring reis;en v. opgavetorfør uppgáva, torførur setningur;vanskeligt problemtvørligur(el.trupul) spurningur, torført mál, hatta verður hart hoyggj at draga, hatta er ilt við at gera;et vanskeligt regnestykkeringt(el.torført) roknistykki;vanskelige tiderringar (vánaligarel.trongar) tíðir;et vanskeligt barnbarn, ið er ringt at fáast við; eitt stríggið barn;erdet så vanskeligt?er tað nakað fyri?, er tað so ringt(el.trupult)?;være i en v. situationvera í torførari støðu, vera í trongum skóm, vera illa sperdur, vera illa fyri;være v. at omgåsvera ringur at fáast við, vera ringur at vera saman við, vera óviðeiriligur,(tlm.)ringur at umgangast;det var en v. sagilt var við at gera;v. at forklaretorgreiddur;v. at forståtorskildur, fløktur;det ervanskeligt at fæste lid til hans udsagnilt(el.ringt) er at tora at trúgva honum, vøkkult er við at trúgva honum;v. at få fat påringur at fáa fatur á, torsøktur, vanfingin;han er v. med madenhann er kræsin;nu må du ikke gøre dig v.!ger teg ikki ólagaligan, ger teg ikki ómøguligan, ver nú ikki so tvørur;arbejdet falder mig vanskeligtarbeiðið fellur mær tungt;have vanskeligheder ved atfølge medgangast illa at fylgja við;forfatteren ervanskeligt tilgængeligrithøvundurin er ikki lættur at skilja(el.er torskildur);du vil v. findesmukkere udsigttú finnur valla vakrari útsýni
vanskeliggøre	gera eitt torført, fløkja, vera til trupulleika fyri, bága, ampa, darva, tálma;nu må du ikke v.arbejdet for osnú mást tú ikki gera arbeiðið hjá okkum upp aftur torførari
vanskelighed	trupulleiki, tvørleiki, bági, meinbogi, neyð, vandi, spør;det er ingen v.tað er einki fyri, tað eru eingi spør;vanskeligheden består i at ...takið er at ...;er der nogen v. med det?er hatta nakað fyri?,(tlm.)er nakað bein í hasum?;komme ivanskelighederkoma illa fyri, koma í trupulleikar
vanskæbne	vanskepna, vanlagna, vanlukka, ólagna;han harden v. altid at blive overseteingin gevur sær (nakran tíð) far um hann
vanskøtte	vansketta, vanrøkja
vanslægte	(likamliga, andligael.siðmenningarliga) ganga afturá við einum, úrskeplast, kryplast, breðga (burtur) úr ætt
vansmægte	leingjast eftir, tráa eftir, vera ást(ar)sjúkur; maktast, ørmaktast, fáa maktarloysi, fána burtur, hjána burtur, træna burtur (av verðini);v. aftørstdoyggja í tosta, klumsast av tosta;(skemt.)vi sad og vansmægtede, mens de andrespiste isvit sótu og mungaðu (vit sótu við turran munn, vit liðu hungur og hallel.vit vóru um at sálast), meðan hini ótu ís
vant1	(sigl.) vant, spenni, mastrarbond(flt),mastrartog
vant2	vanligur, vandur, vanur;hans vante dygtighedhansara vanligi dugnaskapur;hans vantepræcisionhann var stundisligur, sum vant;arbejdet gik sin vante gangarbeiðið gekk, sum tað plagdi(el. tlm.)sína vanligu gongd);værebedre v.vera betur vandur;ikke v. tilóvanur við;det er jeg ikke v. tiltað eri eg ikki vanur við; tað plagi eg ikki
