h. a.	el.hujus annií hesum ári
halvtredsårig	fólk sum er fimmti
halvtredsårsjubilæum	fimmtiára fagnaðarveitsla
halvtør	hálvturrur, skránaður; (umt.d.klæði og fisk) stadnaður;blive h.stadna
halvulk	(dý.) krøkilskrutt(Artediellus uncinatus)
halvvalmet rejsning	hálvgumpareising
halvvejen	1på halvvejenmiðskeiðis, á hálvari leið, á miðjari leið2(fl.m.) mødes på halvvejensemjast á miðjari leið, gera neyðsemju;forhandlingsdeltagernemødtes på halvvejensamráðingarpartarnir møttust á miðjari leið, samráðingarpartarnir samdust;han holdt op med kuren på halvvejenhann gavst við viðgerðini, tá ið hann var komin í helvt
halvvejs	miðskeiðis, á hálvari leið, á miðjari leið, hálvan veg, hálva leið;jeg er ikke kommet h. endnueg eri ikki komin í helvt enn; enn er hundurin ikki hálvbardur
halvvers	(bókm.) hálvregla (hálv regla í yrking; íkomin við ljóðhvíldel.steðgi í ørindisreglu)
halvvild	hálvvillur;h. præriehestúrvilt ross
halvvoksen	hálvvaksin;en h. drengein unglingi
halvvågen	hálvvaknaður
halvædelsten	(jarðfr.) hálvgimsteinur
halvø-	neslíkt
halvø	nes;Den pyrenæiske H.Iberianes
halvøformet	neslíkur, nesskapaður, nesvaksin, nesdánaður
halvåbent interval	hálvopið talstrekki
halvår	hálvár, árshelmingur;første h.fyrra hálvár, fyrri árshelmingur;betale kontingent for et h. adgangengjalda limagjald fyri hálvt ár í senn
halvårlig	hálvárliga, hálvárs-
ham1	1hamur, skap; (á dýri) feldur; skinn;slangerneskifterel.skyder h.ormarnir skiftael.skjóta hamin2(fl.m.) han har udviklet sig og skudt h.hann hevur ment seg og skift ham;landsbyen skyderh. og bliver købstadbygdin skiftir ham og gerst keypstaður3spøkilsi, líkhamur, verja, verndarandi
ham2	avhan
hamadryade	(gudal.) skógardís (ið doyr saman við trænum, hon býr í)
hamburger	hamborgari
hamburgerryg	royktur svínaryggur, hamburgarryggur
hamit	hamittur
hamitisk1	(í bundnum sniði)-en,einkiflthamitiskt (málætt í Norður- og Landnyrðingsafrika)
hamitisk2	hamittiskur
hamle	megna, klára; orka, vinna á; (nú barafl.m.ísamb.) der er slet ingen der kan h. op medhameingin er honum mentur, eingin stendur honum kurl, eingin stendur seg ímóti honum
hammel	(á rossavogni) drátt(r)artræ (tvørtræ í aktýggjum, sum dráttardýrini eru fest í)
hammer	1(í lendi) hamari, hamarsklettur, hamarspjalli, klettur2(amboð) hamari, sleggja;h. med spidsskúvhamar;banke med en h.hamra3(fl.m.) nu falder fars h.nú er fleingjan vís;komme under hammerenkoma undir hamaran (á uppboðssøluel.tvingsilssølu), verða seldur á uppboðssølu;h. og seglhamar og sigd (eyðkennismerki kommunista);føre hammerenstýra frímúraralosju;hammeren faldt ved 1000 kr.hamarin fall, tá boðið kom upp á 1000 krónur
hammerbar	smíðiligur(t.d.jarn)
hammerhaj	(dý.) hamarshávur(Sphyrnidae)
hammerhoved	hamarsheysur
hammerkast	(ítr.) hamarskast
hammerskæl	tannsteinur (nógvur)
hammerslag	1hamarsslag2han fik h. på dethann fekk hamarsslagið (á uppboðssølu);hammerslaget faldt ved 500 kr.hamarsslagið fall á 500 kr.3(fl.m.) jeg bestiller ikke et h. mere i dageg geri ikki peningsverk afturat í dag
hammertå	(likam.) hamartá (tá, sum miðkongur (jallur) er boygdur uppeftir á)
hamp	1(plfr.)hampur (trevjar av hampplantu,Cannabis)2hassj
hampefrø	(plfr.) hampafræ (brúkt sum fuglafóður og at gera olju burturúr)
hamper	ilskur, óviðeiriligur; vánaligur, ringur, illur;en h.person at omgåsein, ið ringur er at fáast við; eitt óviðeiriligt fólk;en h. beskyldningikki eiti á ákæra;det er hampert at høre påtað er nógv fyri at hoyra
hampereb	reip úr hampi, hampreip
hamre	1h. på dørenduka á dyrnar;h. på klaverethamra á klaverið2(fl.m.) h. det ind i hovedet på hambuka tað inn í høvdið á honum3sumldet er hamrende ligegyldigteingin leggur minsta petti í tað4sumlhamret sølvhamrað silvur
hamskifte	(fl.m.) hamskifti (um broyting í útsjónd, verumáta, áskoðan)
hamster	(dý.) hamstrari, hamstur(Mesocricetus auratus)
hamstre	keypa inn undir seg, hamstra, leggja inn undir seg, krøkja inn undir seg, fáa sær niðurfyri, savna saman, kradda, nøra at sær, tveita upp í rúgvu;n lhsumlhamstrendepjøkin, krøkin, søkin, sum dregur undir seg
hamstrer	kraddari, krókur
hamstringslager	hamstringargoymslan
han1	(dý., plfr.) kalldýr, kallblóma, kallplanta
han2	1at taka setningslið uppaftur;min far han blevvredpápi, hann varðel.gjørdist óður;han er godnok, fyrenhann er í lagi, jassurin2(ávísandi)han, der havde talt, tav stillehann, ið tosað hevði, tagdi;han dér er den ældstehasin har er tann elsti, hasin har er elstur3(gerandistala) stundumhamfyrihansum grundliður ella javnt við grundlið;ham medbrillerne er min broderhann við brillunum er beiggi mín;det er hamtað er hann;(gl) det erhantað er hann;det er ham og ingen andentað er hann og eingin annar;han bad os møde sigkl. 13hann bað okkum hitta seg kl. 134(í tiltalu; nú næstan bara í skemti)vil han se,han forsvinder!vil hann sleppa at síggja, hann hvørvur!;han må jo være gal!hann kann ikki vera rættsiktaður!- C.hansara;hun blev hanshon gjørdist hansara;formuen blev hansognin gjørdist hansara; (í tignarheitum)HansExcellence; Hans Højhed;Hans Majestæt;HansNåde
hanblomst	kallblóma
handel	1handil, handilsvirki, handilsskapur;værdi i h. og vandelnúvirði, virði í í vanligum handli2keyp, keypsla, keypsskapur;handels datohandil dagfesting;afslutte en h.gera keypssáttmála;oven i handelenoman á alt, afturat, sum roki;handels afslutninglokin handil;annullere en h.ógilda handil;bringe i handelenbjóða til sølu;international h.altjóða handil;komme i handelenverða í handlinum;slå en h. afhandla;ulovlig h.ólógligur handil;drengen kom til handelendrongurin kom í handilslæru;ærlig h.reiðiligur handil; reiðilig viðferð;h. med unoterede papirerhandil við ikki skrásettum virðisbrøvum3krambúð, handil, búð;serst.ísmst (t.d.) boghandel, købmandshandel
handelig	fittligur, handigur, lættur at handfara; hentur;bogen er i handeligt formatbókin er í fittligari stødd, bókin liggur væl í hondini
handelsaftale	handilssáttmáli, handilsavtala, handilssemja
handelsagentur	umboðssøla
handelsaktieselskab	handilspartafelag
handelsanliggende	handilsørindi
handelsattache	(bú.) handilssendimaður
handelsbalance	(bú.)handilsjavni;overskud påhandelsbalancenhandilsjavnaavlop;underskudpå handelsbalancenhandilsjavnahall
handelsbestyrer	(sø.)handilsfyristøðumaður (í kongliga einahandlinum í Grønlandi)
handelsboykot	handilsbann
handelscenter	handilsmiðstøð
handelscentrum	(bú.) handilsdepil, sølumiðstøð
handelsdelegation	handilssendinevnd
handelsflag	(bú.) handilsflagg
handelsflåde	(sigl., bú.) farmafloti, farmaskipafloti, handilsfloti
handelsforbindelse	handilssamband, handilssamskifti
handelsforhold	(bú.) handilsviðurskifti;lovene vedrørende h.handilsrættur
handelsfrihed	(sø.) handilsfrælsi
handelsfyrste	(bú.) handilsfúrsti
handelsgartner	(sølu)urtagarðsmaður (móts.anlægsgartner)
handelsgartneri	søluurtagarður
handelsgymnasium	hægri handilsskúli
handelshus	handilshús
handelshøjskole	handilsháskúli
handelskalender	viðskiftaskrá, handilskalendari
handelskammer	(bú.) handilskamar (felag av vinnurekandi, sum skal tryggja áhugamálini hjá handlinum; síðan 1920 limur íInternational Chamber ofCommerceí París)
handelskommission	handilsumboðssøla
handelskrig	handilskríggj
handelskvote	handilskvota
handelskøb	(vørukeyp sum handilsrekandi gera við vinnuendamáli) handilsmannakeypsla
handelsmand	handilsmaður, keypmaður
handelsmedhjælper	handilshjálp;(gl)krambúðarkallur, krambúðarsveinur
handelsminister	handilsmálaráðharri
handelsministerium	handilsmálaráð
handelsmonopol	einahandil
handelsmæssig	handilsligur, handli viðvíkjandi
handelsnæring	handilsvinna
handelsomkostninger	(handilsm.) handilskostnaður
handelspartner	(bú.) handilsfelagi
handelsplads	(sø.) handilspláss (býur við einarætti til handil)
handelsregister	handilsskrá
handelsrejse	handilsferð
handelsrejsende	ferðasølufólk, ferðaseljari; umboð
handelsrente	handilsrenta
handelsråd	handilsráð (handilsfulltrúi í uttanríkistænastu)
handelsselskab	(bú.) handilsfyritøka, handilsvirki, handilsfelag
handelsskib	(sigl., bú.) farmaskip
handelsskole	handilsskúli, keypmansskúli
handelsstand	handilsstætt
handelsstation	(sø.) handilsstøð;befæstet h.víggird handilsstøð
handelsvarer	handilsvørur
handelsvidenskab	handilsfrøði
handelsvidenskabelig	handilsfrøðiligur;h. afgangsprøveprógv í handilsfrøði
handelsvirksomhed	handilsvirki, handilsfelag
handelsvægt	handilsvekt
handelsværdi	handilsvirði, marknaðarvirði
handicap	1brek, avlami, vanføri2fjøtur, hindur, meinbogi, forðan3(ítr.)darv(tey veikaru fáa skotbrá);kapsejladsen bliver sejlet med h.kappsiglingin verður sigld við darvi
handicapbefordring	vanførisflutningur
handicapløb	(ítr.) darvrenning
handicappe	1darva, hindra, tarna, tálma, bága;(fl.m.) han erhandicappet af sin sygdomhann er darvaður av sjúkuni2sumlhandicappetófullførur, menningartarnaður, brekaður, avlamin
handicaptoilet	vanførisvesi
handig	sum liggur væl í hondini, fittligur, hentur
handle	1virka, gera, bera seg at;h. klogtbera seg skilaliga at;nu er det tid at h.nú er tíð at virka;hvor der handles, der spildestann ið nógv ger, ger okkurt skeivt;afskåret fra at h.einki fáa gjørt;hvad får ham til at h., som han gørhvat fær hann at gera tað, hann ger;selv h. efter de principperman prædiker for andresjálvur virka (gera) eftir teim (grund)reglum, ein prædikar fyri øðrum;h.energiskkoyra á, dríva á, arbeiða grammliga, virka íðin;handle hurtigtgera skjótt av;h. imodvirka ímóti, gera ímóti, bróta(t.d.reglur);h. som en mandroynast sum maður; vera rættur maður;h. overiletleypa framav;h. spontantvirka ósjálvráddur;h. efter ditrådtaka tíni ráð til eftirtektar; virka eftir tínum ráðum;h. efter sin fornemmelsegera, sum ein heldur vera best;h. i overensstemmelse medliva eftir; virka í samsvari við2vera um, snúgva seg um;bogen handler ombørnbókin er um børn3handla; keypa; selja; tingast;h. hos enkøbmandkeypa hjá keypmanni;h. med møblerselja innbúgv;h. om en hesttingast um eitt ross;h. på Ruslandhandla við Russland;h. vissevarerselja ávísa vøru
handleevne	virkisføri, virkisevni, arbeiðsføri;(løgfr.)virkisføri, gerðføri
handleform	(málfr.) gerðsøgn; ts. s.aktiv
handlefrihed	virkisfrælsi;indskrænke ens h.avmarka eins virkisfrælsi; fjøtra við reglum;give én h.geva einum langt boð; geva einum rásarúm
handlekompetance	virkisførleiki
handlekompetence	virkisførleiki
handlekraft	virkismáttur, virkishugur, virkisorka; ágrýtni, atorka, dáðfýsni
handlekraftig	virkin, virkisfúsur, ágrýtin, dúgligur
handlelammet	virkislamin
handlemuligheder	atgerðarmøguleikar
handlemåde	virkisháttur; atburður, framferð; háttalag
handlende	handilsmaður, keypmaður
handler	sølumaður, seljari, handilsmaður; ísmst (t.d.)blomsterhandler;kolonialhandler
handling	1gerð, verk, starv, virki, gerningur(t.d.synda í hugsan, orðum og gerningi), tænasta, dáð(t.d.yppist nú ráð av illari dáð); atgerð;handlingens artgerðin sum tað, hon er;(løgfr.) handlingens artgerðin sum slík;handling efter befalingvirkni eftir fyriskipan;dristig h.roysnisverk;lade h. følge på ordlata gerð fylgja orðum;handlingens mandein ið fer til verka í løtuni, ein ið fer til verka beinan vegin;kirkelige handlingerkirkjuligar tænastur;krigslignende handlingerófriðartilburðir;(sálfr.) omsætte i h.fremja í verki;en god h.góðgerð;vise noget i h. ikke í orðsýna eitthvørt í verki, ikki í orði;(løgfr.) skadevoldende h.skaðavaldandi gerð;skandaløs h.ósømilig gerð;skride til h.fara til verka;ulovlig h.ólóglig framferð;h. der skal vise ens trotrúargerð;vovelig h.váðaverk2(í bók, filmi) evni, gongd, tilburðargongd, søgugongd; tilburður;skuespillet overholder handlingens enhedleikurin heldur søgugongdareindina;filmens h. er meget aktuelevnið í filminum er uppi í tíðiniel.tíðarbært
handlingsakse	virkisásur
handlingsdom	(løgfr.) verkadómur
handlingsforløb	(bókm.)tilburðagongd, søgugongd
handlingsfrihed	virkisfrælsi, atgerðarfrælsi
handlingslammet	virkislamdur
handlingsmættet	(um bókmentir, film, sjónleik o. a.) hendingarfullur;romanen er h.skaldsøgan er hendingafull
handlingsmønster	virkislag
handlingsorienteret	virkislagaður;handlingsorienteret underviskningvirkislagað frálæra
handlingsplan	virkisætlan
handlingstid	(løgfr.) geratíð
handout	gáva, tillutan
handsel	1(gl)trygdarfæ (peningur sum seljari læt sum trygd, tá ið handil varð gjørdur)2(gl)eydnugáva, eydnuvinningur (gáva, sum gevurel.boðar frá eydnu);(eis.)nýggjársgáva;give h.geva (eydnu)gávu3fyrsta inntøka(t.d.tá ið handil verður latin uppel.dagsins fyrsta inntøka); frumkeyp, frumsøla
handske	1handski, fingravøttur, glógvi;du behøver ikketage handskerne påtær nýtist ikki at fara í handskar, vøttir;give h. pålata í handska, vøtt;trække handsker påfara í handskar2(fl.m.) passe som hånd i h.sita sum fótur í hosu;kaste sin h.bjóða av;tage handsken optaka við avbjóðing
handskedukke	handskadukka
handskemager	handskamakari
handskerum	(í bili) handskarúm
handy	fittligur, handigur, hentur, lættur at handfara
handyr	1kalldýr, kalldjór. hanndýr, hanndjór, hannvera2greðingur(niðr.um mannfólk)
hane	1(dý.)hani;(barnam.)kakkulárakóur;(fl.m.) denrøde h. galerreyður hani gelur2(á vatnrøriosfr.)krani3(á byrsu) hamari;spænde hanen påspenna hamaran4veðurhani, vindhani
haneben	ísamb. gøre h. til en ung pigestíga upp í vongin, royna eftir gentu, liggja framvið
hanebjælke	(byggl.) hanabjálki, tvørtræ millum sperrubjálkar
hanebånd	ts. s.hanebjælke
hanefjed	1hanagleiv2(fl.m.) det er ikke gået et h. fremad medsagenikki hevur liðið um fliðuna við málinum
hanefod	(sigl.) hanafótur, hamarsfótur
hanegal	1hanagal2stå op før h.vera á fótum, áðrenn hanin gelur; fara upp við hønunum, fara upp fyri dag
hanekam	1(dý.)reykur2(plfr.)hanakambur(Celosia cristata`Cristata')
hanekamp	hanabardagi
hanekampplads	hanabardagapláss
hanekro	(plfr.) dái(Galeopsis)
hanekylling	1(dý.)hanungi;stridbar som en h.óður at berjast sum hanungi2(fl.m.)erpnavætti;jeg vil ikke skændes meden ung h. som digeg skeldist ikki við ein hanunga sum teg;han går rundt som en h. ogtror, han er nogethann gongur sum ein hanungi og heldur seg vera
hanelefant	(dý.) kallfílur
hanespore	1(dý.)hegl, hekil2(plfr.)hanahirsi(Echinochloa crus-galli)
hanetrit	(dýralfr.) sjúklig krepping í vaðhornaliðum, meðan rossið gongur
haneæg	hanaegg (í fólkatrúgv egg, ið hani hevur vorpið, og sum basiliskur kemur úr)
hanfisk	(dý.) silfiskur, kallfiskur, mjálkafiskur
hanfugl	kallfuglur
hang1	hang
hang2	helling, lyndi, trongd, hugur;have h. tiloverdrivelsehava lyndi at gera av;have h. tilspiritusdáma at smakka sær á, vera brennvínshallur;have h. til afvekslinghava trongd til broytingar
hangar	(herm.) flogskýli, tyrluskýli (á verjuskipi)
hangarskib	(herm.) flogberi
hangglider	(flogm.) sveimdreki
hanggliding	(flogm.) drekasveiming
hanhjort	(dý.) hjørtur
hank	1honk, hald, hødda, oyra;h. af træ til et trækarkilpur, kilpi;kar med h. af trækilpabytta;lilletrækar med h.haldaker, haldker;krukke med h.haldakrukka2(fl.m.) tage hånd i hanke med husførelsenstýra húsarhaldinum; hava tamarhald á húsarhaldinum;have hånd i hanke medhava tamarhald á, halda í oyruni á;prøve at få hånd ihanke med hamroyna at taka í oyruni á honum
hankat	frensur, fressur
hanke	1hirsa, lyfta upp, taka upp, taka í herðatoppinel.nakkan á;han hankede op i trillebørenhann fór til verka við trillubøruni;h. op i en fuld mandlyfta ein fullan mann upp2(fl.m.) h. op i sig selvtaka sær um reiggj, taka seg saman, taka í herðatoppin á sær sjálvum
hankeløs	1haldaleysur, avoyraður;h. kophaldaleysur koppur2(fl.m.) krukken går så længe til vands, at denkommer hankeløs hjemofta fer krukkan so út at valtra, at hon kemur oyraleys aftur
hankøn	1(likam.)kallkyn;er barnet af h. eller hunkøner barnið drongur ella genta2(máll)på færøsk er substaniverne h.,hunkøn eller intetkøná føroyskum eru navnorðini kallkyn, kvennkyn ella hvørkikyn;betegnelser for mandlige væsener er næstenaltid h.heiti á kallverum eru næstan altíð kallkyn
hankøns-	(málfr.) kallkyns-
hankønsord	kallkynsorð
hanlam	ts. s.vædderlam
hanlig	(lívfr.) kallkyns-, mansligur;h. anlægsprægkalsílegulitur;hanlige egenskabermansligir eginleikar
Hannover	Hannover
hannoveraner	(dý.) hannoverross
hannoveransk	íel.úr Hannover
hanrej	hannreiur, hornabóndi;gøre sin mand til h.gera mannin til hannrei, vera manninum ótrúgv
hanrype	(dý.) rýpuhani;skotsk h.heiðarýpuhani
hans	avhan
Hansa	(sø.) Hansa
hanse-	(sø.) ísmsthansa-
hanseatisk	(sø.) hansa-
hanseforbundet	(sø.) hansasamgongan
hansestad	(sø.) hansabýur, hansastaður;hansestædernehansabýirnir, hansastaðirnir
hansorm	ts. s.Sankt Hans orm (Lampyris noctiluca)
hanstik	hannstikk
hansurt	ts. s.Sankt Hans urt(Sedum telephium)
hansvane	(dý.) svanasteggi
hanæsel	(dý.) asnahestur
hap	tað er sum til ber, um leið tað sama, at kalla eins, Harrin geri munin, hips sum haps
haploid	(lívfr.)einlitils-
happening	tilburður, tilburðarleikur
happy end	góður endi
haps1	bítur, biti;giver du mig en h. af din ostkann eg fáa ein bita av ostinum
haps2	rykk, skrykk;han snubbede kagen med et h.hann reiv kakuna burtur
haps3	vups;h., skildpadden fangede fluenvups! skjaldbøkan fangaði fluguna;h. nu har jeg dig!vups, nú havi eg teg!
hapse	taka, fanga, nápa, gogga;hundehvalpeneprøver at h. fluerhundahvølparnir royna at fanga flugur;bankrøveren blev hapset med detsammebankaránsmaðurin varð goggaður beinanvegin
harakiri	harakiri;begå h.taka seg av døgum við harakiri (sjálvmorðsháttur í Japan, har ein kruvdi seg sjálvan)
harcelere	knarra;h. over nogetknarra um eitthvørt
harddisk	(teld.) harðdiskur
hardware	(teld.) tólbúnaður
hare	1(dý.)hara, hára(Leporidae); jage en h. opkløkka haru2(serst.ífl.m.) han er bangeel.ræd som en h.hann er bangin sum haran, hann er sum ein hara;tør du ikke, din h.!torir tú ikki, tín ræðuskítur!;nærved skyder ingen h.annaðhvørt rakar tú ella ikki;gribe til harens geværrýma, flýggja; (spæl)hund efter h.hundur eftir haru3(stjfr.) Haren(stjørnumerki) Haran
