L1	rómv. taltekn fyri 50
land1	1(dry) land,taka landland1súlan tekur land í januarthe gannets come to the breeding places in January2(sjóm.)make(el.sight) (the) land, make a landfall;(sigl.) land í eygsjón!land ho!(sigl.) fáa land í eygsjónmake(el.sight) (the) land;(fl.m.) vita hvussu landið liggurknow how matters stand; know the lie of the land;hvussu landið láhow the land lay;ókent land (eis. fl.m.)unknown country;tey heitu londini (uml. =)the tropics;opið landopen country2(strond) shore, coast3country, kingdom, part of the world4soil, ground5landiðthe public authorities; (ríkiðeis.)the Government, the State; the public sector(t.d.workers in the public sector);landið móti Jones(í Ongl.) Regina (, Rex) versus Jones; (í USA) People versus Jones;hjá landinumin the public sector;sum landið hevur áhuga íin the public interest;upp á landsins bestaat the public expense;landins tørvurthe public good, the public interest;í landsins tænastuin the public service;landið rindar útreiðslurnarthe expense is borne by public funds;landsins vegna(í Ongl.) on behalf of the Crown;fara til landiðbe allotted to the land(t.e.the landowners);hann hevur nógv á landinumhe has much landed property6[ísamb.viðfs]at:koma at landicome home from fishing;koma tætt inn at landicome close in by the coast;leggja at landigo (, come) alongside, moor;fara av landi(num)leave the country;hann var av landinum og lashe studied abroad;av:langt av landi skotinfar from one's homeland;hon er sunnan av landi(sunnaneftir);fáa lívd av landicome close in by the coast;á:her á landiin this country, here;fuglur er á landithere are birds in the bird-cliffs;reka á landbe washed ashore; (um skipeis.)be beached;renna(, sigla) á landrun ashore, run aground;seta eitt skip á landbeach a vessel;skipið varð sett á landthe ship was beached;frá:(sigl.) frá landifrom the shore; off the land;leggja frá landi1(sigl.)put off, set out2(fl.m.)leave(t.d.aftan á vitjan);fyri: fyri alt landiðon national(el.nation-wideel.country-wide) basis;í:fara í landgo ashore; (um ferðafólk, hermenno.s.fr.)disembark;(t.e.gevast sum sjómaður) go ashore;føra í landtake ashore, land;hava land í eygsjónbe within sight of land;senda í landsend ashore;seta í landland, disembark(t.d.troops); put(el.set) ashore(t.d.put passengers ashore);vera í landibe ashore(t.d.he was ashore);til:koma til landscome to land;rógva til landsmake for (row) home after fishing;um:(skm.) víða um í landinumeverywhere;undir:halda seg undir landihug the shore;(tætt) undir landi(close) inshore;koma (upp) undir landcome close inshore;(fl.m.)near(el.approach) one's goal,(fl.m.) vit vóru komin undir land við arbeiðnumwe had broken the back of the task;upp(i)á:land,nógvur fiskur kemur upp á landmuch fish is being landed;liggja uppi á landibe home from fishing;leggjast upp á landgo ashore;úr:úr landifrom the shore, off the land;skipið lá tríggjar fjórðingar úr landithe ship was 3 nautical miles offshore;langt úr landifar out;út frá:liggja út frá landistand off the land;við:fram við landialong the coast;teir sigldu suður (eystur o.s.fr.) við landithey sailed southwards (eastwardso.s.fr.)along the coast;yvir:yvir land, ferðast yvir landgo by land(el.by surface route); go overland(GG:he came by the overland route);ein ferð yvir landan overland journey;senda yvir landsend(el.dispatch) by land(el.by surface route)
land2	(lívfr.)urine;sprongdur í landiwanting (sterkari: bursting) to pee
landa	unload, land fish,trolararnir landa fiskinthe trawlers land the catch
landafrøði	geography
landafrøðiligur	geographical, geographic
landafrøðingur	geographer
landaklovi	the mouth of a fjord (, sound)
landakyrra	sílandkyrra
landalæra	1geography2geography textbook
landamark	land frontier
landaplága	1(national) scourge, nuisance(t.d.the hikers are getting to be a nuisance), pest(t.d.the rabbits are a regular pest here)2(tlm.)(schlager) hit(t.d.the newest hit);(GG:this tune is a positive scourge)
landari	(á fiskavirki) maður ið landarel.fæst við landingararbeiði
landaskil	í osb: halda lóg og landaskil keep within the law;(tlm.)stay on the right side of the law
landaskomm	public(el.national) shame
landasorg	public(el.national) mourning
landastrok	(niðr.)tramp, vagabond
landasvik	sílandssvik
landasvíkjari	sílandssvíkjari
landavegur	sílandsvegur
landaverja	guardian (, defender) of land
landbjørn	(dýr.)brown bear(Ursus arctos)
landbløðra	(lívfr.)(urinary) bladder;bruni í landbløðruniinflammation of the bladder, cystitis;sum viðvíkur landbløðrunivesical
landbrim	surfel.breakers by the shore
landbrot	[breakers near the shore],teir rógva av øllum alvi út um innastu landbrotthey are rowing with all their strength away from the innermost breakers
landbróðir	(kvæð.)(fellow-)countryman, compatriot
landbrunnur	liquid-manure tank
landbukka	chamber (pot),fara sum landbukka millum sengurroam from one place to the other
landbúnaðaramboð	agricultural implement, farm(el.farmer's) tool;flt(maskinur) agricultural(el.farm) machinery
landbúnaðarframleiðsla	agricultural production(el.output)
landbúnaðarframsýning	agricultural show(el.exhibition)
landbúnaðarkreppa	agricultural crisis, farm crisis
landbúnaðarlæra	agronomics
landbúnaðarmaskina	agricultural machine;landbrugsmaskinur (eis.)agricultural machinery
landbúnaðarmál	(stjm.)agricultural issues
landbúnaðarmálaráð	(stjm.)Ministry of Agriculture; (í Ongl.) Ministry of Agriculture and Fisheries
landbúnaðarmenningætlan	(ES) rural development schemes
landbúnaðarnæmingur	agricultural trainee
landbúnaðarpolitikkur	agrarian(el.agricultural) policy;felags landbúnaðarpolitikkur(ES) the Common Agricultural Policy(stCAP)
landbúnaðarráð	agricultural council; (í ES) the Agriculture Council
landbúnaðarráðgevi	agricultural adviser
landbúnaðarráðharri	(stjm.)Minister of Agriculture, farm minister
landbúnaðarskúli	agricultural school(el.college); (í Ongl. ofta) farm institute
landbúnaðarskylda	jørð við landbúnaðarskyldu land designated for agricultural purposes
landbúnaðarstevna	síbúnaðarstevna
landbúnaðarstuðul	farm subsidy
landbúnaðarstuðulsskipan	agricultural support system
landbúnaðarvísindi	agronomics; agricultural knowledge
landbúnaðarvøra	farm(ing)(el.agricultural) product;landbúnaðarvøruragricultural products, agricultural(el.farm) produce;prísirnir á landbúnaðarvørum (eis.)agricultural prices
landbúnaðarøki	landbúnaðarøki (ES) agricultural districts
landbúnaður	(bún.)agriculture, farming; farm work(t.d.engaged in farm work);landbúnaðurin(sum politiskur faktor) agriculture, the agricultural interest;blandaður landbúnaðurmixed farming;læra landbúnaðlearn farming
landdýr	(dýr.)terrestrial (, land) animal
landfarsjúka	(lækn.)typhoid fever
landfarsótt	1epidemic(t.d.an epidemic broke out)2typhoid(el.enteric) fever(t.d.be inoculated against typhoid(el.enteric))
landfastur	connected (with the mainland),rógva landfastrow aground, ground the boat; (um hólm, skero.tíl.) har er landfastthe skerry (o.s.fr.)is connected to the island
landfiskur	[lean cod which remains in shallow water during the summer]
landfløska	(lækn.)urinal, urine bottle, bed bottle, urine specimen container, vase
landfólk	farmer, agriculturist
landfúti	[administrative officer in the Faroe Islands](uml. =)Chief of Police
landføring	landing
landgjálvur	(stb.)sílandhøgg
landgonga	1landing, disembarkation2(um grindahval),hvalirnir gjørdu landgonguthe whales beached themselves
landgongd	1(serl.um grind)gera landgongdbeach themselves,grindin gjørdi landgongdthe whales beached themselves2landing(t.d.landings were effected on the coast of Normandy); (brádligt álop) descent(t.d.the Vikings made descents on England); raid3(sigl.)gangway
landgongubátur	(herm.)landing craft
landgongubrúgv	(skip.)gangway;(herm.)brow
landgongudeild	(herm.)landing party
landgongufar	(herm.)landing craft
landgonguflaki	(herm: t.e. flotbrúgv)landing stage
landgonguhermenn	(herm.)landing forces
landgonguherur	(herm.)landing forces; marines
landgonguplanki	gangplank
landgongustaður	(herm.)landing (place), place of disembarkation
landgrunnur	(jarðfr.)Continental Shelf, Faroe Shelf
landgrunshelling	(jarðfr.)continental slope
landgøgn	(lívfr.)urinary organ
landherur	(herm.)ground forces
landhús	(stb.)urinal, public convenience;(tlm.)peehouse
landhøgg	[rebounding of backwashing waves close to the shore]
landi	(fellow-)countryman, compatriot
landing	landing
landingarbann	landing prohibition
landingarprísur	(oljuv.)landed price
landísur	(jarðfr.)land ice
landjagg	(um sjógv) [choppy sea close to shore]
landjørð	í osb: á landjørðini on (dry) land
landkenning	landfall,fáa landkenningmake a landfall
landkoma	1[periodic stay of the birds in the bird-cliff]2[the time when the birds go in large numbers to the bird-cliff]
landkort	map
landkostir	(kvæð.)richness, fertility of the land (, soil)
landkrabbi	1(dýr.)land crab(Gecarcinus)2(sigl., niðr., skemt)landlubber
landkráka	landlubber
landkrókur	lavatory, urinal
landkyrra	[calm sea in by the shore]
landleggur	(lækn.)catheter
landleið	territorial sea(el.watersflt)
landloyvi	permission to go ashore;(herm.orlov) shore leave; (stutt) liberty
landmálarakumpass	circumferentor
landmálarapeli	ranging pole(el.rod)
landmálari	surveyor
landmáling	surveying; (støk) survey
landmátari	sílandmálari
landnám	1(sø.)landnam; settlement2conquered land
landnámsbygd	(sø.)landnamsvillage
landnámsmaður	(sø.)landnamsman, settler
landnámstíð	(sø.)the landnam period
landnorður	(gl.)north-east
landnyrðingsódn	north-easterly storm
landnyrðingspíningur	[cold and dry north-easterly wind in the spring]
landnyrðingur	1north-east, NE2(landnyrðingsvindureis.)north-easter, north-east wind;hann er landnyrðingur (í ættini)the wind is north-east3l.(sum kemur av landnyrðingi) north-easterly;í ein landnyrðingto the north-east;lágur landnyrðingurnorth-east by east, NE by E.;høgur landnyrðingurnorth-east by north, NE by N;landnyrðingur norðan(north-north-east);landnyrðingur eystaneast-north-east
landoddi	spit, point, headland, cape,komin út um landoddarnaron the open sea;(fl.m.) uttan fyri landoddarnarabroad
landpartur	(gl.)[the part of the catch which is due to the owner(s) of the land]
landrák	tað var landrák the tide was setting onshore
landrenning	(stb.)[large incidence of coalfish near the coast]
landroykur	stench of urine
landræsi	(lívfr.)the urinary system(el.organsel.tract)
landsantikvarur	sílandsfornfrøðingur
landsapotekari	Chief Pharmaceutical Officer
Landsbanki Føroya	(sern.)The Governmental Bank of the Faroe Islands
landsbók	(sø.)Statute Book;(serl. am.og ikki-enskt) national code
landsbókasavn	national library;Føroya LandsbókasavnNational Library of the Faroe Islands
landsbókavørður	national librarian;Landsbókavørðurinnational librarian
landsbróðir	(sj.)(fellow-)countryman, compatriot
landsbygd	village; (lítil) hamlet,úti á landsbygdin the country; in the countryside
landsdjóralækni	(starvsheiti)the Chief Veterinary Officer
landsdómari	(kann verða endurgivið) High Court judge
landsdystur	(ítr.)international match;hann hevur leikt 10 landsdystir fyri Føroyarhe has played for the Faroes 10 times
landsendi	1spit, point2part of the country,úr ymsum landsendumfrom various parts of the country
landsetumaður	(sø.)tenant farmer
landsfaðir	father of the country, paternal monarch
landsfaðirligur	paternal
landsfelag	nation-wide organisation; joint organization, league
landsfelagsskapur	federation(t.d.federation of trade unions)
landsfornfrøðingur	Keeper of National Antiquities
landsfólk	a country's inhabitants (, population),samskifti embætismanna við landsfólkið er smáligtcommunication between officials and the country´s population is scanty
landsfólkayvirlit	national register; (skrivstovan) national registration office
landsfriður	the King's peace
landsfundur	national congress; (hjá politiskum flokki, svarar til) party conference
landsfyrisiting	national administration
landsfyritøka	1national enterprise2landsfyritøkurpublic works
landsgagn	public utility
landsgagnligur	of public utility(GG:a public utility company)
Landsgrannskoðanin	(sernavn)the National Audit Office
Landsgrannskoðarin	(sernavn)Auditor-General of Faroes
landshandil	(sø.) (serl. í krígsstøðu)the Supply Office(svarar til)the Ministry of Supply
landshúshald	public housekeeping
landshøvdingi	(sø.)(kann verða endurgivið) governor
landskapping	(ítr.)national tournament (in the Faroe Islands)
landskappingardystur	(ítr.)national tournament match
landskassagrannskoðan	(bú.)the National Audit Office
landskassaroknskapur	state accounts;grannskoðan av landskassaroknskapinumaudit of the state accounts
landskassi	Landskassin the Faroese Exchequer, the Exchequer, the Treasury, the national(el.public) purse;fíggjarumsitingin fyri landskassanthe fiscal administrator for the national treasury; (í Grønlandi) provincial treasury;avgjøld til landskassannational dues,landskassin rindarthe Exchequer covers the expenses;inntøkur landskassansGovernment revenues
landskendur	of nation-wide fame(GG:their names are household words in this country; he's a national figure; he suddenly burst into national view)
landskjálvti	(sj.)síjarðskjálvti
landskjøldur	[waves which break against the shore and thrown back]
landskránur	skránur
landskuld	(sø.)manorial dues, rent
landskyld	(sø.)sílandskuld
landslag	1scenery(t.d.there is much fine scenery in the Cotswolds), landscape2(lendi) landscape, country, ground(t.d.flat, hilly ground)3(málninguro.s.fr.)landscape4(fl.m.) hon fyllir væl í landslagnumshe is a woman of ample proportions; she is well-upholstered(el.well-padded);tað lýsir væl upp í landslagnum (fl.m.)it brightens things up;taka seg væl út í landslagnumlook well in the picture
landslagsarkitektur	landscape architect;(gl.)landscape gardener
landslagslist	landscape painting
landslagsmálari	landscape painter
landslagsmálningur	landscape
landslagsmynd	landscape
landslagsrøkt	the preservation of rural amenities, preservationism
landsláttur	sílandhøgg
landslega	national convention, national rally; (ítrótt) national meeting, national rally; (fyri skótar) jamboree
landsleið	1coastline,teir hóma landsleið suðureftirthey can just make out the coastline dimly;roysningurin heldur seg helst um landsleiðthe walrus mostly keeps close to the shore2area, part of a country,á hesari landsleiðini er ein frálík javnvigan millum bý og náttúruin this area there is a perfect balance between town and nature
landslið	(ítr.)enska(, føroyska)landsliðið the All-Faroes (, the All-England) team;vera á enska (, føroyska) landsliðnum (eis.)be an All-Faroes (, an All-England) player, be an international;hann hevur verið á landsliðinum tríggjar ferðirhe has played for the Faroes three times
landsliðsleikari	(ítr.)All-Faroes (, All-Englando.s.fr)player; international
landsliðsspælari	(ítr.)international player, international (t.s.s.landsliðsleikari)
landslunnindi(r)	a country's glory, a country's privileges
landslutur	province, part of the country, district
landslækni	(lækn.)chief medical officer in the Faroes
landsmaður	1hvat (fyri) landsmaður er hann?what nationality is he?2(landi) (fellow-)countryman, compatriot,vit eru landsmennwe are compatriots
landsmál	1national language2dialect, regional language; (um norsk viðurskifti) the landsmaal
landsnavn	name of a country
landsnevnd	(sø.)landsnevndin (sum Løgtingið hevði valt) National Committee (the Faroese governing committee during the Second World War)
landsogn	public property
landsoljufelag	national oil company
landspartur	sílandslutur
landspolitikkur	(stjm.)national policy (, politics)
landspolitiskur	(stjm.)to do with (, from the point of view of,o.s.fr.)national politics
landsráð	(í Grønlandi) provincial council
landsroynd	national test, national curriculum test
landsrættardómari	High Court judge
landsrættardómur	High Court judgment (, sentence); judgment (, sentence) of the High Court
landsrættarmál	High Court case
landsrættarsakførari	(gl.,løgfr.)[formerly: lawyer entitled to plead before the "landsret"]; (einki heilt samsvarandi í Ongl. og USA, kann verða endurgivið) barrister; (í USA) attorney (at law)
landsrættur	(løgfr.)High Court; (einki heilt samsvarandi)
landssjúklingaskrá	landssjúklingaskráin the national register of patients
landssjúkrahús	Faroese central hospital
landsskaðiligur	injurious to the State;landsskaðiligt virksemi (ofta =)subversive activities;(GG:he is (, his activities are) a public danger(el.a threat to national security))
Landsskattakærunevndin	(sern.)The National Board of Tax Appeals
landsskattur	Faroese Government tax
landsskjalasavn	Landsskjalasavnið The Faroese National Archives; public records
landsskjalavørður	Keeper of the Public Records, Faroese national archivist, keeper of the public records
