n	(málfr.)consonant
navnabræv	name certificate; sí eis.certificate of baptism
navnafjøl	(sj.)sínavnabretti
navnagáva	1naming2christening present;hann fekk tað í navnagávuit was a christening present
navnagávuseyður	[sheep given as a christening present]
navnagranskari	(málfr.)student of onomastics
navnagransking	(málfr.)onomastics
navnakall	(stjm.)roll-call, call-over;atkvøtt varð við navnakallivoting by way of roll-call
navnaklútur	(handarb.)sampler
navnakort	visiting card, card;(am.)calling card; (í vinnuhøpi) business card;geva e-m navnakortiðleave one's card with/on sby
navnalisti	list of names;aftast í bókini er ein navnalistithere is a list of names at the end of the book
navnalóg	[legislation regarding change(o.tíl.)of names]
navnamerki	(skógfr.)label;hann setur sítt navnamerki á viðarbularnarhe labels the trunks (of tree)
navnaprógv	1(at siga hvør ið er) identification(st.ID)2(prógv) identification papers;hava tygum navnaprógv?can you identify yourself?, can you prove your identity?3[certificate of change of name]
navnaseðil	name certificate
navnasiður	naming custom;føroyskur navnasiðurthe Faroese name tradition;navnasiðirnir eru nógv broyttir gjøgnum tíðirnarnaming custom has changed much through(out) the ages
navnaskelti	name plate; name sign, street sign; (uppi yvir handlumo.tíl.)sign(board); (í frakka) name tab(t.d.til ráðstevnuluttakarar) name badge; (at bera) name badge (t.d the staff had to wear name badges); navnaskeltivið gøtunavnia street sign
navnaskifti	change of name
navnaskrá	sínavnalisti
navnasletting	name dropping
navnaupptøka	name recording
navnberi	(málfr.)name bearer
navnblað	(í bók) title page
navnbót	title;doktaranavnbótthe title of doctor
navnfestur	named, mentioned by name;maðurin er ikki navnfesturthe man has not been named
navnframi	renown, fame, distinction, reputation
navnframur	1famous, famed, illustrious, renowned, celebrated;ein navnframur málaria famous painter2(stb.)good, competent, capable, proficient, able;ein navnframur maðurcompetent and reliable man;eitt navnframt ára good year
navnfremi	(bíbl.)renown, fame, distinction, reputation
navnfrægd	renown, fame, distinction, reputation
navnfrægur	famous, famed, illustrious, renowned, celebrated;hin víðagitni og navnfrægi Sverri kongurthe illustrious King Sverri
navngáva	naming;í føroyskari navngávuaccording to the Faroese name tradition
navngeva	1name, mention by name, mention the name of;tygum skulu ikki leggja í at navngeva meg í útvarpinumI do not want to be mentioned by name in the transmission2name (a child);tey hava navngivið dóttur sínatheir daughter has been named
navngitin	1famous, famed, illustrious, renowned, celebrated;ein navngitin sangaria famous singer;tað, hann var mest navngitin fyri, var hin stóri urtagarðurinpeople knew him best for his large garden2named, mentioned by name, unnamed;ein ungur ikki navngitin drongura young unnamed man
navngreina	(plfr.)identify; navngreinaeina plantuidentify a flower
navngreining	(plfr.)plant identification
navnháttarmerki	(málfr.)sign of the infinitive;" at"í" at lesa" og " at skriva" er navnháttarmerki `at'in `to read' and `to write' is a sign of the infinitive
navnháttur	(málfr.)the infinitive (mood)
navnheild	(málfr.)noun phrase
navni	[male with the same first name as sby else]; (tíðum) namesake;vit eru navnar báðirhe's my namesake
navnkendur	(stb.)sívíðagitin
navnkenna	introduce(t.d.introduce him to her);navnkenna segintroduce oneself
navnkristin	Christian in name only;tey, sum av sonnum eru trúgvandi, og hin stóri hópurin av navnkristnumthe faithful and the large crowd of people who are Christians in name only
navnkunnur	sínavnframur
navnleysur	nameless, unnamed, without a name; anonymous
navnliður	(málfr.)primary;(málvísindi)part of a compound proper name
navnloyndur	anonymous;navnloynd spurnakanninganonymous questionnaire
navnloysi	1namelessness2anonymity
navnnevndur	named, mentioned by name; navnnevndurmaðurman mentioned by name
navnorð	(málfr.)noun, substantive;" hús" er ítøkiligt navnorð`a house' is a concrete noun;" kærleiki" er óítøkiligt navnorð`love' is an abstract (noun);orðalagsliga standa navnorð ofta sum grundliður ella ávirkisyntactically nouns are often subject or object
navnorða	(málfr.)substantivize
navnorðabending	(málfr.)declension;veik navnorðabendingweak declension(eis.um lýsingarorð)
navnseðil	(á vøru, fløskuo.tíl.)label
navnskelti	sínavnaskelti
navnvardur	(handilsm.)proprietary(t.d.food, medicine)
navnvinur	friend in name (but not in fact);mangir vilja navnvinir veramany people wish to be friends in name
navnvirði	(bú.)nominal value, face value; par of exchange
ná1	(kvæð.)sínáa
ná2	(gl., stb.)sínei
náa	1reach, get hold of, get at; náae-mreach sth;eg náddi honum ikkiI couldn't get hold of him;náa at e-m/náa á e-treach sth;teir náddu ikki á lendinginathey didn't reach the landing place;so fimur var hann, at eingin náddi fram at honumhe was so agile that no one was able to get hold of him;hevði eg nátt honum!if I had got hold of him (I would have hauled him over the coals)2be able to, be in a position to; have the opportunity to; get permission to;um hann møtti teimum og náddi at drepa teirif he met them and had the opportunity to kill them;tú skalt náa viðyou'll be allowed to go along3have time to;eg nái ikki at komaI haven't the time to come;hvørki teirra náddi útneither of them got out/escaped
nábalsklógv	miser, skinflit
nábalskrókur	íosb.sumhatta er farið í nábalskrókit has completely vanished (of sth which has disappeared and cannot be found again)
nábleikur	white as a sheet, deathly pale
nábumbing	pinpoint bombardment
nábúgvi	neighbour
nábúi	sínábúgvioggranni
nábúlag	(stb.)sígrannalag
náð	1peace, tranquility;í náðumpeacefully;sita í frið og náðumsit peacefully;geva sær góðar náðirgive oneself plenty of time;eg fái ikki náðir fyri henni, sum hon plágar megshe doesn't allow me a moment's rest the way she's pestering me;ikki hava náðir (til e-t)not have time (for sth);(orðt.) góðar eru fátækra/fátækar náðirit is better to live in peace than to be rich;tá ið tað býtta lagið kom á hann, gjørdi hann ikki Gudi náðwhen he was in a whimsical mood nobody was spared2help;eg eri ov gamal at liva av náðum longur(olmussu) I am too old to live on charity;snávaði ein har, so vóru ongar náðirmissing one's footing there was certain death3(átr.)grace;Guds náðthe grace of God;ikki Guds náðnothing whatever
náða	1have mercy on, be merciful to;Gud náði teg!God help you!(t.d.God help you if you forget it!);Gud náði meg syndaraGod be merciful to me;Jesus náði (tú) meg!(God) bless my soul!;Gud náði tann, ið ongan góðan eigurGod help him who has no one to turn to;hann náði okkum fyri songi(of terrible singing)2amnesty, grant an amnesty to; (um fongsulsrevsing) pardon; (um deyðarevsing) reprieve;fangarnir vórðu náðaðirthe prisoners were pardoned
náðar-	sínáði-
náðarvald	íosb.sumslíkt hevur ikki verið í mínum náðarvaldiit has never been in my possession;eg eigi tað ikki í mínum náðarvaldiI am not able to control it, I have no influence on it
náði	1(átr.)grace2help;teir kunnu ikki ana uttan annans náðithey could not survive without help from others3(viðel.um tignarfólk);tygara náði(við//um hertogafrú) your//her Grace; (viðel.um greivakonu) your//her Ladyship; your náði (til//um hertoga og erkabiskup) your//his Grace
náðiár	(bíbl.)year of jubilee
náðiborð	(átr.)Communion table
náðifullur	(átr.)gracious
náðigáva	(átr.)gift of grace
náðigur	(átr.)gracious; (miskunnsamur) merciful;Harrin veri okkum náðigurGod have mercy on us!;náðiga frúmy lady;náðigi harrimy Lord;náðigi kongur (okkara)his gracious Majesty, our most gracious Sovereign
náðileysur	merciless, ruthless, remorseless, unsparing, pitiless
náðiligur	1lenient, merciful2modest, lowly, humble; who only takes for himself little of the food offered; a poor eater;tú ert so náðiliguryou are such a poor eater, do take some3sparing with food (in connection with cooking)4simple and plain;tað er so náðiligtthe supper is simple and plain;hjnáðiliga
náðing	1free pardon(t.d.he was granted a free pardon); (ísamb.við deyðarevsing) reprieve2(fáa aðra og mildari revsing) commutation (of sentence);havna umsókn um náðingdismiss a petition for pardon(el.reprieve);náðingarumsóknpetition for mercy;fáa náðingbe granted a pardon(el.reprieve)
náðingarumsókn	petition for mercy
náðinsgarður	(sø.)annexe-farm bestowed on a clergyman's widow
náðir	sínáð
náðiríkur	(átr.)gracious
náðistólur	(bíbl.)mercy seat
náðiverk	act of mercy
náðugur	(gl.)sínáðigur
nágranni	next-door neighbour
nágreina	subject sth to a critical examinationel.analysis
nágreiniligur	1thorough(t.d.a thorough knowledge of German); exhaustive(t.d.the police made exhaustive inquiries); complete(t.d.a very complete treatment of the subject); (djúptøkin) profound(t.d.he made a profound study of the problem; a profound knowledge of history); searching(t.d.inquiry)2(vandin) thorough, painstaking, careful, meticulous;eftir nágreiniliga kanningafter careful investigation(s);hjnágreiniliga
nágreining	1elucidation, illustration;nágreining av e-min-depth investigation, detailed account, specified account, particularso.tíl.2thorough illustration of all the particulars(t.d.á húsatekning)
náhond	(dýr.)dead man's finger(Alcyonium digitatum)© Wikimedia Commons
náhvalur	(dýr.)narwhal (Monodon monoceros)© Wikimedia Commons
náhvítur	white as a sheet, deathly pale; náhvíturí andlitihis face was deathly pale
náhøvur	(firv.)death's head hawk-moth(Acherontia atropos)© Wikimedia Commons
nákvæmi	sínærkvæmi
nákvæmur	sínærkvæmur1
nál	1(t.d.seyminál, grammofonnál, heklinál) needle,(t.d.knappanál, pyntinál, hattanál trygdarnál, nál í spenni) pin; (til uppslagstalvu) push pin;nálabræva packet of pins/needles;traða nálthread a needle;festa e-t við nálumfasten/secure sth with pins on/to, pin to(t.d.pin a sample to a letter);leita sum eftir nállook carefully for sth;hatta er sum at leita eftir nálit is like looking for a needle in a haystack;ikki duga at halda á nálnot know how to sew;so fátækur sum nál uttan tráðel.sum nálin, ið ongan hevur tráðinas poor as a church mouse (pennylessel.destitute);so skal hon vera so nakin sum nálin, ið ongan hevur tráðinin that case she goes pennyless (of a daughter who marries against her father's will);sita sum á nálumbe on tenterhooks2compass needle;(kvæð.) nálin vísti teim leiðthe compass needle showed them the way;kumpassin er kvik á nálinithe compass needle is extremely sensitive (unsteadyel.fluctuating);(fl.m.) kvikur á nálinihot-headed/quick-tempered;hon er so leys á nálinishe is fickle/flighty;fara av nálinibe disconcerted, lose one's head;hann drakk seg út av nálinihe was addicted to drink(ing)3(plfr.)sprout, shoot, germinating seed corn;tá ið lambið er 14 dagar gamalt, fer tað at taka nálwhen a lamb is 14 days old it begins to graze4shoot on a seed potato;taka nálirnar av eplunumremove the shoots from the potatoes5(plfr.)needle (of coniferous tree)6(lækn.,holnál) pipe key
nálabræv	packet of pins
nálaflipputur	(plfr.)needle laciniate
nálakoddi	pincushion
nálaprentari	(teld.)matrix printer
nálapúta	pincushion
nálareyga	eye of a needle
nálarhúgvusoppur	(plfr.)beech-leaf bonnet(Mycena capillaripes)
nálarhús	needle case
nálarhúsi	needle case
nálarhøvd	pinhead
nálaroddur	needle point, pinpoint
nálarprik	pinprick
nálarskógarbelti	coniferous forest belt
nálarventilur	(tøkn.)needle valve
nálaskógarøki	coniferous forest belt
nálaskógur	coniferous forest, softwood forest, needle-leaved forest
nálasmiður	needle maker
nálasmíð	needle making
nálastríputur	pin-stripe(d)
nálastunga	(lækn.)acupuncture
nálastunguviðgerð	(lækn.)treatment by acupuncture, acupuncture treatment
nálateinutur	pin-stripe(d)
nálatorva	íosb.sumfara/liggja/leypa í nálatorvu(um epli, of potato) sprout so much that the sprouts become entangled
nálatræ	(plfr.)conifer, coniferous tree
nálatræsviður	conifer wood, softwood, soft timber
nálaviðgerð	(lækn.)treatment by acupuncture, acupuncture treatment
nálaviðgerðarlækni	sínálaviðgeri
nálaviðgeri	acupuncturist
náldánaður	needle-like, needle-shaped(t.d.crystals)
nálesa	close-read
nálesing	close reading
náleyga	sínálareyga
nálg	1clinging person;tú ert eitt nálgget off my back2íosb. hava//fáa nálg at/á e-mbe sexually excited, be sexually aroused by sby
nálga	1nálga seg/nálgast (uppi í/uppi á e-m1cling to sby, stick close to sby;tað eru ikki øll, ið hava títt hegni til at nálga seg upp at prestum og tílíkum fólkifew people have your talent for rubbing shoulders with clergymen and such persons;hann nálgast altíð uppi í honumhe always clings to him (sticks to him);grind, ið liggur og nálgast at einum marbakkaa school of pilot whales which for a time has stayed near amarbakki (q.v.)2pester(t.d.pester sby with questions);gakk ikki og nálgastdon't make a nuisance of yourself, don't pester me, get off my back3be sexually excited/aroused; be hung up on sby;hon nálgast uppi á honumshe won't leave him alone2(sj.)make sby become interested in one;konufólkið hevði nálgað bróður upp í segthe girl had made my brother become interested in her
-nálga	síkorka-
-nálgur	síkonufólka-
nálgutur	pestering, who makes a nuisance of oneself
nállagaður	needle-like, needle-shaped(t.d.crystals)
nálskapaður	needle shaped, needle-like(t.d.crystals)
nálstunga	(stb.)thread for a needle;lat meg fáa eina nálstungu frá tærlet me have a bit of thread for my needle
náltráður	[suitably long sewing thread]
nálvaksin	(plfr.) nálvaksið blaðneedle-shaped/acicular leaf
nám	1mine;kolanámcoal mine, colliery2(serst.um bókligt nám) education; training(t.d.military training; practical/hands-on training; the training of teachers);námið endar við próvtøkuthe education is finished with an examination3boundary;brekkunámplace where the slope of the hill begins to rise from the flat ground, from the foot of a hill;kavanámsnow line4have an impression that, feel that, have a feeling/an idea/a hunch that(t.d.I have a feeling that there is sth wrong; I have an idea that we must have met before); be under the impression that; instinctive feeling;(tlm., eis.)gut reaction;eg havi eitt nám um tað (eis.)something tells me that,(eis.)I feel it in my bones that;hava sovorðið nám av e-mhave a hunch of sth;tey eldru fólkini hava eitt nám um taðthe old people have a feeling about it5(kúgv er á riði) [faint sign that a cow is in heat];eg helt eitt nám vera á kúnniI thought I could perceive a faint sign of it being in heat6(stb.)unrest, disturbedel.troubledel.agitated state of mind;eg havi sovorðið nám av tíI am troubled by it,I am anxious about it7(stb.)unevenness(t.d.of a surface); roughness(t.d.of a road, of a surface); foothold;har var eitt nám, sum eg fekk sett fótin áthere was a foothold on which I could place my foot
