e	(eis. tónl.)E, e
eggklingra	(stfr.)ellipse
eggklingrutur	elliptic(al)
eggkykna	(lívfr.)egg cell, ovum
egglega	(plfr.)ovary
eggleysur	(um eggjarn) with blunted edge
eggloysn	(lívfr.)ovulation; shedding of eggs
eggmettur	1gorged, stuffed(avwith);eta seg eggmettangorge(el.stuff) oneself with2(as) drunk as a lord(el.a billy goat)
eggposi	egg pouch
eggrás	í osb: vappa sum æða í eggrás be busily engaged in something; be fidgeting with impatience
eggrundur	síeggklingrutur
eggrúm	(um hønu) about to lay an egg
eggrøtur	(lívfr.)ovary
eggsjúkur	(um fugl,serl.hønu) wanting to lay;(fl.m.) ganga sum eggsjúk hønabe very anxious (to do something, to say something, to get something carried out), be all agog about something
eggslitin	(um eggjarn) with a blunted edge
eggstrongur	(plfr.)oviduct
eggvaksin	1elliptic(al)2(plfr.)ovate
eggvákn	síeggjarn
eggvølur	síeggbøllur
egi	1corn, straw2barleyfield3sprout, shoot4(fl.m.)soul,har var ikki egi innithere was not a soul in there
egilker	síigulker
egin	1own(t.d.it is my own house); of one's own(t.d.we have a house of our own);av egnum áhugaon one's own initiative, of oneself, spontaneously;(tlm.)off one's own bat;hava egnan bilhave a car of one's own, have one's own car;til egið brúkfor private consumption, for one's own consumption; for one's own use;eg haldi meg aftrat mínum egnuI stick to my own people;egin handilbusiness of one's own, self-employment;hann er sín egin harrihe is his own master(el.man);eg havi mínar egnu hugsanir um taðI have my own views about that;hann gongur sínar egnu leiðirhe will have his way; he goes his own way; he does things his own way;virka í egnum navniact in one's own name;tað vóru hansara egnu orðthose were his very words;endurgeva við egnum orðumretell in one's own words;fyri egna rokningat one's own expense;(fl.m. eis.)to one's own disadvantage;av egnum royndumfrom one's own experience;(løgfr.) egin skuldcontributory negligence;egin undirskriftpersonal signature2(serskilt, privat) own, separate, distinct, private(t.d.we each had our own bathroom; each member of the family has a separate room; he had a private carriage)3peculiar(t.d.he has a peculiar look in his eye); distinctive(t.d.the English countryside has its own distinctive charm); particular(t.d.imitating birds was his particular talent); all (of) one's own(t.d.she had a beauty all (of) her own)(GG:he had his own particular brand of Socialism)4in a class by itself; eccentric, queer, peculiar, singular, odd(t.d.he has got an odd way of looking at you)
egináhugamál	private interests ?
eginbilur	private car
eginbúskapur	personal economy
eginbylgjulongd	natural wave length;(útv. eis.)fundamental wave length
eginferð	(flog.)air speed
eginfígging	(bú.)self-financing
eginfíggja	(bú.)self-finance
eginfæ	equity capital
egingirnd	síegingóðska
egingóðska	selfishness, egoism
egini	síegi
eginkona	(kvæði) wedded wife
eginkærleiki	selfishness, egoism
eginleiki	1quality, characteristic, attribute2(serl.um lutir,evnafr., alisfr.)property3(teld.)attribute4(málfr.)attribute(t.d.the attributes of an object)5(lívfr.)character(istic),arvaðir eginleikarhereditary characteristics(el.features);hansara ringu eginleikarhis bad qualities(el.points); his shortcomings;tilognaðir eginleikaracquired characteristics;hann hevur tann eginleika at hann kannit is characteristic of him that he can; he has the quality of being able to6[íyms. samb.]koppurin hevur tann eginleika at hann brotnar ikkithe cup has the virtue(el.advantage) of being unbreakable;hansara góðu eginleikar (eis.)his good points;hann hevur ávísar góðar eginleikar (eis.)he has his (good) points;góðir eginleikar hjá hundi (, rossi)the (good) points of a dog (, horse);sermerktur eginleikia marked property (of)(t.d.elasticity is a marked property of rubber); a characteristic trait(el.feature)
eginligur	1proper(GG:ofta sett eftirn)tær eginligu FøroyarFaroes proper2real(t.d.the real work consists in)3actual(t.d.there is no actual recruiting of labour)4legitimate(t.d.the legitimate drama, stage, theatre)5regular(t.d.a regular novel)6(upprunalig) original(t.d.his original job; the original meaning of the word)7(lívfr., plfr.)true(t.d.the true cocoa tree)8[íyms. samb.](t.d.um maskinu) purpose-built;tað eginliga samanhangiðthe real facts of the case, the truth of the matter;tað eginliga virðið (eis.)the intrinsic value;eginlig orsøkactual reason9hj-ligain the proper sense (of the word)
eginlív	private life, privacy(t.d.he resented any intrusion on his privacy);í eginlívinumin private life, in private;eginlívsins friðurthe sanctity of private life;gera seg inn á eginlíviðinvasion of privacy
eginmálføri	ideolect
eginmerki	characteristic, distinguishing(el.distinctive) feature(el.mark), salient feature, criterion(t.d.the criteria of truth); hallmark;vera eginmerki fyri (eis.)be peculiar to, be proper to, be specific to, be characteristic of, be typical of, characterize, mark(t.d.the reserve which marks the typical Englishman)
eginnýtsla	1private consumption2(bú.) til eginnýtslufor personal use
eginogn	1(bú.)owner equity;eginognin er nú 60 mió. krowner equity is currently DKK 60 million;eginognin er rentað við 8%there is an 8% return on owner equity2private property
eginpeningsgrundarlag	equity (capital) basis
eginpeningskrav	(capital) requirement
eginpeningspartur	equity share
eginpeningur	(one's) own capital, net capital, personal capital; (í einstaklingsvirki) proprietor's capital, employed capital; (í felagi) net worth; equity capital;(handilsm.) eginpeningur til samanstotal equity;bundin eginpeningurcompulsory equity (capital);eginpeningur og skuld tilsamanstotal equity and liabilities
eginrørsla	(stjfr.)proper motion
eginsinnaður	wilful, self-willed, stubborn, obstinate, arbitrary, headstrong, pigheaded, (self-)opinionated, high-handed(t.d.behaviour)
eginskapur	síeginleiki
egintelda	(teld.)personal computer;(stPC)
egintídd	natural frequency, eigenfrequency
egintóni	(alisfr.)natural note, eigentone, fundamental (tone)
eginumstøður	private affairs
eginvarmi	(í kroppi) natural body heat, animal heat
eginváði	own risk
eginveksil	(handilsm.) promissory note
eginverja	self-protection
eginvild	wilfulness, stubbornness, obstinacy, arbitrariness, pigheadedness;av berari eginvildout of sheer obstinacy(el.pigheadedness)
eginvilji	síeginvild
eginvinna	independent employment;hon hevur eginvinnu (eis.)she earns her own living
eginvív	(kvæð.)wedded wife
egna	1bait(t.d.a line);egna fyri kalva1 bait for halibut 2(fl.m.)plan sth big2egna eingive someone a scrap2(sj.)cast one's fly; tempt, allure, attract
egnari	[man who baits long line]
egningarmaður	síegnari
egningarmaskina	baiting machine
egningarskúr	síegningarskúrur
egningarskúrur	baiting shed
ego	ego
egosentrikari	sísjálvsglaður(maður)
egosentrisitetur	sísjálvsgleði,sjálvsgóðska,sjálvsdyrkan
egriða	síeyrriði
egriði	síeyrriði
eg-skaldsøga	novel in the first person, first-person novel, I-novel
eg-snið	í eg-sniði in the first person
Egyptaland	Egypt
egypti	Egyptian
egyptiskur	Egyptian
ei	not,hvørki... eineither ... nor;í osb: ei og ikkiboth yes and no, doubtfully, uncertainly,hann er ei og ikki ólíkur honumhe reminds me a little of him
eið	síeiði
eiðabarur	síeiðasørur
eiðadyggur	1síeiðasørur22(stb.)completely ignorant
eiðargerð	(løgfr.)taking one's oath
eiðasørur	completetly devoid of, completely empty of;so eiðasørtnot even so much (as)tað er so eiðasørt, atthere is not the slightest sign that
eiðfastur	sworn (in), put on oath
eiðfesta	(bíbl.)swear (in), put on oath;vera eiðfesturbe on one's oath
eiðfestan	swearing in(t.d.of the witnesses)
eiði	isthmus(flt.isthmuses)
eiðsvorin	sworn; oath-bound;eiðsvornir brøðuroath-bound brothers;(løgfr.) eiðsvorin frágreiðingaffidavit;(løgfr.) eiðsvorin meklarilicensed broker;eiðsvorin tolkursworn interpreter
eiður	1oath;bróta sín eiðbreak one's oath;gera eiðtake an oath (on), swear (to), be sworn;(løgfr.; fyri gudsnoktarar) affirm;gera eið uppá at tað er sattswear that it is true;tað tori eg at gera eið uppáI'll take my oath on that;falskur eiðurperjury;gera falskan eiðperjure oneself, swear falsely;(løgfr.)commit perjury;halda sín eiðkeep one's oath;loysa ein úr eiðirelease sby from his oath;loysa seg við eiðiswear oneself free;staðfesta við eiðiaffirm by oath;svørja ein dýran eið við atswear a solemn oath that;svørja eið við Bíbliunaswear on the Bible; (fyrr) kiss the book;svørja eið við grundlóginatake the oath to the Constitution;taka í eið (t.d.ein embætismann) swear sby in;(t.d.eitt vitni í rættinum) put sby on oath, swear sby (in)(t.d.the witnesses were sworn);nevningarnir vórðu tiknir í eiðthe members of the jury were sworn in;vátta við eiðiswear to it2oath, curse, expletive, swearword;(tlm.)cuss-word;eiðir og forbannilsircurses, blasphemy;ein streymur av eiðum og forbannilsuma string of oaths; a stream of blasphemy;sleppa einum eiðirap out an oath;ein bøllutur eiðura lurid oath
eiei	(mðlv)dear me!, tut tut!
eiga1	(kvæð.)property, possession
eiga2	1own, possess, have, be the owner(el.proprietor) of, be in possession of;alt eg eigi og haviall I possess; all my worldly goods; all I have;missa alt ein eigur og hevurlose one's all, lose all one has;(tlm.)lose one's shirt;hon vil hvørki eiga ella hava hannshe will not have him at any price, she wouldn't have him gift-wrapped;eg vil hvørki eiga ella hava taðI wouldn't have it as a gift, I wouldn't touch it with a barge pole;hvussu nógv eigur hann?what is he worth?¸hann eigur stóra ognhe has a (large) fortune;hann eigur eitt góðshe has(el.is the owner of) an estate;hann eigur sjálvur skipiðhe owns the ship himself, he is the owner of the ship;hann eigur ikki sýru í vegghe has not a penny to bless himself with(el.to his name);(tlm.)he hasn't got a shirt to his back(el.a bean)2(gl.) eiga kvinnupossess(el.enjoy) a woman3have a right to; in return4have(t.d.she had a child by him), give birth to, bear; (um mann) have(t.d.he had a child by her);(gl.)beget, get; (um fugl) nest(t.d.many birds nest there)5eiga metiðhold the record6ought to(t.d.you ought to do as your father tells you); should(t.d.you shouldn't do that);sum tað eigur (at vera)as is right and proper;tað átti ikki at verið neyðugtthat ought not to(el.should not) be necessary;tú átti at sagt soyou ought not to say a thing like that; you shouldn't say a thing like that7be able to,hann rann tað dýrasta, hann áttihe ran as fast as he could8í osb: Gud eigi teg, ger tað fyri megbe a dear and do it for me;hann er ein skilamaður, tað skal hann eigahe is a sensible fellow one must allow him that9[ísamb. viðfs/hj]eiga áhave coming to one, be next;eiga av:eiga av særproduce, breed;eiga eftir:eiga eftir at gangahave left;eiga niðurfyrikeep in store; save for a rainy day;eiga saman(gl.):eiga orðum samantalk, converse;eiga(uppi) í:have a share in;eiga sær:tú eigur tær mangar brøðurnaryou have many brothers
eigamál	síeiggjamál
eigandi	worth possessing, valuable
eigarafelag	owners'(el.houseowners') association
eigari	owner(t.d.become the owner of), proprietor; (útleigari) landlord, lessor; (húsaeigari) houseowner; (sum býr í húsinum) owner-occupier;eigarans ábyrgingowners' liability;skikkaður eigaribeneficial owner;rættur eigarithe rightful owner;skifta eigarachange hands, pass into sby else's possession;vera eigari avbe the owner of, own, possess, have
eigarmaður	síeigari
eiggiliga	emphatically, forcibly, decidedly
eiggiligur	1beautiful, lovely2worth possessing, valuable, precious, grand, glorious, magnificent
eiggin	worth possessing, valuable
eiggj1	a bit, a scrap; a grain
eiggj2	yes;í osb: eiggj og ikkiyes and no, between the two
eiggjamál	rarity, in frequency; rare thing
eigiligur	síeiggiligur
eigindómsbygd	síognarbygd
eigindómsmaður	síognarmaður
eigindómur	property;(serl.)landed property
eiging	í osb: komin til eigingar due (to have her baby)
eik	(plfr.)oak(Quercus)
eikikampur	(plfr.)trífingraður eikikampur Oak Fern(Gymnocarpium dryopteris)© Wikimedia Commons
eikilund	(í skjaldri) oak grove
eikimálaður	painted to look like oak
eikirót	root of an oak
eikiskógur	oak wood, oak forest
eikispannari	(firv.)red-green carpet(Chloroclysta siterata)© Wikimedia Commons
eikitræ	oak (tree)
eikiviður	oak (wood)
eikja	(sø.)[boat hollowed out from trunk of an oak]
eileiki	neutrality
eiliggera	neutralize
eiliggering	neutralization
eiligur	neutral
eilívi	(skaldsk.)eternal life, life everlasting
eimast	(um eld á eldstaði) glow
eimhetta	síroykkápa
eimur	embers, glowing ashes
eimyrja	1síeimur22disagreeable taste
ein	1a(t.d.a man; a historical novel); (framman fyri sjálvsljóði) an(t.d.an owl); (framman fyril.brúkt sum navnorð) a man (, woman, person)(t.d. ein deyðura dead man;ein sjúkura sick person); (stundum) some(t.d.it was like some voice from the past); (í onkrum sambondum) a piece of(t.d.a piece of advice, a piece of information); (í óbundnum tíðarásetingum) one(t.d.it happened one morning); (= umleið) about(t.d.in about three or four days), somewhere around(t.d.it will cost you somewhere around £100), some(t.d.some seven years ago); something like(t.d.it amounts to something like £20); (= ein ávísur) one(t.d.one Mr Smith); a certain(t.d.a certain Ms Jones);hann rann sum eitt svakthe was running like mad(el.like blazes);ein (fagran) dagone (fine) day; (framtíð) some day, one day;einar tríggjar fýra tímar(some) three or four hours2(ein ella annar) someone, somebody; one, you(t.d. tey kunnu ikki revsa ein fyri taðthey cannot punish you for it); eins (hvørsfall) one's, your;ein... ein annarone... another(t.d.one wants beer and another wants tea);ein annar einanother(t.d.I don't like this one; show me another);(t.e.eg) one(t.d.what is one to do?);ein ella annarsomeone, somebody (or other);á ein ella annan háttsomehow (or other);eina ella aðra staðnisomewhere;eitt og annaðone thing and another(t.d.they talked of one thing and another); something(t.d.he knows sth);mangur einmany a man;gev honum ein á kjaftinSland(el.fetch) him one, give him a sock in the face (, the gob, the jaw, the kisser); give him a bunch of fives, plant him one, knock his block off;ein sjálvuroneself;ein slíkurone like this (, that), one of these3ein einasta bókone single book;bara einone (man) only;Gud er einGod is one;tað er ein máti at gera taðthat is one way of doing it;ein og samione and the same;ein og tjúgutwenty-one;øll sum einone and all, to a man(t.d.they are Communists to a man);(tlm.)every man Jack(el.mother's son) of them;tey róptu sum við ein munnthey cried out with one voice(el.as one man); (byrjan)eitt-tvey-trý!two, three ­ go!, ready, steady ­ go!;eitt, tvey, trý(= í skundi) in a trice; before you could say Jack Robinson(el.knife); before you know where you are (, knew where you were);ein av døgunumone of these days;ein teirraone of them;ein av túsundone man in a thousand;ganga ein og einwalk one by one; walk singly;tíggju móti e-mten to one(t.d. I'llbet you ten to one);teir vóru tíggju móti e-mthey were ten against one; he(, o.tíl.)was outnumbered ten to one;ein aftratanother(t.d.may I have another cake?); one more(t.d.there is one more chance);hon er hansara eitt og altshe is everything(el.all the world) to him; she is his all and everything;og eitt aftrat(there is) one thing more;klokkan eittat one (o'clock);ein og samione and the same, the very same(t.d.it is the very same house); one and the same thing, the (very) same thing(t.d.it is the (very) same thing everywhere);eitt av tveimumone of two things, (either) one (thing) or the other;í einum og øllumentirely(t.d.I agree entirely with you), in every respect;hon aktaði hann í einum og øllumshe obeyed him implicitly;himmal og hav í einumthe horizon was blotted out;eitt aftratanother(t.d.may I have another piece?);hesa einu ferðina hjálpi eg tær(just) this once I will help you
