p	(málfr.)consonant, /pe:/
presteinkja	clergyman'sel.minister's widowetc
prestferð	(gl.)conveyance and the travelling around of a cleergyman
prestfíggindaligur	anticlerical
prestflutningur	(gl.)conveyance of a clergyman
prestfólk	síprestafólk
presthagi	(landb.)outfield belonging to a clergyman's glebe;dalarnir fyri norðan lógu undir presthaganumthe valleys to the north were part of the clergyman's glebe
presthald	(gl.)[compensation which a Faroese clergyman's host received when a clergyman was travelling around (his parish)]
presthatari	priest-hater
presthús	a clergyman's lodgings, a clergyman's place of sojourn (while travelling around his parish)
prestinna	(átr.)heathenel.pagan priestess
prestisja	prestige
prestisjubygging	1(ítøkiligt) prestige building project2(íbreið. merk.)prestige building
prestisjumál	síprestisjuspurningur
prestisjumissur	loss of prestige;(tlm.)loss of face; knock(t.d.the reputation of the X party has taken a knock)
prestisjuspurningur	showcase;hjá honum er tað ein spurningur um prestisjuit is a matter of prestige for him
prestisjutap	loss of prestige;(tlm.)loss of face; knock(t.d.the reputation of the X party has taken a knock)
prestisjuverkætlan	prestige project
prestisjuvirði	prestige value
prestjørð	(landb.)glebe, land belonging to a clergyman;prestjørðin er ikki til longur, hon er gingin til festijørðglebe doesn't exist anymore, it has been transferred to copyhold farms
prestklæddur	dressed in vestments
prestkona	síprestakona
prestloysi	lack of clergyman in a parish;tá var prestloysi her í oynniat the time the island had no clergyman
prestlærdur	educated as a clergyman, (fully) trainedel.qualified clergyman
prestmaður	(skemt.)clergyman
prestsetur	vicarage;prestsetrið í Jansagerðithe vicarage of Jansagerði
prestsonur	clergyman's son
presttal	(kirkj., sø.)[the money the Faroese clergyman received from every communicant]
presttilhald	(kirkj.)a clergyman's lodgings, a clergyman's place of sojourn (when visiting one of the remote villages of the parish)
prestur	1(breiðasta hugtakið er nú) minister of religion(t.d.certified by a magistrate or a minister of religion)2(katólskur, ikkikristin, og heiti á prestum í ensku ríkiskirkjuni) priest3(í ensku ríkiskirkjunivanl.)clergyman;(tlm.)parson;(løgfr.)clerk in holy orders4(fríkirkjuligur) minister5(ikkibretskur, protestantiskur) clergyman, pastor6(sjúkrahúsprestur, fongsulsprestur, herpresturo.tíl.)chaplain; (herprestur,tlm.)padre7(sóknarprestur) rector, vicar;(tlm.)parson8(sum hevur embætið) incumbent9(hjálparprestur) curate10[íyms.samb.](tilt.) døma prest frá kjóla og kragaunfrock a priest;lesa//skriva sum ein presturbe good at reading//writing;lesa fyri prestibe prepared for confirmation;fáa prestsins hond á høvdiðbe confirmed;verða prestvígdurtake (holy) orders, enter the church,(tlm.)take the cloth;vera prestur (eis.)be in (holy) orders;kvinnuligur prestur[female minister of religion];lesa til prestprepare for holy orders, read for the Church
prestvíga	(kirkj.)ordain (sby);verða prestvígdurbe ordained, take holy orders
prestvígsla	(kirkj.)ordination
pret	(stb.)trick, dodge, piece of finesse, gimmick, ploy;tað var eitt snilt pret fyri at fólk skuldu ikki vita, hvat hann veruliga ætlaðiit was all a ploy to distract attention from his real aims
pretin	1proud, conceited, self-important;hann var bæði pretin og stolturhe was a very self-important man2very beautifullyel.nicely dressed;tú situr so prúð og pretin fyri mæryou sit there in front of me fair and very nicely dressed3(um plagg, of clothing) rather tight, rather tight-fitting, rather close-fitting
pretna	pretnaupp/pretnastbe cheered up, improve, recover;tá ið hann hevði etið, pretnaði hann uppafter having eaten he cheered up;vit vóru nú komnir á heimliga leið, og menninir pretnaðustwe had reached home waters and the crew's mood improved considerably;so við og við pretnaðist hannhe recovered/he improved/cheered up gradually
pretta	1tease, pull sby's leg, poke fun at sby2reproach with(t.d.reproach sby with treason), (um eitt ið er farið fram) reproach for, blame for, upbraid with(t.d.they reproached him for his treason; you cannot blame him for running away); prettae-n við e-mlay the blame on sby, hold sby responsible for sth
prettin	quick to lay blame on othersel.hold others responsible (for sth)
prev	(stb.)slight intoxication
priðari	1(stb.)peg, wooden pin2(sigl.)síprikkari
priði	sting, point; nail;hann rendi ein priða í holdið á honumhe jabbed him with a pointed instrument
prik	1prick;(fl.m.) geva e-m eitt prikbe sarcastic at sby's expense, needle sby, constantly nag (at) sby(t.d.she is always nagging [at] him)2slight intoxication;hann hevði eitt lítið prikhe was a bit tight3(kortsp.)cover with a low trump card
prika	1prick (withorlike a pointed instrument); prikae-n í búkinprod sby in the stomach;prika hol á e-tprick a hole in sth;prika fliðurloosen limpets from the rock (with a knife)2(kortsp., skemt.)cover with a low (small) trump card3chaff, tease, banter4tickle;tað prikar í fótinummy foot tickles (beinið svevur)
prikari	síprikkari
prikka	dot, prick; prikkaeina linjudot a line;eggið er prikkað við smáum og stórum blettumthe egg has small and large spots
prikkabeinur	(stb.)straight as an arrow;klokkan var prikkabeinthe clock was accurate
prikkafiskur	(fisk.)spotted deep-sea fish
prikkari	(sigl.)a stick with an iron point (used by fishermen to move fish about with)
prikkastrika	dotted line
prikkur	1point, dot2(stb.)night light (glass of kerosine with a wick)
prikkutur	(við nógvum smáum blettum) spotted, dotted; (sum er prikkar) dotted(t.d.line)
prilla1	1(stb.)(on the eyelid) sty;(lækn.)hordeolum, sívágpirra2(skemt., stb.)double chin;hava prillu undir høkunihave a double chin
prilla2	sípritla
primaballerina	prima ballerina, première danseuse
primadonna	(í leikhúsi) leading lady; (í operu) prima donna;(speis.)prima donna
primitivisma	primitivism
primitivistiskur	primitivist
primitivistur	primitivist
primtal	(stfr.)sífrumtal
primula	sífransagras
primus	primus (stove), camping stove
primus motor	prime mover
prinsa	(tlm.) prinsa særloaf;tú hevur ligið og prinsað tær í tríggjar dagaryou haven't done a hand's turn for three days now
prinsahjún	prince and princess; royal couple
prinsaligur	1princely2[sumhj]prinsaliga; like a prince, in princely fashion
prinsessa	princess;konglig prinsessaprincess of the blood; síeis.kongsdóttir
prinsessukjóli	princess(e) frock
prinsipp	princip; síaðalregla,grundregla,meginregla,frumregla,frumsetningur,høvuðsregla,meginviðtøka;sjónarmið
prinsippleysur	sístøðuleysur
prinsur	1prince, síeis.kongssonur2(dýr.)shag in the second year (before its feet have turned black)
pripni	touchiness, testiness, sensitiveness, thin-skinnedness, resentment, irritability
pripp	touchiness, testiness, sensitiveness, thin-skinnedness, resentment, irritability;fáael.hava pripp til e-nbear(el.have) a grudge against sby;nú var pripp í honumhe was resentful;pripp kom í hannhe became somewhat angryel.offended
prippin	touchy, particular, testy, sensitive; easily offendedel.irritated, quick to take offence, resentful
pripputur	(sj.)síprippin
prisma	1(alisfr.)prism2(stfr.)prism3(í ljósakrúnu) drop, crystal, lustre
prismubróting	(alisfr.)prismatic refraction
prismudánaður	prismatic
prismukikari	prism(atic) binocular(s), field glasses(flt)
prismulagaður	prismatic
prismuljósakróna	crystal chandelier
prismuskapaður	prismatic
pritla	tease, be sarcastic at sby's expense; needle sby; (javnt og samt) nag (at) sby(t.d.she is always nagging (at) him);(tlm.)get at sby(t.d.he's always getting at her); pritlaundirhurry/hustle sby
privat-	private(t.d.expenses; interests; property; road; school); síeis.einskildur,einskiljingar-
privatbilur	private car,(am.)private automobile
privatfólk	private individuals
privatkapitalisma	(private) capitalism; (the system of) private enterprise
privatkapitalistiskur	capitalist(ic)
privatlív	private life, privacy(t.d.he resented any intrusion on his privacy); síheimalív
privatmaður	private person, private citizen, private individual
privatmál	private affair, personal matter
privatsjúkrahús	private hospital
privatskúli	private school
privatur	private(t.d.expenses; interests; property; road; school); (persónligur) private, personal(t.d.my personal opinion); (í trúnaði) confidential; (í tøttumsamb., eis.)intimate; síeinskildur
príla	1cut a colt's mane and tail2trim;hann prílaði skeggiðhe trimmed his beard
prílmánaður	(tlm.)April, the month of April
prílur	(tlm.)April
prílus	(stb., skemt.)síprílur
prís	(bíbl.)síprísur2
prísa	1praise, celebrate, commend; (ógvisligari) glorify, laud, extol; prísae-mpraise sby;prísa Gudipraise God;Gud, vit prísa og takka tærGod, we praise and thank you2price(t.d.the assistant priced the garments before putting them on display)
prísan	praise, celebration, glorification
prísansari	(bú.)price controller
prísansing	(bú.)price control
prísáseting	(bú.)pricing, the fixing of prices
prísbroyting	price change;vit skila okkum til at broyta prísin uttan at boða frá frammanundanprices are subject to alteration/revision (without notice)
príseftiransing	(bú.)price control
príseftirlit	(bú.)price control, price restriction, price curbs(GG:oftast íflt; t.d.price curbs hit homebuyers hard);príseftirlitið við sukri varð strikaðsugar was de-controlled
prísgerð	(handilsm.)price formation
príshækkan	(bú.)rise inel.of price(s), price rise
prísískoyti	extrael.additional charge
prískrav	asking price
príslag	(handilsm.)price level; price trends; price situation;príslagið hækkaðithe price level rose
príslagsbroytingar	(handilsm.)fluctuations of the market, state of the market, trade outlook;príslagsbroytingar (eis.)trade conditions, market trends
príslagsgongd	(handilsm.)price fluctuation, fluctuations of prices; fluctuations of the market, market fluctuations, state of the market, trade outlook;príslagsgongdin (eis.)trade conditions, market trends
príslagstreytaður	(handilsm.)cyclical(t.d.unemployment)
príslagsvinningur	(handilsm.)profit owing to fluctuations of the market
príslega	(bú.)price level;høg//lág príslegahigh//low price level
prísliga	concerning prices
príslisti	price list
príslækkan	(bú.)fall in price; (víðfevnd) fall in prices; (knappilig) slump
prísmerkja	price-mark;prísmerktar vørurprice-marked goods
prísmunur	difference inel.of price, price differential
prísráð	(bú.)Prices Board; (íBretl.)the Price Regulation Committee; (í USA) the Office of Price Administration, the OPA
príssteðgur	(bú.)price stop, price stabilization, (price) ceiling, price freeze, prices standstill;seta príssteðg í verk (eis.)freeze prices;príssteðgur hesum vørum viðvíkjandia (price) ceiling on these goods
prístal	(bú.)price index, index figure; (hagtalstøl: fyri livikostnað) cost-of-living index
prístalsbundin lán	(handilsm.) index-linked loans
prístalsfamilja	[type of family on the basis of whose budget the cost-of-living index is computed]
prístalsjavnaður	index-linked(t.d.wage scheme)
prístalsjavning	indexation, index-linking; (av løn) wage indexation
prístalsnevnd	cost-of-living board
prístalsviðbót	(bú.)wage indexation
prístalsviðgera	(bú.)index
prístalsviðgerð	indexation, index-linking; (av løn) wage indexation
prísuppskot	(handilsm.)suggested price, asking price
prísur	1price(t.d.the price of the goods); (sum verður kravdur) price(t.d.what is the price of the room?); charge(t.d.what is your charge for board?); terms(t.d.his terms are £20, 000 per year); (fyri flutning) fare(t.d.what is the fare to Oxford?); (viðv. partabrøvum)bjóða starvsfólkum partabrøv til lagaligan prísstock option2(virðisløn) prize(t.d.he won the prize; the Nobel Prize); award3(prísmerki) price label, price tag, price ticket(t.d.the goods must be furnished with price labels); (prísskelti í sýnisglugga) showcard4praise
prísviðbót	(bú.)price subsidy
problem	problem; sívandamál,vansi,vansamál,spurningur,mál,trupulleiki(t.d.samfelagstrupulleiki)
professaraembæti	professorship, chair (of)(t.d.a chair of history);vera professari í søguhold a professorship in(el.a chair of) history
professaratign	(tignarstøða) professorial dignity; (starv) professorship
professaraveldi	professorial power
professari	(skúlam.)professor
profetera	(bíbl.)prophesy
profetur	(bíbl.)prophet;profeturin (t.e.Muhammed) the Prophet;svikaprofetur/lygipro-fetur/falslærarifalse prophet;ansið tykkum fyri falslærarum (bíbl.)beware of false prophets;ein profetur er ongantíð virdur í egnum landino one is a prophet in his own country;lógin og profetarnir (bíbl.)the Law and the Prophets;teir smáu profetarnirthe minor/lesser prophets;teir stóru profetarnirthe major prophets
promilla	(stfr.)per thousand(t.d.the error is less than two per thousand)
promillukoyring	drink-driving;(am.)drunk-driving
propan	(evnafr.)propane
proppa	1(fylla) cram, stuff, pack (with); (við mati, kunnleika) cram, stuff;proppa e-n við onkrumcram sby with sth;proppa seg (við e-m)gorge/stuff oneself with sth2(trýsta saman) cram, stuff, pack, squeeze (into)(t.d.cram/stuff clothes into a bag; pack people into a room); bundle(t.d.I bundled the six children into the car)3(seta propp í) plug; (í fløsku) cork
propptrekkjari	corkscrew
proppur	1(til fløskuo.tíl.)cork; (av gummi, glasio.tíl.)stopper2(í vaski, baðikario.tíl.)plug, waste plug3(at tetta holel.at seta fyri hol í motorio.tíl.)plug4(spunsl) bung5(ravm.,sikkring) (plug) fuse6(lágt, tjúkt fólk, tøppur) dumpling7(tlm.) hann fekk propphe was in a fit of rage/anger//frustration
props	props
prosa	(bókm.)prose(t.d.in prose)
prosarithøvundur	(bókm.)prose writer
prosaskald	(bókm.)prose poet
prosasnið	(bókm.)prose (form)
prosastílur	(bókm.)prose style
prosasøga	(bókm.)prose story
prosaverk	(bókm.)prose work
prosayrking	(bókm.)prose poem
prosent	1per cent, pc,(am.tíðast) percent, pct(GG:% -merkið verður sjáldan nýtt uttan í náttúruvísindaligum høpi; skattaprosent verða í Onglandi lýst sum:pence in the pound)2(prosentpartur) percentage(t.d.the percentage of alcohol in a wine)3(prosentlutfall) ratio(t.d.the ratio of exports to imports is 80 per cent)
prosentavsláttur	percentage rebate
prosentinnihald	percentage(t.d.a small percentage of water)
prosentlutfall	ratio
prosentpartur	percentage
prosentrokning	calculation of percentages
prosentstig	percentage point
prosenttal	percentage, ratio
prosenttekn	percent sign
protein	(evnafr.)protein
proteinbundin	protein-bound;proteinbundið jodprotein-bound iodine
proteinevni	síeggjahvítaevni
proteinleysur	protein-free
proteinlítil	low-protein
proteinmikil	(viðsett) high-protein(t.d.diet); (sum umsagnarliður til grundlið) highel.rich in protein(t.d.this meal is high in protein)
proteinnøgd	protein content
proteintørvur	protein requirement
protektionisma	(bú.)protection(ism); síeis.tollverjustevna
protektionistiskur	(bú.)protectionist; síeis.tollverjuhugaður
protektionistur	(bú.)protectionist; síeis.tollverjufólk
protestantiskur	(átr.)Protestant(t.d.the Protestant religion)
protestantisma	(átr.)Protestantism
protestantur	(átr.)Protestant
proton	(alisfr.)proton
protonplasma	(alisfr.)protoplasm
proviantera	provision, victual; take in supplies
proviantrúm	storeroom
proviantur	(sigl.)provisions(flt),(tíðum) supplies(flt); útgera við proviantiprovision, victual(t.d.an army; a ship);taka proviant inntake in supplies/provisions
proxy-ambætari	proxy server
proysur	(sigl.)síprentis
prófastur	(gl.)sheriff(t.e.sýslumaður)
prógv	1(avgerandi metingarstøði) proof(umof;um atthat)2(vitnisburður) evidence(umof;um atthat)(GG: eitt prógva piece of evidence)3(próvgrund) argument4(próvførsla) demonstration(t.d.Newton's demonstration of the law of gravitation)5(tekin um kenslur) proof, demonstration, evidence, manifestation(t.d.a manifestation of friendly feelings); token;útsjónd hansara bar prógv um arbeiðssemihis appearance was proof of his being hard-working6(kvittan) receipt7(váttan, próvtøkuprógvo.tíl.)certificate; prógví gudfrøðidegree in divinity;taka prógv í læknafrøðigraduate in medicine8examination;fara upp til prógvtake/sit for an examination;fáa/taka prógvpass an examination,(eis.)pass one's final examination, take a degree, graduate9(løgfr.prógv í máli) case(t.d.there is no case against the prisoner); evidence;fullfíggjað prógvproper evidence;avgerandi prógvconclusive proof,(eis.)a decisive piece of evidence;verða dømdur eftir próvnumbe convicted on proof;fáa nýggja prógv til vegaamplify previous evidence;leggja fram prógv umadduce arguments/evidence in support of(t.d.a theory);verða fríkendur tí prógvini eru ikki haldgóðbe acquitted because of lack of evidence;meint prógva damning piece of evidence;prógvaprove/demonstrate;reka prógv hansara afturrefute his evidence/arguments;veita prógv um skuldgive one's IOU (= I owe you);prógva at eitt er so (eis.)substantiate(t.d.a theory);óbeinleiðis prógvpiece of circumstantial evidence;geva prógv umfurnish proof; furnish evidence;(gl.) skjóta til próvs/prógvargive evidence, witness, designate as a witness;prógv er um at (eis.)it goes to show that;tað øvuta er ikki prógvaðthere is no evidence to the contrary;hann var ikki førur fyri at prógvahe failed to prove it;sum prógv um hetta ber til at sigain evidence of this it may be adduced that;soleiðis sum prógvini eru (løgfr.)because of the state of the evidence;haldgóð prógv um atstrong evidence that;haldgóð prógv ímótia strong case against;ítøkiligt prógv uma palpable proof of;prógv ið sigur nógvan eloquent proof, eloquent piece of evidence;sum prógv umin proof of, in substantiation of, to prove/show, as a token of (t.d.our gratitude);prógv ið ikki rekst afturat irrefutable evidence/proof that
prógva	1(bera prógv um) prove(t.d.that he is guilty); demonstrate, establish, substantiate(t.d.the truth of a theory)2(vera prógv um) prove(t.d.this fact proves his guilt); show, go to prove, go to show(t.d.this fact goes to show that the theory is correct)3[íyms.samb.]prógva skuldsetingsubstantiate a charge;fullprógvaðurproved up to the hilt;óprógvaðurunproved;prógva uppáhaldiðestablish/prove one's assertion/one's case, make one's case; make good one's claim;prógva seg ósekanprove/establish one's innocence
prógvhoyrari	oral examiner
prógvhoyring	examination
prógvhoyringartíð	examination period
prónur	large pin, fixing pin, long pin with head of glassel.silver
próstadømi	(kirkj.)deanery
próstaembæti	rural deanery
próstagarður	rural deanery
próstakona	(rural) dean's wife
próstarættur	(kirkj.)(samsvararuml.við) consistory court
próstur	(kirkj.)dean
próvbók	(skúlam.)examination register
próvbókarblað	transcript of records
próvbræv	(skúlam.)certificate(t.d.matriculation certificate; degree certificate); examination certificate; paper qualifications;(serst. viðv.høgum prógvum) diploma; (fráfaringarprógv) leaving certificate
próvbyrði	(løgfr.)burdenel.onus of proof;hann hevur próvbyrðithe burden of proof lies with him;próvbyrðina má hann hava, ið vil siga, at Føroyar ikki kunnu taka fullveldithe burden of proof lies with him who claims that the Faroes cannot break away from Denmark
próvdómari	(skúlam.)external examiner(GG:a panel of travelling examiners);tilnevndur próvdómariofficially appointed external examiner;fremmandur próvdómariexternal examiner
próvdygd	(løgfr.)weight (as evidence), evidential weight
próvdøma	(skúlam.)mark
próvdøming	(skúlam.)marking
próvfastur	(løgfr.)proved by evidence, well-attested, attested by eyewitnesses;próvfast skjaldocument drawn up in the presence of witnesses;próvfast var, at drongurin hevði stoliðit was attested by eyewitnesses that the boy had stolen
próvføra	(løgfr.)prove(t.d.that he is guilty); demonstrate, establish, substantiate(t.d.the truth of a theory)
próvførsla	(løgfr.)production of evidence; argumentation
próvgrund	argument, basis of evidence;nýta sum próvgrund fyri (at)put forward sth as an argument for(el.for -ing);hann legði fram sum próvgrund athe adduced the argument that, he argued that;reka aftur við at nýta próvgrundirnar hjá hinum partinumbeat sby with his//heretcown arguments;geva haldgóðar próvgrundir fyri e-mgive sound arguments for sth
próvlestur	(skúlam.)workingel.reading for an examination
próvleysur	1próvleys lærugreinnon-examination subject2unproven
próvmegi	weight (as evidence), evidential weight
próvmerki	(skúlam.)(examination) marks,(am.)examination grades
próvnám	(fróðsk.)diploma-awarding study
próvrað	(løgfr.)accumulating evidence
próvroynd	(skúlam.)examination
próvskeið	(skúlam.)diploma-awarding course
próvskjal	(skúlam.)certificate(t.d.matriculation certificate; degree certificate); examination certificate;(serst. viðv.høgum prógvi) diploma; (fráfaringarroynd) leaving certificate
próvskúli	(skúlam.)diploma-awarding school
próvskylda	sípóvbyrði
próvsteinur	touchstone; basanite
próvtakari	(skúlam.)examinee; (til endaligt prógv) candidate(t.d.candidates will be required to satisfy the examiners that they have an adequate command of the spoken language)
próvtal	(skúlam.)(examination) mark,(am.)examination grade
próvtalsbók	(skúlam.)mark book; (samsvarar tíðum við) report;(am.)grade book; report card
próvtalsstigi	(skúlam.)marking scale
próvtilfar	(løgfr.)evidence
próvtøka	examination;fara (upp) til próvtøkutake/sit for an examination;standa próvtøkupass an examination
próvtøkuár	year of examination
próvtøkuflokkur	form preparing for an examination
próvtøkuhald	examination
próvtøkuháttur	type of examinationel.exam
próvtøkuinnskriving	registration for an exam, exam registration
próvtøkukrav	examination requirement, (examination) syllabus; (verkini sum skulu uppgevast) the set books
próvtøkulestur	workingel.reading for an examination
próvtøkulærugrein	examination subject
próvtøkureglur	examination regulations
próvtøkusetningur	examination syllabus
próvtøkuskipan	examination system
próvtøkuskúli	sípróvskúli
próvtøkuspurningur	examination question
próvtøkustig	graduate level
próvtøkustova	examination room
próvtøkutíð	examination period
próvtøkuumsjón	(fólk) invigilator;(am.)proctor
próvtøkuuppgáva	(skrivlig) examination paper;(serst.blað við spurningum) question paper; (svarið, úrslitið) answer paper;rætta próvtøkuuppgávurmark (examination) papers;(am.)grade papers
próvtøkuuppgeving	booksel.texts offered for an examination
próvtøkuúrslit	examination result
próvtøkuvakt	invigilator,(am.)proctor
prukka1	stick, cane;hann hevði eina prukku í hondinihe had a stick in his hand
prukka2	shart(st.shit and fart)
prumpa	break wind; (helduróvand.)fart
prumpur	wind; (helduróvand.)fart
prumsintur	(gl.)stubborn, sullen, surly, sulky, morose
prunella	(plfr.)síbátsmanshattur
prunk	(sj.)ostentation, show, pomp, display, panache
prunka	decorate(t.d.a dinner table with flowers); dress(t.d.a shop window); deck (out)(t.d.a street with flags); adorn, ornament;(niðr.)prettify;hon prunkaði lagkøkunashe decorated the layer cake; sípynta
prus	(lækn.)small wound, abrasionel.excoriation
prusal	(lækn.)síprus
prusali	(lækn.)síprus;eg fekk eitt lítið prusali á hondinaI scratched my hand
Prussland	(sern., landafr., sø.)Prussia
prusslendingur	Prussian
prusslendskur	Prussian;prusslendsk hergongagoosestep;prusslendska ørninthe Prussian eagle
prusur	(stb.)síprus
pruta1	(stb., sj.)blackhead, síeis.døkkormur
pruta2	(stb.)break wind, (helduróvand.)fart
prutl	1bubble, simmer2reportsel.bangs which follow in quick succession3wind, (helduróvand.)fart4moped, power(ed) bike;koyra á prutliride a moped
prutla	1make a noise with one's mouth(e.g.of children); prutlaeftir e-mput/stick out one's tongue at sth2(gl.)shoot, crackel.bang continously3(um vatn) boil, gush, well, bubble;(tilt.) tað prutlar undir loki(num)smoulder (beneath the surface)
prutlkoyrari	moped rider
prutta	(tlm.)haggle, bargain,(am.)barter, dicker(við e-nwith sby,um e-tover sth);prutta e-n niðurbeat sby down;prutta e-t niður (t.d.eina vøru) beat down the price of sth
prúdd	statelyel.impressive appearance;tarvurin var tiltikin fyri prúddthe bull was renowned for its impressive build;hann gav beiggjanum einki eftir í prúdd og styrkihe was just as impressive and strong as his brother
prúdleiki	statelyel.impressive appearance
prúdligur	plump, rotund;hon var stór og prúdlig konashe was a tall and plump woman
prúðka	grow big and strong;hann er nógv prúðkaðurhe's grown big and strong (lately)
prúðleiki	síprúdleiki
prúður	1big and strong in appearance, hefty;hann er so prúður drongur, sum nøkur genta kann ynskja særhe is as big and strong as any girl could wish for;prúðir fossarimpressive waterfalls;prúða land míttmy proud and beloved country;nú situr tú prúð!serves you right!2plump, rotund, well-fed, well-nourished, (um manneis.)beefy;hon er prúð (eis.)she is pregnant
Prytaneion	(sern., sø.)Prytaneum
prytani	(sø.)prytanis
prýða	decorate(t.d.a dinner table with flowers); dress(t.d.a shop window); deck (out)(t.d.a street with flags); adorn, ornament;(niðr.)prettify; prýðabók við myndumornament a book with pictures; sípynta
prýði	1ornament, adornment, embellishment; something that serves as an ornament;til prýðisornamental, for ornament2ornament,kirkjan er eitt satt prýði fyri bygdinathe church is an ornament for the village;listafólk sum hava verið eitt prýði fyri teirra tíðartists who have adorned their age;hon er eitt prýði fyri sína stættshe is an ornament to her profession3(kvæð.)praise, honour, glory;Koraldur vóks upp við prýðiKoraldur was brought up to uphold honour
prýðiligur	ornamental, decorative; splendid, magnificent, grand; prýðiligurborðbúnaðurmagnificent silver and table linen
prýðilisti	(t.d. á bili)(garnish) moulding
prýðing	ornament, embellishment, decoration, adornment
prýðisgripur	ornament
prýðisígða	(fugl.)eurasian bullfinch(Pyrrhula pyrrhula)(Linnaeus, 1758)©NTNU
prýðislutur	ornament
prýðisnál	pushpin
prýðisplanta	(plfr.)sískreytplanta
prýðka	ornament, adorn, embellish, decorate, grace(t.d.fine paintings graced the walls of the room);tað hevði prýðkað umit would have embellished(t.d.the room)
prædika1	(kirkj.)sermon
prædika2	1(kirkj.)preach (a sermon), deliver a sermon;(tilt.) ikki gongst altíð sum prestur prædikarthings are not always as black as they are painted2(moralisera) preach; prædikalýdni og agapreach obedience and discipline to sby
prædikari	(kirkj.)preacher;Prædikarin (bíbl.)the Preacher,Prædikarans bókEcclesiastes
prædikastólur	(kirkj.)pulpit;á prædikastólinumin the pulpit;fara á prædikastólinascend the pulpit
prædikumaður	(átr.)(lay) preacher
prædikutekstur	(kirkj.)the text of the day
prøva	1(kanna) try; test(t.d.test the tank for tightness); examine2(royna) try, attempt, endeavour; (royna í nýtslu) try (out)(t.d.try a new remedy; each machine is tried before it leaves the shop; try out a new method, try out a recipe); síroyna
prøvi	1(kanning) trial, test, testing, examination;(tøkn., evnafr.)test, testing; (vísindalig roynd) experiment2(trade) sample; specimen; test piece; síeis.roynd
psoriasis	(lækn.)psoriasis
psoriasissjúklingur	psoriatic
p-tal	sípersónstal
ptolemeiskur	Ptolemaic;ptolemeiska skipaninthe Ptolemaic system
Ptolemeus	(sern.)Ptolemy
pu	(av tógvi, fjøðuro.tíl.)fluff
pua1	1(barnam., sj.)dried-up snot2(vísa misnøgd)pua e-n úthiss/boo/hoot sby (off the stage, the platformo.tíl.);Sgive sby(t.d.an actor) the bird;verða puaður útbe hissed/booed/hooted off the stage(o.tíl.),Sget the bird(eis. t.d.he was greeted with catcalls)
pua2	(barnam., stb.)puurnar locks (of hair);eg skal taka í puurnar á tærI'll pull you by the locks
pua3	1fluff;dýnan puarthe eiderdown fluffs2pua út(um líra, of the young of the Manx shearwater) peep out;lírin puar útthe young of the manx shearwater peeps out
puddilhundur	poodle
puertorikani	Puerto Rican
Puerto Riko	(sern., landafr.)Puerto Rico
puertorikskur el.puertorikanskur	Puerto Rican
puff1	panting, puffing;puffini hoyrdusthuffing and puffing could be heard
puff2	(box) ottoman, pouf(fe)
puff3	(av møði) huff; (av hita) phew!(t.d.phew! it is hot here!); (tí eitt kemur væl við) whew!(t.d.whew! that was a relief!);puff, puff!huff and puff!
puffa	pant, puff
pufferma	puff sleeve
puing	(sum tekin um misnøgd) catcalls(flt),hissing
pullartur	(sigl.)bollard, bitt
pullur	1small feather2a small bird
pulshosur	thick woollen overstockingsflt,ski socksflt
pulsslag	pulsation, beat of the pulse
pulsur	1(likam.)pulse; heart rate; pulse rate(t.d.the doctor checked her pulse rate);taka pulsinfeel/take sby's pulse;linur pulsursoft pulse;títtur/høgur pulsurrapid pulse;harður pulsurhard pulse;lágur pulsurslow pulse;veikur pulsurweak pulse, poor pulse volume;eingin pulsurfailing pulse;regluligur pulsurnormal pulse;óregluligur pulsurirregular/intermittent pulse2(flm.) hava fingurin á pulsinumkeep one's finger on the pulse(t.d.the company is known to keep its finger on the pulse);fáa pulsin uppquicken sb's pulse(t.d.the news could not quicken my pulse)
pulsæðr	(likam.)artery
pultur	1desk2(tøkn.)switchboard, panel, instrument table
pulvur	powder (skordýramiðaleis.)dust(t.d.dusts that kill insects by contact);stroya pulvur ápowder, sprinkle with powder
pulvurkaffi	instant coffee
pulvurkendur	powdery
pulvurmjólk	síturrmjólk
pulvursløkkjari	dryel.powder extinguisher
pulvurspjaðari	powder sprinkler
pummirskur	Pomeranian; pummirskurviðurPomeranian wood;pummirskur stokkura Pommeranian stem/bole/trunk of tree
pumpa1	pump
pumpa2	1(vatn úr brunni) pump; (tøma) empty; pumpabátinempty the boat;(lækn.) pumpa útpump out2(fylla við luft) blow up, pump up, inflate
pumpari	(óvand.)person who drinks hair lotion (and the like)
pumpigreiður	(tøkn.)pump gear
pumping	pumping
pumpuhaldari	(á súkklu) pump clip
pumpuhús	pump house
pumpupallur	(oljuv.)booster platform
pumpuringur	1(dýr.)young male eider when it begins to get its white colour2(skemt.)degree of relationship beyondfermenningar(sífermenningur);vit eru pumpuringarwe are very distant relations
pumpuroykur	(sigl.)foul smell of bilge water
pumpuskipan	(tøkn.)pumping systemel.arrangement
pumpuskógvur	(tøkn.)pump bucket
pumpuslanga	pump hose
pumpustempul	(tøkn.)pump piston
pumpustong	1(tøkn.;sum ber stemplið) pump rod2(handtak) pump handle
pumpuvatn	(sigl.)bilge
pumpuventilur	1(tøkn.)pump valve2(tónl:í blásiljóðføri.) piston
pumpuverk	(tøkn.)pumping apparatus, pump
