d	(eis. tónl.)D, d
dumpikandidatur	(til próvtøku) ploughed candidate; candidate who has no chance of passing; (í samb. v.val) defeated candidate; loser; candidate who has no chance of being elected;(tlm.)non-starter
dumpilærugrein	failing subject
dumpimark	minimum (marks), lowest pass mark
dumpiprosent	percentage of failures, failure rate
dumpipróvtal	fail(ing) mark
dums	1heavy fall; thud2(teld.)dump
dumsa	1thud, tumble, fall with a thud2let go with a thud3(teld.)dump
dun	rumble, roaring,dunið frá havinumthe roaring of the sea
duna	rumble, roar(t.d.the sea roars)
dunan	sídun
dundi	sídynja
dundra	thunder, rumble(t.d.thunder rumbling in the distance), boom(t.d.the distant boom of the guns); (um vind og sjógv) bluster(t.d.outside the wind was blustering)
dundran1	sídundur
dundur1	rumble
dundur2	hava ein góðan dundur be half seas over (, pissed, sloshed, sozzled)
dunga	pile up, heap up,kavin dungar niðurit is snowing heavily; accumulate;dunga ríkidømi samanpile up wealth, amass(el.heap up) riches;(tlm.)make one's pile
dungakavi	snow drift
dungarok	heavy snowstorm
dungi	1heap, pile, mound;tveita eitt upp í dungapile sth up; make a heap of sth2(fornfr.)kitchen midden; dunghill, dungheap, manure(el.muck) heap, compost heap
duni	sídun
dunk	síduk
dunka	síduka
dunkraft	sídonkraft
dunkur	can
dunna	(fugl.)(domestic) duck
dunnast	splash
dunnuber	(plfr.)sea purslane(Honckenya)
dunnubilla	(barn.)duck
dunnuegg	duck's egg
dunnuhald	duck-breeding
dunnuhús	duckhouse
dunnuhylur	duck-pond;heimligi dunnuhylurin (fl.m.:svarar til) the parish pump;seta lív í dunnuhylin (fl.m.)cause a stir; set the cat among the pigeons;okkara egni dunnuhylurour own little backwater
dunnupar	pair of ducks
dunnuspæl	bingo
dunnusteggi	drake
dunnuungi	duckling
dunnuveiði	duck-shooting;(am.)duck hunting;fara á dunnuveiðigo duck-shooting
dunsla	drift, idle,dunsla tíðina burturidle the time away;ganga og dunslastdrift around
dupl	sídupul
dupul	buoy
dupultur	double, twofold, dual
durafjórðingur	geva e-m durafjórðingin show sby the door
duragátt	(stb.)dyr,í osb: eg havi ikki verið uttan duragátt í allan dagI have not been out all day
duragekkur	(sj.)door-case, door-frame
durageykn	(sj.)síduragekkur
duragrind	sídurakarmur
durahella	doorstep
durakarmur	(húsasm.)door-case, door-frame
duraklokka	door bell
durasnapsur	welcome dram
durastavur	(húsasm.)door-post
durasteinur	doorstep
duratjald	portière, (door) curtain
duratrepi	threshold,tú fert ikki um duratrepanyou are not crossing the threshold
duratræ	(húsasm.)lintel
duravaktari	síduravørður
duravørður	door-keeper, porter
durian	durian
durum	sídyr
durur	entrance hall
durva	1slumber, be half asleep, doze, drowse2(stb.)be on the point of falling, be within an ace of falling
dusa	dusa sær make oneself comfortable, enjoy oneself;(lækn.) dusandi evnieuphoriant
dusin	(mát)dozen;eitt dusin av blýantuma(el.one) dozen pencils;seks dusin av blýantumsix dozen pencils (men dozens of pencils);hálvt dusinhalf a dozen;eitt heilt dusina full(el.round) dozen
duskur	(til prýðis) tassel
-duskutur	síill-
dusm	dust; a little bit
dusma	raise dust
dusmutur	dusty
-dusputur	síill-
dussur	(sj., stb.)a cup of tea,(el.coffee)
dust	1dust,savna dustcollect dust;fjaldur undir dusticovered with dust, dust-covered;turka dust av innbúgvidust the furniture;geislavirkið dustradioactive(el.atomic) dust, fall-out;her hevur dust lagt segdust has fallen(el.settled) here;tá ið dustið hevði lagt segwhen the dust had settled2a little bit,har er ikki dustið eftirthere isn't the slightest bit left3(plfr.)pollen4(á firvaldsveingjum) scalesflt5(jarðiskar leivdir) dust, ashesflt,mortal clay, mortal remainsflt
dusta	(plfr.)pollinate; raise (the) dust
dustgingin	dusty
dusting	(plfr.)pollination
dustklútur	duster, dustcloth(fltdustcloths)
dustmikil	dusty
dustrikin	dusty
dustslúkur	(sj.)sídustsúgvari
dustsúgva	vacuum-clean(t.d.vacuum-clean a room; have the house vacuum-cleaned); vacuum
dustsúgvari	vacuum cleaner; vacuum
dustutur	dusty
duttu	sídetta
duvaligur	(óregl.)->doðaligur
duvaveður	(óregl.)->doðaveður
dúga	(óregl.)->dúva 2
dúgligur	1diligent, industrious, hard-working, busy, sedulous, assiduous(t.d.an assiduous reader of our magazine);hj-ligaarbeiða dúgliga við e-mapply oneself diligently to sth, work hard at sth;vitja hann dúgligacall on him(el.visit him) frequently;brúka dúgligamake frequent(el.diligent) use of;hann skonkti dúgligahe plied them with wine (, beero.s.fr.)2excellent3often, frequent,hann er dúgliga burturstaddurhe is often away
dúgva	(fugl.)pigeon;(serl. flutt m., m.a. polit.)dove(t.d.the dove of peace; harmless as a dove; the dove with the olive branch); (til kappingar) pigeon;rock dovesíbládúgvaoriental rufous turtle dovesíeystanturtildúgvastock dovesíholudúgvacommon wood pigeonsímánadúgvaeurasian collared dovesíturkadúgvaturtle dovesíturtildúgva
dúgvualing	pigeon-breeding, pigeon-fancying
dúgvubringa	pigeon breast, breast of pigeon
dúgvuflokkur	flight(el.flock) of pigeons
dúgvuhús	pigeon-house, pigeonry, dovecot(e)
dúgvukurran	cooing (of pigeons(el.doves))
dúgvulortur	pigeon droppings; pigeon manure
dúgvureiður	pigeon's nest
dúgvusteggi	cock pigeon, male pigeon
dúgvusteik	roast pigeon;(am.)roast squab
dúgvuungi	(fugl.)young pigeon
dúka	1cover,dúka borðlay the table2seglið dúkarthe sail bellies out
dúkur	1(woven) cloth2(segldúkur) canvas3(table-)cloth,leggja dúk á borðiðspread the4(flaggdúkur) (sheet of) bunting5(kvæði) sail
dún	1(á fugli) down2(plfr.)down3(fínt, ljóst kropshár) vellus hair,peach fuzz4(skegg) fluff, down;við dúnidowny, fluffy
dúna	pluck
dúnast	(um ungael.pisu) become(el.be) covered with down, fluffy
dúndýna	(samsvarar við) down quilt, eiderdown
dúnhærdur	downy; pubescent
dúnlættur	fluffy, light as a feather
dúnmjúkur	downy, fluffy
dúnungapílur	(plfr.)sallow, goat willow(Salix caprea)
dúnungi	1gosling2(plfr.)catkin3(um ungling) greaser
dúnurt	(plfr.)willow-herb(Epilobium)
dúnutur	(um ungael.pisu) downy
dúra	take a nap, slumber, sleep lightly, doze
dúrast	sídúra
dúrk	(skip.)floor
dúrur	nap, snooze, doze, forty winks;fáa sær ein dúrtake a nap, get(el.have) forty winks, have a kip
dús	(sj.)sídúsi
dúsa1	(bát.)sídúsi
dúsa2	slumber, sleep lightly, doze
dúsi	(bát.)[small boat]
dúsur	(bát.)sídúsi
dúva1	(fugl.)sídúgva
dúva2	rely on, depend on
dúvuungi	(fugl.)sídúgvuungi
dvalarviki	(við landsveg) lay-by
dvaldi	sídvølja
dvali	1(dj.)hibernation; (um onnur dýr enn súgdýreis.)winter torpor;leggjast el. falla í dvalabegin to hibernate;(dj) liggja í dvalahibernate;sum liggur í dvalahibernating;(dj.ogfl.m.) vekja úr dvalawake up2lethargy, torpor; (ónatúrligur) trance;leggjast el. falla í dvalabecome torpid; fall into a trance;(fl.m.)dormant, lie dormant(t.d.feelings that had lain dormant for many years);vekja fólkið úr dvalaarouse the people (from its lethargy)
dveylur	(á skipi) (hand) swab
D-vitamin	(evnafr.)vitamin D
dvína	1yield, give way;dvína undan e-myield to someone, give way to someone2(um illveður, sjúkuo.tíl.)subside, abate(t.d.the storm showed no signs of abating), diminish in strength,illveðrið dvínaðithe storm subsided;(lívfr.) dvínandi(um arvaeginleikar) recessive,dvínandi ílegurrecessive genes
dvíning	decrease, fall, abatement,vera í dvíningbe decreasing
dvøl	1tarrying, lingering, dwelling (sídvølja)2delay, tardiness(t.d.the tardiness of the company's response); stay,dvølin var ikki longthe stay was not long; hesitation, respite;uttan dvølwithout hesitation, without respite3(bú.)respite, reprieve,veita skuldara dvølgive a debtor respite
dvølja	1tarry, linger, pause;dvølja við eitt orð (ein tóna)dwell on a word (, a tone); (tala um) dwell on(t.d.the speaker dwelt on the good qualities of the deceased; he likes to dwell on memories of his childhood); dilate on(t.d.I shall not dilate on this subject); (takast við) dwell on(t.d.let one's thoughts dwell on it); (verða verandi) pause by(t.d.he paused long by the grave);lata eyguni dvølja við e-tlet one's glance(el.eye) rest(el.dwell) on sth2delay, detain, keep,dvølja e-nkeep someone3hesitate, wait4stay,hann dvaldi ikki leingi harhe did not stay there long
-dvølja	sídag-
dvørgakongur	dwarf king
dvørgamál	echo, resonance
dvørgamoy	sídvørgamoyggj
dvørgamoyggj	(kvæð.)dwarf maiden
dvørgasteinbrot	(plfr.)[no English name, an arctic Saxifrage species, growing in Greenland for instance(Saxifraga tenuis)]
dvørgasteinur	(fólktr.)[stone where a dwarf is believed to live]
dvørgastrá	(plfr.)EarlyHair-grass (Aira praecox)
dvørgatól	(fólktr.)dwarf's tool,dvørgatólini smíða sjálva dwarf's tools work by themselves
dvørgflogmús	pipistrelle (pipisrellus pipistrellus)
dvørggrælingur	(fugl.)little stint(Calidris minuta)(Leisler, 1812)Calidris minuta ©iStock
dvørghøna	bantam
dvørgkavbátur	midget submarine
dvørgmási	(fugl.)little gull(Hydrocoloeus miniutus)(Pallas, 1776)Hydrocoloeus-miniutus.jpg
dvørgsmetta	baillon's crake
dvørgspannari	(firv.)narrow-winged pug(Eupithecia nanata)
dvørgspurvur	(fugl.)little bunting(Emberiza pusilla)(Pallas, 1776)Emberiza pusilla ©Blake Matheson
dvørgur	(í sirkusi) midget; (í ævintýri) dwarf; (fólk: minkur) gnome; (um dvørgafólk) pygmy;hann er sannur dvørgurhe is a midget of a man; he is dwarfish
dvørgvaksin	dwarfish, dwarf-like
dvørgvøkstur	dwarfishness;(lækn.)dwarfism, nanism
dygd	1virtue; (góður eginleiki við e-m) virtue, merit, advantage, good point(t.d.one of the good points about this system of central heating; one of the merits of his book)2quality,framúr el. frálík dygdsuperior quality, high grade; choice(t.d.tobacco)3strength, force; value, worth
dygdar-	quality, high-quality, excellent, superior
dygdaravrik	workmanship of high quality, high-class(el.high-quality) workmanship
dygdarbátur	superiorel.excellent boat
dygdareftirlit	quality control,hava dygdareftirlit viðquality-test;(í samb. v.plantur,serl.um epli) index
dygdarfar	sídygdarbátur
dygdarfjøl	dygdarbátur
dygdarfólk	excellentel.capital people
dygdargóðska	excellence
dygdargóður	of good quality
dygdarkona	upright (, honourable) wife
dygdarleysur	unfit for use, useless
dygdarlítil	bad, inferior, adverse, poor
dygdarljós	sídygdarfólk
dygdarmaður	upright (, honourable) man
dygdarmerki	quality mark
dygdarmeting	quality appraisal, rating; (flokking) quality grading(el.assessment)
dygdarmikil	virtuous
dygdarmunur	difference in quality
dygdarringur	bad (fyri for), harmful, damaging (fyri to)
dygdarríkur	virtuous
dygdartilvitin	quality-conscious
dygdarveður	fine weather
dygdarverk	workmanship of high quality, high-class(el.high-quality) workmanship
dygdarvindil	choice cigar
dygdarvín	quality wine
dygdarvøra	superior(el.high-class) article
dygdugur	upright, honest, honourable, virtuous;(niðr.)prudish, smug, priggish, holier-than-thou
dygð	sídygd
dygðargóður	quality, high-quality
dygðarleysur	without vigour, without strength, without substance, dygðarleysur mjólkmilk with no goodness
dyggan	emphatically, forcibly
dyggiliga	thoroughly, completely, quite, absolutely; firmly
dyggur	1reliable, dependable, loyal; honest, upright, loyal(t.d.colleague)2sound, solid, strong, durable,dyggur kunnleikisound knowledge;dygt støðisolid foundation3(slago.tíl.)sound,fáa ein dyggan brestget a sound(el.good) beating(el.drubbing)
dygst	close to, close by, near to, jammed up against,dygst í klettinvery close to the shore
dygt	firm, hard,tað tók mær dygtthat hurt me a great deal;hann gav honum tað so dygthe gave him a hiding, he gave him a dressing down
dyl	sídylhøvd
dylhøvd	fool, blockhead, dunce, tawpie, ass
dylhøvur	sídylhøvd
dylin	síhulin
dylja	conceal, hide,dylja fyri e-mconceal (, hide) from someone;dylja nakað inniconceal sth; (hava loyniligt) hide(t.d.I have nothing to hide; hide one's intentions); conceal(t.d. one'sintentions, one's joy, one's defects, one's movements); make a secret of,hann dylur ikki fyri at ...he makes no secret of the fact that; disguise(t.d.I do not want to disguise the gravity of the situation); keep dark(t.d.keep one's intentions dark); make no bones about it,er eitthvørt honum ikki dámar dylur hann tað ikkiif he disapproves of sth, he makes no bones about it; make it abundantly clear,hann duldi ikki fyri at honum dámdi meg ikkihe made it abundantly clear that he disliked me
dylla	milk tub
dymb	1dust, fluff2surf haze
dymba	raise dust, fluff
dymbi	sídymb
dymbildagavika	(kirkj.)Holy Week
dynamiskur	dynamic;dynamiskt ravmagndynamic electricity;sí eis.áræsin
dynamitt	dynamite;spreingja við dynamittidynamite; blast with dynamite;ein stong av dynamittia stick of dynamite
dynamittpatrón	stick of dynamite, dynamite cartridge
dynamittspreinging	dynamiting, blasting with dynamite
dynamo	(tøkn.)dynamo, generator
dyngja1	1heap, pile2(stb.)withered grass
dyngja2	pile sth up, make a heap of sth, accumulate;dyngja e-n undir í e-mload (, burden, encumber, trouble) someone;tey dyngdu hana undir í arbeiðithey heaped work on her, they loaded(el.overwhelmed) her with work
dyngjugosfjall	(jarðfr.)shield volcano
dyngjumosi	(plfr.)grey moss(Grimmia hypnoides)
dyningur	(um sjógv) (ground) swell
dynja	rumble, boom, thunder
dyntil	(upprfr.)->dintil
dynur	(kvæð.)boom, noise, din
dypp	(matur) sauce, dipping, dip
dyppa	1dip, immerse, (brádliga) plunge2dip in cold water, cold plunge
dypping	cold water dipping, cold plunge, cold water immersion
dyppkókari	immersion heater
dyr	dyrnar, bd hvmf durunum)flt1door, doorway2entrance hall3[ísamb.viðfs]avdurunumout of the door;ádurunumto the door;fyridurunumoutside;fara út fyri dyrgo outside;so skjótt hann kom út fyri dyras soon as he got outside;(fl.m.) standa fyri durumbe at hand, be imminent, be just round the corner(t.d.war is imminent; prosperity is just round the corner; winter is at hand);várið stendur fyri durum (eis.)spring will soon be here;(tilt.) sópa tú fyri tínum durumyou mind your own business!, you are living in a glass house; look nearer home!;eg havi ikki verið uttan fyri dyrnar í dagI haven't been out(el.outdoors) today;set ongantíð fótinn ummínar dyr afturdon't set foot in my house again;innanduraindoors, within doors;ídurunumin the doorway;deyðin er í durunum, sídeyði;ganga í dyrremain standing in the doorway; never darken my door again;fylgja e-mtildyrnarsee sby out;rennaupp ádyrnar hjá e-mcamp on sby's doorstep, pester sby (with one's visits), beat a path to sby's door; (í flokki) mob(t.d.he was mobbed by reporters);handlaviðdyrnarsell(el.hawk) from door to door;bidda við dyrnarbeg from door to door4(teld.)gateway
dyrgja	1troll2(fl.m.)fish for(t.d.an invitation, information, compliments);dyrgja eftir atkvøðumtry to attract votes3run after girls
dyrka	1cultivate(t.d.land), till, work2(ala) grow, raise3(útbúgva, menna) cultivate(t.d.the moral sense); improve, develop4(tilbiðja) worship(t.d.a god), idolize(t.d.a hero); (gera burturúr) lionize5(røkja vinskap) cultivate the acquaintance of(t.d.you ought to cultivate his acquaintance a little more)6(lívfr.)culture
dyrkan	1cultivation, tillage2growing, raising3(bakteriur) culture4(bíbl.)worship
dyrkari	grower(t.d.wheat grower); student(t.d.a student of archaeology), devotee(t.d.of music), votary(t.d.of sports); worshipper
dyrkijørð	arable land
dyrkilendi	1piece of arable land2area (, acreage) of cultivation
dyrking	cultivation; tillage; growing, raising; (bakteriur) culture;taka nýtt lendi til dyrkingarbring new land into cultivation(el.under the plough)
dys	(sø.)cairn, dolmen; barrow, burial mound
dysjardólgur	(kvæð.)hill troll
dystaleikur	(spæl) tilt, joust
dystarvenjing	(ítr.)match fitness
dystaskrá	(ítr.)fixture list
dystast	1(í kapping) tilt, joust, compete; go to the mat (with)2combat, fight
dystfýsni	fighting spirit
dystilærdur	sílistilærdur
dystingarleikur	sídystaleikur
dystopia	símarruríki
dystopiskur	sí marrukendur, ófrættakendur, ótýdligur, ræðu-
dystur	1(kapping) tilt, joust2(t.d. fótb.) match, leg,fyrri dysturfirst leg;ásettur dysturfixture3combat, fight, bout
dýggj1	bog, marsh
dýggj2	soaked, wet through, drenched
dýggja	1make dripping wet, make drenched2splash, squirt
dýggjandi	sí í osb: dýggjandi váturdýggjvátur
dýggjvátur	drenched, wringing wet, soaking wet
dýkja	dýkja segl spread sail out to dry
dýna1	(yvirdýna, samsvarar við) duvet, eiderdown, (down) quilt, continental quilt,(am.)comforter; (undirdýna) featherbed;liggja við ongari dýnusleep without an eiderdown;stikað dýna(ribbed) eiderdown, continental quilt;tað er sum at sláa í eina dýnunothing makes any impact on him(o.tíl.);it is like water off a duck's back(el.like hitting a cushion)(GG:it is hopeless to try to bring him to reason; much in his rhetoric must be a whistling in the dark)
dýna2	(fáa dún av fugli) pluck
dýnufrakki	duvet coat
dýnufylla	stuffing for(el.of) an eiderdown (, a featherbed)
dýnujakki	duvet jacket
dýnuvár	sídýnuver
dýnuver	bed-tick, tick (for an eiderdown, for a featherbed), duvet cover, slip (for an eiderdown, for a featherbed); continental quilt cover
dýnuvor	sídýnuver
dýpa	1deepen, make deeper, dredge2become deeper
dýpd	1depth,tað er dýpd í myndinithe picture has depth2(fl.m.)profundity;fara í dýpdina (við málinum)go into(t.d.the matter) in depth; (ógvisligari) plumb(el.sound) the depths;hann fer ikki í dýpdina (eis.)he merely scratches the surface3(tónl.)depth, (low) pitch
dýpdarlinja	(jarðfr.)depth contour line
dýpdarmáling	bathymetry
dýpdarmátari	deep-sea sounder, depth recorder, depth gauge; (í torpedo) depth indicator
dýpi	1deep, deep sea2(mát)depth;(sigl.) dýpið minkarthe water is getting shallower, the depth is decreasing; the bottom shelves upwards;á 10 fóta dýpiat a depth of ten feet;hvat er minsta dýpi tit hava loddað á flóð?what are the least soundings you have had at high water?;lodda dýpiðsound the depths of sth;á lítlum dýpiat a low depth; in shallow water3(skm.)abyss4svartastu dýpi í mannasinninumthe (darkest) depths(el.recesses) of the human soul
dýping	deepening, dredging
dýpshædd	(mát)[a length of 60 to 80 fathoms]
dýr	1animal; (um stór súgdjóreis.)beast; (á garði) livestockflt2(fl.m.) dýrið í menniskjanumthe beast within;sum eitt jagstrað dýrlike a hunted animal;hann er eitt dýrhe is an animal(el.an absolute beast);hann leikaði í sum eitt dýrhe raged like a caged animal3vermin4(gl., bát.)seal
dýra	assert, avow, protest;hann dýraði uppá athe swore that;dýra upp á sakloysiðprotest one's innocence
dýraátin	zoophagous, carnivorous; eis.djóraátin
dýrabarur	precious; (kærur) dear;(speisk.)precious(t.d.I hope she saved her precious canary from the fire);hatta er mær dýrabartit is precious to me;mín dýrabarasta ognmy dearest possession
dýrabiðidagsaftan	[the day beforedýrabiðidagur]
dýrabiðidagsskeið	[the period arounddýrabiðidagur]
dýrabiðidagur	(kirkj.)[a public holiday, falling on the fourth Friday after Easter]
dýrabærur	sídýrabarur
dýradoyð	(illb.)by Jove!
dýraflokkur	(dýr.)species (of animal)
dýragarður	sídjóragarður
dýralæknaeftirlit	veterinary supervision, veterinary inspection;undir djóralæknaeftirlitisubject to veterinary inspection, inspected by a veterinary surgeon, under veterinary supervision
dýralækni	sídjóralækni
dýralæra	(dýr.)zoology; zoological textbook
dýran	truly;leggja e-m dýran viðpromise sby truly; highly, greatly, severely, hard,leggja e-m dýran viðlay down hard conditions, forbid strictly,hann legði dýran við at tað skuldi verða gjørthe (stonily) insisted that it must be done;leggja dýran við at halda eittobserve sth strictly(el.scrupulouslyel.religiously);leggja dýran við at halda lóginaobserve the law to the letter;taka dýran tilcurse and swear, swear, use strong language
dýrandi	í osb: dýrandi fullur el. so dýrandi dead drunk,(tlm.)blind (to the world), plastered
dýrapínsla	sídjórapínsla
dýrasavn	sídjórasavn
dýraveiða	sídjóraveiða
dýrd	1extremely calm; perfectly calm sea2(átr.)glory(t.d.glory to God in the highest); glory(t.d.Solomon in all his glory; the city was spread out beneath us in all its glory), splendour, magnificence; honour
dýrdarfagur	lovely(t.d.landscape, scene, sight)
dýrdarfullur	splendid, magnificent, grand, glorious
dýrdargóður	calm
dýrdargripur	(bíbl.)treasure
dýrdarkyrra	dead calm
dýrdarlogn	sídýrdarkyrra
dýrdarlutur	(bíbl.)treasure
dýrdarmikil	1calm2sídýrdarfullur
dýrdarríkur	sídýrdarfullur
dýrdarsjógvur	dead calm sea
dýrdarslættur	(um sjógv) dead calm
dýrdarstilli	dead calm
dýrdarveður	extremely good weather
dýrdleiki	dýrd(2)
dýrdligur	(bíbl.)sídýrdarfullur
dýrgoldin	dearly paid
dýrgripur	preciousness, treasure, jewel
dýrka	1make dearer, raise the price, increase the cost2become dearer,smørið er dýrkað(the price of) butter has gone up3(bíbl.)worship, honour
dýrkan	1rise in prices, price rise; (brádlig) boom2(bíbl.)worship, glorification
dýrkari	(bíbl.)worshipper
dýrleiki	expensiveness, costliness
dýrligur	(bíbl.)precious; (kærur) dear
dýrlingur	saint
dýrmeta	praise, laud
dýrmetin	precious; (kærur) dear
dýrmettur	(um gimsteinar) precious(t.d.precious topaz); sídýrmetinogdýrmætur
dýrmætur	1precious(t.d.liberty is the most precious thing we have; the precious blood of Christ); dear; noble(t.d.character);(gl.og skaldsk.) gentle(t.d.knight, lady); noble, generous(t.d.nature, spirit); noble-minded, magnanimous2(bíbl.)heavenly, celestial; divine
dýrtíð	(bú.)inflation, high prices, high cost of living, high living costs, time of dearth(el.of scarcity), period of scarcity
dýrtíðarhjálp	(bú.)cost of living allowance
dýrtíðarjavna	[compensate for high cost of living]
dýrtíðarjavning	[compensation for high cost of living]
dýrtíðarviðbót	(bú.)[high cost of living compensation]
dýrur	1expensive, dear, costly, expensive(t.d.an expensive car, hotel, journey, shop); high-priced; pricey(t.d.pubs jazzed up into pricey bars);hava dýrar vanarhave expensive tastes;tað er ov dýrt hjá mærit is too expensive for me, it is beyond my means, I can't afford it, the price does not suit me;í dýrum dómum, í dýra dómi el. í dýra dómaat great expense, at an exorbitant price;gjalda í dýrum dómumpay a lot(el.the earth) (for it); pay through the nose, pay a fancy price; (sum kostar meira enn virðið) dear(t.d.the car cost £200 and was dear at the price)2dear,mín dýrasta ognmy dearest possession; glorious, grand, magnificent;nú eru góð ráð dýrthe situation is desperate, we (,o.s.fr.)are in dire straits(el.in a jamel.in a spotel.in a tight corner);tá ið góð ráð eru dýrwhen the situation is desperate;hann rópti upp á tað dýra navnhe called on that dear name;(tlm.)when the crunch comes3delightful, wonderful; glorious, grand, magnificent4holy, sacred; solemn,svørja ein dýran eiðswear a solemn oath;svørja dýrtswear solemnly5hard, extreme,í dýrastu neyðin extreme distress, in extreme need;dýr tøkgreat exertion, great effort,tað vóru dýr tøk atit took a great effort to;hann er komin til ta dýru tíðhe is on his deathbed, he is at death's door;hon rann tað dýrasta hon orkaðishe ran as quickly as she could;í ein dýran hastin the greatest hurry
dýsa	(tøkn.)nozzle, jet
dýva	dip(el.plunge, immerse) in water
dývátur	sídýggjvátur
dæla	(stb.)leak,tað dælir ikkiit doesn't leak, it is watertight
dællur	sídælur
dælur	1pleasant, courteous, kind, obliging; confidential; amenable;gera sær dælt viðexploit, make the most of;gera sær dælt við e-nside with someone on intimate terms; be free and unstrained with regard to sby;tað er ikki dælt at koma í holt við hannit is not pleasant(el.not an easy matter) to tackle him;tað er ikki dælt at bróta fornan siðit is not advisable to break old customs2accessible,dælt er manni vitandi orð[an intelligent man has no difficulty in following an intelligent speech];(tilt.) tað er ikki so dælt, tað ikki er halt[nothing is flawless]
dæmdur	complexion,væl/illa dæmdurwith good(el.sickly) complexion
dæmi	complexion, appearance
døgarði	(Suð.)dinner
døgg	dew,(t.d.á rúti) steam;hvørva sum døgg fyri sólfade away like morning dew, vanish like smoke;døggin legstthe dew is falling;døggin setur avthe dew evaporates
døgga	gather dew; become misted, steam up;tað døggarthe dew is falling;glasið døggarthe glass is (getting) steamy;(áv.)bedew, dew
døggdropi	dewdrop
døggfalla	í osb: nú fer at døggfalla the dew is beginning to fall
døggfallin	dewy, covered with dew;jørðin er øll døggfallinthe field is covered with dew
døggmark	(alisfr.) dew point
døggpunkt	(alisfr.)dew point
døggsmetta	(fugl.)spotted crake(Porzana porzana)(Linnaeus, 1766)Porzana porzana ©Peter Jacobs
døggvátur	dewy, moist with dew
døglingseyga	half-blind person, weak-sighted person
døglingsregn	sígrimdarregn
døglingur	1(dý.)bottlenose whale(Hyperoodon ampullatus);northern bottlenose whale2(gl.)one-eyed person
døgum	sídagur
-døgur	síjavn-,sam-
døgurðabiti	dinner
døgurðablundur	after-dinner nap
døgurðaborð	dinner table; (máltíðin) dinner;sita við døgurðaborðiðbe at (one's) dinner
døgurðagestur	(t.d. the dinner guests began to arrive)dinner guest(t.d. the dinner guests began to arrive);(eisini sum gjalda) diner;vit hava 8 døgurðagestirwe are having 8 people(el.guests) for dinner
døgurðalúrur	after-dinner nap
døgurðamatur	dinner; (mitt á degieis.)midday meal, lunch
døgurðamál	sídøgurðamál
døgurðamáli	noon, dinner hour,um døgurðamálaabout noon
døgurðasteðgur	lunch hour, lunch(el.midday) break, interval for lunch
døgurðatíð	dinner hour
døgurðatími	noon; dinner hour,um døgurðatímiabout noon
døgurði	1(stb.) døgurð) k1(máltíð) dinner; (á miðjum degi,ofta =)midday meal; lunch2(veitsla) dinner (party)3(almennur) banquet4[íyms.samb.]eta døgurðahave dinner, (hátíðarligari) dine;eta døgurða úti(á matstovu) dine at a restaurant; dine out; (til veitslu) dine out;eta ofta døgurða útibe a great diner-out;hann er farin til døgurðahe has gone to lunch;hvat skulu vit hava til døgurða?what are we having for dinner? what have we got for dinner? what's for dinner?hava høsnarunga til døgurðahave chicken for dinner, dine on chicken;bjóða e-m til døgurðainvite(el.ask) sby to dinner;eta døgurða viðstay for dinner;hvat fekst tú til døgurða?what did you have for dinner?;bjóða e-m døgurðaentertain sby at dinner, dine sby,(tlm.)treat sby to a dinner; (alment) give a banquet in sby's honour;bjóða ein døgurða til heiðurs fyri e-ngive a dinner (, banquet) in sby's honour;eg verði ikki aftur til døgurða í dag (eis.)I shall not be in for dinner tonight;undir døgurðanumat dinner, over the dinner table, at the banquet
døkkast	1become dark; get dark2(um sjón) be dulled
døkkbláur	dark-blue
døkkdæmdur	dark-complexioned
døkkholdaður	(um fólk) dark(-skinned), swarthy;(skaldsk.)dusky
døkki	1dark place, dark spot2silhouette
døkkleittur	sídøkkholdaður
døkkormur	(lækn.)blackhead
døkkoygdur	dark-eyed
døkkur	dim, dark; dull, lustreless
dølgur	sídólgur
døll	dullard
dølla	dølla særel.døllastbe tardy, be dilatory (t.d.they were tardy in filing the application)
døllur	(stb., niðr.)small boat
døllutur	slow, dilatory, tardy (t.d.she was tardy to work)
dølma	be slow (, dilatory, tardy), lag behind, bring up the rear,koma dølmandicome trailing behind;tit hava dølmað henda dagin burturyou have idled the day away
dølmutur	slow, dilatory, tardy
dølski	sídølskni
dølskleiki	sídølskni
dølskni	dullness, lethargy, somnolence, torpor
dølskur	dull, inert, torpid; somnolent; indifferent
dølum	sídalur
