ó-	un-(t.d.uninterrupted); im-(t.d.improper); il-(t.d.illegal); ir-(t.d.irregular); non-(t.d.non-professional); not(t.d.not previously mentioned
ófestur	1irresolute, wavering, hesitating, half-hearted, hesitant, weak, feeble, yielding;teir lokka ófestar sálirthey tempt unstable souls2unleased;garðurin liggur ófesturthe farm has not been leased3unengaged(t.d.an unengaged young woman)
ófimsligur	1clumsy, not dexterous, not handy, not deft, not good with one's hands(eis. t.d.she is/her fingers are all thumbs)2(um gjørdan lut) (piece of work) badly performedel.executed3[sumhj]ófimsliga; clumsily,hatta er ófimsliga gjørtthat work has been badly performed/executed
ófimur	clumsy(t.d.movement; person; compliment; excuse); ófimurí øllum vendingumclumsy in all his movements
ófingin	which one has not got;hann var betur ófinginit would be better if one had not got it//him back
ófiskiligur	1(um skip, reiðskapo.tíl.);ófiskiligurreiðskapur(piece of) fishing tackle which is not very suitable2(um veður, staðo.tíl.;of placeorweatheretc)unsuitable for fishing;ófiskiligt veðurweather unsuitable for fishing;har er so ófiskiligtthe fishing is not much good there
ófitijavnað	(um mjólk) non-homogenized (milk)
ófittligur	1clumsy, not dexterous, not handy, not deft, not good with one's hands(eis. t.d.she isel.her fingers are all thumbs)2(um lut) unwieldy, unmanageable, unhandy(t.d.tool); (ov rúgvumikil) bulky
ófittur	1unattractive, unpleasant,ikki ófitturnot unattractive//not unpleasant2clumsy, not dexterous, not handy, not deft, not good with one's hands
ófínur	indelicate, tactless, gross, coarse, in bad taste(t.d.a joke in bad taste);nýta ófína mannagongduse shady methods, use sharp practice(s)
ófjaðraður	(of young birds) without feathers, downy; ófjaðraðurungia downy young one, a young one without feathers
ófjálgur	cold, unpleasant, disagreeable;tað var ein ófjálg og ræðulig sjónit was an unpleasant and terrible sight
ófjøsaligur	síófjøsasligur
ófjøsasligur	untidy, littered, covered with litter, in a mess; (um hár) dishevelled, tousled, rumpled, in disorder, ruffled;her er so ófjøsaligt innithis room is in a mess;ófjøsasligt hárdishevelled hair
óflaktur	unsplit (fish)
óflongdur	1not punished, not spanked, not smacked2ill-bred, ill-mannered, rude, arrogant
ófloygdur	not fledged, unfledged;fuglurin er ófloygdurthe bird is not fledged
óflustur	unpeeled(t.d.fruit, potatoes)
ófluttur	(í sambandi við vøru) local
óflýggjadýr	síóflýggjakroppur
óflýggjaður	síóflýggjaligur
óflýggjakroppur	intractable, unaccommodatingel.stubborn person
óflýggjaligur	intractable, unaccommodating, stubborn, impossible to handle; rude, coarse, confounded, infernal, (um børn) naughty, bad(t.d.you bad boy!), mischievous;óflýggjaligir óvitar vóru ofta sendir niðan á Dímundifficult boys were often sent to the island of Dímun;teir vóru líka óflýggjaligir í hesum máli sum í hinumthey were as intractable in this as they were in the other case
óflýggjamaður	síóflýggjakroppur
óflýggjaorð	term of abuseel.opprobrium;(samn.)abuse, abusive language;nýta óflýggjaorðuse abusive language
óflýggjaskapur	naughtiness, rudeness; coarseness, obscenity
óflýggjatala	offensiveel.unbecoming language;hetta helt sonurin vera óflýggjataluthe son found the language offensive/unbecoming
óflættiligur	unreasonable, over-particular, difficult(t.d.a difficult partner, a difficult customer);tess meir hann vaks, tess óflættiligari varð hannthe older he grew the more unreasonable/difficult he became;ein óflættilig gleði kom sum ein eldur oman yvir hannhe was overcome by an inexplicable joy;hon var óflættilig av sorg um, at móðirin var deyðshe was unreasonable in her grief over her mother's death
óforgeingiligleiki	(bíbl.)imperishableness, indestructibility, indestructibleness; (ódeyðiligleiki) immortality
óforgeingiligur	(bíbl., átr.)imperishable, indestructible, everlasting;hatta plaggið er óforgeingiligtthat material wears for ever, it is impossible to wear that material out
óformligur	informal, causual; unceremonious, unpretentious;óformligar tingingarinformal negotiations;hjóformliga
óforsíggin	imprudent, thoughtless(t.d.action; person); unthinking, unreflecting
óforsíggja	incautiousness, imprudence, unwariness, unguardedness, rashness, injudiciousness
óforsvarligur	1(átaluverdur) unwarrantable(t.d.conduct; negligence; proceeding); unjustifiable(t.d.act; conduct); (ófyrigeviligur) inexcusable(t.d.action; indiscretion); unpardonable, unforgivable; (við ongum fyriliti) reckless(t.d.driving);í óforsvarligum standiin a state of inexcusable/culpable neglect, (tíðum) badly neglected/dilapidated;bjargingarbátarnir vóru í óforsvarligum standithe lifeboats were not up to the requirements; (ógvisligari) the lifeboats were in a scandalous state2[sumhj]óforsvarliga; unwarrantably, unjustifiably recklessly(o.tíl.)
óforsynja	(kvæð.)síóforsíggja
ófólkaligur	impolite(t.d.answer; behaviour), uncivil(t.d.treatment), discourteous, rude, ill-bred, ill-mannered; (mótvegis yvirmannio.tíl.)disrespectful(viðto); ófólkaliguratburðurimpolite/rude behaviour
ófólkaræðisligur	undemocratic
óframkallaður	(lmynd.)undeveloped; óframkallaðurfilmurundeveloped film
ófráboðaður	unannounced, unpronounced, unnotified, unadvised, uninformed
ófrásigandi	indescribable;tað var ófrásigandi (eis.)words cannot describe it, it beggars description
ófrásigiligur	indescribable
ófrelstur	(átr.)not saved, unredeemed
ófridligur	1(um fólk, of people) giddy, wild, restless, agitated; disobedient; difficult, difficult to get on with, touchy, refractory2rough, stormy;ófridligt veðurstormy weather
ófriðardýr	troublemaker, mischief-maker;eitt slíkt bølmenni og ófriðardýrhe's a bully and a troublemaker
ófriðargestur	guestel.visitor who causes discordel.damage
ófriðarkroppur	troublemaker, mischief-maker, hooligan
ófriðarland	country ravaged by war
ófriðarligur	1(ófriðarliguro.tíl.)troubled(t.d.a troubled period; his troubled reign); unquiet(t.d.a few unquiet moments); disturbed(t.d.period; rest); unsettled(t.d.period; world conditions); agitated(t.d.I was agitated at the prospect)2(sum ikki fær sitið stillur) restless, jumpy, fidgety3(sum heldur gang) noisy(t.d.this room is too noisy)4(við hurlivasa) tumultuous, turbulent(t.d.assembly; meeting; a turbulent border tribe); stormy(t.d.meeting)5(um stílo. tíl.)fuzzy(t.d.architecture, effect, style)6(um viðurskifti) unsettled7[íyms.samb.]óróligar rørslurjerky movements;ófriðarligur flokkura troublesome/undisciplined form (in a school);sita ófriðarligurfidget(t.d.sit still and don't fidget!); wriggle(t.d.the little boy wriggled in his seat);hann situr altíð so ófriðarligur (eis.)he is such a fidget;sova óróligabe restless in one's sleep; have/pass a restless nigh;ófriðarligur svøvnurtroubled/uneasy/broken sleep;ófriðarligar tíðirunsettled/troubled times, times of unrest
ófriðarlæti	disturbance(s), riot(s), tumult(s), trouble, violence(t.d.there has been a good deal of violence in Bombay; troubles in Northern Ireland); unrest(t.d.Irish unrest)
ófriðarmaður	troublemaker, mischief-maker, hooligan
ófriðarmikil	noisy, boisterous, uproarious; tumultuous; (sum heldur ógvisligan gang) rowdy
ófriðarskip	(sø.)enemy ship, pirate (vessel)
ófriðartíð	time of unrestel.strife, wartime;í ófriðartíðin wartime, in time of war;tá harðast stóð á í ófriðartíðini í 1917-18in 1917-1918 when the war was at its height
ófriðarvætti	(stb.)síófriðardýr
ófriður	1war, strife; row, dispute, quarrel, conflict, rumpus, hullabaloo;tú fert ikki at birta ófrið henda hátíðardag mínyou just try and pick a quarrel on my day of celebration;tað verður altíð ófriður, har sum hann kemurwe can always expect trouble when he turns up2unrest(t.d.Indian unrest; political//industrial//social unrest); disturbances(flt) (t.d.recent disturbances in Dublin); disorder, trouble(s)(t.d.the Irish troubles); excitement(t.d.the whole country is in a state of excitement);(t.d.í mannfjøld) commotion(t.d.his speech caused a good deal of commotion in the audience); turbulence(t.d.the turbulence of the meeting); turmoil(t.d.industrial turmoil); ófriðurkom í sjógvinthe sea became rough/agitated;tá ið hetta frættist, kom ófriður á teir stýrandi í Evropawhen people learned about this, the rulers of Europe became uneasy;tá ið jólini vóru farin, kom ófriður á hannwhen Christmas was over he (once again) became restless;hann skuldi koma heim aftur, tá ið hann hevði fingið versta ófriðin úr blóðinumhe would return after he had sowed his wild oats3unrest, disturbance, interruption;maður sum altíð ger ófriða man who always stirs up strife;latið ongan gera honum ófrið, hann svevurdon't let anybody disturb him, he sleeps
ófriski	monster, ogre, ogress;hasin púrgjørdi ótangin, sum longu tá var gitið ófriskihe was a troublemaker who even then was known as a monster;hann vardi seg móti ófriskinum, tað hann var menturhe defended himself against the ogre as best he could
ófríður	1(um húð, of skin) rough, pimpled, spotty; ófríðurí andlitiwith poor complexion;hann hevur so ófríða húðhe has a poor compexion2not good-looking, not beautiful, prettyel.handsome; ófríðurá at lítanot good-looking
ófrímerktur	unstamped, with no stamp
ófríur	not free(t.d.a nation that is not free), enslaved; oppressed
ófrosin	(stn.)unfrozen, which does not freeze up
ófrukt	(gl.)barrenel.sterile woman
ófryntligur	unfriendly, unkind, ungracious, disobliging;hjófryntliga
ófrystur	not frozen
ófrýntligur	síófryntligur
ófrælsi	1lack of freedom; servitude, bondage, slavery;teir vilja halda fólkið í ófrælsi og vesaladómithey intend to keep the people in bondage and poverty2íosb. ganga í ófrælsi(um kríatúr, of cattle) graze in the outfield without permission
ófrælsur	not free, oppressed;ófrælsur bóndiserf/villein; (trælur) bond(s)man;tey ófrælsu (sø.)serfs, villeins; bond(s)men
ófrætta	terribleel.sadel.tragic news(eint.)
ófrættaboð	terribleel.sadel.tragic news(eint.),message about//news of misfortune//accident
ófrættaboðari	alarmist, prophet of doomel.gloom; Cassandra;(tlm.)doomsayer, gloomsayer, doomster
ófrættadagur	an evil day; an ill-starred day; a black day
ófrættafuglur	(ófrættakendur) bird of ill omen; albatross; (fólk sum hevur óeydnu við sær) Jonah;(am.S)jinx;(sálfr.)accident-prone (person)
ófrættakendur	ominous, weird(t.d.cry; light); eerie(t.d.feeling; experience); uncanny(t.d.feeling; light; noise); unearthly(t.d.an unearthly shriek); sinister(t.d.light; atmosphere; rumour);ófrættakend tíðindisinister news
ófrættarámi	1(ófjálgur dámur) discomfort, want of comfort2(fjáltursdámur) uneasiness, uneasy feeling3(dapur dámur) sinister atmosphere, eeriness, weirdness4(óglaður dámur), dismal atmosphere; (ótti) horror(t.d.the situation in all its horror);ljóðið var tagnað, men ófrættarámin var vorðin gestur í hvørjari lonthe noise had died down, but the uneasy feeling had become a guest in all the houses
ófrættaspádomur	prophecy of woe;(tlm.)croakings(flt)
ófrættatíðindi	terribleel.sadel.tragic news(eint.); ófrætatíðindini um at Singapor var tikinthe news of the fall of Singapore came as a bombshell;hann kom aftur við ófrættatíðindunum, at hin var fallinhe returned with the tragic news that the other man had fallen (to his death in the mountains);vit kendu á okkum, at ófrættatíðindi vóruwe had a presentiment that we would receive sad news
ófrætti1	síófrættir
ófrætti2	(sj.)síófrættir
ófrættindi	(sj.)síófrættir
ófrættir	bad, sadel.tragic news;fólk hoyra ella síggja fyri ófrættumpeople hear or see portents/omens of misfortune
ófrættisfuglur	bird of ill omen;sum ein svartur ófrættisfuglur fór prestur gjøgnum bygdinathe clergyman went through the village like a black bird of ill omen; síófrættafuglur
ófrættistíðindi	terribleel.sadel.tragic news(eint.);síófrættatíðindi
ófullfíggjaður	1(sum vantar í) incomplete, imperfect, defective;ófullfíggjaðar upplýsingarincomplete information2(ófullkomin) unfinished, uncompleted3(í brotum) fragmentary(t.d.a fragmentary manuscript)
ófullføri	(lækn.)mental handicap; mental deficiences, mental retardation, mental subnormality;(lækn.)retardation of development
ófullførur	1(sálfr.)mentally retarded, mentally deficient, mentally handicapped;sálarliga ófullført fólk (eis.)retardee, retardate2unfit for work, disabled;hann gjørdist ófullførur av døttinumhe was disabled by the fall
ófullgjørdur	unfinished, uncompleted
ófullkomin	imperfect(t.d.have an imperfect knowledge of the subject); incomplete, defective(t.d.a defective copy)
ófullnøgandi	unsatisfactory(t.d.explanation; examination paper; method; result)
ófúsur	1unwilling, reluctant (to do sth); averse (to doing sth//from doing sth)2(treyður) disobliging; unhelpful; uncooperativehon letst ófús og treyð at farashe pretends as if she is reluctant to go
ófyrigevandi	unforgivable(t.d.that was his unforgivable sin); unpardonable(t.d.conduct); inexcusable(t.d.conduct inexcusable in an officer); ófyrigevandimistakan unforgiveable mistake
ófyrireikaður	unprepared(t.d.we were caught unprepared; an unprepared speech); extempore(t.d.make an extempore speech); extemporaneous;ófyrireikað framførslaan unrehearsed performance/showing
ófýsi	(sj.)dislike, disinclination
ófýsiligur	1uninviting, unattractive, comfortless, dismal, unpleasant;tað var í ófýsiligasta heystveðriit was autumn weather at its worst2disorderly, disarranged, disorganized, untidy; dirty, messy, soiled, filthy(t.d.hovel; street); unspeakably dirty, (perfectly) foul, unsavoury
