kabarett	cabaret, show
kannustoyping	(fl.m.)armchair politics
kannutættur	(stb.)watertight(t.d.roof, ship)
kano	canoe;rógva í kanopaddle a canoe
kanón	1gun;(serl. gl.ogflogf.)cannon;langtberandi kanónlong-range gun;skjóta spurvar við kanónbreak a butterfly on a wheel; crack a nut with a sledgehammer2(fl.m., tlm.) tær stóru kanónirnarthe bigwigs; the big guns, the big noises, the high-ups, the top brasseint.,the heavies(t.d.the political heavies);hann er ein av teimum stóru kanónunum (eis.)he is a big noise;stilla kanónirnarbring up the guns, place the guns in position
kanónbátur	(sigl.)gunboat
kanóndekk	(herm.)gun deck
kanónføði	cannon fodder
kanónløðing	charge (of a gun)
kanónskot	gunshot;(fótbóltur, slang)bomb
kanónstoyping	the founding of ordnance
kanóntorn	gun turret
kanónverksmiðja	ordnance works
kanónvognur	gun carriage
kanselli	(sø.)chancellery
kanska	1perhaps(t.d.in what is perhaps his most famous poem; I saw perhaps three people; you say I must respect him; has he (perhaps) ever respected me? three or perhaps four),kanska kanska ikkiperhaps I do (, I am, he iso.s.fr.)perhaps not; maybe, possibly; (verður ofta sagt við may, might;t.d.he may come; it may be true; he might come back if we asked him; you may perhaps remember the name; he may possibly recover; he may come, and then, on the other hand, he may not; are you going to buy the house? I might!)kanska!may be!, maybe!, perhaps!, possibly!,(tlm.)could be!2[íyms.samb.]kanska veitst tú bústað hansara?do you by any chance know his address?, do you happen to know his address?;heldur tú at hann kanska er svartsjúkur?can it be that he is jealous?;tað hevði kanska ikki verið so býttthat might not be a bad idea;kanska við tí undantakiwith the possible exception of; unless it were
kanslaraembæti	chancellorship
kanslari	chancellor
kansur	(gl.)chance, opportunity, opening, prospect
kanta	1(handarb.)border, edge, (um klæðieis.)bind, braid2í osb: hann er útsynningur, men kantar til vestanthe wind is south-west but is becoming slightly more westerly
kantast	bandy words, bicker, wrangle, squabble
kantata	cantata
kantband	edging, border; (á klæðieis.)braid; (skráband) bias binding; (á polstringo.s.fr.)piping
kanting	1bordering, binding; (kantur) border, edging; (á klæðieis.)braid, binding;(t.d.á lumma) strapping; (á polstringo.s.fr.)piping2(stb., sj.) sístreymjaðari
kantklippari	edging(el.border) shears, edger
kantlisti	(til trin) stair nosing
kantór	office; (í privatheimi) office, study, library;sí eis.skrivstova
kantór-	sískrivstovu-
kantórkrakkastýri	(sk.)bureaucracy
kantórkrakkur	(sk.)clerk, office worker, clerical worker
kantra	1stumble, miss one's footing2kantrast(um bát) capsize, turn over
kantskerari	(til prent) print trimmer; (maskinsag) edger
kantsteinur	1kerb;(am.)curb2(tann staki steinurin) kerbstone;(am.)curbstone
kantur	1edge(t.d.the edge of a table, a cliff); (faldur, borði) edge, border(t.d.a lace border; a red border on the rug);kant í kant viðin line with; (skip)borðini liggja kant í kantbutt joined;rúmið var 15 fót hvønn kantthe room was 15 feet each way;(fl.m.) ein kantur má vera!you must draw the line somewhere!, there is a limit!2(smala síðan) edge(t.d.the edge of a board; set a board on edge);seta eftir kantiplace on edge, place edgeways, cant;hvassur kanturskarp kant sharp(el.keen) edge; (á rundum luti,t.d.brilluglas) rim; (á koppi, kari etc.,serl.bogað útá) lip(t.d.the lip of a cup); (á felgu) rim, bead3(á klæði) selvege(el.selvage); (seymaður borði) braiding
kantvegis	(sj.)on edge, edgeways
kapari	(sø.)privateer, commerce raider; corsair
kapell	mortuary; (á kirkjugarði) chapel of rest; (slotskapell etc., partur av kirkju) chapel
kapers	capers
kapitalavgjald	capital levy, tax on capital
kapitalfelag	investment trust
kapitalinnfloymur	capital inflow, flow of capital (into the country)
kapitalinnflutningur	capital imports; (gerðin) import(ation) of capital
kapitalinngjald	1capital payment, capital contribution2(til lívstrygging) single payment3(til lívrentu) purchase money;býtislykil til kapitalinngjald(ES) key for capital subscription
kapitalinnskjótari	contributor, investor
kapitalinnskot	síkapitalinngjald
kapitalinntøka	capital yield, interest
kapitalisera	1capitalize2(rokna við frammanundan) discount(t.d.the increase of the ground value has been discounted in advance)
kapitalisering	(1) capitalization; (2) discounting
kapitalisma	(stjm.)(private) capitalism;kapitalisman (eis.)the capitalist system
kapitalistiskur	(stjm.)capitalist;(niðr.)the idle rich
kapitalistur	ríkmaður
kapitalkonto	capital account
kapitalminking	reduction of capital
kapitalrenta	interest (on capital)
kapitalrentuskattur	unearned income tax; investment income tax
kapitalsaldo	balance (of the capital account)
kapitalsamansparing	accumulation of capital
kapitalskattur	(central government) capital tax, tax on capital
kapitaltrygging	endowment assurance;lívstreytað kapitaltryggingpure endowment assurance;einfald kapitaltryggingassurance for a fixed term; term insurance
kapitalur	1(tjóðbúskaparliga) capital; (peningur) capital, funds, money; (íløga) investments2(høvuðstólur) principal;kapitalurin(fæognarstættin) Capital(t.d.Capital and Labour);(ofta =)(the) vested interests;(tlm.)the money(t.d.he had the support of the money, too);arbeiðandi kapitalurproductively employed capital;deyður kapitaluridle capital, dead capital, dormant capital;flótandi kapitalurfloating capital;inngoldin kapitalurpaid-up capital;óvirkin kapitalurdormant capital;taka av kapitalinumcut into one's capital;taka kapitalin út(úr ótryggari fyritøku) divest;tæra sín kapitallive on one's capital;úrtøka av kapitaliinvestment income
kapitalvinningsskattur	capital gains tax
kapitalvinningur	capital gains/profits
kapitalvirði	capital value;umseta til kapitalvirðicapitalize
kapitaløking	increase of capital
kapittul1	1(í bók) chapter,fyrsti kapittulchapter one2(fl.m.)chapter(t.d.a dark chapter in his life);tað er ein liðugur kapittulthat's a closed chapter;tað er ein kapittul fyri segthat is a chapter by itself; that is another story
kapittul2	síkapittul1
kapp	íosb. renna, ríða, rógva, sigla kapptake part in a boat (, yacht, horse) race;av kappiwith all their might;um kappin competition(t.d.they vied(el.competed) with each other in swimming);renna um kapp (við e-n)race (sby);rógva um kapprow a race;svimja um kapp við e-nswim a race with sby,swim sby(t.d.I'll swim you a hundred yards); have a swimming competition
kappa	1cut (, hew, chop),kappa av1cut (off),kappa línuna avcut off the line;(sigl.)cut away;(sigl.) kappa endarnarcut the boat adrift;(sigl.) kappa og seta seglcut and run2kill, slaughter, put down,kúgvin verður avkappaðthe cow will be slaughtered (, put down)2(urtagarð.)poll, lop; (stýva, klippa (niður)) pollard3(um fisk) cut off heads
kappabani	(kvæð.)slayer of giants,hann ber eitt heiðursnavn, teir kalla hann kappabanahe has a honorific name they call him the slayer of giants
kappabragd	heroic deed (, exploit), deed of valour
kappakvæði	heroic ballad,Sjúrðarkvæðini eru dømi um kappakvæðiSjúrðarkvæðini are examples of heroic ballads
kappan	competing,tað var kappan at fáa fisk at turkathere was great demand to get the fish to dry
kappaspæl	(teld.)action game
kappast	compete (viðwith,umfor);kappast um at verða fyrsturcompete for the first place;kappast um at vinna heiðurincompete for the prize;kappast við (eis.)rival;sum eingin annar kann kappast viðunrivalled(t.d.he is an unrivalled athlete); (um vøru) which defies competition; vie (viðwith;umin),tey kappaðust øll um at fagna honumthey vied with each other in praising him;tey kappaðust øll um at hjálpaeverybody vied with everybody else to help
kappaørindi	stanza of heroic ballad
kappbera	carry (loads) in competition
kappdrekka	have a drinking competition
kappdubbing	(herm.)(um stórveldini) arms race,kappdubbingin millum eystur- og vesturheiminthe arms race between East and West
kappeta	eat in competition
kappfiska	compete in fishing
kappfletta	slaughter sheep in competition
kappfúsur	with competitive spirit
kappfýsin	síkappfúsur
kappganga	walk in competition
kappgita	guess in competition
kappgiting	quiz, guessing competition
kappgonga	walking in competition
kappgongd	síkappgonga
kappgoysin	(stb., sj.)with competitive spirit
-kappi	síhælkappi
kappi1	hero, warrior;(stjfr.) KappinOrion
kappi2	1(yvirklæði) cloak, mantle;kappi og koracape and sword; cloak and dagger;(herm.)greatcoat, coat2(akademiskur, advokatkappi) gown; (dómarakappi) robes, gown;í kappagowned(t.d.Mr Speaker was bewigged and gowned)3(høvuðklæði) cap4(gardinkappi, portierekappi) pelmet5(á skóm) counter6(sigl.,á lugari) companion; (úr segldúki) canvas covering7(um skorstein, maskinrúmo.s.fr.)casing8(um maskinlut) jacket9(yvir ovnio.s.fr.)hood
kappi3	(skip.)companion
kapping	the act of competing, competition;kappingin um eittthe competition for sth;(niðr.)alra kapping móti øllumthe rat race;eirindaleys kappingcut-throat(el.ruthless) competition;fáa starv í kappingfill a post by competitive examination; (um professorat) [fill a post by competition];fara í kapping við(við e-n) enter into competition (with sby);frí kappingopen competition, freedom of competition;hørð kappingkeen competition;melda seg til kappingenter (for) the competition;óreiðilig kappingunfair competition;reiðilig kappingfair competition;seta seg ímóti kappingdefy competition;skriva út kappingarrange a competition; (til útlicitering) offer a contract(el.a job) for open competition;hann vann kappinginahe won the competition
kappingaravlagan	(bú.)practices that distort competition; distortion of competition
kappingaravlagandi	(bú.)anti-competitive(t.d.practices)
kappingaravmarking	market-sharing measures; restriction of competition;(serl.í einahandli) restraint of trade; restrictive practices
kappingarár	(ítr.)season
kappingardystur	competitive struggle, competition
kappingarevni	competitive power (, strength), competitiveness
kappingarfúsur	síkappfúsur
kappingarfyrimunur	competitive advantage (, edge);fáa kappingarfyrimungain a competitive edge
kappingarfyrivarni	covenant in restraint of trade; non-competition clause
kappingarføri	competitive power (, strength), competitiveness
kappingarførur	competitive, able to compete, competitive;kappingarfør vøracompetitive article;kappingarført eyðkennicompetitive identity;kappingarførur prísurcompetitive price;vit hava kappingarførar prísir (eis.)our prices are on a competitive basis;ikki kappingarføruruncompetitive
kappingarhugur	competitive spirit
kappingarjavnur	(handilsm.) contestable;kappingarjavnur marknaðurcontestable market
kappingarkendur	competitive
kappingarluttakari	competitor, entrant; contestant; contender
kappingarneyti	1competitor, rival, contender, contestant;hættisligur kappingarneytia dangerous competitor/rival(t.d.a dangerous rival of the champion);ein hættisligur kappingarneyti til meistaraskapiða dangerous rival for the championship;hansara næsti kappingarneytihis chief competitor, his main rival;kappingarneytar umcompetitors for(t.d.the prize);vinna á kappingarneytunumbeat one's rivals/competitors2(í kapping um embætio.s.fr. eis.)candidate;hann hevur ein kappinganeytahe has a competitor/rival, there is another candidate in the field
kappingarráð	(sern.)Kappingarráðið Competition Council of the Faroes
kappingarregla	rules on competition
kappingarsamfelag	competitive society
kappingarsamur	full of competitive spirit, highly competitive
kappingarstríð	síkappstríð
kappingartreyt	competitive conditions (, situation);kappingartreytirnar (eis.)the competition(t.d.the competition is fierce)
kappingarvinna	competitive business sector;kappingarvinnurnar(the) competitive business sectors.
kappkoyra	have a driving race, have a motor racing
kappkoyrari	1(í bili) racing driver2(á motorsúkklu) racing motorcyclist
kappkoyring	driving race, motor race;(sø.)chariot race
kappkoyrsla	síkappkoyring
kappkýtast	í osb: kappkýtast við (e-n)compete with someone
kappleikur	competition,olympisku kappleikirnir (sø.)the Olympian games; (nýtíðar) the Olympic Games; the Olympics
kappnósa	(Suð., sj.)reprove, rebuke, reprimand, censure, take to task, chide, admonish; discipline;eg verði noyddur at kappnósa hann (eis.)I shall have to speak to him;kappnósa fyri eittrebuke (o.s.fr.)sby for sth
kappnósaður	1síkappnósin 22síkappnósutur(3)
kappnósin	(um nøs) with a snub (, turned-up) nose
kappnósutur	1síkappnósin 22(um seyð) short-faced3impertinent, impudent; forward, pushing
kapprenna	(ítr.)run in competition;kapprenna við e-nrace (sby
kapprennari	(ítr.)runner in a race
kapprenning	(ítr.)race, foot race; (flutt.) race(t.d.the armament(s) race);ein kapprenning við tíðinaa race against time;teir vóru við í kapprenningini um hjálandaognirthey joined in the scramble for colonial possessions
kappríða	(ítr.)ride (a horse) in a race
kappríðari	jockey
kappríðing	(ítr.)riding in competition
kappróðrarbátur	(ítr.)racing boat [endurgivin eftir stødd,t.d.eight-oar; an eight]
kappróðrarfelag	(ítr.)rowing club
kappróðrarmaður	(ítr.)rower, oarsman
kappróðrarmanning	(ítr.)crew (of a racing boat)
kappróður	(ítr.)boatrace; (regatta) regatta
kapprógva	(ítr.)row in competition
kapprøða	speak in competition, debate
kappsag	(handv.)pendulum cross-cut saw
kappsamt	nice, curious, funny,tað hevði verið kappsamt, umI am curious to know if; comfortable, cosy
kappsigla	(ítr.)sail in competition
kappsiglari	racer, racing yacht
kappsigling	(ítr.)sailing race, yacht race; (regatta) regatta
kappskjóta	(ítr.)shoot in competition
kappskjóting	(ítr.)shooting match
kappsláa	cut grass in competition
kappstoyta	1capsize,báturin kappstoyttithe boat capsized2plunge headlong
kappstríð	competition; competitive dispute
kappstríðast	compete eagerly
kappsúkkla1	(ítr.)racer (bike)
kappsúkkla2	(ítr.)bike in competition
kappsvimja	(ítr.)swim in competition
kappsvimjing	(ítr.)swimming competition
kapptelva	(talv)play chess in competition
kapptelving	(talv)chess competition
kapptufla	clog
kappyrkja	(t.d. at yrkja um drunn)compose in competition
kapteynur	1(á skipi) captain,kapteynur á Norrønucaptain of the "Norrøna";Jones kapteynurCaptain Jones; (í farmasiglingeis.)master2(herm.)captain3(í sjóverjuni) commander4(í flogvápn.) flight officer
kar	(large, wooden) vessel; vat(t.d.tan vat)
kara	1row against a strong tide,vit lógu og karaðu tað av okkumwe rowed through the strong ebb tide2walk with a shuffle(el.slouch), shuffle, slouch
karafla	(til víno.s.fr.)decanter; (til vatn) water bottle, water jug, carafe
karakterbók	(skúl., tlm.)mark book; (svarar ofta til) report;(am.)grade book; report card
karaktergeving	(skúl., tlm.)the awarding of marks; (serliga fyri skrivlig avrik) marking;(serl., am.)grading
karakterlisti	(skúl., tlm.)mark sheet
karakterprotokoll	(skúl., tlm.)mark book
karakterskali	(skúl., tlm.)marking scale
karakterstrembari	(skúl., tlm.)swot; mark grubber
karakterur	1(skúli, tlm.)mark(s); set of marks;(am.)grade; (høvuðskarkterur) class(t.d.candidates are grouped into three classes: First, Second, and Third)2[íyms.samb.]fáa verri karakterlose marks, be marked down;karakterur fyri atburð og røkiskapmark for conduct and orderliness (el. neatness);fyrsti karakterurfirst, first class degree, first class honours;hann fekk fyrsta karakterhe got a first(GG:fyrsti karakterur liggur ímilluma firstoga second); geva karakter fyri verkevnimark papers;geva ov høgan karakterovermark;ein karakterur verður givin fyri hvørja royndone set of marks is given for each of the four tests;7 karakterir verða givnir í lærugreininimarks are given for 7 subdivisions of the subject;góður karakterurhigh marks(t.d.get high marks for a paper, in mathematics);ringur karakterura bad mark, low marks
