V1	1rómverskt taltekn fyri 52(st.)volt
vallbøkkur	grassy patch in the bird cliff;tað var ikki ein vallbøkkur, har eg varthere was not a single patch of grass where I was
vallfløta	grassy plain, steppe
vallgarður	wall made of grass sods;úti við eggina er vallgarður, sum skal forða oksunum at fara útavnear the edge (of the mountain) a wall made of grass sods has been made to prevent the oxen from tumbling down
vallgil	grass-covered gully
vallgrógvin	grass-grown, grassy, grass-covered; vallgrógvingarðura grass-grown wall//garden
valling	grass-covered area;lundin eigur á eystaru síðu, tí har er meiri vallingpuffins have dug their nesting holes on the western side because the area is grassy;hann leyp niður á eina vallinghe jumped down on a grass plot
vallisti	(stjm.)electoralel.voters' register;(serst. am.)registration list;skrásettur á vallistaregistered voter
vallklingra	small grass-grown patch in the bird cliff;tað er ikki ein vallklingra nakrastaðnithere is not one single grass-grown patch anywhere
vallland	grassy place in a bird cliff
valloni el.vallonari	Walloon
vallonskur	Walloon
valloyri	(jarðfr.)marsh, salt meadows, marshland, saltings(flt)
vallóg	election act; (nýggj íOngl.)Representation of the People Act; (frá 1832, 1867, 1884) Reform Act
valluttøka	participation in the election, poll(t.d.a high poll), turn-out;lítil valluttøkasmall/low poll/turn-out;stór valluttøkaheavy poll, large turn-out
vallærugrein	(skúlam.)optional subject;(serst. am.)elective subject
valmaður	[sø.member of an electoral college,e.g.the one formerly elected to choose members of the Danish Landsting]; (ísamb.viðam.forsetaval) elector
valmannadrykkur	(kvæð.)nepenthe, draught of forgetfulness;Guðrun blandar valmannadrykkGuðrun mixes a drink of nepenthe
valmásaskuri	(fugl.)young glaucous gull
valmási	(fugl.)glaucous gull(Larus hyperboreus)(Gunnerus, 1767);lítil valmási, íslandsmásiiceland gull(Larus glaucoides glaucoides) (Meyer, B, 1822)Valmási ©NTNU
valmua	(plfr., tlm.)sídreymsólja
valmutur	corrupt (election) practices(flt)
valmynd	(teld.)menu
valmøguleiki	option, alternative, choice;eg hevði ongan valmøguleikaI had no option/choice/alternative;valmøguleikarnir eru nógvirthere is a wide range of options to choose from
valnevnd	(stjm.)election committee
valnøt	1walnut2walnut tree
valnøtatræ	1(plfr.)walnut tree(Juglans regia)2walnut (wood); (viðarslag) hickory
valorð	motto
valplakát	election poster
valreglur	electoral measure, electoral rule
valríki	(sø.)elective monarchy, elective kingdom
valrættaraldur	sívalaldur
valrættarkona el.valrættarkvinna	(sø.)suffragette
valrættartreyt	qualification for the franchise; (tíðum) census(t.d.a property census)
valrættur	franchise(t.d.the franchise was long withheld from women); the right to vote, the vote(t.d.women got the vote);(serst.ísmst.og sum lýsir, hvussu víðfevnandi hann er) suffrage(t.d.equal suffrage; woman suffrage; universal suffrage);vanligur valrætturadult/universal suffrage;avmarkaður valrætturlimited franchise;taka valrættin frá e-mdisfranchise sby;valrættur fyri konufólk!votes for women!;fáa valrættreceive/get the franchise, get the vote;geva e-m valrættenfranchise sby (t.d.women were enfranchised in 1918); confer the franchise on sby; give sby the vote;hava valrætthave the vote(t.d.women did not have the vote before 1918); have the right to vote, have the franchise;kvinnuligur valrætturwoman suffrage, votes for women;javnbjóðis valrætturequal franchise;javnbjóðis og vanligur valrætturuniversal suffrage; one-man-one-vote
valrøða	election address, election speech, electioneering speech
valrøðari	election speaker
valsa1	waltz(t.d.I waltzed with her)
valsa2	(tøkn.)roll(t.d.metal into sheets); (til tunnar plátur) laminate;valsað blýggjsheet lead, laminated lead, lead sheeting;valsað jarnrolled iron;valsað rørrolled tube;valsað stálrolled steel
valsamgonga	electoral pact; election pact
valsending	(útv., sjónv.)party political broadcast
valsigur	election victory, victory at the polls; (stórur) landslide(t.d.the Liberal landslide of 1906)
valsing	(tøkn.)rolling; lamination
valskeið	electoralel.election period
valskrá	programme (of a political party), platform;punkt á valskránniplank (of the platform)
valskúli	[skúlam.type of school where a number of subjects are optional]
valskylda	obligation to vote; compulsory voting
valsnildir	election trick, election gimmick
valstaðarkanning	exit poll; eis.eftirvalskanning
valstaður	(stjm.)polling place, polling station
valstríð	(stjm.)contest, election(eering)el.electoral campaign;(GG: am.:presidential campaign)
valstýri	(stjm.)election committee
valsur1	1waltz;dansa valswaltz2(tónl.)waltz;spæla ein vals
valsur2	(tøkn.)roller, cylinder; (á valsiverki) roll
valsvik	election fraud; electionel.ballot rigging, ballot box stuffing;gera valsvik(tíðum) stuff the ballot boxes, rig the election
valtra	roam, wander;hann gekk og valtraði úti á vegnumhe was roaming about
valtran	wandering, roaming
valtrari	backpacker, globe-trotter; tramp, vagabond,(am., eis.)hobo, bum;valtrarar, sum fjakkaðu umpersons who vagabondize;(tlm.)persons who are/go on the tramp, persons who are on the road;(am.)persons who go on the bum, persons who go bumming, persons who bum around
valtrýst	intimidation of electors, undue influence;leggja valtrýst áintimidate
valur	(sø.)field of battle;falla á validie in battle, die on the battlefield
valuta	sígjaldoyra
valuti	(bú.)currency;fremmandurvaluti (pengaslag) foreign currency/money/exchange; (gjaldmiðil og kursur) foreign exchange
valúrslit	election result;kunngera valúrslitið(alment) declare the poll
vambakona	[woman who cleans out the sheep's stomachetcafter slaughtering]
vambar	sívomb
vambardalur	íosb.sumtað er farið í vambardalit has been eaten
vambarindur	[black pudding encased in a piece of (lamb's) stomach]
vambarkast	violent shock from throworfall (to the ground)
vambarsíður	paunchy, pot-bellied, fat-bellied
vambur	íosb.sum(seta seg) við hondum í vambri/við hondum í vamburwith folded arms;sita hendur í vambribe sitting with folded arms;hon sat ikki og hugdi at við hondum í vambrishe did not remain a passive spectator;eg siti sum eitt býtt hendur í vamburI sit here with folded arms and do nothing
vaml	1contempt, (strong) dislike (to, of, for); disgust (at, with); loathing (of, for); abhorrence (of); aversion (to, for);hann hevði vaml av sær sjálvumhe was disgusted with himself2(feeling of) nausea;hann setti gaffilin í steikina, men troystaði sær ikki, vamlið kom á hann afturhe stuck the fork into the joint, but was once again overwhelmed by a strong feeling of nausea;hann fekk vaml av ov feitum matitoo rich food made him feel sick;hann hevur fingið vaml fyri rómakøkumcream cakes made him want to puke
vamla	sívavla1
vamlast	feel disgust, be disgusted; loathe, abhor, feel sick, make one want to puke;(am.)feel nauseous,(tlm.)get nauseous; vamlastvið e-tbe disgusted at/with sth, loathe sth;teir vamlaðust við at drekka vatnið í ánnithey loathed drinking the water from the brook;vamlast við e-n (fl.m.)feel a strong dislike for sby;eg vamlist við handa manninI am disgusted with that man
vamlisligur	1disgusting, loathsome, repulsive, nasty(t.d.smell; taste); nauseating, nauseous, sickening, foul, vile(t.d.smell; taste; weather);vamlisligt orðageipdisgusting bragging;hatta vamlisliga beistiðhe's a repulsive brute2(um mat, of food) sickly-sweet, cloying, nauseating, nauseous
vamm	1(gl.)blemish, defect, shortcomings, flaw;tað er ikki vamm á tíit is flawless;eingin kundi seta vomm á hennara handaverk(lasta) no one could put a finger on her work;hann er í teim vommumhe has a flaw of character;(orðt.) vamm er í hvørjum góðgripi,sígóðgripur2frailty, weakness, brittleness;(tilt.) mong eru ellis vommwith age comes brittleness
vammaður	1disabled and mentally handicapped;hann er vammaður av sjúkdómihe's disabled by a severe disease2disgraced, dishonoured, stained (by punishment and the like)
vammaleysur	impeccable(t.d.behaviour; dress; manners; style; taste); faultless(t.d.evening dress//attire); immaculate(t.d.dress); blameless(t.d.lead a blameless life); irreproachable(t.d.conduct), flawless
vampyrisma	vampyrism
vampyrkendur	vampyric
vampyrur	vampire
vanabundin	with set habitsorways, habitual, routine;vanabundið líva life of routine;vanabundið fólka slave of/to routine, a creature of habit/routine(GG:he moves in a groove; he is set in his ways; he stays on the same old track, he is in a rut);børn eru so vanabundinchildren are creatures of habit
vanabúgvin	(stb.)sívanabundin
vanadium	(evnafr.)vanadium
vanafastur	with set habitsorways, habitual, routine;fólkið var vanafast og afturhildið í hugsanarháttipeople were slaves of routine and conservative in their way of thinking; síeis.vanabundin
vanafesta	living a life of routine, thinking in grooves;hugsanirnar vóru bundnar at pátrúgv og vanafestupeople's way of thinking was influenced by superstition and a life of routine
vanafesti	(sj.)sívanafesta
vanafullur	seyður er so vanafullur sheep have set habits; sívanabundin
vanahugsan	thinking in grooves
vanalív	conventional life, humdrum existence
vanalyndi	having a conventional temperament;eitt gudlýðið vanalyndi(lead) a god-fearing and conventional life
vanaverk	routine;daily routinedagligt vanaverk
vanbjóða	(kvæð.)íosb.sumverður (oss //tær) nakað vanboðiðwrong (us//you); do an injustice to (us//you); do (us//you) an injustice
vanbrúk	neglect, state of disrepair;vera/liggja í vanbrúkibe in a state of disrepair; be neglected;húsini hava ligið so leingi í vanbrúkithe house is in a bad/poor state of repair;komin í vanbrúkbe in disrepair, be in poor/bad repair, be in bad condition
vanburður	(stb.)síóburður,vanskapningur
vanbýta	(sj.)treat unfairly, not give a fair deal;(eis.)give sby less than his (due) share;pápin vanbýtti meg við ognini, tí at eg fekk festiðmy father gave me less than was my due share because I got the copyhold (farm)
vanbýti	íosb. ver(ð)a fyri vanbýtibe treated unfairly;hann var fyri lagnunnar vanbýtiFate had not dealt kindly with him, he had not had his fair share of luck, he had had a hard deal
vanbýttur	treated unfairly, who has not been given a fair deal;vera vanbýtturnot having been given a fair share;menn hildu seg vera vanbýttarmen were of the opinion that they had been treated unfairly when the land was redistributed/when the exchange of land took place;tað var vanbýttit was unequally distributed
vanbøn	oath, curse, expletive, swearword; evil prayerorwish;tað kom ikki vanbøn av hansara munnihe never used foul language
vanda	1take pains (over sth), be at pains, take trouble (over sth); do sth carefully, accuratelyorwith precision; vandasær um e-ttake pains over sth;vandið tykkum um máliðshow more respect for the language, be more careful when you speak2be fastitiousorparticular;best dámar nebbafiskinum sildaæti, men hann vandar heldur ikki sildina sjálvafin whales prefer herring fry but they do not reject herring;fiskurin hevur hug at vanda agnfish can be particular about the bait used3vanda veðurconsider the weather to be too bad;teir fóru ikki avstað, tí teir vandaðu veðurthey did not set out because they considered the weather too bad
vanda-	síeis.váða-
vandaarbeiði	work over which one take pains, precision work
vandabólkur	(lækn.)group at risk, `at risk' group;(løgfr.)group of risks;børn í vandabólki high-risk children(børn, ið er í vanda at gerast brekað likamliga, sálarligael.sosialt)
vandabøn	oath, curse, expletive, swearword;biðja vandabønswear, curse;vættrar tola ikki vandabønbrownies/pixies do not tolerate swearwords; sívanbøn
vandaður	carefully carried out, well made;væl vandað arbeiðia work carefully carried out
-vandaður	síber-
vandaferð	dangerous journeyel.voygage, a perilous expedition
vandafullur	1dangerous, perilous, hazardous, risky;vandafult arbeiðia perilous task;Høvdasund er streymhart og vandafult at fara umit is dangerous to sail through the Høvdasund because of the strong current2(sj.)difficult;hvussu vandafult er tað ikki at finna rættar mennit is difficult to find real men
vandaførur	(sj.)difficult;tað man vera vandaført at fáa høli her í junimánaðiit must be difficult to get hold of a room here in June
vandahond	skilfulordexterous person;tað sæst, at her hevur vandahond verið áit is obvious that a skilful person has made this
vandaískoyti	(sigl.)danger money
vandaítrótt el.vandaítróttur	extreme sports
vandaleið	perilous water(s);nógv skip eru burturgingin um hesa vandaleiðmany ships have been lost in these perilous waters
vandaleysur	1safe(t.d.it is quite safe to do that); not dangerous(t.d.not dangerous to navigation); harmless(t.d.a harmless lunatic); innocuous(t.d.microbes)2which constitutes no danger;spælið er ikki heilt vandaleystthe game is not without risks;vandaleys skurðviðgerðan operation which presents no danger, (tíðum) a minor operation
vandaligur1	1careful, accurate, precise, who takes pains/troubles (over sth), painstaking; who does sth carefully, accuratelyorwith precision;hann er so vandaligur í øllum, hann fæst viðeverything he does he does carefully2carefully carried outorwell made;at búgva í vandaligum húsumto live in a house of high standard;hon var vandalig upp á kroppshe was well-turned; she had a shapely figure3(um arbeiði, of work) which requires particular care4[sumhj]vandaligawith great care, neatly, carefully, thoroughly, exhaustively;tá ið fuglur varð royttur, varð farið vandaliga umwhen birds were plucked, things were done neatly
vandaligur2	(sj.)dangerous, risky; síeis.vandafullur
