t.	(st.)hour
trítáttaður	1(tógvo.tíl.)intertwined with three threads2(um tog) three-stranded rope
tríteigaður	(prent.)three-column(ed)
trítentur	(plfr.)tricuspidate
trítindaður	three-pronged;trítindað kvíslthree-pronged hayforkorpitchfork
trítornaður	(uml.)trítornað silvur hallmarked silver
trítoymi	team of three horses
trítráðað	(tógv) three-ply(t.d.knitting yarn)
trítrátt	(um garn, of thread for weaving) intertwined with three threads, three-ply thread
trítríggjaður	(sigl.)three-masted;trítríggjað barkthree-masted bark
trítrola	(sigl.)[three trawlers fish in co-operation (two at the time)]
trítroling	(sigl.)[three trawlers fishing in co-operation (two at the time)]
trítræari	(sigl.)ship of three masts, three-masted ship
tríu	(kortsp.)three(t.d.the three of spades)
tríund	(tónl.) third
tríva	seize, grip, grasp, clutch, tug, pull, jerk, snatch, grab, lay hold of;tríva e-n//e-tseize sby//sth;hon trívur eftir krússinumshe reaches (out) for the mug;tríva í (e-n)1seize (sby), clutch (sby), lay hold of sth, catch hold of sby;hann treiv í bringuna á honumhe seized him by the collar;hon treiv í armin á mær fyri at steðga mærshe clutched my sleeve to stop me2utter, begin to say sth;hundurin treiv í eitt goyggjthe dog barked once;maðurin treiv í ein eiðthe man let out/rapped out an oath;hann var í góðum lag og treiv í eitt kvæðihe was in high spirits (not sober) and began singing a passage from a ballad;mangan treiv hon í kvæðaørindi og sálmaørindishe often used to quote from ballads or from a stanza of a hymn;ofta varð trivið í at syngjathey often sang;hann trívur í at læahe begins laughing;hann treiv so íhis remark seemed to suggest; he uttered a remark of that nature3begin working, do sth, accomplish sth;tað var ikki smávegis, hann fekk at tríva íthere was a lot of work waiting for him;her er ov mikið at tríva íthere is no shortage of work here;tríva umclasporgrasp;hann treiv um halafaksið á hestinumhe grasped the horse by the tail;hundurin leyp á hann og skuldi tríva um barkan á honumthe dog tried to seize him by the throat
trívast	(el. trívist)treivst trivust trivist thrive, bloom, flourish; be/feel happy, be/feel comfortable; be doing fine(t.d.the children are doing fine);trívast væl //illabe/feel happy//unhappy;hon trívst væl í nýggja arbeiðinumthe new job suits her well;hann trívst illa í nýggja umhvørvinumhe is unhappy in his new surroundings;blómurnar trívastthe flowers thrive/do well;væl er her lítið útsýni, men staðið, her húsini standa, er so fjálgt, at her kunnu bæði menniskju og grøði trívasttrue, the view is poor, but the house stands in such a snug corner that both people and flowers can thrive;(orðt.) tolin trívst,sítolin
tríveingja	(flog., sø.)triplane
tríveldasamgonga	(sø.)Triple Alliance (Týskland, Eysturríki-Ungarn og Italia fyri fyrra kríggj)
tríveldavinasamgonga	(sø.)Triple Entente (Frakland, Russland, Bretland og Japan í fyrra kríggi)
tríverk	trilogy
trívinnuskipan	(sø., landb.)three-course system
trívíddar-	three-dimensional(t.d.film), 3Del.3-D
troða1	tread, step;troða dansdance;dansurin varð troddur við lív og sálthey threw themselves into the dancing life and soul;troðið nú lættliga dansinstep a merry dance;troða korntread corn (before the threshing);(kvæð.) troða organ/urganplay the organ;troddar gøturtrodden paths;eggið er troðiðthe egg is fertilized
troða2	1íosb. troða á(um seyð í rakstri, of sheep driven together) dash forward (towards the pursuers) in order to escape;støkkur kemur í seyðin, hann troðar á/á teir, og teir verða av við alla gongunathe sheep are panic-stricken and dash towards them and the entire sheep drive succeeds in escaping2(um fugl, of male bird) cover;hanin troðar hønunithe cock covers the hen;troðastmate;ravnur troðast í torraravens mate intorri (q.v.);sítroða13(um mjørka, of fog) íosb. troða seg samanbecome denseorthicken;mjørkin hevði troðað seg saman og fylti fjørðinthe fog had thickened and the fiord was packed with fog
troðfullur	chock-full, brimful, packed, crammed crowded, deeplyel.heavily loadedel.laden, completely full;tvey troðfull skiptwo ships floating on the cargo;firðirnir standa troðfullir av fiskithe fiords are crammed with fish
troðin	sítroða1
troðk	(a) (óregl.)sítrok(a)
trog	1(gl.)food trough, wooden dish2(measure) [two hundred coalfish (caught in a seine)]3incompetent or useless person, person lacking in character;títt treiska trog!you scoundrel
Troia	(sern., landafr., sø.)Troy
troiamaður	Trojan
troianskur	Trojan;troianski hesturinthe Trojan Horse;troianska kríggiðthe Trojan war
trok	sítrokan
troka1	(sj.)need, (financial) difficulties;bjarga e-m úr trokunihelp sby out of a difficulty;hon var komin í trokuna av hesum ókunnuga gestishe had come into difficulties by this unknown guest
troka2	1push (forward), elbow, thrustel.force one's way(t.dinto the room), press(t.d. the crowd pressed to see what was happening), jostle(t.d.guests jostled each other in the hall), throng(t.d.round him), shove;troka (e-nel.e-t) fram, ígjøgnum, inn o.tíl.push sby forward, in, throughetc; harðliga trokaði ein kvinna seg fram millum tey fremstua woman elbowed her way to the front;troka seg framatbe pushy, be openly ambitious;troka áput pressure on, bring one's influence to bear, press for sth;troka á kommununa at gera vegin lidnanpress the local authority for completing the road;tíðindini trokaðu seg inn á Símun, nú hann kom inn um handilsdyrnarthe moment Símun stepped into the local shop he was smothered with news;tá ið einki óvanligt trokaði áwhen no matter of urgency was at hand;havhesturin trokar seg inn allastaðnifulmars drive away other birds2push away, pushel.shove sby, sth aside, take sby's place;hann trokaði meg burturhe pushed me aside;trokið ikki so!don't push!;troka e-n av (eis. fl.m.)take sby's place;donsku vísurnar mundu heilt trokað føroysku kvæðini avDanish ballads almost replaced the Faroese ballads3íosb. trokandi fullurpacked, crammed, crowded, chock-full;allir vegir vóru trokandi fullir av fólkiall roads were crammed with people
trokafullur	crammed, packed, crowded, chock-full;krambúðin var trokafull av fólkithe shop was crammed with people
trokan	(av fólki, of people) crowd, throng, crush(t.d.she nearly got trampled in the crush);har var ein øgilig rokan og trokanpeople were bustling and trampling
trokfullur	samkomuhøllin var trokfullur av fólki the hall was crammed with people; sítrokafullur
troking	sítrokan
trokingartíð	rush hours(flt),the rush, peak hours(flt);síháferðslutíð
trokkla	(handarb.)baste (t.dshe basted the hem of the shirt)
trol	1(sigl.)trawl;royna við trolitrawl;skræða troliðtear the trawl;tað var eitt gott hál, men posin slitnaði frá trolinumit was a good haul but the cod end broke from the trawl2tangled handlines;koma í trolthe handlines were tangled;endiliga kom hann at borði við øllum trolinum, og hetta var eingin tespilig sjón: ein øgilig fløkja av snørum og loddumfinally he pulled up the entanglement and it was not a pleasant sight, a vast tangle of handlines and sinkers3íosb.sumfara upp á trolrun after (the) girls
trola	1(sigl.)trawl;trola á landleiðinitrawl in home (Faroese) waters2(stb.)dredge, sweep;trola eftir øðumdredge for horse mussels3(skemt.)run after (the) girls
trolara-	
trolarafiskiskapur	trawling
trolarafloti	fleet of trawlers, trawler fleet
trolaramaður	trawler
trolaramanning	crew of a trawler
trolaraskipari	skipper of a trawler
trolaratúrur	trawler's fishing expedition, fishing trip on a trawler
trolaravinna	trawling industry
trolari	(sigl.)trawler;ganga sum ein trolarisail fast;ferð var komin á bátin, hann gekk sum ein trolarithe boat had gathered speed, it sailed very fast
trolbassi	(sigl.)man who mends trawls (on board a trawler)
trolbátur	(sigl.)small trawler
trolfiskur	fish caught with trawl, trawler fish
troling	trawling;troling á landleiðinitrawling in home (Faroese) waters
trollemmur	(sigl.)trawl door
trolmaður	(sigl.)net man;hann fór við sum kønur trolmaðurhe signed on as an experienced net man
trolposi	(sigl.)cod end
trolskip	(sigl.)small trawler
troltrossi	trawl rope, trawl warp
trolveiddur	caught with trawl;trolveiddur fiskurfish caught with trawl
trolveiða	trawling
trom	1(á flata) edge(t.d.the edge of a board; set a board on edge), fringe, border, margin(t.d.of a lake)2edge(t.d.the edge of a cliff);Skúvoyggin hevur snipsar tremurthe cliff edges of Skúvoy are (perfectly) precipitous/vertical3edge; (á rundum lutum,t.d.brillum) rim; (á koppi, kario.tíl., serst.árundaðum) brim, lip(t.d.the lip of a cup);á tremurfilled to the brim, chock-full;goymslurnar eru á tremur við fiskithe stores are full up with fish;báturin fleyt trom um tromthe boat was deeply/heavily loaded/laden4(á húsum, of a house) floor, storey;hann bygdi eina trom oman á húsinihe added a floor to the house
troma	(húsasm.)not lie level, not be flush(t.d.um bretti á gólvi,e.g.of a floor board)
trombon	(tónl.)trombone
trompet	(tónl.)trumpet;blása/spæla á trompetplay the trumpet; (sum atlát) blow/sound the/a trumpet
trongaljóð	(málfr.)fricative;" f" og " s" eru trongaljóð`f' and `s' are fricatives
trongbýli	closely packed housing sector;tey liva í trongbýli tætt hvørt upp at øðrumthey live crowded togetherorhuddled together in a closely-packed housing sector
trongd	1crowd, gathering, throng, crush;hvørja ferð tey komu í trongd, kendi hann ein mjúkan kropp koma tætt inn at særwhenever people crowded round him, he felt the closeness of a soft body2(sj.)narrow passage, place where a road narrows3apprehension, anxiety;tað kom sovorðin trongd á hanashe was overcome by an overpowering anxiety;trongdin situr henni fyri hjartanumapprehension is deeply-rooted in her4difficulty, troubles, hardships, tripulation;allar trongdirnar hava set aldur á hanahardships have aged her beyond her years;armóð, svongd og aðrar trongdir nívdu tá á teimthey were oppressed by poverty, hunger and other tripulations;bjargaði honum úr øllum trongdum hansarahe was relieved of all his difficulties;slopnir úr tí stóru trongdini her á foldhaving escaped all the wordly troubles;koma í trongdget into (serious) trouble5need, want, requirement; urge;hjálpa teim fátæku, tá trongd var til tesshelp the poor when they were in need;kenna trongd at gera e-tfeel like doing sth;av øllum hesum kom trongd á meg at verða einsamallurall these cirumstances made me feel an urge to be by myself;koma á trongdbe wanting/be bursting to pee6(lækn.)shortness of breath, difficulty in breathing;tá ið hon var komin næstan til hús, kom ein sovorðin trongd á hana, at hon mátti seta seg niðurwhen she had almost reached home she was overpowered by respiratory trouble/respiratory distress that she was forced to sit down7(sigl.)heavy swell, a heavy swell was running
trongdarflóð	[unusually high waterel.tide (caused by low pressure before a storm)]
trongdartíð	hour of adversity;júst henda trongdartíðin lærdi tey at fara til hansara við sorginithis hour of adversity taught them to turn to Him with their grief
trongdi	sítreingja
tronghyrntur	(um seyð, of sheep) sínærhyrntur
trongi	1narrow passage; alley, lane; strait; pass;teir fingu rikið nøkur ross á trongathey succeeded in driving some horses into a narrow passage;sjórænararnir vórðu lumpaðir á trongan og kastaðir omanthe pirates were ambushed in a cul-de-sac and were thrown into the sea2(fl.m.)predicament, difficult situation, difficulty;eg var komin upp í ein tronga, sum eg ikki slapp út úr uttan at hopa undan og flýggjaI had come into a difficult situation which I could not escape except by retreating and running away;teir skulu ikki koma í nakran tronga av mærthey shall not get into difficulties on my behalf3(fl.m.)bottleneck4(lækn.)stricture(t.d.stricture of the neck of the bladder), stenosis; stent
Trongisvágur	(stn.)village on the island of Suðuroy;í//úr Trongisvágiat//from (the village of) Trongisvágur;til Trongisvágsto (the village of) Trongisvágur
trongisvingur	person atorfrom (the village of) Trongisvágur
trongligur	1(um rúm, of space) (rather) small, tight, cramped;tað var so trongligt har heima í stovuour drawing room was rather small(GG:I feel cramped in this room)2(um mat, peningo.tíl.,of food, moneyetc)short;tað var trongligt við mati í landinum ta tíðinaat the time there was shortage of food in the country;hevði tað verið fátækt og trongligt fyrr, so var at kalla neyð núif circumstances had been bad before, the situation was, if anything, much worse later on
trongljóð	(málfr.)sítrongaljóð
trongri	(the comparative) sítrongur
trongrúm	íosb.sumliggja/vera til trongrúmwhich takes up space, which takes up (a great deal of) room, which is bulky;skipskistan var til trongrúmthe sea chest took up much room;eg haldi meg vera til trongrúmI hope I am not disturbing you
trongskinnaður	(um kríatúr, of cattle) of skin that is too tight and inelastic;trongskinnað neyt er ikki heilsugottcattle whose skins are too tight and inelastic are not in good condition
