r	h (málfr.)consonant,/ær:/
rangvenda	(stb.)turn the wrong side out(ward); reverse the material;hann rangvendi húgvunihe turned out the wrong side of the cap
rangverdur	(stb.)sírangvørgur
rangviðaður	(um við, of wood) cross-grained
rangviður	timber with an irregular grain
rangvørgur	1with the wrong side out, inside out;í rangvørgari troyggjuhe wore his jersey with the wrong side out2(turned) the wrong way, twisted, distorted, wrong;hetta skjalið gevur eina rangvørga mynd av viðurskiftunumthis document gives a distorted picture of the situation3(um fólk, of people) sullen; intractable, unaccommodating, difficult to get on with, unreasonable
rani	1something narrow, narrow stripel.ribbon, very narrow strip of land;báðir partar áttu ranan millum stykkini, men hvørgin skuldi velta hannboth parties owned the balk (the narrow strip of land) between the plots but neither part was allowed to cultivate it2(t.d.á fíli, of elephant) trunk,(t.d.á skordýrum) proboscis(flt-es);fílurin lyftir hana við rananumthe elephant lifts her up with its trunk;flugurnar súgva í seg við rananumflies use their probsosces when sucking up sth
ranka1	roam, wander; rove(t.d.from one town to the other), gad(t.d.gad about the world); rankalandið runtwander about the country;ganga og ranka og slankaroam about;rankasthe always gads about;hann gongur altíð og rankast útihe always gads about (he's never home)
ranka2	pile (up), stack(t.d.books); rankaviðin uppstack the wood
rankari	rambler, roamer, traveller, vagabond; (um e-n ið tíðum skiftir arbeiðspláss) drifter, job-hopper
ranki	(handv.)stable, pile, stack; rankiav viðia stack of wood
rankur	1(um bát) unsteady, crank, cranky, tender;báturin er rankur undir seglinumthe boat is crank when the sail is set2straight(t.d.back; tree trunk), upright, erect; proud;hann reisist úr sæti og trínur rankur og ferðugur fram á gólvhe gets up/rises and steps forward, holding his head high
rann1	1(kvæð.)residence, house, abode;í risans ranniin the giant's house2noisy, small children3rabble, riff-raff, scum;tað er eitt rann, ið har býrthe people who live there are scum4gang;ránsmannaranna gang of thievesel.robbers
rann2	sírenna2
rannsaka	search, rannsack, go through, go over; examine;sýslumaðurin bað teir rannsaka húsiðthe sheriff asked them to search the house;hann fór til læknan at verða rannsakaðurhe went to the doctor to be examined;teir rannsakaðu dagliga skriftirnarthey studied the documents daily;hann fer undir at rannsaka føroyskthe's going to study Faroese
rannsakan	search, ransacking; examination; rannsakanfór fram í húsinumthe house was searched;eftir langa rannsakan gjørdist læknin vissur um sjúkunaafter a lengthy examination the doctor achieved certainty about the disease
rannsókn	investigation, research(t.d.scholarly reserach), inquiry;søguligar rannsóknirhistorical research;náttúrufrøðiligar rannsóknirscientific research;rannsóknir av norrøna málinumresearches into Old Norse
rannsóknar-	research(t.d.assistant); examining(t.d.magistrate); criminal(t.d.police); scientific(t.d.expedition)
rannsóknardómari	(løgfr.)examining magistrate
rannsóknarevni	material (to be) investigated
rannsóknarferð	scientific expedition
rannsóknari	investigator, research worker; researcher; (tíðum) postgraduate student, research fellow; student(t.d.a student of Shakespeare); (í hugvísindumeis.)scholar(t.d.the well-known Shakespearean scholar); (í náttúrulærugreinumeis.)scientist;(lækn.)trialist
rannsóknarløgregla	criminal police;rannsóknarløgreglan (eis.)the criminal investigation department
rannsóknarmaður	investigator, student; síeis.rannsóknari
rannsóknarnevnd	(sumt.d.skal greiða mál) court, committeeel.commission of inquiry; (sum skal útvega upplýsingar av týdningi) fact-finding committee(GG:the Government appointed a committee to investigate the matter); working party; (óheft, men við stjórnartilknýti) quango
rannsóknarstarv	1research work2post as a researcher
rannsóknarstjóri	research chief
rannsóknarstova	research laboratory
rannsóknarúrslit	research achievementel.result
rannvála	(stb.)sírannvæla
rannvæla	rummage, search, rannsack;hønurnar høvdu so rannvælað alt tilthe hens had messed up everything;ganga og rannvæla í haganumgo rummaging about in the outfield
ransón	(sigl.)ration;ransónin hjá hvørjum manni varð minkað í hálvt pund um dagineach and every man's ration was reduced to half a pound a day;seta tey á hálva ransónput them on half rations
rapa	1fall, topple down; drop;standa at rapabe on the verge of tumbling down;har er ikki lukkuligt at lata børn spæla, tí garðurin stendur at rapait is extremely unwise to allow the children to play there because the stone wall can topple down any minute;rapaður garðura stone wall which has fallen down;"ert tú steinóður, maður?" rapar tað fram úr honumare you out of your mind? he burst out2roll; rapagrótroll stones;rapa grót oman á teirroll stones down on them3(um knív, of knife) fall out;eggin raparthe edge falls out
rapaður	fallen down, (um hús) broken-down, collapsed, fallen in, tumbled down, caved in; (næstan rapaður) tumble-down; rapaðurgarðura tumble-down fence;rapaðir varðartumble-down cairns;húsini eru rapaðthe houses have collapsed
rapl	fallen rockel.earth, landslide, fall;hvør kundi so gruna, at hann lá undir raplinum?it was impossible to foresee that he would lie under the fallen rock
rapla	1fallel.topple down, drop;garðurin raplaðithe fence toppled down;múrurin raplaði niðurthe wall fell;raplaðar toftircollapsed ruins;lata raplatalk and talk, speak impertinently;lat bara rapla, hin gamla, tú hevur ikki sagt meira enn so í kvøldyou can talk, that's okay, because you haven't said much this evening;tað kundi hann rapla út, áðrenn hann dró andan aðru ferðhe managed to say it before he had breathed twice2(um gás, of goose)rapla urptlay eggs more frequently (because the goose is going to brood)
rapp	(tónl.)rap, rapping
rappa	(tónl.)rap
rapul	(gl.)rumbling fall(t.d.of stones sliding down);undir raplinumunder the landslide
rasa1	rage, be in a rageel.fury, rave, be beside oneself with rage, be furious, fume; (serst.um veður,espof weather) rage; (oyðileggja) wreak havoc; (um veður og vindeis.)rage, rave;rasandiin a fury;við rasandi ferðat (a) breakneck speed, at a furious speed/rate/pace; tear along;rasandi rennur hann runt í klingurhe//it runs round and round in a rage
rasa2	fall, stumble, miss one's footing;kúgvin rasaðithe cow stumbled
rasarabátur	(tlm.)speedboat
rasarabilur	(tlm.)racer
rasarakoyrari	1(í bili) racing driver2(á motorsúkklu) racing motorcyclist
rasarasúkkla	racer (bike)
-rasin	síal-,ov-
rasisma	racism
rasistiskur	racist(ic)
rasistur	racist
raskleiki	boldness, bravery;tiltikin fyri raskleika(he//she was) renowned for his//her boldness
raskur	1brave, bold; hard-working, industrious, persistent, persevering;hann hevði ein avbæra raskan húskallhe had a farm hand who was extremely hard-working;raskur sjómaðurhard-working seaman;hon er røsk til arbeiðisshe is industrious in her work2skilful, able, capable, competent, energetic, good at sth; raskurmaður at fiskahe's a skilful fisherman;raskur at kvøðahe's good at singing ballads;raskur at svimjabe good at swimming, be a good swimmer3given to, prone to; raskurat deilastgiven to bickering;raskur at finnast atgiven to criticizing, given to finding fault with
Rasmus	(sern.) (skemt.)íosb.sumflyta/seta Rasmus um fjørðin, rógva við Rasmusi, hitta/kasta Rasmusrelieve oneself
rasp1	rasp, coarse file
rasp2	breadcrumbs(flt); koyra í rasprasp
raspa	(við fíl) rasp
rass	faint noise;hann helt seg hoyra rass í seinginihe thought he could hear a faint noise from the bed (someone had woken up)
rassa	1mess sth up, disorder sth by rolling onel.in itel.by sitting on it in a restless manner; rassaseingina niðurdisorder one's bed(clothes);rassa niðurtrample down;tær høvdu rassað akurin niðurthey had trampled down the corn;vit máttu ikki rassa hoyggið ov mikið samanwe were not allowed to pack the grass too much2rassast/rassa seg/særsitorlie restlessly, continually change one's position (while sittingorlying);hann rassaði seg upp og legði hondina út á stokkinhe tried to pull himself together and put his hand on the bedside;hann royndi at rassa sær á, men tað bar ikki til, hann fekk so ræðuliga ilthe tried to move, but it was impossible, it was too painful;keypstaðurin var rassaður úr svøvnithe town had woken up;postbáturin rassaðist bygd av bygdthe mail boat sailed about from village to village
rasshaft	1íosb.sumseyðurin er komin upp í rasshaftthe sheep has got loose wool wound round its back legs so that it is unable to walk2(fl.m.) hann er komin (upp) í rasshaft (av e-m)he is in difficulties, he is in trouble, he is not able to solve the problem
rasshol	síarshol
rassur	1behind, seat, backside, bottom2the bottom part of a peat stackel.a haystack
rastmynd	half-tone
rastur	(prent.)screen
rasu-	race, racial
rasuástøði	racialel.race theory
rasublandaður	of mixed race
rasublanding	mixture of races; (tað at) miscegenation
rasudálking	(nasistisk hugtak) racial infamy
rasudámur	racial character, race type
rasuerpni	pride of race, racial pride
rasufelagi	member of the same race
rasufelagsskapur	community of race
rasuflokkan	anthropological classification, classification of races
rasufordómur	racialel.race prejudice; colour prejudice; (tíðum) racial feeling
rasuhatur	racialel.race hatred
rasuhugmóð	feeling of racial superiority; (tíðum) racial prejudice
rasukensla	racial feeling
rasulívfrøði	racial biology
rasulívfrøðiligur	rasulívfrøðiligur spurningur question of racial biology;rasulívfrøðilig kanningstudy in racial biology
rasulívfrøðingur	racial biologist
rasulæra	racial anthropology
rasuminniluti	racial minority
rasumunur	difference of race, racial difference
rasuófriður	racialel.race riots(flt); racial violence, colourel.race riot(s);rasuófriður kyknar uppracial flare-up(s)
rasuójavni	racial inequality
rasupolitikkur	politics of race; racial policy
rasureinleiki	racial purity
rasurøkt	eugenics
rasurøktar-	eugenic
rasusamanbrestur	racial conflict
rasusamansjóðing	racial integration;(am.,tíðum) desegregation(t.d.of schools)
rasuskilnaðarpolitikkur	policy of segregation;(sø. serst. viðv.Suðurafrika) apartheid
rasuskilnaður	1(viðv.vinnuo.tíl.)raceel.racial discrimination2(viðv.bústaði, skúlum, flutningstólumo.tíl.)segregation;(sø.í Suðurafrika) apartheid
rasuspurningur	question of race, racial question
rasustríð	racial struggleel.conflict; racial battle; racial war
rasusundurbýting	sírasuflokkan
rasutilknýti	ethnicity
rasutilvitandi	race-conscious; colour conscious
rasutrupulleikar	racial difficulties
rationalisma	rationalism
rationalistiskur	rationalist(ic)
rationalistur	rationalist
ratt	(sigl. og í bili)(steering) wheel
rav	amber
rava	(sj.)síravi
ravarakstur	1fish for halibut2(fl.m.)pay hospitable people a visit
ravblekk	(teld.)e-ink (eis.eink; stytting fyrielectronic inkogravindaligt blekkellaravindablekk)
ravbók	(teld)e-book (eis.ebook; stytting fyrielectronic bookogravindalig bókellaravindabók)
ravgulur	amber
ravhavin	containing amber
ravhúsi	(alisfr.)accumulator, (storage) battery;(teld.)accumulator;løða ravhúsanhave the battery charged; síeis.akkumulatorur
ravi	1(av kalva) [strip of halibut from the fattest part nearest the fins (= kalvaravi)]2(á skøtu) side of a ray, the half up to the backbone (= skøturavi)
ravindablekk	e-ink(eis.eink; stytting avelectronic inkogravindaligt blekkellaravblekk)
ravindabók	(teld.)e-book(eis.ebook; stytting avelectronic bookogravindalig bókellaravbók)
ravindalesifjøl	(teld.)e-reader(eis.ereader; stytting avelectronic (book) readerogravindalig lesifjøl)
ravindaligur	(alisfr.)electronic(t.d.data processing, music); síeis.elektroniskur
ravindapappír	(teld.)e-paper(eis.epaper,electronic ink display; stytting avelectronic paperogravindaligt pappírellaravpappír)
ravindi	(alisfr.)electronics; síeis.elektronikkur
ravkleiv	(alisfr.)electrode; síeis.elektroda
ravlað	(alisfr.)(electric) battery; síeis.battarí
ravleggur	(á pípu) amber mouthpiece
ravlesifjøl	(teld)e-reader (eis.ereader; stytting fyrielectronic (book) readerogravindalig lesifjølellaravindalesifjøl)
ravlittur	amber(-coloured)
ravmagn	(alisfr.)electricity; ravmagnat hita viðelectric heating;bilur rikin við ravmagnian electric (motor) car
ravmagna	(alisfr.)electrify
ravmagnaður	(alisfr.)charged; electrified
ravmagnan	electrification
ravmagns-	electric, electrical, (tíðum) power (t.d.borimaskinapower drill); síeis.elektrisitets-
ravmagnsbrigda	(ravm.)electrostatic generator
ravmagnsgeri	(alisfr.)generator; (javnstreymsgeri) direct current generator; (vendistreymsgeri) alternator
ravmagnsljós	electric light
ravmagnsløðing	(ravm.)electric charge
ravmagnsmaður	síelektrikari
ravmagnspera	electric bulb
ravmagnsskøta	(fisk.)electric ray, torpedo(Torpedo)© Wikimedia Commons
ravmagnsspenningur	(ravm.)electric voltage, electric tension
ravmagnsstik	electric fence
ravmagnsstoytur	electric shock
ravmagnsstreymur	(ravm.)electric current
ravmagnsstøð	power station, power house
ravmagnstól	1generator2electric device, electric machinery
ravmagnsveiting	(ravm.)electricityel.power supply
ravmagnsverk	power station, power house
ravmagnsverkfrøðingur	electrical engineer; (við akademiskari útbúgving) graduate electrical engineer
ravnabøli	1raven's nest2(fl.m.)pigsty;tú hevur gjørt heim okkara til eitt ravnabøliyou have turned our home into a pigsty
