u	(málfr.)vowel, /u:/
uppkók	parboiling, parboil;lat mjølbollarnar í og lat teir fáa eitt uppkókput in the dumplings/doughballs and parboil them
uppkyknaður	síkykna(upp)
uppkynding	firing, stoking
uppkyndur	síkynda(upp)
upplaðing	[the act of building a stone wall]
upplag	(um bók) print run, (um blað) circulation;stórt upplag(um bók) large print run/ impression; (um blað) wide/large circulation;fyrsta/annað upplaga first/initial/second print run
upplagdur	1washed ashore;inn móti helluni, har hin fíni, hvíti sandurin var upplagdurin towards the flat rocky shore on which the fine, white sand had been washed ashore2(of fish) landed;nógvur fiskur verður upplagdur í Klaksvíkmuch fish is being landed in Klaksvík3væl//illa upplagdurin high spirits/in good humour/cheerful/in a cheerful mood//in low spirits/depressed4schemed, plotted, hatched (plots);uppløgd ráðscheming, schemes, wiles, plot(t.d.defeat sby's plot)
upplatandi	which can be opened
upplatari	1corkscrew2tin-opener;(am.)can opener
upplatin	opened; sílata(upp)
upplating	opening
upplatingardagur	opening day
upplatingarhátíð	opening ceremony, inauguration (ceremony)
upplatingarsýning	(sjónl.)opening performance
upplatingartíð	(tá ið upp verður latið) opening time; (meðan upplatið er) hours(t.d.we don't do business after hours)
upplegg	1things washed ashore2plan;uppleggið hjá føroyska liðinum var at verjathe Faroese team planned to stress the defence3discussion paper, consultation document; uppleggtil orðaskifti
uppleitandi	investigative (t.d.reporting), outreach (t.d.staff, worker), itinerant (t.d.theatre)
upplesari	reciter;(sjónv, útv.)newsreader, newscaster; upplesarií útvarpinumradio newsreader
upplestur	reading (aloud), recitation(t.d.he gave readings from Shakespeare)
upplimur	(likam.)arm(flt fakl. eis.upper extremities)
upplit	look, appearance, expression;hann hevur gott//ringt upplithis appearance is attractive//unattractive
uppliva	experience, meet with(t.d.many adventures); live through(t.d.we have lived through five depressing years), go through, be through(t.d.he has been through a good deal);vit upplivdu nógv á ferðiniwe saw many things on our journey;hann upplivdi eina sanna gleðihe experienced true joy;aldri havi eg upplivað so yðjandi lívnever have I experieced such teeming life
upplivan	(sj.)síuppliving
upplivilsi	(tlm.)síuppliving
uppliving	1(royndir) experience2(ævintýr) adventure3(gleðiligt, áhugavert) treat(t.d.it was a treat to see him//to listen to him)4(spennandi) thrill(t.d.I got a certain thrill out of it)
upplivingarbúskapur	experience economy (t.d. she says that we are living in an experience economy)leisure economy (t.d.the country has a thriving leisure economy)
upplíva	encourage, enliven
upplívandi	cheering, heartening, enlivening, exhilarating; (ressandi) stimulating, bracing, encouraging; upplívandiorðheartening words
upplívgan	encouragement
upplop	1short-lived enterprise, momentary movementorcommotion;felagið hevur higartil vaksið seg javnt, so tað vísir seg ikki bert at vera eitt upplopthe society has had a steady growth so it would be wrong to label it a flash in the pan;hatta tíðarritið er bara eitt upplopthat magazine is here today and gone tomorrow2(viðv.arbeiði, performance) person who jumps up like a lion and falls down like a lamb3splashing, lapping; upplopí sjónum (av streyminum)the sea has become rough (caused by the current)
upploysa	upployst evni solute; síloysa(upp)
upploysing	1(tilgongdin, the process) dissolving, dissolution(t.d.on dissolution in water alkalis turn red litmus blue)2(úrslitið, blandingin) solution(t.d.a strong solution of salt; acidel.alkaline solution)3(rot) decomposition(t.d.the body was in an advanced state of decomposition), decay4disintegration(t.d.the disintegration of matter under the influence of radiation)5(at detta sundur) disintegration(t.d.disintegration of the Roman Empire);kreppa og upploysing er í samfelag okkaraour country is in a state of crisis and disintegration6dissolution(t.d.the dissolution of an association); (tingið verður heimsent) dissolution; (strikaðel.avtikið) liquidation, winding up, dissolution7(sjónv,myndaupploysing) picture resolution, picture definition
upploysingarevni	1solvent2(sigl., viðv.radara, radar) discrimination
upploystur	dissolved
upplyftur	1raised, lifted;mínar upplyftu hendurmy raised hands2in high spirits, in good humour, cheerful, in a cheerful mood; elated;hon var so glað og upplyftshe was delighted and elated
upplýsa	1throwel.shed light on, elucidate(t.d.a matter; a question); enlighten(t.d.in order to enlighten the public on this point); inform(t.d.the public)2explain, clarify, account for;síðan upplýsti brúðgómurin alt fyri konginumthen the bridegroom clarified the situation for the King;upplýsa e-n um e-texplain sth to sby;upplýst fólkeducated people;(sø.) upplýst einavaldenlightened despotism
upplýsing	information;fáael.geva upplýsingargive/supply information;til upplýsingar um Føroya miðøldto the elucidation of the Faroes during the Middle Ages;upplýsingar um felagið (handilsm.)general information;skeivar upplýsingarincorrect statements;villleiðandi upplýsingarmisleading statements
upplýsingarátak	informational campaign
upplýsingardobling	(kortsp.)take-out double, informatory double
upplýsingarmeld	(kortsp.)approaching bid
upplýsingarsamband	data connection
upplýsingarskylda	(tá ið trygging verður teknað) duty to disclose all material facts
upplýsingartíðin	the (Age of) Enlightenment
upplýsingartænasta	information service
upplæra	sílæra(upp)
upplærdur	trained, educated
upplæring	education, training, upbringing
uppløga	síuppiløga
uppløgutíð	síuppiløga
uppmálaður	depicted, painted
uppmáldur	measured, sureveyed
uppmáling	measuring, survey(t.d.the survey was started in 1895); (uppmálingarhátturin) surveying(t.d.various applications of mapping and surveying); (av rúmd) gauging;gera uppmáling(make a) survey
uppmáting	síuppmáling
uppmerking	1marking-out2note, (í dagbók) entry;uppmerkingar í dagbókinientries in the diary
uppmikil	large in the upper part of the body
uppmýldur	toothless,uppmýld kellingtoothless old woman
uppnevna	(løgfr.)appoint;umboðsmaður kongs uppnevndi løgrættunathe King's representative appointed theløgrætta
uppnos	1sudden roughorchoppy sea;tað er eitt sovorðið uppnosthe sea has suddenly become choppy2íosb.sumikki fáa uppnos1not get a word in edgeways;hon tosaði so nógv, at eg fekk ikki uppnos fyri hennishe spoke so much that I could not get a word in edgeways;teir vóru so illir, at vit fingu ikki uppnosthey were so furious that we were not able to interpose/put in a remark2rest, repose;hon gevur sær ikki uppnosshe never gives herself a moment's rest;eg havi so nógv at gera, at eg fái ikki uppnosI am up to the eyes in work that I can't rest for a minute;hann fær ikki uppnos, sum hann leikar í
uppnýggja	repair(t.d.a house; road; roof; car; ship); renovate(t.d.the house has been completely renovated); recondition(t.d.the central heating system); remodel(t.d.a house; a flat); refurbish(t.d.old furniture)
uppnýggjaður	renewed, reconditioned; síeis.endurnýggjaður
uppnýggjan	renewal, renovation, reconditioning, remodelling, refurbishing; síeis.endurnýggjan
uppogniðurvask	spring-cleaning
uppraktur	unravelled; síeis.rekja(upp)
uppráddur	having run out of; uppráddurfyri pengarhaving run out of money
uppreiddur	(of bed) made;uppreidd songa bed that is made; síreiða2(upp)
uppreiðing	making of a bed
uppreising	síuppreisn
uppreisn	1(átr.)resurrection; uppreisnlikamsinsthe resurrection of the body2(fyri tort) reparation, satisfaction(t.d.demand satisfaction for an insult); redress, amends; (hevnd) revenge;teir fingu uppreisn fyri ósigurin/tapið í fyrra dystinumthey got even in the return match
uppreisnarloyvi	(løgfr.)leave to appeal
uppreist	(sj.)síuppreistur
uppreistrarandi	disaffection; rebelliousness
uppreistrarfelagsskapur	revolutionary organization
uppreistrarherur	rebel army
uppreistrarleiðari	rebel leader, revolutionary leader
uppreistrarmaður	rebel
uppreistrarrørsla	insurrectionaryel.revolutionary movement
uppreistrarstjórn	rebel government
uppreistur	rebellion, revolt, uprising;fólkið gjørdi uppreistur móti einræðisharranumthe people rose in arms against the dictator
uppreittur	irritated, exasperated, provoked, teased, baited; síreita
uppreksan	rattling off, reeling off, enumeration;(niðr.)rigmarole, screed
upprendur	1(bát.)sheer fore and aft;báturin er nógv upprendur (til endarnar)the boat is sheer fore and aft2turned-up;hava upprenda nøshave a turned-up nose/a pug-nose/a snub-nose
uppringing	(telephone) call;eg fekk eina uppringingI got a (telephone) call
uppris	1surf, breakers; upprisí sjónumthe sea is rough2(fl.m.)disturbance;øll skúlastovan kom í uppristhe classroom was in an upheaval
upprisin	risen from the dead
upprit	1note;eg gjørdi nøkur upprit undir fyrilestrinumI took some notes during the lecture2minute, memorandum, record3account, report, (stytt) summary; uppritav orðaskiftinuma summary of the debate
uppritsbók	notebook
uppriv	(sj.)showdown, confrontation, clash;hann gjørdi uppriv um máliðhe provoked a showdown concerning the matter
uppríkaður	who has made a fortune, rich, wealthy
upprodnaður	blushing, flushed, deep red
upprokning	reeling off, rattling off, enumeration
upproyndur	having swept the fishing grounds clean (of fish);longumiðið varð upproynt og longan uppfiskaðthe fishing ground for ling has been fished out
uppróp	(sj.)declaration, statement;teir sendu eitt uppróp út til fólkthey sent out a statement to people
upprunafella	(oljuv.)original trap
upprunafólk	the original inhabitants; (um frumstadd fólk,eis.)the aborigines;upprunafólkið í Nýsælandi eru maoriarthe Maoris are the original inhabitants of New Zealand
upprunafrøði	(málfr.)etymology
upprunafrøðiligur	(málfr.)etymological;upprunafrøðilig orðabóketymological dictionary;upprunafrøðilig stavsetingetymological spelling
upprunafrøðingur	etymologist
upprunagreina	(málfr.)etymologize; upprunagreinaorðetymologize a word
upprunahandrit	original manuscript
upprunakykna	(lækn., lívfr.)stem cell
upprunaland	country of origin
upprunaligur	1original(t.d.aim; idea; meaning; plan; text); (fyrstur av sínum slag) original, earliest, first, primeval, primordial(t.d.the primordial form of a religion; the primordial cell from which life developed), aboriginal(t.d.the aboriginal population); (óspiltur, ónomin) pristine;tann upprunaliga ætlanin er sleptthe original plan has been abandonded;tann upprunaliga orðingin er broyttthe original wording (text) has been changed;hjupprunaliga2(jarðfr.) primary;upprunalig steinsløgel.grótsløgprimary minerals or rocks
upprunamál	1original (language);úr//á upprunamálinumfrom//in the original;skaldskapur á upprunamálinumliterature in the original2nativeel.indigenous language
upprunamerking	(málfr.)the original meaning of a word
upprunaorðabók	etymological dictionary
upprunarit	(løgfr.)script
upprunaskapur	originality; primitive character
upprunaskjal	(løgfr.)script
upprunaslag	primitiveel.primeval form, original form, form from which sth stems
upprunastaður	place of origin
upprunatilfar	(the) original(s)(t.d.use photocopies - we cannot accept responsibility for the originals)
upprunatýdningur	(málfr.)síupprunamerking
upprunaváttan	(handilsm.)certificate of origin
upprunaverk	(bókm.)work, bookel.literature in the original
uppruni	origin(t.d.the origin of this scheme; the origin of all our misfortunes); origins(t.d.his humble origins); (um framleiðslustað) origin(t.d.goods of British origin); source(t.d.the original source of this belief); (føðing) genesis, birth(t.d.the birth of Greek civilization); (á orði) derivation; av útlendskum uppruna (um vørur, siðiro.tíl.)of foreign origin; (um ætt) of foreign extraction;(lívfr.)exogenous, allogenous;av innlendskum uppruna(um vørur, siðiro.tíl.)of domestic origin;(lívfr.)endogenous;orð av sama upprunacognate words;av ivasomum upprunaof doubtful origin
upprunnin	arisen, stemmed from, come from, originated in;søgan tykist verða upprunnin í gomlum døgumthe story is most likely of ancient origin
upprúgvaður	accumulated, piled up
upprúm	(likam.)auricle, atrium (í hjarta)
upprúmsflákran	(lækn.)auricular flutter
upprætnaður	(um króko.tíl,of hook or the like) straightened outorup;krókurin var upprætnaðurthe hook had been straightened out/up
upprættur	1upright, on end, raised, erected; straight, erect;eg kundi standa upprættur undir tekjuniI could stand upright under the roof2við upprættum hondumwith raised arms3(plfr.)(um grein, legg, of branch, stem) erect
uppsagdur	dismissed, discharged; (um embætismanneis.)removed;(herm, eis.)dismissed from the service; fired, sacked, got the sack, got one's cards
uppsagnaráseting	(í sáttmála) denunciation clause
uppsagnardagur	1term of notice2(sigl.)cancelling day,(st.)c.d.;vera ov seinur til uppsagnardaginmiss the cancelling day (ísamb.við leigusáttmála;c.d.er allar síðsti dagur, skipið skal vera búgvið at ferma)
uppsagnarfráboðan	term of notice
uppsagnarfreist	term of notice
uppsagnarløn	severance pay, redundancy payment
uppsagnartíð	term of notice
uppsagnarumsókn	letter of resignation;lata inn uppsagnarumsókngive in/tender/send in one's resignation
uppseldur	sold out(t.d.the edition is sold out; all the tickets for the theatre were sold out);bókin er uppseld (eis.)the book is out of print;(sjónl., eis.)full house
uppsending	(teld) upload
uppseting	1(sjónl.)production, staging;bæði uppseting og spæl eiga rósboth the staging and the acting have been laudably executed2wording, text;teir vildu broyta uppsetingina, sum nevndin hevði gjørtthey intended to change the committee's wording3layout(t.d.the layout of an advertisement//a page)4(tele.)configuration, edit
uppsettur	1tucked up, set up;genturnar stóðu við uppsettum skjúrti í ánnithe girls were standing in the stream with tucked up skirts2(of boat in stormy weather) having sought shelter (in another village or place)3(sjónl.)produced, staged
uppsiða	(sj.)educate sby in good manners;hon uppsiðar okkum til at avnokta gudloysishe educates us to renounce atheism
uppsiðing	1(sj.)teaching of good manners2good manners, good form
uppsikt	look, appearance, expression;hann hevur góða//ringa uppsikthis carriage is errect//slack
uppsitarahús	tenant's house, (garður) tenant's farm
uppsitari	tenant, lessee of land
uppsíða	top side
uppsjóvarfiskur	(fisk.)pelagic fish
uppskakaður	terrified(t.d.he was terrified to hear what had happened), appalled, dismayed, horrified(t.d.he was horrified at the murder of his friend), horror-struck; (einans sum umsagnarliður) aghast(t.d.he was aghast);(serst.moralskt) shocked(t.d.I am shocked at his conduct)
uppskakandi	terrifying, awful, terrible, horrible, dreadful, frightening, horrifying, shocking, scary; uppskakanditíðindidreadful news
uppskering	[the act of cutting up a pilot whale]
uppskerptur	(of air-dried fish and meat) which has become too hard and dry
uppskipaður	(sigl.)unloaded, unshipped, landed, discharged, disembarked;farmurin verður uppskipaður í Havnthe cargo is to be unshipped in Tórshavn
uppskipan	(sigl.)unloading, discharging, discharge, landing
uppskipanarpláss	1(sigl.;har uppskipað verður) discharging berth2(atkomustaður) place of discharge
uppskiping	síuppskipan
uppskjørkaður	wild, shy, timid;ærin er uppskjørkaðthe ewe is wild
uppskorin	1(of sheep's carcass) [cut into pieces for division between the owners]2(of pilot whale) cut up;hvalurin er uppskorinthe whale has been cut up3(um torvheiðar, of peat bogs) dug up;nógv uppskornir torvheiðarmuch exploited peat bogs4(um haga, of outfield) with ditches for drainage; uppskorinhagian outfield with many drainage ditches
uppskorpnaður	hard and dried up
uppskot	1proposal;samtykkja uppskotaccept a proposal;vraka uppskotreject(el.turn down) a proposal;uppskot til samtyktar (stjm.)Proposal for Parliamentary Resolution2(tilráðing) suggestion3(stjm.)motion; reject a motion;uppskotið varð einmælt samtyktthe motion was carried unanimously;uppskotið varð samtykt við stórum meirilutathe motion was adopted by an overwhelming majority;uppskotið er samtyktthe motion is carried;uppskotið er falliðthe motion is lost;atkvøða fyri uppskotivote for a motion;atkvøða um uppskotvote on a motion;taka undir við uppskotiendorse a motion4(lógaruppskot) Bill;leggja uppskot fyri tingiðintroduce a bill, bring in a bill;vraka (lógar)uppskotreject/throw out a Bill;uppskotið varð vrakað (eis.)the Bill was defeated5(serst.hjá nevnd) recommendation(s)6[íyms.samb.]vera í uppskotibe recommended for a post, be put forward as a candidate for a post;hann er í uppskoti til fundarformannhe is proposed as chairman
uppskotin	1turned-up;nøsin var reyð og uppskotinthe nose was red and upturned2síuppskot6ogskjóta(upp)
uppskotssetari	proposer, mover
uppskrift	1text, recording, notes, manuscript;uppskriftir av kvæðumearly recordings of ballads2recipe (for);baka kaku/køku eftir uppskriftmake a cake from a recipe
uppskriftabók	notebook
uppskrivaður	written down, noted, recorded;søgurnar eru uppskrivaðar eftir manna munnithe stories are based on oral tradition
uppskrivari	recorder(t.da recorder of oral tradition)
uppskriving	1writing down; registration, recording;kvæðauppskrivingrecording of ballads2(bú., handilsm.)revaluation,(am.)revalorization
uppskrýddur	rigged out, dressed up to the nines, smartlyel.sprucely dressed;(niðr.)bedizened, tarted up, flashy;býurin var uppskrýddur við fløggumthe town was beflagged/full of flags
uppskræddur	torn, cut up
uppslag	1bill, poster, (kunngerðartalva) notice2(t.d.á brókum/buksum) turn-up,(am. eis.)(trouser) cuff; (á ermu) cuff3(tónl.)up-beat
uppslagsorð	síleitorð
uppslagstalva	notice board; (hjá virkio.tíl. eis.)bulletin board
uppsleptur	sísleppa(upp)
uppslitin	worn out
uppsloppin	(skúlam.)removed
uppsmoygdur	rolled, tuckedorturned up(t.d.trousers);við uppsmoygdum ermumwith rolled-up sleeves
uppsnákaður	smartenedorspruced up, tidy, clean and smart;hon var uppsnákað í stuttum skjúrti og silkisokkumshe was spruced up in short skirt and silk stockings
uppsneiddur	bent upwards, turned up;við uppsneiddari nøswith a turned-up nose, pug-nosed, snub-nosed
uppsnissaður	sly, wily, crafty; cunning; síbesnissaður
uppsnollaður	smartenedorspruced up;hon var so uppsnollaðshe had smartened herself up
uppsnúgvin	(plfr.; um legg)ascending
uppsókn	tracking (down), tracing; investigation, enquiry (into), research (into);gera uppsókn um brótsmannthe tracking down of/the search for the criminal;gera uppsókn um hannfind out where he has been, trace his movements
uppsparing	sísamansparing
uppspentur	stretched, strained to breaking point; wide-opened;hon stardi upp á hann við uppspentum eygumshe was staring wide-eyed at him
uppspretta	síuppkoma3
uppsprotnaður	come unsewnel.unstitched; come apart at the seams;kjólin er uppsprotnaðurthe dress is coming apart at the seams
uppspuni	invention, fabrication, made-up story;ein blandingur av uppspuna og veruleikaa mixture of fabrication and facts
uppspunnin	fictitious, imaginary(t.d.person, name); made-up; síspinna(upp)
uppspurdur	come to light, turned up, disclosed; found out, learned
uppspurn	hon vildi hava uppspurn um, hvør ið hevði dripið hannshe insisted on being told as to who had killed him; síuppspurningur
uppspurningur	íosb. fáa uppspurning um e-tfind out (sth), discover the whereabout of sby//sth, get to know sth
uppspurt	íosb. fáa (e-t) uppspurtfind out (sth), discover the whereabout of sby//sth, get to know sth;nú var tað uppspurt, hvaðan hann var ættaðurnow they had found out from where he came
uppspæl	(ítr.)forward play;hann var góður í uppspælinum og tetti væl í verjunihe was excellent in the forward play and was a good defender too
uppstand	(sigl.)bulwark;uppstandið fór alt fyri borð, tá ið brotasjógvurin legði seg yvir skipiðthe bulwark was swept away when the breaker washed across the deck
uppstandandi	(sigl.)bulwark;alt uppstandandi soraðistall the bullwark was swept away
uppstandari	stanchion, upright, standard;espline connecting buoy and landline
uppstandilsi	(tlm.)excitement, stir, fuss, outcry;tað var eitt uppstandilsi, hin gamli var í luftinithe house was turned upside-down, the old man (the father) was in a rage
uppstásaður	síuppskrýdduroguppsnákaður
uppstig	1heavy surforbreakers;tað var eitt øgiligt uppstigthe surf was vicious2nausea, sickness;eg havi sovorðið uppstig í dagI feel like vomiting3disturbance, noise, din, commotion, excitement;gera uppstigkick up a row, make trouble
uppstiga	(teld) upgrade
uppstiging	(teld) upgrade
uppstilling	nomination, putting up, (valevni) candidature;(serst. am.)candidacy
uppstillingarfundur	selection meeting
uppstillingarval	(am.)primary (election)
uppstígingar	síuppstig2
uppstrammari	(tlm., drykkur)bracer, stiffener, pick-me-up; tonic(t.d.it acted like a tonic)
uppstrekki	(stfr.)ordinate
uppstrika	(skúlam., í bókstavi)upstroke;í bókstavinum "i" er ein uppstrika og ein niðurstrika(í skrift, in writing) the letter "i" has one upstroke and one downstroke
uppstríddur	exhausted, tired out, worn-out, all in(t.d.I am all in), dog-tired, dead tired, tired to death, dead beat;hann var uppstríddurhe was worn out
uppstrok	(tónl., við violinboga)up-bow
uppstrokin	well dressed and presentable;hon er altíð so uppstrokinshe's always well-dressed
uppstøða	1beginning, start; uppstøðaog niðurløgaalpha and omega, beginning and end;tað var uppstøða og niðurløga hjá pápanum: " Tú verður aldri konfirmeraður"time and time again my father filled mye ears with warning about my never being confirmed;har var mín uppstøðathat was my beginning, that's where I began2sticks to support forms3[(loose) snow which blows up from the mountain tops (betokens windy weather)]
uppsvølpaður	swollen, puffed up, puffy, tumefied; uppsvølpaðurí andlitia puffed-up face;hendurnar á monnunum eru uppsvølpaðar av salti og kuldathe men's hands are swollen from salt and cold
uppsøgn	(frá arbeiðsgeva) notice of dischargeel.dismissal, notice, discharge; (frá arbeiðstakara) (notice of) resignation;fáa uppsøgnbe discharged, receive a notice of discharge
upptak	1clearing (up); difficulty in clearing (up);tað er stórt upptak aftan á slíka veitsluthere will be a lot of clearing up to do after such a party2(oljuv.)cleanup3(stb.)surf, breakers4quick perception, understanding
upptaking	lifting (of potatoes, turnipsetc)
upptakingartíð	lifting season (of potatoes, turnipsetc)
upptaksútgerð	(oljuv.)cleaning up equipment
upptakt	(tónl.)upbeat
upptaldur	sítelja(upp)
upptandur	síúttandur
uppteljing	counting, count;(hagfr.)census;(sigl.)tallying;uppteljing av bókumbook census;goymsluuppteljingstock-taking
upptikin	1(one's share in a catch of pilot whale hunt) brought to the house and salted (down);ikki alt varð upptikið, tí lítið var fólkið2included;vísan er upptikin í Føroya kvæðithe ballad has been included in Corpus Carminum Faeroensium3recorded, taped4(of boat) pulled up on dry land5(um epli, røtur, of potatoes, turnips) lifted, harvested;eplini eru upptikinthe potatoes have been lifted/harvested6(from the sea) hauled in;línan er upptikinthe fishing line has been hauled in7(um seyð, of sheep) brought in, caught (strange sheep);eitt hvítt veðurlamb er upptikið í Norðskála hagaa white male lamb has been (caught) brought in from the outfield of (the village of) Norðskáli
upptil	on the upper part of the body;hann er breiður upptilthe upper part of his body is big
upptjúknaður	having put on much fat, grown very stout
upptornaður	dried-up(t.d.pond; stream); dry(t.d.river bed; pond); (um plantulut) dry(t.d.branch); withered, sapless
upptrekkjari	corkscrew
upptrungin	distended, bloated;kúgvin er upptrunginthe cow's belly is distended;eg eri so upptrungin av matiI've had so much to eat I feel absolutely bloated
upptrútnaður	swollen, puffed up, tumefied
uppturkaður	1(with a dish cloth) wiped up, mopped up2dried-up(t.d.pond; stream); dry(t.d.river bed; pond);ein uppturkaður hylurdried-up pond
uppturking	1wiping up, mopping up(t.d.of water)2drying up, draining, drainage
uppturkingarlappi	dish cloth
upptúsnaður	swollen, puffed up, tumefied; upptúsnaðurí andliti,sítúsna
upptúsning	swelling; (umt.d.neyt, of cattle) distension
upptústur	(stb.)síupptúsnaður
upptýsnaður	(sj.)síupptúsnaður
upptærdur	wasted(t.d.wasted hands; he is terribly wasted); emaciated, worn to a shadow, worn away, haggard, gaunt
upptøka	1admission(t.d.of a new member; admission to a school; to the UN)2nøkur tespilig upptøka verður tað ikkiit won't be a pleasant job to clean it up; síupptak13[what is taken up at one time,espwhen fishing with line]4the catch(espon a fishing line)5síupptak26(í frímúraralosju) initiation7publication (of newspaper material)8(lmynd.)taking (of photographs), exposure(t.d.I have taken three exposures of it);(viðv.filmi) shooting(t.d.the shooting took place in Klaksvík); frame(t.d.there are 12 frames per spool);(viðv.filmi: útgáva) version(t.d.I only know the old version of the film); (stakupptøka) shot(t.d.there are some good shots of the boatrace); scene, sequence, take9recording(t.d.tape recording); (útvarpssending) recorded programme10lifting(t.d.of potatoes)11(um dýr ið ganga inniá hjá øðrum) impounding(t.d.of cattle)
upptøkualdur	age of admission
upptøkugjald	1(løgfr.)[fee paid on submission of a case for judgment]2(í felagio.tíl.)admission fee
upptøkuhøli	recording room
upptøkumaður	recorder
upptøkunevnd	admission board
upptøkuorð	(málfr., sj.)sítøkuorð
upptøkuroynd	(skúlam.)entrance exam, entranceel.admission examination
upptøkurúm	recording room
upptøkusiður	initiation rite
upptøkutal	(av studentum) intake(t.d.a yearly intake of intake)
upptøkutól	(lmynd.)camera; (til ljóð) recorder
upptøkutreyt	terms of admission
upptøkuumsókn	application for admission
upptøkuætlan	(filmiviðv.)shooting script
upptøvdur	much fulledormilled
uppum	1over;leypa uppum, har garðurin er lægstur (eis. fl.m.)jump over where the fence is the lowest2wear out, go into holes;slíta/traðka uppumwear out;hosurnar eru uppumthe socks are in holesskógvarnir vóru traðkaðir heilt uppumthe shoes were worn out/down at heel
uppumslitin	worn out;í uppumslitnum skómin worn-out shoes
uppundan	1up, peep through(t.d.green shoots peeping through the soil);eplabløðkurnar koma uppundanthe sprouting leaves (of the potato plant) are coming up;standa uppundanproject over the sea2manage, come out all right;hesir pengar høvdu hjálpt teimum uppundanthis money would have helped them to get on their feet again;hann kemur ikki uppundan afturhe won't survive financially on his own
uppundir	1(supported) from below2[ísamb.viðs]styðja uppundir; bera uppundir; birta uppundir; eggja uppundir; leggja uppundir; taka uppundir(sísagnorðinisumleitorð)
uppundirris	[sudden surf in calm weather which betokens strong wind from the opposite direction]
uppundirsveising	overhead weld, overhead welding
uppúr	out of sth, up from sth;hyggja/kveita uppúrlook up while working;hann arbeiddi sum fyri lívinum og kveitti ikki uppúrhe was working very hard and did not look up;standa uppúrrise, stand up, tower (over sby//sth);leggja uppúrtake the food out of the pot and put it on the table
uppúrlagdur	taken out of the potorsaucepan(t.e.the food is on the table);nú er uppúrlagtdinner is ready
uppvaking	resurrection
uppvaknaður	awakened
uppvaknan	awakening
uppvaksin	grown-up, bred;hon er uppvaksin á bygdshe is country-bred
uppvakstrartíð	(childhood and) adolescence, youth
uppvandur	sívenja(upp)
uppvarpaður	beel.ride at anchor;vit lógu uppvarpaðir væl norðari og nærri landiwe were riding at anchor much farther north and closer to the shore
uppvask	1(tað at) washing-up2(tað ið verður uppvaskað) dishes;uppvaskið var fingið frá hondinithe dished had been washed up
uppvaskari	dishwasher
uppvaskibakki	draining tray
uppvaskibust	washing-up brush
uppvaskievni	detergent; washing-up liquid
uppvaskifat	washing-up bowl,(am.)dishpan
uppvaskimaskina	automatic dishwasher
uppvaskirúm	scullery
uppvaskistativ	dish drainer
uppvaskivatn	1dishwater, slops2(skemt.)very thin soup
uppvenjari	(pedagokur) educationalist, educationist; (lærari) teacher
uppvenjing	upbringing; (útbúgving, skúlagongd,o.tíl.)education;sum snýr seg um uppvenjingeducational;geva henni góða uppvenjinggive her a good upbringing/a good education;hava uppvenjinghave manners/breeding;hvørja uppvenjing hevur hon fingið?what sort of an upbringing/education has she had?;hann hevur onga uppvenjinghe has no manners; he lacks breeding;harða/stranga uppvenjinga strict upbringing
uppvenjingarháttur	method of upbringing; child-rearing method
uppvið	(the child) can stand up when leaning on sth;barnið dugdi at taka seg uppviðthe child was able to stand up (when leaning againste.g.a wall)
uppvikaður	receding (hairline);hann er nakað uppvikaðurhe has a receding hairline; he is receding
uppvísing	sísýning,framsýning
uppvísingar-	sísýningar-
uppvøkstur	childhood and) adolescence, youth;í uppvøkstri hansaraduring his adolescence(el.youth);tarnaður í uppvøkstrinumstunted (in one's growth)
uppvørpa	(tøkn.)overhead projector
uppyngdur	rejuvenated, restored to youth;hann kom aftur so uppyngdur, spelkin og mjáurhe returned rejuvenated, agile and slender
uppyvir	over the fire;heingja pottin uppyvirhang the pot over the fire
uppøsandi	exciting; inciting, inflammatory
uppøsari	agitator, demagogue
uppøsing	excitement, agitation; exasperation;til stóra uppøsing fyri onnurto the exasperation of others
uppøstur	1excited, agitated, whipped up; exasperated;alt fólkið var uppøstthe people was in a state of agitation2wind-swept;uppøst havwind-swept sea
ups	[slope ending in the cliff edge]
upsa	(sj.)síups
-upsaður	sítvør-
upsastovnur	coalfish stock
upsastræti	(kvæð., kenn.)sea
upsatorva	shoal of coalfish
upsaveiða	coalfish fishing, coalfish fishery
upsi	(fisk.)large, mature coalfish (seiður)(Pollachius virens)
ur	watch;armbandsurwrist watch;lummaur(pocket) watch
uran	(evnafr.)uranium;ríkað uranenriched uranium
Uranus	(stjfr.)Uranus
uratkvøða	sífrumatkvøða
urð	scree, talus (pile of largish stonesorboulders as a result of a landslide)
urðargeypa	(dýr.)desert lynx, caracal(Lynx caracal)©iStock
urðarglopur	spaceorgaps between boulders;í urðargloprum eigur fuglurbirds build/make nests in the gaps between boulders
urðargrell	(sj.)young children; urðargrelleru smábørnurðargrell are young children
urðargrót	large boulders in a scree
urðarhúsagras	(plfr.)wood-meadow grass(Poa nemoralis)
urðarkálvi	síurðarkálvur
urðarkálvur	1small scree2spur of a scree
urðarketta	(bíbl.)wild cat
urðarkoma	(gl.)large amount, large quantity
urðarkona	(fugl., sj.)síurðnakona1
urðarkovi	(sj.)síurðarkálvur1;(tilt.) sum í einum urðarkova[very untidy, littered, covered with litter, in a mess]
urðarkumli	síurðarkálvur1;(tilt.) sum í einum urðarkumla(very untidy, littered, covered with litter, in a mess)
urðarlag	síurðarkálvur1
