М1	I1.(skelti) метро́ metro2.«для мужчи́н» (á toiletthurð) M menn (надпись на туалете)
мале́йший	adj superl avма́лый minstur; ни мале́йшего ikki minsta vetið, ikki eitt vet; не име́ть мале́йшего поня́тияо чём-л. ikki hava hómingav o-m; ikki hava hylling [-tl-]á o-m; не име́ть мале́йшего жела́ния+ infals ongan hug havatil at +инф.
малёк	plurмальк|и́, ~о́в, ~а́мm1.Gen, Accмалька́(маленькая рыба и др.) yngulм0осн-s,-ar;с0осн(hjá fiski o.ø.); kelvс0о, kelviсгл-i(моллюсков,крабов); maðkapirra [maʰkːa-]жгл-a(форели)2.Genмалька́óvkm.síма́ленькая
ма́ленькая	ftlm.fjórðingsliturfløskaжгл-a(av vodka)
ма́ленький	Icompме́ньшеadj1.lítilсоглосн{+}; smáurгл(о размерах и др.); ма́ленькая бу́ква lítil bókstavur [pœʰks-]2.(незначительный) lítilсоглосн{+}, smávegisнескл.3.(малолетний) lítilсоглосн{+}(ikki vaksin); ма́ленькие де́ти smábørn [-tn]; ма́ленькие де́вочки smágenturIImlítliмгл-i@вы́пить {пропусти́ть} по ма́ленькойtlm.fáaслнe-i-især ein lítlanнеформ.;игра́ть по ма́ленькойspæla við lítlum innsatsi;моё де́ло ма́ленькоеtlm.hetta kemur ikki mær við
мале́нько	adv óvkm.eitt (lítið) sindur; eitt bil (недолго)
мале́ц	Gen, Accмальц|а́; plur~ы́, ~о́в, ~а́мmóvkm.pilturмсогл-ar, smádrongurмсогл-ir{+}
Мали́	f indeclMali [maːli]с нескл.
мали́ец	Gen, Accмали́йц|а; plur~ы, ~ев, ~амmmaliari [maːli-]мгл-ari, malibúgvi [maːli-]мгл-i
мали́йка	plurмали́йки, мали́ек, мали́йкамmmaliari [maːli-]мгл-ari, malibúgvi [maːli-]мгл-i(konufólk)
мали́йский	adjmaliskur [maː-]соглsk
мали́на1	If1.(куст) (Rubus idaeus) hindber [hɪmp-]с0о{+}(runnur), hindberjarunnurмсогл-ar, hindberbuskurннкмсогл-ar2.(ягода) hindber [hɪmp-]с0о{+}@у него́не жизнь, а мали́наtlm.hann hevur jól og góðar dagarпог.
мали́на2	IIfóvkm.tjóvabøliсгл-iпрезр.
мали́нник	mhindberjakjarr [hɪmp-]с0о
мали́нный	adjhindber- [hɪmp-], hindberja- [hɪmp-]
мали́новка	plurмали́нов|ка, ~ок, ~камf(Erithacus rubecula) bringureyðiмгл-i, reyðbrystingur [rεp-]мсогл-ar
мали́новый	adj1.(кмали́на I) hindberja- [hɪmp-], hindber- [hɪmp-]ннк2.(о цвете) hindberreyður [hɪmp-]гл, hindberjareyður [hɪmp-]нпгл@мали́новый звонmjúkurсогл, ljómandiглandiklangur (av klokkum,bjøllum o.tíl.)
ма́лица	f yvirplagg av reinsdjóraskinni við hæringini inneftir (hjá fólkasløgum í Norðurrusslandi)
ма́лка	plurма́л|ки, ~ок, ~камfavfasing [-faː-]ж0-arспец.
мало...	í samanslítið, lág-, við lítlum
ма́ло	Iadv1.(немного) lítið; он ма́ло говори́т hann sigur lítið2.(недостаточно) ikki nóg nógv, ikki nóg mikið, ikki nokkннк; ра́зве э́то ма́ло? er hetta ikki nóg nógv?; неде́ли ма́ло ein vika er ikki nóg nógv; ма́ло обеща́ть, ну́жно сде́лать tað er ikki nóg mikið at lova okkurt, tað má eisini gerastIIв значении неопределённого количества1.+ pron og adv: ма́ло кто зна́ет tað eru fá, sum vita tað; tey eru fá, sum vita tað; ма́ло что sera lítið, neyvan nakað; ма́ло где быва́л hann hevur verið fáastaðni; ма́ло когда́ sjáldan2.+ Gen(небольшое количество) lítið avДат, fáurглИм(со считаемыми существительными); на стена́х висе́ло ма́ло карти́н fáar myndir hingu á veggunum; á veggunum hekk lítið av myndum; ма́ло де́нег lítið av pengum; ма́ло книг fáar bøkur; на у́лице бы́ло ма́ло наро́ду lítið fólk var uttanfyri@ма́ло ли что {кто, когда́}(brúkt um o-t,sum er líka mikið,sum kann gera tað sama el. tíl.); ма́ло ли кто мо́жет прийти́ tað er ikki gott at vita, hvør kann koma; ма́ло ли где я мог его́ встре́тить eg kundi havt møtt honum so nógvastaðni; ма́ло ли что быва́ет tað er so nógv, sum kann henda; ма́ло ли что мо́жет случи́ться hvør veit, hvat kann henda; har kann alt henda; har kann henda so nógv; ма́ло ли что говори́шь, мне де́ла нет tað er mær tað sama, hvat tú sigur; tað kemur ikki mær við, hvat tú sigur;ма́ло того́parentharafturat [hεaɹatʰrεat]; ма́ло того́, что пришёл сам, он пригласи́л ещё това́рищей eitt var, at hann kom sjálvur, men hann hevði eisini vinmenninar við; hann kom ikki bara sjálvur, men hevði (hartil) eisini boðið vinmonnunum við;ма́ло ли что! og hvat so! =>мно́го@
малоавторите́тный	stfмалоавторите́т|ен, ~на, ~но, ~ныadjlítið autoritativur [auꞋtʰoː-]ннксогл.
малоазиа́тский	adjlítlaasiatiskur, frá Lítlaasia [-aːsi-]нп, í Lítlaasiaнп[-aːsi-]
малова́жный	stfмалова́ж|ен, ~на, ~но, ~ныadjsum hevur lítið at siga, sum hevur lítið upp á seg [ʊꞋpʰɔasɪ], týdningarleysurсогл
малова́т	adjí minna lagi, heldur lítil
малова́то	advtlm.í minna lagi, heldur lítið
малове́р	m o-r,ið er veikurсоглí trúnni
малове́рие	nveik trúgvж0-ir{+}, vantrúgvж0-ir{+}
малове́рный	stfмалове́р|ен, ~на, ~но, ~ныadjveikurсоглí trúnni
маловероя́тный	stfмаловероя́т|ен, ~на, ~но, ~ныadjikki trúligurгл(væntandi), ósannlíkurсогл
малово́дный	stfмалово́д|ен, ~на, ~но, ~ныadj1.(неглубокий) grunnurсогл2.(с недостатком воды) turrurсогл(við lítlum vatni)
малово́дье	plurмалово́дья, малово́дий, малово́дьямn1.(низкий уровень воды) lág vatnstøða [van̊s-]жгл-a(í áum,vøtnum)2.(недостаток воды) vatntrot [van̊tɹ-]с0о
маловразуми́тельный	stfмаловразуми́телен, маловразуми́тельн|а, ~о, ~ыadj(неясный) óklárurсогл, ógreiðurгл; óskiljandiглandi, óforstáiligur [-Ꞌstɔajɪ-]ннкглigur(непонятный)
малогабари́тный	stfмалогабари́т|ен, ~на, ~но, ~ныadjlítilсогл{+}(í vavi,við smáum dimensiónum); малогабари́тная ме́бель kompaktir [-Ꞌpʰa-]ннкпроф.møplar
малоговоря́щий	adjsum sigur lítið (um o-t), sum lítið vísir (um o-t)
малогра́мотный	stfмалогра́мот|ен, ~на, ~но, ~ныadj1.(плохо пишущий и читающий) sum dugir illa [ɪtla] at lesa og skriva2.(выполненный без достаточных знаний) illa [ɪtla] gjørdurсогл, óvandaliga [-Ꞌva-] gjørdurсогл3.(плохо владеющий специальностью) sum er illa [ɪtla] fyri (fakliga)
малоде́йственный	stfмалоде́йствен|ен, ~на, ~но, ~ныadjineffektivurннксогл, óeffektivurннксогл; sum ikki virkar væl
малодостове́рный	stfмалодостове́р|ен, ~на, ~но, ~ныadjlítið eftirfarandi [εʰtː-]глandi, ikki eftirfarandi [εʰtː-]глandi, ikki álítandiглandi
малодосту́пный	stfмалодосту́п|ен, ~на, ~но, ~ныadj1. (о местности и др.) illa [ɪtla] atkomandiглandi, sum illa [ɪtla] slepst framat [-Ꞌεat]2.(из-за высоких цен и т.п.) sum ikki fæst fatur á, sum ikki kann keypast3.(понятный немногим) tungurсогл(ringur at skilja), ringurсогл(torførur), ringurсоглat skilja
малодохо́дный	stfмалодохо́д|ен, ~на, ~но, ~ныadjsum er lítið lønandiглandi, sum gevur lítið av sær, sum illa [ɪtla] loysir seg
малоду́шествовать	малоду́шеству|ю, ~ешь, ~ютipf(pfсмалоду́шествоватьсмалоду́шеству|ю, ~ешь, ~ют) vera dirvisleysurсогл; vera feikurннксогл(трусить)
малоду́шие	ndirvisloysiсгл-i; feikheitннкж0-ir(трусость)
малоду́шничать	ipf(pfсмалоду́шничать)tlm.vera dirvisleysurсогл; vera feikurннксогл(трусить)
малоду́шный	stfмалоду́ш|ен, ~на, ~но, ~ныadjdirvisleysurсогл; feikurннксогл(трусливый)
ма́лое	nlítið; дово́льствоваться ма́лым vera nøgdurсоглvið lítið, lataслнæ-ó-asær lynda við lítið@без ма́логоnæstan; сейча́с без ма́лого три часа́ klokkan er næstan trý nú; klokkan er eitt sindur í trý nú;са́мое ма́лоеminst; са́мое ма́лое два дня minst tveir dagar; са́мое ма́лое че́рез два днятжí fyrsta [fɪsta] lagi um tveir dagar =>статьI @
малое́жка	plurмалое́ж|ки, ~ек, ~камf, m tlm.o-r, sum etur lítið
малое́зжий	adjsu lítið verður koyrt eftir [εʰtː-] (um veg o.tíl.)
малозаме́тный	stfмалозаме́т|ен, ~на, ~но, ~ныadj1.(чуть видный) sum illa [ɪtla] sæst, sum nóg illa [ɪtla] sæst2.(ничем не выдающийся) lítið ásýniligurглigur; lítillátinсоглосн(скромный); spakligur [spak-]глigur(кроткий)
малозаселённый	adjfólkalítilслносн{+}, ótætt bygdurсогл
малоземе́лье	ntrotс0оupp á dyrkilendi
малоземе́льный	stfмалоземе́лен, малоземе́льн|а, ~о, ~ыadjsum eigur lítla jørð; малоземе́льный крестья́нин lítil bóndi
малознако́мый	stfмалознако́м, ~а, ~о, ~ыadjlítið kendurсогл
малозна́чащий	adjsmávegisнескл., týdningarleysurсогл, sum hevur lítið upp á seg [ʊꞋpʰɔasɪ]
малозначи́тельный	stfмалозначи́телен, малозначи́тельн|а, ~о, ~ыadj síмалозна́чащий
малоизве́стный	stfмалоизве́ст|ен, ~на, ~но, ~ныadjlítið kendurсогл
малоизу́ченный	adjlítið kannaðurглaður
малоиму́щий	adjilla [ɪtla] staddurсогл{a/ø}(við pengum til lívsins uppihald o.a.)
малоинтере́сный	stfмалоинтере́с|ен, ~на, ~но, ~ныadj1.(не предсталяющий интереса) sum hevur íítla interessu [-Ꞌrε-]ннк, sum hevur lítlan áhuga; lítið interessantur [-Ꞌsa-]ннксогЛ, lítið áhugaverdurнПсогЛ2.tlm.(непривлекательный) sum einki sær út, sum sær lítið út; sum einki sær út fyri verðiniидиом.
малоиссле́дованный	adjlítið kannaðurглaður, lítið granskaðurглaður
малокали́берный	adjvið lítlum kalibri [-Ꞌlɪː-], smákalibraðurглaður
малокалори́йный	stfмалокалор|и́ен, ~и́йна, ~и́йно, ~и́йныadjsum hevur lágt kaoriuinnihlad [-Ꞌloː-] , (sum er) við lágum kaloriuinnihaldi [-Ꞌloː-]
малокро́вие	nblóðmangul [-aŋk-]ннкм0осн-s,-arпроф., blóðtrotнпс0о
малокро́вный	stfмалокро́в|ен, ~на, ~но, ~ныadjsum hevur blóðmangul [-aŋk-]ннкпроф., sum hevur blóðtrotнп
малокульту́рный	stfмалокульту́р|ен, ~на, ~но, ~ныadjókultiveraðurннкглaður
малоле́тка	plurмалоле́т|ки, ~ок, ~камm/ftlm.síмалоле́ток
малоле́тний	adjbarna- [-tn-]; малоле́тний во́зраст barnaaldur ; малоле́тняя дочь lítil dóttir
малоле́ток	Gen, Accмалоле́тка; plurмалоле́т|ки, ~ков, ~камmtlm.smábarn [-tn]; smádrongurмсогл-ir{+}(мальчик); smágentaжгл-a(девочка)
малоле́тство	nbarndómur [pant-]мсогл-ar; barnaár [-tn-]с0омн; с малоле́тства frá barnaárunum [-tn-], frá barnsbeini [pan̊s-]
малолитра́жка	plurмалолитра́ж|ки, ~ек, ~камftlm.lítil bilurмсогл-ar, minibilurмсогл-ar
малолитра́жный	adj1.(небольшой по литражу) við lítlum kapasiteti [kʰapʰaːsiꞋtʰeː-] (í litrum)2.: малолитра́жный автомоби́ль minibilur
малолю́дный	stfмалолю́д|ен, ~на, ~но, ~ныadj1.(не очень людный) tómurсогл, við lítlum fólki; fámenturсогл(состоящий из небольшого количества людей); малололю́дное собра́ние fámentur fundur2.(малонаселённый) fólkalítilсоглосн{+}, ótætt bygdurсогл
малолю́дство	n tlm.lítið talс0о{a/ø}av fólki
малолю́дье	nlítið talс0о{a/ø}av fólki; ему́ нраа́вилось малолю́дье дере́вни honum dámdi, at tað var so lítið fólk í bygdini
мало-ма́льски	advtlm.nøkulunda, toluliga
малома́льский	adj tlm.evarska lítilсоглосн{+}, pinkulítilсоглосн{+}
маломе́рка	plurмаломе́р|ки, ~ок, ~камf o-t, sum  er minni í stødd, en taðd, enn tað plagar at vera, ella enn tað eigur at ver(um skógvar, kælïr o.a.)
маломе́рный	adj(небольшой) lítilсоглосн{+}(í stødd), ov lítilсоглосн{+}(í stødd) (недостаточно большой)
маломо́чный	stfмаломо́ч|ен, ~на, ~но, ~ныadjfátækurсогл
маломо́щный	stfмаломо́щ|ен, ~на, ~но, ~ныadj1.(физически слабый) veikurсогл2.síмаломо́чный3.(небольшой мощности) veikurсогл, kraftalítilсоглосн{+}(um motorar o.tíl.)
малонадёжный	stfмалонадёж|ен, ~на, ~но, ~ныadjóalítandiглandi; svikaligurглigur
малонаселённый	adjfólkalítilсоглосн{+}, ótætt bygdurсогл
малообеспе́ченный	adjilla [ɪtla] staddurсогл{a/ø}(sum bara hevur nóg mikið at liva fyri)
малоо́блачный	adjnakað skýggjaðurглaður
малообразо́ванный	stfмалообразо́ван, ~на, ~но, ~ныadjilla [ɪtla] útbúgvinсоглоснgv
малоо́пытный	stfмалоо́пыт|ен, ~на, ~но, ~ныadjóroyndurсогл
малооснова́тельный	adj малооснова́телен, малооснова́тельн|а, ~о, ~ыadj1.(недостаточно обоснованный) illa [ɪtla] grundaðurглaður, illa [ɪtla] undirbygdurсогл2.tlm.(такой, на которого нельзя положиться) óálítandiглanditankaleysur [tʰaɲ̊ka-]согл(легкомыслеенный); óseriøsurннксогл(несерьёзный)ый)
малопита́тельный	stfмалопита́телен, малопита́тельн|а, ~о, ~ыadjlítið nørandiглandi, lítið nerandiннкглandi, ; ikki nóg nørandiглandi, ikki nóg nerandiннкглandi(недостаточно питательный)
малоподви́жный	stfмалоподви́ж|ен, ~на, ~но, ~ныadjtrekurсогл, seinurсогл; stirvinсоглосн, stívurсогл(о суставе); sum rørir seg lítið (об образе жизни)
мало-пома́лу	advso við og við, smátt um smátt, pø a pø [pʰøːaꞋpʰøː]неформ.
малопоня́тливый	stfмалопоня́тлив, ~а, ~о, ~ыadjtornæmurсогл{æ/o}
малопоня́тный	stfмалопоня́т|ен, ~на, ~но, ~ныadjlítið skiljandiгл, illa [ɪtla] skiljandiгл
малопри́быльный	stfмалопри́былен, малопри́быльн|а, ~о, ~ыadjsum kastar lítið av sær, sum gevur lítlan vinning
малопродуктивный	stfмалопродукти́в|ен, ~на, ~но, ~ныadj1.(о работе) lítið produktivurннксоглпроф.2.landb.(о скоте и др.) sum gevur lítið av sær
