Р	рентге́н röntgen {røntgen} [rœŋ̊kɪn]
радио...2	IIотносящийся крадиа́цияи др. í samansgeisla-, strálu-
радиоакти́вность	fradioaktivitetur [ꞋraːtioaʰktʰiviꞋtʰeː-]ннкмсогл-arпроф., geislavirkniнпсгл-i
радиоакти́вный	stfрадиоакти́в|ен, ~на, ~но, ~ныadjradioaktivur [raːtioꞋa-]ннксоглпроф., geislavirkinнпсоглосн
радиоаппара́т	mradio [raːtio]с0гл(-num), radioapparat [raːtioaʰpːaraːt]ннкс0о, útvarpstólнпс0о, útvarpslurtнпс0о
радиобиоло́гия	fradiobiologi [raːtiːjopiːjolokiː]интж0-ir.radiolívfrøði [raːtiːjo-]лпжгл-i
радиобу́й	mradioboya [raː-]жгл-a
радиова́хта	fradiovakt [raː-]ж0-ir
радиовеща́ние	nútvarpс0о(útvarping), útvarpingж0-ar
радиоволна́	plurрадиово́лн|ы, ~, ~амogрадиоволна́мfradiobylgja [raː-]жгл-a, útvarpsbylgjaнпжгл-a
радиогра́мма	fradiotelegramm [raː-]с0о(;0-ir)
радиожурна́л	mútvarpstátturмсогл-ir{á/æ};согл-ar
радиозо́нд	mradiosonda [raː-]жгл-a
радиокоммента́тор	mviðmerkjariмгл-ari(í útvarpi)
радиоко́мпас	mradiokumpass [raː-]ж0-ir
радиоконце́рт	m útvarpskonsert {útvarpskooncert -sε-] }ж0-ir
радио́ла	fradiogrammofon [raː-]ж0-ir
радиола́мпа	fradiorør [raː-]с0о
радио́лог	mradiologur [raːtioꞋloːk-]мсогл-a
радиоло́гия	fradiologi [raːtioloꞋkiː]ж0-ir
радиолока́тор	mradari [raː-]мгл-ari
радиолокацио́нный	adjradar- [raː-], radiopeiling- [raː-]; радиолокацио́нная ста́нция radari [raː-]мгл-ari=>мая́к1
радиолока́ция	fradarpositiónsfinning [ratarpʰoːsiʃɔu-]ж0-ar
радиолу́ч	Genрадиолуч|а́;plur~и́, ~е́й, ~а́мmradiostrála [raː-]жгл-a, radiogeisli [raː-]нпмгл-i
радиолюби́тель	mradioamatørur [raːtioaːm-]мсогл-ar
радиома́чта	fradiomastur [raː-]ж0осн
радиомая́к	Genрадиомаяк|а́;plur~и́, ~о́в, ~а́мmradiofýrur [raː-]ннкмсогл-arпроф., radioviti [raː-]нпмгл-i
радиоме́трия	f radiometri [raːtijomeˈtʰɹiː]ж0-irспец.
радионавига́ция	fradionavigatión [raːtionaːviːkaʃɔun]ж0-ir
радиообме́н	mradiotrafikkur [raː-]ннкмсогл-arпроф., radiosamskifti [raː-]нпсгл-i
радиообору́дование	nradioútgerð [raː-]ж0-ir
радиопе́ленг	mradiopeiling [raː-]ж0-ar
радиопеленга́тор	mradiopeilari [raː-]мгл-ari
радиопеленга́торный	adjradiopeili- [raː-]; радиопеленга́торная ста́нция radiopeilistøð
радиопеленга́ция	fradiopeiling [raː-]ж0-ar(tað at gera radiopeilingar)
радиопереда́тчик	mradiosendari [raː-]мгл-ari=>авари́йный5
радиопереда́ча	fútvarpssendingж0-ar
радиоперекли́чка	plurрадиоперекли́ч|ки, ~ек, ~камfsendingж0-ar(av upplýsingum o.ø.) (millum býir,í radio)
радиоперехва́т	mradioavlurtingж0-ar
радиопира́тство	nólógligar [-Ꞌlɔul-] útvarpssendingarж0-arмн, piratsendingar [-Ꞌraː-]ннкж0-arмн
радиопозывны́е	m plurradiokallisignal [raːtiokʰatlɪsiknaːl]с0о
радиоприёмник	mradiomóttakari [raː-]мгл-ari, radio [raː-]с0гл(-num)
радиорепорта́ж	mradioreportasja [raːtiorepʰɔɹ̥taːʃa]жгл-a
радиоро́лик	m(stutt) radioreklama [raːtiorekʰlaː-]жгл-a
радиору́бка	plurрадиору́б|ки, ~ок, ~камfradiorúm [raː-]с0о
радиосвя́зь	fradiosamband [raː-]с0о
радиосе́ть	fradionet [raː-]с0о
радиосигна́л	mradiosignal [raːtiosɪknaːl]с0о(;0-ir)
радиослу́шатель	mútvarpslurtariмгл-ari
радиоста́нция	f1.(сооружение для передачи и приёма радиосигналов) radiostøð [raː-]ж0-ir2.(учреждение,осуществляющее радиопередачи) útvarpsstøðж0-ir
радиоастроно́мия	fradиoastronomi [raːtiːjastɹoonomiː]интж0-irпроф., radiostjørnufrøði [stjœtn-]нпжгл-i
радиосту́дия	fútvarpsstudioс0гл(-num), útvarpsstovaжгл-a
радиотелегра́ф	mradiotelegrafur [raːtiotʰeːlɪkɹaː-]мсогл-ar
радиотелеграфи́ст	mradiotelegrafistur [raː-]мсогл-ar
радиотелеско́п	mradioteleskop [raː-]с0о
радиотелефо́н	mradiotelefon [raː-]ж0-ir
радиотерапи́я	fstrálubehandling [-hanl-]ннкж0-arпроф., geislaviðgerð [vɪtʃ-]лпж0-ir, radioterapi [raː-]ж0-irспец., мед.
радиоте́хник	fradioteknikari [raː-]мгл-ari
радиоте́хника	fradioteknikkur [raː-]мсогл-s,-ir
радиото́чка	plurрадиото́ч|ки, ~ек, ~камf síрадиотрансляцио́ннаято́чка
радиотрансляцио́нный	adj: радиотрансляцио́нная сеть sendinet (hjá útvarpi)
радиотрансля́ция	fkaðalútvarpс0о
радиоу́зел	Genрадиоузл|а́;plur~ы́, ~о́в, ~а́мmlokal [-Ꞌkʰaːl] radiostøð [raː-]ж0-ir
радиоуправле́ние	nradiostýring [raː-]ж0-ar
радиоуправля́емый	adjradiostýrdur [raːtiːjo-]согл
радиофи́зика	f radiofysikk [raːtiːjofyˌsɪʰkː]ж0-irспец., ред., geislaalisfrøðiлпжгл-iред.
радиофици́ровать	радиофици́ру|ю. ~ешь, ~ютipf/pf что-л.setaur(t);ir(t)upp radioútgerð [raːtiːjo-]onkustaðni
радиохи́мия	fradiokemi [raːtiːjokʰeˌmiː]ж0-irспец., ред.
радиохо́лдинг	mholdingfelag [hɔult-]с0о{a/ø}{0<>i}, ið eigur meirilutan av partabrøvunum í fleiri útvarpsstøðumэк.; haldfelagннкс0о{a/ø}{0<>i}, ið eigur meirilutan av partabrøvunum í fleiri útvarpsstøðum
радиоце́нтр	mútvarpsmiðstøðж0-ir
радиоэлектро́ника	fradioteknikkur [raːtijo-]мсогл-s,-ir, radiotøkni [raːtijo-]нпжгл-i
радиоэлектро́нный	adjradiotekniskur [raːtijo-]соглsk, radiotøkni- [raːtijo-], radiotøkniligur [raːtijo-]глigur
ради́ровать	ради́ру|ю, ~ешь, ~ютipf/pf что-л.sendair(d)o-tum radio [raː-]
ради́ст	mradiotelegrafistur [raː-]мсогл-ar
ради́стка	plurради́ст|ки, ~ок, ~камfradiotelegrafistur [raː-]мсогл-ar(konufólk)
ра́диус	m1.mat.(отрезок) radius [raːtiʊs]мсогл-ar2.fl.(сфера действия) radius [raːtiʊs]мсогл-ar; ра́диус де́йствия aktiónsradius [aʰkꞋʃɔu-]ннкпроф.; в ра́диусе трёх киломе́тров í ein radius upp á tríggjar kilometrar [kʰiː-]
ра́довать	ра́ду|ю, ~ешь, ~ютipf(pfобра́доватьобра́ду|ю, ~ешь, ~ют, пора́доватьпора́ду|ю, ~ешь, ~ют)Accgleðair(d)Вин; frøair(d)Вин
ра́доваться	ра́ду|юсь, ~ешься, ~ютсяipf(pfобра́доватьсяобра́ду|юсь, ~ешься, ~ются, пора́доватьпора́ду|юсь, ~ешься, ~ются)Datgleðastir(d)um Вин, gleðair(d)segum Вин; fegnastaðium Вин, vera feginсоглоснgum Вин; frøastir(d)um Вин; gleðair(d)segtil o-t (предстоящее) =>се́рдце2
радо́н	mradon [raː-]с0о({0<>i})
Ра́доница	f høgtíð í tí russ. ortodoksu kirkjuni annan týsdag eftir páskirnar, tá minst verður til tey deyðu
ра́достно	[-сн-]Iadv: ра́достно улыба́ться smílast glaðurIIpred(eg eri) glaður; tað er gleðiligt; ра́достно на душе́ (eg eri) glaður um hjartað [j-]; мне ра́достно eg eri (so) glaður
ра́достный	[-сн-]stfра́дост|ен, ~на, ~но, ~ныadj1.(испытывающий или выражающий радость) glaðurгл{+}; ра́достное настрое́ние góður hýrur; у него́ ра́достный вид hann sær so glaður út2.(вызывающий радость) gleðiligurглigur; gleði-, gleðis-; ра́достное изве́стие gleðilig tíðindi, gleðiboð; ра́достное собы́тие gleðilig hending
ра́дость	f1.(чувство удовольствия,весёлое чувство) gleðiжгл-i; с ра́достью feginсоглоснg; от ра́дости пла́кать gráta av gleði; вне себя́ от ра́дости ovurfegin2.(то что {тот, кто} доставляет удовольствие,счастье) gleðiжгл-i; ра́дости жи́зни gleðirnar í lívinum; де́ти - ра́дость её børnini [-tn-] eru hennara gleði3.(радостное событие,обстоятельство) gleðiжгл-i(gleðilig hending o.tíl.)4.:tlm.ра́дость (ты) моя́! (í tiltalu) góðasta!; kerasta! (в обращении к лицу женского рода); góðasti!; kerasti! (в обращении к лицу мужского рода)@на ра́достяхtlm.av gleði;с како́й ра́дости?tlm.,atf.hví; hví í allari [atl-] víðu verð; не в ра́достьikki til gleði; жизнь ему́ не в ра́дость lívið er honum til lítla gleði =>го́ре2,доста́вить2,загоре́ться3,заже́чься2,испыта́ть2,пережи́ть2,прили́в3,сверка́ть,ста́рость@
ра́дуга	fælabogiмгл-i
ра́дужина	flithinnaлпжгл-a, irisж0-arпроф., спец.
ра́дужка	plurра́дуж|ки, ~ек, ~камf síра́дужина
ра́дужный	stfра́дуж|ен, ~на, ~но, ~ныadj1.(имеющий цвета радуги) ælabogalittur [-puːwa-]согл, í øllum [œtl-] ælabogalitum [-puːwa-]2.fl.(радостный) ljósurсогл, gleðiligurглigur; ра́дужные перспекти́вы ljós framtíðarútlit; ви́деть всё в ра́дужном све́те síggja alt í rósinreyðum ljósi@ра́дужная оболо́чкаlithinnaлпжгл-a, irisж0-arпроф., спец.=>форе́ль
раду́шие	nhjartaligheitж0-ir(сердечность); blíðskapurмсогл-ir, gestablídniсгл-i(гостеприимство)
раду́шный	stfраду́ш|ен, ~на, ~но, ~ныadjhjartaligur [ja-]глigur(сердечный); blíðurгл(gestablíður) (гостеприимный)
раёк	Genрайк|а́;plur~и́, ~о́в, ~а́мm1.(ящик с отверстиями) perspektivkassi [-Ꞌtʰiːv-]мгл-i2.bókm.(сатирический монолог)slag av teiti3.gml.(галёрка) gallarí [-Ꞌrʊi]с0о{0<>i}(í sjónleikahúsi)
раёшник	mgml.1.síраёк12.(прибаутки и т.п.)slag av skemtitátti, teiti
раж	mtlm.øðiжгл-i; войти́ {прийти́} в раж verðaслнa-ó-oí øðini
ра́жий	adjóvkm.ramligurглigur, prúðurгл
раз1	IGenра́за, ра́зу; plurразы́, раз, раза́мm1.(указывает на кратность действия) ferðж0-ir{+}; оди́н раз eina ferð; два ра́за tvær ferðir; tvær ferðннк(после числительных); мно́го раз nógvar ferðir; раз в три го́да triðja hvørt ár; в три ра́за бо́льше tríggjar ferðir størri; в пе́рвый раз (fyri) fyrstu [fɪstʊ] ferð; в друго́й раз eina aðru ferð; я здесь во второ́й раз hetta er aðru ferð, eg eri her; ско́лько раз hvussu nógvar ferðir; hvussu ofta; с пе́рвого ра́за frá fyrstan [fɪst-] tíð, av fyrstan [fɪst-] tíð; на {в} э́тот раз hesa ferð; в тот раз ta ferðina; (в) про́шлый раз seinast; раз за ра́зом ferð eftir [εʰtː-] ferð; вся́кий {ка́ждый} раз hvørja ferð; раз в день eina ferð um dagin; три ра́за в неде́лю tríggjar ferðir um vikuna, tríggjar ferðннкum vikuna; ещё раз eina ferð afturat [aꞋtʰɹεat]; не раз meira enn eina ferð, fleiri ferðir; ни ра́зу ikki eina einastu ferð2.indecl(при счёте-один) eitt (tá talt verður); раз, два, три ... eitt, tvey, trý ...@в оди́н разí einum;в са́мый разa) (вовремя) í røttu løtu, í rættari tíð; b) (впору) passaraði(um klæðir);в тако́м ра́зеtlm.um so er;раз за ра́зомferð eftir [εʰtː-] ferð;раз от ра́зу ху́жеverri og verri, verri í hvørjum;вот тебе́ раз {вот те раз}!tlm.tað skal eg halda við!=>два́дцать,друго́й1,@,ино́й,как@,кото́рый@,ли́шний2,навсегда́,пе́рвыйII 1,после́дний1,приходи́ться@,ско́лькоI 3,сле́дующий1,увели́чить1,увели́читься
