б	part síбы
ба́лкер	mskip.bulkcarriari [pʊl̥kkʰa-]мгл-ariспец.
балко́н	m1.(площадка) balkong [-Ꞌkʰɔŋk]ж0-ir; altan [-Ꞌtʰaːn]ж0-ir, svaliмгл-iкн.; veranda [-Ꞌra-]жгл-a(; 0-ir) (закрытый)2.sjónl.(ярус в театре) balkong [-Ꞌkʰɔŋk]ж0-ir
балко́нчик	m kel., dim, tilбалко́н
балл	m1.(единица силиы и др.) stigс0о{0<>i}, point [pʰoꞋεŋk]ннкс0о(ítr. o.a.) (в спортивных состязаниях и др.); (vind)stigс0о{0<>i}(сила ветра) ; ве́тер в 6 ба́ллов vindmegi [vɪnm-] 6, vindstyrki [vɪn̊s-]ннкпроф.6; шторм доходи́л до десяти́ ба́ллов stormurin kom upp í tíggju stig, stormurin kom upp í vindstyrkiннкпроф.tíggju2.(отметка) karakterur [-Ꞌtʰeː-]ннкмсогл-s,-ir, próvtalс0o{a/ø}офиц..=>проходно́й2
балла́да	f1.bókm.(лирическое произведение) kvæðiсгл-i, vísaжгл-a2.mus.(музыкалюьное произведение) ballada [-Ꞌlaː-]жгл-a
балла́ст	m1.(груз) barlastж0-ir, ballastж0-irмор.; kjølfestaжгл-a(б.ч. в лодке); в балла́сте {с балла́стом} í ballast (um skip) (о судне); пла́вание в балла́сте ballastfartж0-irпроф.; принима́ть балласт taka ballast2.jarnb.(сыпучий материал) áburðurмсогл-ir(lagdur undir, áðrenn skinnarar verða lagdir)3.fl.,bókl.(то,что обременяет) byrðaжгл-a, kleppurмсогл-ar(byrða,hindur); освободи́ться от балла́стачего-л.sleppa av við byrðunaav o-m
балласти́ровать	балласти́ру|ю, ~ешь, ~ютчто-л.takaслнó-ó-iballast (í o-t)
балла́стный	adjballast-, barlast-; балла́стное пла́вание ballastfartж0-irпроф.; балла́стный танк ballasttangi [-tʰaɲtʃɪ]
ба́ллер	m(руля) róðurstammaжгл-aмор.
балли́стика	fballistikk [palɪꞋstɪʰkː]ж0-irспец.
баллисти́ческий	adjballistiskur [-Ꞌlɪ-]соглskспец.; баллисти́ческая раке́та ballistisk rakett [-Ꞌkʰεʰtː]
балло́н	m1.(резиновый) ballón [-Ꞌlɔun]ж0-ir; fløskaжгл-a(av metalli, til gass o. tíl) (из металла);балло́н для во́здуха luftfløska; балло́н с кислоро́дом {кислоро́дный} iltfløska; балло́н пусково́го во́здуха startluftfløskaспец.2.(шина и т.п.) slanga [slaŋka]жгл-a(í dekki);у него́ ло́пнул балло́н hann er punkteraður [pʰʊn̊Ꞌtʰeː-], slangan er punkterað [pʰʊn̊Ꞌtʰeː-] hjá [tʃʰ-] honum; балло́н спусти́л (во́здух) slangan lekur3.(аэростата) ballón [-Ꞌlɔun]ж0-ir(flúgvandi,við kurv undir)4.lækn.(для расширения сосудов и т.п.) ballón [-Ꞌlɔun]ж0-ir(til víðkan av æðrum o.tíl.) =>спусти́тьА 6
балло́нный	adjballón- [-Ꞌlɔun-] =>расшире́ние1
балло́нчик	m: га́зовый балло́нчик piparspray [-spɹεi]с0о{0<>i}
баллоти́ровать	баллоти́ру|ю, ~ешь, ~ютipf Accbókl.greiðair(d)atkvøðu, atkvøðair(d)um Вин, stemmaннкaðium Вин; ballotera [palːoꞋtʰeː-]aðium o-n(тк при голосовании о членстве в отдельных клубах)
баллоти́роваться	баллоти́ру|юсь, ~ешься, ~ютсяipfbókl.(во что-л.) stilla [-tla]aðiꞋ upp (til val o.tíl.); bjóðaaðiseg Ꞌ fram (til val o. tíl.) (выставлять свою кандидатуру); баллоти́роваться в парла́мент stilla upp til tjóðartingið
баллотиро́вка	plurбаллотиро́в|ки, ~ок, ~камfbókl.atkvøðugreiðslaжгл-a, atkvøðaжгл-a(atkvøðugreiðsla); ballotatión [palːotaꞋʃɔun]ж0-ir(тк при голосовани о членстве в некоторых клубах и т.п.)
ба́лльность	f: ба́лльность ве́тра vindstyrki [vɪn̊s-]ннкжгл-iпроф., vindmegi [vɪnm-]нпжгл-i; ба́лльность мо́ря aldumegiжгл-iспец.; sjógvur (støða,lega hjá sjónum)
-ба́лльный	í samans.1.(об отметках) karakter- [-Ꞌtʰeːɹ-]ннк, próvtals-нп2.veður.(о силе ветра) (við) vindmegi [vɪnm-]; восьмиба́лльный шторм vindmegi [vɪnm-] átta
бал-маскара́д	mgrýluveitsla [-vai̯sla]жгл-a
бало́ванный	adj tlm.spilturсогл(við eftirlæti o. tíl.), forkelaður [-Ꞌtʃʰeː-]ннкглaður
балова́ть	балу́|ю, ~ешь, ~ютipf кого-л.1.pfизбалова́тьизбалу́|ю, ~ешь, ~ют(относиться с излишним вниманием) spilla [-tla]ir(t)o-n(við eftirlæti o. tíl.), forkela [-Ꞌtʃʰeː-]ннкaðio-n; gevaслнa-ó-io-meftirlæti [εʰtː-] (потворствовать); hjúkla [tʃʰ-]aðium o-n, fjálgaaðium o-n(лелеять)2.pfпобалова́тьпобалу́|ю, ~ешь, ~ют(доставить удовольствие) ikki sparair(d)upp á o-n; балова́тького-л.пода́рками díkjair(t)o-nundir í gávum3.tlm.síбалова́ться
балова́ться	балу́|юсь, ~ешься, ~ютсяipf(pfпобалова́тьсяпобалу́|юсь, ~ешься, ~ются)1.(чем-л.) (við o-t) (шалить) fjasaaðivið o-t, spælair(d)(sær)við o-t; балова́ться спи́чками spæla sær við svávilspinnar; не балу́йся! ver nú ordiligur!неформ.; skikka tær væl!2.чем-л.(делать что-л. ради удовольствия) geraнепрsær dæltvið o-m, njótaслнey-u-oo-t
ба́ловень	Gen, Accба́ловня;plurба́ловн|и, ~ней, ~нямm1.tlm.(тот,кого балуют) kelivættiсгл-i, kelibarn [-tn]с0о{a/ø}; ба́ловень судьбы́ lukkubarn [-tn]с0о{a/ø}, lukkudýrс0о2.óvkm.síбаловни́к
баловни́к	Gen, Accбаловника́;plur~и́, ~о́в, ~а́мmtlm. gavstrikkur [kaf-]мсогл-ar
баловни́ца	ftlm.gavstrikkurмсогл-ar(konufólk)
баловно́й	adj tlm.óargaligur [-ˈa-]глigur, óskikkiligur [-ˈʃɪ-]глigur
баловство́	ntlm.1.(потворство) forkeling [-Ꞌkʰeː-]ж0-ar, burturspilling [-tl-]ж0-ar(við eftirlæti)2.(шалости) skálkabrøgdс0o{a/ø}; óargaskapurмсогл-ir(озорство); óskikkiligheit [-Ꞌʃɪ-]ж0-ir(непослушание)
балти́ец	Gen, Accбалти́йц|а;plur~ы, ~ев, ~амmmaðurмнепрí (tí sovjettiska og russiska) eystursjóvarflotanum
балти́йский	adj1.(относящийся к балтам) baltiskurсоглsk; балти́йские языки́ baltisk mál2.(относящийся к Балтийскому морю) eystursjóvar-, eystarasaltar-кн.; балти́йский флот ( tann sovjettiski og russiski) eystursjóvarflotin
Балти́йское мо́ре	Eystursjógvurinмсогл-ar{+}опр., Eystarasaltс0окн.
Ба́лтика	ftlm.1.síБалти́йскоемо́ре2.strondin fram við Eystursjónum
Балха́ш	mBalkhasjvatnið [palꞋkʰaʃ-]с0о{a/ø}опр.
балы́к	Genбалык|а́;plur.~и́, ~о́в, ~а́мm saltað og turkað ryggstykki av styrju o.ø.
Бальдр	mmyt.Baldurмнепр
бальза́м	Genбальза́ма, бальза́муm1.(душистый сок) balsamс0о; salvaжгл-a, smyrslс0о(мазь тж)2.fl.(утоление) linniмгл-i, uggiмгл-i@проли́ть бальза́м начью-л.ра́нуveraслнa-ó-eo-mein uggi, veraслнa-ó-eo-mein linni
бальзами́н	m(Impatiens, Balsamita) balsamin [-Ꞌmiːn]с0о({0<>i})
бальзами́рование	nbalsamering [-Ꞌmeː-]ж0-ar
бальзами́ровать	бальзами́ру|ю, ~ешь, ~ютipf(pfнабальзами́роватьнабальзами́ру|ю, ~ешь, ~ют, забальзами́роватьзабальзами́ру|ю, ~ешь, ~ют)Accbalsamera [-Ꞌmeː-]aðiВин
бальзами́ческий	adjbalsamiskur [-Ꞌsaː-]соглsk
бальза́мный	adjbalsam-
бальнео́лог	mserfrøðingur í leking við (mineralskum) bað, balneologur [-Ꞌloːk-]мсогл-arред., спец.
бальнеологи́ческий	adjbað-, kur-; бальнеологи́ческий куро́рт kurbaðс0о{0<>i}, kurbaðistaðurмсогл-ir{a/ø}{0<>i}
бальнеоло́гия	flæranжгл-aопр.um leking við mineralskum bað, balneologi [-Ꞌkiː]ж0-irред., спец.
ба́льный	adjdansi-, veitslu- [vai̯sl-], ball- [pal-]; ба́льное пла́тье veitslukjóli, ballkjóli; ба́льные та́нцы selskapsdansir
балюстра́да	farkit.(перила лестницы) rekkverkс0опроф.(á trappu); balustrada [-Ꞌstɹaː-]жгл-a
баля́нус	m(Balanus balanoides) rúðurс0осн, gjarс0о
баля́сина	fballustur [-Ꞌlʊ-]с0осн
баля́сничать	ipftlm.sussaaði, roksaaði
баля́сы	: точи́ть баля́сыtlm.sussaaði, roksaaði
БАМ	[бам]m síБайка́ло-Аму́рская(железнодоро́жная) магистра́ль
бамбу́к	m1.plant.(Bambusa) bambusс0о({0<>i})(planta)2.(древесина) bambusс0о({0<>i})(viður, tilfar)
бамбу́ковый	adjbambus-, úr bambus
ба́мпер	mkúfangariмгл-ari
бан	m intern.bannс0о, forboðс0о{0<>i}(móti at ávísir persónar hava ávísa atgongd á internetinum)
бана́льность	f1.(кбана́льный) banalitetur [-naːliꞋtʰeː-]ннкмсогл-s,-ir2.(мысль,выражение)o-ttanlað,o-tfortugt [-Ꞌtʰʊ-] (hugsan, málburður)
бана́льный	stfбана́лен, бана́льн|а, ~о, ~ыadjbanalur [-Ꞌnaː-]ннксогл(неоригинальный); fortugdur [-Ꞌtʰʊ-]согл, jabbaðurглaður(избитый)
бана́н	m1.plant.(Musa) bananpálmi [-Ꞌnaːn-]мгл-i2.(плод) banan [-Ꞌnaːn]ж0-ir
бана́новый	adjbanan- [-Ꞌnaːn-]
Банги́	m indeclBangui [paŋꞋkiː]м нескл.
Бангко́к	mBangkok [paŋkʰɔʰk]м0{дат.0}
бангладе́шский	[-дэ́ш-]adjbangladeshiskur {bangladesjiskur} [paŋklaꞋtεʃː-]соглsk
Банглалде́ш	[-дэ́ш]m indeclBangladesh {Bangladesj} [paŋklaꞋtεʃː]с нескл.
ба́нда	fbandiннкмгл-i, harkaliðс0о{0<>i}; brotsmannaliðнпс0о{0<>i}, ránsmannaliðнпс0о{0<>i}(грабителей)
банда́ж	Genбандаж|а́;plur~и́, ~е́й, ~а́мm1.lækn.(для поддерживания) bindс0o; bandasja {bandaga} [-Ꞌtaːʃa]жгл-a(sum styðjar); forbinding [-Ꞌpɪ-]ннкж0-arпроф.(повязка); korsett [-Ꞌsεʰtː]с0о(;0-ir)(корсет); гры́жевый банда́ж brokkbind; эласти́чный банда́ж elastiskt [-Ꞌla-] bind, elastikkbind [-Ꞌstɪ-]2.tekn.(колесный) hjulringur [juːl-]ннкмсогл-arпроф., hjólringur [tʃʰɔul-]нпмсогл-ar;jarnb.slitbani [-paː-]мгл-i(железнодорожных колёс)
бандажи́ст	mbandagistur [-Ꞌʃɪ-]мсогл-ar
банда́на	fbandana [-ˈtaː-]с0гл-a
банда́нна	f síбанда́на
банде́ровец	[-дэ́-]Gen, Accбанде́ровца; plurбанде́ровц|ы, ~ев, ~амm søg., polit., atf. limur í ukrainskum loysingarfelaggsskapi sum ОУН o.ø.
бандеро́ль	ж1.(почтовое отправление) krossbandssendingж0-ar, prentluturмсогл-irуст.; отпра́витьчто-л.бандеро́лью senda sum prentlut2.(ярлык) banderola [-Ꞌroː-]жгл-a
ба́нджо	nbanjo [paɲjo]ж0-ir
Банджу́л	mBanjul [panꞋtʃʊlː]м0{дат.0}
банди́т	m1.(преступник) bandittur [-Ꞌtɪ-]мсогл-ar2.skemt.(о ребёнке) kúllurмсогл-ar, jassurмсогл-ar(um drong); мой банди́т jassurin hjá [tʃʰ-] mær, kúllurin hjá [tʃʰ-] mær (skemt.um sonin hjá sær) =>однору́кий@
бандити́зм	mbandittaóskil [-Ꞌtɪ-]ннкс0о
банди́тский	adjbanditta- [-Ꞌtɪ-]; банди́тская ша́йка bandittalið [-Ꞌtɪ-]; банди́тское нападе́ние álop av bandittum [-Ꞌtɪ-]
Банду́нг	mBandung [-Ꞌtʊŋk]м0{дат.0}
банду́ра	m1.mus.(музыкальный инструмент) bandura [-Ꞌtuː-]жгл-a; 0-ir(ukrainskt streingjainstrument)2.tlm.,skemt.(нечто громоздкое) monstrumэнкс0o{0<>i}; не шкаф, а банду́ра eitt óskaffiligt [-Ꞌska-] skáp; eitt monstrumэнкav einum skápi
бандури́ст	mbanduraspælari [-Ꞌtuː-]мгл-ari(síбанду́ра1)
ба́ндформирова́ние	nbólkurмсогл-arav bandittum [-Ꞌtɪ-]
бандю́га	mtlm.,vanv. síбанди́т
ба́ни	f plur síба́ня
ба́нить	ба́н|ю, ~ишь, ~ятipf(pfзаба́нитьзаба́н|ю, ~ишь, ~ят)Acc intern.bannaаёиДат, forbjóða [-ˈbjɔuwa]aðio-m(живое),o-t, setaur(t);ir(t)forboðfyriДат(ávísir persónar hava ávísa atgongd í internetinum)
банк1	Im1.(финансовое предприятие) banki [paɲ̊tʃɪ]мгл-i; госуда́рственный банк tjóðbanki, ríkisbanki, nationalbanki [naːʃoꞋnaːl-]ннк; центра́льный банк meginbanki, høvuðsbanki; Центра́льный банк Росси́йской Федера́ции Russiski tjóðbankin; положи́ть де́ньги в банк setaur(t);ir(t)pengar í bankan; фи́рма по́льзуется э́тим ба́нком felagið brúkar henda bankan2.fl.(центр,где сосредоточены предметы,сведения и т.п.) banki [paɲ̊tʃɪ]мгл-i; банк иде́й idébanki [iꞋteː-]ннк, hugskotbankiнп=>да́нные1
банк2	IIm1.kort.(в карточных играх) (spæli)banki [-paɲ̊tʃɪ]мгл-i; держа́ть {мета́ть} банк halda banka; сорва́ть банк spreingja bankan2.(карточная игра) faraospæl [faːɹao-]с0о{æ/ø}(kortspæl)
ба́нка1	Iplurба́н|ки, ~ок, ~камf1.(жестяная) blikkс0о(ílat), dósж0-ir; glasс0о{a/ø}(ílat) (стеклянная); пи́во в ба́нках øl í dósum, dósaøl2.lækn.(стеклянный сосуд) koppurмсогл-ar; ста́витькому-л.ба́нки setao-má koppum3.óvkm.(1 литр водки) liturfløskaжгл-avið vodka; под ба́нкой sum hevur (góða) kenning, við góðari kenning4.óvkm.: ки́нуть {накида́ть}кому-л.ба́нок berjair(d){e/a}{+}o-nav, hølvaaðio-nav =>консе́рвный,кровосо́сный
ба́нка2	IIplurба́н|ки, ~ок, ~камf1.(отмель) grynnaжгл-a; rivс0о(риф)2.(район рыболовства) banki [paɲ̊tʃɪ]мгл-i(fiskigrunnur), grunnurмсогл-ar=>Билл-Бе́йлисба́нка,Больша́яНьюфа́ундлендская,Ла́узиба́нка,Поркьюпа́йн,Роко́лл,Фаре́рскаяба́нка,Флемиш-ка́пбанка,Фуглё
ба́нка3	IIIplurба́н|ки, ~ок, ~камf(скамья для гребцов) bekkurмсогл-ar(í róðrarbáti)
банке́т	mveitsla [vai̯sla]жгл-a(hátíðaligur nátturði ella døgurði), bankett [-Ꞌkʰεʰtː]ннкж0-ir; borðhaldс0о; gildiсгл-i(большой пир); устро́ить банке́т gera veitslu; дать банке́т в честького-л.haldaслнe-i-iveitslufyri o-m
ба́нкинг	mbankavirksemi [paɲ̊k-]сгл-i
банки́р	mbankier [paŋ̊Ꞌkʰjeː]мгл-глспец.; bankamaður [paŋ̊k-]мнепр(eigari ella í týðandi starvi)
банки́рский	adj(относящийся к банкиру) bankier- [pan̊Ꞌkʰjeː-]; banka- [pan̊ka-] (относящийся к банку); банки́рский дом banki [paɲ̊tʃɪ]мгл-i; банки́рская конто́ра banki [paɲ̊tʃɪ]мгл-i
