Л	talvладья́ R, rókur
ла́пник	mrísс0оav nálаgreinum
ла́потник	móvkm.,vanv.bygdarfrellс0опренебр.,шутл.
ла́поть	Genла́пт|я; plurла́пти, лапт|е́й, ~я́мm1.(обувь) bastskógvurмсогл-ar{+}2.fl.,vanv.(невежественный человек) bygdarfrellс0опренебр., шутл.
ла́почка	plurла́поч|ки, ~ек, ~кам1.f dim avла́па2.fogm(о человеке) fitt fólkс0о(oftast um unga gentu el. barn)
лапт...	ла́пти, лапте́йo.s.fr. plur avла́поть
лапта́	f1.(игра)slag av langbólti2.(бита) bólttræс0о{æ/ø}(brúkt í spælinum лапта́(sí)
Ла́птевых мо́ре	Laptevhavið [laʰptʰεf-]с0о{a/ø}опр.,Laptevhav [laʰptʰεf-]лпс0о{a/ø}
лапто́п	mfarteldaжгл-a
лапу́ля	plurла́пу́ли, лапу́ль, лапу́лямm, f kel.góðastiпревосх., (allar)kerasti ([-ˈtʃʰeː-]),превосх.,(allar)fittasti ([ˈfɪ-])превосх
ла́пушка	plurла́пуш|ки, ~ек, ~камm, fgóðastiпревосх., kerastiпревосх.(serl. við konufólk)
лапча́тка	plurлапча́т|ки, ~ок, ~камf(Potentilla) muraжгл-a; лапча́тка гуси́ная (P. anserina) gásamura; лапча́тка прямостоя́чая (P. erecta) børkuvísaжгл-a, børkumura
ла́пчатый	stfла́пчат, ~а, ~ыadj1.plant.(о растениях) handdeildurсогл2.bert lfdjór.(о животных) við fitjum@гусь ла́пчатыйtlm.revurмсогл-ar(lúrið fólk)
лапша́	f1.(изделие) nudlurжгл-aмн2.(суп) nudlusuppaжгл-a@лапшу́ на у́ши ве́шатькому-л.tlm.lúgvaслнey-u-oo-nfullan [-tl-] (лгать), narraaðio-n(обмануть)
ла́рга	f(Phoca vitulina larga)undirslag av steinkópi í Stillahavinum
ларёк	Genларьк|а́; plur~и́, ~о́в, ~а́мfkiosk [kʰiꞋɔsk]ж0-ir; (lítil) sølubúðж0-ir
ларе́ц	Genларц|а́; plur~ы́, ~о́в, ~а́мmskrínс0о
ла́ри	m indecllari [laːɹi]м0-ar{дат.0}(gjaldoyra í Georgia)
ларинги́т	mlaryngitis [laɹʏŋꞋkiːtː-]с0{дат0}спец., strúpuhostiмгл-i
ларинго́лог	mhálslækniмгл-i
ларинголо́гия	flaryngologi [larʏŋkoloꞋkiː]жгл-iспец.
ларингоско́п	mlaryngoskop [larʏŋkoꞋskoːp]с0оспец.
ла́рчик	m dim avларе́ц@а ла́рчик про́сто открыва́лсяtað liggur beint fyri,tað liggur nær við (um loysnir o.a.)
ларь	Genлар|я́; plur~и́, ~е́й, ~я́мm1.(ящик) skrínс0о2.gml.síларёк
ЛАС	[лас]f indeclЛи́га ара́бских странsíЛАГ
ласа́нья	f síлаза́нья
ла́ска1	Iplurла́ск|и, ~, ~амf1.(проявление нежности и др.) kínс0о2.(ласковое отношение) blíðskapurмсогл-ir(тж гостеприимство); alskurмсогл-ar; eymleikiмгл-i(нежность)
ла́ска2	IIplurла́ски, ла́сок, ла́скамf(Mustela nivalis)slag av lítlum mári(en.weasel; da.brud)
ласка́тельный	stfласка́телен, ласка́тельн|а, ~о, ~ыadj1.síла́сковый2.bert lfmál.(о слове,выражении) keli-; ласка́тельные слова́ keliorð; ласка́тельное и́мя kelinavn
ласка́ть	ipf Acc1.(проявлять ласку) kínair(d)Дат; kelaaði(произношение[kʰeː-]ннк)Вин2.fl.(быть приятным) gleðair(d)Вин, frøair(d)Вин; ласка́ть глаз {взгляд, взор} vera ein fragd fyri eygað; ласка́ть слух vera ein fragd fyri oyrað3.чем.л. gml. uggaaðivið o-m(тешить), siisaaðivið o-m(успокаиваыь)
ласка́ться	ipf(pfприласка́ться) (к кому-л.) kelaaði(o-m), kínair(d)(o-m); strúkaслнey-u-oseg uppat o-m
ла́сковость	fkelinskapurмсогл-ir, kelingarlótirж0-irмн; alskurмсогл-s,-ir(нежность)
ла́сковый	stfла́сков, ~а, ~о, ~ыadjkerligurглigur, kelinсоглосн, alskinсоглосн, eymurсогл(нежный)@сказа́тькому-л.па́ру ла́сковых словóvkm.sigao-mnøkur álvarsorð
ла́сси	m indecl, n indecl(напиток) lassi [lasːi]мгл-гл(drykkur)
лассо́	n indecllassoж0-ir;с0о({<>i})
ласт	m1.(у животных) bøkslс0о(у китов,пингвинов); lálla [-tla]жгл-a(передний у тюленей,черепах); fitjaжгл-a(задний у тюленей)2.plurítr.(спортивный снаряд) fitjurжгл-aмн
ла́стик	m1.(материя) lastingс0о(tilfar)2.(резинка) viskileðurс0осн{+}
ла́ститься	ла́щусь, ла́ст|ишься, ~ятсяipf óvkm. síласка́ться
ластоно́гие	plur(отряд Pinnipedia) fitjudýrс0омн
ла́сточка	plurла́сточ|ки, ~ек, ~камf1.(сем. Hirundinidae) svalaжгл-a; дереве́нская ла́сточкаsíкаса́тка; (обыкнове́нная) берегова́я ла́сточка (Riparia riparia) áarsvala; городска́я ла́сточка (Delichon urbica) lonasvala; ла́сточка-берегову́шкаsíберегову́шка2.ítr.(в гиманстике)slag av javnvág3.(ласковое обращение) góðastaпревосх., kerastaпревосх., fittastaпревосх.@пе́рвая ла́сточкаfyrsta [fɪsta] fyriboðanж0-ir, fyrsti [fɪstɪ] fyridøtturмсогл-s,-ir;одна́ ла́сточка весны́ не де́лаетorðt.≈ tað verður ikki alt fleytir, ið tyril kemur íпосл.;прыжо́к ла́сточкой(в воду)ítr.svalalop
ла́сточкин	adj: ла́сточкино гнездо́ítr.svalareiðurннк, svalureiður; ла́сточкин хвостtekn.svalahalablaðс0о{a/ø}{0<>i}
ла́сты	m plur síласт
лат	mlat [laʰtː]с0о(gjaldoyra í Lettlandi)
лататы́	: зада́ть лататы́óvkm.flýggjaar(d){+};aði, takaслнó-ó-itil rýmingar
лата́ть	ipf(pfзалата́ть)что-л.óvkm.bøtair(t)o-t
Латви́йская Сове́тская Социалисти́ческап Респу́блика	(ЛатвССР)sovjet.Lettiska sovjetska [sɔujεska] sosialistiska [-Ꞌlɪ-] lýðveldið
латви́йский	adjlettiskurсоглsk(viðv. Lettlandi,sbr.латы́шский)
Ла́твия	fLatviaнпс нескл., Lettlandс0о{a/o}
лате́нтный	(eis.[-тэ́-])stfлате́нт|ен, ~на, ~но, ~ныadjfys.,lækn.fjaldurсогл(скрытый), latentur [-Ꞌtʰε-]интсогл
лати́н1	Im tlm.latínamerikanari [-ˈtʰʊinameːɹikʰaː-]мгл-ari
лати́н2	IIm síлатиня́нин
лати́на	f síлати́но
латиниза́ция	flatínisering [-ˈseː-] ж0-ar
латинизи́ровать	латинизи́ру|ю, ~ешь, ~ютipf/pf что-л. latínisera [-ˈseˑ-]aðio-t
латини́зм	mlatinisma [-Ꞌnɪ-]жгл-a
латини́ст	mlatínari [-Ꞌtʰʊi-]мгл-ari, latinistur [-Ꞌnɪ-]мсогл-ar(serfrøðingur í latíni)
лати́ница	ftað latínska alfabetið [-Ꞌpeː-]с0о
лати́но	n indecl latínamerikanskur dansur og tónleikur
латиноамерика́нец	Gen, Accлатиноамерика́н|ца; plur~ы, ~ев, ~амmlatínamerikanari [-ˈtʰʊinameːɹikʰaː-]мгл-ari
латиноамерика́нский	adjlatínamerikanskur [-Ꞌtʰʊi-]соглsk({a/o})
лати́нос	m tlm.latínamerikanari[-ˈtʰʊinameːɹikʰaː-]мгл-ari
Лати́нская Аме́рика	Latínamerika [-Ꞌtʰʊin-]с нескл.
лати́нский	adjlatínskur [-Ꞌtʰʊi-]соглsk; лати́нский язы́к latín [-Ꞌtʰʊin]с0о
латиня́нин	plurлатиня́н|е, ~, ~амmlatínari [-Ꞌtʰʊi-]мгл-ari(íbúgvi í forna Latium)
латифунди́ст	mstórur góðseigariмгл-ari(í summum londum síлатифу́ндия)
латифу́ндия	flatifundium [laːtiˈfʊntijʊm]с0-um(stórt góðs í summum londum)
ла́тка1	Iplurла́т|ки, ~ок, ~камftlm.(заплатка) bótж0.ur{ó/ø}(seymað fyri hol); поста́вить ла́тку bøtair(t), setauir(t);ir(t)bót á
ла́тка2	IIplurла́т|ки, ~ок, ~камf slag av steikigrýtu
ла́тник	msøg.brynjuklæddur krígsmaður [kʰɹʊi̯ʰks-], [kʰɹʊʰks-]мнепр
ла́тте	[-тэ]n indeclcafé latte [kʰafːɪˈlaʰtːε]с нескл.; ко́фе ла́тте café latte [kʰafːɪˈlaʰtːε]с нескл.
лату́к	m(Lactuca) salat [-Ꞌlaːt]с0о
лату́нный	adjmessing-
лату́нь	fmessingс0о
ла́ты	лат, ла́тамf plursøg.brynjaжгл-a
латы́нь	flatín [-Ꞌtʰʊin]с0о=>вульга́рный@
латы́ш	Gen, Accлатыш|а́; plur~и́, ~е́й, ~а́мmlettiмгл-i
латы́шка	plurлаты́ш|ки, ~ек, ~камflettiмгл-i(konufólk)
латы́шкий	adjlettiskurсоглsk, lettlendskur [-lεn̊sk-]соглndsk; латы́шкий язы́к lettisktсприлskt
Ла́узи ба́нка	Ytstibanki [ɪstɪpaɲ̊tʃɪ]мгл-i, Lúsabanki [-paɲ̊tʃɪ]мгл-i
лауреа́т	mvinnariмгл-ariav heiðursløn; лауреа́т Но́белевской пре́мии nobelprísvinnari [-Ꞌpεl-]ннк, nobelheiðurslønarvinnari [-Ꞌpεl-]
лафа́	pred(Dat)tlm.: ему́ лафа́ ≈ hann hevur tað sum í himmiríkiпог.; hann hevur jól og góðar dagarпог.
лафе́т	mlavett [-Ꞌvεʰtː]ж0-ir, kanónvognur [-Ꞌnɔun]мсогл-ar
лахта́к	Gen, Accлахтак|а́; plur~и́, ~о́в, ~а́мm síза́яц, морско́й
лаху́дра	fóvkm., niðr.,fesjaжгл-aпренебр., ótrivavættiсгл-iнеодобр.(konufólk)
ла́цкан	muppslagс0о{a/ø}(á jakka, frakka), revers [-Ꞌvεʂː]с0о
лацпо́рт	mporturс0осн(á skipi); бортово́й лацпо́рт síðuportur; кормово́й лацпо́рт hekkuportur; носово́й лацпо́рт bógportur
ла́чка	plurла́ч|ки, ~ек, ~камflakari [laː-]мгл-ari, laki [laː-]мгл-i(konufólk)
лачу́га	fkroysaжгл-a
лачу́жка	plurлачу́ж|ки ~ек,~камf tlm., dim, kel. tilлачу́га
ла́щусь	1. pers pres avла́стиься
ла́ять	ла́|ю, ~ешь, ~ютipf1.(о собаке и т.п.) goyggjaнепр2.Accóvkm.(бранить) skeldaaðiВин
ла́яться	ла́|юсь, ~ешься, ~ютсяipfóvkm.skeldaaði, brúkaar(t)seg
лб...	лбаo.s.fr. síлоб
ЛВС	[эл-вэ-э́с]f indeclлока́льная вы́числительная сеть lokalnet [-Ꞌkʰaː-], nærnetлп
лганьё	ntlm.lygnж0-ir
лгать	лгу, лжёшь, лгут; pretлгал, лгала́, лга́л|о, ~иipf(pfналга́тьналгу́, налжёшь, налгу́т;pretналга́л, налгала́, налга́л|о, ~и)1.pf eis.солга́тьсолгу́, солжёшь, солгу́т; pret солга́л, солгала́, солга́л|о, ~и) (кому-л.) (говорить неправду) lúgvaслнey-u-o(fyri o-m); лгатькому-л.в лицо́ lúgva beint upp í eyguniá o-m2.на Acc(клеветать) lúgvaслнey-u-ouppá Вин, baktalaaðiВин
ЛГБТ	[эл-гэ-бэ-тэ́]n indeclLGBT [εlː keː peː ˈtʰeː]с нескл
ЛГУ	[эл-гэ-у́]m indeclsøg.Ленингра́дский Госуда́рственный Университе́т Ríkisuniversitetið í Leningrad [-aːt]
лгун	Gen, Accлгун|а́; plur~ы́, ~о́в, ~а́мmlygnariмгл-ari, lygivættiсгл-i
лгу́нья	plurлгу́ньи, лгу́ний, лгу́ньямflygnariмгл-ari, lygivættiсгл-i(konufólk)
ЛДПР	[эл-дэ-пэ-э́р]f indeclЛибера́льно-демократи́ческая па́ртия Росси́и Liberaldemokratiski [-Ꞌraːl-] flokkur Russlands [-lan̊s]
лебеда́	f(Atriplex) rímbløðkaжгл-a
лебедёнок	Gen, Accлебедёнка; plurлебедя́т|а, ~, ~амmsvanaungiмгл-i, ungiмгл-iav okn
лебеди́ный	adjsvana-;лебеди́ная ше́я svanahálsur@лебеди́ная пе́сняsvanasongur
лебёдка1	Iplurлебёд|ки, ~ок, ~камftekn.spælс0о{æ/ø}(vinda); snellaжгл-a(fiskiútgerð) (рыболовная снасть в виде удочки-лебёдки); вытяжна́я лебёдка gilsaspælмор.; грузова́я лебёдка lastaspæl; тра́ловая {ва́ерная} лебёдка trolspæl; я́корная лебёдка akkersspæl, ankarspæl =>джильсо́нный,ярусовы́борочный
лебёдка2	IIplurлебёд|ки, ~ок, ~камfdjór.(самка лебедя) svanabøgaжгл-a
ле́бедь	m(Cygnus) svanurмсогл-s,-ir; ле́бедь-клику́н (C. cygnus) oknж0-ir, svanur; ле́бедь-шипу́н (C. olor) knubbsvanur, knópsvanur; ма́лый {ту́ндровый} ле́бедь (C. columbianus) smáoknж0-ir
лебедя́т...	plursíлебедёнок
лебези́ть	лебежу́, лебез|и́шь, ~я́тipf перед кем-л.tlm.sleiskaaðifyri o-m, krúpaслнey-u-ofyri o-m
лебя́жий	adjsvana-
Лев1	IGen, AccЛьваmastr.Ljóniðс0оопр.
лев2	IIGen, Accльва; plurльвы, львов, львамm(Panthera leo) løvaннкжгл-a, leyvaнпжгл-a, ljónс0окн.@морско́й лев(Zalophus,Otaria) sjóløvaннкжгл-a, sjóleyvaнпжгл-a, sjóljónс0окн.;све́тский левgml.selskapsløvaжгл-aшутл.
лев3	IIIm(денежная единица Болгарии) levм0-ar(дат.0}(gjaldoyra í Bulgaria)
лева́к	Gen, Accлевак|а́; plur~и́, ~о́в, ~а́мm1.tlm.,polit.,atf.(политический деятель) vinstravíðgongt fólkс0о2.óvkm.,atf.(работающий по-левому человек)o-r, sum arbeiðir svart (við bilum, útgerð o.ø. frá arbeiðsplássinum)
лева́цкий	adjtlm.,vanv.víðgongt vinstrahallur [-tl-]мприл
лева́чество	nvíðgongdur [vʊi̯k-] vinstrahallur politikkur [-Ꞌtʰɪ-]мсогл-ar
лева́чить	лева́ч|у, ~ишь, ~атipftlm.,atf.arbeiðair(d)svart (síлева́к2)
леве́ть	ipf(pfполеве́ть) gerast meira vinstravendurсогл
Левиафа́н1	Imbíbl.Livjatanмсогл-ar({0<>i})
левиафа́н2	IImbókl.(чудовище) stórt skrímslс0о
левизна́	fpolit.víðgongd [vʊi̯k-] vinstrasjónarmiðс0омн, vinstravilla [-tla]жгл-a
Леви́т	mtriðja Mósebók [mɔusɪ-]ж0-ur{ó/ø}
левко́й	m(Matthiola) levkoy [-Ꞌkʰɔi]ж0-ir
ле́во	: ле́во на борт! {ле́во руля́}! í bakborð [pakp-]!
левобере́жный	adjá vinstra áarbakka@Левобере́жная Украи́наsøg.partar av Ukraina á eystara áarbakka av Dnepr, sum frá 1654 vóru uppi í tí russiska ríkinum
левосторо́нний	adjvinstra-; левосторо́ннее движе́ние vinstrakoyring
левофланго́вый	Iadj1.herm.(находящийся на левом фланге) sum er á vinstra veingiIIm herm.(тот, ктонаходящийся на левом фланге) maðurмнепрá vinstra armi
левша́	plurлевш|и́, ~е́й, ~а́мmlámurмсогл-ar
ле́вый	Iadj1.(сторона тела и др.) vinstriтк опр.; с ле́вой стороны́ frá vinstru; на ле́вой стороне́ vinstrumegin; по ле́вую ру́ку {сто́рону} vinstrumegin; ле́вый бе́рег реки́ vinstri áarbakki; ле́вый борт bakborð [pak-]2.polit(в политике) vinstra- (тж в разных названиях); vinstravendurсогл, vinstrahallur [-tl-]согл{a/ø}, vinstraorienteraðurннкглaður(левых политических взглядов)3.óvkm.(незаконный) svarturсогл{a/ø}(um arbeiði o.tíl.,sbr.лева́к 2)IImvinstravendurмприл, vinstrahallur [-tl-]мприл, vinstraorienteraðurннкмприл@ле́вая сторона́(изнанка) rangaжгл-a;встать с ле́вой ноги́havaнепрmorgungron;сде́латьчто-л.ле́вой ного́йtlm.,atf.klombraaðio-t;как его́ ле́вая нога́ (за)хо́четfram eftir [εʰtː-] fummum; sum best ber til;одно́й ле́вой(so lætt) sum einki; sum ein vøtt (поднять и т.п.) =>укло́н
