З	за́пад V, vestur
заболта́ть2	IIpftlm.1.(сбалтывать) faraслнó-ó-aat røra runt, begynna [-Ꞌtʃɪ-]ннкir(t)at røra runt, byrjaaðiat røra runt2. (о движении самолёта) faraслнó-ó-aat rulla [-tla], begynna [-Ꞌtʃɪ-]ннкir(t)at rulla [-tla], byrjaaðiat rulla [-tla] (um flogfar),sbr.болта́ть I
заболта́ться1	Ipftlm.(увлечься болтовней) skræða [skɹeːa]ir(d)segнеодобр.(ov leingi), brúkaar(t)kjaftбран.(ov leingi); sjavast [ʃaː-], [ʃεa-]aðiнеформ., неодобр.
заболта́ться2	IIpftlm.(начать болтаться) faraслнó-ó-aat dingla, begynna [-Ꞌtʃɪ-]ннкir(t)at dingla, byrjaaðiat dingla; faraслнó-ó-aat darla, begynna [-Ꞌtʃɪ-]ннкir(t)at darla, byrjaaðiat darla
забо́р1	Im(stena) garðurмсогл-ar{a/ø}(построен из бетона или камней); hegnс0о, stikс0о(столбы с сетью и т.п.); stakitt [-Ꞌkʰɪʰtː]с0о(из штакетника), girðingж0-ar(б.ч. жерди с сетью и т.п.)@ко́нчить жизнь под забо́ромfaraслнó-ó-aí hundarnarидиом.;на́шему забо́ру двою́родный плете́ньtlm.,skemt.sum ketta upp úr høvdatrog [hœtːa-]пог.
забо́р2	IIm(кзабра́ть 1) heintingж0-ar
забо́ристый	stfзабо́рист, ~а, ~о, ~ыadj1.(о напитке и т.п.) sterkurсогл(um drykkir o.a.)2.(вульгарный) fúlurсогл, grovurсогл
забо́рный	adj1.(относящийся к забору) hegns-, garðs-2.(непристойный) ónæriligur [-Ꞌnεa-]гл-igur, fúlurсогл, grovurсогл
заборони́ть	pf(ipfзаборонова́тьзаборону́|ю, ~ешь, ~ют)síборони́ть
заборонова́ть	ipf síзаборони́ть
забо́ртный	adj: забо́ртная вода́ vatn, sum fer fyri borð (lensivatn,kloakkvatn o.a.); забо́ртный кла́пан sjógvventilur
забо́та	f1.(беспокойство) órógvж0-ir, bangilsi (боязнь, страх)сгл-i, óttiмгл-i(страх), stúranж0-ir(тревога), sútж0-ir(горе); bekymring [-Ꞌtʃʰɪ-]ннкж0-ar(озабоченность); без забо́т sorgleysurсогл, ekkaleysurсоглкн.; жить без забо́т liva eitt sorgleyst lív; де́нежные забо́ты pengasorgirж0-irмн; забо́та о своём бу́дущем stúran um framtíðina; у неё мно́го забо́тeis.hon hevur nógv um at vera; забо́ты по хозя́йству bekymringarннкum húsaharhaldið; у крестья́н теперь мно́го забо́т bøndurnir hava nógv um at vera nú2.(внимание) umhugsanж0-ir; umsorganж0-ir, tað at hugla um (уход); забо́та о де́тях umsorgan fyri børnunum [-tn-]; быть окружённым забо́той fáa nógva umsorgan, fáa nógvan ansмсогл-ar; взять на себя́ забо́туо ком-л.átaka sær at taka særav o-m; забо́та о де́тях - его́ де́ло hann tekur sær av børnunum [-tn-]; биле́ты - моя́ забо́та eg orðniнеформ.billettirnar [-Ꞌlε-]ннк, eg syrgi fyri billettunum [-Ꞌlε-]ннк,sbr.забо́титься3.: э́то явля́ется на́шей гла́вной забо́той hetta er tað, vit mest hugsa um; hetta er tað, vit hava mest høvuðbrýggj av; hetta er tann mesta spekulatiónin [speːkɪlaꞋʃɔu-]энкнеформ.; пе́рвая на́ша забо́та - (э́то) купи́ть биле́ты tað fyrsta [fɪsta] vit mugu hugsa um, tað er at keypa billettir [-Ꞌlε-]ннк@э́то твоя́ забо́таhetta mást tú (sjálvur) um, sum tær lystir;э́то не твоя́ забо́таtað rakar ikki teg, tað kemur ikki tær við;не́ было забо́ты!tað var sum fanin!бран.;(а) ему́ (и) забо́ты ма́лоtað ger honum ikki mun, hann leggur einki í tað;мне бы твои́ забо́ты!hevði [hεijɪ] eg ikki havt annað at hugsa um! =>здоро́вье,лежа́ть4,окружи́ть5,свобо́дный4
забо́тить	забо́чу, забо́т|ишь, ~тятipf(pfозабо́титьозабо́чу, озбо́т|ишь, ~ят)кого-л.voldair(d)o-mampa, bekymra [-Ꞌtʃʰɪ-]ннкo-n; что тебя́ забо́тит? hvørjum kvíðir tú fyri?; э́то меня́ ма́ло забо́тит eg leggi lítið (lag) í tað; её забо́тит де́ло hetta málið bekymrar [-Ꞌtʃʰɪ-]ннкhana, hon hevur ampa av hesum málinum
забо́титься	забо́чусь, забо́т|ишься, ~тятсяipf1.pfпозабо́титьсяпозабо́чусь, позабо́т|ишься, ~тятся о Prp(проявлять заботу) takaслнó-ó-især avДат; hugsaaðiumВин, ansaaði(sær), leggjaнепрlag íВин;? syrgjair(d)fyriДат(выполнять что-л.); vísair(t)umsorgan fyriДат, bekymra [-Ꞌtʃʰɪ-]ннкaðiseg umВин(заботливо относиться к чему-л.); ansaaðieftir [εʰtː-]Дат; hyggjaur(d){y/u}eftir [εʰtː-]Дат(ansa eftir), síggjaслнá-ó-æДатtil góðar, veraслнa-ó-e{+}umВин(ухаживать за кем-л.); вам ни о чём не ну́жно забо́титься - всё бу́дет в поря́дке tit skulu ikki brýggja høvur..., alt verður í lagi, leggið ikki í at brýggja høvur... alt verður í lagi; забо́титься о том, что́бы... síggja til, at...; не забо́титься ikki lata við seg koma; не забо́титьсяни о чём-л.einki leggja í nakað;забо́титься о де́тях hava umsorgan fyri børnunum [-tn-], hugsa um børnini [-tn-], taka sær av børnunum [-tn-], síggja til, at børnini [-tn-] ...; забо́титься то́лько о себе́ bara hugsa um seg sjálvan; забо́титься о своём здоро́вье røkja heilsuna, ansa eftir heilsuni2.(беспокоиться, тревожиться) havaнепрampa á sær, stúrair(d); напра́сно он забо́тится hann skal ikki stúra; она́ не забо́тилась подня́ть кни́гу hon hirdi ikki at lyfta [lɪʰtːa] bókina upp
забо́тливо	advvið umhugsni; við nærlagni
забо́тливость	fumsorgж0-ir, umsorganж0-ir; umhugsanж0-ir, vandniсгл-i, nærlagniсгл-i; ansurмсогл-ar; uppmerksamheitннкж0-ir(внимательность)
забо́тливый	stfзабо́тлив, ~а, ~о, ~ыadjumhygginсоглосн, nærlagdur [naɹ-]согл{a/ø}(старательный); umhugsinсоглосн, uppmerksamur [-Ꞌmε-]ннксогл{a/o}(внимательный)
забракова́ть	pf(ipfзабрако́вывать)síбракова́ть
забрако́вывать	ipf síзабракова́ть
забра́ло	nsøg.visir [viꞋsiːɹ]с0оспец., hjálmgluggi [tʃʰ-]лпмгл-i@с откры́тым забра́ломhátíð.opið
забра́сывать1	Iipf síзабро́сить
забра́сывать2	IIipf síзаброса́ть
забра́ть	забер|у́, ~ёшь, ~у́т;pretзабра́л, забрала́, забра́л|о, ~иpf(ipfзабира́ть)1.Acc(взять) takaслнó-ó-iВин, heintaaðiВин; faraслнó-ó-aviðДат(унести); забра́ть с собо́й taka við sær2.кого-л.tlm.(арестовать) handtaka [hantʰ-]слнó-ó-oo-n, setaur(t);ir(t)o-nfastan, arrestera [-Ꞌsteː-]ннкaðio-n; их забра́ли в мили́цию teir vórðu tiknir á politistøðina3.bert 3. pers brúktur кого-л.fl.(о чувствах) verða gripinсоглоснavo-m(um kenslur o.a.); её забрала́ охо́та писа́ть hon fekk (sovorðnan) hug at skriva, hon trákkaðist eftir [εʰtː-] at skriva;его́ забра́л страх ræðsla kom á hann; его́ забра́ло за живо́еóptað rakti hann meint, tað neit fast4.что-л.talv(в шахматах) drepaслна-u-io-t;kortstingaслнa-u-uo-t(в карточной игре); забра́ть пе́шку drepa eina finnu; забра́ть туза́ stinga eitt ess5.что-л.(конфисковать) leggjaнепрhald áo-t, konfiskera [kʰɔn̊fɪꞋskeː-]ннкaðio-t6.(уклониться) gangaслнe-i-i, faraслнó-ó-a; доро́га забрала́ впра́во vegurin gekk til høgru, vegurin fór til høgru; мы забра́ли вле́во vit fóru til vinstru7.что-л.(ушить) leggjaнепрo-tinn (klæðir); leggjaнепрo-tupp (klæðir) (укоротить)8.intr(о якоре) haldaслнe-i-i; bítaслнei-i-i(um akker)@забра́ть себе́ в го́ловуsetaur(t);ir(t)sær í høvdið [hœtːɪ];забра́ть в свои́ ру́киtakaслнó-ó-ií sínar hendur, takaслнó-ó-iꞋ hond um;забра́ть си́луóvkm.fáaслнe-i-inakað at siga, fáaслнe-i-iávirkan
забра́ться	забер|у́сь, ~ёшься, ~у́тся;pretзабра́лся, забрала́сь, забрало́сьogзабра́лось, забра́лисьpf(ipfзабира́ться)1.во{на,под}что-л.(влезть) krúpaслнey-u-oinn ío-t, komaслнo-o-osær inn ío-t(внутрь); klívaслнei-i-iupp áo-t, klívaслнei-i-i(inn) ío-t, klívaслнei-i-iundiro-t; klatraaðiupp áo-t, klatraaðiupp ío-t; trokaaðiseg inn ío-t, kroystair(t)seg inn ío-t(протиснуться) (um regn o.tíl.) ; забра́ться на де́рево klíva upp í eitt træ; забра́ться под одея́ло krúpaслнey-u-oniður undir teppið2.(тайком пробраться) sníkjair(t)seg (тайком); goymair(d)seg (спрятаться); забра́ться в чужо́й дом sníkja seg inn í eitt fremmant hús3.fl.(уйти, уехать) faraслнó-ó-alangt burtur; он забра́лся на са́мый се́вер hann fór heilt norður ígjøgnum [-Ꞌtʃœknʊn]
забре́...	забре́юo.s.fr. fut avзабри́ть
забред...	забреду́o.s.fr. fut avзабрести́
забреда́ть	ipf síзабрести́
забре́зжить	забре́зжитpf óp: забре́зжил рассве́т tað fór at lýsa fyri degi; вдали́ забре́зжил свет langt burturi skein eitt ljós
забрести́	забред|у́, ~ёшь, ~у́т;pretзабрёл, забрела́, забрело́, забрели́pf(ipfзабреда́ть)tlm.1.(бредя,уйти далеко) reikaaði, strúkaслнey-u-o(langt burtur)2.(зайти мимоходом) støkkaслнø{a}-u-oinn (á gólvið); villair(t)[-tla] seg burtur, villair(t)[-tla] seg inn ío-t, villair(t)[-tla] seg burtur inn áo-t(попасть)
забрива́ть	ipf síзабри́ть
забри́ть	забре́|ю, ~ешь, ~ютpf(ipfзабрива́ть): забри́тького-л.(в солда́ты)gml.kalla [-tla]aðio-ninn í herin; забри́тькому-л.лобgml.kalla [-tla]aðio-ninn í herin
заброди́ть	забро́д/ит, ~ятpf bert 3. persónur brúktur(о вине и т.п.) faraслнó-ó-a{begynna [-Ꞌtʃɪ-]ннкir(t), byrjaaði} at gera (um vín o.tíl.); faraслнó-ó-a{begynna [-Ꞌtʃɪ-]ннкir(t), byrjaaði}at ræstna [rasna] (о рыбе,мясе)
заброни́ровать	заброни́ру|ю, ~ешь, ~ютpf síброни́ровать
забронирова́ть	заброниру́|ю, ~ешь, ~ютpf síбронирова́ть
забро́с	m: в забро́сеtlm.í órøkt, í vanrøkt
заброса́ть	pf(ipfзабра́сывать)что-л. чем-л.1.(бросая,заполнить) fylla [-tla]ir(t)aftur [aʰtː-] í (aftur [aʰtː-])o-t, leggjaнепрaftur [-tː-] í (aftur [aʰtː-]o-t(hol); заброса́ть я́му землёй fylla mold (í aftur) eitt hol; заброса́тьчто-л.гря́зью oysair(t)o-tundir í runu2.кого-л. чем-л.: заброса́тького-л.вопро́сами lataслнæ-ó-aspurningarnar regna niður yviro-n; заброса́тького-л.пода́рками oysair(t)o-nundir í gávum, díkjair(t)o-nundir í gávum =>грязь@
забро́сить	забро́шу, забро́с|ишь, ~ятpf(ipfзабра́сывать)Acc1.(кинуть) kastaaðiВин, tveitair(t)Вин; забро́сить мяч на кры́шу kasta ein bólt upp á takið, tveita ein bólt upp á takið, blakaaðiein bólt upp á takið2.(о судьбе и т.п.) førair(d)Вин; судьба́ забро́сила его́ далеко́ от до́ма lagnan førdi hann langt burtur heimanífrá [haimanɪ-]3.(положить не на место) ikki leggjaнепрo-tupp á pláss4.síзаки́нуть25.(оставить без внимания) forsøma [-Ꞌsøː-]ir(d)Вин; vanrøkjair(t)Вин, misrøkjair(t)Вин(оставить без ухода); забро́сить уче́ние forsøma lesturin; забро́сить дете́й vanrøkja børnini6.tlm.(доставить) sendair(d), førair(d); забро́сить чемода́н в гости́ницу blakaaðikuffertið inn á hotellið (á vegnum); забро́сь меня́ в центр koyr meg inn til miðbýin =>не́вод,сеть1
