о.	Iо́бластьIIо́стров
обдри́щиваться	ipf síобдриста́ться
обдува́ть	ipf síобду́ть
обду́манно	advvið vilja, av beráddum [-Ꞌrɔ-]ннкhuga
обду́манность	f tað at vera væl umhugsaður; обду́манность э́того прое́кта ≈ tannn vandaliga planleggingin [pʰlaːn-]ннкпроф.av hesi verkætlanini
обду́манный	stfобду́ман, ~на, ~но, ~ныadjvæl umhugsaðurглaður(хорошо продуманный); tilætlaðurглaður, sum er við vilja (намеренный)
обду́мать	pf(ipfобду́мывать)что-л.umhugsaaðio-t, hugsaaði(væl) umo-t; мне на́до обду́мать э́тотжeg má umráða meg
обду́мывать	ipf síобду́мать
обдури́ть	обдур|ю́, ~и́шь, ~я́тpf(ipfобдуря́ть)Accóvkm.lumpaaðiВин, snýtair(t)Вин
обдуря́ть	ipf síобдури́ть
обду́ть1	Iобду́|ю, ~ешь, ~ютpf(ipfобдува́ть)Acc1.(очистить,дуя) blásaur(t){æ/á}Винav; обду́ть пы́льс чего-л.blása støviðav o-m2.(сдувая,удалить) blásaur(t){æ/á}Винburtur3.: ве́тром обдува́ет ему́ лицо́ vindurin blæsur um andlitið [anl-] á honum; лицо́ обду́ло ве́тромópvindurin blásti um andlitið [anl-]
обду́ть2	IIобду́|ю, ~ешь, ~ютpf(ipfобдува́ть)Accóvkm.(обмануть) lumpaaðiВин, snýtair(t)Вин
о́бе	f síо́ба
обе́гать	pf(ipfобега́ть)Acctlm.rennaслнa-u-urunt (vera nógvastaðni); обе́гать весь го́род renna runt um allan [atl-] býin; обе́гать всех друзе́й støkkaслнa-u-oinn á gólvið hjá øllum [œtl-] vinfólkinum
обега́ть1	Iipf síобе́гать
обега́ть2	IIipf síобежа́ть
обе́д	m1.(приём пищи) døgurði [tøːvɹɪ]мгл-i(máltíð mitt á degi); что сего́дня бу́дет на обе́д? hvat skulu vit hava til døgurða í dag?2.(еда) døgurði [tøːvɹɪ]мгл-i(matur)3.tlm.(время) døgurði [tøːvɹɪ]мгл-i, middagurмсогл-ar{+}(tíð); døgurðatíð [tøːvɹa-]ж0-ir; в обе́д á døgurða, á middegi; он прие́хал в са́мый обе́д hann kom beint um døgurðatíð4.tlm. (перерыв) døgurðasteðgur [tøːvɹastεkː-]мсогл-s,-ir, døgurðapausa [tøːvɹapʰausa]ннкжгл-a
обе́дать	ipf(pfпообе́дать)1.(есть обед) etaслнá-ó-edøgurða [tøːvɹa], fáaслнe-i-især døgurða [tøːvɹa]2.bert ifptlm.(уходить во время обеденного перерыва) faraслнó-ó-atil døgurða [tøːvɹa] =>дать5
обе́денный	døgurða- [tøːvɹa-]; обе́денный стол spísiborð; обе́денный переры́в døgurðasteðgur [-stεkː-], døgurðapausa [-pʰausa]ннк
обедне́вший	Ipartic avобедне́тьIIadjútarmaðurглaður, vorðin blóðfátækurсогл
обедне́лый	обедне́л, ~а, ~о, ~ыadjtlm.útarmaðurглaður, vorðin blóðfátækurсогл
обедне́ние	nútarmingж0-ar, tað at verða fátækur
обедне́ть	pf síбедне́ть
обедни́ть	обедн|ю́, ~и́шь, ~я́тpf(ipfобедня́ть)AccgeraнепрВинfátækan, armaaðiВинút; vatnaaðio-tút, geraнепрo-tveikari (um stíl o.a.) (о стиле и др.)
обе́дня	plurобе́д|ни, ~ен, ~ямfmorgunmessaжгл-a@всю обе́дню испо́ртитькому-л.tlm.spilla [-tla]ir(t)alt spæliðfyri o-n
обедня́ть	ipf síобедни́ть
обежа́ть	обегу́, обежи́шь, обегу́т;pretобеги́, обеги́теpf(ipfобега́ть)Acc1.(вокруг) rennaслнa-u-uruntum Вин2.(побывать в многих местах,у многих) rennaслнa-u-urunt (vera nógvastaðni); обежа́ть магази́ны renna runt í øllum [œtl-] handlum [hanl-]; обежа́ть всех друзе́й renna runt til øll [œtl] vinfólkini@обежа́ть глаза́ми {взля́дом}кого-л.lataслнæ-ó-aeyguni faraum o-n
обез...	sagnorðaforskеyti, ið merkir, at1.grundliðið tekur okkurt frá ávirkinum ella fríger tað fyri onkrumобезбо́лить2.okkurt verður tikið frá grundliðnum ella tað tað verður frígørt fyri onkrumобезу́меть
обезбо́ливание	nbedøvilsi [-Ꞌtøː-]ннкпроф.сгл-i, doyvingнпж0-ar; ме́стное обезбо́ливание lokalbedøvilsi [-Ꞌkʰaːl-]ннкпроф., staðdoyvingлп
обезбо́ливать	ipf síобезбо́лить
обезбо́ливающий	Ipartic avобезбо́ливатьIIadj(анестетический) bedøvandi [-Ꞌtøː-]ннкглandi, bedøvilsis- [-Ꞌtøː-]ннк, doyvandiнп, doyvingar-нп; linnandiглandi, pínudoyvandiглandi(сделавший безболезненным); обезбо́ливающие сре́дства bedøvilsismiddil [-Ꞌtøː-]ннк, doyvingarevnirнп; pínulinnandi evnir
обезбо́лить	обезбо́л|ю, ~ишь, ~ятpf(ipfобезбо́ливать)Accbedøva [-Ꞌtøː-]ннкaðiпроф.Вин, doyvaнпir(d)Вин; geraнепрo-tpínuleyst (сделать безболезненным)
обезво́деть	pftorna [-tna]aðiupp (tí at vatn hvørvur;um jørð o tíl.)
обезво́дить	обезво́жу, обезво́д|ишь, ~ятpf(ipfобезво́живать)что-л.turkaaðio-t(upp) (við at taka vatn burtur), takaслнó-ó-ivatnúr o-m; dehydrera [-hyꞋtɹeː-]aðio-tспец.(об органах,частях тела и т.п.)
обезво́живание	nturkingж0-ar(við at taka vatn úr tí); fjerningннкж0-arav vatni, burturtøkaжгл-aav vatni; dehydrering [-hyꞋtɹeː-]ж0-ar(об органах,частях тела и т.п.)
обезво́живать	ipf síобезво́дить
обезвре́дить	обезвре́жу, обезвре́д|ишь, ~ятpf(ipfобезвре́живать)AccgeraнепрВинóskaðiligan [-Ꞌskεa-]; обезвре́дить бо́мбу avfjúsaaðibumbu
обезвре́живание	ntað at gera óskaðiligan [-Ꞌskεa-]; burturbeiningж0-ar(удаление взрывчатых веществ и т.п.)
обезвре́живать	ipf síобезвре́дить
обезгла́вить	обезгла́влю, обезгла́в|ишь, ~ятpf(ipfобезгла́вливать)1.кого-л.(как наказание и др.) hálshøggaur(d)o-n, høggaur(d)høvdið [hœtːɪ]av o-m2.кого-л.(о рыбе и т.п.) avhøvda [-hœtːa]aðio-n, heysaaðio-nмор.2.что-л.fl.bókl.(лишить руководства) beinair(d)leiðsluna burtur (í felagsskapi o.ø.)
обезгла́вленный	stfобезгла́влен, ~на, ~но, ~ныadjavhøvdaður [-hœtː-]глaður, heysaðurглaðurмор.(о рыбе и др.)
обезгла́вливание	navhøvding [-hœtː-]ж0-ar, heysingж0-arмор.(о рыбе и др.)
обезгла́вливать	ipf síобезгла́вить
обезде́нежеть	pf tlm.verða sørurсосл(fyri pengar), оngar pengar eigaнепр
обездо́ленный	adjsum líður neyð, sum er í trongd, neyðstaddurсогл{a/ø}; niðurundirkomin [-ˈʊ-]соглосн
обездо́ливать	ipf síобездо́лить
обездо́лить	обездо́л|ю, ~ишь, ~ятpf(ipfобездо́ливать)AccgeraнепрВинblóðfátækan, armaaðiВинút (сделать обеднелым); setaur(t);ir(t)Винí eina trongstøðu, komaслнo-o-oДатí neyð (поставить в тяжёлое положение); takaслнó-ó-ilívsgrundarlagiðundan Дат(лишить средств к существованию)
обезжи́ренный	adjavfeittaðurглaður(лишённый жира); skúmaðurглaður(молочные продукты); обезжи́ренное молоко́ skúmað mjólk
обезжи́ривание	navfeittingж0-ar; skúmingж0-ar(молочных продуктов)
обезжи́ривать	ipf síобезжи́рить
обезжи́рить	обезжи́р|ю, ~ишь, ~ятpf(ipfобезжи́ривать)что-л.avfeittair(t)o-t; skúmaaðio-t(молочные продукты)
обеззара́живание	ndesinfektión [-Ꞌʃ́ɔun]ж0-ir, desinficering {desinfisering}[-Ꞌseː-]ж0-ar, sóttreinsanнпж0-ir, sóttreinsingнпж0-ar
обеззара́живать	ipf síобеззарази́ть
обеззара́зить	обеззара́жу, обеззара́з|ишь, ~ятpf(ipfобеззара́живать)что-л.desinficera {desinfisera} [-Ꞌseː-]aðio-t, sóttreinsaнпaðio-t
обезземе́ление	ntøkaжгл-aav jørð
обезземе́ливать	ipf síобезземе́лить
обезземе́лить	обезземе́л|ю, ~ишь, ~ятpf(ipfобезземе́ливать)Acctakaслнó-ó-ijørðfrá Дат
обезле́сение	navskógingж0-ar, skógoyðingж0-ar
обезле́сеть	1. pers ikki brúktur pfverða avskógaðurглaður
обезле́сивать	ipf síобезле́сить
обезле́сить	обезле́с|ишь, ~ятpf(ipfобезле́сивать)что-л.avskógaaðio-t, oyðair(d)skógina (á onkrum stað o.a.)
обезли́чение	n1.(лишение оличительных черт) tað at gera ópersónligt2.(снятие ответственности) frátøkaжгл-aav ábyrgd [-pɪɹt]
обезли́чивание	n síобезли́чение
обезли́чивать	ipf síобезли́чить
обезли́чить	обезли́ч|у, ~ишь, ~атpf(ipfобезли́чивать)1.Acc(лишить отличительных черт) geraнепрВинópersónligan2.что-л.(снять ответственность) takaслнó-ó-i(persónliga [-Ꞌsɔu-]) ábyrgd [-pɪɹt] burturfyri o-t
обезли́читься	обезли́ч|усь, ~ишься, ~атсяpf(ipfобезли́чиваться)1.(лишиться отличительных черт) verða ópersónligurглigur2.(оказаться в условиях,при которых никто не несёт личной ответственности) lataслнæ-ó-a(persónliga [-Ꞌsɔu-]) ábyrgd [-pɪɹt]fyri o-tverða tikna burtur; рабо́та обезли́чилась, ка́чество её заме́тно уху́дшилось eingin hevði [hεijɪ] ábyrgd fyri arbeiðnum, og tað sást skilliga, at góðskan versnaði [vεsna-]
обезли́чка	ftvørrandi (persónlig [-Ꞌsɔu-]) ábyrgd [-pɪɹt]ж0-ir
обезлю́деть	bert 3. pers brúktur pfavfólkastaði, verða avfólkaðurглaður
обезлю́дить	обезлю́д|ит, ~ятpf что-л.avfólkaaðio-t
обезно́жеть	pf tlm.1.(лишиться ноги, лишиться ног) missair(t)beinið {beinini} (við amputatión)2.(лишиться возможности ходить) verða illa [ɪtla] gongdurсогл, verða illgongdurсогл
обезно́живать	pf síобезно́жить
обезно́жить	обезно́ж|у, ~ишь, ~атpf(ipfобезно́живать)Acc tlm.1.(лишить ноги, лишить ног) takaслнó-ó-ibeinið {beinini}hjá Дат(amputera)2.(лишить возможности ходить) geraнепрВинilla [ɪtla] gongdan, geraнепрВинillgongdan
обезобра́живать	ipf síобезобра́зить
обезобра́зить	обезобра́жу, обезобра́з|ишь, ~ятpf(ipfобезобра́живать)AccgeraнепрljótanВин, vanskeplaaðiВин, lýtair(t)Вин; avskeplaaðio-t, bronglaaðio-t(текст и др.)
обезопа́сить	обезопа́шу, обезопа́с|ишь, ~ятpf AcctryggjaaðiВин, sikkraннкaðiВин; gardera [-Ꞌteː-]ннкaðiВин(защитить,предохранить)
обезопа́ситься	обезопа́шусь, обезопа́с|ишься, ~ятсяpftryggjaaðiseg(móti o-m), sikkraннкaðiseg(móti o-m); gardera [-Ꞌteː-]ннкaðiseg(móti o-m) (защититься,предохраниться)
обезору́живать	ipf síобезору́жить
обезору́жить	обезору́ж|у, ~ишь, ~атpf(ipfобезору́живать)Acc1.(отнять оружие) avvápnaaðiВин2.fl.(лишить возможности возражать и т.п.) avvápnaннкaðiВин(forða fyri mótmælum o.ø. við ávísum atburði); обезору́живающая улы́бка eitt avvápnandi smíl
обезу́меть	pfverða svakurсогл{a/ø}пренебр., verða ørurсоглпренебр., verða óðurглí høvdinum [hœtːɪ-]пренебр.
обезья́на	f1.(животное) apaжгл-a; apukatturмсогл-ar2.fl.tlm.,atf.(тот,кто подражает другим и т.п.) hermariмгл-ari, eftirapari [εʰtː-]мгл-ari=>о́спа1
обезья́ний	adjapu- =>о́спа1
