п.1	I паде́ж
па́лтус	m: (атланти́ческий) па́лтус (Hippoglossus hippoglossus) kalviмгл-i; hvítkalvi [kʰvʊi̯ʰt-]мгл-iторг.,мор.; (kalva)spraggaжгл-a, sprøkaжгл-a(маленький); чёрный {синеко́рый, гренла́ндский} па́лтус (Reinhardtius hippoglossoides) svartkalviмгл-i[svaɹ̥kʰ-]
па́лтусовый	adjkalva-
па́луба	fdekkс0о(á skipi,flogfari o.ø.); на па́лубе á dekkinum; под па́лубой undir dekkinum; па́луба ба́ка bakkadekk; автомоби́льная па́луба bildekk; ве́рхняя па́луба ovara dekk; навесна́я па́луба shelterdekk [ʃε-]мор.; ни́жняя па́луба niðara dekk; откры́тая {ве́рхняя} па́луба veðurdekk; произво́дственная па́луба fabriksdekk [-Ꞌpɹɪ-]; промысло́вая па́луба troldekk (на траулере); сетна́я па́луба troldekk
па́лубный	adjdeks-; па́лубный груз dekslast; па́лубная на́дстройка yvirbygningur (á skipi); па́лубное су́дно deksbátur (малое), deksfartoy [-tʰœi]ннкпроф., deksfarнп=>матро́с
па́лый	adj1.(павший,дохлый) deyðurгл(um neyt)2.(упавший на землю) niðurdottinсоглосн(um bløð,frukt)
пальба́	ftlm.skjótingж0-ar; salvaннкжгл-a, skotríðнпж0-ir(залп)
па́льма	f(сем. Palmae) pálmiмгл-i@па́льма пе́рвенстваsigurspálmi =>коко́совый,фи́никовый
Пальми́ра	fsøg.Palmyra [-Ꞌmyː-]м нескл.ист.; Се́верная Пальми́раsøg., skald.myndligt um Sankta Pætursborg
па́льмовый	adjpálma-
пальпа́ция	fpalpering [-Ꞌpʰeː-]ж0-arред.,спец., мед.
пальпи́ровать	пальпи́ру|ю, ~ешь, ~ютipf/pf Acc fpalpera [-Ꞌpʰeː-]aðiВинред.,спец., мед.
пальто́	n indeclfrakkiмгл-i=>демисезо́нный
пальто́вый	adjfrakka-
пальто́-пухови́к	Genпальто́-пуховик|а́;plur~и́, ~о́в, ~а́мn-mdýnufrakkiмгл-i
пальцево́й	adjfingra-; пальцево́й суста́в fingraliður
па́льцевый	adjtapp-, tappa-
па́льчатый	adjfingruturсогл, fingraðurглaður
па́льчик	m dim, kel. tllпа́лец =>ма́льчик@,облиза́ть@
паля́щий	Ipartic avпали́тьIIadjbrennandiглandi, steikjandiглandi(um hita o.tíl.)
Пами́р	m(на Prp-í Дат) Pamir [-Ꞌmiːɹ]с0{дат.0}
па́мпа	f síпампа́сы
пампа́сы	m plurpampaжгл-a(;0-ir)(grasfløta í Suðuramerika)
па́мперсный	adjblæubuksu- [plεavʊ-]
па́мперсы	m plurblæubuksur[plεavʊ-]жгл-aмн
пампу́шка	plurпампу́ш|ки, ~ек, ~камf1.matg. (булочка)slag av bolla út gerdeiggi2. tlm. (о пухлом ребёхке и др.) bolliмгл-i(um bollut barn o.o.)
памфле́т	mflogblaðс0о{a/ø}{0<>i}(oftast av speirekandi politiskum o.tíl innihaldi)
памфлети́ст	m o-r,ið skrivar flogrit,síпамфле́т
па́мятка	plurпа́мят|ки, ~ок, ~камf1.(перечень дел) minnislistiмгл-i2.(свод правил и т.п.) reglurжгл-aмн, reglugerðж0-ir3.tlm.(предмет,служащий напоминанием о ком-л., чём-л.) áminningж0-ar, minniсгл-i; вот тебе́ в пода́рок па́мятка о Москве́ hetta er ein gáva til tín til minnis um Moskva, hetta er ein gáva til tín til áminningar um Moskva
па́мятливый	stfпа́мятлив, ~а, ~о, ~ыadjtlm.sum hevur gott minni, sum minnist væl, minnisgóðurгл{+}кн
па́мятник	m1.(архитектурное,скульптурное сооружение) (Dat) minnisvarðiмгл-i(fyri Вин), minnismerkiсгл-i(fyri Вин); ста́вить па́мятниккому-л.seta ein minnisvarðayvir o-n2.(на могиле) gravsteinurмсогл-ar3.(предмет древней культуры) bókmentaverkс0оfrá eldri tíð (литературный); fornminni [-tn-], [fɔnm-], [fɔm-]сгл-i(старины); tjóðminniсгл-i(народной культуры); па́мятники пи́сьменности fornrrit [-tn-], [fɔnr-]; па́мятники старины́ fornminnir; па́мятник культу́ры mentanarminnismerki; па́мятник наро́дного тво́рчества fókaskaldskapur [-skals-]мсогл-ir=>истори́ческий2
па́мятный	stfпа́мят|ен, ~на, ~но, ~ныadj1.(сохраняющийся в памяти) minniligurглigur, minnisverdurсогл; ógloymandi [-Ꞌklɔi-]глandi(незабываемый)2.bert lf(служащий для напоминания) minnis- (til at minnast); па́мятная кни́жка lummabók (at skriva upp í); па́мятный листо́к minnislisti3.bert lf(в память чего-л.) minnis-, áminningar-, (sum) er til minnis; па́мятная доска́ minnistalva@па́мятная запи́скаmemorandum [-Ꞌra-]с0о({0<>i})офиц.
па́мятовать	па́мяту|ю, ~ешь, ~юто Prpella+ hjásetning(oftast í gerundium) minnastir(t)Вин
па́мять	f1.(способность запоминать) minniсгл-i(evni at minnast); по па́мяти eftir [εʰtː-] minninum; на па́мять uttanat; чита́тьчто-л.по па́мяти lesao-t(upp) eftir [εʰtː-] minninum; име́ть хоро́шую па́мять hava gott minni, minnast væl; у него́ хоро́шая па́мять на имена́ hann minnist væl til nøvn; е́сли мне не изменя́ет па́мять minnist meg rætt; воскреси́тьчто-л.в па́мяти minnair(t)seg aftur [aʰtː-]á o-t, hugaaðio-t2.(воспоминание) minniсгл-i(afturminning); в па́мятьGen{оPrp} til minnisum Вин,Датtil áminningar; пода́рок на па́мять minnisgáva; подари́тьчто-л.на па́мять gevao-ttil minnis; стихотворе́ние на па́мятьо ком-л.minnisyrkingum o-n, yrking til minnisum o-n; Ива́ну на па́мять о прия́тных днях в Москве́ Ivan til áminningar um góðar dagar í Moskva; "па́мяти О.П. Ла́рина" O.P. Larin [laː-] til áminningar (реже,выс.по-латыниO.P. Larin in memoriam [-Ꞌmoː-])3.(сознание) vitс0о(tað at vita til sín); без па́мяти í óviti4.teld.(компьютера) minniсгл-i, memory [mεmːori]с0гл(num)проф.@бытьбез па́мятиот Genvera púra býtturсоглav o-m,sbr.3;прийти́кому-л.на па́мятьrennaслнa-u-uframfyri o-n; у неёкоро́ткая па́мятьhon hevur ringt minni, hon minnist illa [ɪtla];на мое́й па́мятиalt tað eg kann minnast;све́тлой па́мяти ≈sáli; све́тлой па́мяти Па́вел Алекса́ндрович Pavel [pʰaː-] Aleksandrovitj [-Ꞌsa-], sáli;ве́чная ему́ па́мять!livi minni hansara!;дай Бог па́мятиtlm.hevði [hεijɪ] eg bara kunnað komið á tað;недо́брой па́мятикто-л.≈o-rfær ringt eftirmæli [εʰtː-];по ста́рой па́мяти≈ fyri gamlan kennskap; av gomlum vana (по привычке) =>блаже́нный@,вон@,вре́заться3,вы́пасть@,вы́черкнуть@,дыря́вый@,запечатле́ть2,запечатле́ться2,здра́вый2,зри́тельный1,изгла́дить1,отшиби́ть@,поте́ря,све́жий3,@,сохрани́ть1,челове́ческий1
пан...	í samans.pan... [pʰanː-], al- [alː-], панамерика́нский panamerikanskur [Ꞌpʰanːameːɹiˌkʰaː-]
Пан1	Immyt.Pan [pʰaːn]м0{дат.0}
пан2	IIm1.søg.(помещик) góðseigari [kœsː-]мгл-ari; aðalsmaðurмнепр(дворянин) (í Polen,Litauen,Ukraine og Hvítarusslandi)2.(обращениe в Польше и др.) harra (framman fyri navni,í tiltalu í Polen o.a.)@(и́ли) пан или пропа́л {ли́бо пан, ли́бо пропа́л}tlm.nú má røkka ella [εtla] støkkaпог.; nú stendur á gomlum nøglumпог.
Пана́ма1	If1.(государство) Panama [pʰaːnama]с нескл.(land)2.(город) Panama [pʰaːnama]м нескл.(býur)
пана́ма2	IIж(шляпа) panamahattur [pʰaː-]мсогл-ar
пана́ма3	IIIжbókl.(крупное мошенничество) svindilgølaжгл-aнеформ., неодобр.
пана́мец	Gen, Accпана́мц|а; plur~ы, ~ев, ~амmpanamabúgvi [pʰaː-]мгл-iофиц.,o-rúr Panama [pʰaː-]
пана́мка	plurпана́м|ки, ~ок, ~камmpanamabúgvi [pʰaː-]мгл-iофиц.,o-rúr Panama [pʰaː-] (konufólk)
пана́мский	adjpanamanskur [pʰaːnaꞋmaː-]соглnsk, panamaskur [pʰaː-]соглskофиц., Panama- [pʰaː-]
Пана́мский кана́л	Panamakanalin [pʰaːnamakʰanaː-]ннкж0-irопр.проф., Panamaveitin [pʰaː-]нпж0-irопр.
панаце́я	fbókl.,spott.universalmiddil [-Ꞌsaːl-]ннкс0осн, patentloysn [-Ꞌtʰε-]ж0-irнеформ.; панаце́я от всех alra meina bótж0-ur{ó/ø}кн.
панба́рхат	Genпанба́рхатogtlm.панба́рхатуmsilkifloyal [flœijal] (реже[flɔijal])с0о({0<>i})
па́нда	fpandaжгл-a(;0-ir)
пандеми́я	[-дэ-]fpandemi [-Ꞌmiː]ж0-irпроф., (al)heimsfarsóttнпж0-ir
па́ндус	minnkoyringж0-ar(í skapi sum rampa)
панеги́рик	m1.gml., søg.(ораторская речь) lovtalaжгл-a, panegyrikkur [-kyꞋrɪʰkː-]мсогл-arспец.2.bókl.(похвала) lovorðс0омн, rósorðс0омн
панегири́ст	m1.gml., søg.(сочинитель панегириков) panegyrikari [-Ꞌkyː-]мгл-ariспец.2.bókl.(тот,кто восторженно отзывается)o-r, ið ber fram lovorð
панегиристи́ческий	m1.gml.,søg.(кпанеги́рик 1) panegyriskur [-Ꞌkyːɹ-]соглskспец.2.bókl.(кпанеги́рик 2) hálovandiглandi
пане́ль1	I [-нэ́-]f1.(тротуар) fortov [-tʰɔu]ннкс0о, gongubreytнпж0-ir2.(обшивка стен) panel [-Ꞌneːl]с0о(á veggi o.tíl.)3.bygg.(плита,в строительстве) element [-Ꞌmε-]с0о(pláta)4.(щит управления и т.п.) talvaжгл-a, panel [-Ꞌneːl]с0о(til stýring av instrumentum o.a.)5.: сенсо́рная пане́льsíсе́нсорный6.fisk.(трала) panel [-Ꞌneːl]с0омор.(á troli)@идти́ на пане́льgerastнепрskøkja
пане́ль2	II [-нэ́-]f(группа людей) panel [-Ꞌneːl]с0о(úrvald fólk í sosiologiskum o.ø. kanningum)
пане́лька	[-нэ́-]plurпане́льки,пане́лек, пане́лькамf1.tlm.dim tilпане́ль2.tlm.(здание) elementhús [-ˈmε-]с0о
пане́льный	[-нэ́-]adjelement- [-Ꞌmε-]; пане́льный дом elementhús [-Ꞌmε-]; пане́льное строи́тельство elementbyggjarí [-Ꞌmε-]
панибра́тский	adjtlm.familierur [-ʎꞋjeː-]ннксогл; ov [ɔ] framligurглigur(бесцеремонный)
панибра́тство	ftlm.familiaritetur [-ʎjaːɹiꞋtʰeː-]ннкмсогл-ar, framligheitж0-ir(бесцеремонность)
па́ника	fpanikkur [-Ꞌnɪʰkː-]интмсогл-ar; быть в па́нике vera panikksligin [-Ꞌnɪʰkː-]ннксоглоснg; впасть в па́нику verða panikksligin [-Ꞌnɪʰkː-]ннксоглоснg; подда́ться па́нике verða panikksligin [-Ꞌnɪʰkː-]ннксоглоснg; наводи́ть па́никуна кого-л.loypair(t)ræðsluá o-n; без па́ники!tlm.róliga!
паникади́ло	n stór ljósakrúna, ið hungur undir kuplinum í russ. ortodoksum kirkjum
паникёр	m(легко поддающийся панике)o-r, ið (lættliga) verður panikksligin [-Ꞌnɪʰk-]ннк;o-r, ið loypir ræðslu á onnur (распространяющий панику)
паникёрский	adjpanikk- [-Ꞌnɪʰkː-]ннк, panikkendur [-Ꞌnɪʰkː-]ннксогл
паникёрство	npanikkur [-Ꞌnɪʰkː-]ннкмсогл-ar, panikkstemningur [-Ꞌnɪʰkː-]ннкмсогл-ar
паникёрствовать	паникёрству|ю, ~ешь, ~ютipftlm.vera ræðslusliginсоглоснg, vera panikksligin [-Ꞌnɪʰk-]нкксоглоснg
паникёрша	f(легко поддающаяся панике)o-r, ið (lættliga) verður panikksligin [-Ꞌnɪʰk-]ннк(konufólk);o-r, ið loypir ræðslu á onnur (распространяющий панику) (konufólk)
паникова́ть	панику́|ю, ~ешь, ~ютipftlm.síпаникёрствовать
панирова́ть	паниру́|ю, ~ешь, ~ютipf/pf Accpanera [-Ꞌneː-]aðiВин; raspaaðiВин(б.ч. о рыбе на рыбзаводах и т.п.)
паниро́вка	plurпаниро́в|ки, ~ок, ~камf1.bert sing(действие) panering [-Ꞌneː-]ж0-ar; raspingж0-ar(б.ч. о рыбе на рыбзаводах и т.п.)2.(сухари и др.) panering [-Ꞌneː-]ж0-ar(evni,sum panerað verður við)
паниро́вочный	adj: паниро́вочные сухари́ raspс0о(av breyði)
панихи́да	fsálarmessaжгл-a(в католической,православной церквях); rekviemс0о{0<>i}(в католической церкви)@гражда́нская панихи́даminningarhaldс0о(um deyðan)
пани́ческий	adj1.(вызванный паникой) paniskur [pʰaː-]ннк; пани́ческий страх paniskннкræðsla2.tlm.(легко поддающийся панике) sum lætt verður uppskakaður
панк	mogm indecl1.indecl(течение культуры) punk [pʰɔŋ̊k]с0о2.(представитель течения) punkari [pʰʊŋ̊k-]мгл-ari3.indecl(музыка) punkmusikkur [pʰɔŋ̊k-]
панк-...	í samans.punk- [pʰɔŋ̊k-],t.d.панк-гру́ппа punkbólkur, панк-му́зыка punkmusikkur
панк-гру́ппа	fpunkbólkur [pʰɔn̊k-]мсогл-ar
панкова́ть	панку́|ю, ~ешь, ~ютipfjarg.vera punkari
па́нковский	adjpunk- [pʰɔŋ̊k-], punkara- [pʰʊŋ̊k-],см.панк
