ш.	síшоссе́
ште́псель	[штэ́-]plurштепсел|я́, ~е́й, ~я́мogште́псел|и, ~ей, ~ямm1.el.(вилка) stikkс0о, stikkproppurмсогл-ar2.tlm., el.(розетка) stikkkontaktж0-ir
ште́псельный	adj: ште́псельная коро́бка stikkdósж0-ir, stungudósлпж0-ir
штибле́ты	штибле́т, ~амf1.gml.(полуботинки) hálvstivlar [hɔls-]мгл-iмн(upp um øklar)2.skemt.(ботинки) skógvarмсогл-ar{+}мн
шти́вка	fstúvingж0-ar(av farmi o.ø.)
штилево́й	adj: штилева́я пого́да stilli [-tlɪ]; штилева́я полоса́ {зо́на} kalmabeltiмор., lognarbeltiлпгеогр.
штиль	mlognж0-ir(тжмет0 баллов;0,0-0,2 м/сек); stilli [-tlɪ]сгл-i; kyrraжгл-a(о состоянии моря); мёртвый штиль blikalogn, deyðastilli [-tlɪ]; silvitniсгл-i; dýrdarkyrra, deyðakyrra (о состоянии моря)
штифт	Genштифта́,Prpо штифте́, на штифту́;plurштифт|ы́, ~о́в, ~а́мmtekn.stiftж0-ir, pinnurмсогл-ar
штифтово́й	adj: stift-; штифтово́й зуб stifttonn
шти́хель	mgravernál [-Ꞌveː-]ж0-ir, radernál [-Ꞌteː-]ж0-ir
шток	m1.tekn.(деталть поршневой машины и др.) stongж0-ur{o/e}; шток по́ршня stempulstong2.(якоря) akkersstokkurмсогл-ar
што́льня	fminugongdннкж0-ir(vatnrøtt), námsgongdнпж0-ir(vatnrøtt)
што́пальный	adjstoppi-; што́пальная игла́ stoppinál
што́паный	adjstoppaðurглaður
што́пать	ipf(pfзашто́пать)1.что-л.(заделывать дырку) stoppaaðio-t(bøta hol)2.кого-л.tlm.(зашивать раны и т.п. - о хирурге) seymaaðio-nsaman (um skurðlækna o.tíl.)
што́пка	plurшто́п|ки, ~ок, ~камf1.(действие) stoppingж0-ar2.(нитки) stoppigarn [-tn]с0о3.(заштопанное место) stoppс0о(stoppað stað á plaggi)
што́пор	m1.(пробочник) propptrekkjariмгл-ari2.flog.(о самолёте и др.) spinnс0оав.; войти́ в што́пор koma í spinnав.
што́порить	што́пор|ю, ~ишь, ~ятipfflog.spinnaслнa-u-uав.
што́пором	advflog.: идти́ што́пором komaслнo-o-oí spinnав.
што́ра	fgardina [-Ꞌtiː-]жгл-a; rullugardina [-tl-]жгл-a(поднимающаяся); stores [stoːɹɪs]ж нескл. мн(прозрачная раздвижная)
шторм	plurшто́рмы, ~ов, ~амogшторм|а́, ~о́в, ~а́мmstormurмсогл-ar(тжмет9 баллов; 20,8-24,4 м/с); жесто́кий шторм kolandi stormur (тжмет11 баллов; 28,5-32,6 м/с); си́льный шторм hvassur stormur (тжмет10 баллов; 24,5-28,4 м/с)
штормова́ть	шторму́|ю, ~ешь, ~етipfskip.ríðaслнei-i-istormin av
штормо́вка	plurштормо́в|ки, ~ок, ~камfvindjakki [vɪnj-]мгл-i
штормово́й	adjstorm-; штормова́я пого́да harðveður [haɹveːv-], stormveður [-veːv-]; штормово́е мо́ре ódnж0-irí sjónum, sjóvarilskaжгл-a; штормова́я ку́рткаsíштормо́вка=>пла́нка1,предупрежде́ние1
штормтра́п	m(skips)leytariмгл-ari(ið hongur eftir síðuni á skipi)
штоф1	Im søg.1.(мера)gml. russ. mát = 1/10 avведро́ (sí)2.(сосуд)ílat (fløska p.a), ið tekur 1 штоф
штоф2	IIm (ткань) svert klæði úr ull ella silki
штраф	mbótж0-ur{ó/ø}(sekt), sektж0-ir; заплати́ть ты́сячу рубле́й штра́фа {заплати́ть штраф (в) ты́сячу рубле́й}за что-л.gjalda túsund [tʰʉusɪn] rublar í bót, gjalda eina bót upp á túsund [tʰʉusɪn] rublar =>наложи́тьB,присуди́ть1,угро́за2
штрафна́я	adj stórt glas av víni, sum tann má drekka, ið kemur ov seint fyri at "fáa hini aftur"
штрафно́й	adj1.(кштраф) sektar-, bótar-2.:ítr.штрафно́й уда́р straffiннксгл-i, brotsspark (в футболе и т.п.); straffikast, brotskast (бросок); штрафна́я площа́дка brotsteigur; штрафна́я скамья́ (в хоккее) útvísingarbonkur (í íshockey); штрафно́й круг brotsumfarс0о{a/ø}3. :herm.штрафно́й батальо́н straffibatаljón =>назна́чить2
штрафова́ть	штрафу́|ю, ~ешь, ~ютipf(pfоштрафова́тьоштрафу́|ю, ~ешь, ~ют)кого-л.(на что-л. - við o-m) gevaслнa-ó-io-mbót, leggjaнепрbótá o-n, sektaaðio-n
штрейкбре́хер	mstreikubrótari [stɹεi-], [stɹai-]ннкмгл-ari, verkfalsbrótariнпмгл-ari
штрейкбре́херство	nstreikubrot [stɹεi-], [stɹai-]ннкс0о, verkfalsbrotнпс0о
штрек	mminugongdннкж0-ir(vatnrøtt), námsgongdнпж0-ir(vatnrøtt)
штри́пка	plurштри́п|ки, ~ок, ~камfstroppurмсогл-ar(á gamasjum o.ø. undir ilina)
штрих	Genштрих|а́;plur~и́, ~о́в, ~а́мm1.(линия) strikaжгл-a, linjaжгл-a(strika)2.(отдельная подробность) dragс0о{a/ø} (eyðkenni)
штри́хкод	mstrikukota {strikukoda}жгл-a, grindilлпм0осн
штрих-ко́д	m síштрихко́д
штрихова́ть	штриху́|ю, ~ешь, ~ютipf(pfзаштрихова́тьзаштриху́|ю, ~ешь, ~ют)что-л.strikaaðio-t, skravera [-Ꞌveː-]ннкaðiпроф.o-t, leggjaнепрskugga áo-t
штрихо́вка	plurштрихо́в|ки, ~ок, ~камf1.(действие) strikingж0-ar, skravering [-Ꞌveː-]ннкж0-ar, tað at leggja skugga á (síштрихова́ть)2.(штрихи) strikingж0-ar, skravering [-Ꞌveː-]ннкж0-ar, skuggiмгл-i(síштрихова́ть)
штрихово́й	adjstriku-; штрихово́й кодsíштри́хкод
штуди́ровать	штуди́ру|ю, ~ешь, ~ютipf(pfпроштуди́роватьпроштуди́ру|ю, ~ешь, ~ют)Accbókl.kannaaðiВин(gjølla [-tla]), studera [-Ꞌteː-]ннкaðiВин(gjølla [-tla])
шту́ка	f1.(отдельный предмет - часто не переводится;skal ofta ikki umsetast) stykkiсгл-i(часто сокращаетсяstk.торг.), по ты́сяче шту́ка túsund (rublar) stykkið; 5 штук яи́ц 5 egg; 5 stk. eggторг.2.tlm.(нечто) okkurt; málс0о; søgaжгл-a(mál); что э́то за шту́ка? hvat er hetta fyri nakað?; така́я автомаши́на - дорога́я шту́ка ein sovorðin bilur er eitt dýrt fornoyilsi [-Ꞌnœi-]ннк; зима́ - серьёзная шту́ка veturin er ikki at spæla við; така́я ру́чка - отли́чная шту́ка ein sovorðin pennur er eitt fínt ting at hava; неприя́тная шту́ка ein keðilig søga; э́то не (хи́трая) шту́ка hetta er einki fyri; кни́ги, газе́ты и вся́кая така́я шту́ка bøkur, bløð og alt (møguligt) sovorðið3.tlm.(проделка) pussс0о, skálkabragdс0о{а/ю}; сыгра́тьс кем-л.шту́ку spælao-meitt puss; э́то его́ обы́чные шту́ки hetta eru tey vanligu knepiniннкhjá honum4.(целый рулон) rull [-tl]с0о5.slang(тысяча рублей) túsund rublarмсоглосн-s,-arмн@вот так шту́ка!tað er vorðið sum skil!;в том-то и шту́каtað er nettupp tað;вся шту́ка в том, что́бы...tað er nettupp har, hundurin er grivinпог.,неформ.,шутл.
штукату́р	mstukkatørur [-Ꞌtʰøː-]мсогл-ar, stukkarbeiðariмгл-ari
штукату́рить	штукату́р|ю, ~ишь, ~ятipf(pfоштукату́ритьоштукату́р|ю, ~ишь, ~ят)что-л.pussaaðio-t(vegg o.tíl. við pussi); spekkaaðio-t(заполнить дырки, щели и т.п.)
штукату́рка	f1.(действие) pussingж0-ar; spekkingж0-ar(наполнение дырок,щелей и т.п.)2.(раствор) pussс0о, stukkс0о(тж о лепке)
штукату́рный	adjstukk-, pussi-
штуке́нция	fskemt.síшту́ка2
штуко́вина	fóvkm.síшту́ка2
штурва́л	mstýriсгл-i, róðurс0осн
штурва́льный	Iadjstýris-, róður-; штурва́льное колесо́ róðurс0осн, rattс0омор.IIm(рулевой) róðursmaðurмнепр
штурм	m(stór)álopс0о, stormurмсогл-ar(álop); взятьчто-л.шту́рмом takao-tí stórálopi, takao-tvið stormi; идти́ на штурмчего-л.stormaaðio-t; мозгово́й штурм brainstormur [pɹεin-]неформ.
шту́рман	plurшту́рман|ы, ~ов, ~амogtlm.штурман|а́, ~о́в, ~а́мmstýrimaðurмнепр, bestimaðurмнепруст. (б.ч. на рыболовном судне); navigatiónsoffiserur [naːvikaꞋʃɔun-]мсогл-ar(в военном флоте); stýrimaðurмнепр, navigatørurмсогл-ar(в авиации); kortlesariмгл-ari(на ралли и т.п.)
шту́рманский	adjstýrimans-; navigatións- [naːvikaꞋʃɔuns-]; шту́рманская ру́бка kortrúm; шту́рманский столsíпрокла́дочныйстол =>распи́ска2
штурмова́ть	штuрму́|ю, ~ешь, ~етipf AccstormaaðiВин, leypaслнey-u-oáВин, herjaaðiáВин
штурмови́к	Genштурмовик|а́;plur~и́, ~о́в, ~а́мm1.(военный самолёт) álopsflogfarнпс0о{a/ø}2.(в гитлеровской Германии) SA-maður [εsːꞋaː-]мнепр(í Hitlertýsklandi)
штурмово́й	adjálops-, storm-; штурмова́я авиа́ция lágtflúgvandi álopsfogførнп
штурмовщи́на	fatf.ruspс0о, arbeiðiсгл-ií herðindum; рабо́тать без штурмовщи́ны arbeiða javnt [jan̊t], [-jam̊t]
шту́цер	plurштуцер|а́, ~о́в, ~а́мmstussurмсогл-ar
шту́чка	plurшту́ч|ки, ~ек, ~камf1.dim avшту́ка 1-32.(о человеке) revurмсогл-ar(lúrið fólk), besnissað [-Ꞌsnɪ-] fólkс0онеформ.
шту́чно	adv síпошту́чно
шту́чный	adj1.(изготовленный индивидуально) sergjørdurсогл; шту́чная ме́бель sergjørdir møplar2.(представлющий собой отдельную вещь) stykkja-; шту́чная цена́ stykkjaprísur; шту́чная прода́жа leysasøla; шту́чная опла́та gjald pr. stk. [pʰεɹꞋstʏʰkː], gjald fyri stykkið3.fakm.,gml.(сборный) til at seta saman, sum kann setast saman =>замора́живание1
штык1	IGenштык|а́;plur~и́, ~о́в, ~а́мm1.(оружие) bajonett [paijoꞋnεʰtː]ж0-ir; примкну́ть штык seta bajonettina á; отомкну́ть штык taka bajonettina av; примкну́ть штыки́! (команда) bajonettirnar á! (kommando); отомкну́ть штыки́! (команда) bajonettirnar av! (kommando); идти́ в штыки́ leypaслнey-u-oá við bajonettum; отря́д в ты́сячу штыко́в eitt herlið upp á 1000 mans (gonguherlið)2.skip.(узел) stikkс0о(knútur)мор.@встре́тить {приня́ть}кого-л.в штыки́taka ímóti [-Ꞌmɔu-]o-mvið illvild;как штыкtlm.púra vist, heilt sikkurtннк; akkurát [-Ꞌrɔat] til tíðina (точно вовремя)
штык2	IIGenштык|а́;plur~и́, ~о́в, ~а́мm(слой земли) spakadýpiсгл-i
штыково́й	adj1.(кштык I 1) bajonett- [paijoꞋnεʰt-]; штыкова́я ата́ка bajonettálop [paijoꞋnεʰt-]; штыково́й бой bajonettbardagi [paijoꞋnεʰt-]2.: штыково́й затво́р bajonettlás [paijoꞋnεʰt-]; штыково́е соедине́ние bajonettfatningur [paijoꞋnεʰt-]
штырь	Genштыр|я́;plur~и́, ~е́й, ~я́мmtekn.tappurмсогл-ar, pinnurмсогл-ar; stelling [-tl-]ж0-ar(дверная)
шу́ба	f1.(меховая) pelsurмсогл-ar; skinnfrakkiмгл-i(кожаное,меховое пальто)2.tlm.(зимнее пальто) vetrarfrakkiмгл-i3.(покров шерсти) (tøtt) ulling [ʊtl-]ж0-ar4.(покров льда и т.п.) skónж0-irav ísi (í køliskápi o.tíl.)
шубе́йка	plurшубе́йки, шубе́ек, шубе́йкамf tlm.stuttur, slitin pelsjаkkiмгл-i
шуга́	fkrapiмгл-i(á áum og vøtnum)
шугану́ть	moment síшуга́ть
шуга́ть	ipf(momentшугану́тьшуган|у́, ~ёшь, ~у́т, шугну́тьшугн|у́, ~ёшь, ~у́т)Accóvkm.styggjair(d)Винburtur
шугну́ть	moment síшуга́ть
шу́лер	plurшулер|а́, ~о́в, ~а́мm(в карточной игре) falskspælariмгл-ari, svikariмгл-ari(í kortum); svindlari [svɪnl-]энкмгл-ariнеодобр.
шу́лерство	nfalskspælс0о{æ/ø}, svikс0о(í kortum); svindilм0осннеодобр.
шум	Genшу́ма, шу́муm1.(громкие звуки) gangurмсогл-s,-ir, larmurмсогл-ar; óljóðс0о{0<>i}(тж помехи); а́дский шум helvitisбран.gangur, ræðuligur gangur, fanansбран.gangur; без шу́ма ljódliga; шум в за́ле málаgeip í salinum; шум ли́стьев suðið av bløðum; шум водопа́да fossadunс0о; шум засто́лья veitslurómur [vai̯sl-]мсогл-ar; шум бо́я dunс0оav bardaga; шум ве́тра suðið av vindi; шум машин buldurс0оснav bilum, skrambulс0оснav bilum2.(толки) rokс0о, upplopс0о, háviмгл-i, uppstandilsi [-Ꞌsta-]сгл-i; uppstigс0о{0<>i}; ófriðurмсогл-ir{0<>i}, rumbulс0осн; вы́звать шум {наде́лать шу́му} gera háva; подня́ть шум (из-за/около/вокруг чего-л.) gera háva (av o-m); газе́ты по́дняли (из-за э́того) шум bløðini gjørdu nógv burtur úr hesum, bløðini gjørdu nógv hóvasták burtur úr hesum; без шу́ма {шу́му} uttan nakað hóvasták3.: шум в уша́х sjóðanж0-airfyri oyrunum; шу́мы в се́рдце hjartaóljóð [j-]с0о{0<>i}@мно́го шу́му из ничего́stórt rok av ongum;шу́му мно́го, а то́лку ма́лоroykur og eingin grindпог.;что за шум, а дра́ки нет?orðt., skemt.hvat er á vási? =>информацио́нный2
шуме́рский	adjsøg.sumeriskur [-Ꞌmeː-]согл
шуме́ры	шуме́р|ов, ~амm plursøg.sumerar [-Ꞌmeː-]мгл-iмн
шуме́ть	шум|лю́, ~и́шь, ~я́тipf1.(издавать шум) haldaслнe-i-igang, larmaaði; vasaaði(б.ч. о шумном человеке); suðaaði(о ветре,листве,реке и.др.); brúsaaði(о волнах); dunaaði(о водопаде); самова́р шуми́т tað bullar [-tl-]aðií samovarinum [saːmoꞋvaː-]2.(о чём-л.) (скандалить) geraнепрrok, geraнепрrumbul, geraнепрnógv burtur Ꞌ úro-m, haldaслнe-i-imiklan háva (av o-m); шуме́ть из-за пустяко́в gera stóran háva av lítlum verkiпог.3.(привлекать внимание) vekjaur(t){e/a};ir(t){e/a}ans; шуми́т но́вый фильм nógv hóvasták stendst stεn̊st] av tí nýggja filminum, tann nýggi filmurin er á øllum [œtl-] varrum4.: у меня́ шуми́т в уша́х tað sjóðar fyri oyrunum á mær
шуми́ха	ftlm., atf.rokс0о, háviмгл-i; подня́ть шуми́ху (вокру́гчего-л.) blásaur(t){á/æ}o-tupp, geraнепрháva avo-m; газе́тная шуми́ха blaðrumbul
шумли́вый	stfшумли́в, ~а, ~о, ~ыadjlarmandiглandi, sum heldur gang
шу́мно	Iadv tilшу́мныйIIpred: здесь шу́мно her er (nógvur) gangur; как шу́мно! her er eitt øgiligt spetakkul [-Ꞌtʰa-]энк!
шу́мный	stfшу́мен, шумна́, шу́мно, шумны́ogшу́мныadj1.(производящий шум(в зн.1)) larmandiглandi, sum heldur gang2.(производящий шум(в зн.2)) sum nógv rok stendst [stεn̊st] av; шу́мный успе́х ein dundrandi succes [sʏʰkꞋseː]ннк
шумови́к	Gen, Accшумовика́; plurшумовик|и́, ~о́в, ~а́мm tlm.skapariмгл-ariav ljóðeffktum )í sjónleiki o.ø.)
шумо́вка	plurшумо́в|ки, ~ок, ~камfsoðspónur [sɔs-]мсогл-ar;согл-ir{ó/ø}{+}
шумово́й	adj: шумовы́е эффе́кты ljóðeffektirж0-irмнспец.; шумовы́е поме́хи óljóðс0о{0<>i}(í móttakara)
шумо́к	Genшумка́;plur~и́, ~о́в, ~а́мmsuðс0о{0<>i}, suðanж0-ir; шумо́к в за́ле ein suðan í salinum@под шумо́кóansaðurглaður, í duldum; ljódliga
шунт	mshuntur {sjuntur} [ʃʊ-]мсогл-ar
шунти́рование	n: шунти́рование се́рдца bypassoperatión [paipʰasːoːpɪraʃɔun]ж0-ir, bypassskurðviðgerð [paipʰasskuːɹvɪtʃ-]нпж0-ir
шунти́ровать	шунти́ру|ю, ~ешь, ~ютipf/pf: шунти́ровать се́рдце geraнепрeina bypassoperatión [paipʰasːoːpɪraʃɔun], geraнепрein bypassskurð [paipʰas-]нп
шу́рин	plurшу́рин|ы, ~ов, ~амmsvágurм0осн{+};согл-ir(beiggi konuna)
шурова́ть	шуру́|ю, ~ешь, ~ютipf1.что-л.(в топке) rakaaðií o-m, skaraaðií o-m(í eldinum o.a.)2.óvkm.(действовать энергично) drívaслнei-i-iá, liggjaслнá-ó-iá takinumидиом.
шуру́п	mskrúvaжгл-a(nagli við skrúvugangi)
шурф	Genшу́рфа;plurшу́рф|ы, ~ов, ~амogGenшурф|а́;plur~ы́, ~о́в, ~а́мmroyndarbrunnurмсогл-ar
шурша́ние	nskróvс0о
шурша́ть	шурш|у́, ~и́шь, ~а́тipfskróvaaði
шу́ры-му́ры	einki Gen, Datшу́рам-му́рамplurtlm.fríggj с0о{0<>i}, fjas с0о, kærleiksævintýrннкс0о; завести́ шу́ры-му́рыс кем-л.faraслнó-ó-aat fjasastvið o-n(fríggja)
шу́стрый	stfшустёрogшустр, шустра́, шу́стро, шу́стрыogшустры́adjkvikurсогл, skjóturсогл(быстрый); raskurсогл{a/ø}(проворный); gløggurсогл, skjóttonkturсогл(сообразительный); шу́стрый парни́шка ein raskur drongur
шут	Gen, Accшут|а́;plur~ы́, ~о́в, ~а́мm1.søg.(лицо при дворце и т.п.) gekkurмсогл-ar, íspegilм0осн-s,-arист., fívilм0осн-s,-arист.; придво́рный шут hovgekkurист.2.(балаганщик) klovnurмсогл-ar, bajassur [-Ꞌja-]мсогл-arред., íspegilм0осн-s,-ar, fívilм0осн-s,-arкн.3.tlm., atf.(тот,кто балагурит,кривляется) íspegilм0осн-s,-ar, narrс0о, spottс0о; разы́грывать {стро́ить} (из себя́) шута́ spæla býtt; де́лать шута́ изкого-л.haldaслнe-i-io-nfyri gjøldur, havaнепрo-ntil rukku@шут с ним!óvkm.skít í hann!вульг.;на кой шут?óvkm.hvat fanin?бран.,hví fanin?бран;како́го шута́?óvkm.hvat fanin?бран., hví fanin?бран.;ни шута́ нетóvkm.ikki ein (helvitis) lortвульг.;шут его́ зна́етfanin vitiбран.=>горо́ховый@
шу́тер	[-тэр]mteld.skjótispælс0о{æ/ø}
шути́ть	шучу́, шу́т|ишь, ~ятipf1.pfпошути́тьпошучу́, шу́т|ишь, ~ят(весело говорить) skemtaaði; я не шучу́ eg meini tað í álvara; ты шу́тишь! tað er ikki sannheitннк!; nei, nú lýgur tú!; nei, álvara!2.над кем-л.(смеяться над кем-л.) havaнепрo-nfyri gjøldur3.(с)чем-л.(относиться несерьёзно) skemtaaðivið o-m; с ним не шути́! hann er ikki at spæla við!; hann er ikki at skemta við!; нельзя́ шути́ть свои́м здоро́вьем heilsan er ikki at spæla við@шути́ть с огнёмfl.spælair(d)við eldinперен.;чем чёрт не шу́титhvør veit; hví ikki;шу́тки шути́ть со мно́ю взду́малgert tú grin við mær?; heldur tú meg fyri gjøldur?
шути́ха	f1. (шут) íspegilм0осн-s,-ar(konufólk)2.gml.(ракета) rakett [-ˈkʰεʰtː]ж0-ir(fýrverkarí)
шу́тка	plurшу́т|ки, ~ок, ~камf1.(то,что говорится не всерьёз и т.п.) skemtс0о, joke [tʃɔuk]м нескл., сленг; vittigheitннкж0-ir(анекдот); неви́нная шу́тка óskyldigt [-Ꞌʃɪ-] skemt; обрати́ть {преврати́ть}что-л.в шу́тку sláaслнó-ó-io-tupp í glens; свести́что-л.в шу́тку sláaслнó-ó-io-tupp í glens; он не понима́ет шу́ток hann forstendur [-Ꞌstε]ннкikki skemt; приня́тьчто-л.за шу́тку takao-tsum skemt; э́то не шу́тка hetta er ikki gamansleikur, hetta er ikki at skemta við2.(проделки): сыгра́ть {поде́лать}с кем-л.шу́тку spælao-meitt puss3.(юмореска) skemtileikurмсогл-s,-ir@в шу́ткуtil stuttleikarннк, til stuttleikaнп;шу́тки ра́диtil stuttleikarннк, til stuttleikaнп, í spølni;с ним шу́тки пло́хиhann er ikki at spæla við;не на шу́ткуí álvara, virkuligaннк; не на шу́тку испуга́лся hann bleiv ordiligaннкbangin ;шу́тки в сто́рону!skemt til síðis!; álvaratos;кро́ме шу́токa) (говоря всерьёз) álvaratos; b) (серьёзно?) tað sigur tú ikki?;шу́тка (ли)сказа́ть, два миллио́на tvær milliónir [mɪʎꞋjɔun-], tað er ikki smápengar; э́то не шу́тка {шу́тка ли} сде́лать это tað er eingin stuttleiki at gera hetta; э́то не шу́тка {шу́тка ли} потра́тить сто́лько вре́мени tað er ikki stuttligt at hava spilt so nógva tíð burtur =>шути́ть@
шутли́вость	fskemtingarsemiсгл-i
шутли́вый	stfшутли́в, ~а, ~о, ~ыadj1.(склонный к шуткам) skemtingarsamurсогл{a/o}, skemtiligurглigur2.(шуточный) skemtandiглandi
шутни́к	Gen, Accшутник|а́;plur~и́, ~о́в, ~а́мmskemtariмгл-ari
шутовско́й	adjgekka-, íspegils-; шутовско́й колпа́к gekkahúgva; шутовско́е поведе́ние fjákuturсоглatburður [apː-]
шутовство́	nfjantс0о, fjákalótirж0-irмн
шу́точный	stfшу́точ|ен, ~на, ~но, ~ныadj1.(являющийся шуткой) skemti-; шу́точное стихотворе́ние skemtiyrking2.(лёгкий) lætturсогл{æ/ø}, smáurгл(oftast við neg); де́ньги не шу́точные ikki smávegis pengar; э́то не шу́точное де́ло tað er ikki bara sum at siga tað; шу́точное (ли) де́лоsíшу́тка(ли) сказа́ть, шу́тка
шутя́	adv1.(в шутку) til stuttleikarннк, til stuttleikaнп, í spølni2.(без усилий) so spælandi, leikandi lætt, sum ein royk@не шутя́av álvara
шу́хер	m1.(шумиха)óvkm.rokс0о, háviмгл-i2.:шу́хер!skúlaargotvarskó [-Ꞌskɔu]!; ansa eftir [εʰtː-]!3.: стоя́ть на шу́хереargothalda vakt, halda útkikk [-kʰɪʰkː]ннк(meðan brotið verður inn o.a.)
Шу́шенское	nSjusjenskoje [ʃʊʃːεnskɔijε]ж нескл.
шу́шера	f koll,óvkm., vanv.pakkс0о; ónytturжгл-aмн, nullс0омн
шушу́канье	ntlm.tutlс0о, teskс0о
шушу́каться	ipftlm.lýðastir(d), tutlaaði, teskaaði
шхе́ры	шхер, ~амf plurskergarðurмсогл-ar, skerс0о{+}мн
шху́на	fskonnartж0-ir(парусное судно с двумя и более мачтами и косыми парусами); sluppж0-ir(парусное судно с двумя мачтами и косыми парусами;ос. о типе судов великобританского происхождения,купленных фарерцами с конца XIX в.); skútaжгл-a(небольшое судно вообще)
шш	interhússj
шь...	шьюo.s.fr. pres avшить
Шэнья́н	m(fyrrМукде́н (sí)) Shenyang [ʃεnꞋjaŋk]м0{дат.0}(раньшеMukden [mʊʰktεn]м0{дат.0})
