Н	нью́тонmnewton [ɲjʉutʰɔn]ж0-ir
навали́ть	навалю́, нава́л|ишь, ~ятpf(ipfнава́ливать)1.Gen, что-л. на Acc(наложить поверх,сверху) leggjaнепрo-tomaná Вин, kastaaðio-tomaná Вин; rúgvaaðio-tupp, kastaaðio-tí rúgvu (в кучу); све́рху навали́ли тяжёлый ка́мень ovast varð ein tungur steinur lagdur; на стол навали́ли ку́чу книг ein rúgva av bókum varð rúgvað upp á borðinum2.что-л. на кого-л.fl., tlm.(возложить) leggjaнепрo-t á o-nперен.; навали́тьна кого-л.мно́го рабо́ты leggjaнепрnógv arbeiðiá o-n; díkjair(t)o-nundir í arbeiði, ovbyrja [ɔp-]aðio-nvið arbeiði3.на что-л.skip.(о судне;касаться) takaслнó-ó-ií o-t, beraслнa-ó-ovið o-t; rennair(d)á o-t(um skip) (натолкнуться)4.Gen, что-л. óptlm.: навали́ло сне́гу nógvur kavi er lagstur niður; hann hevur beykað kavan niður; сне́гу навали́ло до са́мых о́кон kavin liggur heilt upp undir vindeyguni [vɪntøːjɪnɪ]5.bert 3. pers brúktur Nom, Genóvkm.(собраться) samlastaði, komaслнo-o-oꞋ saman; наро́ду навали́лоópnógv fólk var samankomið; навали́ла толпа́ ein mannamúgva var komin saman, ein mannfjøld tyrptist [tʰɪɹ̥t-] saman
навали́ться	навалю́сь, нава́л|ишься, ~ятсяpf(ipfнава́ливаться)1.на Acc(налечь) leggjaнепрsegá Вин; lenaннкaðisegmóti Дат(прислониться); навали́ться на шкаф leggjast á skápið; навали́ться гру́дью на сто́л leggjast fram á borðið; навали́ться на вёсла setaur(t);ir(t)Ꞌ føtur í Ꞌ bekk, rógvaнепрav øllum [œtl-] alvi2.tlm.(лечь,обременив собой) vera undirdíkturсоглí o-m, vera ovbyrjaður [ɔp-]глaðurav o-m3.на Accóvkm.(напасть) leggjaнепрꞋá Вин(leypa á)4.bert 3. pers brúktur(упасть,нападать) dettaслнa-u-oꞋ niður; ryðjaur(d){y/u}{+}(о земле и др.)5.на Accóvkm.(наброситься) leggjastнепрá Вин6.bert 3. persfl.(тяжело налечь; о чувствах и т.п.) verða yvirtikinсоглоснav o-m(um kenslur o.a); тоска́ навали́лась на се́рдце hugurin var yvirtikin av langtan; навали́лись воспомина́ния minnini gingu á hann7.tlm., skip.(накрениться) hella [-tla]ir(t), leggjaнепрseg á Ꞌ liðina; су́дно навали́лось на ле́вый борт skipið legði [lεijɪ] seg á bakborð [pakp-]; skipið fekk bakborðs [pakp-] slagsíðu [slafs-], [slaus-]8.skip.на что-л.(натолкнуться) rennair(d)Ꞌá o-t, siglair(d)Ꞌá o-t; takaслнó-ó-iꞋí o-t(коснуться)
нава́лом	Iadv1.(без упаковки) í leysum, í leysari vekt; груз нава́ломskip.bulkс0омор., bulkfarmurмсогл-arмор.2.(беспорядочно,большой грудой) í einum hurlivasa, í einari rúgvuIIpredóvkm.fultav o-m; книг нава́лом fult av bókum, ein rúgva av bókum
навалоотбо́йщик	mkolahøggariмгл-ari-og skumpariмгл-ari(í kolaminu)
нава́лочный	adj: нава́лочный грузskip.bulkс0омор., bulkfarmurмсогл-arмор.
наваля́ть	pf(ipfнава́ливать)1.что-л., чего-л.(наготовить валянием) tøvair(d)o-t(б.ч. шерсть); filtaaðio-t(войлок)2.что-л.óvkm.(набросать) blakaaðio-t(um seg), kastaaðio-tí eina rúgvu3.что-л.óvkm.(написать) ríslaaðio-t(niður); fesjaaðio-tпренебр., fuskaэнкaðivið o-mпренебр., sjuskaэнкaðivið o-mпренебр.(сделать небрежно)
наваля́ться	pftlm.(liggjaслнá-ó-iog) sleingjastir(d)(alt tað,einum lystir), liggjaслнá-ó-iog rekastслнa-ó-i(alt tað,einum lystir)
нава́р	Genнава́р, нава́руm1.(жидкость) soðс0о{0<>i}, løgurмсогл-ir({ø/a})2.(жир) bráж0-ir(feitt oman á løgi)3.tlm.(выгода) vinningurмсогл-ar, ágóðiмгл-i; сде́лка принесла́ большо́й нава́р handilin gav stóran vinning
нава́ривать	ipf síнавари́ть
нава́ристый	stfнава́рист, ~а, ~о, ~ыadjtreysturсогл(um súpan o.tíl.)
навари́ть	наварю́, нава́р|ишь, ~ятpf(ipfнава́ривать)1.что-л., чего-л.(сварить) kókaaði(nógvav o-m); навари́ть су́пу на три дня gera suppu til tríggjar dagar2.что-л., чего-л.(изготовить плавлением) smeltaaðio-t(металл и т.п.); kókaaðio-t(клей и т.п.); навари́ть ста́ли smelta nakað av stáli; навари́ть ба́нку кле́я kóka eitt blikk av lími3.что-л.(приварить) sveisaaðiuppá[-Ꞌpʰɔa-]o-t4.что-л.tlm.(получить прибыль) fáaслнe-i-io-t ívinningi, vinnaслнa-u-uo-t; навари́л на э́той сде́лке миллио́н ≈ hann fekk eina millión [mɪʎꞋjɔun] burtur úr hesum handlinum [hanlɪ-]
нава́рка	fsveisingж0-aruppá [-Ꞌpʰɔa]
наварно́й	adjsveisaðurглaður(uppá [-Ꞌpʰɔa])
нава́рный	stfнава́р|ен, ~на, ~но, ~ныadjtlm.síнава́ристый
навева́ть	ipf síнаве́ять1, 2
навед...	наведу́o.s.fr. síнавести́
наве́дать	pf(ipfнаве́дывать)Accóvkm.vitjaaðiВин
наве́даться	pf(ipfнаве́дываться) (к кому-л., куда-л.)tlm.hyggjaur(d){y/u}inn (til Вин(с личными местоимениями Род, иначекн., уст.)), hyggjaur(d){y/u}inn á Ꞌ gólvið (hjá Дат), støkkaслнa-u-oꞋ inn (til Вин(с местоимениями Род, иначекн., уст.), hjá Дат), støkkaслнa-u-oinn á Ꞌ gólvið (til Вин(с личными местоимениями Род,иначекн., уст.), hjá Дат) (fyri at fregnast um o-t)
наведе́ние	n1.síнаво́дка2.(кнавести́ 2-5) beiningж0-ir,føringж0-ar, leiðingж0-ar; byggingж0-ar; pussingж0-ar, blankingж0-ar, poleringж0-ar3.: наведе́ние гля́нца polering [-Ꞌleː-]ж0-ar; наведе́ние ла́ка lakering [-Ꞌkʰeː-]ж0-ar4.: наведе́ние поря́дка tað at fáa skil á; наведе́ние чистоты́ reingerðж0-ir5.: наведе́ние спра́вок útveganж0-irav upplýsingum, tað at skaffa (sær) upplýsingar,sí eis.навести́(русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)
наве́дываться	ipf síнаве́даться
навезти́	навез|у́, ~ёшь, ~у́т;pretнавёз, навезл|а́, ~о́, ~и́pf(ipfнавози́тьнавожу́, наво́з|ишь, ~ят)1.Acc на что-л.(натолкнуть) rennair(d)Вин ímóti o-m, koyrair(d)Вин á o-t; siglair(d){+}Вин á o-t(на судне,лодке)2.Acc,чего-л.(привезти в каком-л. количестве) førair(d)Вин, førair(d)nógvav Дат, komaслнo-o-oviðДат, komaслнo-o-oviðnógvum av Дат; навезти́ това́ров koma við fult av varu
наве́ивать	ipf síнаве́ять3
наве́к	adv síнаве́ки
наве́ки	advhátíð.í allar [atl-] ævir (на века); med Ꞌ alla (навсегда)
навербова́ть	навербу́|ю, ~ешь, ~ютpf кого-л.biðjaслнa-ó-io-n; útvegaaðio-n, skaffaaðio-n(arbeiðsfólk o.a.)
наве́рно	Iadvfyri vist, við vissu, sikkurtннк, bestemt [-Ꞌstε-]ннк; я э́то зна́ю на́верно eg veit tað fyri vistIIparent(вероятно) helst, væntandi,или переводится сочетаниями с глаголомmunna; наве́рно, он сего́дня не придёт hann kemur helst ikki í dag; он, наве́рно, ско́ро придёт hann man fara at verða skjótur, hann man fara at koma skjótt
наве́рное	síнаве́рно
наверну́ть	наверн|у́, ~ёшь, ~у́тpf(ipfнавёртывать, навора́чивать)1.что-л.(навинтить) skrúvaaðio-t(á o-t)2.что-л.(намотать) vindaслнa-u-uupp á o-t, vindaслнa-u-uum o-t, rulla [-tla]aðiupp á o-t, vevjaur(d){e/a}{+}o-t um o-t, vikklaaðiupp á o-tпроф., техн.; наверну́ть во́лосы на бигуди́ rulla hárið upp á papilotturnar [pʰaːpɪꞋlɔ-]; наверну́ть кана́т на вал vinda togið upp á aksilin3.что-л., чего-л.tlm.(съесть) koyrair(d)o-tí seg (eta)
наверну́ться	наверн|у́сь, ~ёшься, ~у́тсяpf(ipfнавёртываться)1.bert 3. pers brúktur(намотаться) vindaслнa-u-useg (um o-t), vevjaur(d)~e/a}{+}seg (um o-t), vikklaaðiseg (um o-t)2.bert 3. pers brúktur(надеться) verða skrúvaðurглaðurá3.bert 3. pers brúktur(появиться,выступить;о слезах): у неё на глазах наверну́лись слёзы eyguni á henni fyltust við tárum4.óvkm.(подвернуться) vísair(t)seg, stingaслнa-u-useg upp
наверняка́	Iadvtlm.1.(несомненно,верно) fyri vist, við vissu, sikkurtннк, bestemt [-Ꞌstε-]ннк; знать наверняка́ vita fyri vist2.(с верным расчётом) де́йствовать наверняка́ handla [hanla]ннкvið vissu um gott úrslit; ≈ ikki taka nakrar kjansirIIparent(конечно,несомненно) sjálvandi, uttan iva; tað er so vituligt (разумеется)
наверста́ть	pf(ipfнавёрстывать)что-л.vinnaслнa-u-uo-tꞋ inn aftur [-aʰtː-]; наверста́ть упу́щенное vinna tað inn aftur, sum hevur ligið á láni
навёрстывать	ipf síнаверста́ть
наверте́ть	наверчу́, наве́рт|ишь, ~ятpf1.ipfнавёртыватьчто-л. на что-л.(намотать) vindaслнa-u-uo-t upp á o-t, rulla [-tla]aðio-t upp á o-t2.ipfнаве́рчиватьчто-л., чего-л.(пробуравить) boraaðio-t; rulla [-tla]aðio-t, balla [-tla]aðio-t(скрутить); наверте́ть отве́рстий bora nøkur hol; наверте́ть пято́к самокру́ток balla einar fimm sigarettir [siːkaꞋrε-] (ballaðar)
навёртывать	I, IIipf síнаверну́ть, наверте́ть 1
навёртываться	ipf síнаверну́ться
наве́рх	adv1.(на верхнюю часть чего-л.) upp; uppá [-Ꞌpʰɔa] (тж на верхний этаж); niðaneftir [-εʰtː-] (по дороге,по склону); вы́браться из я́мы наве́рх klúgva upp úr holinum; положи́ть чемода́н наве́рх leggja kuffertið uppá o-t; наве́рх по доро́ге niðan eftir [εʰtː-] vegnum [veːn-]; наве́рх по ле́стнице upp gjøgnum trappurnar; подня́ться наве́рх к сосе́дям fara uppá til nábúgvarnar2.tlm.(вверх,ввысь) uppeftir [-εʰtː-]3.tlm.(в вышестоящую организацию) uppeftir [-εʰtː-] (til fólk,stovnar,ið eru oman fyri ein)@все наве́рх!allir [atl-] menn upp á dekkið! =>свиста́ть@
наверху́	Iadv1.(в верхней части чего-л.) í erva, ovast uppi; uppi; uppiá [uʰpːɪꞋɔa] (тж на верхнем этаже); omaná [-Ꞌɔa] (на поверхности)2.tlm.(в руководящих кругах, у начальства) í erva (hjá leiðsluni o.tíl.)3.(в высоте,вверху) høgt uppi, ovast uppiIIprep + Gení ervaá Дат, ovast uppií Дат
наве́рчивать	ipf síнаверте́ть2
наве́с	m1.(кровля) hálvtak [hɔlt-]с0о{a/ø}; sólseglс0о(полотняный или из др. материала)2.(выступающая,нависающая часть) úthangс0о; наве́с скалы́ loftskútiмгл-i, loftskørrж0-ar{ø/a}
