к1	I коньtalvriddari
казначе́йство	nstatskassi [staː-]мгл-i, ríkiskassiмгл-i; rentukamarс0o{a/ø}{+}ист.
казни́ть	казн|ю́, ~и́шь, ~я́тAipf/pf кого-л.(подвергнуть смертной казни) avrættaaðio-nBipf кого-л. чем-л.bókl.(мучить) pínair(d)o-n við o-m, plága [pʰlɔava]aðio-n við o-m
казни́ться	казн|ю́сь, ~и́шься, ~я́тсяipftlm.angraaði, harmaaðiпер.(раскаиваться); pínair(d)seg sjálvan (мучить себя); ákærair(d)seg sjálvan (винить себя)
казнокра́д	mgml.o-r, ið stjelur frá tí almenna
казнокра́дство	ngml.stuldurм0осн-s,-arfrá tí almenna
казнь	f1.(лишение жизни) avrættingж0-ar; deyðarevsingж0-ar(смертный приговор); приговори́тького-л.к сме́ртной ка́зни dømao-ntil deyða2.fl.(мучение) pínslaжгл-a, pínaжгл-a=>еги́петский@,сме́ртный3
казуа́р	m(сем. Casuaridae) kasuarur [kʰaːsuꞋaː-]мсогл-ar
казуи́ст	mbókl.hárklúgvariмгл-ari;o-r, ið fæst við hártogan [-tʰuːwan]
казуи́стика	fbókl.1.(философский метод) kasuistikkur [kʰaːsuɪꞋstɪʰkː-]интмсогл-arспец.2.fl.,atf.(изворотливость) hárklúgvingж0-ar, hártogan [-tʰuːwan]ж0-ir
казуисти́ческий	adjbókl.1.(кказуи́стика 1) kasuistiskur [kʰaːsuꞋɪ-]интсоглskспец.2.fl.,atf.(кказуи́стика 2) sum fæst við hárklúgving, sum fæst við hártogan [-tʰuːwan]
ка́зус	m1.jur.(сложный случай) fløkt málс0о2.fl.(происшествие) hendingж0-ar, tilburðurмсогл-ir
ка́зусный	adj fløkturсогл, trupulсоглосн(трудный) (um rættarmál)
Ка́ин	mbíbl.Káin [kʰɔajɪn]м0{0<>i}
ка́инов	adj: ка́инова печа́ть {ка́иново клеймо́} káinsmerki [kʰɔajɪ-]сгл-i
Каи́р	mKairo [kʰaiɹo]м0{дат.0}
кайла́	plurка́йл|ы, ~, ~амf síкайло́
кайло́	plurка́йл|а, ~, ~амnhakkariмгл-ari, krákunevс0о{+}(eyrhøggari o.tíl.)
кайма́	plurкаймы́, каём, кайма́мfbordiмгл-i, kanturмсогл-ar; rondж0-ur{o/e}(ос. на носке,кофте и т.п.)
кайма́н	m(Caiman) kaiman [kʰaiꞋmanː]м0-ar
ка́йра	f(Uria): ка́йра длинноклю́вая (U. aalge) lomvigiмгл-i, lomvigaжгл-a; ка́йра короткоклю́вая (U. lomvia) íslandslomvigi [-lan̊s-]мгл-i,íslandslomviga [-lan̊s-]жгл-a
кайф	mtlm.,skemt.friðurмсогл-ar, hvíldж0-ir
кайфану́ть	pf síкайфова́ть
кайфова́ть	кайфу́|ю, ~ешь, ~ютipf(pfкайфану́ть кайфан|у́, ~ёшь, ~у́т)tlm.,skemt.dusaaðisær, hugna [huːna]aðisær
как	Iadv1.interroghvussu [kʰvʊsːʊ], [kʰʊsːʊ]; как э́то де́лается? hvussu skal hetta gerast?; как э́то на́до де́лать? hvussu skal hetta gerast?; как ты э́то де́лаешь? hvussu gert tú hetta?; я забы́л, как он вы́глядит eg havi gloymt, hvussu hann sær út; как э́то мо́жет быть? hvussu kann hetta bera til?; как (твои́) дела́? hvussu stendur til hjá [tʃʰ-] tær?; hvussu veit við hjá [tʃʰ-] tær?; как ты? hvussu hevur tú tað?; ну, как больно́й? nú, hvussu hevur tann sjúki tað?; как вы ду́маете? hvat halda tit?; как вы сказа́ли? hvat segði [sεijɪ] tú?; hvussu segði [sεijɪ] tú?2.(в какой степени) hvussu [kʰvʊsːʊ], [kʰʊsːʊ] (í hvønn mun); как ва́жно э́то? hvussu viktugtннкer hetta?; вы зна́ете, как э́то ва́жно? vita tit, hvussu viktugtннкhetta er?; ты не зна́ешь, как я уста́л! tú veitst [vai̯st] ikki, hvussu móður eg eri!; как давно́ э́то бы́ло? hvussu langt síðani er hetta?3.(в восклицаниях) sum; как жа́рко! sum tað er heitt!; о, как я рад! á, sum eg eri glaður!; как он вы́глядит! sum hann sær út!4.(в придаточных предложениях образа действия) sum, eins og; он пришёл, как (и) обеща́л hann kom, soleiðis sum hann [hεijɪ] lovað; как хо́чешь sum tú viltIIpart1.(вопросительно) ha [haː];как, ты опя́ть здесь? ha, ert tú aftur [aʰtː-] her?; как, вы не зна́ете об э́том? ha, veitst [vai̯st] tú einki um hetta?; hvat sigur tú, veitst [vai̯st] tú einki um hetta?2.tlm.(внезапное действие): он как закричи́т han skar í róp; она́ как засмеётся hon brast útúr [-Ꞌtʰʉuɹ] at grína, hon skar í skellilátur [-tl-]IIIconj1.compsum, eins og; как всегда́ sum vant; бе́лый как снег hvítur sum kavi, snjóhvítur; он говори́т по-ру́сски как ру́сский hann tosar russiskt sum ein russari; будь как до́ма føl teg sum heima; он нем как ры́батжtað letur ikki í honum; как и в про́шлом году́ eins og í fjør; тако́й же как пре́жде akkurát [aʰkɹat], [aʰkːʊꞋrɔat] sum fyrr; неде́ля как неде́ля ein vanlig vika2.conjunsum; как друг sum vinmaður; как доказа́тельство sum prógv; ... как ... sum so nógv, einki soleiðis, einki at reypa av; го́род как го́род býurin er einki soleiðis, býurin er sum so nógvir, býurin er einki at reypa av3.temp(когда) tá; вся́кий раз как ... hvørja ferð, (tá ið) ...; как уви́дишь его́ tá tú sært hann; как вспо́мнишь, стра́шно стано́вится tað er ræðuligt, tá tað kemur til hugs4.temp(с тех пор как) síðani; прошёл год (с тех пор), как мы ви́делись tað er eitt ár, síðani vit sóust; уже́ неде́ля тому, как ... tað er longu ein vika síðani ...; прошло́ два го́да, как я здесь живу́ eg havi longu búð her í tvey ár; ско́ро бу́дет ме́сяц, как ... skjótt verður ein mánaður [mɔanɪ] síðani ...5.temp(как только) so skjótt sum; приходи́, как смо́жешь kom so skjótt, tú kanst; как пойдёшь, зайди́ к ней far inn til hennara, beinanvegin tú fert6.(кроме) uttan, enn; кто как не он eingin annar enn hann, eingin annar uttan hann; не что ино́е как ... einki annað enn, einki uttan; э́то не́кому бо́льше сде́лать, как тебе́ eingin annar kann gera tað uttan tú7.conjunatили(ос. в сочетаниях со словамиsíggja, hoyraи т.п.)переводится существительным или местоимением в винительном падеже + инф.я не заме́тил, как ты пришёл eg legði [lεijɪ] ikki til merkis, at tú komst; я слы́шал , как ты пришёл eg hoyrdi teg koma; они́ слу́шали, как во́ет бу́ря tey hoyrdu stormin ýla; я никогда́ не слы́шал, как он поёт eg havi ongantíð hoyrt hann syngja8.tlm.+ comp превосх. +gjørligt; so +нар.sum møguligt; как побыстре́е skjótast gjørligt, so skjótt sum møguligt@как бу́дто {как бы}sum; a): он вёл себя́ так, как бу́дто сошёл с ума́ hann uppførdiннкseg, sum hann var blivin svakurпренебр.; как бы в шу́тку (akkurát [aʰkɹat], [aʰkːʊꞋrɔat]) sum til stuttleika, eins og til stuttleika; как бы в отве́т sum okkurt slag av svari; b) (кажется): он как бу́дто дово́лен tað sær út, sum hann er nøgdur; hann tykist vera nøgdur;как быть? hvat er til ráða at taka?; hvat skulu [skʊlːʊ] vit gera?;как бы то {там} ни́ былоhvussu [kʰvʊsː-], [kʰʊsː-] so var og ikki;как бы...! bara ... ikki ...; как бы он не опозда́л! {как бы ему́ не опозда́ть!} bara hann ikki verður for [fɔɹː]ннкseinur; ;как бы не так! jú, vist er tað tað!; я бою́сь,как бы непошёл дождь eg eri bangin fyri, at tað fer at regna; расскажи́,как и чтоfortel [-Ꞌtʰeːl]ннкnú, hvussu [kʰvʊsː-], [kʰʊsː-] alt var;как же!a) (конечно) sjálvandi; ты дово́льна? А как же! ert tú nøgd? Man tað ikki vera!; как же мне её не знать skuldi eg ikki kent hana; b)spott.hvør skal siga; ста́рый друг, как же! ein gamal vinmaður, ikki sannheit!; какмо́жнолу́чше so gott sum møguligt, best møguligt; как мо́жно скоре́е skjótast gjørligt, so skjótt sum møguligt;(и) ещё как! tað skal valdast!; он спра́вился, и ещё как!тжver ikki fyri, sum hann kláraði tað!; tað skal eg halda við, hann kláraði tað væl;как ниhvussu [kʰvʊsː-], [kʰʊsː-] ...; sama ...; как ни тру́дно hvussu ringt tað so er; sama hvussu ringt tað er; как э́то ни стра́нно, ... hvussu merkiligt tað so kann tykjast, (so) ...; как бы он ни́ был умён hvussu klókur hann so er; как ни стара́йся hvussu mann so roynir; как я ни стара́лся hvussu eg so royndi;как раз!a) (именно,точно) nettupp, júst, akkurát [aʰkːʊꞋrɔat]; как раз то, что мне ну́жно hetta er akkurát tað, eg havi brúk fyri; как раз наоборо́т beint tvørturímóti, akkurát umvent; b) (впору) sum passar; э́то мне как раз hetta passar mær akkurát; э́то пальто́ тебе́ как раз hesin frakkin passar tær akkurát;до того́, какinnan, áðrenn;по́сле того́, какaftan [aʰtː-] á;как...,так и... bæði ... og... ; как худо́жники, так и кри́тики bæði listamenn og kritikararинт=>вре́мя6,ещё@,звать3,ино́й,когда́@,мо́жно@,нельзя́@,то́лько@,успе́ть@
какаду́	m indecl(сем. Cacatuidae) kakadua [kʰaːkatuːwa]жгл-a
кака́о	n indecl.1.(Thebroma cacao) kakaotræ [kʰaꞋkʰaː-]с0о{æ/ø}2.(порошок;напиток) kakao [kʰaꞋkʰaː]с0гл{+}
кака́овый	adjkakao- [kʰaꞋkʰaː-]
ка́кать	ipf(pfпока́кать)barn.kukkaaðiдетск., эвф.
кака́шка	plurкака́ш|ки, ~ек, ~камfbarn.kukkurмсогл-arдетск., эвф.
ка́к-либо	adv síка́к-нибудь1
как-нибу́дь	adv síка́к-нибудь
ка́к-нибудь	adv1.(каким-л. образом) onkursvegna, upp á onkran máta, á onkran hátt2.tlm.(небрежно) óvandaliga [-Ꞌva-], ófantaliga [-Ꞌfa-]3.tlm.(в будущем) onkran dagin, onkuntíð (í framtíðini); ка́к-нибудь вечерко́м okkurt kvøldið (komandi); ка́к-нибудь в друго́й раз (onkuntíð) eina aðru ferð (í framtíðini) =>ина́чеI
как-ника́к	advtlm.hóast alt, tá samanum [-Ꞌʊmː] kemur, í hvussu er
како́в	каков|а́, ~о́, ~ы́pron1.interroghvussu [kʰvʊsːʊ], [kʰʊsːʊ]; како́в фильм? hvussu er filmurin?; како́в он собо́й? hvussu er hann?; како́в результа́т? hvat er úrslitið [ʏʂ-]?; hvussu er úrslitið [ʏʂ-]?; каковы́ бу́дут после́дствия? hvørjar fylgjur fær tað?2.(в восклицаниях): како́в негодя́й! á [ɔː], dett bartrog!; вот ты тако́в! soleiðis ert tú altso [al̥soː]!3.relatsum; пейза́ж, како́в он быва́ет на се́вере eitt landslag [lan̊s-], (soleiðis) sum tað plagar at vera norðanfyri; люби́ меня́ тако́й, какова́ я есть elska meg, (soleiðis) sum eg eri4.relathvussu [kʰvʊsːʊ], [kʰʊsːʊ];sbr. eis.како́й 1; скажи́ мне, како́в он sig mær, hvussu hann er; он спроси́л, како́в больно́й hann spurdi, hvussu tann sjúki hevði [hεijɪ] tað; я тебе́ расскажу́, каковы́ э́ти лю́ди eg skal fortelja [-Ꞌtʰε-]ннкtær, hvat hetta eru fyri fólk5.: како́в он собо́й? {како́в он из себя́?} hvussu sær hann út?@како́в ни на естьhvussu (hannи т.д.) so er ella [εtla] ikki =>поп@
каково́	Iadv1.interroghvussu [kʰvʊsːʊ], [kʰʊsːʊ]; каково́ им живётся? hvussu hava tey tað?2.relathvussu [kʰvʊsːʊ], [kʰʊsːʊ]; вы зна́ете ведь, каково́ им живётся tit vita jú, hvussu tey hava taðIIpart: каково́! hvat heldur tú!; nei, álvara!@каково́ мне э́то слы́шать!tað er nógv fyri hjá mær at hoyra!
каково́й	pron relat, interroggml.,alm.sum
како́е	: како́е (там)síкако́й@
како́й	1.interrog, relat(какого рода,вида,сорта) hvør, hvat slag; hvussu [hvusːʊ], [kʰʊsːʊ] (как); како́й э́то чай? hvat slag av te er hetta?; каки́е там доро́ги? hvussu eru vegirnir har?; в како́м году́? hvat ár?; он спроси́л, како́й сего́дня день hann spurdi, hvør dagur var í dag; ты зна́ешь, кака́я бу́дет за́втра пого́да? veitst [vai̯st] tú, hvussu veðrið [vεkɹɪ] verður í morgin?; како́й но́мер твоего́ телефо́на? hvat telefonnummar [-Ꞌfoː-] hevur tú?; кака́я у тебя́ температу́ра? hvussu nógvan fepur hevur tú?; каки́е у них возмо́жности? hvørjar møguleikar hava teir?2.interrog, relat(какой именно) hvør (av fleiri); hvør teirra (б.ч. из двух); каку́ю из э́тих книг вы берёте? hvørja av hesum bókum taka tygum?; кака́я ша́пка твоя́? hvørja húgvu eigur tú?; я не по́мню, кака́я ру́чка твоя́ eg minnist ikki, hvønn penn tú eigur; eg minnist ikki, hvør pennur er tín3.(выражает оценку) sumили переводится сочетаниями со словомsoи др.; како́й хо́лод! sum tað er kalt!; кака́я на́глость! (á [ɔː],) dennэнкfrekheit!; sum tað er frekt!; so frekt tað er!; кака́я хоро́шенькая де́вушка (á [ɔː],) dennэнкfitta genta; е́сли бы ты знал, кака́я там краси́вая река́ hevði tú vitað ta vøkru á, sum er har4.tlm.(какой-нибудь) onkur; хоть бы како́й ответ я получи́л! hevði eg bara fingið okkurt svar!; нет ли у вас каки́х замеча́ний? hava tit ongar viðmerkingar?5.relat: тако́й {тот}... како́й sovorðin; sum; э́то та кни́га, кака́я мне нужна́ hetta er tann bókin, eg havi brúk fyri; э́то не та по́мощь, кака́я ей нужна́ hetta er ikki tann hjálpin [j-], hon hevur brúk fyri; я по́мню её, како́й она была́ в тот ве́чер eg minnist hana, sum hon var tað kvøldið; чу́вство, како́го он никогда́ не испы́тывал ein kensla, sum hann ongantíð hevði [hεijɪ] upplivað fyrr; он был в ша́пке, каки́х уже́ давно́ не но́сят hann var í einari (sovorðnari) húgvu, sum eingin gongur í longur; был тот осо́бенный ве́чер, каки́е быва́ют {како́й быва́ет} то́лько в пусты́не hetta var eitt serstakt kvøld, sum bara berst á í oyðimørkini; на нём была́ шу́ба, каки́е но́сят на се́вере hann var í einum (sovorðnum) skinnfrakka, sum tey ganga í norðanfyri6.(в восклицаниях): како́й поэ́т! vorðið sum skald!; кака́я (же) э́то кварти́ра! skal hetta eitast at vera ein leiligheitннк!; како́й (же) ты музыка́нт! hvat ert tú fyri ein musikari [muːsɪʰk-]!@како́е (там)!partОн бога́т? - Како́е! er hann ríkur? - Yvirhøvur [-Ꞌhøː-] ikki!; Ikki tað sum eitur!; ты́, мо́жет быть, не по́нял её? - Како́е (там) не по́нял! kanska forstóðst [-Ꞌstœst] tú hana ikki? - Um eg gjørdi!; Tvørturímóti!; ты шу́тишь? - Како́е шучу́! skemtar tú? - Aldeilis [-Ꞌtai-] ikki!; пойдём в кино́! - Како́е там! lat okkum fara í biograf! - (Tað er) ikki talingur um!како́й (бы) ни ...sama hvør...; каку́ю бы возмо́жность вы ни вы́брали, вам бу́дет тру́дно sama hvønn møguleika tit velja, verður tað torført hjá tykkum; hvønn møguleika tit (so) velja, verður tað torført hjá tykkum;како́й бы то {там} ни́ былhvør hann so var;како́й ни (на) естьhvussu hann so er ella [εtla] ikki;ни в каку́юavgjørt ikki, ikki talan um;како́й он собо́й {из себя́}?hvussu sær hann út?;како́й тако́йtlm.hvør (við farra av irritatión,lítilsvirðing o.tíl.); Пришла́ Расторгу́ева. - Кака́я така́я Расторгу́ева? Rastorgujeva [-Ꞌkʊ-] er komin. - Hvør Rastorgujeva [-Ꞌkʊ-]?;ни ... како́го {како́му, о како́мo.s.fr.}síникако́й=>естьII @,ишь
