д.	1.день2.дере́вня3.долгота́4.домsíдом; ул. Панфёрова, д. 11 Panfjorovs [-Ꞌfjoː-] gøta 11
Да́ния	fDanmarkснепр, Danmørkж0-ur{ø/a/e}выс., поэт.
да́нник	msøg.(страна) skattlandс0o{a/o}
да́нность	f bókl.tað, sum er; tað, sum er givið; tað, sum verður tikið fyri givið
да́нные	n plur1.(сведения) data [taː-]с0гл(+)мн(upplýsingar), upplýsingarж0-ar(тж мсогл-arннк); faktaннкс0гл(+)(факты); uppgevilsiннксгл-i(указания); dáturнпжгл-aмн(б.ч. в эвм); по официа́льным да́нным sambært almennum upplýsingum; да́нные экспериме́нта úrslitið [ʏʂ-] (тж[ʉuɹ-]) av royndini; цифровы́е да́нные tøl; ввести́ да́нные føra data inn, føra upplýsingar inn; банк {ба́за} да́нных databasi [taːtapaː-]мгл-i, dátugrunnurнпмсогл-ar; основнны́е да́нные grundardáturофиц., grunddata [kɹʊntaː-]2.(основание) grundж0-ir; есть все да́нные полага́ть… alt bendir á, at..., øll [œtl] grund er til at halda, at...; по всем да́нным eftir [εʰtː-] øllum [œtl-] at døma3.(задатки) gávurжгл-aмн, anleggннкс0о; møguleikarмгл-iмн(возможности); kvalifikatiónir [kʰvaːlifiːkaꞋʃɔun-]ж0-irмн, førleiki [fœɹ-]мгл-i(квалификации); eginskapurннкмсогл-i, eginleikiнпмгл-i(свойство); fyritreytж0-ir(условия, предпосылки); у него́ есть да́нные для э́той до́лжности hann er kvalifiseraður [kʰvaːlifiꞋseː-] til hetta starvið, hann er skikkaður til hetta starvið; у него́ все да́нные стать хоро́шим поэ́том hann hevur alt, ið krevst til fyri at gerast eitt gott skald; tað er tilfar í honum til eitt gott skald; име́ть все да́нные длячего-л.hava allar [atl-] fyritreytir fyrio-m; хоро́шие голосовы́е да́нные góðir eginleikarнпhjá [tʃʰ-] røddini =>входно́й3,выходно́й@,защи́та1
да́нный	Ipartic avдать; дан {дано́} треуго́льник ABC [а бэ цэ́] tríkanturin ABC [aː peː seː] er givin; результа́т был дан зара́нее úrslitið [ʏʂ-] (тж[ʉuɹ-]) var givið frammanundanIIadj1.(этот) hesin; (sum er) beint nú; да́нная кни́га henda bókin; в да́нном слу́чае í hesum føri; в да́нном году́ í hesum árinum, í ár (в настоящем году); в да́нное вре́мя í løtuni, sum er; в да́нный моме́нт (beint) nú, í løtuni; в да́нных усло́виях undir hesum treytum; да́нный челове́кeis.viðkomandi2.(заранее определённый) givinсоглосн; да́нная величина́ ein givin stødd
данс	m mus.dansurмсогл-ir(nútímans, oftast við elektroniskum musikki)
да́нсинг	mdansisalurмсогл-ir, dansihøliсгл-i
данс-кома́нда	fdansibólkurмсогл-ar(í dansikapping í nútímans dansi)
данс-ко́нкурс	mdansikappingж0-ar(í nútímans dansi)
данс-му́зыка	fdansitónleikurмсогл-s,-ir(nútímans rúmiskur), dansimusikkurмсогл-ar(nútímans rútmiskur)
данс-по́л	plurданс-пол|ы́, ~о́в, ~а́мmdansigólvс0о, dansipallur [-tl-]мсогл-ar
данс-спекта́кль	mdansiframførslaжгл-a
данс-теа́тр	mdansiteatur [-tʰeaː-]с0о сн
данс-фестива́ль	mdansifestivalur [-vaˑ-]мсогл-ar(við nútímans dansi)
данти́ст	mgml.,bókl.tannlækniмгл-i(врач); tannteknikariмгл-ari, tanntøkningurмсогл-arофиц.(техник)
данти́стка	plurданти́ст|ки, ~ок, ~камfgml.,bókl.tannlækniмгл-i(врач); tannteknikariмгл-ari, tanntøkningurмсогл-arофиц.(техник) (konufólk)
дань	f1.søg.(подать) skatturмсогл-s,-ir; gjaldс0о{a/ø}; плати́ть дань lataслнæ-ó-askatt; собира́ть даньс Genkrevja skatt avДат2.чего-л.fl.,bókl.: отда́ть дань призна́тельностикому-л. veitair(t)o-mviðurkenning; принести́ дань уваже́ниякому-л.váttaaðio-msína virðingкн.,выс.,sýnair(t)o-mvirðing3.чему-л.(уступка) slakingж0-arfyri o-m, tað at geva segundir o-t; э́то была́ дань тради́ции tey góvu seg undir traditiónina [tʰɹaːtiꞋʃɔun-]; дань мо́де tað at geva seg undir mótan@отда́ть даньDatveitair(t)Датtað, hann hevur uppiborið; ну́жно отда́ть дань его́ нахо́дчивости tað skal hann eiga, hann dugir væl at finna uppá [ʊꞋpʰɔa]; tað rós skal hann hava, hann dugir væl at finna uppá [ʊꞋpʰɔa]
даоси́зм	mrel.,filos.taoisma [tʰaːoꞋɪ-]жгл-a
дар	plurдар|ы́, ~о́в, ~а́мm1.(подарок) gávaжгл-a; forering [-Ꞌeː-]ннкж0-ar; принести́что-л.в даркому-л. gevao-m o-tsum gávu, gevao-m o-ttil gávis, forera [-Ꞌeː-]ннкo-m o-t; получи́ть в дар fáa sum gávu, fáa til gávis; э́то дар судьбы́ sum sent av himli; дар бо́жий guds [kkʊʰtss] gáva2.(способность) gávaжгл-a(evni), gávurжгл-aмн(evni), evnirсгл-iмн; проро́ческий дар profetiskar [-Ꞌfeː-] gávur; приро́дный дар natúrgáva [-Ꞌtʰʉu-], natúrligar [-Ꞌtʰʏ-] gávur; дар сло́ва talugávur; дар ре́чи a) (способность говорить) mál (evni at tosa); b)síдарсло́ва; обрести́ дар ре́чи fáaслнe-i-imálið (aftur [aʰtː-]) fyri seg; потеря́ть дар ре́чи missa málið; лиши́ться да́ра ре́чи missa málið; владе́ть {обладе́ть} да́ром ре́чи hava góðar talugávur@святы́е дары́rel.altarsins sakramenti [saːkɹaꞋmε-]сгл-i=>дана́йцы
дарвини́зм	mdarwinisma [taɹvɪꞋnɪ-]жгл-a
дарвини́ст	mdarwinistur [taɹvɪꞋnɪ-]мсогл-ar
дарги́нец	Gen, Accдагри́нц|а; plur~ы, ~ев, ~амmdarginari [-Ꞌkiː-]мгл-ari, dargini [-Ꞌkiː-]мгл-i
дарги́нка	plurдарги́н|ки, ~ок, ~камfdarginari [-Ꞌkiː-]мгл-ari, dargini [-Ꞌkiː-]мгл-i(konufólk)
дарги́нский	adjdarginskur [-Ꞌkiː-]соглsk;дарги́нский язы́к darginsktсприлskt
Дардане́ллы	[-нэ́-]f plurDardanellurnar [-Ꞌnεlː-]жгл-aмн опр., Dardanellusundið [-Ꞌnεlː-]лпс0оопр.
дарёный	adjtlm.givinсоглосн(sum gáva), forerdur [-Ꞌε-]ннксогл@дарёному коню́ в зу́бы не смо́трятorðt.ikki er rætt at finnast at gávu
дари́ть	дарю́, да́р|ишь, ~ятipf1.pfподари́тькому-л. что-л.(давать в качестве подарка) gevaслнa-ó-io-m o-t, forera [-Ꞌeː-]ннкar(d)o-m o-t2.pfодари́тьfl.(удостаивать) gevaслнa-ó-io-m o-t; дари́тького-л.улы́бкой gevao-meitt smíl, brosaaðitilo-n, smílair(t)tilo-n
даркне́т	[-нэ́т]mdarknetс0о, myrka síðanжгл-aопр(á internetinum)
дармово́й	adjóvkm.síдарово́й
дармовщи́нка	fóvkm.síдаровши́нка
дармое́д	mtlm.snultariмгл-ari, sníkurмсогл-ar, snultigesturмсогл-s,-ir
дармое́дничать	ipfsnultaaði
дармое́дство	n tlm.snultaralívс0o
дарова́ние	ngávurжгл-aмн(evni), begávilsi [-Ꞌkɔa-]ннксгл-i; talent [-Ꞌlε-]ннкс0о(талант)
дарова́ть	дару́|ю, ~ешь, ~ютipf Acc кому-л.hátíð.,gml.gevaслнa-ó-io-m Вин; дарова́ть свобо́дукому-л.gevao-mfrælsi; дарова́ть жизнькому-л.eirair(d)o-n, lataслнæ-ó-aein tiggja lívбалл.,выс.
дарови́тость	fgávurжгл-aмн(evni), begávilsi [-Ꞌkɔa-]ннксгл-i; talent [-Ꞌlε-]ннкс0о(талант)
дарови́тый	stfдарови́т, ~а, ~о, ~ыadjevnaríkurсогл, evnagóðurгл{+}, evnaligurглigur, begávaður [-Ꞌkɔa-]ннкглaður
дарово́й	adj1.(бесплатный) fríurгл(ókeypis), gratis [kɹaːtɪs]ннксоглнескл., ókeypisнпнескл.(ничего не стоящий); finginсоглоснfyri einki (доставшийся даром,без труда); óuppiborinсоглосн, ófortjenturннксогл(незаслуженный)2.óvkm.síдарёный
даровщи́нка	ftlm.: на даровщи́нку frítt (ókeypis), gratis [kɹaːtɪs]ннксоглнескл., ókeypisнпнескл.; жить на даровщи́нку snultaaði, liva av øðrum, veraслнa-ó-esnultigestur
да́ром	adv1.(бесплатно) frítt (ókeypis), fyri einki, gratis [kɹaːtɪs]ннк, ókeypisнп; получи́тьчто-л.да́ромeis.fáao-tforerandi [-Ꞌeː-]ннк2.(дёшево) fyri lítið og lætt, fyri ein bíligan penga3.(напрасно) til onga nyttu, til fánýtis; тра́титьчто-л.да́ром spilla [-tla]o-tburtur til onga nyttu; пропа́сть да́ром fara fyri skeytið, fara til spillis [-tl-]; наш труд не пропа́л да́ром arbeiðið hjá [tʃʰ-] okkum var ikki til fánýtis, arbeiðið hjá [tʃʰ-] okkum var ikki burturspilt@э́то ему́да́ром не пройдётhetta skal koma honum aftur um aftur [aʰtːʊɹꞋʊmːaʰtː-], hetta skal hann fáa afturlønt [aʰtː-], hetta kemur hann at svíða fyri; э́то так да́ром не пройдёт hetta fer ikki at ganga, tað verður ikki við hetta lag; э́то емудоста́лось не да́ромtað kostaði honum dýrt; мне э́то(го) ида́ром не на́доeg vil ikki hava tað, um eg so hevði [hεijɪ] fingið tað fyri einki; eg vil ikki síggja tað fyri mær;да́ром чтоconcestlm.sjálvt [ʃɔl̥t] um, hóast, tó at; да́ром что молодо́й, а разу́мный sjálvt um hann er ungur, er skil í honum =>естьI @
да́рственная	fgávubrævс0о{æ/ø}
дартс	mdartс0{дат0}, pílaspælс0о{æ/ø}
дартс-клу́б	mdartfelagс0о{a/ø}{0<>i}
дартс-турни́р	mdartkappingж0-ar
Дар-эс-Сала́м	mDar es Salaam [ˌtaːɹεsaꞋlaːm]м0{дат.0}
даст	3. pers fur. avдать
да́та	f1.(день) dagurмсогл-ar{a/e/ø}{+}; да́та отъе́зда fráfaringardagur; знамена́тельная да́та merkisdagur (minniligur dagur); истори́ческие да́ты søguligir dagar (merkisdagar)2.(помета) dato [taːto]с0гл; dagfesting [tak-]нпж0-arофиц., dagseting [taʰk-]нпж0-arофиц., datering [-Ꞌtʰeː-]ннкж0-arпроф.; без да́ты ódateraður, ikki dagfestur [tak-]нпофиц.; поста́вить да́ту seta dato [taːto], dagfesta [tak-]нпir(t)офиц.=>вы́ставить9
да́тельный	adj: да́тельный паде́ж hvørjumfall [-tl]с0о{a/ø}, dativ [taːtʰiːv]с0{дат.0}; в да́тельном падеже́ мно́жественного числа́ í hvørjumfalli [-tlɪ] fleirtal
да́тер	[-тэр]mdatostempil [taː-]с0осн(tól)
дати́ровать	дати́ру|ю, ~ешь, ~ютipf/pf что-л.1.(снабжать датой) datera [-Ꞌtʰeː-]ннкaðio-tпроф., dagfesta [tak-]нпir(t)o-tофиц., dagseta [taʰk-]нпur(t);ir(t)o-tофиц.2.(относить ко времени) tíðarfestair(t)o-t, datera [-Ꞌtʰeː-]ннкaðio-tпроф.=>за́дний@
дати́роваться	дати́ру|ется, ~ютсяipf чем-л.(относиться к какому-л. времени) veraслнa-ó-efráo-m(um tíð)
да́тский	adjdanskurсоглnsk{a/o}; да́тский язы́к danskt [taŋ̊kst]сприлskt{a/o}; на да́тском языке́ á donskum =>не́вод
датча́нин	plurдатча́н|е, ~, ~амmdanskariмгл-ari, daniмгл-iкн.
датча́нка	plurдатча́н|ки, ~ок, ~камfdanskariмгл-ari, daniмгл-iкн.(konufólk); она́ датча́нкатжhon er donsk
да́тчик	m tekn.følariмгл-ari.msensorurмсогл-arтехн., sensor м0-ar(опр-ur)техн.,
дать	дам, дашь, даст, дади́м, дади́те, даду́т;pretдал, дала́, да́лоogдало́, да́ли (не́ далogне да́л, не дала́, не́ далоogне дало́, не́ далиogне да́ли)pf(ipfдава́ть)1.Acc Dat(вручить) gevaслнa-ó-iДат Вин; я дал тогда́ за э́то 20 рубле́й eg læt 20 rublar [ruː-] fyri tað tá; датькому-л. есть gevao-mat eta, leskaaðio-n; дать сове́т geva eitt ráð; дать обеща́ние+ inflovaaðiat +инф., geva lyfti um at +инф; датькому-л.рабо́ту gevao-marbeiði; дать доро́гу faraслнó-ó-aav vegnum [veːn-]; земля́ дала́ бога́тый урожа́й jørðin bar góða frukt; я бы мно́го(е) дал, что́бы… eg hevði [hεijɪ] givið nógv fyri at...; я дал ему́ ста́рый плащ eg læt hann fáa tann gamla regnfrakkan; дай мне свой а́дрес gev mær adressuna [-Ꞌtɹε-] hjá [tʃʰ-] tær; датькому-л.свой телефо́н gevao-mtelefonnummarið [-Ꞌfoːn-] hjá [tʃʰ-] sær; дать сло́во a) (обещать) geva sítt orð; b) (на собрании и т.п.) gevao-morðið (á fundum o.tíl.); я дал ему́ полчаса́ eg gav honum ein hálvan tíma2.кому-л. что-л.(одолжить во временное пользование) lænair(t)o-m o-t(veita til láns); датькому-л.кни́гу lænao-meina bók; да́й мне твою́ ру́чку læn mær pennin hjá [tʃʰ-] tær3.кому-л. что-л.(протянуть,вручить) rættair(t)o-m o-t; да́йте мне ру́ку rætt mær hondina; да́йте мне, пожа́луйста, соль ger so væl at rætta mær saltið; дай мне слова́рь rætt mær orðabókina, gev mær orðabókina; датькому-л.о́рден handaaðio-mein ordanннк, gevao-mein ordanннк4.кому-л. + inf(позволить) lataслнæ-ó-áo-n+инф.; он дал мне поня́ть, что э́то невозмо́жно hann læt meg skilja, at hetta var ógjørligt [-Ꞌtʃœ-]; дай мне э́то сде́лать lat meg gera hetta, lat meg sleppa at gera hetta; да́й-ка (пощу́пать) твой пульс lat meg sleppa at føla pulsin á tær; он не дал мне спать eg fekk ikki frið at sova fyri honum; дай свече́ догоре́ть lat ljósið (sleppa at) brenna niður; ему́ не да́ли говори́ть hann slapp ikki framat [-Ꞌεat] at siga nakað, hann slapp einki at siga, tey lótu hann einki siga; ве́тер не дал идти́ tað var ikki gangandi fyri vindi; да́йте (мне) поду́мать lat eg hugsa meg um; не дать поко́я ikki lata vera í friði5.что-л.(устроить): дать обе́д bjóðaaði{+}til døgurða [tøːvɹa]6.кому-л. что-л.tlm.(ударить) sláaслнó-ó-i; дать пощёчинукому-л.gevao-mein lúsing; датькому-л.по мо́рдеóvkm.gevao-m(ein) upp á kjaftin грубо; датькому-л.по зуба́м {в зу́бы} gevao-m(ein) frammaná [-Ꞌɔa]; датькому-л.в у́хо {по физионо́мии} gevao-m(ein) frammaná [-Ꞌɔa], gevao-m(ein) upp á kjaftinвульг.7.: ему́ мо́жно дать лет 50 hann sær út til at vera um 50, hann kundi verið eini 50 ár; ей нельзя́ дать бо́льше тридцати́ лет hon sær ikki út til at vera meira enn 30; ему́ не дашь 70 лет hann sær ikki út til at vera 70 ár; ско́лько лет ей дашь? hvussu gamla heldur tú hana vera?8.дай +1. pers sing fut: дай я помогу́ тебе́ lat meg hjálpa [j-] tær; да́йте я попро́бую lat meg royna, lat meg vita, lat meg sleppa at royna; дай(, ду́маю,) позвоню́ ей tað er best, eg ringi til hennara, hugsaði eg; и я реши́л: дай-ка я подожду́ tað man vera best at bíða, hugsaði eg;9.кому-л. что-л.tlm.(осудить на какой-л. срок): ему́ да́ли 2 го́да (тюрьмы) hann fekk tvey ár (í fongsli), hann fekk tvey ára fongsul10.tlm.(задать): я ему́ дам как сле́дует hann skal fáa Ꞌ av at vita@я тебе́ дам!tú skalt fáa tað!; tú skalt fáa Ꞌ av at vita!; я не винова́т. - Я тебе́ дам «не винова́т»! eg havi ikki skyldina. - Eg skal vísa tær "ikki hava skyldina", skal eg!;что-л.не дано́кому-л. o-tunnist ikkio-m; е́сли мне бу́дет дано́ дожи́ть до э́того um mær unnist at liva so leingi, um mær er lív lagað so leingi; (э́то) не ка́ждому дано́ hetta er ikki einum og hvørjum givið;ни дать ни взятьfullkomiliga [-Ꞌkʰoː-], út í odd og egg; она́ ни дать ни взять вы́литый оте́ц hon er sum togað [tʰuːwa] (реже[tʰoːa]) úr tonnunum á pápanum =>бог@,доро́га1,зада́ние1,залп,за́навес2,знать@,конце́рт1,нача́ло2,осе́чка,показа́ние2,поня́ть@,сло́во4,5,сраже́ние1,срок@,течьII,тре́щина2,труд2,уговори́ть1,урок@,ход@
