ф	1.ферзь frúgv, drotning (í talvi)2.фара́да F farad [faː-]
фотографи́роваться	фотографи́ру|юсь, ~ешься, ~ютсяipf(pfсфотографи́роватьсясфотографи́ру|юсь, ~ешься, ~ются) takaслнó-ó-ofotografi [-Ꞌfiː-] av sær, lataслнæ-ó-aseg fotografera [-Ꞌfeː-], lataслнæ-ó-aseg avmynda
фотографи́ческий	adjfotografiskur [-Ꞌkɹaː-], fotografi- [-Ꞌfiː-], ljósmynda-лп
фотогра́фия	f1.(действие) fotografering [-Ꞌfeː-]ж0-ar2.(снимок) fotografi [-Ꞌfiː-]с0о, fotomyndнпж0-ir, fotoс0гл(-num)3.síфотоателье́; мне на́до в фотогра́фиютжeg má fara til fotografin [-Ꞌkɹaː-]
фотока́рточка	plurфотока́рточ|ки, ~ек, ~камffotografi [-Ꞌfiː]с0o, fotomyndнпж0-ir, fotoс0гл(-num)
фотоко́пия	ffotokopiс0о, ljóstakлпс0о{a/ø}; снима́ть {сде́лать} фотоко́пию taka eitt fotokopi, gera eitt fotokopi
фотокорреспонде́нт	m síфоторепортёр
фотолюби́тель	famatørfotografur [aːmaꞋtʰøːɹfoːtokɹaː-]мсогл-ar, áhugafotografur [-kɹaː-]мсогл-ar
фото́метр	mljósmálariмгл-ari, ljósmátariмгл-ari
фотометри́ческий	adjljósmálingar-, ljósmátatingar-
фотоме́трия	fljósmálingж0-ar, ljósmátingж0-ar
фотомоде́ль	[-дэ́-]ffotomodellж0-ir
фотомонта́ж	mfotomontasja [-tʰaː-]жгл-a
фото́н	mfoton [-ˈtʰoːn]ж0-ir
фотонабо́р	mfotosatsurмсогл-ar
фотонабо́рный	adj: фотонабо́рная маши́на fotosetimaskina
фотоплёнка	plurфотоплён|ки, ~ок, ~камffilmurмсогл-ar;-s,-ir(til fotografiapparat)
фоторепорта́ж	mfotoreportasja [-tʰaː-]жгл-a, myndafrásøgnнпж0-ir{ø/a}
фоторепортёр	mpressufotografur [-kɹaː-]мсогл-ar
фотоси́нтез	[-тэ́з]mfotosyntesa [-sʏn-]жгл-a, ljóssamevningлпж0-ar
фотосни́мок	Genфотосни́м|ка; plur~ки, ~ков, ~камmfotografi [-Ꞌfiː]с0о, fotomyndнпж0-ir, fotoс0гл(-num)
фотоста́т	mfotostatur [-staː-]мсогл-ar
фотосфе́ра	ffotosfera [-ˈsfeː-] жгл-aпроф., ljóshválvлпс0о
фотосъёмка	plurфотосъём|ки, ~ок, ~камffotografering [-Ꞌfeː-]ж0-ar
фототелегра́мма	fgml.myndatelegramm
фототелегра́ф	mgml.myndatelegrafur [-kɹaː-]мсогл-ar
фототерапи́я	[eis.-тэ-]fljósviðgerð [vɪtʃ-]ж0-ir
фототи́пия	fljósprentс0о
фотофи́ниш	mmálfotoс0гл(-num)
фотохи́мия	ffotokemi [-kʰeˌmiː]ж0-ir
фотоэлеме́нт	mfotocella [-sεlːa]ннкжгл-aпроф., ljóskyknaнпжгл-a
ФПГ	[эф-пэ-гэ́]fФина́нсово-промы́шленная гру́ппа (samtak av feløgum í fíggjar-og ídnaðargeiranum)
фрагме́нт	mbrotс0о, fragment [-Ꞌmε-]ннкс0опроф.(úr teksti,musikkverki o.ø.)
фрагмента́рный	stfфрагмента́р|ен, ~на, ~но, ~ныadjsum er í brotum; í pettum, fragmentariskur [-Ꞌtʰaː-]ннксоглskпроф.(отрывочный)
фра́ер	(eis.фраер|а́, ~о́в, ~а́м)m1.jarg.(мужчина) fýrurэнкмсогл-arнеформ.(mannfólk)2.jarg.,óvkm.(франт) lapsurмсогл-arнеодобр., mótaprinsurмсогл-arнеодобр.3.jarg.,óvkm.(неопытный,наивный человек) muaжгл-aпренебр.(um fólk)4.jarg. (человек, не имеющий отения к преступному миру)o-r, sum ikki hoyrir til tann kriminella heimin(i málinum hjá brostsmonnum o.tíl.. síблатно́йII)
фра́за	f1.(предложение) setningurмсогл-ar(í máli)2.atf.(напыщенное выражение) innantómt orðс0о, frasa [-aː-]ннкжгл-a, tómorðс0о; пусты́е фра́зы frasurннк3.(устойчивая) máliskaжгл-a, tiltak [tʰɪl̥t-]с0о{a/ø}4.mus.(ряд звуков,аккордов) frasa [-aː-]жгл-a
фразеологи́ческий	adjmál.sum viðvíkur tiltøkum,sum viðvíkur orðafellum [-tl-], fraseologiskur [fɹaːseoꞋloːk-]соглskспец.; фразеологи́ческий слова́рь orðabók yvir tiltøk, tiltaksorðabók [tʰɪl̥tʰaʰks-], orðabók yvir orðafellir [-tl-]
фразеоло́гия	f1.(наука) fraseologi [fɹaːseoloꞋkiː]ж0-irспец., vísindiniсгл-iмнum tiltøk o.a., máliskufrøðiлпжгл-i2.(совокуоность фразеологизмов) tiltøkс0о{a/ø}мн, máliskurжгл-aмн, orðafellir [-tl-]сгл-iмн3.(пустые фразы) tóm orðс0о, frasur [-aː-]ннкжгл-aмн
фразёр	matf.o-r, sum brúkar frasur [fɹaː-]ннк;o-r, sum brúkar tómorðкн.
фразёрство	ntað at brúka frasur [fɹaː-]ннк; tað at brúka tómorðкн.
фра́йер	m síфра́ер
фрак	mkjóliмгл-i(velajakki til mannfólk); во фра́кетжí kjóla og hvítt, kjólaklæddurсогл{æ/ø}
фракту́ра	ffraktur [-ˈtʰuːɹ]ж нескл(slag av gotiskari prentaðariskrift)
фракцио́нный	adjfraktións- [-Ꞌʃɔu-]ннк, bólka- (av politiskum flokki o.tíl.)
фра́кция1	If1.(в парламенте) tingbólkurмсогл-ar2.(в партии) fraktión [-Ꞌʃɔun]ннкж0-ir, bólkurмсогл-ar(í politiskum flokki o.tíl.)
фра́кция2	IIfkem.(смеси) fraktión [-Ꞌʃɔun]ж0-irспец.
фраму́га	fovari parturмгл-arav vindeyga
франк	mfrankur [-aŋ̊k-]мсогл-ar
фра́нки	m plur(племя) frankar [-aŋ̊k-]мгл-iмн
франко...	í samansfransk-, franskur, á fronskum; франкоязы́чный franskmæltur
фра́нко-...	í samansfranskur-; фра́нко-ру́сский franskur-russiskur
франт	mlapsurмсогл-ar; mótaprinsurмсогл-ar
франти́ть	франчу́, франт|и́шь, ~я́тipftlm.vera lapsuturсогл, pyntaaðiseg
франти́ха	ftlm.pyntidukkaжгл-aнеодбр., pyntireyvж0-irнеодбр.
франтова́тый	stfфрантова́т, ~а, ~о, ~ыadjlapsuturсогл, pyntuturсогл
франтово́й	adjlapsuturсогл, pyntuturсогл
франтовство́	nlapsarí [-Ꞌrʊi]с0о, pyntisjúkaжгл-a
Франц Ио́сиф	síЗемля́Фра́нцаИо́сифа
Фра́нция	fFrankaríki [-aŋ̊k-]ннксгл-i, Frakland [-εak-]нпс0о{a/o}
францу́женка	plurфранцу́жен|ки, ~ок, ~камffronsk kvinnaжгл-a
францу́з	mfransmaðurмнепр, fraklendingur [-εak-]нпмсогл-ar, fransurмсогл-arкн., уст.
Францу́зская полине́зия	Franska Polynesia [pʰoːlyꞋneː-]с нескл.
францу́зский	adjfranskurсоглnsk{a/o}; францу́зский язы́к franskt [fɹaŋ̊kst]сприлskt{a/o}; на францу́зском языке́ á fronskum@смесь францу́зского с нижегоро́дскимspott.skurvblandingurмсогл-ar;францу́зская боле́зньgml.kynssjúka;францу́зская бу́лкаgml.fransbreyð =>замо́к@
франча́йзер	mfranchisor [fɹantʃʰais-]м0-ar(опр-ур), franchiseveitari [fɹantʃʰais-]мсогл-arэк.
франча́йзи	m indeclfranchisee [fɹantʃʰaisi]мгл-гл, franchisetakari [fɹantʃʰais-]мгл-ariэк.
франча́йзинг	mfranchise [fɹantʃʰais]с0о, franchising [fɹantʃʰais-]ж0-arэк.
фрахт	m1.(плата) fraktж0-ir(gjald), farmagjaldс0о{a/ø}2.(груз) fraktж0-ir(farmur), farmurмсогл-ar; góðsс0особир.
фрахтова́тель	mbefraktari [-Ꞌfɹa-]мгл-ari
фрахтова́ть	фрахту́|ю, ~ешь, ~ютipf(pfзафрахтова́тьзафрахту́|ю, ~ешь, ~ют)что-л.befrakta [-Ꞌfɹa-]aðio-t, fraktaaðio-t, chartra [tʃʰa-]aðio-t(skip til farmaflutning)
фрахто́вщик	mfraktmaðurмнепр, flutningsfelagс0о{a/ø}
фрахто́вый	adjfrakt-, farma-, góðs-
фра́чный	adjkjóla- (til mannfólk); фра́чная па́ра kjólasettс0о, velakjóliмгл-i(til mannfólk)
ФРГ	[фэ-эр-гэ́]f indecl síФедерати́внаяРеспу́блика Герма́ния
фрега́т1	Im(судно) fregatt [-Ꞌkaʰtː]ж0-ir
фрега́т2	IIm(птица) (сем. Fregatide) fregattfuglur [-Ꞌkaʰtː-]мсогл-ar
фреза́	plurфре́з|ы, ~, ~амffresariмгл-ari=>ди́сковый
фре́зерный	adjfresi-; фре́зерный стано́к fresimaskina
фрезерова́ние	nfresingж0-ar
фрезерова́ть	фрезеру́|ю, ~ешь, ~ютipf(pfотфрезерова́тьотфрезеру́|ю, ~ешь, ~ют)что-л.fresaaðio-t
фрезеро́вщик	mfresariмгл-ari(maður, sum arbeiðir við fresimaskinu)
фрезо́вщик	mfresariмгл-ari(fólk)
фрейди́зм	mfreudianisma [fɹɔitiaꞋnɪ-]жгл-a
фрейди́ст	mfreudianari [fɹɔitiꞋaː-]мгл-ari
фрейди́стский	adjfreudianskur [fɹɔitiꞋaː-]соглsk
фрейли́на	[-рэ-]fhoffdama [-taː-]ннкжгл-a, hovkonaжгл-aкн., hovfrúgvжнепркн., выс.
фреймво́рк	[фрэ-]m teld., jarg.framework [fɹεimvœɹ̥k]с0{дат0}комп.
фре́кинг	[фрэ́/]mfracking [fɹaʰkːɪŋk]ж0-arтехн.
френд	[фрэ-]m jarg.vinurмсогл-ir(á sosialum miðlum o.tíl.)
фре́ндить	[фрэ-]фре́нжу, фре́нд|ишь, ~ятipf(pfзафре́ндить [-фрэ́-]зафре́нжу, зафре́нд|ишь, ~ят)кого-л. jarg.geraнепрo-ntil vin (á sosialum miðli o.tíl.)
френоло́гия	ffrenologi [-Ꞌkiː]ж0-ir
френч	m slag av uniformsjakka
фрео́н	mfreon [fɹeːɔn]с0о({0<>i})
фрео́новый	adjfreon- [fɹeːɔn-]
фре́ска	ffreskoж0-ir, freskomálningurмсогл-ar; kálkmálningurмсогл-ar(gjørdur á vátum kálki)
фре́сковый	adjfresko-; фре́сковая жи́вопись freskoж0-ir, freskomálningurмсогл-ar; kálkmálningurмсогл-ar(gjørdur á vátum kálki)
фриво́льность	f1.(кфриво́льный) ósømiligheit [-Ꞌsøː-]ж0-ir, ósiðiligheit [-Ꞌsiː-]ж0-ir, frivolitetur [-Ꞌtʰeː-]мсогл-s,-irред.2.(поступок) ósømilig [-Ꞌsøː-] gerðж0-ir, ósiðilig [-Ꞌsiː-] gerðж0-ir; ósømiligt [-Ꞌsøː-] orð, ósiðiligt [-Ꞌsiː-] orð (высказывание); frivolitetur [-Ꞌtʰeː-]мсогл-s,-irред.
фриво́льный	stfфриво́|лен, ~льна, ~льно, ~льныadjósømiligur [-Ꞌsøː-]глigur, ósiðiligur [-Ꞌsiː-]глigur, frivolur [-Ꞌvoː-]соглред.
фриги́дность	ffrigiditetur [-kiːtiꞋtʰeː-]мсогл-ar
фриги́дный	stfфриги́д|ен, ~на, ~но, ~ныadjfrigidur [-Ꞌkiː-]согл{+}
фриги́йский	adjfrygiskur [-yːk-]соглsk@фриги́йский колпа́кfrygisk húgva
фриз1	Imarkit.frisiннкмгл-iпроф., архит.
фриз2	IIm(народность) frísiмгл-i
фри́зский	adjfrísiskurсоглsk; фри́зский язы́к frísisktсприлskt
фрик	m tlm.freak [fɹiːk]м0-ar(опр-ur)жарг.;originalur [ɔɹkiˈnaː-]энкмсогл-ar, serur knokkurмсогл-ar, serskøltur [sεʂk-]мсогл-ar(чудак)
фрикаде́лька	[-дэ́-]plurфрикаде́|льки, ~лек, ~лькамfkjøtbolliмгл-i(из мяса); fiskabolliмгл-i(из рыбы)
фрикасе́	[-сэ́]n indeclfrikasse {frikase} [-Ꞌseː]ж0-ir
фрикати́вный	adjmál.frikativurсогллингв.; фрикати́вный звук frikativurмсогл-arлингв., trongaljóðс0олингв.
фрикцио́н	mfriktiónskopling [fɹɪʰkˈʃɔunskʰɔpl-]ж0-ar
фрикцио́нный	ffriktións- [-Ꞌʃɔu-]; фрикцио́нная му́фта friktiónskopling [-Ꞌʃɔunskɔpl-]
фрила́нс	m freelancearbeiði [fɹiːlan̊s-]ннксгл-iпроф., freelansarbeiði [fɹiː-]ннксгл-iпроф.,frílansarbeiðiнксгл-iпроф.; fríyrkisarbeiðiлпсгл-i
фрила́нсер	mfreelancari [fɹiːlan̊s-]ннкмгл-ariпроф., freelansari [fɹiː-]ннкмгл-ariпроф.,frílansariннкмгл-ariпроф.; fríyrkismaðurлпмнепр
Фри́таун	mFreetown [fɹiːtʰaun]м0{дат.0}
фро́нда	f1.søg.(во Франции) frondaжгл-a(la fronde, í Fraklandi 1648-53)2.fl.,bókl,gml.(оппозиция) mótstøðaжгл-a, andstøða [ans-]жгл-a
фрондёр	mbókl.,gml.andstøðingur [ans-]мсогл-ar
фрондёрство	ngml.,bókl.mótstøðaжгл-a, andstøða [ans-]жгл-a
фронди́ровать	фронди́ру|ю, ~ешь, ~ютipfgml.,bókl.veraслнa-ó-eí andstøðu [ans-]
фронт	plurфронт|ы́, ~о́в, ~а́мm1.(линия) fronturннкмсогл-ar, hermót [hεɹ-]нпс0о; ли́ния фро́нта frontlinjaннк; на фро́нте á hermótinumнп, við frontinннк; держа́ть фронт halda frontinumннк, standa seg á hermótinumнп2.(высшее войсковое объединение) fremstu herliðiniс0омн опр.3.(область) økiсгл-i, umráðiсгл-i; fronturмсогл-arб.ч.шутл.; на культу́рном фро́нте á mentunarfrontinumб.ч.шутл.4.(объединение) fylkingж0-ar; наро́дный фронт fólkafylking; fólkafronturмсогл-arист.(ос. о Европе в 1930-х г.)5.veður.(раздел между воздушными массами) brúgvжнепр; холо́дный фронт kuldabrúgv@встать {вы́тянуться} во фронтherm.standa rætt;борьба́ на два фро́нтаbardagi á tveimum frontumннк=>бое́цI @,еди́ный1
фронта́льный	stfфронта́лен, фронта́льн|а, ~о, ~ыadj1.(кфронт 1) front-, hermóts-; фронта́льная ата́ка álop (beint) á hermótið [hεɹ-]2.(находящийся в передней части) fram-; фронта́льная стена́ framveggur; фронта́льное столкнове́ние frontalur [-Ꞌtʰaː-]ннкsamanstoytur3.(кфронт 5) brúgva-, við brúgvaløgum4.fl.(общий) alfevnandiглandi, umfatandiглandi; almennurсогл; фронта́льная прове́рка eftirlit av øllum [-tl-]
фронтиспи́с	m1.arkit.(фасад) høvuðsfasada [-saːta]жгл-a(á bygningi), frontispice [-Ꞌspɪːs]ж0-irархит.,спец.2.prent.(рисунок,портрет) frontispice [-Ꞌspɪːs]ж0-irполиг.
фронтме́н	[-мэ́н]mforsangari [-saŋk-]мгл-ari
фронтови́к	Gen, Accфронтовик|а́; plur~и́, ~о́в, ~а́мm hermaður el. yvirmaður, ið er ella hevur verið á hermótinum
фронтово́й	adjfront-ннк, hermóts- [hεɹ-]нп; фронтово́й това́рищ krígskammeratur [[kʰɹʊi̯ʰkskʰamːɪraː]ннк
фронто́н	mgalvurмсогл-ar(á fasadu,yvir vindeyga), fronton [-Ꞌtʰoːn]ж0-irархит., спец.
фрукт	m1.oftast plur(плод) fruktж0-irсобир.; сушёные фру́кты turkað frukt2.óvkm.,niðr.(о человеке): ну и фрукт {хоро́ш фрукт} á, dennнеформ.íspegil ; что э́то за фрукт? hvat er hetta fyri ein fýrur?
фрукто́вый	adjfrukt-; фрукто́вый сок fruktsaft; фрукто́вое де́рево frukttræ
фрукто́за	ffruktosa [-Ꞌtʰoː-]жгл-a, fruktsukurс0осн
Фру́нзе	[-зэ]m indeclsovjet.Frunze [fɹʊn̊sε]м нескл.,síБишке́к
фрэнд	m síфренд
фрэ́ндить	síфре́ндить
ФСБ	[фэ-эс-бэ́]f indeclФедера́льная слу́жба безопа́сности Росси́йской Федера́ции Trygdartænastan í Russiska Sambandsríkinum [-pan̊s-]
ФСИН	[фэ-эс-и-э́н]f indeclФерера́льная слу́жба исполне́ния наказа́ний Føderala [-ˈraː-] tænastan til útinnan av revsing (russiska fongsulsverkið o.a.)
ФСК	[фэ-эс-ка́]f indeclФедера́льная слу́жба контрразве́дки (sí)
ФСНП	[эф-эс-эн-пэ́]f indeclФедера́льная слу́жба нало́говой поли́ции Росси́йской Федера́ции  (tann russsiska skattaløgreglutænastan inntil 2003)
ФСО	[фэ-эс-о́]f indeclФедера́льная слу́жба охра́ны Russiska vaktartænastan
ф.ст.	фунт сте́рлингов £, pund sterling
фтизиа́тр	mtuberklalækni [-ˈpε-]мгл-i
фтизиатри́я	ftuberklafrøði [-Ꞌpε-]жгл-i
фтор	mfluor [fluːoːɹ]с0o({0<>i})
фто́ристый	adjfluor- [fluːoːɹ]
фу	inter1.(для выражения укоризны,досады и др.) oy; uff; fu2.(для выражениа усталости;облегчния) áh [ɔː]@фу́-тыtlm.,spott.ikki eiti á, tað skal eg halda við;фу́-ты, ну́-тыtlm.,spott.nei, hygga síggj!
фу́га	ffuga [fuːka]жгл-a(musikkverk)
фуга́нок	Genфуга́н|ка; plur~ки, ~ков, ~камmslætthøvilм0осн-s,-ar
фуга́с	mlandmina [lanm-]жгл-a
фуга́ска	plurфуга́с|ки, ~ок, ~камfspreingibumbaжгл-a
фуга́сный	adjspreingi-; фуга́сная бо́мба spreingibumba
Фуглё	m indeclFugloyж0-ar{+}; на (о́стров) Фуглё til Fugloyar [fʊkliːjaɹ]; на (о́строве) Фуглё á Fugloynni [-ɔi̯tnɪ]опр. (на острове); í Fugloy [fʊklɪ] (как географическое понятие); ба́нка Фуглё Fugloyarbanki [fʊkliːjapaɲ̊tʃɪ]
Фуглефьо́рд	mFuglafjørðurмсогл-ir{ø/a/i}{+}; в Фуглефьо́рд til Fuglafjarðar; в Фуглефьо́рде í Fuglafirði,см тжв А1, В 1
фугова́ть	фугу́|ю, ~ешь, ~ютpf(pfсфугова́тьсфугу́|ю, ~ешь, ~ют)что-л.1.(стругать) hølvaaðio-tvið slætthølvi2.(клеить) límaaðio-tsaman (sum er hølvað)3.(заполнять) fuga [fuːka]aðio-t
Фудзия́ма	fFujiyama [futʃiꞋjaː-]с нескл.
фуже́р	m(stórt) vínglasс0о{a/ø}
фу́кать	ipf síфу́кнуть
фу́кнуть	фу́кн|у, ~ешь, ~утpf(ipfфу́кать)tlm.1.на что-л., что-л.(задувать) blásaur(t){á/æ}á o-t {o-t}2.что-л.(в шашках) drepaслнa-u-io-t(í damm)
фукси́н	mfuksin [-ˈsiːn]с0o{o<>i}
фу́ксия	f(Fuchsia) fuksiaжгл-a
фу́ксом	advtá høvi býðst, tá tað liggur fyri, tá so vil til (волей судеб); av tilvild, tilvildarliga, óvart áberandiкн.(случайно); óvæntað (неожиданно); ógrundað (без оснований); av órøttum (не по праву)
фу́кус	m(Fucus) tariмгл-i(av slektini Fucus)
фуля́р	m gml.foulard [fuˈlaɹt]с0о{0<>i}
Фунафу́ти	m indeclFunafuti [-Ꞌfuː-]м нескл.
фунда́мент	m1.(основание) fundament [-Ꞌmε-]ннкс0опроф.; fóturмнепр(undir standmynd o.tíl) (статуи и т.п.)2.fl.(база,опора) undirstøðiсгл-i, grundvøllur [kɹʊnvœtl-]мсогл-ir{ø/a}, grundarlagс0o{a/ø}{0<>i}=>заложи́ть2,подвести́2
фундаментали́зм	mfundamentalisma [-Ꞌlɪ-]жгл-a
фундаментали́ст	mfundamentalistur [-Ꞌlɪ-]мсогл-ar
фундамента́льный	stfфундамента́|лен, ~льна, ~льно, ~льныadj1.(солидный) sterkurсогл, hollur [-tl-]согл{+}; фундамента́льная постро́йка sterk bygging2.(основополагающий) grundleggjandi [kɹʊnl-]глandi, fundamentalur [-Ꞌtʰaː-]ннксогл; фундамента́льное зна́ние dyggurсоглkunnleiki, hollur [-tl-] kunnleiki; фундамента́льный труд eitt grundleggjandi arbeiði; фундамента́льное иссле́дование ein nágreinilig kanning3.bert lf(главный) høvuðs-; фундамента́льная библиоте́ка høvuðsbókasavn
фуникулёр	mtogbani [-paː-]мгл-i, kaðalbani [-paː-]мгл-i
функциона́льный	stfфункциона́лен, функциона́льн|а, ~о, ~ыadjfunktionellur [-Ꞌnεlː-]соглпроф., funktións- [-Ꞌʃɔu-]проф.; функциона́льное заболева́ние funktionell sjúka; функциона́льный ана́лиз funktiónsanalysa [-Ꞌʃɔun̊saːnalyː-]
функционе́р	matf.pampariмгл-ariпренебр.
функциони́ровать	функциони́ру|ю, ~ешь, ~ютipfvirkaaði, fungera [fʊŋꞋkeː-]ннкaði
фу́нкция	f1.(значение,назначение) funktión [fʊŋ̊kꞋʃɔun]ннкж0-ir; выполня́ть фу́нкцииGenvirkaaðisumИм; выполня́ть мно́го фу́нкций hava nógvar funktiónirннк2.(работа органа и др.) funktión [fʊŋ̊kꞋʃɔun]ннкж0-irпроф., virkiлпсгл-i; фу́нкции головно́го мо́зга funktiónirnarннкпроф.hjá [tʃʰ-] heilanum3.filos.(зависиомое явление) funktión [fʊŋ̊kꞋʃɔun]ж0-ir4.mat.(зависимость величин) funktión [fʊŋ̊kꞋʃɔun]ж0-ir, funkaлпжгл-a; тригонометри́ческие фу́нкции trigonometriskar [-Ꞌmeː-] funktiónir
фунт1	Im1.gml.(русская мера) pundс0о(russiskt,409,5 g)2.(английскаяа мера) pundс0о(bretskt pound,453,6 g, o.a.)@вот так {тебе́} фунт!óvkm.hetta var vorðið sum skil!;э́то (тебе́) не фунт изю́муtlm.,skemt.hetta er ikki smávegis, hetta er ikki hissini
фунт2	IIm(денежная единица) pundс0о(mynteind)
фу́нтик	m(кулёк) kramarhúsс0о
фу́ра	f óvkm.trailaralastbilur [tʰɹεil-] {treylaralastbilur}мсогл-ar
фура́ж	Genфуража́mfóðurс0осн(til kríatúr o.a.)
фуражи́р	m gml. maður, ið fæst við fóður til kríatúr(í herinum)
фура́жка	plurфура́ж|ки, ~ек, ~камfkaskett [-Ꞌʃεʰtː]ж0-ir=>фо́рменный1
фурго́н	m1.(автомобиль) vøruvognurмсогл-ar2.(крытая телега) yvirdekkaður vognurмсогл-ar
фу́рия	f1.myt.(богиня-мстительница) furiaжгл-a2.fl.(о женщине) illkvendiсгл-i, skarnskvendi [skan̊s-]сгл-i; grussaжгл-aпренебр.
фурниту́ра	mtilbehoyr [tʰɪl-]ннкс0опроф., tilhoyrнпс0о
фуро́р	mrokс0о, øsingж0-ar; произвести́ фуро́р skapa øsing, skapaar(t);aðirok
фуру́нкул	mkoynaжгл-a, pirraжгл-a(við vági í)
фурункулёз	m1.(у человека) furunkulosa [-Ꞌloː-]жгл-a(húðasjúka)2.(у рыб) furunkulosa [-Ꞌloː-]жгл-a(sjúka hjá fiski)
фут	mfóturмнепр(bretsk mát,30,48 cm)
футбо́л	mfótbólturмсогл-ar(spælið) =>игра́тьB 1,пе́рвенство2
футболи́ст	mfótbóltsspælariмгл-ari, fótbóltsleikariнпмгл-ari
футбо́лка	plurфутбо́л|ки, ~ок, ~камfsportstroyggjaжгл-a(við longum ermum)
футбо́льный	adjfótbólts-; футбо́льный мяч fótbóltur (bóltur til fótbóltsspæl); футбо́льная кома́нда fótbóltslið, fótbóltsholdннк=>по́ле2
футза́л	mfutsalмо{дат0}
футля́р	metui [eːtʰuꞋiː]ннкс0о, húsiмгл-i, hylsturс0осн, hylkiсгл-i; футля́р для очко́в brilluetuiннк, brilluhúsi@челове́к в футля́реfólk, ið óttast alt nýtt og óvanligt
футро́п	mfisk.(на трале) fiskilínaмгл-a, fótroppur [-rɔpː-]мсогл-arуст.(á troli); grunnketaжгл-a(цепь); grunnurмсогл-ar, grunnlínaжгл-a, blýlínaжгл-a(á gørnum) (на неводе)
футури́зм	mlist,bókm.futurisma [-Ꞌrɪ-]жгл-a
футури́ст	mlist,bókm.futuristur [-Ꞌrɪ-]мсогл-ar
футуристи́ческий	adjlist,bókm.futuristiskur [-Ꞌrɪ-]соглsk
футуро́лог	mframtíðargranskariмгл-ari, futurologur [-Ꞌloːk-]мсогл-ar
футурологи́ческий	adjfuturologiskur [-Ꞌloːk-]соглsk
футуроло́гия	fframtíðargranskingж0-ar, futurologi [-Ꞌkiː]ж0-ir
футшто́к	mskip.peilistokkurмсогл-ar
фуфа́йка	plurфуфа́|йки, ~ек, ~йкамf1.bundin (undir)troyggjaжгл-a2.óvkm.síва́тник
фуфло́	plurфу́фла, фуфлogфу́фел,фу́фламn jarg., vanv.1.(ложь) lygnж0-ir; svikс0o, lumpingж0ar(обман)2.(обманщик) snýtariмгл-ari, svikariмгл-ari3. (неуважаемый человек) spjaðс0о{o<>i}презр., vánamаðurмнепр4.(нечто дурное, некачественное) lortс0огрубо(о-t vánaligt); lorturмсогл-arгрубо(um fólk), lorthundurмсогл-arгрубо, lortendiмгл-iгрубо(о людях)
фуфу́	: на фуфу́tlm.fyrilitsleyst, tankaleyst [tʰaŋ̊k-], gáloysið (легкомысленное); sum best ber til (кое-как)
фы́рканье	n1.(кфы́ркать 1) físс0о, snýsс0о2.(смех) gnisс0о3.(брюзжание) knarrс0о, físс0о
фы́ркать	ipf(momentфы́ркнутьфы́ркн|у, ~ешь, ~ут)1.(выпускать воздух из ноздрей) froysair(t), físair(t), snýsair(t)2.tlm.(смеяться) gnisaaði3.tlm.(брюзгать) knarraaði; фы́ркатьна кого-л.knarrainn á o-n
фы́ркнуть	moment síфы́ркать
фьорд	[фьё-]mfjørðurмсогл-ir{ø/a/i}{+}(vík) (в + Prp - á + Дат;в отдельных фар. топонимах, где фьорд - пролив в + Prp - í + Дат)
фью́черс	m fíggj.future [fjʉutʃεɹ]мнепр{+}(чаще всего встречается в форме мнfutures)
ФЭЗ	[фэс]f indeclФаре́рская [-рэ́-] экономи́ческая зо́на føroyskt [føːɹɪst] búskaparøki; в ФЭЗ undir Føroyum [fœɹjʊn], í føroyskum [føːɹɪsk-] sjógvi; из ФЭЗ undan Føroyum [fœɹjʊn], úr føroyskum [føːɹɪsk-] sjógvi
фэн	m jarg. síфан
фэн-...	síфан-
фэ́нтази	n indeclfantasy [-si]с нескл.; литерату́ра фэ́нтази fantasybókmentir; фильм фэ́нтази fantasyfilmur
Фэ́рбенкс	[-бэ-]mFairbanks [fεaɹpεŋ̊ks]м нескл.
фюзеля́ж	mskrokkurмсогл-ar(á flogfari o.tíl.)
Фюн	mFyn [fyːn]ж нескл., Fjónс0окн.
фю́рер	msøg.Førarinмгл-ariопр.
