U1	(bókstavurin) u
unreasonable	órímiligur, óskynsamur, sum lítið skil er í, sum líkist ongum; ov avgjørdur, ov mikil
unreasoning	tankaleysur, sum ikki hugsar seg um, óvandin, skilaleysur, høpisleysur (t.d.unreasoning fear)
unreciprogated	ikki svaraður, ósvaraður (t.d.love)
unrecognizable	ikki til at kenna aftur, ókenniligur
unrecognized	ikki viðurkendur
unreconstructed	1ikki uppafturbygdur2sum einki gerst við, sum ikki stendur til bata; rótgrógvin, forherðaður, gjørdur3afturhalds- (t.d.policy)
unrecorded	1(handilsm.) ikki bókaður, ikki uppskrivaður, ikki innførdur2ikki upptikin
unredeemed	1sum heldur ikki (lyfti), sum heldur ikki orð (t.d.promise)2ikki afturgoldin (t.d.loan;pledge)3einki linnandi... (t.d.a play unredeemed by humour)4ikki afturtikin, ikki afturvunnin (t.d.the unredeemed areas of Ruritania)5(átr.) ófrelstur, ikki frelstur
unreel	vinda av (hespu, spola, hjólio.tíl.)
unrefined	1(um framleiðslu) óreinsaður, óliðugur(t.d.úrdráttur)2(um fólk) ómentaður
unreflecting	1sum kastar ikki aftur, sum gevur ikki endurskin2(um fólk) tankaleysur, sum ikki hugsar seg um, óvandin
unreflective	síunreflected2
unregenerate	1(átr.)óendurborin, ikki endurborin, óendurføddur, ikki endurføddur2óreinur, óndur, spiltur, sum ikki stendur til bata
unregetted	sum eingin harmar, sum eingin saknar;die unregetteddoyggja uttan at verða saknaður
unregistered	óskrásettur, óinnskrivaður, ómerktur, ófráboðaður (t.d.unregisteredvoters,anunregisteredmotor vehicle)
unrelated	1fyri seg, serstakur, einstakur (t.d.incident; matter)2(um fleiri viðurskifti) sum eru ikki tongd at einum, sum einki samband hava við (t.d.incidents)3(um fólk) óskyldur, ikki skyldur við, ikki í ætt við
unrelenting	1støðugur, alsamur, framhaldandi (t.d.a week of unrelenting activity)2stívur, óvikandi, óbendiligur; eirindaleysur, miskunnarleysur, harðhjartaður
unreliable	óálítandi, lítarleysur; ivasamur (t.d.sourceivasom kelda)
unrelieved	1ikki sloppin undan skyldum; ikki hjálpturel.eftirgivin2einsháttaður, fábroyttur, fátónaður, eintónaður, fátáttaður, ófjølbroyttur, einskendur, einvorðin, monontonur (t.d.a scene of unrelieved drabness),sum vantarel.manglar fjølbroytni/fráber3(skaldsk.)støðugur, áhaldandi, sum er í heilum, sum ikki slitnar sundur, sum ikki helmar í, alsamur, uttan íhald, uttan steðg/slit; eirindaleysur, miskunnarleysur, harður, strangur, hjartaleysur, harðhjartaður, harðmøraður; óbroytandi, óbroytiligur, óbrigdiligur
unremarkable	sum ikki er merkisverdur, týdningarmikil, týðandiel.stórfingin; sum ikki er undranarverdur, áhugaverdurel.forvitnisligur
unremarked	she let his bitterness go unremarkedhon svaraði ikki til beisku viðmerking hansara
unremitting	støðugur, áhaldandi, við ongum steðgiel.sliti, uttan steðgel.slit, ótroyttiligur, ómøðiligur
unremunerative	sum loysir seg ikki, sum kastar ov lítið av sær, sum gevur hall; (um løn) soltin
unrepeatable	1(um framsøgn/útsøgn) sum ikki kann takast uppaftur, sum ikki er borðbærurel.stovubærur2(um roynd) sum ikki kann gerast uppaftur/umaftur (t.d.unrepeatable experiment)
unrependant	sum iðrar seg ikki, sum einki angrar, forgjørdur, treiskur, stívrendur, stívur, stokksettur, tvørur, forgjørdur, forherðaður;she was unrependanthon iðraði seg ikki um tað
unrepenting	sum iðrar seg ikki, sum einki angrar, forgjørdur, treiskur, stívrendur, stívur, stokksettur, tvørur, forgjørdur, forherðaður
unreported	ikki fráboðaður, ikki staðfestur
unreported number	skuggatal, ikki fráboðað tal, ikki staðfest tal (t.d.unreported number of novel coronavirus; unreported number of crimes)
unrequited	(forml.)ósvaraður (t.d.unrequited love)
unreserved	1treytaleysur, av fullum huga2ikki umbiðinel.bílagdur(t.d.sessur)3opinskáraður; sum sigur, sum er
unreservedly	treytaleyst, av fullum huga(o.tíl.)
unresisting	sum ger ikki mótstøðu, mótstøðuleysur, eftirlátligur; við ongari mótstøðu, viljaleysur
unresolved	1(forml. am.um vandamál) sum eingin loysn er funnin á, óloystur ;an unresolved conflictóloyst stríð2(um fólk) vinglutur, ivandi, sum onga støðu hevur tikið
unresponsive	stútutur, snubbutur,(tlm.)avvísandi; sum (kaldliga) vísir frá sær;be unresponsive toikki taka við(t.d.viðgerð); kveistra frá sær
unrest	ófriður, órógv, misnøgd (t.d.the social unrest of the time)
unrestrained	óstýriligur, óspektur, ótamdur, ólátaður, sum ikki hevur fyrilit, fyrilitsleysur, ansaleysur, ógvisligur (t.d.enthusiasm),rokmikil, harðligur, ógvuliga hvassur (t.d.criticism),óstiltur, sum eitt óløgi;unrestrained laughterflenna í kíki
unrestricted	óavmarkaður, markleysur (t.d.freedom; access); unrestricted roadvegur ið einki ferðmark hevur;have an unrestricted view ofhava gott útsýni yvir
unreturnable	sum vendist ikki aftur, sum kann ikki venda aftur
unrewarding	sum lítið fekst burturúr (t.d.journey), ótakksamur (t.d.partleiklutur)
unrhymed	órímaður, sum ber ikki upp á rím, rímleysur (t.d.verse)
unriddle	gita, loysa(t.d.gátu)
unrig	1(sigl.)rigga av2(tlm.) lata seg úr
unrighteous	órættvísur; ljótur, óreinur, óndur; illavorðin, syndigur
unrip	spretta upp, kryvja
unripe	óbúgvin
unrivalled	sum hevur ikki sín javnlíka, makaleysur, sum tikin úr leikum
unroasted	1ikki steiktur2ikki snerktur, (tlm.) ikki ristaður3(um kaffi) ikki brendur
unroll	rulla eitt út, breiða út; vísa, sýna
unround	1avrunda2(ljóðfr.) avvarra
unrounding	1avrunding2(ljóðfr.) avvarran
UNRRA	United Nations Relief and Rehabilitation AdministrationNeyðhjálpar- og Endurreisingarstovnur Sameindu Tjóða
unruffled	1róligur, órørdur, ónervaður, sum letur ikki við seg koma, sum letst ikki um vón, sum einki var(t.d.hann helt fram, sum einki var); (t.d.he remained -d by their accusations)2(um sjógv) slættur
unruled	1(bókm.) óstýriligur, ótemjandi, villur (t.d.men with passions unruled)2(um pappír) við ongum reglum
unruly	óstýriligur, rokmikil (t.d.horse; children);unruly locksflagsandi lokkar
unsaddle	(um ross) taka saðil av, (um reiðfólk) kasta av sær
unsafe	1svikaligur (t.d.the ice is unsafeísurin er svikaligur)2hættisligur, vandamikil3óálítandi, lítarleysur, sum ein kann ikki hava álit á (t.d.newspapers may be very unsafe guides)
unsaid	leave it unsaideinki siga, lata eitt vera ósagt
unsalaried	óløntur
unsaleable	óseljandi
unsatisfactory	ikki nøktandi, sum ein er ikki nøgdur við, ikki nóg gott
unsatisfied	1ónøgdur(withvið);sum er ikki nøgdur; sum er ikki mettur2(um tørv) ónøktaður, sum hevur ikki fingið fulnað;an unsatisfied needónøktaður tørvur3(handilsm.)ikki greiddurel.dekkaður, (um fíggjarkrav) ikki fingin í rættlag
unsaturable	(evnafr.) ómettandi, ómettiligur
unsaturated	(evnafr.)ómettaður;unsaturated hydrocarbonómettað kolvetni
unsavoury	1(tasteless) sum smakkar illa, sum ongan smakk hevur2vatndeyvur, smakkleysur3(fl.m.)óhøviligur, lítið høviligur, ónossligur, smakleysur, ósmakligur, óhugaligur, fúlur, ólíkligur, ótespiligur, andstyggiligur (t.d.affair), (tlm.)ólekkur4illa dámdur, illa lýddurel.líddur, lítið avhildin, sum hevur ringt orð á sær (t.d.unsavoury reputation)
unsay	taka í seg aftur
unscalable	ógongdur, sum ikki slepst uppá
unscale	(tøkn.)taka ketilstein úr (t.d.unscale a boiler)
unscathed	óskaddur, óskalaður, heilskapaður, snikkaleysur;escape unscathed (eis.)sleppa við sviðanum
unscented	við ongum anga (t.d.an unscented rose)
unscheduled	ikki ráðlagdur, eingin ætlan gjørd
unscholarly	óvísindaligur, ikki vísindaligur
unschooled	(skaldsk.)ólærdur; óskúlaður; óvandur, óvanur, óroyndur; sum hevur íbornar gávur, natúrtalent
unscientific	óvísindaligur, ikki vísindaligur
unscramble	1(tlm.um tankar) fáa skil á, fáa í rættlag2(um boð) týða loyniskrift (kodu) til vanligt mál
unscreened	1óvardur, opin, berur2ósáldaður, ósílaður
unscrew	1skrúva av, skrúva leysan2(við ongum ávirki) losna, skrúva seg leysan
unscripted	sum gerel.sigur (eitt) ófyrireikaður
unscriptural	(átr.) ikki sambært skriftini
unscrupulous	fyrilitsleysur, við ongum fyriliti, samvitskuleysur, sum hevur ikki samvitskubit
unseal	bróta innsigli (t.da letter), bróta (upp), lata upp
unseam	spretta (seym) upp
unsearchable	órannsakandi, sum ikki rannsakast, loyndarfullur, duldarfullur, gátuførur, hulin, torskildur, torskilin
unseasonable	1óvanligur fyri árstíðina2óheppin, óhóskandi, sum sømir seg ikki (t.d.unseasonable humour)
unseasoned	1(mativiðv.) einki latið í, (tlm.) ikki smakka til; ókryddaður2goymdurel.(tlm.) lagraður (t.d.wood); ikki búgvin (t.d.crop)3óroyndur4(fl.m.) óbúgvin, grønur, óroyndur
unseat	taka (tingsess) frá, koyra úr(t.d.embæti), fella (t.d.unseat a Government),reka burtur (t.d.unseat a tyrant); be -ed(um reiðmann) rossið kastaði mannin av sær
unseaworthy	(um bát, skip) sjóringur
unsecured	1ótryggjaður, ikki tryggjaður2(handilsm.,um lán) gildisleysur, veðhaldsleysur, við ongum veðhaldi, við ongari trygd,(tlm.)dekningsleysur;unsecured creditkredittur við ongari trygd, blankokredittur;unsecured creditorótryggjaður ognari (við vánaligari trygd)
unseeded	(um tennisspælara) ikki undanskipaður; síseeded
unseeing	(skaldsk.) with unseeing eyesvið eygum, ið einki síggja//sóu
unseemly	1(forml.)ósømiligur, sum sømir seg ikki (t.d.mirth)2(forml.)óhóskandi
unseen1	1ólisinel.ókendur tekstur;do unseenslesa ókendar tekstir;Greek unseensókendir forngrikskir tekstir2the unseenósjónligi heimurin
unseen2	1óansaður, ógáaður, sum ein hevur ikki givið sær far um, sum ein hevur ikki givið gætur, sum ein hevur ikki varnast (t.d.dangers); ósjónligur, fjaldur (t.d.forces)2ólisin, ósæddur, ikki sæddur, ókendur(t.d.tekstur);unseen translationtýðing av ókendum teksti
unselfish	ósjálvsøkin, manngóður, sum ikki er særsøkinel.særlystur, næstakærur
unsensational	sum hevur einkiel.lítið uppá seg
unsent	ikki sendur, sum ikki er útsendur;unsent foróbiðin
unserviceable	ónýtandi, ónýtiligur, ónýtur, ógegniligur (t.d.rains have made the airfield unserviceable)
unset1	taka (gimstein) úr umgerð
unset2	1(um skreytlutir, brilluro.s.fr.) ógroyptur, sum ikki hevur umgerð, karmel.rammu uttanum2(um sement) óstadnaður
unsettle	1pilka við (eitt), vika (einel.einum)2fáa at ivast, órógva, skaka, ørkymla, gera ótryggan, stúrnanel.óttafullan
unsettled	1(um fólk) óróligur, ótryggur, fjálturstungin, skakaður, bangin, ikki í vøgu2(um viðurskifti) óstøðugur, ófriðarligur3(um veður) skiftandi, umleypandi (veðrið er umleypandiel.skiftandi),(eis.)ivaveður4(um skuld, rokning) ógoldin, ógreiddur5(um vandamál) ikki avgjørdur, óavgjørdur, óloystur6(um øki) manntómur, óbygdur
unsettling	ørkymlandi (t.d.the finale may come as an unsettling shock)
unsewn	come unsewnfara upp í seyminum, losna
unsex	(um konufólk) avkynja, gera ókvinnuliga;unsex oneselfavkynja seg, ikki bera seg at sum sømir seg konufólki (t.d.suffragettes were said to unsex themselves)
unsexed	1(um bæði kyn) við ongum kynsligum eyðkennum2ikki eyðmerktur sum kallkyn ella kvennkyn
unshackle	1loysa (úr fjøtrum/leinkjum), lata leysan, sleppa leysum2(sigl.)høgga úr, krøkja úr, skekla úr
unshackled	ikki bundin at (t.d.byconventionsat siðvenjuel.reglum)
unshaded	við ongum skuggum; fábroyttur, einsháttaður, eintáttaður, einvorðin (t.d.drawing)
unshadowed	við ongum skýggjum; (eis.) við ongum skugga, skuggaleysur (t.d.in times of unshadowed prosperity)
unshakeable	óvikandi (t.d.loyalty;faith), óvikaligur, óvikiligur, stinnur, avgjørdur, støðufastur, rimmarfastur, óbendiligur, fastur sum í berginum, sum ikki slakar, sum ikki fer frá sínum, áráðin
unshaken	óvikandi, óbendiligur (t.d.confidence, constancy, credit, faith, perseverance);fastur, stinnur; sum ikki letur við seg kenna
unsharpened	óbrýndur, óhvestur; óspískur, óhvassur
unshaven	órakaður
unsheathe	draga (svørð) úr slíðrumel.slíðra, bregða(t.d.svørði)
unsheltered	óvardur, veðurharður, veðurringur, vindsamur, opin, sum fær ikki lívd, ábært (bara íh),ástatt (bara íh),árent
unshined	ópussaður (t.d.shoes)
unship	1skipa upp, lossa2leggja (árarnar) inn;unship the tillertaka stýrið frá
unshod	skóleysur, berføttur; (um ross) óskógvaður
unshorn	ókliptur, síðhærdur; órakaður
unshrinkable	(um plagg) sum tódnar ikki
unshrinking	óttaleysur, djarvur, óræddur, uttan at himprast
unsightly	misháttur, ófríður, ljótur
unsigned	(t.d.skjal) ikki undirskrivaður
unsilt	dýpa, grava upp; reinsa (t.d.a canal)
unsinkable	sum søkkur ikki
unsized	ikki límaður (t.d.paper)
unskilful	klombrutur, óhegnigur, ikki fittur í hondunum
unskilled	sum hevur ikki lært handverk, ikki yrkislærdur, ófaklærdur;unskilled labourerarbeiðsmaður, slitmaður
unskilled labour	arbeiði ið ólærdur persónur ger
unslaked	ósløktur (t.d.unslaked thirst); unslaked limeóleskað kálk
unsleeping	(eis.ífl.m.) uttan at sova, ansin, eftiransin, skettin, eftirskettin
unsmiling	uttan at smílast, álvarsamur, svinnur, ovursvinnur
unsociable	sum er ikki vertskapligur, lítið vertskapligur,(tlm.)óselskapligur, (fólk flest siga helst) hann er ikki vertskapsmaður
unsocial	svinnur, óatkomandi, ókomiligur; tvitin, ólagaligur, stútutur; sum heldur seg fyri seg sjálvan;unsocial hoursóhøglig (forskotin) arbeiðstíð
unsold	óseldur (t.d.many of the houses remain unsold)
unsolicited	óbiðin; sum ein hevur ikki biðið um; sjálvboðin (t.d.offer)
unsolved	óloystur, ógreiddur (t.d.problem; murder)
unsophisticated	1(um fólk) ikki uppgjørdur, ótilgjørdur, natúrligur, vanligur2(um lut, mannagongd) einfaldur
unsound	1ringur fyri heilsuna,(tlm.)ósunnur2skirvisligur(t.d.veggur)3(um fíggjarstøðu) veikur, óhollur; (um íløgu) ivasamur4(framsøgn, útsøgn, uppáhaldo.tíl.)sum einki hald er í, haldleysur (t.d.conclusion)5heilsuveikur, sjúkligur6(um vøru) skaddur7(um frukt) spiltur, (um við) rotin, vánaligur, (um hest) vánaligur8svikaligur; óálítandi, lítarleysur9[íyms.samb.]of unsound mind (løgfr.)sinnisbrekaður;while of unsound mind (løgfr.)í sinnisørsku;unsound sleepófriðarligur/óróligur svøvnur
unsounded	1sum ikki er ýtaðurel.peilaður av, ikki loddaðurel.skantaður2ikki framborinel.úttalaður (t.d.unsounded letterbókstavur)
unsparing	1miskunnarleysur, eirindaleysur, náðileysur, harður, náðileysa harðurel.strangur (t.d.she is unsparing in her criticism)2gávumildur, leysur á hondini, rummiskur, stórtøkin; findarblíður, hjartaligur (t.d.he is unsparing of his own peace and comfort)
unspeakable	1ósigandi, sum ikki kann sigast frá, øtiligur, ræðuligur (t.d.unspeakable horror);sum ikki kann úttalast (t.d.name)2ólýsandi3(um góðsku) undir øllum lágmárki (t.d.the hotels there are unspeakable)
UN Special Agencies	serstovnar undir ST
unspecific	óneyvur, ikki neyvur, óítøkiligur, ónágreiniligur, ógreiður, óklárur (t.d.he was unspecific about his relationsip with Mary)
unspecified	sum er ikki nágreiniliga greindur; ikki tilskilaður (t.d.at some future unspecified date)
unspectacular	vanligur, sum hvørki er spennandi ella serstakur (t.d.he had a steady but unspectacular career)
unspoiled,unspoilt	1(um øki) óspiltur2(um fólk og børn) óspiltur(t.d.sjálvt um hann er vorðin heimskendur)
unspoken	1ósagdur, sum er ikki borin upp á mál; tigandi(an unspoken agreement)2un unspoken battleorðleyst stríð
unspool	spola av, vinda av spola
unsporting,unsportmanslike	(niðr.)sum ikki fer væl við fólki, ósportsligur(serst.um hvussu ein fer við mótspælara)
unspotted	lýtaleysur, reinur
unstable	1óstøðugur; skinklandi, sum ridlarel.skinklar, sum er ikki í vøgu, ótryggur2(um stjórn) sum ridlar3(stevi, rytmuviðv.)skiftandi, óregluligur, ójavnur (t.d.heartbeat; pulse)4(um lyndi) skjótur hvønn vegin, óálítandi, lítarleysur, bráður5(evnafr.)óstøðugur
unstable equilibrium	ronk vøga
unstained	1við ongum blettum el. plettum; (ífl.m.) lýtaleysur, ómerktur2óbeisaður, ikki beisaður
unstamped	1óstemplaður (t.d.document)2ópostaður, vð ongum frímerki á (t.d.letter)
unstarched	1ikki stívaður, óstívaður, bleytur2(fl.m.) ikki stívur, svinnurel.ósmidligur, natúrligur, óhátíðarligur
unstated	ósagdur, ónevndur, sum er ikki borin upp á mál
unsteady	1óstøðugur; ótryggur, óstúttur, sum stendur illa (t.d.unsteady ladder)2vinglutur, óstúttur, óstøðuligur, sløtrutur (t.d.unsteady on his legs),(um hendur) fafta áel.við, vera risthentur (t.d.with an unsteady hand)3óregluligur (t.d.unsteady pulse)4(um lyndi hjá fólk) óstøðugur, óálítandi, lítarleysur, bráður, skjótur hvønn vegin; (um levnað) óregluligur
unstep	(sigl.)leggja (mastur), taka (mastur) úr sporinum
unstick	1loysna2(flogm.) fara uppfrá, fara á flog
unstinted	1oyðslutur, leysur á hondini, gávumildur, stórtøkin, rummiskur2his unstinted effortshann møddist ikki í arbeiðnum3av fullum huga, treytaleysur, heilhugaður(t.d. praise); ektaður (t.d.admiration)
unstinting	1(forml.)stórtøkin, hásinnaður, sum er leysur á hondini, gávumildur, sum er givið av fullum huga2treytaleysur, av fullum huga (t.d.unstinting praise)
unstitch	spretta upp, pilka sundur
unstop	1lata upp, togael.draga (propp) úr2(har tað er tipt) fáa at renna aftur, reinsa
unstoppable	sum ikki er til at steðga, sum ikki kann steðgast
unstopped	1ikki tiptur, ótiptur2(ljóðfr.) opin (consonanthjáljóð)
unstrained	1ósáldaður, ósílaður2fríur, ótvingaður, natúrligur
unstrap	loysa reimarnar (reimina) av (t.d.unstrap a trunk),lata upp
unstressed	(ljóðfr.)sum hevur ikki herðing, herðingarleysur (t.d.an unstressed syllable)
unstriated	(likam.)unstriated muscleslættur vøddi
unstring	1(um streingjaljóðføri) loysa strong (streingir), taka strong (streingir) av (t.d.to unstring a violin)2(um perlur) taka av bandi (t.d.unstring some beads)
unstrung	1(um fólk) østur, uppi á floti, fjálturstungin; síunnerveogunnerving2(um streingjaljóðføri) við leysum streingjum, við slitnum streingi, streingjaleysur
unstuck	come unstuck1ikki límaður samanel.samanklistraður; losnaður, fara upp í límingini2(fl.m.) miseydnast, enda úrslitaleyst, einki spurdist burturúr; koma illa fyri;he came unstrung (tlm.)tað gekk gekk bara skeiva vegin hjá honum
unstudied	1sum ein hevur ikki kannað, sum ein hevur ongar royndir í21sum hevur ikki lisið2ikki kønurel.kunnugur í3ótilgjørdur, ikki uppgjørdur, natúrligur, ótvingaður
unsubscribe	(teld.)strika sum móttakara
unsubstantial	1ov lítil, slættligur (t.d.unsubstantial meal)2ikki sterkur3óveruligur, ímyndaður4haldlítil, sum ov lítið hald er í (t.d.unsubstantial evidence)
unsubstantiated	ógrundaður, ólýstur (t.d.unsubstantiated assertion);óváttaður, leysa- (t.d.unsubstantiated rumour)
unsuccessful	1sum eydnast ikki, miseydnaður (t.d.attempt; experiment);úrslitaleysur (t.d.efforts)2(um fólk) sum hevur ikki framgongd, sum er óheppin3[íyms. samb.]he was unsuccessful (eis.)tað miseydnaðist hjá honum;he was unsuccessful in + -ingtað miseydnaðist hjá honum, at; tað eydnaðist ikki honum, at (t.d.stopping it)
unsuccessfully	til fánýtis, til onga nyttu
unsuitable	1óskikkaður; óhóskandi, ónýtiligur (t.d.timber unsuitable for building)2sum ikki hóskarel.passar til, mismennið(t.d.hetta er so mismennið); ónýtiligur
unsuited	óskikkaður (t.d.for the job),sum ikki hóskael.passa saman;they are unsuited to each othertey hóska ikki saman
unsullied	ódálkaður, lýtaleysur (t.d.an unsullied reputation)
unsung	ósungin; sum eingin hevur róst, sum hevur ikki verið lovprísaður (t.d.the unsung heroes)
unsupported	1óstuðlaður, sum ikki er skorðaður2(um ástøði) sum einki hald er í, haldleysur3(um fólk: við pengumo.tíl.)sum ongan styrk, studningel.stuðul fær, sum onga hjálp fær, óhjálptur
unsure	sum ridlar, sløðrar. skinklarel.vavlar á beinunum (t.d.unsure on one's feet); sum vantar sjálvsálit (t.d.unsure of oneself)
unsurpassed	sum einginel.einki kann javnmetast við, framúrskarandi, sum hevur ikki sín javnlíka, makaleysur, frálíkur, einsýnur, einskilaður, millum teir bestu, sum tikin úr leikum, sum hevur ikki sín maka
unsurprising	sum ger ongan kløkkan, sum kemur ikki óvæntað (t.d.the outcome of this banal film is not unsurprising)
unsuspected	1(um fólk) sum eingin hevur illgruna til, sum er ikki undir illgruna, ikki mistonktur2(um viðurskifti) óvæntaður, sum eingin grunar, sum eingin visti (t.d.she displayed an unsuspected talent for comedy)
unsuspecting	sum veit av ongum
unsuspicious	góðtrúgvin, góðvarin, sum trýr øðrum væl til, sum hevur álit á øðrum; sum ongan grunael.illgruna hevur
unsustainable	sum kann ikki halda fram, sum kann ikki varðveitast; haldlítil, óhollur, svikaligur, sum einkiel.ov lítið hald er í, sum heldur ikki (t.d.position; opinion)
unswathe	taka úr reivi, taka reivið av
unswear	taka aftur (eið); avnokta við eiði (t.d.one's former belief)
unswerving	sum ikki gleppur; hollur; sum svitast ikki, ósvitaligur, ótroyttandi, støðufastur, óvikandi (t.d.fidelity; loyalty)
unsymmetric,unsymmetrical	ómakaskapaður, ómakaður, ósamskapaður (um tveir helmingar), symmetriskur
unsympathetic	1ódámligur2(við onnur) sum ikki hevur samkenslu, líkasælur, harðhjartaður, kaldligur;be unsympathetic tohalda lítið um
untainted	óspiltur (t.d.food),; lýtaleysur (t.d.reputation)
untameable	ótemjandi (t.d.wild animals; impulse)
untamed	ótamdur;untamed horsesótamd ross
untangle	1greiða fløkju; loysa (knút)2(fl.m.)greiða fløkju, greiða vandamál, fáa greiðu á (t.d.untangle the legal complexities)
untapped	1(t.d.um bjór) ikki avtappaður, ikki latið á fløskur2sum enn er ikki nýtturel.royndur, ikki gagnnýttur, ónýttur, óroyndur(t.d.óroyndir møguleikar) (t.d.an untapped source of wealthel.talent; draw on untapped reserves of strength)
untarnished	1(eis. fl.m.)ikki áfallin(t.d.áfallin ljósastaki), ikki litfarin, ikki kastaður; sum glitrar, skyggirel.glógvar (við sama lag)2lýtaleysur
untarred	óbræddur, ótjøraður
untasted	he left his dinner almost untastedhann fór frá borði og hevði nóg illa leskað matin
untaught	ólærdur, óskúlaður; viðføddur, íborin; natúrligur; óvitandi
unteach	fáa at gloyma, læra nakað annað (enn ein hevur higartil lært)
untempered	(fl.m.) ikki afturblíðkaður
untenable	sum ikki kann uppihaldast, haldlítil, óhollur, svikaligur, sum einkiel.ov lítið hald er í, sum ikki heldur (t.d.untenable arguments, untenable claims);the allegations against him have left his position as minister untenableákærurnar hava gjørt støðu hansara sum ráðharri óhollael.ivasama
untenanted	leysur, tøkur (t.d.flatíbúð)
untended	órøktur, ófantaligur;have u. hårhava skitið hár
unthaw	tiðna
unthinkable	1óhugsandi, sum eingi líkindi eru fyri, ósannlíkur, sum torført er at ímynda sær, ótrúligur (t.d.war was unthinkable)2(um okkurt ræðuligt) ófatiligur, óskiljandi (t.d.tragedy)
unthinking	1tankaleysur, gáloysin, fummisligur, busutur, sum ikki hugsar seg um2óhyggin, óvandin, kritikkleysur (t.d.acceptance)
unthinkingly	uttan at hugsa seg um, uttan at umráða seg; av óvart, av tilvild, í gáloysni, uttan at vita av, ó(av)vitandi, ótilvitandi, ikki við vilja
unthought-of	sum ongum rann í hug, sum eingin hevði dugað at ímyndaðel.hugsað sær, óvæntaður
unthread	1taka tráð úr(t.d.nál)2(fl.m.)greiða, loysa (t.d.mystery), rekja (upp træðrirnar í máli); finna leið út úrel.burtur úr einum
untrifty	oyðslutur, oyðslusamur, amutur, skruttutur; sum dugir ikki á húsa, sum loysir seg ikki fíggjarligael.búskaparliga, óøkonomiskur
untidy	1óruddiligur2(um fólk) ófantaligur, órøktur, skitin
untie	1loysa upp; loysa(t.d.lissur/tveingir)2(um fólk, dýr) loysa, sleppa leysum
until	til, til tess, inntil (t.d.wait until she arrives); not untilikki fyrr enn, tástani
untilled	óveltur, ódyrkaður, ópløgdur, sum liggur í forna
untimbered	skógarleysur(t.d.øki)
untimely	1(forml.)ov tíðliga, alt ov ungur at fara (t.d.his untimely death)2(forml.)óhóskandi, í ótíð, betri ósagt, (orð) sagt í ótørvi (t.d.untimely joke);óheppin (t.d.at an untimely hour)
untiring	ómøðiligur, ólúgvandi, ótroyttiligur, tógvin, ótroyttandi
untitled	1navnleysur (t.d.an untitled piece of music)2ógrundaður, við ongum rætti, av órøttum, við ongari heimild, heimildarleysur, í heimildarloysi3navnbótarleysur, ótitlaður, við ongum titli, (tíðum) ikki aðalsfólk
unto	(gl., serst. bíbl.)til
untold	1(um søgu) ósagdur (t.d.untold tales)2sum ikki kann sigast frá, ósigandi (t.d.untold suffering),ólýsandi, sum ikki kann lýsast (t.d.misery)3óteljandi, ótaldur (t.d.during untold centuries); untold wealthómetaligt(el.ómátaligt) ríkidømi
untouchable1	(í India) kastloysingur, stættloysingur, paria, at vera stættleysur
untouchable2	1sum eingin kann revsael.finnast at (t.d.given his political connections, he thought he was untouchable)2ónertiligur, sum ikki nertastel.nemast má við (t.d.leperslíktráel.spidalsk)3(í India) stættleysur, óreinur (pariastættin)
untouched	1kaldur, róligur, órørdur, sum ikki letur við seg koma, sum ikki letst um vón2(um máltíð) sum eingin hevur leskaðel.smakkað
untoward	1óheppin, óhóskandi; óvæntað og óheppið (t.d.that’s the plan - unless something untoward happens);sum ger ein illa við, keðiligur, pínligur2(gl.)sjálvráðin, treiskur, tvørur
untraceable	sum ber ikki til at finna, sum er farin undir heilt, sporleysur, horvin; órannsakandi
untrained	1óvandur, sum er ikki vandur;to the untrained eyehjá leikmanni2(um rødd, vit) óskúlaður3(um dýr) ótamdur, óvandur
untrammelled	(forml.)ótarnaður, óhindraður, ódarvaður
untranslatable	ótýðandi, sum ikki ber til at týða
untravelled	sum hevur ferðast lítið (t.d.person); lítið nýttur, lítið vitjaður (av ferðafólkum) (t.d.road; forest)
untreated	1óviðgjørdur, sum hevur ikki fingið viðgerð2(um vatn) óreinsaður
untried	1(um mannagongdo.tíl.)sum hevur ikki verið roynt fyrr2sum hevur ikki verið stillaður fyri dómstól (t.d.condemn a man untried)3(um fólk) óroyndur
untrimmed	órøktur, ófantaligur, ósnøggaður (t.d.beard); ókliptur, ikki kliptur; (um bók) óstytt, í fullari longd
untrodden	ógingin, ótroddur, óslóðaður, óruddaður, ikki ruddaður, har ikki er slóðað fyri
untroubled	1órørdur, ónervaður, róligur, sum ikki letur við seg koma, sum ikki letst við, sum ikki letst um vón2róligur, góður (t.d.sleep)
untrue	1ósannur, rangur, skeivur, ikki eftirfarandi;the rumour was untrueleysasøgurnar vóru ósannar2ikki í samsvari (tovið) (t.d.untrue to type)3(um fólk) ótrúgvur, óálítandi, ikki hollur, falskur
untrustworthy	óálítandi, lítarleysur
untruth	ósannindi, lygn (t.d.of a rumour)
untruthful	1ósannur, ikki sannorðaður, ikki sannsagdur2 lygisamur, sum lýgur,
untruthfully	(eis.) sum er ikki í samsvari við sannleikan (t.d.No, he said untruthfully I do not play tennis)
untuck	smoyggja niður um armar
untuned	1ikki stillaðurel. (tlm.)stemmaður (t.d.piano)2skeivt stillaður, ikki rætt stillaður (t.d.mptor; antenna)
unturned	ikki vendur (við);leave no stone unturned(fl.m.) ikki lata stein eftir á steini
