w.	(st.)1weight2with
want2	1tørva (einum tørvar), vanta (einum vantar),(tlm.)mangla (einum manglar) (t.d.the room only -s a few extra chairs to be comfortable; my coat -s an inch or two to make it the proper length); be wanting inhava ov lítið av, skorta (t.d.initiative//intelligence//tact; qualities in which he was conspicuously wanting);sakna, resta (einum restar), skorta (einum skortar);she does not want intelligencebýtt er hon ikki;he -s someone to look after himhonum tørvar, at onkur tekur sær av honum; nýtast, tørva (t.d.do you have everything you want?; children want plenty of sleepbørnum tørvar nógvan svøvn)2(um krav) vilja hava (t.d.want an apology; he wants everything he sees; do you want a cup of coffee?);(ynskja) vilja fegin hava (t.d.I want my breakfast now; I want some socks, please)3(gáva) ynskja sær, vilja hava (t.d.what do you want for your birthday?; just what I have always -ed!);(at fríggja við) hava hug á (t.d.I have -ed you since I first saw you)4(tlm.revsing) hava uppiborið, eiga at fáa, átti at fingið (t.d.he -s a kick up the backside; that kid -s a slap)5vilja tala við (t.d.tell Jones I want him; mum -s you)6(um løgreglu) leita eftir, sóknast eftir (t.d.he is -ed by the police)7(+nh:ísamb.við tilráðing, eini ráð) vilja fegin, hevði fegin viljað (t.d.I want to apologize; he -s to see the garden);vilja (t.d.the boss -s to see you);muga (t.d.one -s to be careful in handling a gun);skula (t.d.you don’t want to be rude);eiga at vera (t.d.you want to be careful)8(við ongum ávirki) kunna (t.d.you may go now if you want)9líða neyð (t.d.we must not let them want)10[íyms. samb.]want +ing(tlm.)treingja til at verða, tørva at verða (t.d.the house -s painting; his hair -ed cutting);whatdo you want?(vísa frá sær) hvat er nú?, hvat vilt tú?;she has himwhereshe -s himhon hevur ræðið á honum11[ísamb. viðfs//hj]wantfor(gl. el. forml.)vanta, tørva, skorta,(tlm.)mangla, treingja til (t.d.they want for nothing);sakna;what does he wantfromme?hvat vil hann mær?, hvat vil hann hava meg at gera?;wantin(tlm., serst. am.)1vilja fegin sleppa inn2fegin vilja sleppa viðel.uppí;wantofsíomf.: want from; it -s a few minutes of two o’clockklokkan er nakrar fáar minuttir í tvey;you are -edonthe phonetað er telefon til tín;wantout(tlm., serst. am.)vilja sleppa út;I want him out of the houseeg vil hava hann út hiðan;wanttosí 4, 7;she -ed no-thing more than totað einasta hon vildi; tað hon helst vildi (t.d.be left alone); want sby tovilja hava, at ein skal (t.d.she -s you to help her); it -s two minutes to the hourklokkan er tveir minuttir í tvey;what does she wantwitha new car?nýtist henni nýggjan bil?
want ad	(am.)smálýsing (lýsing í blaði har sóknast verður eftir onkrum)
wanted	1(av løgregluni) sum leitað verður eftir, sum sóknast verður eftir (t.d.one of the most wanted criminals);eftirlýstur (t.d.he is wanted in connection with the murder)2[íyms. samb.]be wanted(um barn) verða ynsktur;feel wantedvita, at onkur hevur brúk fyri einum; vita, at onkrum tørvar ein
wanting1	1ófullfíggjaður, ófullkomin, vantandi, skortandi, ávantandi, sum vantarel.restar í; ónøktandi, ikki nøktandi; ikki nóg góður; ov vánaligur2[íyms. samb.]bewantingvera burturímillum, vera burtur (t.d.there is a book wanting); he is a little wanting (tlm.)hann er eitt sindur smalur(t.e.ikki serliga gløggur);bewantinginbila, tróta, vanta (t.d.be wanting in initiative);findit wantingikki halda eitt vera nøktandi (t.d.they found the government’s policy wanting); weighed and found wanting (bíbl.)vigin á vágskál, men funnin ov lættur (Dán. 5, 27)
wanting2	uttan, við ongum (t.d.wanting common honesty nothing could be done);minus (t.d.a year wanting three days)
want list	ynskilisti, listi við ynskjum
wanton1	(gl.)sletta, flenna, slettut konufólk, teys
wanton2	flákra, sverma, beistast, bólta sær
wanton3	1ábyrgdarleysur gáloysin, óansin, óskettin, tankaleysur, ótonktur (t.d.destruction);við ongum fyriliti, fyrilitsleysur, eirindaleysur (t.d.cruelty)2skilaleysur (t.d.attack)3(gl.:um konufólk) leys upp á tað, flogsut, ósiðilig, slettut, leyslátað4(skaldsk.,um fólk) skemtingarsamur, ovfarakátur, glaður5(skaldsk;um vøkstur) villur, gróðrarmikil, frekur, blómandi
WAN/wide area network	(teld.)fjarnet
wapiti	(dý.)vapitihjørtur(Cervus elaphus)
wappy	Swhappy bleedertín kúla; síwhopping
war1	1kríggj, bardagi, orrusta, (her)stríð, ófriður2(fl.m.)stríð3[íyms. samb.]war of attritionpøsingarkríggj, útlúgvingarkríggj;declare war on Japanbjóða Japan av í kríggj;declare war on (fl.m.)fara í hernað ímóti (t.d.corruption; drugs); make/wage war onkríggjast við4[ísamb. viðfs]atwar í stríði/kríggi/bardaga(withvið);(fl.m.)í stríði, (teir vóru) í hornatøkum;he has beeninthe -s (fl.m.)hann er illa farin;council of warherráð;the fortune of warkrígshepni, krígslukka, krígseydna;war of wordsorðastríð;on a war footingvera stríðstilbúgvin;gotothe -sfara í kríggj;war to the knifeberjast á harðar hendur;the war between the sexesstríðið kynjanna millum;the war against disease; war of nervesnervakríggj
war2	vera í kríggi við, kríggjast við (t.d.war with[against]a country; constantly warring against corruption)
war baby	krígsbarn (barn føtt í krígstíðserst.um barn har pápin ger hertænastu)
warble1	1tirla, trilla, ljómur, lát, at láta2(á rossi) bløðra, blæma, bremsusvullur3(dý.)bremsumaðkur (avOestridae)
warble2	láta darrandi, tirla, trilla, láta
warble fly	(dý.)bremsa(Oestridae)
warbler	ljómari(Sylviidae); river warbleráarljómari(Locustella fluviatilis); Radde’s warblerbirkiljómari(Phylloscopus schwarzi)
warbling	tirla, trilla, ljómur, lát
war bond	krígslánsbræv
war bride	krígsbrúður (genta sum giftist hermanni í krígstíð)
war by proxy	staðgongukríggj (t.d.stríddust kurdar í sýriakrígnum fyri egin áhugamál, men eisini fyri amerikanarar, sum høvdu somu hernaðaráhugamál sum teir sjálvir høvdu og fingu tessvegna hernaðarútgerð frá amerikanarum); eis.proxy war
war captive	herfangi, krígsfangi
war chest	1krígskassi2(am.)[kassiel.grunnur sum gevur íkast til krígsgóðgerðararbeiði]
war-crazy	krígsgraður, krígshugaður
war crimes	krígsbrotsverk
war crimes tribunal	krígsbrotsmannadómstólur
war criminal	krígsbrotsmaður
war cripple	krigsavlamningur, krígsavlamingi
war cry	herróp, stríðsróp
ward1	1(á sjúkrahúsi) deild (t.d.a materity//psychiatric//surgical ward)2(ísamb.við kommunuval) býarøki, valdømi3(am.;í fongsli) deild4(løgfr.)aldursómyndingi sum er undir umsjón5varðhald (t.d.be under ward)6(í skógi) skógarøki7(í lási) mein, meinjørn8[íyms.samb.]ward in chancery, ward of courtómyndingi undir verjamáli rættarins hjáthe Court of Chancery (el.verji, ið er tilnevndur av hesum)
ward2	(gl.)verja;ward offforða, hindra, verja seg fyri, bøtael.lofta(t.d.høggi); styggjael.reka burtur (t.d.evil spirits)
war dance	krígsdansur, stríðsdansur
warden	1umsjónarfólk, vørður (t.d.a park warden);varðmaður, vaktarmaður, vakt; (í fongsli) fongsulsstarvsfólk2(á stovni; vallaraheimi) fyristøðufólk (t.d.a college warden)3(serst. am.)fongsulsfyristøðumaður, fongsulsstjóri4(churchwarden)kirkjuverji5(traffic warden)parkeringarvørður6(air-raid warden)bumbuskýlisvørður
warder	1fangavørður, fongsulsstarvsfólk2(gl.)valdssproti3(gl.)varðmaður, vakt
ward heeler	(am. tlm., niðr.)trúgvur partamaður, lýðin floksfelagi
wardress	kvinnuligur fangavørður fongsulsstarvskvinna
wardrobe	1klædnaskáp, klædnarúm2klæðir (t.d.a spring wardrobe)3(sjónl.)leikbúnadeild; skraddarastova, seymistova; (klæðir) búnar
wardrobe master	(sjónl., film.) klædnagoymsluleiðari
wardrobe mistress	(um konufólk) síwardrobe master
wardrobe trunk	kuffert við skápum, skápskuffert
wardroom	(herm, sigl.)yvirmannamessa, matarsalur og setstova hjá yvirmonnum
ward round	(á sjúkrahúsi) stovugongd;go the ward roundganga stovugongd
-ward(s)	(eftirskeyti) sum horvir ímóti, [fram, yvir, omano.tíl.)(t.d.seaward[s])
wardship	verjamál
ward sister	(uml.)deildarsjúkrasystir, deildarsjúkrarøktarfrøðingur
ware	1vøra;(t.d. aluminium ware);sí eis.wares2glasað leirvøra,(tlm.)steintoy
war effort	krígsavrik,(tlm.)krígsinnsatsur
warehouse1	1goymsla, goymsluhús,(tlm.)pakkhús2(niðr.)goymslustaður (t.d.the place is just a warehouse for old people)
warehouse2	1goyma (burtur), leggja til viks2(fl.m.)goyma, varðveita, hava í varðveitslu, herberga
warehouse book	goymslubók
warehouse charges	goymsluhúsleiga
warehouse dues	goymslugjald
warehouse keeper	fyristøðufólk á goymsluhúsi
warehouseman	1goymsluhúseigari2fyristøðufólkel.formaður á goymsluhúsi, goymsluhúsformaður3goymslumaður, fólk ið arbeiðir í goymsluhúsiel.pakkhúsi4heilsølufólk, heilsølumaður
warehouse rent	goymslugjald
warehousewarrant	(vøru)goymsluváttan, (vøru)goymsluprógv
warehousing	goymsla, at goyma (eitt) í goymsluhúsi
wares	1vørur (sum ferðasølumaður selur) (t.d.a pedlar selling his -s)2(í samansettum orðum) -vørur(flt)(t.d.ironware, glassware);-vørur, -toy (t.d.silverware; stoneware)
warfare	krígsførsla, hernaður, kríggj, ófriður
war fever	krígsfagnaður, krígsgessur
war footing	hertilbúgving, krígstilbúgving;the army was on a war footingherurin var krígstilbúgvin
war game	1(herm.)krígsspæl, (ástøðilig) hervenjing, hermannavenjing2(tlm.)pappírskríggj
warhead	(herm.) spreingiløðing (í spreingju, torpedoo.s.fr.);atomic warheadkjarnorkuspreingiløðing
warhorse	1royndur maður; royndur politikari2(sø.)stríðshestur
wariness	varsemi, varni (h)
warlike	hermansligur, stríðshugaður, stríðsfúsur, hernaðar-, krígs-
warlock	(gl.)gandakallur, trøllmaður
warlord	1krígsharri, herforingi2grimmur harðstjóri
warm1	1hita2hita upp;warm (up) to one’s workkoma á lagið(t.d.í arbeiðnum), fáa áhuga fyri arbeiðinum3[íyms. samb.]it -s the hearttað fløvar; tað ger ein heitan um hjartað;warm to one’s subjecttosa/tala seg heitan um eitt evni4[ísamb. viðfs//hj]warmover(am.)1(um mat) heita upp2(fl.m.)gera ein saman-vastur (burtur úr øðrum);warmto 1gerast áhugaður í (t.d.the idea; one’s work)2(um fólk) fara at dáma, fara at halda av;warmup 1hita upp2(um mat) heita upp3(við ongum ávirki) gerast kátari;the party began to warm upfólk komu í gott veitslulag;warmup to=warm to
warm2	1flógvur, heitur (t.d.warm blood//weather//room)2(fl.m.)góður, hjartaligur, heilhugaður (t.d.warm welcome, warm admirer, warm heart)3(uppøstur) ógvisligur4(um spor, slóð) feskur, nýggjur5(tlm., fl.m.)(ov) heitur (t.d.the place was getting too warm for me)6[íyms. samb.]you are (getting) warm (eis.)tú brennur teg (í barnaspæli);make things/make it warm for himhann skal fáa annað at síggja, eg skal níva honum, eg skal gera honum tað stríggið, hann skal ikki rósa av ferðini;warm workarbeiði ið fær sveittan at perla av einum
warm-blooded	1(um dýr) blóðheitur, við heitum blóði;warm-blooded animalsblóðheit dýr2fýrisligur, fýrigur, eldhugaður, ivrigur, sprækin, við heitum blóði
warm corner	(fl.m.)árent, ástattel.ábært stað, andglettur, at vera í andgletti, ein (eitt), ið stendur fyri høggi
warmed-over	(am. um mat)uppafturheitaður, uppafturhitaður
warmed-up	1(um fólk, maskinu) upphitaður2(um mat) uppheitaður3(fl.m.)sum hevur verið nýtt fyrr, gamal;warmed-up ideassamanvavstur av gomlum hugskotum
war memorial	krígsminnisvarði
warm front	(veðurfr.) hitabrúgv
warm-hearted	hjartagóður, hjartaligur, heithjartaður
warming	Savsmyrjing, smurningur, at verða avhølvaður
warming pan	1(gl.)glóðker, seingjarhitari2Slánslærari, vikarur; ein ið bráðfeingis situr í starvi hjá øðrum (fólki)
warming up	upphiting
warmonger	krígsøsari, krígsgessari, krígseggjari, krígsøsingarmaður
warmth	1varmi, hiti, fløvi2(fl.m.)eldhugi3(um lit) fagurleiki
warm-up	upphiting;-s (am.)=warm-up suit
warm-up suit	venjingarbúni
warn	1(um vanda) ávara, minna á, gera ein varan við, gera vart við, siga frá, lata vita2(um fráboðan) boða einum (okkurt); kunna um; ávara, varskógva3[íyms. samb.]be -edansa//ansið eftir!;warn sby that1ávara ein um at, gera ein varnan við at2geva boð, varskógva ein um at (t.d.there will be an extra person for dinner)4[ísamb. viðfs//hj]warnagainstvara ein við eitt, ávara ein um;warn ofvara ein við, minna ein á; geva (einum) boð um, siga (einum) frá, ávara um;warn sbyawaysínðf.: warn off;1warn sbyaway fromsínðf.:2warn of (smb. 1, eis.)gera ein varan við;warn sbyoff 1sýta einum atgongd til, vísa einum frá sær2(+ ávirki) ráða einum til at halda seg burtur; forbjóða einum atgongd til (t.d.one’s land);vísa einum burtur, útihýsa einum frá;warn sbyoff + ingávara ein frá at (t.d.going there); warn sbytoráða einum til at (t.d.warn them to be on their guard);leggja einum eina við;warnnot toávara ein um ikki at
warning1	1ávaring(againstímóti;ofum)2(um eitt, ið ein hevur fingið fráboðað frammanundan) fyriboðan, fyrivarning(ur), varningur, fyriburður, fyridøttur, undandøttur (t.d.they had no advance warning of the problems//that he would leave; shoot without warning); take warning fromlæra av
warning2	ávarandi, ávaringar- (t.d.he lifted a warning finger)
warning cry, cry ofwarning	ávaringarróp
warning lamp	ávaringarlampa
warning shot	ávaringarskot
War Office	(sø.) the War Officebretska verjumálaráðið (nú:Ministry of Defence)
war of national independence	tjóðskaparligt frælsisstríð
war of national liberation	tjóðskaparligt frælsisstríð
war of nerves	nervakríggj
warp1	1vindskurel.tryglaður viður2(sigl.)varp, tog, endi, trossi3(í lyndi hjá fólki) avlaging, avskepling, avskeplan4(í veving) garn, renning5(jarðfr.)kleimi
warp2	1(um við) tryglast, verða vindskur(t.d.borðfjalirnar eru tryglaðar), skjótast; fáa at skjótast(o.tíl.)2(fl.m.:um lyndi, sinnalag) avskepla(st), avlaga(st); (um frásøguo.tíl.)avbrongla, reingja3(sigl.)varpa, flyta skip við at draga tað fram við varpi4(landb.um mold) kleima, taða við kleima(nkleimi) (leirløguel.leirmold, sum setst, har sjógvur fløðir inn á vátlendi)
war paint	stríðsmáling, stríðslitur, krígsmáling
warpath	krígsstíggjur;be on the warpath(eis.íflm.) vera stríðsfúsur/stríðshugaður/bardagahugaður
warped	1(um lut) skeivur, vindskur2(fl.m.:um fólk) avskeplaður, sjúkur
warping	(sigl.)tað at flytael.forhála skip;warping endspælkoppur
warp knitting	ketubinding
warplane	stríðsflogfar, herflogfar, hernaðarflogfar
war profiteer	krígsspekulantur (maður ið fær órímiligan vinning burtur úr at selja vápn til báðar//allar stríðandi partar)
warrant1	1(løgfr.)úrskurður, dómur2(skjal) prógv, váttan;(viðv.vørum) goymsluváttan;(viðv.gjaldi) ávísing3(handilsm.;virðisbrøvumviðv.) warrantstíðaravmarkaður tekningarrættur4(herm.)setanarbræv, starvsviðurkenning5(smb.warrant2)veðhald, trygd6loyvi (t.d.without warrant),heimild7(skrivlig) fulltrú8[íyms. samb.]warrantfor 1(forml.)heimild til2(løgfr.) úrskurður um;issue a warrant for his arrestgeva boð um at handtaka hann;there is no warrant for the assumption (forml.)tað er eingin orsøk til at halda;without warrant (forml.)óheimilaður, í heimildarloysi;warrant of attorneyfulltrú til sakførara, sakførarafulltrú, advokatfulltrú
warrant2	1heimila, rættvísgera (t.d.nothing can warrant this interference)2tryggja, vissa, taka ábyrgd fyri, svara fyri (einum) (t.d.I warrant that he will come; the accuracy of the report; that the standard is satisfactory); I’ll warrant that (gl.)eg eri ivaleysur í, at; eg ivist onga løtu í, at
warrantable	ráðiligur, forsvarligur, loyvdur; rættur, løgligur
warrant card	samleikaprógv
warrant officer	[hermaður sum hevur tignarstøðu millum foringar (heryvirmenn, offiserar) og undirforingar (undiryvirmenn, undiroffiserar);commissioned officersognon-commissioned officers)]
warrantor	ábyrgdarfólk, ábyrgdari
warranty	1trygd, veðhald, garanti;under warrantyumfataður av garantiinum2heimild, grundarlag, fulltrú, umboð
war-ravaged	sundursoraðurel.javnaður við jørðina av krígsávum
warren	1kaningarður, kaninbýli, kaninbøli;pheasant warrenfasangarður2villiniborg, hurlivasi (t.d.a warren of narrow streets)3(fl.m.)vánalig leiguhús, tættbygdur býlingur; (hús) rottureiður
war-rich	síwar profiteer
warring	1hernaðar-, stríðs-, stríðandi, sum eru í kríggj (t.d.the warring parties)2(fl.m.)ósambærligur, sum ikki samtykkja(t.d.uppfatanir ið ikki samtykkja)
warrior	hermaður, stríðsmaður, krígsmaður;the Unknown WarriorÓkendi hermaðurin
war risk insurance	(trygg.) krígsstrygging, krígsváðatrygging
Warsaw	Varsjava
war scare	stúran fyri kríggi, krígsótti
warship	herskip
war strength	stríðsmegi, hermegi (í stríðsárum)
wart	1finnur, kambfjøður2-s and allvið øllum hansara/hennara lýtum (t.d.she loves him, -s and all); paint him -s and alllýsa hann sum hann í roynd og veru er, lýsa hann út í æsir/til fulnar/til lítar, djúptøkin lýsing av honum
warthog	(dý.)finnusvín(Phacochoerus aethiopicus)
wartime	stríðsár, krígstíð;in wartimeí krígnum, í krígstíð
warty	finnutur, kambfjaðra-, við nógvum kambfjaðrum
war vessel	herskip
warweariness	[møði ið stendst av longum, uppslítandi kríggi]
warweary	móður av kríggi, krígsmøddur
warwhoop	krígsýl (t.d.the war whoop of the American Indian)
Warwick	
warwidow	krígseinkja. kona ið hevur mist mannin í kríggi
wary	1fyrivarin(about/of + -ingat; t.d.telling him too much),varin, ansin, fyrivarin, umhugsin, sum hugsar seg væl um, gáin, hyggin2(fl.m.)vera á varðhaldi, varin(offyri, t.d.strangers; dogs)
was	1. og 3.pers eint tátavbe
Wash.	(st.)Washington
wash1	1vask, tváttur2(klæði) klæði at vaska, klædnavask (t.d.hang out the wash)3(á havio.tíl.)gjálv, alduskot; (ljóð) skvatlan, brúsan, brús, skvampan4(eftir skipi) kjalarvørrur, alda; (frá skipiel.skrúvu), blámi, froyður5fen, mýrilendi, evja, móra, marra6(í bryggjhúsi) drav, mask7vatn (t.d.hair wash)8(veikt kaffiel.te) skol, myrrupiss, gruggvatn, vatnskol, dragvatn, mjólkarvatn9(í list) tunt litlag10[íyms. samb.]give sth a washvaska einum;have a washvaska sær;be at the washvera vaskaður11[ísamb. viðfs]beinthe washvera til vaskingar;put in the washleggja til vaskingar;it will comeoutin the wash (tlm.)1tað fer at laga seg, tað fer at legna seg2tað fer at koma í ljósmála, tað fer at koma undan kavi;send clothestothe washsenda klæði til vaskingar
wash2	1[A](áv.)1vaska (sær um) (t.d.wash one’s hands)2(við slangu) spula3(fl.m.)sleikja (t.d.the sea -ed the cliffs);skola (upp á land), taka út (t.d.the sea had -ed the body ashore; a huge wave -ed him overboard)2[B](óáv.)1(klæðir) vaska (t.d.we wash once a week)2vaska sær (t.d.she -ed and dressed)3sleikja (t.d.the water -ed against the boat)4halda til at vaska, at tola at verða vaskaður5(fl.m., tlm.)halda (t.d.that theory won’t wash)3[íyms. samb.]does/will not wash (tlm.)heldur ikki, stendur ikki heima (t.d.that theory won’t wash);gongur ikki (t.d.such a careless attitude to safety won’t wash any more); that excuse won’t wash with himhann fer ikki at góðtaka hasa umberingina4[íyms. samb.]washaway 1skola burtur (t.d.the water -ed away the bridge), taka út(t.d.av brimi)2tváa burtur (t.d.the guilt); wash sthdown 1vaska av (t.d.the wall)2(við slangu) spula reinan/reint (t.d.the car; the deck)3(um drykk) skola niður (t.d.wash the pill down with a glass of water); wash one’shandsof (fl.m.)vaska sær um hendurnar, tváa sær hendurnar; taka onga ábyrgd av einum;washoff,washout 1vaska burturav, vaska av; skola2(um bletteis.)hann fer av, tá ið tað verður vaskað3(am.)dumpa, falla(t.d.hann fall til royndina);be -ed out (eis.)drukna í regni(t.d.um fótbóltsdyst); (sí eis.washed-out); washoverskola inn yvir, leggja inn yvir;washup 1vaska upp2fløða upp, reka á land3(am. eis.)tváa/vaska hendur og andlit, vaska sær; turka upp, turka burturav
