E.	(st.)East India(n); East Indies
efface	oyðileggja, beina burtur; t.d.nothing could efface the bitter memory; the young ladies have made an impression on my mind which will not easily be effaced;turka burtur, máa burtur, mata burtur (t.d.the inscription is effaced); efface oneselfgera minst gjørligt burtur úr sær; t.d.he retired to the largest chair and attempted to efface himselfoyðileggja, beina burtur;
effacement	oyðing, burturbeining, týning, burturmatan
effect1	1ávirkan, árin (t.d.cause and effect; the effects of cold; the measures did not have the intended effect; the effect of great demand on supply; he had a bad effect on the other boys)2úrslit, avleiðing (t.d.low infant mortality, the effect of improved sanitary conditions; one of the effects of his unbalanced temperament)3(um sáttmálao.tíl)gildi4effects flt (eis.)ognarlutir, leysafæ;‘no effects’(á kekki) ógildur;ineffectí royndum, í roynd og veru, veruliga, í veruleikanum; í síni ávirkan; galdandi, í gildi;bring (el. carry)intoeffectfremja, útinna, seta í gildi;give effect to, put into effectseta í gildi, gjøgnumføra;go into effectkoma í gildi;ofno effectuttan ávirkan, til onga nyttu;togoodeffect við góðari ávirkan;to that effectá tað borð, sum skal skiljast sum;a remark to the effect thatein viðmerking um at;to the effect thatvið tí endamálið at;usefuleffectgagnvirknaður;takeeffect gera ávirkan, virka; koma í gildi (t.d.the appointment takes effect as from Sept. 1), witheffectvið gildi;witheffect from todayfrá í dag at rokna
effect2	1ávirka, valda, elva (t.d.modern techniques have effected a revolution in this field)2gera, fremja (t.d.the repairs were quickly effected; the function of the president is to effect the public will);útinna, seta í verk, seta í gildi3effectan insurancetekna eina trygging;effect an entryskaffa sær atgongd;effect an insurancetekna trygging; effecta purchaseenda ein handil
effective	1virkin2effektivur3árinamikil, munadyggur, munagóður, sum ger mun (t.d.thereis no effective treatmentfor this  acondition;more effective argument can be constructed insupport of the oppositepoint of view)4í gildi (t.d.the regulation will beeffective fromJanuary);appointment effective May 1… í gildi frá 1. mai … frá 1. mai at rokna5veruligur (t.d.theregion did notcome under effective Dutch control until1904)6(teld.)gagnnýtur7sum kann gera tænastu8n: effectives flt (herm.)nýtir hermenn (t.d.when the battles broke out,he hadatotal of920effectives)
effectiveness	(ravm.)virknisdygd
effectual	árinamikil, munadyggur (t.d.remedy);virkin; í gildi;be effectual (eis.)gera sína ávirkan
effectuate	seta í verk, fáa í lag, fremja, seta í gildi
effectuation	fremjan, tað at seta í verk
effeminacy	kreym
effeminate	kventlutur, kventlasligur
effervesce	1brúsa, skúma, bulla, brala, sjóða2(fl.m.)flóta yvir, skúma, brúsa, vera ovurkátur
effervescense	1brúsan, bullan, bralan, sjóðan2(fl.m.)kæti, ovfarakæti
effervescent	1brúsandi, skúmandi, bullandi2(fl.m.)lívligur, glaður, kátur, brúsandi
effete	útlivaður, útslitin, troyttur; deyður; tilgjørdur, uppgjørdur
efficacious	árinsmikil, (t.d.an efficacious cure)
efficacy	virknaður, gagn (t.d.there is little information on the efficacy of this treatment)
efficiency	1virkni, virkisføri, munadygd, dugur, nytta, dugnaskapur; máttur; (um persón) dugnaskapur2(teld)gagnnýti3(tøkn.)virkni4(ravm.)munadygd
efficiencyexpert	fullnýtsluserfrøðingur
efficient	1virkin, árinafullur, sum gevur væl (t.d.engine)2gagnligur; dugnaligur, vælskikkaður3(heimsp.)efficientcausevirkandi orsøk
effigy	eftirmynd, ímynd, standmynd;in effigyskurðmynd nýtt til tess at sýna haturel.vanvirðing
effing	(umskriving fyri:)fucking (f-ing); effing and blindingbannan og blótan
effloresce	1blóma, blomstra, spretta; vísa seg2(evnafr.)molna, morkna; torna upp, verða til dust
efflorescence	blóman, blomstran; molnan, morknan;(lækn.)útslag
efflorescent	blómandi
effluence	útrensl, útstreyman
effluent	1nfrárensl2lútstreymandi
effluent charge	frárensluvatnsgjald
effluvium	guvan, rúkan; dampur, guvan, roykur; flot
efflux	útstreyming, rensl (t.d.of a liquid from an orifice);(um tíð) gongd
effort	1stríð, baks, strev (t.d.by a violent effort I succeeded in lifting the stone); itcostme an efforttað kravdi nógv av mær (t.d.to apologize to him);makean effortkýta seg, leggja doyin á, leggja nógv fyri, taka eitt ódnartak;make a last(el.final) effortgera eina seinastu roynd; royna fyri seinastu ferð;make a supreme effortkýta seg alt ein er mentur2roynd (t.d.it was a good effort); (serst.speiskliga:) andsframleiðsla (t.d.that book is not one of his happier efforts)3effort and performanceídni og avrik
effortless	lættur, ómakaleysur;with effortless easeleikandi lætt
effrontery	frekleiki, ónæri, ónæraorð, nasadirvi;he had the effrontery tohann var so nasvísur at hann
effulgence	ljómur, glampi, glansur
effulgent	strálandi, glampandi, ljómandi, skærur, glógvandi, sum skínur bjart, bjartskínandi
effuse	hella út, oysa út; breiða út, lata streyma út
effusion	útstreyman, streymur; úthelling;effusion of blood (eis.)blóðmissur
effusive	1findar-, ovur-2(jarðfr.)effusive/extrusive rockdaggrýti
EFL	(st.)English as a foreign language
Eflat	(tónl.)es >E-flat major (, minor)Es-dur (, es-mol)
eft	(dý.)kambsalamandra(Triturus cristatus)
EFTA	(st.)European Free Trade Association
eftsoons	skjótt eftir, stutt eftir, beint eftir
e.g.	(st.)exempli gratia til dømis
EG	(st.) Evil Grin
egad	(mðlv, gl.)hyggasíggj! nei, álvara!
egalitarian1	javnrættindafólk
egalitarian2	javnrættinda- (t.d.an egalitarian society; the party's principles are basically egalitarian)
egalitarianism	javnrættindastevna
egest	skilja (burturúr),koyra út, vísa burtur
egg1	1egg2(herm.) (tlm.)bumba3bad egg (fl.m.)lúsakjálki4[íyms.samb.]goodegg Sfrálíkt; knassi; eitthvørt ið er framúr;have egg on one’s face (fl.m.)vera til láturs; vera nakkalangur;layan egg (am.) Shava óeydnu við sær;put all one’s eggs in one basket (fl.m.)seta alt upp á vol, seta allan sín pening í eina fyritøku,(uml.)vága alt;will you teach your grandmother tosuckeggs?er eggið farið at læra hønuna? (síeis.sure)
egg2	1egg onelva, halda (einum) til, eggja2ræna egg3tveita rotin egg eftir
eggbeater	1eggjapískari; tyril2Styrla
egg capsule	(lívfr.) egghylki
egg cell	eggkykna
eggcup	eggjabikar
egg flip	eggjatoddy; eggjaøl; eggjasnapsur
egghead	vitborin, andligur, intellektuellur; (t.d.if you loved to read, you were considered anegghead;(við hvørt nýtt sum lýsingarorð)a bunch ofeggheadscientists)
eggnog	síegg flip
eggplant	aubergina
egg powder	eggjapulvur
egg-shaped	eggvaksin
eggshell	eggjaskal
egg slicer	eggjaskeri
egg string	(lívfr.)eggjasekkur
eggtimer	eggjakókari; eggjaur
egg tray	eggjabakki
egg tube	(dý.)egggørn
eggwhisk	tyril
egg white	eggjahvíti
egg yolk	eggjablomma
eglandular	(plfr.)við ongum kertlum
eglantine	(plfr.)súreplarósa(Rosa rubiginosa)
egm	(st.)extraordinary general meeting
ego	eg;the egoeg’ið
egocentric1	sjálvglaður persónur
egocentric2	sjálvglaður, sjálvgóður, sjálvsøkin, egosentriskur
egocentricity	sjálvgleði
egoism	sjálvsøkni, sjálvgleði, sjálvgøðska
egoist	sjálvsøkin persónur
egoistic(al)	sjálvsøkin, sjálvglaður, sjálvgóður
egomania	sjúkligt sjálvsøkni
ego surfing	[at leita eftir sínum navni á alnetinum]
egotism	sjálvsdyrkan, sjálvstokki, sjálvsalskur
egotist	sjálvsdyrkari; ein ið altíð talar um seg sjálvan
egotistic(al)	sjálvsdyrkandi, sjálvglaður, sum altíð talar um seg sjálvan
egotize	tosa um seg sjálvan
ego-trip	1(lækn.)sjálvshorvan (støðan, rúsevnisnýtari er í, tá ið hann er fullkomiliga savnaður um seg sjálvan)2(fl.m.)sjálvshorvandi skapanarverk3(fl.m.)sjálvsnøktandi gerðir
ego-tripper	sjálvsnøktari (ein, ið brúkar øll og alt rundan um seg at nøkta egnan tørv á valdi og lysti)
egregious	1sannur, einastandandi (t.d.folly); egregious blunderrimmarmistak;the picture is egregiousav allari leið vánaligt; høvuðs- (t.d.idiot)2(speiskt:) framúrskarandi, framúr
egress	útgonga, útigonguloyvi; útgangur, útgonguleið
egret	(dý.)hegri; hegrafjøður; fjaðraprýði;large egretsilvurhegri(Egretta alba); little egretsilkihegri(E garzetta)
Egypt	(landafr.) Egyptaland
Egyptian1	egypti;(tlm.)egyptisk sigarett
Egyptian2	egyptiskur
Egyptian mongoose	(dý.)mongus(Herpestes ichneumon)
Egyptian vulture	(dý.)gripur, gammur(Neophron percnopterus)
egyptologist	egyptologur
egyptology	egyptologi
eh	(mðlv)ha? hvat? ikki so?
EHF	(st.)extremely high frequency
e. h. p.	(st.)effective horsepower
EHT	(st.)extremely high tension
EHV	(st.)extra high voltage
EIA	(st.)Electronic Industries Association
eider	(dý.)æða(Somateria mollissima)
eiderdown	æðudún; dýna
eider duck	(dý.)síeider
eidolon	dreymasjón, dreymamynd, sjón; fyrimynd
eight	1(talorð)átta, áttatal; áttur2the Eightskappróður við áttamannaførum millum studentarnar í Oxford og Cambridge3(fl.m.) he has had one over the eight; he was eight sheets in the wind Shann hevur fingið ein lítlan ov nógv
eight ball	ófrættafuglur; ein ið altíð er fyri óhappi;behind the eight ballvera sperdur, vera í trongum skóm, vera illa staddur
eighteen	(talorð)átjan
eighteenth	1nátjandapartur2látjandi
eighteen yard box	(fótb.)brotsteigur
eighth	1náttingur, áttandapartur2láttandi
eighthly	fyri tað áttanda
eightieth	1náttatiunda partur2láttatiundi
eighty	(talorð)áttati;in the eightiesí áttatiárunum
eikon	síicon
e-ink	(teld.)ravblekk (eisinieink; stytting avelectronic inkogravindaligt blekkellaravindablekk); eis.e ink
Eire	Írland
Eisenhower	
eisteddfod	(valisisk yrkjara- og tónleikarastevna)
either	1fnhvør, annar, onnur, annað; annarhvør, onnurhvør, annaðhvørt; hin2báðir (t.d.there are houses on either side)3sb: either … orannaðhvørt … ella;not … eitherheldur ikki;on either sidehvør sínumegin; báðumegin
ejaculate	1(lívfr.)sáðlata, sáðtøma, ganga av2senda út (el. frá sær),lata frá sær, spræna frá sær, goysa3tríva í (bøn, eið, goyggj),skera í (róp),gera eitt róp
ejaculation	1(lívfr.)sáðlát, avgonga2sprænur3útbrot; uppróp; innilig bøn
ejaculatory	hvatliga, sum ketta upp úr høvdatrog
eject	1kasta út, varpa út (t.d.a mechanism that ejects the empty cartridge cases),sleingja út (t.d.electrons ejected from an atom);goysa; senda út (t.d.sparks);blaka út (t.d.the heckler was ejected from the meeting; he was ejected from the club)2reka burtur, vísa burtur; seta frá, koyra úr starvi (t.d.the chairman was ejected); (løgfr.)seta út, reka út (t.d.a tenant)
ejection	útkast, burturvísan;(løgfr.)taka úr hendi
ejection seat	(flogm.)útskjótingarsessur
ejectment	burturvísan;(løgfr.)úrhenditøka
ejector	útkastari; ejectorseat (flogm.)útskjótingarsessur
ejector seat	(flogm.)útskjótingarsessur
eke	eke outdrýggja, skoyta uppí, økja; ekeout one’s incomeøkja sína inntøku; ekeout a livingstríða seg ígjøgnum lívið
EKG	(st.)electrocardiogram
elaborate1	evna til (t.d.a system; a proposal);gera, virka, mynda; lýsa út í æsir, føra út í æsir, útgreina (t.d.he refused to elaborate)
elaborate2	1førdur út í æsir (t.d.plan)2roksutur, langdrigin (t.d.ceremony);nágreiniligur (t.d.an elaborate examination of my luggage)3margbroytt, samansett (t.d.design)4fullfíggjaður, framúrskarandi (t.d.an elaborate dinner)
elaboration	(gjølligari) virking, tilevning, útgreining, lýsing, dýping
elaiosome	fitikertil
eland	(dý.)elandantilopa(Tragelaphus oryx)
elapse	(um tíð) líða, ganga, renna
elastic	1ngyrði, gummiband, elastikk; elastic(side) bootsfjaðrastivlar2lgyrðin, smidligur, liðiligur, toyggiligur, fjaðrandi, elastiskur(fl.m. eis.)liðiligur (t.d.definition)
elasticity	gyrði, smidleiki, elastisitetur
elate	lyfta upp, fylla við gleði;it elates the hearttað fær hjartað at bólgnað
elated	glaður, í góðum lag, findarglaður, ovurfegin, ovfarakátur;elated with victorysigursstoltur
elater	(plfr.)sveigtráður
elation	gleði, ovfarakæti
Elbe	the ElbeElbá (í Týsklandi)
elbow1	1albogi2bugur, knæ (á røri);beatone’s elbowvera til taks, vera tøkur;out atelbowsvið holum á albogunum, lurvutur, kloddutur, vesalur;crook(el. lift) one’s elbow Sdrekka;rubelbows withgníggja seg upp í, nálgast uppi í, amast uppi á;beup tothe elbows in workhava arbeiði upp um bæði oyru
elbow2	skumpa; troka seg fram; elbowone’s wayalboga seg fram; elbowsby out of the wayskúgva ein til viks
elbow board	vindeygakarmur
elbow grease	(tlm.)strev, knoss (t.d.it takes some elbow grease to clean a room like that)
elbow room	albogapláss; pláss at røra seg
eld	(bókam.) elli, elliár: t.s.s.old age
elder1	eldri persónur, nakað við aldur;the elderstey elstu í trúarsamkomu;one’s elderstey ið eru eldri enn ein sjálvur
elder2	(plfr.)hyllirunnur, ylliniviður(Sambucus nigra)
elder3	eldri (t.d.my elder brother)
elderberry	(plfr.)ylliniber, hylliber
eldercare	eldraumsorgan
elderly	nakað við aldur (t.d.an elderly lady),heldur gamal
elder statesman	fráfarin royndur politikari hvørs ráð verða tikin til eftirtektar
eldest	elstur (t.d.my eldest son)
ELDO	(st.)European Launcher Development Organization
El Dorado	eldorado
eldritch	spøkilsiskendur, óhugnaligur
Eleanor	
elec.	(st.)electric(al); electricity
elecampane	(plfr.)inula(Inula helenium)
elect	1svelja (burturúrel.út), kjósa (t.d.elect a president)2sdáma betur, gera av (t.d.he elected to go home)3l(út)valdur, kosin;the bride electtann kosna;president electforseti ið er valdur (men ikki hevur tikið við embætinum);(átr.) God’s electGuds útvaldu;(spei) one of the electein av teimum frelstu
election	1val2úrveljing, úrval
election campaign	valstríð
election committee	valstýri
election day	valdagur
electioneer	agitera upp undir val
electioneering	valagitasjón, valherferð
election manifesto	valskrá
election pact	listasamgonga
election pledge,election promise	vallyfti;fulfil an election pledgehalda vallyfti;walk away from one’s election pledgeganga frá (, svíkja) vallyfti
election return	valbræv
election returns	valúrslit
election rigging	valsvik
election stunt,election trick	val finka, valpret
election victory	valsigur
election year	valár
elective	veljandi; val-, valfríur; valdur; electivemonarchyvalríki; electivesubjects (am.)valfrí lærugrein
elector	veljari, ein ið hevur valrætt; valmaður;Electorkjørfúrsti
electoral1	val-; veljara-, valmans-
electoral2	Electoralkjørfúrstaligur;Electoral Princekjørfúrsti
electoral college	valmannaráð
electoral pact	listasamband
electorate	1veljarafjøld, veljaraskari;the electorate (eis.)veljararnir2(sø.)kjørfúrstadømi
electric	el-, ravmagns- (t.d.chargeløðing,current,streymur,lightljós)
electrical	el-, ravmagns-; electricalengineerravmagnsverkfrøðingur; electricalmachineravmagningarvæl
electric bell	ravmagnsklokka
electric blue	stálbláur
electric chair	elektriskur stólur, ravmagnsstólur
electrician	elektrikari
electricity	ravmagn, elektrisitet
electric motor	ravmagnsmotorur, ravmagnsdriv
electric shaver	rakimaskina, ravrøka
electric torch	lummalykt
electric vehiclecharging station	(akfør) løðingarstøð; síchargingstationel.charging dock
electric vehiclesupplyequipment	(st. EVSE) síchargingstationel.charging dock
electric vehiclesupply system	síelectric vehicle supply equipment
electrification	ravmagnan
electrified guitar	elektriskur gittari ['gi-]
electrify	ravmagna;(fl.m.)eggja; seta upp eftir øðrum enda;electrifiedá gosi (t.d.the audience was electrified by his speech)
electro	(st.)electroplate, electrotype
electro-	(forstavilsi)rav(magns)-, el(ektro)- (t.d.chemistryevnafrøði)
electrocardiogram	(lækn.)EKG, el-avleiðing frá hjarta
electrocute	taka av lívi við ravmagni (, í ravmagnsstóli);be electrocuted (eis.)vera dripin av ravmagni (t.d. í vanlukku)
electrocution	avrætting við ravmagni (, í ravmagnsstóli)
electrode	ravkleiv, elektroda
electroencephalogram	(lækn.)EEG, el-avleiðing frá heila
electrolyse	ravloysa, ravgreina, elektrolysera, evnafrøðiliga býta sundur við ravmagni
electrolysis	ravloysing, ravgreining, elektrolysa
electrolyte	ravloysingur, elektrolyttur
electromagnet	ravsigul, ravmagnssigul, elektromagnet
electromagnetic	ravsiguls-, elektromagnetiskur (t.d.field; wave)
electromagnetism	ravsigulsmagn, elektromagnetisma
electromotive	electromotiveforceíspenni, elektromotoriskur máttur
electromotor	ravmagnsmotorur, elektromotorur
electron	raveind, elektron
electronic	ravtøkniligur, ravtøkni-, elektróniskur, elektrón- (t.d.brainheili;computertelda); electronicdata processingteld
electronic book	(teld.)ravbók (stytte-book,ebook)
