d-	(st.)damn
dead1	1deyður (t.d.dead of hunger; dead by[fyri]his own hand); I fired and the lion fell dead; dead capital; dead languages)2lívleysur3óvirkin, dølskur, dovisligur, dullutur, seinur4oyðin (t.d.the dead cities of Yucatan)5sloknaður, følnaður (t.d.leaves)6útgingin; vatndeyvur7deydligur (t.d.market);deyða- (t.d.sleep; silence)8akkurát (t.d.the journey time from X to London is one hour dead)9[íyms.samb.]deadandgonedeyður og grivin;deadasthe dodoútdeyður;dead as mutton(el.a doornail)steindeyður;deadagainstbeint ímóti;he is dead (set) against ithann er heilt avgjørt ímóti tí; hann setur seg ímóti við hond og fót;hit the deadcentreof the targetraka skrivuna í plett;he woke up deadfora drink… og var deyðatystur;deadfromthe neck up (tlm.)blástur;a deadmatchein brúktur svávulpinnur;at the deadof nightí bølamyrkri;be dead (nuts)onSvera ein knevil til;a deadpullódnartak, (stór)tak;a deadsecretdjúpt loyndarmál;he’s the deadspitof his grandfatherhann er meinlíkur abbanum;come to a deadstopsteðga fullkomiliga;deadtorights(tikin) á búri;dead to the world Sdeyðadrukkin10[ísamb. viðhj]1beint (t.d.dead againstbeint tvørturímóti);dead stern(el.aft)beint afturút;dead aheadbeint frammanfyri; deadon (tlm.)júst; júst tað rætta; deadon timejúst í røttu løtu2(tlm.)fullkomiliga, púra,dead straightsnórbeinur, heilt (t.d.right); be dead brokeikki eiga klovið oyra;a dead failureein fullkomin fiasko;come to a dead stopsteðga fullkomiliga3deyða- (t.d.drunk)4knappliga,stop deadsteðga knappliga
dead2	the deadtey deyðu (t.d.the land of the deadí ríki teirra deyðu);in the(el.at) dead of nightmitt á nátt
dead(-and)-alive	keðiligur; dølskur
deadaxle	fastur aksil
deadball	(fótb.)deyðbóltur
dead-beat	1nsníkur, snultari, snultidýr; letingi2ldeyðamóður, deyðagivin
deadbody	lík;only over my dead body!yvir mítt lík!; fyrr skal eg láta lív
deadcalm	1nblikalogn2ldeyðastillur, deyðakyrrur
deadcat	(uml.)háandi og hatskt ummæli
deadcentre	deyðpunkt (í motoriosfr.); hit the dead centre centreraka beint í miðdepil
deadcert	sícert
dead-drunk	deyðadrukkin
deaden	1doyva (t.d.the sound, the noise),ljóðabjálva2minka, linna (t.d.pain); draga mátt úr
deadend	gøtubotnur
dead-end	sum leið ber (t.d.a dead-end job);fjarskotin (t.d.village)
deadfall	1fella; fella við vekt ið dettur niður yvir fongin2spælibøli3deyð, dottin trø (fløkja av falnum trøum og runnum í skógi)
deadhead	1goffari, býttlingur, tvass2(serst. am.)(ein sum hevur) frían ferðaseðil; sníkur
deadheat	jøvn kapping í renning; renning har tveirel.fleiri koma á mál í senn
deadice	(jarðfr.) deyðísur
deadleg	trælær
deadletter	bræv við ongum bústaði á; deyður stavur, lóg ið eingin tekur sær tykni av longur (t.d.the law has become a dead letter)
deadlift	(ítr.)rættstøðulyft
deadline	evstamark, (síðsta) freist(el.frest);(given) a deadline to leavefráferðarfreist;deadline for applicationumsóknarfreist
deadlock	1steðgur, stígur, stillastøða;be at a deadlockhava rent seg fastan, vera komin í rasshaft;come to a deadlock(um samráðingar) standa í botni2(teld.)skorfesti
deadloss	beinleiðis tap
deadly	1deyðiligur (t.d.in deadly earnest),drepandi (t.d.deadly monotonous; deadly dull),bana-, deyða; sum ikki vil sættast2hjdeyðiliga (t.d.wounded), deadly palenábleikur; deydliga keðiligur3ndeyðasynd (t.d.sloth is one of the seven deadlies)
deadly nightshade	(plfr.)belladonna(Atropa bella-donna)
deadly sin	deyðasynd
deadman	(tlm.)tóm fløska;be a dead man manvera deyður maður;wait for dead man men’s shoesbíða eftir at ein skal doyggja so starvið kann yvirtakast
deadman’s hand	(í poker) deyðsmanshond (tvey ess (, dreingir) og tvey áttir)
deadman’s handle	deyðsmansknøttur (íravm.og toki)
deadmarch	sorgar(gongu)lag, sorgarmarsjur
deadmeat	kjøt av slátraðum dýri, sláturkjøt
deadness	lívloysi
deadnettle	(plfr.)tvítannaslag(Lamium)
deadpan	tómoygdur, yvirbragdsleysur (t.d.face);yvirsvinnur;deadpan face (eis.)pokerandlit, steinandlit
deadpan style	ongan áhuga vísir fyri tí hann ber fram (t.d.a deadpan style)
deadpoint	deyðpunkt(í motori osfr.)
deadreckoning	(sigl.)bestikk;longitude by dead reckoning reckoningmett longd, longd sambært bestikk;navigate by dead reckoning reckoningsigla eftir bestikkinum
deadrent	fast gjald
DeadSea	Deyða Havið;the Dead Sea Scrollsdeyðahavsrullurnar
deadset	be dead set set tohava tikið avgjørda støðu at;make a dead set set againstfara beint í krovið á; leggja eftir
deadsoldier	tóm fløska
dead-stick landing	(flogm.)lending við steðgaðum motorum
deadwater	naggatódn
deadweight	deyðvekt
deadwood	1følnaðar greinar2(fl.m.)yvirskotsarbeiðsmegi, yvirskotstilfar(osfr.); S get the deadwood onhava ein fyrimun framum3(sigl.)træ at stúva dekslast við
deaf	deyvur, dulur (tofyri) (t.d.he became deaf; deaf to her pleas); deaf and dumbdeyvur og dumbur;deaf as a poststeindeyvur;be deaf in one earvera deyvur í øðrum oyranum;my words fell on deaf earseg tosaði fyri deyvum oyrum;he turned a deaf ear to their complaintshann vendi deyva oyrað til
deaf aid	hoyritól
deaf-and-dumb alphabet,deaf-and-dumb	
deafen	gera deyvan, doyva; ljóðbjálva
deafening	1llarmandi, sum ger ræðuligan gang2nljóðbjálvandi tilfar
deaf-mute	deyvur og dumbur maður
deafness	deyvleiki;acquired deafnessíkomin deyvleiki
deal1	fura, furutræ, (t.d.the floor is made of deal),furuborð, furuplanki (t.d.he bought four deals)
deal2	furu-
deal3	1partur; nøgd,a good dealein (heilur) hópur, nógv;a great dealein (heilur) hópur;he took a good deal of trouble over his workhann gjørdi sær stóran ómak við arbeiðnum2(í kortspæli) gáva; túrur at geva;whose deal?hvør gevur?;it is my dealeg eigi at geva;there was a new dealkortini vórðu givin umaftur
deal4	1(handilsm.)keyp, handil (t.d.bring off(el.put through) a deal; do a deal); (handilsm.) a good dealein góður handil2tilboð (t.d.it is the best deal in town)3(am.)sáttmáli (t.d.he has just made a deal with the foreign investors);avtala;well, that’s a dealso er tað ein avtala4(tlm.)viðferð;he has had a hard / rough dealhann hevur verið fyri vanbýti av lagnuni, hann hevur havt tað stríggið;get a square dealvera væl viðfarinOnnur sambond:a good dealnógv (t.d.it required a good deal more than expected)big deal(svarar til) og hvat so (t.d.public transport to Brighton has gone up a few pounds - big deal!)it's not a big dealel.no big dealtað ger einki, tað ger ikki petti (t.d.if you don't make it it's no big deal);tað hevur ongan týdning (t.d.don't worry about it - it's not a big deal)
deal5	1luta, veita, býta (út) (t.d.deal out the money fairly),skifta, geva (t.d.deal crippling blows)2geva kort3(handilsm.)handla,(am.)gera sáttmála;dealinhandla við (t.d.cars);selja;(fl.m.)fáast við, hava við at gera; dealoutbýta út, skifta; (í kortspæli) leypa um;dealwithhandla við (t.d.a firm);hava við at gera (t.d.he is easy to deal with);vera um; hava við at gera, umrøða (t.d.a subject);snúgva seg um; fara við (t.d.deal justly with him); how shall we deal with the matter?hvussu skulu vit fara undir hetta?
dealer	1handilsmaður, keypmaður, sølumaður2(í kortspæli) gevari, tann ið hevur gávuna
dealfish	(dý.)silvurkalvi(Trachipterus arcticus)
dealing	1framferð, atburður (t.d.reliable in all his dealings)2umrøða3handil, handilsskapur, keypsskapur4viðferð, viðgerð5umgangur;I advise you to have no dealings with himeg ráði tær til ikki at hava nakað við hann at gera
dealt	3
dean	dekanur (dean/head of a facultymegindeildarráðsformaður); dómpróstur, próstur í biskupsdømi, próstur
deanery	próstaembæti, -garður; próstadømi
dear	1nkæri, elskaði, góði (t.d.come here, my dear); yes, (my) dearja góði, góða, vinurin;do, there’s a deargóði ger tað;she is an old dearhon er ein fitt gomul kona;O dear, dear me!nei, hvat sigur tú! eg havi ikki hoyrt so skaft! ádú allarsøtasti!2lkærur, góður; dýrabærur; søtur; dýrur, dýrgoldin3hjdýrt,it cost him deartað kostaði honum dýrt
dear-bought	dýrgoldin
dearie	sídeary
Dear John	(am.)S narribræv (frá gentuni), skilnaðarbræv
dearly	dýrt; inniliga;love himdearly elska hann inniliga;he will pay dearly for thishetta skal verða honum dýrgoldið
dearth	dýrtíð,in times of dearthí dýrtíð; tørvur, trot, skortur(ofá)
deary	kæri vinur, elskaði
deasil	(sj.) sólarrætt, við sólini, við urinum; t.s.s.clockwise
death	1deyði2andlát, lívlát; bani3deyðsháttur;atdeath’s doorvera komin á gravarbakkan; be in at the deathvera hjástaddur tá hundarnir drepa revin;(fl.m.)síggja hvussu leikur fer, vera til staðar í tí avgerandi løtuni;catchone’s death of coldfáa ringt krím;causeof deathdeyðaorsøk;doneto deathbrúkt (, sungiðosfr)endaleyst;fearof deathdeyðaangist; ótti fyri deyðanum;it was the deathofhimtað beindi fyri honum;be deathonSvera hegnigur til, duga væl til; halda nógv av;puttodeathdrepa; avrætta; taka lívið av;wounded to deathdeyðiliga særdur;a fight to the deathein bardagi um lív og deyð
deathbed	deyðastrá, deyðsbeður,be on one’s deathbedliggja fyri deyðanum
death benefit	(trygg.)útgjald í sambandi við deyða
deathblow	banahøgg,receive the deathblowfáa sítt banahøgg
death camp	týningarlega; eis.extermination camp
death certificate	deyðaváttan
death chamber	deyðaklivi (í fongsli)
deathday	deyðadagur
death-dealing	deyðiligur
deathduty	arvagjald
death grant	(uml.)jarðarferðarhjálp
death knell	deyðsklokka
deathless	(skaldsk. el. skemt) ódeyðiligur, ódoyggjandi, ævigur, ógloymandi, varandi, sum ongantíð verður gloymt
deathlike	deyðslíkur, deyðans
deathly	deyðiligur, feigur; deyðslíkur, deyðans (t.d.a deathly stillness); deathly palenábleikur, líkbleikur
death march	sorgarmarsjur
death mask	deyðsgríma
death penalty	deyðarevsing
death rate	deyðatal, deyðatalsprosent
death rattle	deyðasurklan
death roll	deyðalisti
death row	(í fongsli) gong har deyðadømd búleika, deyðaklivar (í fongsli)
death sentence	deyðadómur
death ‘s-head	skøltur, náhøvur
death squad	deyðaherdeild
death struggle	andaleypsbrot, brotakøst
death tax	(am.)arvaavgjald
death throes	andaleypsbrot, brotakøst
death toll	tal av deyðum (t.d. í vanlukku)
death trap	deyðafella
death urge	(sálarfr)deyðatrá
death warrant	(fl.m.)deyðadómur
death watch	(dý.)veggjatutl(Anobiidae)
death wish	deyðatrá
death wound	banasár
deb	(tlm.) (st.) débutante
debacle	1skrædl, fíggjarligt skrædl (t.d.the debacle of the financial world caused a depression in the country)2vanlukka (t.d.the coup attempt resulted in an embarrassing debacle)3smeitur, ósigur (t.d.the case became a debacle for the government)4afturstig
debag	S lata úr buksunum (t.d.the new boy was debagged and thrown into the water)
debar	steingja úti(fromfrá),forða, nokta(t.d.first-round candidates weredebarred fromstanding)
debark	1skipa upp, seta á land (t.d.theship would simply sail into the harbour, dock, and begin debarking troops);fara í land2taka børkin av viðarbuli (t.d.the timber was then debarked and treated with insecticide)
debarkation	uppskiping; landgonga
debase	lækka virði, minka um í virði, skerja, gera verri (t.d.debase the quality of the programmes; debase the currency of the country);vanæra;(fl.m. eis.)gera minni verdan (t.d.debase the readers’ taste; a debased style);lækka moralin (t.d.war debases people); debasethe coinageminka um virðið/lækka virðið á landsins mynti/gjaldoyra
debasement	1at lækka góðsku á onkrum (t.d.the debasement of popular culture)2(bú.) at lækka virði á gjaldoyra
debatable	ivasamur, ivingarsamur, vøkkult, vikkult, sum kjakað verður um;debatable topicevni sum kjakast verður um
debate1	umrøða, kjak, orðadráttur, orðaskifti
debate2	skifta orð um, røða um, umrøða, tala um, kjakast; hugsa um, umhugsa
debater	ein ið kjakast, kjakmaður
debating society	kjakklubbi
debauch1	spilla, siðspilla (t.d.he has debauched the morals of the people)
debauch2	ólevnaður, drykkjuveitsla (t.d.he looked utterly untouched by the previous night's debauch)
debauched	leyslátaður, ósiðaligur, slettutur, lastafullur, ólevnafongdur, sum drekkur illa
debauchee	siðspillingur; drykkjubróðir, “greðingur” (t.d.the debauchees that are legendarily found at any fraternity party)
debauchery	ólevnaður(t.d.they had more drink and spent the night in wild rioting anddebauchery.
debenture	1(handilsm.)skuldarbræv (vanliga langtíðar og ótryggjað)2bræv ið prógvar rættin til tollendurgjald
debenture holder	skuldarbrævaeigari
debilitate	veikja, gera veikan, avmergja
debilitating	1(um sjúku) sum avmaktar/lúgvar, sum ger máttleysan, pøsandi, útlúgvandi (t.d.debilitating back pain)2sum fær e-t at vikna (t.d.the debilitating effects of underinvestment)
debilitation	viknan, ómegd, mók
debility	veikleiki; kraftarloysi
debit1	skuld, debet; skuldarsíða
debit2	skuldføra, føra til skuldar;debit an account/charge to an accoutskuldskriva kontu;place it to his debit, debit him with itskuldføra honum tað
debit card	gjaldkort, úttøkukort
debit entry	skuldskriving
deblock	(handilsm.)loysa
debonair	1fittur; kátur, lívsglaður2vinarligur, høviskur, kurteisligur
debouch	1renna út í, enda í (t.d.riversdebouchinginto the sea)2(herm.)koma úr tronga út á víðan vøll (t.d.troopsdebouchingfrom the town)
debouchment	áarósi
debride	(lækn.) skava/skera burtur skaddan vevnað ella flís/flísir í sári (t.d.a decision was made to surgically debride the ulcer(= opið sár)
debridement	(lækn.) burturtøka av skaddum vevnaði ella flís/flísum úr opnum sári
debrief	avhoyra, spyrja, savna upplýsingar frá
debriefing	eftirkunning(sbr.briefing)
debris	1leivdir, (múr) brot, (hús) toftir; petti; burturkast (t.d.a tidy camper, leaving no offensive debris);uppvask (t.d.we cleared away t he debris of glasses and plates)2(jarðfr.)grótmorl
debt	1skuld;baddebtsórøkkandi krøv;be deeplyindebtvera í stórari skuld;be in sby’s debtvera í skuld hjá;get(el.run)intodebtkoma í skuld;debtofgratitudetakksemisskuld;debt of honourheiðursskuld;I wish I could getout ofdebt… komið mær burtur úr skuld;owehim adebtstanda honum í skuld;paythe debt of naturedoyggja2(bíbl.)synd (t.d.forgive us our debts; today's sermon is about sin and debt)3(bú.)skuldindebtedness, financial indebtedness
debt ceiling	(búsk.) skuldarloft (hámark fyri skuld hja fólki, landspartiel.landi)
debt collecting agency	(handilsm.) skuldarheintingarstova; eis.debt collecting office
debt collecting office	(handilsm.) skuldarheintingarstova; eis.debt collecting agency
debt collection	innheitan, innkrevjing
debt collector	innheintari, innkrevjari
debt equity ratio	(handilsm.) sjálvfíggingarstig
debtor	skuldari
debtor country	skuldaraland
debtor side	skuldarsíða
debt relief	skuldarsanering
debt repudiation	(handilsm.) skuldarnoktan, skuldarsýting, skuldarfrágonga
debt-ridden	skuldartyngdur
debt service	skuldargjøld [t.e.renta og avdráttur]
debt-to-income ratio	(bú.)skuldarlutfall
debug	1(tlm.)beina fyri fjaldum mikrofonum2rætta brek (í)3(teld.)kemba
debugger	kembari
debunk	(tlm.)taka niður av hásæti, taka ljóman av (t.d.she debunks all the usual rubbish about acting)
deburr	(tøkn.)taka ráina av
debus	fara út úr akfari, sleppa (t.d. hermonnum) úr akfari
Dec	(st.)December
dec.	(st.)deceased; decimeter; declaration; decrease
decade	áratíggju, tíggjuár, tíggjuáraskeið
decadence	afturferð, afturgongd, niðurgongd
decadent	sum er í afturgongd
decagon	tíggjuhyrningur
decagramme	dekagramm
decal	(am.)límmynd til prýðis á glasi, postalínio.tíl.
decalcification	avkálking
decalcify	avkálka
Decalogue	tey tíggu boðini
decamp	1taka niður tjaldbúðir2fara avstað í skundi; rýma, flýggja
decant	hella um (varisliga),stoyta úr einum ílati í annað; umskipa, flyta (t.d.tenants of old houses resent being decanted to modern towers)
decantation	umhelling
decanter	karafla, borðfløska
decapitate	hálshøgga, avhøvda
decapitation	hálshøgging, avhøvding
decaploid	(nýggjy., lívfr.)tíggjulitla-
decarbonize	avkola, reinsa fyri kolevni
decathlon	tíggjudystur (í frælsum ítróttum)
decay1	1órøkt, vanrøkt (t.d.the old barn rapidlyfell into decay)2niðurgangur, fall, afturgongd3rot, fúnan, upploysing (t.d.hardwood is more resistant to decay than softwood;bacterial decay; fluoride heals small spots of decay)4viknan,(eis.um geislavirkni) fán (t.d.the gas radon is produced by the decay of uranium in rocks and soil; the decay of electrical fields in the electromagnets)
decay2	1falla í órøkt (t.d.the old house decayed),koma niðurundir, fara aftur, ganga aftur á hondina2rotna, fúna (t.d.the odor of decaying fish;fána; følna (t.d.a decayed cabbage leaf)2rota (t.d.the fungus will decay soft timber)4vikna, falla (t.d.the moral authority of the party was decaying);upploysast (t.d.the trapped radiocarbon begins to decay at a known rate);falla (t.d.the time taken for the current todecay tozero);decayed toothbrend tonn
decease	1ndeyði, andlát2sdoyggja, andast;the deceasedtann deyði
decedent	(løgfr.)deyður, andaður;decedent estate (am.)deyðsbúgv
deceit	svikagerð, fals, svik
deceitful	óreiðiligur, lygisamur, falskur, svikafullur
deceive	svíkja, falsa, lumpa (t.d.don’t try to deceive me); deceive oneselflumpa seg sjálvan;be deceived (eis.)lata seg lumpa;do my eyes deceive me?hvat er tað eg síggi?
deceiver	svíkjari, falsari
decelerate	taka ferðina av, minka ferðina
deceleration	ferðminking
December	desember
decency	1sómi, sámi;in all decencyvið spekt og prýði;in (common)decency høviskliga, siðiliga, sámiliga;have the decency to do itvera so fólkaligur at gera tað;I cannot in decency do ittað sømir seg ikki at eg geri tað;offence against public decencygera ímóti vanligari blygdan;for decency’s saketí tað sømir seg, fyri skomm skyld2decencies fltsømiligur atburður (t.d.observe the decencies)
decennial	tíggjuára-; sum hendir tíggjunda hvørt ár; tíggjuáradagur
decennium	(flt decennia)áratíggju, tíggjuár, tíggjuáraskeið
decent	1sámiligur, sømiligur (t.d.the only decent suit of clothes he has; decent wages),siðiligur, fólkaligur, hampiligur; hóskandi, rímiligur2hampuligur (t.d.weather),heiðurligur (t.d.result),nøgdandi3fittur (t.d.a decent chap; he was decent to me);vakur (t.d.it was very decent of him)
