O.	(st.)1Officer2Order
ocular1	(í sjóneykuo.tíl.)eygnaglar
ocular2	eygna-, sjónar- (t.d.ocular defect);sjónligur, sum sæst við berum eygum;ocular demonstrationsjónligt prógv, sjón fyri søgn;ocular witnesssjónarvitni, sjónarváttur
oculist	(gl.)eygnalækni, serfrøðingur í eygnasjúkum
oculus	runt vindeyga (t.d.the light is shining through an oculus in the dome)
OD1	(st.)overdose yvirdosis (av narkotika)
OD2	(st.)3. pers. eint, nutíðOD’s, tát OD’d;doyggja av yvirdosis;OD on1taka eina yvirdosis av2(fl.m.)fáa ov nógv av
odalisque	harem(s)kvinna
odd	1løgin, serur, margháttligur, undarligur (t.d.odd habit, odd behaviour)2stakur, stak-, ómakaður (t.d.odd dates, odd numbers, odd pages)3(um pør) ómakaður, stakur (t.d.glove; shoe; wear odd stockings; a draweer full of odd stockings)4sum loypur av, til avlops, útyvir, eftir (t.d.I had a few odd balls of wool);ein einstakur (t.d.an odd volumen)5(eftir talorð) stívliga, reiðiliga, ruddiliga;eighty odd yearsfarin av teim áttati, stívliga áttati;twenty odd poundsreiðiliga/ruddiliga/stívliga tjúgu pund;twenty pounds oddstívliga tjúgu pund (og nakrir pensar);three hundred oddstívliga tríhundrað6hissini, tilfallandi, fyrifallandi (t.d.she wrote it on odd scraps of paper; he did odd teaching jobs);spjaddur;odd jobshissini arbeiði, tilfallandi arbeiði7[íyms. samb.]an odd amountskeiv upphædd;odd handtiltaksfólk;odd mantiltaks-maður; allahandamaður; tann ið hevur avgerandi atkvøðuna (við atkvøðugreiðslu);in odd momentsí fríløtum;odd or evenlíkur ella ólíkur;play at odd or evenspæla nytur í hendi;theoddeina ferð uppímillum, av og á (t.d.he likes the odd drink; you get the odd customer who is rude); betheodd man/oneout 1vera til avlops2serskøltur; maður ið gongur fyri sítt egið, maður ið gongur egnar leiðir
oddball	(am.,S)serlingur, serskøltur
Oddfellow	limur í Oddfellowlosju
oddity	1serlæti, eitt ið er margháttligtel.løgið2serlingur, serskøltur3sjáldsamur lutur, hendingur
odd-job man	maður, ið ger tilfallandi/fyrifallandi arbeiði; allahandamaður
odd jobs	tilfallandiel.fyrifallandi arbeiði(r)
odd-looking	(av útsjónd) margháttligur, sum sær løgin út
oddsman	ástøðumaður, avgerðarmaður (sum tekur avgerð, tá ið [tveir] partar eru ósamdir)
oddments	1smálutir, ymist viðføri (t.d.she collected her bag and other oddments)2(prent.) partar av bók sum eru ikki partar av sjálvum tekstinum
odd-pinnate	(plfr.) stakfinnutur
odds	1útlit, møguleiki, kjansur, líkindi(flt);(sínðf; the odds are that)2(t.d.í vedding) líkindi, møguleiki (lutfallið millum spælipening og vinning)3[íyms. samb.]odds and ends(el.bobs)1(ymsir) smálutir, fras, sovorðið hissini2(eis.)alt handa slag (um fólk)4[ísamb. viðs]I’dgiveodds thateg tori at vedda uppá at;give odds of 3-1 (uml.)halda 3 ímóti 1;lay oddssígiveodds;lengthenthe oddsminka um møguleikan;itmakesno oddstað ger hvørki frá ella til, tað ger ongan mun, tað hevur einki at týða;shortenthe oddsvaksa um møguleikan;the odds are shorteningmøguleikin veksur;I’lllayyou any oddseg tori at vedda, hvat tað skal vera;makethe odds evenjavna munin;splitthe oddssemjast á miðjari leið, gera neyðsemju5[ísamb. viðbe (+ fs)]what’s the odds? (tlm.)hvat ger tað?, hvat hevur tað at siga?,the odds are thatlíkindi eru til at, eftir øllum líkindum; helst er tað so, at;the odds are against iteinki/lítið bendir á, at;the odds areagainstuslíkindini eru ikki góð, at vit...;the odds are in his favourhann hevur besta møguleikan/góð líkindi;what are the odds of his being late?hvørji eru líkindini fyri, at hann verður seinur?6[ísamb. viðfs]fightagainstheavy oddsstríðast ímóti yvirmakt;beatoddswith 1vera ósamdur við, klandrast við2ikki vera í samsvari við;byall//long oddsá ein og hvønn hátt, í allar mátar, í øllum lutum, á øllum brøgdum, fullkomiliga (t.d.by all odds the best); charge sbyoverthe oddskrevja ov høgan prís av einum;pay over the oddsgjalda ov nógv
odds-on	sum er væl hugsandi; sum ber væl til; sum hevur bestu (av tveimum: betri) útlit at vinna;an odds-on chancegóður møguleiki;an odds-on favouritealt bendir á, at hann//hon fer at vinna
ode	fagnaðarkvæði, oda (lýrisk yrking í hátíðarligum stíli; evnið er ofta eitt hugtak)
odeum	konserthøll, ljómleikasalur, tónleikarsalur
odious	andstyggiligur, ótespiligur, ódámligur (t.d.what an odious man!)
odium	hatur, andstygd, mótvild, mótvilji, illvild, illvilji, óvilji;be in odiumvera hataður, vera illa dámdur;bring odium on sbykasta hatur á ein
odograph	1(am.) kilometrateljari2stigteljari, stigmálari
odometer	(am.)kilometrateljari,(tlm.)kilometurteljari
odontology	tannlæknafrøði
odorant	(oljuv.)doymi
odoriferous	angandi
odorous	(gl.)angandi, sum rýkurel.luktar væl;(tlm.)sum rýkur illa, við ringum royki, sum deymar illa, fúlur, dampandi
odour	1luktur, roykur; (góður) angi (t.d.the sweet odour of her perfume)2dámur, farri, feril (t.d.of hypocrisy; sanctity)3[íyms. samb.]be in good//bad odourhava gott//ringt orð á sær;be in bad odour withvera illa umtóktur av;lend an odour of sanctity to sthskava út yvir (fjala) okkurt við at látast einki at vita;die in the odour of sanctityfáa góðan deyða
odourless	angaleysur, við ongum anga, luktleysur, við ongum lukti
ods and sods	(tlm.) hvør Hanus og Janus, bæði høg og lág
Odysseus	Odyssevs
Odyssey	Odyssevsarkvæði
OE	(st.)1Old English2omissions excepted
OECD	(st.)Organization for Economic Co-operation and Development Samstarvs- og Menningarstovnur
oecumenical	alkirkjuligur, samkirkjuligur, felagskirkjuligur, økumeniskur
OED	(st.)Oxford English Dictionary
oedema	(lækn.)trot, troti, moldartroti, vætusvølpan
Oedipus	(gudal.)Oidipos, Oidipus (sagnkongur í Theben í Grikkalandi í fornøld)
OEM	(st.)original equipment manufacturer (framleiðari, sum nýtir lutir hjá øðrum virkjum í framleiðsluni)
oenophile	vínnjótari
o’er	(skaldsk.)over
oesophagus	(likam.)vælindi
oestrogen	østrogen (kynshormon hjá konufólki)
oestrus	makingarhugur, greði, gessur, (um tík og kettu) at ganga á illum, (um kúgv) at ganga á riði, (um ryssu) at ganga á graðiel.at vera á áløgum, (um ær) at vera á blesmanna
of	1(samsvarar stundum við umskrivað føroyskt hvørsfall) á (t.d.the roof of the housetekjan á húsunum [t.e.húsins tekja]);the work of an enemyhatta hevur fíggindi gjørt, hatta er fíggindaverk2av(el.í summum førum við hvørsfalli; t.d.some of themsummir teirra;of good familyav góðum fólki)3fyri, -vert (t.d.south of; cure sby of sth; free of; glad of)4(ísamb.við starvslýsing) í (t.d.professor of Greek, headmaster of, manager of)5frá, uttan fyri (t.d.within 10 miles of the town)6(um evni) um (t.d.read//hear//talk of)7(einki fyrisetingarorð á føroyskum) (t.d.envious of); a boy of ten8um, yvir (t.d.complain of; make lists of)9avel.ikki týtt (t.d.a glass of water; the kingdom of Sweden; the name of John; the winter of 1992; the third of January; I dont’ understand a word of English)10(am.,um klokkutíð) til;a quarter of threetrí korter til trý11(um upphædd, nøgd, tein, strekkio.tíl.)ið/sum er, sum/ið telur (t.d.a sum of £500upphædd ið er 500 pund;a delay of twenty minutesseinking ið telur/er tjúgu minuttir;a boy of tentíggju ára gamal drongur;an army of 20, 000herur ið telur 20.000 menn)12(aðrir týðingarhættir)2 cases of 25 bottles2 kassar, sum hvør teirra tekur 25 fløskur;a man of abilitydugnamaður;50 years of age50 ára gamal;all of themallir, allir teirra;the battle of Nasebybardagin við N.;be of the partyhoyra upp í bólkin;we were only four of usvit vóru bara fýra;the three of youtit tríggir/tríggjar/trý;of an eveningum kvøldið;the size ofá stødd við;the three of youtit trý
ofay	(am.,S)hvítur, hvítt fólk
off1	1(í krikkett) síoffside32(tlm.)fráferð, startur3(SuA.)frídagur4[íyms. samb.]the off (tlm.)1frá fyrsta degi, frá byrjanini (t.d.we liked her from the off)2(um kapprenning) fráferðin, starturin;ready for the off (eis.)til reiðar at fara
off2	1fara, rýma (t.d.he upped and -ed)2(am.S)beina fyri, gera kál á
off3	1(um mat) spiltur, sum luktar illa, úldur (t.d.this fish has gone/is off; the milk smells/tastes decidedly off)2illa fyri, illa til passar (t.d.you look a bit off this morning, John; you look decidedly off)3(í krikket) høgri, høgra4(um ross, rossavogn) høgra, handara (t.d.the off hind legg),(sí eis.off-chance; off season; off side)5[íyms. samb.]beoff 1vera burtur/farin (t.d.he is off on holiday//sick leave);vera burturstaddur (t.d.she is off with the flue)2(viðv.frítíðo.tíl.)hava frí3(burtur at ferðast) fara av stað (t.d.we’re off on holiday tomorrow)4(um vatn, streym, gasso.tíl.)slitin, fyriskrúvaður5(um tól, ljós) sløktur (t.d.the lights were off in his room)6(um hending) vera avlýstur (t.d.the wedding//the match//the strike is off)7(um samband) liðugur (t.d.it’s all off between Mary and John); (am.)(um trúloving) gerael.koma til einkis8(um rætt á matstovu) uppi, útseld (t.d.the roast chicken is off)9(tlm.um atburð) vera órímiligur, ófantaligur, dekan og harður við10(tlm.um hýr á fólki) vera stútutur, snubbutur, avvísandiel.tvitin; vera ríggin, gronutur, grenjutur, trútinel. (tlm.)súrur (t.d.she is a bit off today)11(tlm.um tað, ið fólk ger) í gongd við, í holt við (at práta, møsna) (t.d.he’s off again!); be off!slepp tær burtur!;they are off!(á kapprenningarmáli) teir//tey fara nú!;I’m offeg fari nú;I must be offeg má fara nú;the water//gass (o.tíl.) is offvatnið er slitið; teir hava skrúvað fyri gassinum;how are you offforhevur tú nóg mikið av (t.d.money; underwear); we are offtoSpainvit fara til Spania;where are you off to?hvagar fert tú? (sí eis.badly, well off)
off4	1burtur, avstað (t.d.run//drive off);fara til gongu (t.d.march off)2(um frástøðu) hiðan, burturi (t.d.five miles off);(síeis. nðf.: a month off)3av, (fara, lata seg) úr, detta av(o.tíl.)(t.d.fall off; take one’s coat off; off with your jacket!)4(sjónl. o.tíl.)uttan fyri pallin, ikki á palli, í leiktjøldunumel.handan leiktjøldini (t.d.noises off)5(viðv.arbeiði) frí (t.d.give sby//take a day off)6[íyms. samb.]off and on, on and offsíon1;a month offum ein mánað;the exam is a month offpróvtøkan verður um ein mánað; síeis.sagnorðsum:come (off); finish (off); take (off) o.tíl.
off5	1av (t.d.I can’t get the lid off the box; he fell off his bike);niður úr (t.d.fall off a ladder)2burtur, burtur frá, halda burtur frá (t.d.keep them off the streets);uttan fyri; (sí eis.off screen; off season2)3(um prís) frádrigin (t.d.£25 off all jackets)4(sigl.)fráel.úr landi (t.d.an island off the coast of Spain);áraka, út úr (t.d.off the Cape)5[íyms. samb.]be off…hava mist hugin til (t.d.sweets; detective stories); be off drugsvera avvandur við rúsevni;I was never off my legseg stóð uppi allatíðina, eg var ikki av fótum6[ísamb. viðn; GG: sí eis.leitorðiniel. á stavraðarplássinum, t.d. off-colour]£25 off all jackets (eis.)prísurin á øllum jakkum er lækkaður við 25 pundum;a little parlour off his bedroomlítil daglistova, sum liggur upp at sovirúminum;a street off Oxford Streetein tvørgøta til O. S.
offal	(úr kríatúrum) innvølir (avroð)
off balance	síbalance11ikki í javnvøgu2(handilsm.)uttan fyri javnvágina;knock sby off balance1fáa ein at fáa ávøgu2ørkymla, skelkael.skaka ein
off-beam	1av kós2sum er farin púra skeivur
offbeat1	(tónl.)offbeat (rytmisk herðing millum taktsløgini)
offbeat2	1(tónl.)offbeat (sum er millum taktsløgini)2(tlm.)óvanligur, ótraditionellur (t.d.she's a little offbeat but she's a wonderful actress; an offbeat sense of humour)
off-Broadway	(am.)[leikur sum verður ikki sýndur á teimum kendu leikpallunum á Broadway í New York]; øðrvísi, ótraditionellur
off camera	(film,sv.)við sløktum upptøkutólum, tá ið eingin upptøka er
off centre	off centre1ikki miðsettur/miðstillaður/miðsavnaður2í útjaðaranum
off-chance	lítil møguleiki;on the off-chance thatí teirri lítlu vón, at, ...; um so er//var, at..., um so skuldi borið á, at
off-colour	1(fl.m.um fólk) illa til passar, illa útborin, illa hirsin, illhirsin2(um skemt) óhóskandi, ivasamur (t.d.off-colour joke)3(prent.)mislittur, mislitaður, við skeivum liti
offcut	(handv.;um slíkt ið verður sagað av og ikki nýtt) avsag
off day	frídagur; óeydnudagur, dagur tá ið alt gongst illa í hond (t.d.this is one of my -s),rókadagur
offence	1illkennan; misboð; skemd,(tlm.)fornermilsi2firtni, tykni, sinnismunur, at taka eitt illa upp3(herm, ítr.)álop;weapons of offenceálopsvápn4(serst. løgfr.)lógarbrot, misbrot5[íyms. samb.]offenceagainstpropertyríkingarbrotsverk;it is an offence totað kemur undir revsiábyrgd at, tað er revsivert at, tað verður revsað at;give/cause) offencetað argar, tað verður ikki dámt, fólkum dámar lítið at;give/cause offence togera firtnan, særa;no offencemeant/intendedeg ætlaði ikki at gera teg firtnan//tykkum firtin;take offence atverða firtin um; verða argur um;quick to take offencevera tykkin, smásárur, skjarrligur
offend	1(um fólk) gera firtnan, særa, misbjóða,(tlm.)fornerma2(fl.m.)einum dámar ikki, fáa ilt av (t.d.it -s the eye)3vera brot á (t.d.offend one’s sense of justice);synda(againstímóti einum)
offended	firtin(atum;thatum at), taka inn at sær, taka sær tykni av
offender	(løgfr.)lógbrótari, brotsmaður;old offendervanabrotsmaður;young offenderungur brotsmaður, hálvvaksin brotsmaður
offense	(am.)síoffence
offensive1	1atsókn, álop;act on/take the offensiveleypa á, søkja at2átak (t.d.against crime)
offensive2	1tykkin, ódámligur, ágangandi, ónærisligur (t.d.offensive language)2(um lukt, sjón) andstyggiligur, ringur (t.d.offensive smell)3(herm.)álops-, atsóknar, árásar-4(ítr.)álops-, álopskendur
offensive play	(ítr.)álopsspæl
offensive weapon	(herm.)álopsvápn
offer1	1tilboð(ofum;toum at)2(sum ein vil gjalda fyri) boð (t.d.the highest offer)3[íyms. samb.]make an offer for sthgeva boð upp á okkurt; bjóða upp á okkurt;make sby an offergeva einum eitt boð upp á (eitt);make an offerforgeva boð upp á (eitt);make an offerofsthtosbybjóða einum eitt;offer of marriagebønarorð, hjúnalagstilboð, hjúnabandstilboð;I ignored the offer of his handeg lætst ikki síggja, at hann rætti mær hondina4[ísambviðfs]onoffer1til sølu, á marknaðinum, sum kann fáast til keyps2(til lækkaðan prís) tilboð;the house isunderoffervit hava fingið boð upp á húsini
offer2	1bjóða (einum eitt) (t.d.he -ed me a job)2(mat og drekka) bjóða einum, geva einum (t.d.offer her coffee; offer him a cigar);bjóða sær til (at hjálpa) (t.d.I -ed to help him)3lova afturfyri, lata (t.d.offer a reward)4gera, veita (t.d.offer resistance)5(framsøgn/útsøgn) berael.føra fram, seta fram (t.d.offer an opinion)6(til próvtøku) fara upp í (t.d.offer a subject);geva upp (t.d.offer a text)7(átr.)biðja (t.d.offer a prayer)8standa væl fyri (t.d.offer a magnificent view),vera, skapa, mynda (t.d.offer a contrast)9(við ongum ávirki) bjóða sær fram10[íyms. samb.]offer up a sacrificebera offur fram;offer one’s handrætta hondina (til heilsan);(fl.m.)dugna einum, fríggja til;as occasion -s, when an opportunity -stá ið høvi býðst11[ísamb. viðfs//hj]offerforsalebjóða fram til sølu;offerto 1bjóða sær til at (t.d.he -ed to help me)2ætla, royna (t.d.he -ed to strike me); offer up a sacrificebera fram offur, ofra
offering	1framleiðsla2(átr.)offur, offurgáva, gáva
offertory	1(átr.)innsavning, kollekt2(kat.)[halgigerðin, tá ið breyðið og vínið verða borin fram]
off-flavour	atsmakkur, remma, nissur
offgrade1	vánalig góðska, sløk góðska (t.d.timber)
offgrade2	av vánaligari góðsku (t.d.offgrade fruit//ore)
off-guard	óansin, óvarin, óskettin, óhyggin, óskoytin; tikin á bóli, sum kemur óvart á (ein)
offhand1	1ófyrireikaður, ikki umhugsaður, (gera, sigao.tíl.)uttan at hugsa seg um (t.d.offhand remark)2funsutur, gáloysin, tilvildarligur, óskettin3gerandisligur, soleiðis hissini, vanligur, óhátíðarligur (t.d.offhand manners)4kvettin, kvettisligur, snubbutur5(tøkn.)við hond;offhand grindingat brýna við hond
offhand2	uttan at vera fyrireikaður, ófyrireikað, uttan at hugsa seg um
off-hours	(am.)frítíð
Office1	1stjórnarráð, stjórnardeild (t.d.the Foreign Office; the War Offices)2(undirdeild í stjórnarráði) stýri, stova
office2	1skrivstova (t.d.a lawyer’s Office);sí eis.office1,offices2(am.,hjá lækna) viðtalustova; viðtala3embæti; starv (t.d.the office of chairman)4arbeiði (t.d.it was his office to advise them)5skylda, plikt (t.d.little domestic offices)6tænasta (ein veitir einum)7(átr.)gudstænasta, halgigerð, ritual; sí eis.good offices,last offices8[íyms. samb.]holdoffice1(um flokk) hava stjórnarvaldið2(um fólk) røkjael.hava embæti, sita íel.við embæti3(í ríkisstjórn) vera ráðharri;take office1(um flokk) taka við stjórnarvaldinum2(um fólk) taka við embæti3(í ríkisstjórn) blíva/verða ráðharri;dothe office ofvirka sum, starvast sum;givehim the officegeva honum ábending um;resignofficefara úr embæti9[ísamb. viðfs]atthe officeá skrivstovuni, til arbeiðis;beinoffice1(um flokk) hava stjórnarvaldið (t.d.the Labour Party is in office)2(um fólk) vera ráðharri;the government in officesitandi stjórn, stjórnin, ið situr við ræði;remain in office(um stjórn) verða sitandi, halda fram;comeintooffice(um flokk) taka við stjórnarvaldinum;beout ofoffice(um flokk) vera í andstøðu
