a’	(skotskt.) =all(t.d.for a’ that)
accident	1tilburður, tilvild (t.d.historical accidents);óhapp;by accidenttilvildarliga, av tilvild2vanlukkutilburður, skaðatilburður (t.d.a railway accident);(t.d.have an accidentvera fyri skaða; vera fyri vanlukku;the date of the accidentskaðadagurin;accidents will happen in the best families (uml.)tað hendir sjálvt hjá teimum bestu;little Bob had an accident …Bob var so óheppin at hann pissaði (kukkaði) í buks3(heimsp.)tilvildarligur eginleiki, aksidensur
accidental	tilvildarligur, hissini (t.d.meeting);lítilsverdur, uttan stórvegis týdning
accidentally	tilvildarliga, (so) hissini
accidentals	(tónl.)leys fortekn
accident boat	(sigl. uml.)bjargingarbátur [lættur og altíð klárur at seta út]
accident hospital	skaðasjúkrahús
accident insurance	(trygg.)vanlukkutrygging
accident-prone	accident-prone person ófrættafuglur
acclaim1	fagnaður; viðurkenning
acclaim2	fagna við viðhaldsrópum, heiðra (sum) (t.d.acclaim the winner of a race; he was acclaimed king)
acclaimed	viðurkendur, fagnaður (t.d.an acclaimed filmmaker)
acclamation	fagnaður, fagnaðarróp;elected (, carried) by(el.with) acclamationvaldur (viðtikin ella gingin á møti) við fagnaði
acclimate	(am.) venja seg við (t.d.a new climateel.to new conditions)
acclimatisation	(am.)acclimatization;tilvenjing; ílending
acclimatise	(am)acclimatizevenja seg við (nýggjar umstøður); (t.d.the participants have to acclimatise to the conditions before the start; the fish have to acclimatise to the new conditions in the colder waters; the mountaineers have to acclimatise before every single stage)
acclivity	skrái, halli, brekka
accolade	1riddaraslag2kossur, fevning3(fl.m.)viðurkenning; fagnaður; heiðurstekin4(tónl.)akkolada, klombur
accommodate	1laga (seg) eftir(to)(t.d.could you accommodate your plans to mine?);(um eyguni) venja seg við, stilla eftir (t.d.accommodate the eye to different distances)2ganga einum á møti (t.d.his wishes);gera ein beina, veita eina hond, hjálpa (t.d.a friend)3hýsa, hava rúm fyri, veita innivist; (um hotelosfr.)hýsa, hava pláss til (t.d.the hotel can accommodate 500 people; the bus was only built to accommodate 20 passengers); (fl.m.)laga (seg) eftir4(um stríð) semjast (t.d.a quarrel);accommodate sby with sthgeva einum okkurt, gera ein út við onkrum5veita lán, læna (t.d.the bank accommodated him when he provided sufficient security; can you accommodate me with change for a £5 note?)
accommodating	lagaligur, viðeiriligur, beinasamur, vinaligur, blíður, fryntligur, fyrikomandi (t.d.he is very accommodating)
accommodation	1eftirlaging2(um eygað) tilvenjing3innivist, bústaður, pláss (t.d.we have not accommodation for so many people; accommodation for 50 guests; the palace provides ample accommodation for the conference; we have reserved accommodation(s) for you at the hotel); (sigl.)búrúm, aptering;accommodations flt (am.)gisting, gistirúm; sitipláss; koyggjupláss (t.d.tables and benches are installed for the accommodation of picnickers)4semja (í stríði)5(smb. accommodating)beinasemi, blíðskapur6lán7(am.)= accommodationtrain
accommodationaddress	postadressa [har ein ikki býr]
accommodationagency	bústaðarávísing
Accommodationand Food Services sector	gisti- og matstovuvinnan
accommodation bill	tænastuveksil, akkommodasjónsveksil
accommodation bureau	bústaðarávísing
accommodation ladder	(sigl.)leytari, trappa (til uppgongu á skipi)
accommodation platform	íbúðarpallur
accommodation train	(am.)uttanbíggjatok
accommodation unit	bústaðareind
accompaniment	1tilhoyr (t.d.the roast duck with its masterlysauce and orange accompaniment), útbúnaður2fylgja, avleiðing3(tónl., fl.m.)fylgispæl (t.d.theaccompaniment to the vocal solo; to theaccompaniment of booming guns)
accompanist	undirspælari
accompany	fylgja, fylgjast við (t.d.he accompanied her to the station);fylgja við (t.d.the text which accompanies the pictures); (tónl.)spæla undir (t.d.she sang and he accompanied (her))
accomplice	samsekur(in, ofí);be an accomplice ofvera í hóslag við
accomplish	avrika, fáa á skaftið, fullgera, fremja, (út)inna (t.d.one’s purpose, he will never accomplish anything);fáa, fáa burturúr (t.d.your search of the house, did it accomplish anything?);náa (t.d.ninety years);(um veg) fara, leggja afturum (seg)
accomplished	1gávuríkur (t.d.musician)2(eitt sindurgl.)siðaður, mentaður (t.d.young lady)3fullfíggjaður;an accomplished facttað er royndur lutur
accomplishment	1fullgerð (t.d.of a task)2bragd, roysni; úrslit3(eitt sindurgl.)gávur, evni (t.d.china painting was one of her many accomplishments)
accord1	1samsvar (t.d.a certain accord in regard to ethical principles; in accord with accepted scientific principles)2semja, samlyndi; semja (t.d.the Camp Davis accords);sáttmáli3of one’s own accordav sínum eintingum, av fríum vilja;with one accordallir sum ein;in accord withsambært, samsvarandi
accord2	1samsvara (við) (t.d.one’s hopes, one’s wishes)2veita, geva, lata fáa (t.d.rights which are not accorded to foreigners; accord him an honorary title)
accordance	samsvar (t.d.in (strict) accordance with; in accordance with the regulations)
accordant	í samsvari við, í samljóði við (t.d.a place perfectly accordant with man's nature)
according	alt eftir sum (t.d.temperature varies according as you go up or down); accordingto(alt) eftir (t.d.the temperature varies according to the altitude; according to this principle; robed according to their rank),sambært (t.d.according to this author; this theory; the best authorities); the Gospel according to Saint Johnevangeliið eftir Jóhannes;according to planeftir ætlan
accordingly	1samsvarandi (t.d.act accordingly)2tískil, so statt (t.d.later the club also accepted amateurs and accordingly changed its name)3hóskandi, hóskiliga (t.d.take action accordinglytaka hóskandi fyrivarni)
accordion	harmonika
accordionist	harmonikuspælari, harmonikuleikari
accordion wall	harmonikuhurð
accost	1tosa við, snúgva sær til2gera seg inn á, leggja á (t.d.be accosted by a stranger; I was accosted by a beggar)
accoucheur	burðarlækni
accoucheuse	ljósmóðir, nærkona, jarðarmóðir
account1	1rokning; konta (t.d.have an account with[hjá]a firm; have an account with(el.in)[í]a bank); deposit on/withdrawal from accountinnskot á/úttøka av kontu;transfer to account/transfer from accountflyting á/flyting av kontu2accounts flt.roknskapur (t.d.the treasurer presented the accounts …legði roknskapin fram;the accounts were not in order);viðurskifti;analysis of accountseftirkanning av roknskapi;profit and loss accountúrslitsuppgerð; (síeis.settle1)3uppgerð4frásøgn (t.d.an account of the battle);frágreiðing, frásøga5grund, orsøk6[ísamb. viðs]callhim to accountkrevja hann til svars; fara í rættin við honum;account one’s accountin síggja sínar fyrimunir í;editaccountbroyt kontu;givea good account oflýsa, greiða frá (t.d.no satisfactory account has been given of this phenomenon);leggja roknskap fram fyri (t.d.one’s management of affairs); give a good account of oneselfklárael.standa seg væl, koma væl frá onkrum;handin one’s accounts(am.) seta tuflurnar [t.e.doyggja];keepaccount ofhava roknskap við;keep accountshalda roknskap;layone’s account on(el.withel:for)rokna við;leaveout of accountikki taka við í metingarnar;payon accountgjalda í avdráttum;settlean account(eis. fl.m..) gera upp, hava eina uppgerð við (t.d.have an account to settle with him); settle accounts with (fl.m..)gera upp við (t.d.an old enemy);takeaccount ofhava atlit fyri; líta á (t.d.you can’t take account of what they say); take no account of (eis:)ikki taka sær av;take account of the protesttaka mótmælið til eftirtektar;take (due) account ofleggja upp fyri;take into accounthava í huga, rokna uppí;turntoaccount fáa fyrimun av, nýta;turn to goodaccount nýta væl; síeis.settle1; turn one’s time to good accountbrúka tíðina væl;turn to the best accountfáa sum best burturúr; fáa fulla nyttu av7[ísamb. viðfs]my accountagainstyoumín ágóði hjá tygum;as peraccountsambært rokning;byall accountseftir øllum at døma;longitude byaccount(sigl.)ætlað longd;business doneforthe account (handilsm.)terminshandilsskapur;for the account (and risk) of this firmfyri rokning (og váða) hjá virkinum;beinaccount with (uml.)hava handilssamband við;he stands high in their accounthann er høgt í metum hjá teimum;takeintoaccountsee A;ofnoaccount uttan týdning, týdningarleysur;of small accountav lítlum týdningi;take account of = take into account;onaccount (handilsm.)í avgjøldum, á kontu (t.d.payment on account); buy on accountkeypa í avgjøldum;on all accounts you must do italt talar fyri at tú skalt gera tað;on joint account (handilsm.)javnbýtt, helvt um helvt;not on any account, on no accountundir ongum umstøðum; endiliga ikki;don’t miss the cathedral on any accountdómkirkjuna mást tú endiliga síggja;on my (, his etc.) accountfyri mínar (, hansara etc.) sakir (t.d.you needn’t go on my account; I had a lot of worry on her account); on that accountav teirri grund;on one’s own accountfyri sína egnu ábyrgd; fyri sína egnu skuld; fyri egna rokning; fyri egnan váða;on our accountfyri okkara sakir;on that accountav teirri grund;onaccountoforsakað av;tohis account upp á hansara konto (t.d.I bought a handbag to his account)
account2	1gera roknskap fyri2meta (at vera) (t.d.a male servant is now accounted a luxury; we account ourselves fortunate; I account myself well paid)3tilskriva (t.d.among the many virtues accounted to this work of art); accountforgera grein á(el.fyri), greiða frá (t.d.he must account for his conduct; you will have to account for every penny you have spent; he could not account for his movements on the day of the crime);átaka sær; bøta fyri (t.d.he will account for his crime);greiða frá (t.d.how do you account for the difference?; that accounts for his being so angry); he accounted for the phenomenon by the law of gravity);megna, fevna um, standa fyri (t.d.12 p c of the oil supplies);gera enda á (t.d.3 enemy aircraft; he accounted for five of the enemy)
accountability	1ábyrging2(handilsm.)roknskaparskylda
accountable	1 ábyrgur,accountable forábyrgur; standa til svars fyri, hava ábyrgdina av,you will be held accountable for thistú stendur til svars fyri hesum;be accountable to him for itstanda honum til svars fyri tað2(handilsm.)vera roknskaparskyldugur
accountancy	grannskoðaravirksemi, grannskoðan; bókhaldarí, bókhald
accountancy firm	grannskoðaravirki
accountant	1bókhaldari;chief accountanthøvuðsbókhaldari2grannskoðari,chartered accountant, (am.) certified public accountant (uml.)ríkisgóðkendur grannskoðari
account book	roknskaparbók
account current	kontukurant
account department	bókhaldsskrivstova, bókhaldsdeild
account executive	(t.d. á lýsingastovu)lýsingaráðgevi, viðskiftaráðgevi
account heading	(handilsm.) kontuheiti, kontutittul
account holder	kontuhavi
accounting	1roknskaparførsla; roknskapargreining; bókføring2uppgerð3grannskoðanararbeiði4there is no accounting for tastesvit eru so ymisk, hvør eftir sínum hugi
accounting bases,accounting concepts,	
accounting clerk	skrivstovufólk á roknskapardeild
accounting period	roknskaparskeið
accounting policy	roknskaparsiðvenja
accounting principle	(handilsm.)nýttur roknskaparháttur
accounting principles	roknskaparháttur
accounting records	(am.)bókhald, roknskapardeild
accounting statement	roknskaparyvirlit
accounting system	roknskaparskipan
accounting year	roknskaparár
account manager	viðskiftastjóri (t.d.she applied for the position of account manager)
account sales	(handilsm.)sølurokning
accountsanalysis	roknskapargreining
accountsauditor	(bú.)roknskapargrannskoðari
accounts department	bókhald(sdeild)
accounts payable	kreditorar; skuld
accounts receivable	debitorar; útistandandi, ágóði
account stated	(handilsm.) uppgjørd skuld
account statement	(am.)kontuyvirlit
account title	(am.)kontunavn
accoutrements	útbúnaður, útgerð
accredit	gevael.veita fulltrú;accredit sth to him, accredit him with sthlíta honum okkurt til; veita almenna viðurkenning,accredited (uml.)ríkisviðurkendur
accredited	viðurkendur (t.d.an accredited custom; the accredited science of the day),accredited (uml.)ríkisviðurkendur; alment viðurkendur, góðkendur; í metum
accrete	hópast saman, hópa saman, rúgvast upp, leggja(st) afturat
accretion	1vøkstur, øking; viðbót2samvøkstur
accrual	(løgfr.)(ognar)vøkstur; (handilsm.)interest accrualrentutíðaravmarking
accrue	vaksa av; (um rentu) koma afturat,accrued interestafturatkomin renta;advantages accruing from thisfyrimunir ið hetta hevur við sær; accruetolutast, leggjast (einum) til (t.d.the portion accruing to each heir; advantages (, money) accruing to him)
accrued interest	afturatkomnar rentur
acculturation	mentanarinnlæring, mentanartillaging
accumulate	rúgvast upp (t.d.the work accumulated),hópast upp, hópa (seg) saman (t.d.the snow accumulated);samla(st), savna(st) (t.d.dust);goyma (t.d. energy); leggja(st) aftrat
accumulating evidence	(løgfr.) próvrað, próvketa
accumulation	samanstúgving, samling, savn; goymsla (t.d.of energy);rúgva, hópur, (jarðfr.) upphóp
accumulative	sum savnast samanel.rúgvast upp; pjøkin, sum dregur undir seg
accumulator	ravhúsi, akkumulatorur; (íteld.)laðverk, uppsavningarminni (útrokningarminni)
accuracy	neyvleiki, beinrakni,accuracy of measurementmát(ingar)neyvleiki;degree of accuracymátingaróvissa;an accuracy rate ofein neyvleiki upp á
accurate	nágreiniligur, neyvur, gjølligur, presisur
accursed	bannaður, forbrendur, óreinur
accusation	skuldseting, klaga (t.d.under a grave accusation)
accusative	hvønnfall, (t.d.accusative and infinitive construction; in the accusative)
accuse	1ákæra, skuldseta(offyri);the accusedákærdi2leggja eftir (t.d.he accuses a system rather than any specific persons);leggja undir (at) (t.d.accuse him of being stingy)3avdúka
accuser	ákæri
accustom	venja(tovið)
accustomed	1vanur við, plaga;he is accustomed tohann er vanur við at, hann plagar (t.d.he is accustomed to walking home); get accustomed to doing sthvenja seg við at gera eitthvørt2vandur; tilvandur3vanliga (t.d.her accustomed cheerfulness)
AC/DC	S tvíkyndur
ace1	1ess (í kortspæli); eittari (í terningaspæli); (í ítrótt) eitt stig; (í tennis) serviess2framúrskarandi jagaraflogskipari3itróttarstjørna (t.d.a racing ace)4[ymisksamb.]ace in the hole (fl.m., tlm.)sum er tilbúgvið, sum er klárt til at taka (t.d.a nuclear ace in the hole); an ace up one’s sleeve (el. in the hole) S (fl.m.)ein trumf til at taka;ace of diamondsrútaress;within an ace ofógvuliga nær við, um reppið, um eitt hár gjørt,within an ace of deathí ringasta lívsvanda
ace2	1fáa stig, skora2fáa hægsta próvtal
ace3	framúr(skarandi), megnar-, úrmælis (t.d.ace reporter)
acedia	1(átr.)lívsleiði; sinnistyngd2líkasæla
ace-high	(am. fl.m.)be ace-high with him vera høgt í metum hjá honum
acer	(plfr.)lynur, lyniviður(Acer)
acerb	gallsúrur (t.d.apples)
acerbate	gera súran, gera beiskan
acerbic	súrur, beiskur, heskin, sum etur seg inní
acerbity1	1súrur smakkur, beiskur smakkur2(fl.m.)beiskleiki
acerbity2	beiskleiki, heskni
A’ certificate	(film) (uml.)[loyvt børnum undir 16 ár saman við vaksnum]
acescent	1um at súrna (t.d.milk)2súrligur
ace-showing	(í bridge) essmelding
acetabulum	(likam.) mjadnarkulla
acetate	(evnafr.)acetat
acetic	edika-, edikasúrur; aceticacidedikasýra
acetifier	(evnafr.)edikageri
acetone	(evnafr.)aceton
acetous	1edikshavin, ediks- (t.d.fermentation)2(fl.m.)súrur (t.d.comments)
acetylene	(evnafr.)acetylen
acetylsalicylicacid	acetylsalicylsýra, ilskudoyvandi evni, verkdoyvandi evni
ACGB	(st.)Arts Council of Great Britain
ache1	pína, ilska, sviði, verkur;(eis.um samansetingt.d. stomach ache, earache)
ache2	1virkja, pína;my head acheseg havi ilt í høvdinum;he ached all over (, in every limb)hann hevði ilt í øllum kroppinum; tað virkti í hvørjum liði2(fl.m.) be aching forleingjast (sáran, inniliga) eftir;be aching totráa eftir onkrum, tráa nakað;his heart ached forhann hevði so inniliga ilt av, tað skar hann í hjartað at (t.d.the homeless children);fáa ilt av (t.d.ache at the thought of what might happen)
